[00:00:00.009 --> 00:00:01.470]  The War on Corruption.
[00:27:39.343 --> 00:27:56.370]  There's a top flu expert, influenza expert, called Dr. Henry L. Niemann, and he's saying that now because there's been a case of swine flu in Scotland, which quote, fulfills the WHO requirement of community transmission in two or more regions,
[00:27:57.159 --> 00:28:09.173]  The WHO are about to raise the pandemic level from five to six, even though, you know, swine flu has proven less deadly than the common influenza.
[00:28:09.193 --> 00:28:11.196]  Which allows them to go around laws.
[00:28:12.588 --> 00:28:17.390]  Which allows them to basically suspend laws and bring in that George Bush, now Obama, emergency.
[00:28:17.750 --> 00:28:21.691]  And they're saying, as I predicted, oh, it will mutate in the fall and kill everybody.
[00:28:22.032 --> 00:28:23.632]  That's probably hype too, folks.
[00:28:24.032 --> 00:28:31.455]  But to fearmonger everyone into taking the new special triple shot, now you've got to have three flu vaccines every year, Paul.
[00:28:32.836 --> 00:28:38.818]  The good news is that there was a Reuters article yesterday which did a survey and said
[00:28:39.895 --> 00:28:44.146]  Only a third of Americans would take a swine flu vaccine.
[00:28:44.466 --> 00:28:47.554]  And, you know, that's just after all the fear-mongering, so imagine.
[00:28:48.743 --> 00:28:51.706]  If it happens again in a few months, that number will be even less.
[00:28:51.766 --> 00:29:13.282]  Hey, did we send you that San Francisco Chronicle article where they were admitting the CIA released the swine fever flu in Cuba, that's declassified, and that almost every swine flu outbreak, 1918-1976, happens at military bases after they're vaccinated, and then admitting the swine flu shots in the 70s killed a bunch of people?
[00:29:14.002 --> 00:29:18.885]  I mean, they're going to shoot people up and they're going to die, and then they just say, oh, that's how it is, you know.
[00:29:18.965 --> 00:29:20.746]  I mean, it's such baloney, Paul.
[00:29:21.726 --> 00:29:34.754]  Right, and then we had the Professor Gibbs a few days ago saying that it looked like it was manufactured in a lab, or accidentally released from a vaccine lab, as is always the case.
[00:29:34.814 --> 00:29:41.878]  By the way, have we gotten the CNN and MSNBC to apologize for attacking us, saying we were kooks, for saying it was engineered?
[00:29:42.734 --> 00:29:43.614]  Not that I know of, no.
[00:29:43.654 --> 00:29:45.195]  Eh, doesn't matter.
[00:29:45.215 --> 00:29:46.655]  They're discredited scum anyways.
[00:29:47.016 --> 00:29:48.076]  Paul Watson, great job.
[00:29:48.096 --> 00:29:49.957]  We'll be talking to you again throughout the weekend.
[00:29:50.737 --> 00:29:56.079]  And, uh, going into next week, we'll be right back with Mr. Skelton of the London Guardian.
[00:29:56.139 --> 00:29:57.299]  I heard he ran into the police again.
[00:29:57.319 --> 00:29:58.100]  We're on the march.
[00:29:58.580 --> 00:30:00.180]  The Empire's on the run.
[00:30:01.121 --> 00:30:03.882]  Alex Jones and the GCN Radio Network.
[00:30:07.083 --> 00:30:12.365]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:30:12.901 --> 00:30:21.284]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:30:21.484 --> 00:30:28.267]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:30:28.607 --> 00:30:34.109]  This new technology has proven itself to be a formidable weapon against bio-threats of today and tomorrow.
[00:30:34.370 --> 00:30:39.912]  The new silver solution gel has been shown to disinfect topically and keep the area sanitized for up to 4 hours.
[00:30:40.652 --> 00:30:46.916]  The New Silver Solution is a highly effective potent nanoparticle solution that is lethal to bacteria, yeast, and viruses.
[00:30:47.316 --> 00:30:51.699]  Go to SupernaturalSilver.com and see the amazing line of products they have available.
[00:30:51.979 --> 00:30:54.981]  Check out the patented New Silver Solution today.
[00:30:55.341 --> 00:30:58.643]  Click on the link and check out the uses for New Silver Solution.
[00:30:59.023 --> 00:31:03.706]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:31:03.846 --> 00:31:06.007]  That's SupernaturalSilver.com today.
[00:31:07.528 --> 00:31:10.070]  In the New World Order's war against humanity,
[00:31:10.706 --> 00:31:12.847]  Barack Obama is the tip of the spear.
[00:31:13.548 --> 00:31:18.911]  We've got to give them a stake in creating the kind of world order that I think all of us would like to see.
[00:31:19.432 --> 00:31:25.616]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[00:31:25.936 --> 00:31:27.757]  Well, Obama's already fudging.
[00:31:27.917 --> 00:31:30.299]  He's fudged since day one of this election.
[00:31:30.359 --> 00:31:40.105]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs,
[00:31:40.563 --> 00:31:41.263]  That's fascist.
[00:31:43.545 --> 00:31:44.825]  It's not about left or right.
[00:31:45.205 --> 00:31:46.586]  It's about a one world government.
[00:31:47.066 --> 00:31:53.410]  This film documents who Obama works for, the lies he is told, and his real agenda.
[00:31:53.990 --> 00:32:01.754]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[00:32:02.234 --> 00:32:03.395]  The Obama Deception.
[00:32:03.815 --> 00:32:05.016]  The people strike back.
[00:32:06.545 --> 00:32:08.046]  Alex Jones here with a question.
[00:32:08.226 --> 00:32:09.688]  What does humidity mean to you?
[00:32:09.988 --> 00:32:12.210]  Most people think of hot and sticky summer days.
[00:32:12.670 --> 00:32:17.414]  But many people are beginning to realize that humidity can be a valuable source of pure drinking water.
[00:32:17.794 --> 00:32:20.637]  That's why I'd like you to visit acolablue.com.
[00:32:20.997 --> 00:32:24.460]  Acolablue is a state-of-the-art atmospheric water generator.
[00:32:24.887 --> 00:32:36.892]  Producing purified drinking water from the humidity in the air using reverse osmosis and a five-stage carbon and UV light filtration system which produces great tasting water at an unbeatable price.
[00:32:37.432 --> 00:32:39.433]  Finally, drinking water that you control.
[00:32:39.453 --> 00:32:40.754]  I use one every day.
[00:32:41.174 --> 00:32:43.615]  Say goodbye to expensive water delivery services.
[00:32:43.995 --> 00:32:46.616]  And storing five gallon bottles of water in your home.
[00:32:46.836 --> 00:32:49.137]  The Ecolablue 28 is shipped right to your home.
[00:32:49.437 --> 00:32:51.577]  Ready to make close to seven gallons a day.
[00:32:51.817 --> 00:32:52.598]  Right out of the box.
[00:32:52.838 --> 00:32:54.638]  They have a 30-day money-back guarantee.
[00:32:54.798 --> 00:32:56.199]  Call Ecolablue right now at 1-800-691-6043.
[00:32:56.219 --> 00:32:56.479]  That's 1-800-691-6043.
[00:32:56.519 --> 00:32:58.620]  Or visit Ecolablue at E-C-O-L-O-B-L-U-E dot com today.
[00:32:58.860 --> 00:33:01.000]  As we've been trying to dump our wine spread for much too long.
[00:33:17.102 --> 00:33:22.823]  Paul Watson, Steve Watson, Kurt Nimmo are all writing exclusive articles from inside Bilderberg with Jim Tucker's sources.
[00:33:23.343 --> 00:33:25.844]  We're also covering what's happening on the outside.
[00:33:25.864 --> 00:33:33.165]  International media has headlines about, oh, reporters are being detained and citizens are being detained two miles away.
[00:33:33.485 --> 00:33:34.306]  They're not detained.
[00:33:34.346 --> 00:33:36.806]  They put you in handcuffs, put you in a police car and take you to jail.
[00:33:38.346 --> 00:33:39.287]  You're being arrested.
[00:33:39.347 --> 00:33:41.047]  You're just not being charged.
[00:33:42.167 --> 00:33:43.347]  So you're being arrested.
[00:33:43.387 --> 00:33:45.628]  You're under arrest when they physically take you.
[00:33:46.852 --> 00:33:54.096]  Just unbelievable spin, kind of like they shot you in the head and they said, oh, we didn't kill you, we just, you know, put a bullet through your head and then you died, you know.
[00:33:54.756 --> 00:33:58.659]  It's just, it was endless whitewashing of what's really going on.
[00:33:59.319 --> 00:34:00.259]  We have him from
[00:34:04.258 --> 00:34:06.759]  Outside Athens, Greece at the site of Bilderberg 2009.
[00:34:06.819 --> 00:34:11.681]  We're going to go to Charlie Skelton in just one moment.
[00:34:11.741 --> 00:34:14.923]  Writer for one of the biggest newspapers in the world, the London Guardian.
[00:34:15.503 --> 00:34:21.566]  Before we talk to this reporter who was arrested twice in the first two days of this.
[00:34:22.066 --> 00:34:24.907]  I heard he had a fracas today from Jim Tucker.
[00:34:24.947 --> 00:34:25.707]  We'll get details.
[00:34:25.747 --> 00:34:28.729]  Jim said a bunch of other reporters got arrested and detained.
[00:34:30.100 --> 00:34:37.384]  We will go over that coming up, but first I wanted to tell the listeners about a few of our sponsors.
[00:34:38.404 --> 00:34:44.768]  And one of those sponsors is Pepperspray.com.
[00:34:45.108 --> 00:34:48.730]  Again, that's Pepperspray.com, ladies and gentlemen.
[00:34:48.790 --> 00:34:51.311]  Be sure and check them out online.
[00:34:52.772 --> 00:34:54.593]  And they have the best deals I've seen anywhere.
[00:34:55.606 --> 00:35:08.056]  On stun guns and tasers and animal repellents, home safety, personal alarms, big old fire extinguisher sized spray bottles of mace and pepper spray down to little bitty ones that look like pens, but still spray a lot of it out.
[00:35:08.496 --> 00:35:11.058]  This is the one stop shop for non-lethal weapons.
[00:35:11.638 --> 00:35:13.840]  And again, I believe in citizens having tasers.
[00:35:14.000 --> 00:35:15.821]  I believe in citizens having stun guns.
[00:35:15.842 --> 00:35:18.664]  I'm against the police misusing them or citizens misusing them.
[00:35:19.666 --> 00:35:23.169]  But everybody should get a taser and a stun gun, especially if your wife didn't want to have a gun.
[00:35:24.010 --> 00:35:25.872]  But, you know, she goes to dangerous places or you don't.
[00:35:26.112 --> 00:35:28.254]  You're in a city where you can't have a gun, but you can have one of these.
[00:35:28.954 --> 00:35:34.099]  These are powerful tools to protect yourself, ladies and gentlemen, especially if you're jogging and things like that.
[00:35:34.119 --> 00:35:36.601]  You can put it in your little backpack or fanny pack.
[00:35:37.261 --> 00:35:40.865]  Again, take action, defend yourselves, put it in your car, you never know when you're going to need it.
[00:35:41.857 --> 00:35:48.839]  Pepperspray.com, 800-908-9988, 800-908-9988, Pepperspray.com.
[00:35:48.899 --> 00:35:49.599]  Fabulous, folks.
[00:35:49.999 --> 00:35:51.360]  Be sure and check them out today.
[00:35:51.500 --> 00:35:59.842]  And yes, we are having a money bomb because we built the new radio slash TV studio here, but we can get the space next door to us.
[00:36:00.322 --> 00:36:02.943]  The last money bomb was only enough to move to these studios and build this.
[00:36:02.983 --> 00:36:05.984]  We need another money bomb to build the official TV studios.
[00:36:06.024 --> 00:36:06.664]  We ran out of money.
[00:36:07.732 --> 00:36:09.795]  And we've already raised $15,000.
[00:36:09.895 --> 00:36:11.997]  That would buy one decent studio camera.
[00:36:12.017 --> 00:36:13.819]  But we buy even cheaper ones that are $5,000.
[00:36:14.740 --> 00:36:17.483]  But the point is, it takes a lot of money to do this, even on the cheaps.
[00:36:17.783 --> 00:36:20.927]  So the Money Bomb is coming up June 11th.
[00:36:21.267 --> 00:36:22.528]  You can go ahead and donate now.
[00:36:22.608 --> 00:36:24.410]  PayPal, credit card, or mail it in.
[00:36:25.811 --> 00:36:33.997]  You'll put it there on the thermometer we have, you know, going towards a quarter million dollars, $50,000 that we need.
[00:36:34.017 --> 00:36:35.858]  That's our goal.
[00:36:36.338 --> 00:36:42.283]  And that was what the money bomb did a year ago, that it helped us move into these facilities, hire more people.
[00:36:42.303 --> 00:36:46.686]  I mean, we spent every dime of it on this operation, every dime of the money donated in the money bomb.
[00:36:46.986 --> 00:36:50.148]  We'll also go to expand what we're doing here, ladies and gentlemen.
