[00:00:00.784 --> 00:00:02.966]  He's the T-Rex of political talk.
[01:39:11.911 --> 01:39:17.235]  And they're saying that... And I've got a few other economic stories I wanted to hit on.
[01:39:18.116 --> 01:39:24.140]  But before I do that, I had one more sponsor that I wanted to tell folks about that is making this show possible.
[01:39:24.160 --> 01:39:25.181]  Plus, they're just great folks.
[01:39:25.201 --> 01:39:28.364]  And that's efoodsdirect.com, the J. Michael Stevens Group.
[01:39:28.704 --> 01:39:31.246]  The website is just the letter E, foodsdirect.com.
[01:39:33.977 --> 01:39:38.221]  And they have a deal going for, I'm told, just a few more weeks where you can get a sampler pack.
[01:39:38.261 --> 01:39:40.883]  It's a three-day responder kit, is what it's called.
[01:39:40.923 --> 01:39:48.690]  It's large servings for one person for three days for $21 of high-quality, non-GMO food.
[01:39:49.802 --> 01:39:50.983]  And just try it.
[01:39:51.023 --> 01:39:54.585]  It's the 3-Day Responder, 3-Day, 1 Adult Food Supply for only $21.95.
[01:39:56.206 --> 01:39:56.506]  Give.
[01:39:56.887 --> 01:39:57.907]  This is at cost, by the way.
[01:39:57.927 --> 01:39:58.928]  They're doing this as a promotion.
[01:39:59.548 --> 01:40:01.850]  And then decide to get a year's supply or 6-month supply.
[01:40:01.890 --> 01:40:08.094]  They have a boogie pack, 1-month supply for an adult that just is in a box about this big that just fits in your trunk.
[01:40:11.776 --> 01:40:15.538]  Again, efoodsdirect.com or 800-409-5633, 800-409-5633.
[01:40:15.578 --> 01:40:21.462]  They have a lot of great videos and material as well for free on their website about the products.
[01:40:21.482 --> 01:40:22.723]  They're the longest continually operating.
[01:40:22.943 --> 01:40:24.304]  They're the biggest horrible foods company.
[01:40:24.524 --> 01:40:26.625]  They're the folks I trust, efoodsdirect.com.
[01:40:26.825 --> 01:40:27.826]  They're patriots like us.
[01:40:28.226 --> 01:40:30.808]  Okay, let's go ahead and go to another phone call here.
[01:40:31.608 --> 01:40:34.430]  Let's go ahead and talk to Ronnie in Texas.
[01:40:34.890 --> 01:40:36.151]  Ronnie, you're on the air.
[01:40:36.211 --> 01:40:36.551]  Welcome.
[01:40:37.232 --> 01:40:38.172]  Thank you, sir, Alex.
[01:40:38.592 --> 01:40:39.513]  Help support our troops.
[01:40:40.086 --> 01:40:47.191]  decriminalize medicinal marijuana because many of our brave troops experience traumatic brain injuries, TBI, from IEDs.
[01:40:47.271 --> 01:40:57.459]  And all the studies of major medical institutions, not the marijuana lobby, the ragtag lobby, but major studies say it is great for brain trauma, great for PTSD.
[01:40:57.499 --> 01:41:05.525]  They've done placebo tests with Prozac and sugar pill, and Prozac is actually bad for PTSD, but they put them on it when marijuana helps them.
[01:41:05.985 --> 01:41:08.666]  And I totally agree with you, and again, I'm not a marijuana guy.
[01:41:08.686 --> 01:41:16.748]  I mean, I've smoked marijuana before, and every few years I'll go, I'll be at an event or something, I'll go, okay, and then I go, oh, now I remember why I don't smoke this.
[01:41:17.128 --> 01:41:18.068]  You know, I don't like this.
[01:41:18.949 --> 01:41:22.250]  But, you know, I really think that, well, I mean, I agree with you.
[01:41:22.710 --> 01:41:31.292]  Well, the point I want to try to make now is the time for our returning troops to have medicinal marijuana, because it's at least an option to help them in their recovery from TBIs.
[01:41:31.712 --> 01:41:34.473]  And it's so crucial, I mean, we want, everybody wants to help our troops.
[01:41:35.051 --> 01:41:42.178]  And there's the reason I think that we're going to put this medicinal marijuana issue over the line, because who doesn't want to help our troops?
[01:41:43.260 --> 01:41:48.685]  You know why glaucoma, glaucoma is pressure in the eye, inflammation inside that makes you go blind.
[01:41:49.106 --> 01:41:53.530]  It's the number one treatment now, the most effective, THC drops in the eye.
[01:41:54.671 --> 01:41:58.692]  And my grandmother even had glaucoma and they gave her those drops and it worked for her.
[01:41:59.212 --> 01:42:00.052]  And so why is that?
[01:42:00.572 --> 01:42:01.793]  The eyes are part of the brain.
[01:42:02.393 --> 01:42:10.335]  They grow out in the embryonic development and a lot of times the person also has inflammation of the brain from MSG, aspartame, fluoride, things in the water.
[01:42:10.715 --> 01:42:18.997]  And that's why with brain injuries, some brain injuries, not all of them, they found that marijuana is good because it does reduce brain inflammation, swelling.
[01:42:19.577 --> 01:42:20.738]  Just like it does for the eye.
[01:42:21.018 --> 01:42:26.263]  And so I guess you've done your research that yes, marijuana is medicinal with brain swelling and inflammation.
[01:42:26.623 --> 01:42:34.069]  I know from my own experience, distilled cannabis essential oil has been found to be a cure-all for many ailments.
[01:42:34.109 --> 01:42:36.932]  There are a few plants that you can really call wondrous.
[01:42:37.952 --> 01:42:43.917]  And none of them stand above, you know, not the plant they get bare aspirin out of, not Malalugo or not
[01:42:45.424 --> 01:42:46.105]  Nothing compares.
[01:42:46.745 --> 01:42:48.707]  I mean, not the aloe vera plant.
[01:42:48.747 --> 01:42:54.852]  Marijuana is, I've seen all the studies, it's just an absolutely fantastic thing and that's why it's banned in this country.
[01:42:55.292 --> 01:42:57.634]  Because the globalists don't want you having access to real health care.
[01:42:57.894 --> 01:42:58.835]  We'll be right back, stay with us.
[01:43:00.544 --> 01:43:04.166]  Everyone knows that omega-3 should be an essential part of our daily diet.
[01:43:04.246 --> 01:43:09.849]  With so many different methods of consumption, how do you choose a simple yet effective way to get your daily intake?
[01:43:09.969 --> 01:43:14.031]  The friendly, knowledgeable folks at North American Nutrition have the answer.
[01:43:14.311 --> 01:43:16.593]  Nature's gem, premium omega-3.
[01:43:16.773 --> 01:43:22.676]  Unlike other flaxseed, our golden flax is grown on our farm in northern Minnesota, providing cooler temperatures.
[01:43:22.756 --> 01:43:23.256]  I don't know.
[01:43:40.251 --> 01:43:41.092]  It is a big idea.
[01:43:41.252 --> 01:43:42.072]  A new world order.
[01:43:42.092 --> 01:43:46.274]  In the near future, Earth is dominated by a powerful world government.
[01:44:09.955 --> 01:44:12.097]  It's known as the Bilderberg Group.
[01:44:12.798 --> 01:44:15.040]  Could their objective be world domination?
[01:44:15.580 --> 01:44:18.043]  For thousands of years, their dark order grew.
[01:44:18.763 --> 01:44:26.090]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:44:29.121 --> 01:44:34.083]  For the first time in history, the elite's plan for world government is blown wide open.
[01:44:34.564 --> 01:44:38.025]  You will learn the secret that drives the entire New World Order agenda.
[01:44:38.425 --> 01:44:40.907]  Dillberg is making great progress toward a world government.
[01:44:40.987 --> 01:44:42.127]  Most people have no idea.
[01:44:42.147 --> 01:44:42.927]  They're not after money.
[01:44:42.947 --> 01:44:44.008]  They have all the money they need.
[01:44:44.208 --> 01:44:44.928]  They're after power.
[01:44:45.188 --> 01:44:46.209]  That's their aphrodisiac.
[01:44:46.349 --> 01:44:50.871]  Order Endgame on DVD at PrisonPlanet.com or InfoWars.com.
[01:44:51.111 --> 01:44:54.573]  Or watch it online right now at PrisonPlanet.tv.
[01:44:55.073 --> 01:44:57.374]  Endgame, blueprint for global enslavement.
[01:44:57.854 --> 01:44:59.095]  You have been warned.
[01:44:59.675 --> 01:45:04.417]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[01:45:04.777 --> 01:45:11.100]  Our hemp foods are anti-inflammatory and gluten-free, and can greatly benefit the health of the human body.
[01:45:11.861 --> 01:45:20.224]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[01:45:20.885 --> 01:45:25.847]  Our customers are also purchasing this natural food for long-term storage, camping,
[01:45:26.286 --> 01:45:28.286]  Survival and Emergency Food Rations.
[01:45:28.806 --> 01:45:34.327]  Call 908-691-2608 or visit hempusa.org today.
[01:45:34.347 --> 01:45:42.289]  Hempusa.org believes that now is the time to plan for the future and food will be your greatest asset.
[01:45:42.889 --> 01:45:49.710]  People spend money on all kinds of things, but our warning is prepare now for food shortages in the future.
[01:45:50.530 --> 01:45:52.490]  So don't delay, call today.
[01:45:55.993 --> 01:45:59.216]  And see what our powder, seeds, and oil can do for you.
[01:46:03.379 --> 01:46:05.180]  Okay, I know we've got loaded phone lines.
[01:46:05.220 --> 01:46:07.062]  Gunther, Bill, Josh, many others.
[01:46:07.262 --> 01:46:08.223]  I'll have to get to you tomorrow.
[01:46:08.263 --> 01:46:09.944]  I've got some final news I need to hit.
[01:46:09.964 --> 01:46:11.785]  And then rebroadcast is coming up.
[01:46:12.146 --> 01:46:15.909]  By the way, we do have Professor Griff of Public Enemy on Thursday.
[01:46:17.069 --> 01:46:19.231]  So that is coming up Thursday.
[01:46:19.251 --> 01:46:22.053]  He's on the road right now.
[01:46:22.093 --> 01:46:22.534]  I'm listening.
[01:46:22.554 --> 01:46:23.915]  I want to say hi to Professor Griff.
[01:46:25.100 --> 01:46:25.861]  Let's be interesting.
[01:46:27.181 --> 01:46:30.704]  Any other big hip-hop folks want to call us, come on the show and talk about Obama and the New World Order?
[01:46:31.464 --> 01:46:34.066]  Just email Aaron at InfoWars.com.
[01:46:34.106 --> 01:46:35.047]  Two ways we'd love to have you.
[01:46:35.747 --> 01:46:37.689]  Any other rock and roll folks, Hollywood people?
[01:46:37.709 --> 01:46:40.070]  You know, they call me all the time, but they're just scared to come on.
[01:46:40.311 --> 01:46:42.172]  They just want to touch base, say they appreciate what we're doing.
[01:46:42.232 --> 01:46:45.914]  But it helps to have a lot of people from every genre on, because that just expands it.
[01:46:47.596 --> 01:46:50.758]  Now, worst January on record for stocks.
[01:46:52.512 --> 01:46:53.833]  That's out of the Wall Street Journal.
[01:46:53.953 --> 01:46:56.356]  GM to use bailout billion to invest in Brazil.
[01:46:56.376 --> 01:47:00.640]  They're going to use the money to build an automaker in Brazil.
[01:47:00.760 --> 01:47:03.182]  So they're going to use the money to move overseas.
[01:47:03.462 --> 01:47:09.268]  And I saw another one of the companies is going to use the money, it was GM too, to move to Mexico.
[01:47:09.628 --> 01:47:11.090]  So we're just paying for them to move!
[01:47:12.831 --> 01:47:15.534]  See, the government's so corrupt, anything they do isn't going to turn to good.
[01:47:17.140 --> 01:47:17.881]  And it's a diversion.
[01:47:17.901 --> 01:47:20.984]  $50 billion to the automakers, that's nothing.
[01:47:21.004 --> 01:47:27.109]  Or $850 billion for a new stimulus package, $255,000 per job to create a job.
[01:47:27.129 --> 01:47:31.093]  Those are going to be government jobs and control freak jobs and things they control.
[01:47:31.533 --> 01:47:34.076]  We're in trouble, folks, because these people are stealing it all.
[01:47:34.496 --> 01:47:38.500]  Everybody's scared in the crisis that the bankers created, so they're like, OK, go ahead and do it.
[01:47:39.986 --> 01:47:41.126]  Actually, a lot of folks were against it.
[01:47:41.467 --> 01:47:43.307]  The vast majority against the bailout, but it still happened.
[01:47:44.147 --> 01:47:49.909]  But I wanted to bring Ted Anderson up right here at the end of the show, because Ted, we can't count on the government.
[01:47:49.949 --> 01:47:51.150]  We know it's going down.
[01:47:51.230 --> 01:47:53.030]  Gold's shot up way over 900.
[01:47:53.490 --> 01:47:55.211]  And I talked to you this morning as I was out of town.
[01:47:55.231 --> 01:47:57.912]  You're telling me you're still offering prices from over a week ago?
[01:47:58.932 --> 01:47:59.814]  I don't know.
[01:48:15.695 --> 01:48:18.656]  Uh, that priced into the price of this gold when most places don't even have it.
[01:48:18.956 --> 01:48:25.418]  So I wanted to give folks an opportunity to get into something that has real, tangible assets as they're, uh, devaluing the dollar.
[01:48:25.438 --> 01:48:29.239]  So specifically, what are the coins you've got, and is this the last time you'll be able to give this offer?
[01:48:29.899 --> 01:48:31.480]  Right on, right on the target here.
[01:48:31.900 --> 01:48:35.461]  And if gold, uh, gold continues to rise, obviously I can't do it.
[01:48:35.481 --> 01:48:36.841]  I'll hold it till midnight tonight.
[01:48:37.341 --> 01:48:39.862]  But I do have the, uh, Frank currently right now at $217.
[01:48:40.542 --> 01:48:41.382]  I repriced them.
[01:48:41.463 --> 01:48:42.403]  Currently right now they'd be $228.
[01:48:43.766 --> 01:48:49.268]  The British Sovereign presently right now is at $2.65, and in today's market it's $2.79.
[01:48:49.488 --> 01:48:53.009]  I just completely sold out of the Buffaloes.
[01:48:53.389 --> 01:48:56.910]  The Silver Dimes are still available, but the Walking Liberty Halves are gone.
[01:48:57.310 --> 01:48:59.691]  The Silver Dimes right now are at $1.46.
[01:49:00.271 --> 01:49:05.192]  Plain old Silver Dollar shot up over $20 a piece, so you can't get those anymore.
[01:49:05.232 --> 01:49:08.413]  That Creature from Jekyll Island book, I do put them in there, and that's $26.45.
[01:49:10.919 --> 01:49:12.361]  We have a lot of really good deals.
[01:49:12.661 --> 01:49:15.224]  Alex, this gold and silver market's going nuts right now.
[01:49:15.245 --> 01:49:16.847]  A lot of people want to get in.
[01:49:17.267 --> 01:49:18.068]  Really good news.
[01:49:18.148 --> 01:49:23.435]  People are calling me from the Creature from Jekyll Island book, from Sean Hannity and Rush Limbaugh like crazy.
[01:49:23.835 --> 01:49:26.278]  I was thinking that they want answers.
[01:49:26.619 --> 01:49:29.803]  It's really refreshing to know that that is exactly what they're looking for.
[01:49:30.336 --> 01:49:31.378]  And I'm going to give it to them.
[01:49:31.638 --> 01:49:33.580]  And I'm going to bring them over and have them start listing to us.
[01:49:47.398 --> 01:49:47.819]  Yeah, right.
[01:49:47.839 --> 01:49:49.781]  I mean, now that the silver dollars have gone up, it is.
[01:49:49.841 --> 01:49:55.528]  It's just poking up there right around 60 bucks.
[01:49:55.568 --> 01:49:58.712]  That's a loss leader.
[01:49:58.732 --> 01:49:58.913]  800-686-2237.
[01:49:58.933 --> 01:49:58.993]  800-686-2237.
[01:49:59.013 --> 01:50:05.961]  You have francs, you have British sovereigns, you have dimes and silver at the price that you were giving with
[01:50:06.562 --> 01:50:08.684]  How much has the market gone up from that price?
[01:50:08.704 --> 01:50:10.926]  Well, it's gone up about a hundred bucks, like you say.
[01:50:10.946 --> 01:50:16.510]  And the silver, obviously not a hundred bucks, but certainly if you put a percentage on it, it's about ten percent or better.
[01:50:16.970 --> 01:50:18.552]  So things have gone up ten percent.
[01:50:18.572 --> 01:50:21.694]  You're giving them an offer priced in ten percent lower than the market.
[01:50:21.854 --> 01:50:24.236]  When most places are completely sold out, you're starting to sell out.
[01:50:24.517 --> 01:50:25.397]  Folks, give the brokers a call.
[01:50:25.417 --> 01:50:26.678]  They'll be there till midnight with this deal.
[01:50:26.698 --> 01:50:26.738]  800-686-2237.
[01:50:26.758 --> 01:50:27.019]  800-686-2237.
[01:50:27.059 --> 01:50:28.940]  Now, Fram and FM stations, we'll see you back tomorrow.
[01:50:28.960 --> 01:50:30.822]  If everybody else, retransmission starts now.
[01:50:38.408 --> 01:50:44.152]  Thank you for listening to GCN.
[01:50:45.072 --> 01:50:47.394]  Be sure to visit GCNlive.com today.
[01:50:50.336 --> 01:50:51.897]  Hello friends, this is Alex Jones.
[01:50:51.997 --> 01:50:56.618]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:50:56.758 --> 01:50:59.499]  We need to be independent, and food and water is the key.
[01:50:59.719 --> 01:51:02.560]  You'll never have to stand in a bread line if you have your own bread.
[01:51:02.760 --> 01:51:07.462]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[01:51:07.702 --> 01:51:08.623]  If you simply prepare.
[01:51:08.824 --> 01:51:11.768]  No one is going to take care of your family in the final equation but you.
[01:51:12.068 --> 01:51:18.978]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:51:19.078 --> 01:51:22.202]  And they do it at almost half the cost of last year's grocery prices.
[01:51:22.362 --> 01:51:22.603]  Call 1-800-409-5633.
[01:51:25.026 --> 01:51:27.467]  Or on the web, go to efoodsdirect.com.
[01:51:27.487 --> 01:51:33.549]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[01:51:33.749 --> 01:51:37.510]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:51:37.530 --> 01:51:39.010]  Again, 800-409-5633, or on the web at efoodsdirect.com.
[01:51:39.030 --> 01:51:39.470]  Take action today.
[01:51:39.490 --> 01:51:41.311]  The first step is getting storable food.
