[00:00:00.009 --> 00:00:00.129]  It's
[00:23:20.831 --> 00:23:27.874]  John in Iowa, Nathan in Iowa, Brian in Montreal, Gary in Indiana, Paige in the Kingdom of Heaven.
[00:23:28.354 --> 00:23:31.655]  That's folks that say they're off the grid, out of the system.
[00:23:32.875 --> 00:23:38.477]  We've got Craig and Paul here from... What's the name of your media group?
[00:23:38.517 --> 00:23:39.438]  I keep trying to remember that.
[00:23:39.498 --> 00:23:40.018]  It's a great name.
[00:23:40.058 --> 00:23:42.319]  It's tacticalrecon.com.au.
[00:23:42.659 --> 00:23:43.359]  Conspiracy Hunters.
[00:23:44.729 --> 00:23:50.493]  We're going to get, before you leave, I've got a guest coming on who was put in jail in about 20 minutes.
[00:23:50.693 --> 00:23:51.513]  It's going to be a brief interview.
[00:23:51.573 --> 00:23:58.578]  He made 7-7 Ripple Effect and he mailed it out to some juries that were looking at the 7-7 bombing and a judge and they've arrested him.
[00:23:59.059 --> 00:24:00.380]  He just spent like a week in jail.
[00:24:01.080 --> 00:24:03.282]  He's supposedly getting out in the next few minutes.
[00:24:03.302 --> 00:24:05.984]  They're going to have a cell phone waiting to hear exactly what happened to him.
[00:24:06.044 --> 00:24:11.267]  It ended up being in the Irish Times and the BBC because he's in Ireland that this happened.
[00:24:11.868 --> 00:24:12.388]  Anthony Hill.
[00:24:13.709 --> 00:24:18.153]  We're working on getting that done as soon as he can call in.
[00:24:18.193 --> 00:24:20.796]  Representative Leo Berman from Texas.
[00:24:21.196 --> 00:24:26.562]  Texas has introduced a sovereignty resolution so we're trying to fight this as hard as we can because the states created the federal government.
[00:24:26.842 --> 00:24:29.484]  So that's how we quote rebel, isn't even rebelling.
[00:24:29.765 --> 00:24:32.888]  When the feds rebel, we spank them and put them in line and the states
[00:24:33.588 --> 00:24:38.230]  Uh, can dissolve the federal government with 35 states voting and then reconstitute however they like.
[00:24:38.590 --> 00:24:42.112]  That's a great danger as well, though, because the globals can get in there and rewrite things when that's happening.
[00:24:42.352 --> 00:24:43.892]  That's why we want state-by-state basis.
[00:24:43.912 --> 00:24:50.395]  They can also individually declare sovereignty but still be in the union and just lay down the law and say no, but NORTHCOM says they're gonna use federal troops on them.
[00:24:50.575 --> 00:24:52.356]  See, the feds have war-gamed all this out.
[00:24:53.536 --> 00:24:56.037]  So, before you leave us, we'll probably just have you most of the rest of the hour.
[00:24:56.057 --> 00:25:00.039]  You have time for that, but we'll just pop back in with you guys and comment on what you're about to hear.
[00:25:01.539 --> 00:25:09.423]  Again, I've told callers who are military, who are police, who are upset about this, or who like the Urban Warfare gun confiscation training to call in, or people that are in Iowa.
[00:25:10.223 --> 00:25:18.127]  I've told people just last week that Iowa is the first place I saw real regular Army checkpoints on highways searching for weapons and guns after 9-11.
[00:25:19.347 --> 00:25:22.029]  And news cameras would be shooting video and they'd walk over.
[00:25:22.089 --> 00:25:24.672]  It was on mainstream TV and they'd say, turn your cameras off.
[00:25:24.692 --> 00:25:29.115]  In fact, I looked for that on the web the other day, but because it's seven years old, I couldn't find it.
[00:25:29.155 --> 00:25:31.977]  Maybe somebody can find those Iowa, there's several of them, newscasts.
[00:25:32.338 --> 00:25:36.901]  We do have other ones out of Georgia in places, but you know, they do these drills and then they become real.
[00:25:36.921 --> 00:25:42.666]  And it says they're going to hang up pictures of Americans, of the gun dealers looking for, go door to door and ask, are they in here?
[00:25:43.227 --> 00:25:44.388]  And what guns do you have?
[00:25:46.269 --> 00:25:48.293]  And they say because of the climate in America today.
[00:25:48.654 --> 00:25:53.002]  So now they're not saying these drills were for foreign wars.
[00:25:53.023 --> 00:25:56.269]  Because they always say that in the past, the news, and I'd be there and it was for America.
[00:25:56.790 --> 00:25:57.892]  Admittedly, to us.
[00:25:59.358 --> 00:26:11.161]  One time they were giving media tours over this college they'd taken over for a drill in Oakland, and when I was there, Steve Jones, the former Marine Corps Captain, who was now their PR guy, was a private civilian, would run on, get out of here Jones, you can't tape this!
[00:26:11.721 --> 00:26:19.984]  But then we sent a guy in, they were giving citizens tours, which they're doing here, but this is the whole town, and that's when we got them doing executions.
[00:26:20.024 --> 00:26:25.045]  They take Americans out and they go, alright, watch this, an execution, and they simulate blowing Americans' heads off.
[00:26:26.229 --> 00:26:29.131]  Now, that's the most hardcore, extreme form of martial law.
[00:26:29.371 --> 00:26:33.714]  And now they announce FEMA camps, they're going to merge the police, the military into them.
[00:26:33.754 --> 00:26:34.734]  This is in our news now.
[00:26:35.515 --> 00:26:46.802]  And I know I keep just saying it over and over again, because in a way we've been covering this so long, you know, it's good to report on it, be aware of it and counter it, but it's bad if people don't take action, because then it's like, yeah, I know they're training with camps.
[00:26:46.882 --> 00:26:48.983]  I mean, you know, that kind of apathy sets in.
[00:26:49.584 --> 00:26:51.005]  Like Australia, nobody likes it.
[00:26:53.317 --> 00:26:57.415]  I mean, how could the cops buy you a beer if you've got an anti-government sticker on your car but still enforce all that?
[00:26:57.435 --> 00:26:57.998]  How does that work?
[00:26:58.732 --> 00:27:01.012]  Well there's a thing in Australia called the tall poppy syndrome.
[00:27:01.352 --> 00:27:08.194]  And what that is, is that if anyone has any success, or any I guess financial success in particular, you've got to tear them down.
[00:27:08.994 --> 00:27:16.615]  So it means that we have this strange attitude where, you know, we want success ourselves, but if anyone gets it we become jealous.
[00:27:17.095 --> 00:27:18.116]  It's called the tall poppy syndrome.
[00:27:18.136 --> 00:27:19.176]  Well we have that here too.
[00:27:20.156 --> 00:27:22.456]  And that was never really a part of our culture.
[00:27:23.096 --> 00:27:24.837]  It was very small, but it's getting bigger.
[00:27:24.857 --> 00:27:25.997]  I think that's a sign of sickness.
[00:27:27.014 --> 00:27:37.680]  So, on one hand, I guess we disrespect our politicians and don't believe a lot of them, yet we all vote for them, we don't really question what they're doing, and it's very 1984 in the concept of double-think.
[00:27:38.241 --> 00:27:40.282]  And, again, we come back to this issue of apathy.
[00:27:40.762 --> 00:27:43.424]  We realise we're apathetic and we want to do something about it.
[00:27:43.464 --> 00:27:46.406]  We get inspired by young guys in groups like We Are Change.
[00:27:46.786 --> 00:27:52.950]  We may not agree with everything they do, we're inspired that young people are actually getting up and doing something, confronting politicians in particular,
[00:27:53.670 --> 00:27:56.791]  And we're filmmakers, so we're doing it through the mode of television, film and television.
[00:27:57.491 --> 00:27:59.552]  They're doing it just with video cameras in the face of people.
[00:27:59.592 --> 00:28:00.412]  That's inspiring.
[00:28:00.792 --> 00:28:06.434]  And I think if anyone gets anything from this moment we have on the show is to get up and do something and stop being apathetic.
[00:28:06.734 --> 00:28:07.654]  Turn the television off.
[00:28:08.414 --> 00:28:14.836]  Turn on our show, but turn off all the rubbish that they're watching and just do something and talk to your leaders, confront them.
[00:28:14.896 --> 00:28:18.337]  And if you tune out on TV, that'll make them start covering more of these issues.
[00:28:18.357 --> 00:28:21.058]  You know, I got pitched a show
[00:28:22.285 --> 00:28:23.386]  Called American Conspiracy.
[00:28:23.406 --> 00:28:24.987]  That's what Ventura... I need to call him up.
[00:28:25.007 --> 00:28:26.849]  I haven't talked to him in a few months.
[00:28:28.130 --> 00:28:29.070]  And he's doing three policies.
[00:28:29.170 --> 00:28:31.012]  One of them was that, and that was the show I was going to do.
[00:28:31.032 --> 00:28:32.693]  But they said, we'll do it with Ventura, which is great.
[00:28:32.713 --> 00:28:34.575]  You know, I don't have the tall poppy syndrome.
[00:28:34.915 --> 00:28:36.936]  I believe the rising tide raises all ships.
[00:28:36.976 --> 00:28:37.537]  I'm excited.
[00:28:38.698 --> 00:28:42.481]  But I've talked to these executives.
[00:28:42.501 --> 00:28:43.982]  They go, look, we know this is the majority.
[00:28:44.022 --> 00:28:45.043]  We know this is popular.
[00:28:46.109 --> 00:28:56.515]  And I've talked to people where presidents of companies call and tell program directors, tell vice presidents, tell the heads of programming, you're not doing this.
[00:28:57.475 --> 00:28:59.916]  So, I mean, the control is very, very real.
[00:28:59.936 --> 00:29:01.857]  I had A.J.
[00:29:01.918 --> 00:29:08.701]  Hammer with Showbiz Tonight on CNN, his producer, was like, oh, we're getting record ratings with this Charlie Sheen 9-11 stuff with you on day after day.
[00:29:09.101 --> 00:29:10.322]  We're having you back on all this week.
[00:29:10.622 --> 00:29:15.325]  And then they got a call, not from even programming, but from execs in Time Warner and said, uh-uh.
[00:29:15.945 --> 00:29:32.556]  So, I mean, you know, I even talk to Fox News people and they're like, yeah, we like your show, awesome, you know, yeah, the new order's really bad, yeah, the host is an idiot, you know, I mean, you know, yeah, they're probably going to attack you, but we want to try to get you on, and then I'll be in the car going to the studio, the satellite up, and they'll call and go, yeah, higher-ups cancelled you.
[00:29:32.956 --> 00:29:37.620]  And I've been booked on every show, and I go, come on guys, your higher-ups are going to say, no, no, no, no, I can book whatever I want.
[00:29:37.820 --> 00:29:38.580]  They never told me not to.
[00:29:38.840 --> 00:29:45.365]  And then I'm in the studio about to go on, this happened a few months ago, and they just go, sorry, we can't go to you now.
[00:29:45.945 --> 00:29:49.207]  Alex, when we tell people about our show, Conspiracy Hunters, and we say, look, this is what we do.
[00:29:49.467 --> 00:29:50.828]  We have a look at conspiracy theories.
[00:29:50.868 --> 00:29:52.349]  Some of them are totally wild.
[00:29:52.669 --> 00:29:54.530]  Some of them are based on very serious facts.
[00:29:54.911 --> 00:29:57.612]  When we tell people what we're doing, across the board, people are excited.
[00:29:57.672 --> 00:29:58.333]  People support it.
[00:29:58.653 --> 00:30:00.034]  We run at almost no resistance.
[00:30:00.914 --> 00:30:03.176]  Even in the film and television industry, even people in positions.
[00:30:03.596 --> 00:30:07.458]  But it's that high level, executive level that you're describing, that's the unknown.
[00:30:07.938 --> 00:30:09.099]  That's what we don't know about yet.
[00:30:09.259 --> 00:30:10.920]  Well, that's a great name, Conspiracy Hunters.
[00:30:11.601 --> 00:30:11.821]  Thanks.
[00:30:12.161 --> 00:30:13.242]  A lot better than the Crocodile Hunter.
[00:30:14.395 --> 00:30:20.918]  I think one of the big things is when you just start talking to people about conspiracies, everyone seems to have one conspiracy they believe in.
[00:30:21.719 --> 00:30:30.443]  You know, we talk about the show, they all name one conspiracy, whether it's JFK or something in Australia, but they never believe there's a great conspiracy.
[00:30:30.923 --> 00:30:33.344]  They somehow compartmentalize this one little conspiracy.
