[00:00:00.529 --> 00:00:03.510]  Seminal film, Endgame, Blueprint for Global Enslavement.
[01:40:49.610 --> 01:40:53.013]  And I'm sick of how the whole thing's run by psychologists and psychiatrists.
[01:40:53.908 --> 01:41:04.534]  Who know how to manipulate us, and they're playing games with us, and manipulating our society, and manipulating our social system, and the way men operate, and the way women operate.
[01:41:04.774 --> 01:41:06.235]  They know how we operate.
[01:41:06.515 --> 01:41:08.136]  They know how we work, folks.
[01:41:08.616 --> 01:41:18.341]  And they're manipulating us, just like we're in a Petri dish, and they got a microscope studying us, and looking at us, and understanding how we operate.
[01:41:18.401 --> 01:41:19.302]  That's what they're doing.
[01:41:20.856 --> 01:41:22.437]  So we've got to learn sociology.
[01:41:22.517 --> 01:41:23.878]  We've got to learn psychology.
[01:41:23.958 --> 01:41:25.318]  We've got to read their manuals.
[01:41:25.378 --> 01:41:35.563]  We've got to learn what these bastards have done because they have cold-bloodedly come in with science and screwed our society up to make us dependent on them.
[01:41:35.583 --> 01:41:40.546]  You know, I didn't take a lot of calls today and I said I was and I covered some eugenics.
[01:41:41.486 --> 01:41:42.627]  I'm doing the best I can here.
[01:41:44.820 --> 01:41:46.861]  Everybody keeps saying, oh, the show's great, you're doing a good job.
[01:41:47.541 --> 01:42:02.426]  I know, but still, I just, when you know about this level of evil, you know about these criminals operating in plain view, you know they're poisoning the water, you know they're poisoning the food on record, it's just, you expect to see things instantly change.
[01:42:03.393 --> 01:42:05.015]  But that's not how things work.
[01:42:05.035 --> 01:42:06.596]  They didn't build their system overnight.
[01:42:06.636 --> 01:42:10.020]  We're not going to dismantle their system and get the Republic back overnight.
[01:42:10.420 --> 01:42:21.211]  But number one, having the attitude to win, the attitude to take action, having the facts, getting involved, you will get better at what you're doing by stepping up, by taking action.
[01:42:22.034 --> 01:42:23.875]  And so I can't expose all the eugenics.
[01:42:23.935 --> 01:42:31.100]  I mean, literally, I have seven stacks in here, this tall, each one, pure mainstream news, pushing eugenics, telling you how great it is to be sterilized.
[01:42:31.880 --> 01:42:33.201]  I mean, it's just off the charts.
[01:42:34.422 --> 01:42:36.543]  And I've covered probably 30 or 40 of those today.
[01:42:36.583 --> 01:42:38.324]  The point is, go look at it for yourself.
[01:42:38.404 --> 01:42:39.485]  It's a bottomless pit.
[01:42:40.005 --> 01:42:46.630]  They're committing crimes and evil and micromanaging control-freak garbage so fast, I can't even
[01:42:48.212 --> 01:42:49.253]  Track it!
[01:42:49.433 --> 01:42:58.402]  It's just a criminal society has taken over, they use scientific techniques, and we're all in the same boat.
[01:42:58.462 --> 01:43:00.263]  They are screwing all of us.
[01:43:00.444 --> 01:43:04.808]  I don't care who you are, or what you are, or what color you are, or where you live.
[01:43:06.172 --> 01:43:26.593]  But I know this, I'm getting letters from Brazil, and letters from South Korea, and letters from Japan, and letters from Russia, and calls from Russia, and I talk to contractors, and I talk to workers, and I talk to family who are on cruise ships in other parts of the world, and who work at factories in other parts of the world, and have people walk up to them and say, have you heard of InfoWars.com?
[01:43:26.633 --> 01:43:27.774]  Have you heard of Alex Jones?
[01:43:28.795 --> 01:43:36.878]  The responsibility of the fact that I'm trying to play down the people we reach, but I know the establishment knows, I'm reaching tens of millions now every month.
[01:43:37.318 --> 01:43:37.578]  New.
[01:43:38.019 --> 01:43:39.839]  I mean, we've hit mega-viral level.
[01:43:40.720 --> 01:43:43.781]  My radio show and the films are just a tiny little node.
[01:43:44.281 --> 01:43:49.003]  It's like a virus, but a good virus, that just you introduce a few viruses and then it turns into billions.
[01:43:51.434 --> 01:43:52.734]  I'm under total surveillance.
[01:43:53.175 --> 01:43:55.275]  I've got all sorts of black ops being pulled on me.
[01:43:55.355 --> 01:43:58.616]  I just ignore it and trust in God, you know, to go through the storm.
[01:43:58.756 --> 01:44:00.117]  I'm happy I've done this.
[01:44:00.457 --> 01:44:01.477]  You're only alive once.
[01:44:01.757 --> 01:44:04.838]  But the issue is we're making history right now.
[01:44:04.858 --> 01:44:11.020]  And the establishment is launching all sorts of COINTELPRO, whisper campaigns, black ops attacks.
[01:44:11.040 --> 01:44:14.422]  They're pulling out all the stops on me, trying to set me up.
[01:44:15.182 --> 01:44:18.363]  And I just want folks to know whatever happens to me, it's a victory.
[01:44:19.269 --> 01:44:23.410]  The testament to what I've been able to do with your help taking action.
[01:44:23.670 --> 01:44:24.451]  The testament.
[01:44:25.851 --> 01:44:34.954]  These type of stories that this writer, John in Tampa Bay, tells me where all the cops he sees are awake.
[01:44:35.854 --> 01:44:43.116]  I mean, it's just... I was talking to a friend last night who was in Oregon.
[01:44:44.301 --> 01:44:45.301]  Visiting family.
[01:44:46.102 --> 01:44:48.762]  I believe she told me the story, but she was visiting some friends in Florida.
[01:44:49.423 --> 01:44:50.543]  I mean, and I was thinking of Florida.
[01:44:50.623 --> 01:44:52.384]  And let me go back to the exact story.
[01:44:52.404 --> 01:44:52.644]  Hold on.
[01:44:52.924 --> 01:44:54.124]  Kind of download that here mentally.
[01:44:54.144 --> 01:45:02.327]  And it's also the friends... Somebody don't want to be mentioned on air, so I want to be careful not to mention that.
[01:45:02.647 --> 01:45:04.127]  I was talking to a friend last night.
[01:45:04.207 --> 01:45:04.867]  We were having dinner.
[01:45:05.728 --> 01:45:06.828]  My wife and I and some friends.
[01:45:06.988 --> 01:45:13.010]  And this friend was talking about how she was in... No, it was her mother!
[01:45:14.702 --> 01:45:21.428]  Our friend's mother was traveling, visiting family in Oregon, and she went to the Buffalo Bill Show.
[01:45:22.849 --> 01:45:25.652]  Because I guess there's a company that does that around the country.
[01:45:26.511 --> 01:45:34.974]  And they were at the Buffalo Bill Show, and they were just talking to some young man who was part of the Buffalo Bill Show, and he said, oh, have you heard of Infowars.com and Alex Jones?
[01:45:35.475 --> 01:45:38.996]  And then the mother of one of my friends was like, absolutely!
[01:45:39.036 --> 01:45:44.518]  And then suddenly there were more people there, and they were talking about, hey, everybody's awake here, we know what's going on.
[01:45:45.199 --> 01:45:53.522]  My only point in telling that story is that everywhere I go and everybody I talk to, they're having the same experiences.
[01:45:54.767 --> 01:46:05.250]  And I get calls and I get letters from New York and Wisconsin and South Texas and Colorado and New Zealand.
[01:46:05.270 --> 01:46:10.652]  I've had police departments call and say, did you do this?
[01:46:10.712 --> 01:46:14.774]  Did you spray paint InfoWars.com on this big derelict city building?
[01:46:15.634 --> 01:46:21.556]  And they'll send us a photo in New Zealand of InfoWars.com spray painted all across it and I'm like, no!
[01:46:24.197 --> 01:46:31.143]  Or I'll get a mean letter going, how dare you in these falls in Hawaii carve Infowars into the rock?
[01:46:31.744 --> 01:46:35.947]  Or people spray painting road signs in Colorado thinking I'm doing it.
[01:46:36.247 --> 01:46:38.429]  The point is folks, it's everywhere.
[01:46:38.549 --> 01:46:43.233]  And then I realize we have tens of millions of people listening to us.
[01:46:44.514 --> 01:46:46.676]  We've actually got the attention of the people
[01:46:48.345 --> 01:46:49.406]  What am I supposed to do?
[01:46:49.426 --> 01:46:56.430]  I mean, it's not even so much as a weight, it's just almost embarrassing.
[01:46:56.490 --> 01:46:58.431]  I mean, I'm not the guy for this job.
[01:46:58.491 --> 01:47:02.314]  I'm not the guy to be the leader of the resistance against the New World Order.
[01:47:02.554 --> 01:47:04.395]  But at the same time, who else is there?
[01:47:04.975 --> 01:47:05.575]  It's you.
[01:47:06.916 --> 01:47:09.118]  They can kill me individually, they can destroy my name.
[01:47:09.983 --> 01:47:11.646]  I've been analyzing their attack profile.
[01:47:11.666 --> 01:47:16.513]  They're more likely to invent scandals against me, but I'm so clean, I'm so square, it's hard to do.
[01:47:17.414 --> 01:47:22.101]  But whatever they do to me, don't see the movement as about Alex Jones.
[01:47:22.421 --> 01:47:23.883]  See it as about liberty and freedom.
[01:47:24.952 --> 01:47:28.435]  And realize you're a leader, and that they can't kill ideas.
[01:47:28.955 --> 01:47:46.410]  And that you, by going out, handing out DVDs, handing out films, handing out articles, handing out websites, starting your own local radio show, starting AXS TV, starting your own local activist group, by going out and going to city council and taking action, if you will take action, people will join you.
[01:47:46.730 --> 01:47:48.332]  If you will build it, they will come.
[01:47:48.712 --> 01:47:51.294]  If you will engage the enemy, we can defeat them.
[01:47:51.334 --> 01:47:53.296]  Because the enemy's coming in like a flood now!
[01:47:53.516 --> 01:47:54.597]  There's no more denials.
[01:47:54.737 --> 01:47:56.138]  Open world government's been announced.
[01:47:56.578 --> 01:48:06.585]  And I always knew at this key juncture that if I got out there and warned as many people as I could about the globalist plan and didn't hold back, a lot of other folks knew as much as I did.
[01:48:06.625 --> 01:48:09.447]  They just didn't want to sound kooky, so they only put a little bit out.
[01:48:09.807 --> 01:48:17.652]  I went all the way to the wall with the most radical info I could that was factual, knowing that people wouldn't believe me then.
[01:48:18.723 --> 01:48:33.486]  But that as it all came true, then they would remember, and that it's that power of revelation, it's that power of the foresight that people pay attention to, and that by doing that, they would then wake up and get involved and join us.
[01:48:34.505 --> 01:48:35.105]  And we've done that.
[01:48:35.145 --> 01:48:38.587]  We planted tens of millions of seeds all across the world.
[01:48:38.627 --> 01:48:43.290]  And now those have grown mentally and spiritually and they are planting seeds.
[01:48:43.550 --> 01:48:46.031]  And so the great harvest is coming.
[01:48:46.292 --> 01:48:48.353]  So the enemy is going to stage nuclear attacks.
[01:48:48.633 --> 01:48:50.034]  They're going to stage flu attacks.
[01:48:50.254 --> 01:48:52.775]  They're going to stage World War III type events, wars.
[01:48:53.215 --> 01:48:55.577]  They are going to bankrupt everything by design.
[01:48:56.017 --> 01:48:57.318]  They are going to bring in hell.
[01:48:58.178 --> 01:49:00.980]  In an attempt to block us, but they were already going to do that.
[01:49:01.380 --> 01:49:03.662]  We're now just engaging them on our terms.
[01:49:04.222 --> 01:49:05.443]  They were attacking us anyways.
[01:49:05.483 --> 01:49:06.764]  We just decided to fight back.
[01:49:07.544 --> 01:49:09.826]  Some people say, well, you're goading them into moving quicker.
[01:49:10.106 --> 01:49:10.767]  Yes, we are.
[01:49:11.567 --> 01:49:17.251]  If they're behind in the race, they don't have the pole position, we can force them to drive recklessly.
[01:49:17.591 --> 01:49:20.493]  We can force them to try to push the situation.
[01:49:20.933 --> 01:49:26.437]  That means that they've got the momentum and the power and the money, but we got the numbers and the truth.
[01:49:26.957 --> 01:49:27.318]  And that
[01:49:27.978 --> 01:49:35.263]  It's a fight of our lives, a fight for our lives, and we're going to go 110% into this fight, swinging as hard as we can, committing.
[01:49:35.544 --> 01:49:49.093]  And when you commit and stop caring what happens to your body, what happens to your name, when you just get in the fight and go 110%, you're pretty much assured of victory, folks, if you'll just gut up and go absolutely A. In the Info War.
[01:49:49.193 --> 01:49:49.694]  Stay with us.
[01:49:52.529 --> 01:49:57.837]  In the New World Order's war against humanity, Barack Obama is the tip of the spear.
[01:49:58.337 --> 01:50:05.347]  We've got to have a civilian national security force that's just as powerful, just as strong, just as well-funded.
[01:50:05.914 --> 01:50:12.117]  The Obama deception completely destroys the myth that Obama is working for the best interest of the American people.
[01:50:12.497 --> 01:50:14.338]  Well, Obama's already fudging.
[01:50:14.478 --> 01:50:16.899]  He's fudged since day one in this election.
[01:50:16.979 --> 01:50:27.945]  If you have a demagogue with a fanatical mass movement of personality cultists who is imposing the program of a group of extreme bankers and finance oligarchs, that's fascism.
[01:50:28.545 --> 01:50:29.846]  It's not about left or right.
[01:50:30.206 --> 01:50:31.627]  It's about a one world government.
[01:50:32.088 --> 01:50:38.412]  This film documents who Obama works for, the lies he is told, and his real agenda.
[01:50:38.993 --> 01:50:46.758]  Get your copy of The Obama Deception today at InfoWars.com or download it in super high quality at PrisonPlanet.tv.
[01:50:47.259 --> 01:50:48.400]  The Obama Deception.
[01:50:48.820 --> 01:50:50.021]  The people strike back.
[01:50:51.812 --> 01:50:52.893]  Economy, have you down?
[01:50:53.073 --> 01:50:54.614]  Scared you might lose your job?
[01:50:54.754 --> 01:50:56.675]  Worry how you will provide for your family?
[01:50:56.835 --> 01:50:58.757]  Do you worry where your money will come from?
[01:50:58.957 --> 01:51:01.959]  You know that the economy is getting worse, but there is hope!
[01:51:02.259 --> 01:51:06.542]  Robert Beatles' new book, Here's What You Do, tells you what to do and how to do it!
[01:51:06.802 --> 01:51:10.124]  Even a 10-year-old can figure it out after reading this 72-page book!
[01:51:10.344 --> 01:51:11.084]  And the best part?
[01:51:11.265 --> 01:51:13.006]  This book is priced under $10!
[01:51:13.286 --> 01:51:14.947]  Don't be the victim, be a victor!
[01:51:15.207 --> 01:51:17.108]  Go to hereiswhatyoudo.net.
[01:51:17.308 --> 01:51:18.950]  That's hereiswhatyoudo.net.
[01:51:19.170 --> 01:51:20.470]  Again, hereiswhatyoudo.net.
[01:51:21.351 --> 01:51:22.832]  Wondering about your retirement portfolio?
[01:51:22.952 --> 01:51:27.255]  Is your financial advisor experienced enough to combat rising interest rates, taxes, inflation?
[01:51:27.495 --> 01:51:31.198]  Stop guessing and go to the expert, Robert Chapman of The International Forecaster.
[01:51:31.238 --> 01:51:35.801]  With 45 years of experience and concise investment recommendations, who needs sugar-coated excuses?
[01:51:35.981 --> 01:51:38.462]  Get the cold, hard facts and a proven investment strategy.
[01:51:38.583 --> 01:51:42.545]  For a free introductory copy to The International Forecaster, call 877-479-8178 or go to theinternationalforecaster.com.
[01:51:42.565 --> 01:51:42.845]  That's 877-479-8178.
[01:51:42.865 --> 01:51:42.905]  877-479-8178.
[01:51:52.412 --> 01:51:53.893]  Do you have trouble getting through the day?
[01:51:54.234 --> 01:51:55.975]  Do you feel tired and worn out?
[01:51:56.576 --> 01:51:57.537]  It's a proven fact.
[01:51:57.877 --> 01:52:01.941]  Many people do not get the proper daily intake of essential vitamins and nutrients.
[01:52:02.461 --> 01:52:07.646]  With the lifestyles we lead, eating fruits and vegetables is sometimes easier said than done.
[01:52:08.167 --> 01:52:09.988]  Introducing Choose4Health.
[01:52:10.489 --> 01:52:15.693]  Choose4Health brings you 16 powerful ingredients in one delicious chewable.
[01:52:19.735 --> 01:52:20.135]  I think so.
[01:52:41.846 --> 01:52:43.627]  No credit card, and no auto-ship.
[01:52:43.887 --> 01:52:44.728]  That number again is 1-800-210-1922.
[01:52:44.748 --> 01:52:45.048]  That's 1-800-210-1922.
[01:53:01.747 --> 01:53:05.131]  Yeah, it's gotta be no more Mr. Nice Guy with the New World Order boys.
[01:53:06.072 --> 01:53:14.020]  And if we step up to the plate, we take action, a lot of people inside the globalist system who don't like what's happening, they're gonna speak up as well.
[01:53:14.040 --> 01:53:17.043]  And then this whole New World Order is gonna collapse.
[01:53:17.884 --> 01:53:19.325]  But, that isn't enough.
[01:53:20.687 --> 01:53:23.750]  Society itself has become very decadent and immoral.
[01:53:25.316 --> 01:53:27.038]  But you gotta fall before you can rise.
[01:53:27.799 --> 01:53:28.619]  Myself included.
[01:53:28.660 --> 01:53:33.605]  We just all gotta love God, love our families, try to be good people, not be quick to anger.
[01:53:34.005 --> 01:53:35.347]  Lord knows I'm one of the worst at that.
[01:53:35.827 --> 01:53:38.370]  To really gauge things and know what's going on.
[01:53:38.650 --> 01:53:40.212]  Not get into being stupid.
[01:53:41.479 --> 01:53:45.241]  Like the foolish police that go, you know, steal some veteran's upside-down flag.
[01:53:45.582 --> 01:53:48.684]  Even if it was a sign of disrespect, it's his right to do it!
[01:53:49.324 --> 01:53:55.368]  When you urinate on the First Amendment, you've destroyed the spirit of what the flag symbolizes.
[01:53:55.668 --> 01:53:58.330]  If we don't have these rights, the flag's just three colors.
[01:54:00.391 --> 01:54:04.754]  The United States isn't special, it's just more dirt if we don't have our Bill of Rights and Constitution.
[01:54:07.591 --> 01:54:08.252]  You know, here I am.
[01:54:08.312 --> 01:54:14.718]  I've done all these hours of radio broadcasts and haven't even really plugged much of the films or books and materials, but be sure and check them out at InfoWars.com.
[01:54:15.879 --> 01:54:17.700]  We broke down a lot of stuff at the first of the show.
[01:54:17.720 --> 01:54:19.262]  The rebroadcast is coming up here in a few minutes.
[01:54:19.762 --> 01:54:26.589]  I did want to tell listeners about a few of the sponsors that also made today's radio transmission possible, and one of them is eFoodsDirect.com.
[01:54:26.609 --> 01:54:32.914]  This is the source, the name, in high-quality, storable foods, non-GMO, non-hybrid, no MSG, no garbage.
[01:54:33.735 --> 01:54:45.440]  And they got free catalogs, free videos you can watch about the food at E, the letter E, foodsdirect.com, efoodsdirect.com, big banners up on infowars.com if you missed it, or 1-800-409-5633.
[01:54:45.940 --> 01:54:51.243]  You've got to be self-sufficient, you've got to be prepared going into these crazy waters, this crazy time we're entering.
[01:54:51.983 --> 01:54:53.384]  When it looks like they're going for broke.
[01:54:54.025 --> 01:54:56.467]  You need firearms and food and things like that.
[01:54:56.487 --> 01:54:58.269]  800-409-5633.
[01:54:58.289 --> 01:55:02.373]  800-409-5633 or efoodsdirect.com.
[01:55:03.034 --> 01:55:08.920]  And I also want to remind listeners, Ted is selling gold at 30-something dollars lower than what the market is.
[01:55:08.940 --> 01:55:13.604]  You know, he bought gold at 913, it's above 940, and he's selling it with no markup.
[01:55:13.944 --> 01:55:15.206]  So it's an incredible discount.
[01:55:15.746 --> 01:55:18.047]  And that won't last very, very long.
[01:55:18.487 --> 01:55:19.408]  So 800-686-2237.
[01:55:19.428 --> 01:55:22.289]  800-686-2237.
[01:55:24.370 --> 01:55:27.651]  Modest Resources also making this radio show possible.
[01:55:28.052 --> 01:55:37.196]  Another one of our fine sponsors that I want you to know about is, in closing, is, before I make a few final comments, is FrontSite.com.
[01:55:38.422 --> 01:55:41.286]  Have you ever heard of the millionaire patriot Dr. Ignatius Piazza?
[01:55:41.646 --> 01:55:47.274]  The founder of the Front Sight Firearms Training Institute is offering a free handgun and five days of firearms training to my listeners.
[01:55:48.095 --> 01:55:52.761]  This offer is only available for a limited time because Dr. Piazza is literally paying out of his own pocket to
[01:55:53.442 --> 01:55:57.324]  I'm talking to a lot of friends and neighbors and others who are planning to do this in the fall when it's not so hot.
[01:55:57.344 --> 01:55:59.145]  So if I was you, I'd get booked now, folks, because
[01:56:24.131 --> 01:56:26.852]  People are really, really getting excited about this FrontSite.com.
[01:56:27.173 --> 01:56:28.393]  Again, I want to thank the sponsors.
[01:56:28.413 --> 01:56:29.414]  They make the show possible.
[01:56:29.434 --> 01:56:32.415]  I want to thank the crew up here.
[01:56:32.435 --> 01:56:38.678]  You know, when I hire somebody to work here, and I tend to do it with these blind ads because I don't want to hire fans.
[01:56:39.218 --> 01:56:43.540]  Not that fans are bad, but you put a public ad out, you get infiltrators.
[01:56:43.600 --> 01:56:44.140]  We've had them.
[01:56:44.220 --> 01:56:44.800]  It's not fun.
[01:56:45.641 --> 01:56:50.063]  I have a profession where I deal with infiltrators.
[01:56:51.738 --> 01:57:02.769]  This isn't Kansas, ladies and gentlemen, but I want to thank the crew we've got, because I tell them when they come to work here, I say, uh, you're signing on to get sent to Camp X-Ray, boys and girls, if we don't beat these people.
[01:57:02.809 --> 01:57:12.199]  So I want to commend our cheerful crew, and I want to commend the Genesis Network and all of our Aminathem affiliates, the Global Shortwave listeners, everybody else out there.
[01:57:13.504 --> 01:57:18.046]  And I just can't stress enough what the Obama Deception and Endgame are doing out there with all of you making copies of them.
[01:57:18.406 --> 01:57:18.946]  Keep that up.
[01:57:18.986 --> 01:57:19.967]  We salute all of you.
[01:57:20.467 --> 01:57:22.848]  Key retransmission starts now.
[01:57:22.968 --> 01:57:24.989]  OnePlaceInfoWars.com.
[01:57:25.029 --> 01:57:26.910]  Then I'm re-airing on AM and FM's all over the country.
[01:57:26.950 --> 01:57:30.451]  But OnePlaceInfoWars.com with the audio internet retransmission.
[01:57:33.552 --> 01:57:36.934]  Thank you for listening to GCN.
[01:57:36.974 --> 01:57:38.615]  Visit GCNlive.com today.
[01:57:41.596 --> 01:57:42.696]  This is Alex Jones.
[01:57:42.976 --> 01:57:44.757]  Have you heard of the Millionaire Patriot?
[01:57:44.977 --> 01:57:45.577]  Well, you should.
[01:57:45.597 --> 01:57:50.218]  He has a free handgun and five days of firearms training waiting for you.
[01:57:50.439 --> 01:57:50.919]  That's right.
[01:57:51.239 --> 01:57:59.701]  You can attend five days of world-class gun training at Front Sight Firearms Training Institute and secure a 30-state concealed weapons permit.
[01:57:59.901 --> 01:58:01.142]  All for pennies on the dollar.
[01:58:01.262 --> 01:58:02.402]  Plus, if you act fast.
[01:58:02.622 --> 01:58:08.244]  The Millionaire Patriot will give you a free Springfield Armory XD pistol in the caliber of your choice.
[01:58:08.585 --> 01:58:15.107]  I believe now is the time that you and your family need to be armed and trained to levels that exceed law enforcement and military standards.
[01:58:15.488 --> 01:58:20.670]  Front Sight provides such training without any boot camp mentality or drill instructor attitudes.
[01:58:21.010 --> 01:58:22.151]  This is real.
[01:58:22.471 --> 01:58:23.211]  Don't miss out.
[01:58:23.512 --> 01:58:31.896]  Secure a Front Sight Defensive Handgun Course plus a 30 state concealed weapons permit for pennies on the dollar and get your free handgun.
[01:58:32.077 --> 01:58:34.258]  Go to FrontSight.com today.
[01:58:34.438 --> 01:58:37.960]  That's F-R-O-N-T-S-I-G-H-T dot com.
[01:58:38.140 --> 01:58:41.122]  Go to FrontSight.com for your training and free gun.
[01:58:44.744 --> 01:58:47.045]  This is the GCN Radio Network.
[01:58:47.446 --> 01:58:49.367]  Home to hard-hitting talk radio.
