[00:00:06.152 --> 00:00:11.395]  Set off all ceramic filter systems and ship all orders over $50 free of charge.
[01:32:23.415 --> 01:32:25.236]  Or visit Ecolablue at ecoloblue.com today.
[01:32:39.651 --> 01:32:50.699]  Aerial spraying, chemtrails, the modified atmosphere, heavy metals and pesticides, carcinogens and chemical fibers all falling from the sky.
[01:32:51.400 --> 01:32:53.942]  You have a choice to keep your body clean.
[01:32:54.502 --> 01:32:58.385]  Detoxify with micro plant powder from hempusa.org or call 908-691-2608.
[01:32:58.505 --> 01:32:59.866]  It's odorless and tasteless.
[01:33:06.331 --> 01:33:06.711]  I think so.
[01:33:34.020 --> 01:33:35.802]  The GCN Radio Network.
[01:33:36.162 --> 01:33:39.084]  Providing the world with hard-hitting talk radio.
[01:33:39.685 --> 01:33:40.345]  GCN.
[01:33:40.786 --> 01:33:42.787]  Great talk radio starts here.
[01:33:42.807 --> 01:33:54.217]  Alright, Danielle, I'm gonna go back to you in a minute, then I'm gonna hit my big news today.
[01:33:54.717 --> 01:33:55.578]  Sharon, go ahead and bring it in.
[01:33:56.619 --> 01:34:00.642]  During that three-minute break, we printed five mainstream news stories.
[01:34:00.662 --> 01:34:02.704]  I'm gonna read these to you right now.
[01:34:04.059 --> 01:34:10.848]  Mail-on-line alert over jab for girls is to die following cervical cancer vaccination.
[01:34:11.469 --> 01:34:13.011]  That was just in trials in Europe.
[01:34:13.071 --> 01:34:14.253]  There's hundreds of these articles.
[01:34:14.273 --> 01:34:16.516]  The way they report on it is death here, death there.
[01:34:16.917 --> 01:34:17.698]  Hundreds dead!
[01:34:19.153 --> 01:34:21.395]  And thousands having autoimmune diseases.
[01:34:21.495 --> 01:34:23.357]  It is a live cancer virus.
[01:34:23.957 --> 01:34:27.580]  On the insert for Gardasil, it says it doesn't even protect you from cervical cancer.
[01:34:27.900 --> 01:34:41.231]  There are over 350 variants of it, and studies are out that having that virus then gives you more than a 70% reduction in not getting a whole class of fast-acting cancers.
[01:34:41.651 --> 01:34:42.312]  It's a buffer.
[01:34:44.553 --> 01:34:46.175]  Eh, you won't believe it until you all die of cancer.
[01:34:46.235 --> 01:34:47.496]  Fine, just look, folks.
[01:34:48.151 --> 01:34:52.272]  A few decades ago it was 5 or 6 vaccines they said were mandatory and they'd lie about it and say it was.
[01:34:52.312 --> 01:34:54.192]  Then it was 30, now 40, now 50, now 60.
[01:34:54.892 --> 01:34:58.153]  These companies come in and lobby government and they force you to take it.
[01:34:58.653 --> 01:35:01.414]  The same companies like Merck that gave you Vioxx.
[01:35:03.034 --> 01:35:06.295]  Bayer that knowingly shipped HIV and Hepatitis out in Factor VIII.
[01:35:08.435 --> 01:35:10.556]  Don't roll your eyes at me, Google it.
[01:35:11.436 --> 01:35:12.556]  During the break we Googled.
[01:35:14.964 --> 01:35:16.285]  Gardasil deaths.
[01:35:16.765 --> 01:35:18.006]  Thousands of articles.
[01:35:19.046 --> 01:35:19.647]  Here's another one.
[01:35:20.667 --> 01:35:21.568]  New York Daily News.
[01:35:21.628 --> 01:35:23.829]  My girl died as guinea pig for Gardasil.
[01:35:25.810 --> 01:35:31.314]  Ladies and gentlemen, Merck knew they had a vaccine three years ago in trials.
[01:35:31.394 --> 01:35:34.996]  I had doctors and scientists on that had killed a bunch of people in the trials.
[01:35:35.956 --> 01:35:37.477]  Just like they knew in 1981 that Prozac caused a 15
[01:35:41.638 --> 01:35:45.501]  Times fold increase in suicide in their tiny trials.
[01:35:45.541 --> 01:35:48.663]  And they covered it up, and now they have to put on the insert, it makes you kill people.
[01:35:50.024 --> 01:35:50.505]  And yourself.
[01:35:52.046 --> 01:35:53.046]  That's now on the insert.
[01:35:53.307 --> 01:35:55.068]  No more sucking your thumb and denying.
[01:35:55.928 --> 01:36:07.197]  Now, they knew they had a bad drug that had cost them billions of dollars, but when they pay off a governor like Rick Perry, and it came out that they gave his campaign to everybody else who voted for it in the legislature, big scandal.
[01:36:08.838 --> 01:36:10.259]  When he makes it mandatory,
[01:36:10.922 --> 01:36:13.164]  Quote, mandatory that schools try to push it on you.
[01:36:13.324 --> 01:36:14.485]  Puts it on the mandatory list.
[01:36:15.026 --> 01:36:18.769]  Then federal money for vaccine damage kicks in.
[01:36:19.910 --> 01:36:25.836]  So they can dump it on the market just like Bayer dumped Factor VIII on the market full of HIV.
[01:36:28.058 --> 01:36:29.519]  Just Google Factor VIII AIDS.
[01:36:29.599 --> 01:36:30.760]  Don't you deny me.
[01:36:30.800 --> 01:36:32.362]  Your family depends on this.
[01:36:32.682 --> 01:36:34.464]  Your children depend on this, listeners.
[01:36:35.413 --> 01:36:38.094]  My girl died as a guinea pig.
[01:36:38.494 --> 01:36:41.615]  Go put Gardasil Deaths in on YouTube and watch all the local newscasts.
[01:36:41.975 --> 01:36:47.517]  Nationally, they won't put it on TV, but you'll see the girls, blood pouring out their eyes, their mouths, every orifice.
[01:36:47.937 --> 01:36:49.557]  It's like an Ebola death.
[01:36:51.478 --> 01:36:52.298]  Hell, don't believe me?
[01:36:52.318 --> 01:36:53.599]  Go ahead and murder your daughters.
[01:36:54.099 --> 01:36:56.179]  Maybe after your daughter dies, you'll listen to me.
[01:36:56.379 --> 01:36:57.500]  Go ahead, murder them!
[01:36:59.060 --> 01:37:01.501]  Or maybe after they're paralyzed in the hospital a few months.
[01:37:02.202 --> 01:37:07.683]  A lot of times they have a convulsion that night, you take them back to the doctor and they go, oh the vaccine didn't do it, I don't have any liability.
[01:37:08.883 --> 01:37:11.744]  These pimp doctors get $900 for the shots.
[01:37:12.424 --> 01:37:16.825]  That's why they tell people on Medicare and Medicaid it's the law, they gotta take it, because they know they're getting a big piece of it.
[01:37:17.945 --> 01:37:20.526]  Those pimp doctors are getting about $300 cash.
[01:37:21.626 --> 01:37:26.387]  They can go buy hookers with that, they can go buy drugs with that, they can go buy golf course fees with that.
[01:37:26.407 --> 01:37:27.547]  You think they care about you?
[01:37:31.596 --> 01:37:32.397]  I'm sick of it!
[01:37:32.457 --> 01:37:34.779]  I'm not living in the middle of this eugenics pit anymore.
[01:37:36.680 --> 01:37:37.040]  Look at this.
[01:37:37.060 --> 01:37:38.742]  Let me tell you how evil the government is.
[01:37:39.042 --> 01:37:48.830]  New York Daily News admits they grabbed little black kids, CPS does, from their kids and test pesticides on them, chained down over three months till the black kid dies.
[01:37:49.530 --> 01:37:50.371]  That's your government.
[01:37:50.531 --> 01:37:53.293]  They take little kids and radiate them to death and poison them.
[01:37:53.494 --> 01:37:55.115]  This government is completely criminal.
[01:37:55.295 --> 01:37:56.996]  I'm risking my life bringing you this info.
[01:37:57.196 --> 01:37:58.117]  They don't control everything.
[01:37:58.137 --> 01:37:58.998]  See, that's why I'm on the radio.
[01:38:00.017 --> 01:38:02.559]  They can just sit there carrying out their evil and nobody prosecutes them.
[01:38:02.899 --> 01:38:03.520]  Here's another one.
[01:38:03.700 --> 01:38:04.441]  You think I'm joking?
[01:38:04.601 --> 01:38:07.143]  This is out of The Australian, biggest newspaper in Australia.
[01:38:07.383 --> 01:38:08.564]  It's also ABC News.
[01:38:09.405 --> 01:38:12.207]  Vioxx maker Merck and co.
[01:38:12.247 --> 01:38:13.648]  drew up Dr. Hit List.
[01:38:14.549 --> 01:38:17.251]  And it says doctors to be, quote, liquidated.
[01:38:17.672 --> 01:38:18.112]  And guess what?
[01:38:18.132 --> 01:38:19.894]  It just so turns out we did a database search.
[01:38:19.914 --> 01:38:23.296]  A bunch of doctors that were critical of them got their heads blown off.
[01:38:24.157 --> 01:38:26.319]  Oh yeah, they really care about you and your family.
[01:38:27.842 --> 01:38:31.945]  Now, ma'am, I blew up at you because I'm worried about your family.
[01:38:32.385 --> 01:38:38.729]  I get angry, and I'm going to go to her in a minute, but I'm trying to explain this to you.
[01:38:38.769 --> 01:38:43.572]  Most of the women that die taking the Merck shot take the second or third shot.
[01:38:43.612 --> 01:38:45.073]  I know you're saying they already got five.
[01:38:45.153 --> 01:38:55.180]  No, they got other IQ reducers and cancer implantation operations put in them through the compartmentalized idiot that was lying saying take the shots.
[01:38:56.241 --> 01:38:56.501]  Okay?
[01:38:58.167 --> 01:39:00.789]  They haven't gotten the other two shots yet unless they've been back.
[01:39:00.989 --> 01:39:03.070]  That doctor needs to have complaints filed on him.
[01:39:03.330 --> 01:39:09.774]  That doctor, listen, for anybody that doesn't believe me about this, I had the state's attorney on for Maryland a year and a half ago.
[01:39:10.154 --> 01:39:10.954]  It's up on YouTube.
[01:39:12.375 --> 01:39:20.860]  I saw him on CNN with drug dogs barking at children, 2,000 children lined up outside being forcibly injected in front of the courthouse in St.
[01:39:20.920 --> 01:39:23.561]  George County, Maryland.
[01:39:25.202 --> 01:39:26.103]  And I saw them
[01:39:27.529 --> 01:39:31.691]  They're crying, saying, I don't want to take it, but it's the law, and crying.
[01:39:31.731 --> 01:39:35.593]  And I call him up, and I get him on, and I go, sir, you know there's a waiver for that, and there's no law.
[01:39:35.613 --> 01:39:38.234]  It's a waiver for a regulation, so it's color law.
[01:39:38.254 --> 01:39:41.315]  And he laughed on air and said, yeah, I don't even vaccinate my own kids.
[01:39:41.895 --> 01:39:45.017]  And I said, but you and the judge told him all, and the news told him it was the law.
[01:39:45.697 --> 01:39:47.938]  And he just said, well, look, there were waivers available.
[01:39:47.978 --> 01:39:50.039]  And I said, no, you were on the news saying it was mandatory.
[01:39:51.229 --> 01:39:55.853]  This is what these people do so they can wear a suit and be fancy and have people kiss their butt in some courthouse.
[01:39:56.233 --> 01:39:58.155]  It's all about fake baloney.
[01:39:58.535 --> 01:39:59.916]  Well, I don't care about fake baloney.
[01:39:59.956 --> 01:40:00.677]  I'm going to tell the truth.
[01:40:00.717 --> 01:40:03.219]  Now, who's turned the mic on?
[01:40:03.259 --> 01:40:08.803]  You were talking about, Paul Hart was talking about, talking to the doctor about his daughter and son, and the doctor told him the truth.
[01:40:08.843 --> 01:40:09.724]  They said, it's the law.
[01:40:09.784 --> 01:40:11.165]  I got to push them on you.
[01:40:13.507 --> 01:40:15.208]  But no, I don't even carry them in this office.
[01:40:15.228 --> 01:40:16.970]  See, the good news is we're starting to win this fight.
[01:40:18.086 --> 01:40:21.707]  When I had my first child, they tried to act like I was a cult member and talk to me weird.
[01:40:21.967 --> 01:40:25.309]  When I had my third child a year ago, they were like, yeah, none of us take them now.
[01:40:25.369 --> 01:40:27.609]  Yeah, we know it's killing everybody, but we're not allowed to talk about it.
[01:40:28.010 --> 01:40:29.750]  Yeah, yeah, yeah, we just have to ask you.
[01:40:29.790 --> 01:40:30.790]  Don't take them, I don't take them.
[01:40:31.531 --> 01:40:32.931]  I don't, I didn't vaccinate my kids.
[01:40:32.951 --> 01:40:39.674]  I agree, you know, the nurses now, see, they now, because they see enough people flopping around the floor, blood pouring out, when the black op gets run.
[01:40:40.234 --> 01:40:46.156]  And see, everybody just covers it up, and it's, well, there's a federal fund, pays that off, you know, that's how it is.
[01:40:47.941 --> 01:40:49.402]  Who's going to tell folks what they said to you?
[01:40:49.422 --> 01:41:00.231]  I just called up this pediatrician that I found just because I knew my present pediatrician probably was going to pressure me into vaccinating my son.
[01:41:00.251 --> 01:41:00.971]  Yeah, they'll lie to you.
[01:41:00.991 --> 01:41:01.352]  They're scum.
[01:41:02.222 --> 01:41:03.543]  Wanted to get her stance on it.
[01:41:03.583 --> 01:41:10.745]  She just told me that she's required by law to offer them to me and suggest that I do it.
[01:41:10.845 --> 01:41:18.288]  But she says that she doesn't even carry them in her office because they go bad too quick and that she won't pressure me into a vaccine.
[01:41:18.348 --> 01:41:20.749]  There is no law to take them.
[01:41:21.009 --> 01:41:25.251]  You saw the mainstream news articles in Bloomberg about a mixing weaponized bird flu with the vaccines.
[01:41:25.491 --> 01:41:27.211]  And then they shipped it out and won't say what happened.
[01:41:27.411 --> 01:41:31.333]  And suddenly this new virus pops up and they're saying they're getting ready for martial law in the fall.
[01:41:33.234 --> 01:41:34.194]  Who's comments on that?
[01:41:34.214 --> 01:41:36.875]  It's just crazy, man.
[01:41:36.935 --> 01:41:38.215]  Something looks real sheisty.
[01:41:38.375 --> 01:41:39.355]  You work in this office.
[01:41:39.375 --> 01:41:43.456]  You know, I hired you because you were a board op up here at KLBJ and you worked at KI2 and TV.
[01:41:43.877 --> 01:41:45.857]  You didn't believe a lot of the stuff when I first hired you.
[01:41:46.097 --> 01:41:47.517]  You've now seen me do the show.
[01:41:48.037 --> 01:41:50.518]  Now, is everything I talk about documented, even mainstream?
[01:41:52.098 --> 01:41:52.659]  Oh, yeah.
[01:41:53.919 --> 01:41:54.319]  I mean, it...
[01:41:55.023 --> 01:41:57.024]  You're kind of in disbelief until you see it.
[01:41:57.064 --> 01:42:04.426]  I mean, I've got ABC News and The Australian with Vioxx maker Merck drew up Dr. Hit List.
[01:42:05.306 --> 01:42:07.907]  It's like that one dude said, hitting it in plain view, right?
[01:42:08.347 --> 01:42:10.008]  It's totally, exactly!
[01:42:10.228 --> 01:42:11.168]  Listen, folks.
[01:42:12.131 --> 01:42:24.321]  I can pull up New York Daily News, and then I had the local families on, because social workers finally said we can't be part of this, where they would go grab little black kids and take them and chain them down and test pesticides on them and murder them!
[01:42:24.601 --> 01:42:26.223]  They murder children!
[01:42:26.703 --> 01:42:29.225]  I would be a weirdo if I wasn't upset about this!
[01:42:30.486 --> 01:42:36.091]  Folks, even if you're for vaccines, just find out there's no law, you gotta take them, and then ask yourself why the news gets up and says it's the law.
[01:42:37.955 --> 01:42:39.377]  This is all color of law.
[01:42:39.517 --> 01:42:47.446]  It's just like even if you're for the global warming tax and you want to pay $2,800 a year just to start and you want all the jobs shut down and you think it's great.
[01:42:48.648 --> 01:42:50.170]  They didn't let Congress read it!
[01:42:51.151 --> 01:42:52.432]  Now, Danielle, I'm sorry.
[01:42:53.013 --> 01:42:55.776]  Now I haven't even covered the big news I said I would, but I'll do that in the final segment.
[01:42:55.816 --> 01:42:57.058]  The lines have been loaded the whole show.
[01:42:58.012 --> 01:43:00.873]  You know, this gets to me because I know they're a pack of liars.
[01:43:01.033 --> 01:43:03.333]  I know the cops are shooting themselves up.
[01:43:03.613 --> 01:43:07.014]  I mean, when I say they put cancer viruses in vaccines, it's been found everywhere.
[01:43:07.474 --> 01:43:09.394]  But does that answer your question, Danielle?
[01:43:10.614 --> 01:43:10.954]  Yes.
[01:43:11.774 --> 01:43:18.276]  I read some articles about that Gardasil thing, and there are a couple of girls that died and were in critical condition.
[01:43:18.376 --> 01:43:19.136]  Not a couple!
[01:43:19.476 --> 01:43:19.956]  No, no.
[01:43:20.796 --> 01:43:22.316]  The media does that as a tactic.
[01:43:22.356 --> 01:43:25.637]  I read that in an army psych warfare document, British Army document from the 40s.
[01:43:26.517 --> 01:43:29.220]  When they're killing thousands, they'll only tell you about a couple of them.
[01:43:29.440 --> 01:43:31.201]  That creates the illusion it's only a few.
[01:43:31.601 --> 01:43:32.963]  Ma'am, it's mass death.
[01:43:33.023 --> 01:43:33.483]  It's not a couple.
[01:43:33.503 --> 01:43:36.906]  Heart-related health problems affect millions of people each year.
[01:43:37.046 --> 01:43:46.534]  Maybe you're one of the many who suffer from issues related to angina pain, high blood pressure, congestive heart failure, unbalanced cholesterol, irregular heartbeat, or clogged arteries.
[01:43:46.674 --> 01:43:53.520]  There is a solution that doesn't involve expensive prescription drugs that only mask the problem and leave you with horrible side effects.
[01:43:53.740 --> 01:44:07.206]  If you are ready to live your life free of sickness, pain, and fear, live your life with increased vitality, energy, and youthfulness, and experience your body healing itself, then you're ready for Heart and Body Extract from Healthy Hearts Club.
[01:44:07.246 --> 01:44:12.808]  Here is what one satisfied customer had to say about Heart and Body Extract regarding his angina pain.
[01:44:13.028 --> 01:44:16.030]  I haven't had an angina pain since I've been on it.
[01:44:16.090 --> 01:44:18.491]  The Heart and Body Extract is just so great.
[01:44:18.591 --> 01:44:23.333]  I thank God that I was led to this product that's doing so much for me, and that can do so much for other people.
[01:44:33.359 --> 01:44:36.401]  When you hear the words water purification, what comes to mind?
[01:44:36.741 --> 01:44:40.323]  If it's Berkey Water Purification Systems, this message is for you.
[01:44:40.623 --> 01:44:44.085]  Did you know that over 60% of municipal water contains fluoride?
[01:44:44.365 --> 01:44:49.288]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water.
[01:44:49.448 --> 01:44:49.608]  I think?
[01:45:05.680 --> 01:45:10.522]  You'll receive a shower filter, a fluoride filter, or two sport Berkey bottles absolutely free.
[01:45:10.802 --> 01:45:20.247]  Big Berkey Water Filters dot com would like to offer GCN listeners 5% off all ceramic filter systems and ship all orders over $50 free of charge.
[01:45:20.547 --> 01:45:22.868]  Visit Big Berkey Water Filters dot com.
[01:45:23.108 --> 01:45:25.429]  That's Big Berkey Water Filters dot com.
[01:45:25.670 --> 01:45:26.370]  Or call 1-877-99-BERKEY.
[01:45:26.470 --> 01:45:27.030]  That's 1-877-99-BERKEY today.
[01:45:33.726 --> 01:45:35.969]  Are you concerned about an economic downfall?
[01:45:36.209 --> 01:45:40.794]  Would you like to have more money to invest in precious metals, food, and safety of your loved ones?
[01:45:41.114 --> 01:45:48.383]  With the Debt Crisis Solutions Program, you can finally be debt-free without paying another cent to creditors and not have to file bankruptcy.
[01:45:48.763 --> 01:45:54.669]  This is not debt counseling, settlement, or debt consolidation, which may have serious legal and tax consequences.
[01:45:54.950 --> 01:45:58.794]  With our program, you will not pay another penny to your creditors or collectors.
[01:45:59.054 --> 01:46:03.899]  Protect your home, paycheck, and bank account from any lawsuits and restore your credit history.
[01:46:04.099 --> 01:46:09.683]  We also provide mortgage modification services which can lower your mortgage payments without refinancing.
[01:46:10.043 --> 01:46:13.025]  If you're facing foreclosure problems, we can help.
[01:46:13.405 --> 01:46:16.608]  Finally, proven debt solutions that work for the people.
[01:46:16.868 --> 01:46:18.969]  Become debt free in 90 days.
[01:46:19.369 --> 01:46:21.411]  Doing nothing doesn't make the debt go away.
[01:46:21.671 --> 01:46:24.313]  Call Debt Crisis Solutions and speak to an advisor.
[01:46:24.593 --> 01:46:25.394]  Absolutely free.
[01:46:25.654 --> 01:46:25.874]  Call 718-615-0123.
[01:46:25.894 --> 01:46:26.374]  That's 718-615-0123 today.
[01:46:33.439 --> 01:46:38.943]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[01:46:39.423 --> 01:46:40.124]  Think about that.
[01:46:40.184 --> 01:46:42.826]  Would you swallow a handful of shells you found at the beach?
[01:46:43.306 --> 01:46:46.248]  Our body wasn't designed to digest rocks and shells.
[01:46:46.509 --> 01:46:56.296]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting, chewable dietary supplement derived from 16 fruits, vegetables and antioxidants.
[01:46:56.756 --> 01:47:02.322]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[01:47:02.583 --> 01:47:03.604]  The choice is yours.
[01:47:03.764 --> 01:47:09.030]  Swallow rocks and shells to supplement your diet or a natural chewable product you can better digest.
[01:47:09.370 --> 01:47:14.176]  Choose for Health, the world's first superfruit, sea vegetable, antioxidant chewable.
[01:47:14.456 --> 01:47:16.899]  Whole food nutrition, not rocks and shells.
[01:47:17.779 --> 01:47:17.959]  1-800-210-1922.
[01:47:21.020 --> 01:47:28.622]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[01:47:28.642 --> 01:47:28.962]  1-800-210-1922.
[01:47:29.282 --> 01:47:31.062]  Or go to orderchoose.com.
[01:47:34.043 --> 01:47:37.124]  Are you tired of searching for a great talk radio?
[01:47:37.704 --> 01:47:38.704]  Search no more.
[01:47:39.204 --> 01:47:42.205]  We are the GCN Radio Network.
[01:47:43.835 --> 01:47:45.055]  You know why I ran and raved?
[01:47:45.115 --> 01:47:46.235]  Because I know we're trapped.
[01:47:46.255 --> 01:47:47.976]  I know there's a scientific dictatorship.
[01:47:47.996 --> 01:47:49.436]  I know they're murdering us at will.
[01:47:50.776 --> 01:47:58.778]  I've got that video at the office of all those kids lined up crying with police and riot gear with dogs barking saying it's the law as they cry and inject them.
[01:47:58.798 --> 01:48:05.399]  And then we had news reporters there that I've interviewed who had video cameras and the cops would come over and say turn your cameras off.
[01:48:06.239 --> 01:48:09.040]  The government's just basically broken us.
[01:48:09.060 --> 01:48:10.240]  They've trained us to be slaves.
[01:48:10.260 --> 01:48:11.600]  They've trained us to put up with anything.
[01:48:13.951 --> 01:48:17.834]  I know we got Dan, Chris, we got people in Toronto, Pennsylvania, Oregon, Mass.
[01:48:18.094 --> 01:48:20.515]  You know, I'm not going to be able to take your calls.
[01:48:20.555 --> 01:48:25.198]  Call me back tomorrow or next week as I promise to break down the total takeover of society.
[01:48:25.218 --> 01:48:28.080]  And I need to do that now here in the final segment.
[01:48:28.140 --> 01:48:34.424]  But I just told you how the Gardasil is killing a lot of people that are taking it.
[01:48:34.444 --> 01:48:41.689]  Because it's a live cancer virus and it's causing a serious autoimmune inflammation, inflammation on the brain.
[01:48:43.115 --> 01:48:45.897]  And I've seen the autopsy photos of these girls.
[01:48:45.957 --> 01:48:48.379]  I mean, it's just, it doesn't matter.
[01:48:48.419 --> 01:48:52.862]  You just, I guess, go ahead and kill your daughter or hurt her real bad when she's paralyzed.
[01:48:53.262 --> 01:48:58.506]  I've had a lot of people write me and call me and they'll call the office crying, going, my God, my daughter's paralyzed now.
[01:48:58.566 --> 01:48:59.927]  She had a stroke after she took it.
[01:49:00.727 --> 01:49:01.568]  Look, I'm sorry.
[01:49:01.688 --> 01:49:07.272]  I try, you know, I get to be called a kook and attacked by the media for reading mainstream government documents.
[01:49:07.332 --> 01:49:08.973]  I think, you know, it's just,
[01:49:10.620 --> 01:49:11.681]  It's black ops.
[01:49:11.761 --> 01:49:12.782]  It's soft kill weapons.
[01:49:12.962 --> 01:49:13.863]  And they're not going to stop.
[01:49:13.923 --> 01:49:16.044]  And they're getting ready with this new flu.
[01:49:16.065 --> 01:49:18.807]  They're going to hype up in the fall to try to forcibly inoculate people.
[01:49:20.368 --> 01:49:26.813]  The good news is they tried to forcibly inoculate all the first responders in 2002 with the Model States Health Emergency Powers Act.
[01:49:26.853 --> 01:49:29.636]  And now they have the criminal law passed to forcibly inject us.
[01:49:29.996 --> 01:49:31.197]  But now they're going to try to implement it.
[01:49:31.657 --> 01:49:33.699]  You see, they're domesticating us now.
[01:49:34.665 --> 01:49:42.969]  And that's why they're testing their federalization takeover through economic crises, terror crises, and biological crises.
[01:49:46.051 --> 01:49:53.394]  And yes, the House of Representatives passed a 13 plus hundred page bill that no one was allowed to read.
[01:49:53.534 --> 01:49:57.956]  They let one copy be released on the floor 30 minutes before it was going to pass.
[01:49:58.357 --> 01:50:01.078]  So Bonner did a house filibuster.
[01:50:02.864 --> 01:50:04.425]  And then shut it down, and they passed it.
[01:50:04.465 --> 01:50:06.266]  It passed by the eight Republicans that went over.
[01:50:07.367 --> 01:50:10.829]  And I gave you their names and numbers last hour, and that's up on InfoWars.com.
[01:50:10.849 --> 01:50:11.530]  Please call them.
[01:50:11.830 --> 01:50:13.391]  They're local bastard offices.
[01:50:14.191 --> 01:50:14.932]  And, I mean, they are.
[01:50:14.952 --> 01:50:16.273]  They're just complete thugs.
[01:50:17.308 --> 01:50:18.389]  I mean, you ought to read the bill.
[01:50:18.449 --> 01:50:24.512]  Just home inspectors, taxes on all electricity, taxes on all industry cars, no taxes on foreign countries.
[01:50:24.912 --> 01:50:35.118]  In fact, billions per foreign nation, Mexico, China, of tax money to pay them to implement it, and then they admit that money's going to go back to the IMF and World Bank in open money laundering.
[01:50:39.800 --> 01:50:44.863]  Congressman John Bonner on The Hill newspaper called the climate bill a pile of bleep.
[01:50:46.101 --> 01:50:47.661]  And said it's the biggest tax in U.S.
[01:50:47.681 --> 01:50:48.742]  history, and that's what it is.
[01:50:50.082 --> 01:50:53.263]  But they'll slowly implement it now and just squeeze the daylights out of us.
[01:50:55.583 --> 01:50:58.804]  Cap and traders, again, can change vote by July 2nd deadline.
[01:50:58.844 --> 01:51:02.145]  We've got to get behind calling those people and some of the Democrats.
[01:51:04.705 --> 01:51:06.225]  There's another big lie going on.
[01:51:06.245 --> 01:51:07.726]  They're saying, oh, we're pulling out of Iraq.
[01:51:07.746 --> 01:51:12.607]  They're just pulling out of the cities into the big command bases and then moving the rest of the troops to Afghanistan.
[01:51:12.667 --> 01:51:13.367]  It's another lie there.
[01:51:15.669 --> 01:51:22.054]  The other... The point is, the big takeover, everything they haven't been able to pass, the hate bill.
[01:51:23.956 --> 01:51:26.418]  We have the hate bill posted up on InfoWars.com.
[01:51:27.158 --> 01:51:42.511]  And it says, word for word, it's passed the House, that if you say something that influences someone to commit a criminal act, or if you say something that may hurt someone's feeling or cause any form of distress, that you will be arrested under a federal felony.
[01:51:43.379 --> 01:51:44.940]  Just like the Cyber Bullying Act says.
[01:51:45.221 --> 01:51:46.802]  It has passed the House.
[01:51:47.302 --> 01:51:47.983]  Never before.
[01:51:49.884 --> 01:51:51.986]  It is now in the Senate, which is even worse.
[01:51:53.787 --> 01:52:04.075]  The Climate Takeover Bill, where the federal government takes over all industry, where their own private board, set up by the government, can selectively decide who can have a carbon footprint and can't.
[01:52:04.115 --> 01:52:05.196]  Taxes on cows.
[01:52:05.557 --> 01:52:06.577]  Taxes on sheep.
[01:52:06.838 --> 01:52:08.699]  Taxes on anything that has flatulence.
[01:52:08.799 --> 01:52:09.760]  I'm not joking!
[01:52:10.754 --> 01:52:12.055]  Taxes on everything!
[01:52:12.596 --> 01:52:13.457]  Total control!
[01:52:15.138 --> 01:52:18.161]  And they've got all the bills introduced and on the verge of passing.
[01:52:18.502 --> 01:52:21.525]  And National Compulsory Service bills on the verge of passing.
[01:52:23.947 --> 01:52:25.108]  The healthcare takeover.
[01:52:25.549 --> 01:52:27.491]  Totally federalizing healthcare further.
[01:52:28.416 --> 01:52:31.919]  Controlling what doctors and nurses do so the feds can order them how to operate.
[01:52:31.959 --> 01:52:41.245]  They're already jacked in under their insurance rules under Medicare and Medicaid and these federally controlled computers tell them what aid to give, what treatment to give.
[01:52:41.265 --> 01:52:42.947]  They openly say they're going to ration care.
[01:52:44.027 --> 01:52:45.108]  That's in the bill.
[01:52:45.648 --> 01:52:48.511]  Even Bloomberg's reported that and you tell people and they can't believe it.
[01:52:48.971 --> 01:52:50.332]  Everything's happening now.
[01:52:51.124 --> 01:52:51.764]  They got an amnesty.
[01:52:52.165 --> 01:52:54.206]  Remember the last three times they tried to pass amnesty?
[01:52:54.246 --> 01:52:55.767]  They wouldn't allow the bill to be public.
[01:52:55.787 --> 01:52:56.908]  They'd say it's a secret bill.
[01:52:57.188 --> 01:52:58.449]  But Senator Sessions leaked it.
[01:52:58.909 --> 01:53:00.170]  And it was more than amnesty.
[01:53:00.390 --> 01:53:02.131]  It said they'd allow felons to stay.
[01:53:02.171 --> 01:53:04.353]  They signed a pledge to not commit felonies.
[01:53:06.254 --> 01:53:08.556]  And they could bring unlimited members of their family members here?
[01:53:09.236 --> 01:53:12.598]  And unlimited worker visas for skilled workers?
[01:53:13.239 --> 01:53:15.400]  Well now again, they're not letting people see the bill.
[01:53:15.440 --> 01:53:16.741]  But we've seen earlier versions.
[01:53:17.161 --> 01:53:18.322]  And that bill's introduced.
[01:53:24.947 --> 01:53:27.969]  I mean, ladies and gentlemen, it is coming down.
[01:53:28.149 --> 01:53:29.130]  It is going on.
[01:53:31.651 --> 01:53:35.393]  This carbon bill will completely shut down what's left of industry.
[01:53:35.453 --> 01:53:36.914]  It's all about artificial scarcity.
[01:53:37.274 --> 01:53:49.401]  By the government putting taxes on all production and all carbon activity, when we're carbon-based life forms, when carbon is one-fourth of the entire life cycle, water, sunlight, oxygen, and air.
[01:53:49.541 --> 01:53:52.403]  It's a tax on the key building block of life.
[01:53:52.483 --> 01:53:54.104]  You exhale carbon.
