[00:00:52.809 --> 00:00:53.669]  Look at this article.
[00:22:24.111 --> 00:22:35.138]  And I've told you, I've been driving back from Church, Texas, or driving up I-35 through Church, Texas, and there's this blue Charger that I see fly up on people's tails every time I'm down there.
[00:22:35.158 --> 00:22:36.419]  He must be out there giving tickets 24-7.
[00:22:36.979 --> 00:22:37.659]  He did it to me.
[00:22:37.779 --> 00:22:42.963]  Three-lane I-35, I'm in the slow lane, cruise control at 70, because I don't want to get tickets in that speed trap.
[00:22:43.883 --> 00:22:45.905]  And he flies up on my tail.
[00:22:46.165 --> 00:22:56.153]  By the time I see it, literally, this dark blue Charger goes 100 miles an hour, right up behind me, almost hits me three feet and goes, flies out and shoots on down the road.
[00:22:56.213 --> 00:22:58.114]  I mean, just absolute reckless driving.
[00:22:58.514 --> 00:22:59.795]  Absolutely psychopathic.
[00:23:00.396 --> 00:23:02.077]  Well, this cop's not driving that reckless.
[00:23:02.097 --> 00:23:04.259]  He's driving fast on these windy, rotten roads.
[00:23:05.140 --> 00:23:07.662]  And in seconds, he's up on that, that
[00:23:10.126 --> 00:23:15.630]  Ambulance, and the ambulance can't get over because there's a car in the breakdown lane.
[00:23:16.010 --> 00:23:17.991]  So as soon as it can, it gets over.
[00:23:18.091 --> 00:23:19.252]  Whirrrr-fast!
[00:23:19.472 --> 00:23:22.214]  Because, I mean, they know God's about to come after them and strike them down.
[00:23:22.254 --> 00:23:24.955]  If they don't, bolts of lightning are going to hit them in the form of a taser.
[00:23:25.276 --> 00:23:28.218]  So you see them get over, not fast enough.
[00:23:28.318 --> 00:23:36.283]  I mean, the only way that cop would have been happy on this power trip is if they'd have gone, all right, say goodbye, God, I'm coming home, and just steered right into that car.
[00:23:37.458 --> 00:23:38.298]  And hope they lived.
[00:23:38.639 --> 00:23:40.460]  And the cop was still there, you piece of filth!
[00:23:40.880 --> 00:23:42.281]  Learn to get out of my way quicker!
[00:23:42.341 --> 00:23:43.081]  Die better!
[00:23:43.461 --> 00:23:44.262]  Ha ha ha ha!
[00:23:44.562 --> 00:23:51.266]  I mean, literally, this is the mental illness we're seeing, and the cop's so delusional, he thinks, yeah, well they deserved it, huh?
[00:23:51.606 --> 00:23:53.667]  I'm gonna give you a ticket, you son of a bitch!
[00:23:53.707 --> 00:23:55.328]  Ha ha, yeah!
[00:23:55.428 --> 00:23:56.489]  And that's all coming up.
[00:23:56.909 --> 00:23:59.810]  So play that video again, from his squad car.
[00:24:00.091 --> 00:24:00.411]  Here it is.
[00:24:05.973 --> 00:24:07.454]  Boom, there's the car in the breakdown lane.
[00:24:07.714 --> 00:24:09.375]  They swerve to get out of God's way.
[00:24:10.176 --> 00:24:13.838]  God going up the top of the hill at the crest, goes ahead and shoots over dangerously.
[00:24:15.719 --> 00:24:19.422]  I mean, I would say that ambulance dangerously pulled over for him.
[00:24:20.042 --> 00:24:22.404]  Well, it doesn't matter.
[00:24:22.424 --> 00:24:23.645]  See, that's like a game to cops.
[00:24:23.885 --> 00:24:24.826]  They're supposed to yield to me.
[00:24:24.886 --> 00:24:25.426]  It's the law.
[00:24:25.646 --> 00:24:31.150]  So I'm going to fly up on this family in a minivan at 100 miles an hour on I-35 and almost hit them.
[00:24:32.815 --> 00:24:35.277]  Nobody can stop me and I'll kill that whole family!
[00:24:35.297 --> 00:24:36.397]  They give me a problem!
[00:24:37.137 --> 00:24:38.798]  Yeah, just driving however they want.
[00:24:39.259 --> 00:24:40.699]  That's how America operates.
[00:24:41.940 --> 00:24:42.840]  Alright, we've already shown this.
[00:24:42.880 --> 00:24:47.283]  Fast forward now to him pulling the ambulance back over after he goes to the call and there's no problem.
[00:24:47.643 --> 00:24:50.644]  Now he, let's get him on his way from leaving the gas station.
[00:24:50.664 --> 00:24:52.645]  He now drives recklessly.
[00:24:54.646 --> 00:24:57.808]  Here he is, driving recklessly in the neighborhood to get to the ambulance.
[00:24:58.308 --> 00:24:58.788]  Here we go.
[00:24:59.329 --> 00:25:01.710]  Here goes Speed Racer with kids on their Hot Wheels playing.
[00:25:03.671 --> 00:25:04.111]  Crank it up.
[00:25:04.131 --> 00:25:04.512]  Let's do it.
[00:25:07.575 --> 00:25:08.296]  And now we're going.
[00:25:08.316 --> 00:25:09.997]  Now we're up to 70 in the neighborhood.
[00:25:10.017 --> 00:25:11.539]  Now we're up to 80.
[00:25:14.181 --> 00:25:15.683]  Flying up on their tail.
[00:25:16.304 --> 00:25:16.864]  Pull over.
[00:25:16.964 --> 00:25:18.025]  And boy, they pull over quick.
[00:25:18.386 --> 00:25:21.469]  So here's an ambulance being pulled over in a neighborhood on the way to the hospital.
[00:25:22.406 --> 00:25:23.967]  When we come back, we'll get to this, okay?
[00:25:24.067 --> 00:25:24.867]  Hit pause right there.
[00:25:25.388 --> 00:25:26.588]  You want to see insanity.
[00:25:26.628 --> 00:25:27.849]  You want to see mental illness.
[00:25:28.669 --> 00:25:29.309]  You're going to see it.
[00:25:29.410 --> 00:25:34.152]  And they're in the news saying that EMTs are dangerous to the public.
[00:25:34.912 --> 00:25:37.774]  This is incredible.
[00:25:37.794 --> 00:25:39.435]  We'll be right back.
[00:25:42.116 --> 00:25:45.498]  Thank you for listening to GCN.
[00:25:45.538 --> 00:25:47.579]  Visit GCNlive.com today.
[00:25:50.472 --> 00:25:56.017]  This is Alex Jones, and I want to tell you again about a company that has supported us in the truth movement for years.
[00:25:56.338 --> 00:25:57.499]  Inner Health Botanicals.
[00:25:57.639 --> 00:26:01.583]  This company produces the highest quality superfood around, called Inner Food.
[00:26:01.903 --> 00:26:03.465]  My wife just loves the stuff.
[00:26:03.765 --> 00:26:10.071]  And now, the health ranger Mike Adams has awarded Inner Food his Editor's Choice Award for Best Superfood of 2009.
[00:26:11.212 --> 00:26:13.754]  Inner Food is loaded with 20 great organic ingredients.
[00:26:14.074 --> 00:26:15.555]  No fillers, no sweeteners.
[00:26:15.815 --> 00:26:18.596]  It would be impossible to blend this up for a better price.
[00:26:18.816 --> 00:26:20.257]  And their formula really works.
[00:26:20.537 --> 00:26:23.079]  This is the real thing for the great health you need.
[00:26:23.359 --> 00:26:24.620]  Try the NutriCafe.
[00:26:24.840 --> 00:26:29.242]  Their great organic coffee infused with polysaccharides that boosts the immune system.
[00:26:29.603 --> 00:26:31.784]  A truly healthy coffee that tastes great.
[00:26:32.024 --> 00:26:34.305]  And take it from me folks, it really does taste great.
[00:26:34.485 --> 00:26:36.246]  Don't forget to try their other great products.
[00:26:36.587 --> 00:26:37.707]  Go to www.
[00:26:39.188 --> 00:26:42.049]  E-N-E-R-F-O-O-D dot com.
[00:26:42.269 --> 00:26:46.730]  That's W-W-W dot E-N-E-R-F-O-O-D dot com.
[00:26:46.910 --> 00:26:49.851]  Or just click on their banner on Infowars.com for special pricing.
[00:26:53.432 --> 00:26:55.373]  Waging war on corruption.
[00:26:55.833 --> 00:26:58.714]  Alex Jones on the GCN Radio Network.
[00:27:05.056 --> 00:27:05.656]  Big Brother.
[00:27:06.374 --> 00:27:07.395]  Mainstream media.
[00:27:08.136 --> 00:27:09.217]  Government cover-ups.
[00:27:09.897 --> 00:27:10.698]  You want answers?
[00:27:11.478 --> 00:27:12.379]  Well, so does he.
[00:27:12.399 --> 00:27:16.703]  He's Alex Jones on the GCN Radio Network.
[00:27:17.223 --> 00:27:21.307]  And now, live from Austin, Texas, Alex Jones.
[00:27:22.688 --> 00:27:26.631]  We are live simulcast on the radio show at PrisonPlanet.tv.
[00:27:26.671 --> 00:27:30.655]  The state is going mentally ill, like they always do, thinking they're God.
[00:27:34.301 --> 00:27:39.787]  The Oklahoma Highway Patrol, I dropped this issue, but they lied and said the black guy, the EMT, assaulted them.
[00:27:40.508 --> 00:27:44.232]  Now the dash cam's released and they're in the news calling this an assault.
[00:27:45.674 --> 00:27:46.956]  And calling this resisting.
[00:27:47.456 --> 00:27:51.981]  For the cop car violently almost running the ambulance off the road, as you just saw.
[00:27:52.882 --> 00:27:54.644]  The ambulance instantly getting over.
[00:27:55.680 --> 00:28:11.970]  The second after they're able to, literally in two and a half seconds, trying to miss a car in the breakdown lane, and this nut, lunatic road rage, showing off to his wife, riding around with him, runs up and gets to boss hard-working servicemen that save lives.
[00:28:12.950 --> 00:28:13.491]  He enjoys it.
[00:28:14.892 --> 00:28:15.552]  Total punk.
[00:28:16.753 --> 00:28:18.214]  Just a venomous worm.
[00:28:19.452 --> 00:28:21.173]  And everything that is anti-American.
[00:28:21.273 --> 00:28:22.233]  It's just disgusting.
[00:28:22.953 --> 00:28:28.595]  Absolutely disgusting that they would then demonize the EMT saying he's a criminal.
[00:28:29.155 --> 00:28:30.276]  You people have no shame.
[00:28:30.816 --> 00:28:41.120]  Now, this is him pulling the ambulance over and the ambulance driver gets out, the head ambulance EMT who's in the back with a lady that thinks he's having a heart attack, gets out and is like, Sir, what's going on?
[00:28:41.340 --> 00:28:42.260]  Talk to me, I'm in charge.
[00:28:43.374 --> 00:28:46.276]  And he calls him Sir, he calls him God.
[00:28:46.296 --> 00:28:47.937]  That's not enough, boy!
[00:28:47.957 --> 00:28:48.998]  You gotta lick his boots!
[00:28:49.038 --> 00:28:49.699]  Go ahead and play it!
[00:28:53.802 --> 00:28:54.822]  Here he is in the neighborhood.
[00:28:55.403 --> 00:28:56.764]  Jumping out, showing off.
[00:28:58.205 --> 00:28:58.565]  Now.
[00:28:58.845 --> 00:28:59.946]  Eric!
[00:29:00.126 --> 00:29:00.727]  Now!
[00:29:00.987 --> 00:29:04.069]  Oh, you now!
[00:29:04.169 --> 00:29:05.150]  What's going on?
[00:29:05.250 --> 00:29:06.251]  What's going on?
[00:29:06.491 --> 00:29:07.531]  I'm talking to the driver.
[00:29:07.552 --> 00:29:08.552]  No, no, I'm talking to you.
[00:29:10.256 --> 00:29:10.817]  Rewind that.
[00:29:11.258 --> 00:29:13.502]  The second he gets out, he's yelling at him.
[00:29:14.123 --> 00:29:15.064]  What is he yelling there?
[00:29:15.084 --> 00:29:15.765]  Back that up.
[00:29:17.428 --> 00:29:18.570]  He just jumps out.
[00:29:18.590 --> 00:29:19.071]  Hey, you there!
[00:29:19.091 --> 00:29:19.492]  You there!
[00:29:22.183 --> 00:29:27.404]  And imagine the guy in the back with the woman they think is having a heart attack, turns out it was heat stroke, going, what on earth is this?
[00:29:28.345 --> 00:29:30.665]  Turns out this guy pulls ambulances over routinely.
[00:29:30.765 --> 00:29:31.125]  Here it is.
[00:29:52.543 --> 00:29:53.323]  You understand me?
[00:29:53.604 --> 00:29:55.965]  And I won't put up with you talking to my driver like that.
[00:29:55.985 --> 00:29:57.105]  I ain't listening to you, buddy!
[00:29:57.225 --> 00:29:59.726]  You get your ass back in that ambulance or I'll take you in!
[00:29:59.767 --> 00:30:00.427]  I'm talking to the driver!
[00:30:00.467 --> 00:30:01.687]  I'll take you in if you would.
[00:30:01.707 --> 00:30:02.488]  Come over here, Paul.
[00:30:02.708 --> 00:30:03.548]  We got a patient.
[00:30:03.608 --> 00:30:05.729]  No, we got a patient in this joint right now.
[00:30:05.769 --> 00:30:10.692]  Okay, you want to go ahead and pull over to the side of the road when there's an emergency vehicle behind you?
[00:30:11.592 --> 00:30:16.076]  This lunatic comes up on an ambulance at 90 miles an hour!
[00:30:16.757 --> 00:30:28.787]  The ambulance tries to pull over, comes over the top of a hill, sees a car broke down, barely survives it, and then gets over because he's so scared of the cops because they've been pulling him over in that area, that same crazy man, with pregnant women.
[00:30:30.068 --> 00:30:33.351]  It's like I'm tasering pregnant women because the husband speeds in DC.
[00:30:33.571 --> 00:30:34.471]  They're nuts!
[00:30:35.232 --> 00:30:35.953]  They're nuts!
[00:30:35.973 --> 00:30:37.194]  They're on power trips!
[00:30:39.019 --> 00:30:44.641]  And he's screaming at him saying, you learned to pull over, when they did to the God!
[00:30:44.661 --> 00:30:54.125]  I mean, just a little... on record you're in the wrong, and you don't care, you're gonna go attack this man you've already attacked physically.
[00:30:56.650 --> 00:30:57.971]  God, we just need to start, just work.
[00:30:58.011 --> 00:30:59.312]  Okay, fine, you want to be worshipped?
[00:30:59.653 --> 00:31:00.593]  Oh, you are God.
[00:31:00.894 --> 00:31:02.275]  Oh, you hung the moon.
[00:31:02.615 --> 00:31:04.557]  Oh, I mean, what is wrong with you people?
[00:31:05.137 --> 00:31:07.019]  Go ahead and play more of it as we go out to break.
[00:31:07.339 --> 00:31:15.606]  Pause again, rewind it again.
[00:31:16.066 --> 00:31:16.967]  Rewind the whole thing.
[00:31:18.869 --> 00:31:21.211]  He's saying, you didn't yield to me, and he goes, what do you mean?
[00:31:21.251 --> 00:31:22.492]  The way you ran up on me?
[00:31:23.905 --> 00:31:24.686]  We did yield.
[00:31:24.706 --> 00:31:26.407]  And he's like, no you didn't!
[00:31:26.607 --> 00:31:28.168]  You don't tell an officer he's wrong!
[00:31:28.368 --> 00:31:29.409]  This lunatic!
[00:31:30.229 --> 00:31:31.750]  I had an Austin PD one night.
[00:31:32.531 --> 00:31:35.793]  I pulled out of the office on the access road of 290 right here.
[00:31:37.174 --> 00:31:39.535]  There's three lanes on the access road here.
[00:31:40.256 --> 00:31:41.737]  There's not even headlights behind me.
[00:31:41.797 --> 00:31:43.097]  A cop car had to be going 95, 100.
[00:31:43.218 --> 00:31:45.099]  It just zooms up.
