[00:00:19.507 --> 00:00:21.928]  43 days left.
[00:24:36.943 --> 00:24:40.107]  To completely evaporate.
[00:24:41.348 --> 00:24:43.471]  And they don't know what to do.
[00:24:43.571 --> 00:24:52.923]  All their smirking and all their con manning and all their arrogance, all their confidence games are evaporating right now.
[00:24:59.221 --> 00:25:03.964]  So very, very, very good things are taking place.
[00:25:04.404 --> 00:25:06.365]  But let's not think we're out of the woods yet.
[00:25:06.885 --> 00:25:09.007]  They're going to try to engage in massive election fraud.
[00:25:09.547 --> 00:25:13.549]  Undoubtedly, they are trying to kill Trump right now.
[00:25:14.790 --> 00:25:17.051]  There is no telling what these crooks are going to do.
[00:25:17.732 --> 00:25:20.493]  And they've gone to Google and Facebook and Twitter.
[00:25:20.934 --> 00:25:25.776]  All these things were set up in covert conjunction with In-Q-Tel and the CIA.
[00:25:25.916 --> 00:25:26.537]  That's on record.
[00:25:28.004 --> 00:25:39.714]  And that group believes they're all taking orders from Obama and Hillary, and as it becomes apparent that President Trump is about to become president for real, get ready.
[00:25:40.775 --> 00:25:45.079]  You know, the president, I told you a month ago, was going to have executive orders against big tech.
[00:25:45.199 --> 00:25:47.681]  I told you he was going to go after Facebook for discrimination.
[00:25:48.182 --> 00:25:49.583]  It happened a week after I told you.
[00:25:50.143 --> 00:25:52.506]  I told you he's got executive orders coming on banking.
[00:25:53.191 --> 00:25:55.852]  I have that directly from people who talked to the President.
[00:25:56.532 --> 00:26:08.235]  I told you that they believe 4.8% growth rate in the economy a month before it happened because I know the individual that had dinner with Kudlow in New York.
[00:26:08.775 --> 00:26:09.836]  He's the chief advisor.
[00:26:10.756 --> 00:26:12.536]  You think I just make this stuff up?
[00:26:16.617 --> 00:26:21.959]  And I'm telling you right now, we just turned the page.
[00:26:23.134 --> 00:26:25.015]  We just went to the top of the mountain.
[00:26:25.955 --> 00:26:29.517]  Now, we're not over the hump yet, but we are about to go over the hump.
[00:26:30.858 --> 00:26:31.398]  You can feel it.
[00:26:31.858 --> 00:26:44.665]  The enemy is absolutely in panic mode, but I'm telling you, they're desperate criminals that have had power for decades, and I would be surprised if they don't wheel a giant truck bomb into the White House while the President's there and just kill everybody in it if they can.
[00:26:45.706 --> 00:26:51.709]  In fact, if I was the President, because we have the deep state in its own form of martial law, I would be
[00:26:52.970 --> 00:27:06.554]  Locking down streets five blocks around the White House, and I would have armored personnel carriers out there with big guns ready to stop armored trucks filled with explosives.
[00:27:07.254 --> 00:27:10.976]  And I would put more missile batteries, I'd just put missile batteries out in the open.
[00:27:11.696 --> 00:27:21.179]  They already got them in D.C., but they need missile batteries out in the open now with loyal troops, loyal operators, not the normal chain of command, because
[00:27:22.199 --> 00:27:24.981]  Believe me, they'll try to fly an airplane into the White House as well.
[00:27:25.561 --> 00:27:27.122]  Or they'll try to shoot down Air Force One.
[00:27:27.723 --> 00:27:39.711]  I know Trump's out front like George Washington at all these rallies and everything, and God bless him, but I'm telling you, the next 43 days they are going to try to kill Donald, John, Trump, just as sure as the sun came up.
[00:27:39.971 --> 00:27:46.515]  They aren't shutting me down and engaging in mass censorship and doing this to millions of other conservatives because they're playing games.
[00:27:46.856 --> 00:27:52.039]  They are making their move and they want us shut down when they kill him.
[00:27:54.581 --> 00:27:57.784]  That's why he's got to move on the Justice Department now.
[00:27:58.805 --> 00:27:59.906]  And Mike Adams is right.
[00:28:00.046 --> 00:28:01.748]  They've already brought us into martial law.
[00:28:01.768 --> 00:28:03.429]  They've already brought us into civil emergencies.
[00:28:03.590 --> 00:28:07.053]  They've already tried the 25th Amendment four times we know of and failed.
[00:28:07.253 --> 00:28:15.741]  That's four failed coup attempts by these crazy people who've been squatting on this country and selling us out to the shycoms for decades.
[00:28:20.290 --> 00:28:22.070]  And so what does the president do?
[00:28:22.150 --> 00:28:24.891]  When you're met with a home intruder, what do you do?
[00:28:25.251 --> 00:28:27.692]  When you're met with criminals gang raping your country, what do you do?
[00:28:29.172 --> 00:28:31.332]  There are no half measures with wild criminals.
[00:28:32.253 --> 00:28:36.794]  And the minute he begins to use his power, they begin resigning like the little cowards they are!
[00:28:37.094 --> 00:28:38.494]  Take all their security clearances!
[00:28:38.774 --> 00:28:39.414]  Fire them!
[00:28:41.135 --> 00:28:42.735]  Pull their asses into court!
[00:28:44.053 --> 00:28:51.007]  You need to make these little bastards have the fear of God before they make a move that plunges us into total civil war!
[00:28:51.828 --> 00:28:52.650]  We'll be right back!
[00:28:57.637 --> 00:29:00.900]  Well, Eric Bolling is here in studio for our Bare Knuckles match.
[00:29:00.940 --> 00:29:02.562]  He already beat me up during the break, so he wins.
[00:29:02.762 --> 00:29:06.606]  No, but seriously, uh, censored, demonized for no reason like everybody else that's effective.
[00:29:06.626 --> 00:29:14.093]  We'll talk about what it's like to be out of FOX, but more importantly, launching something truly free on CRTV with a politically incorrect name, AMERICA.
[00:29:14.113 --> 00:29:14.914]  So it's good to have you here.
[00:29:15.174 --> 00:29:15.594]  Thank you, Alex.
[00:29:15.835 --> 00:29:16.435]  Thank you very much.
[00:29:16.495 --> 00:29:19.257]  We ran into each other at Trump Hotel.
[00:29:19.297 --> 00:29:20.718]  Correct.
[00:29:20.918 --> 00:29:22.379]  I was leaving, you were coming back.
[00:29:22.399 --> 00:29:26.182]  I think you were coming back from your little tiff with Marco Rubio, if I'm not mistaken.
[00:29:26.623 --> 00:29:31.887]  And I caught you at the bottom of the stairs, and I said, hey, Alex Jones, let's talk a little bit.
[00:29:31.907 --> 00:29:35.930]  I refresh your memory that about five years ago, you and I had a Twitter war.
[00:29:35.970 --> 00:29:37.731]  I think we were going to fight on the corner.
[00:29:37.751 --> 00:29:42.615]  And I said, I'll tell you what, Jones, I'll meet you on the corner of Park and Lex at 4 o'clock today.
[00:29:42.635 --> 00:29:44.096]  And you're like, OK, I'll be there.
[00:29:44.736 --> 00:29:45.876]  There's no corner of Park and Lex.
[00:29:45.896 --> 00:29:46.957]  I just want to point that out.
[00:29:47.277 --> 00:29:55.559]  How can we, less than two years in, not be thanking our lucky stars like Trump is a giant leprechaun that craps buckets of gold?
[00:29:56.059 --> 00:29:58.100]  Well, he is doing very well in the economy.
[00:29:58.140 --> 00:29:58.920]  He's doing well in security.
[00:29:58.940 --> 00:29:59.980]  When was the last time we heard from him?
[00:30:00.000 --> 00:30:00.541]  But just say it.
[00:30:00.601 --> 00:30:04.802]  He's a giant leprechaun the size of King Kong that sprays fountains of gold out of his ass.
[00:30:06.075 --> 00:30:07.356]  Well, that's your assessment of him.
[00:30:07.376 --> 00:30:11.100]  I think he's a brilliant businessman who brought that to Washington, D.C.
[00:30:11.180 --> 00:30:13.141]  There's a number that's floating around here.
[00:30:13.281 --> 00:30:19.067]  I will tell you, never in my lifetime have I seen growth rates exceed unemployment rate by this wide of a mark.
[00:30:19.147 --> 00:30:19.847]  It's just insane.
[00:30:19.887 --> 00:30:22.450]  When you're 3.9% unemployment and 4.2% growth, that is
[00:30:24.031 --> 00:30:25.552]  Perfect perfection in the economy.
[00:30:25.592 --> 00:30:28.275]  It's fully employed and a robust growing economy.
[00:30:28.315 --> 00:30:31.918]  The guy's doing, he's doing everything right on the economy and on security.
[00:30:32.038 --> 00:30:32.558]  Is he rough?
[00:30:32.978 --> 00:30:33.679]  Is he vulgar?
[00:30:33.799 --> 00:30:34.840]  Is he rough around the edges?
[00:30:34.900 --> 00:30:36.301]  Is he a bulldozer, not a scalpel?
[00:30:36.742 --> 00:30:37.462]  True, yes.
[00:30:37.562 --> 00:30:38.523]  But I'll take the other two.
[00:30:38.563 --> 00:30:40.325]  Well, you need a wrecking ball to get rid of the globalists.
[00:30:40.385 --> 00:30:48.231]  But if you look at all those graphs that his chief economic advisor put out two days ago, he gets elected and they all go straight up, showing that we were artificially being suppressed.
[00:30:48.291 --> 00:30:51.754]  I mean, the Federal Reserve printed five and a half trillion dollars for Obama, nothing for Trump.
[00:30:51.914 --> 00:30:53.055]  Well, people say, oh, is he real?
[00:30:53.155 --> 00:30:55.076]  If he doesn't do this, his name is mud.
[00:30:55.116 --> 00:30:57.398]  If he does it, he's bigger than George Washington.
[00:30:57.478 --> 00:31:00.120]  He'll be on the money 500 years from now on Mars.
[00:31:00.320 --> 00:31:11.568]  Look, so all these people that when they're afraid of him and they're worried he's going to get too big and this whole new Trump form of conservatism is growing in Washington, D.C., they all push back.
[00:31:11.588 --> 00:31:13.409]  They all start to say he's losing his facilities.
[00:31:13.609 --> 00:31:14.450]  He's losing his mind.
[00:31:14.770 --> 00:31:16.351]  The man is sharp as a tack.
[00:31:16.391 --> 00:31:18.873]  I was about to say, Trump's called me like at 10 o'clock at night.
[00:31:18.953 --> 00:31:19.634]  I'm like tired.
[00:31:19.674 --> 00:31:23.276]  He's like smooth, like he's a voice actor that never made a mistake.
[00:31:23.356 --> 00:31:28.420]  And it's like also, I'm like, I said a five-minute conversation and he didn't mumble one time.
[00:31:28.760 --> 00:31:30.402]  I'm like, this is a senile person?
[00:31:30.482 --> 00:31:31.302]  You didn't nap?
[00:31:31.683 --> 00:31:31.823]  Nope.
[00:31:31.863 --> 00:31:32.083]  Nap?
[00:31:33.274 --> 00:31:34.095]  Dude, I don't sleep much.
[00:31:34.115 --> 00:31:34.755]  I'm joking.
[00:31:34.975 --> 00:31:35.176]  Alright.
[00:31:35.456 --> 00:31:36.437]  Now, you're a pretty muscular guy.
[00:31:36.457 --> 00:31:38.298]  I'm a little bit afraid over here.
[00:31:38.318 --> 00:31:38.879]  Parking Lex.
[00:31:39.559 --> 00:31:41.901]  That's right.
[00:31:41.921 --> 00:31:42.142]  Wait.
[00:31:42.182 --> 00:31:43.022]  We'll do the Twitter video.
[00:31:43.042 --> 00:31:43.783]  You want to trade punches?
[00:31:44.323 --> 00:31:44.824]  Which video?
[00:31:45.645 --> 00:31:46.325]  We'll do a Twitter video.
[00:31:46.345 --> 00:31:46.946]  We'll trade punches.
[00:31:47.386 --> 00:31:48.607]  I bet you'll break my arm.
[00:31:49.168 --> 00:31:49.768]  You want to do it?
[00:31:49.788 --> 00:31:50.529]  You're a hot shot.
[00:31:50.569 --> 00:31:51.429]  Pretty tough guy over there.
[00:31:51.750 --> 00:31:52.971]  I'm telling you, he's in good shape.
[00:31:55.276 --> 00:32:02.040]  Whether you're looking to boost the benefits of our fish oil formula or just want an alternative, InfoWars Lite has the formula for you.
[00:32:02.760 --> 00:32:11.425]  Ultimate Krill Oil is a powerhouse formula that takes advantages of the EPA, DHA, and Omega-3s found in our high-quality, ultra-pure krill oil concentrate.
[00:32:12.005 --> 00:32:21.070]  Containing powerful antioxidants such as astaxanthin and Omega-3s, Ultimate Krill Oil can help you experience the benefits of fish oil with less required DHA and EPA.
[00:32:22.032 --> 00:32:32.795]  This incredible formula can help your body in many ways, including supporting heart health, joint health, and cognitive health, aiding and regulating fat metabolism, helping to maintain cognitive function, and more.
[00:32:33.475 --> 00:32:42.598]  And while other krill oil formulas may chemically modify their formulas, we're giving you the benefits of a simple formula that contains unmodified, high-quality krill oil concentrate.
[00:32:43.018 --> 00:32:45.360]  Paired with our Ultimate Fish Oil or used separately.
[00:32:45.761 --> 00:32:49.164]  It's time to see what Krill Oil can do for you with Ultimate Krill Oil.
[00:32:49.444 --> 00:32:52.086]  Now available at infowarsstore.com.
[00:32:59.373 --> 00:33:01.995]  You're listening to the Alex Jones Show.
[00:33:09.384 --> 00:33:15.633]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:33.988 --> 00:33:37.812]  Ladies and gentlemen, let me tell you who we have coming up here on this historic broadcast.
[00:33:37.932 --> 00:33:40.375]  Every day in the next 43 is incredibly historic.
[00:33:40.395 --> 00:33:41.816]  We're in an amazing time right now.
[00:33:42.317 --> 00:33:46.742]  James O'Keefe with all the big coups they've just scored against the globalists.
[00:33:47.924 --> 00:34:04.507]  Showing all these different government employees doxing people, using their federal databases, harassing patriots at their homes, using the stolen information for stalking, talking about how they're sabotaging, bringing the economy back, trying to stop the Trump agenda of Make America Great Again.
