[00:00:20.575 --> 00:00:26.477]  From the front lines!
[00:22:07.113 --> 00:22:17.979]  China's got their big social score that ties systems way beyond what Google and Facebook are doing together with the real world with live time cameras via a company called Skynet.
[00:22:19.246 --> 00:22:29.810]  To track what you do in live time and then ban you from traveling, getting a job, being able to buy food, if you're not a good servant of the Communist Party.
[00:22:29.810 --> 00:22:39.694]  Are we hearing any lawsuits from the EU and from Juncker, the unelected dictator of the EU?
[00:22:41.374 --> 00:22:42.875]  The permanent bureaucracy.
[00:22:42.875 --> 00:22:47.499]  Are we hearing anything from them?
[00:22:47.499 --> 00:22:50.742]  See, that's how information warfare really works.
[00:22:50.742 --> 00:22:52.843]  That's why this broadcast is hated.
[00:22:52.843 --> 00:23:03.152]  Because we enter new, devastating paradigm interpretations that no one else is engaged in.
[00:23:03.152 --> 00:23:05.234]  Because I started thinking about this a few weeks ago.
[00:23:06.786 --> 00:23:12.728]  And I looked into it, and we have not seen the EU do anything to China.
[00:23:12.728 --> 00:23:16.069]  Because remember, the Internet's all tied together in a global system.
[00:23:16.069 --> 00:23:28.394]  So they're trying to put forward the most draconian regulations in the name of peace and security and free speech and privacy and protecting your identity, and they immediately attack the United States.
[00:23:30.342 --> 00:23:53.942]  And there's nothing about China, and then I search engined it, and no one has pointed out yet that China is being left alone, even though China and its websites, Alibaba and millions and millions of others, are operating in levels of data mining and scraping and identity theft that boggles the brain.
[00:23:55.097 --> 00:23:59.259]  They have a Mark of the Beast global social credit.
[00:23:59.259 --> 00:24:18.788]  Apple has moved there and given the state the keys to the kingdom of your Apple ID to be able to access that entire system of the entire Apple world of what you've done.
[00:24:18.788 --> 00:24:23.810]  Oh, Apple doesn't let you opt out of that, do they?
[00:24:23.810 --> 00:24:24.050]  See?
[00:24:26.139 --> 00:24:42.545]  Oh, so Communist China can do whatever they want because, oh, because the Chinese dictator, he's now officially been made a dictator, was already appointed by the Communist Party that would vote for him, but then the Communist Party would decide who could, quote, run via the Central Committee.
[00:24:42.545 --> 00:24:48.207]  But now he's just president for life and his vice president was made vice president for life.
[00:24:48.207 --> 00:24:54.870]  He's officially a dyed-in-the-wool dictator, meaning he dictates.
[00:24:59.031 --> 00:25:01.592]  And he's got control of most of the internet.
[00:25:01.592 --> 00:25:05.315]  China is winning the war for the web.
[00:25:05.315 --> 00:25:11.758]  And I've talked to the Cyber Command people, I've talked to the NSA people here at UT, I've talked to them all, and they're like, no, you're right.
[00:25:11.758 --> 00:25:16.821]  And all Trump's doing is trying to desperately do something so he's told the Chinese you can't officially run UT.
[00:25:16.821 --> 00:25:18.182]  That was in the Washington Post.
[00:25:22.662 --> 00:25:23.262]  It's unbelievable.
[00:25:23.262 --> 00:25:24.042]  Yeah, there's CNN.
[00:25:24.042 --> 00:25:26.923]  Apple under fire for moving iCloud data to China.
[00:25:26.923 --> 00:25:30.444]  I was the first person, I'm not even bragging, to freak out about this!
[00:25:30.444 --> 00:25:37.806]  The original Reuters article was just China's moving to... Apple's moving to China.
[00:25:37.806 --> 00:25:41.567]  And then I read further and I'm like, they're gonna move the cloud data there?
[00:25:41.567 --> 00:25:43.547]  That means the code keys!
[00:25:43.547 --> 00:25:45.428]  I'm not even an engineer and I know that!
[00:25:49.144 --> 00:25:50.165]  And then of course a week later.
[00:25:50.165 --> 00:26:01.172]  That's what scares me is that I continue, nine times out of ten, to be the first person that actually even understands what's happening here.
[00:26:01.172 --> 00:26:02.673]  At least publicly.
[00:26:02.673 --> 00:26:09.358]  There are tons of people in tech and in government that know all this too, but they just, no one writes about it.
[00:26:10.475 --> 00:26:15.178]  I remember learning in Hollywood six, seven years ago that China controlled all six of the big studios.
[00:26:15.178 --> 00:26:20.322]  I talked about it on air, and man, all the white supremacists flipped out because they're obsessed with Jews.
[00:26:20.322 --> 00:26:23.003]  And they went, Jones says China runs Hollywood.
[00:26:23.003 --> 00:26:24.304]  How ridiculous.
[00:26:24.304 --> 00:26:25.625]  Blah, blah, blah.
[00:26:25.625 --> 00:26:28.227]  I'm talking about who came in and bought control of it.
[00:26:29.821 --> 00:26:41.251]  I'm not saying there aren't a bunch of people who are Jewish and Italian and whatever in Hollywood that are directors and producers, but the Communist Chinese own Hollywood now!
[00:26:41.251 --> 00:26:46.015]  That's been all over the news!
[00:26:46.015 --> 00:26:51.720]  And so I'm watching China take over, and I mean the Communist Party of China, and I'm watching them take control of the whole world.
[00:26:55.290 --> 00:26:56.792]  And then, oh my gosh, U.S.
[00:26:56.792 --> 00:27:05.502]  companies get hit with billions and billions and billions and billions and billions and billions and billions and billions and billions of dollars.
[00:27:05.502 --> 00:27:11.549]  And it's all to set the precedent with Americans that, oh, at least they're going after the big tech guys that are bad who deserve it, which they kind of do.
[00:27:13.524 --> 00:27:15.926]  But the next is going to be all the small sites you watch.
[00:27:15.926 --> 00:27:16.967]  They've already announced it.
[00:27:16.967 --> 00:27:29.278]  They're coming after the internet in America, using the EU, all draconianly implemented, and China is exempt because the Chinese dictator, he went to Davos 15 months ago, last year.
[00:27:30.700 --> 00:27:35.941]  And he said, I will hold the New World Order up, I will hold the Euro up, we will defeat Trump.
[00:27:35.941 --> 00:27:44.023]  And Juncker shook his hand and said, quote, we're going to have a trade war with America and we're going to remove Trump and we're going to defeat America.
[00:27:44.023 --> 00:27:51.024]  That was in the foreign news, a hereditary grandson of the most powerful Nazi family in Germany.
[00:27:51.024 --> 00:27:54.705]  The Junkers, the damn bombers were called Junkers.
[00:27:54.705 --> 00:27:59.106]  The munitions factories, everything.
[00:27:59.106 --> 00:27:59.586]  Junker!
[00:28:02.008 --> 00:28:04.070]  He told us, I'm going to defeat you!
[00:28:04.070 --> 00:28:22.483]  And Hollywood, and the Communist Chinese, and the Islamicists, and the EU, and the Chi-Coms are all against us, and the average leftist doesn't even know it, doesn't even care, and thinks I'm the enemy when all we're trying to do with Trump is save something, you idiots!
[00:28:22.483 --> 00:28:24.625]  We've been completely overrun!
[00:28:24.625 --> 00:28:26.887]  We have been completely sold out, you fools!
[00:28:31.926 --> 00:28:32.987]  You got S.O.B.
[00:28:32.987 --> 00:28:37.609]  Nazis telling us that they're going to defeat us.
[00:28:37.609 --> 00:28:45.433]  Well, just like you were arrogant before, you're going to get your ass handed to you, Yunker, and your Chinese communist dictator, and that Nazi collaborator Soros.
[00:28:45.433 --> 00:28:47.294]  You are all going to pay!
[00:28:47.294 --> 00:28:48.474]  They're going to get beat!
[00:28:48.474 --> 00:28:50.775]  America will defeat you!
[00:28:50.775 --> 00:28:52.476]  Russia will defeat you!
[00:28:52.476 --> 00:28:54.577]  You're going to get your asses kicked politically!
[00:28:54.577 --> 00:28:55.818]  We know what's going on now!
[00:28:59.460 --> 00:29:02.501]  Want revenge on the common housefly?
[00:29:02.501 --> 00:29:06.482]  Well, after 10,000 years, someone has finally come up with a better way.
[00:29:06.482 --> 00:29:07.743]  The Bug Assault.
[00:29:07.743 --> 00:29:12.684]  A miniaturized shotgun, which utilizes ordinary table salt as ammunition.
[00:29:12.684 --> 00:29:14.705]  Non-toxic and no batteries required.
[00:29:14.705 --> 00:29:19.007]  So much fun, you'll forget you have a wife and kids!
[00:29:19.007 --> 00:29:20.327]  $39.95 and free economy shipping.
[00:29:20.327 --> 00:29:25.489]  Use discount code GCN and get an extra 10% off your purchase at BugAssault.com.
[00:29:25.489 --> 00:29:27.069]  Fire your fly swatter!
[00:29:27.069 --> 00:29:28.530]  Get your Bug Assault today!
[00:29:29.210 --> 00:29:31.451]  You have been lied to.
[00:29:31.451 --> 00:29:33.172]  My name is Kevin Shipp.
[00:29:33.172 --> 00:29:35.873]  I'm a former decorated CIA officer.
[00:29:35.873 --> 00:29:41.195]  Finally, someone has come out and written what I think is the best ex-mose on the shadow government ever.
[00:29:41.195 --> 00:29:46.878]  We're in a constitutional crisis and our government is now being run and ruled by a shadow government.
[00:29:46.878 --> 00:29:50.319]  We gotta get this out because just because you're awake, folks, doesn't mean other people are.
[00:29:50.319 --> 00:29:53.441]  This is critical to get, to read, to give to the library, to give to your church.
[00:29:53.441 --> 00:29:57.603]  Get them right now at killingunclesambook.com Killingunclesambook.com
[00:30:00.560 --> 00:30:06.145]  You know, if I tried to sit here and tell you about the 60-plus products, we have it in full or his life.
[00:30:06.145 --> 00:30:07.006]  It'd take hours.
[00:30:07.006 --> 00:30:09.449]  Michael's ZX Plus now has a lower price.
[00:30:09.449 --> 00:30:10.630]  It's stronger.
[00:30:10.630 --> 00:30:12.251]  It's the other equation in probiotics.
[00:30:12.251 --> 00:30:15.474]  It knocks out the yeast, the mold, the candida.
[00:30:15.474 --> 00:30:16.595]  It's back in stock.
[00:30:16.595 --> 00:30:19.758]  The Real Red Pill, it's been sold out for months.
[00:30:19.758 --> 00:30:23.082]  It's got the preglanone that's the precursor to all the natural hormones in your body.
[00:30:23.482 --> 00:30:23.642]  I think?
[00:30:40.314 --> 00:30:40.694]  I don't know.
[00:31:00.012 --> 00:31:03.613]  InfoWars Life is bringing you a breakthrough in modern medicine.
[00:31:03.613 --> 00:31:05.394]  Introducing Pollen Block.
[00:31:05.394 --> 00:31:17.539]  We have found an extraordinary new, natural way to alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory function.
[00:31:17.539 --> 00:31:22.461]  In the 1960s, researchers in France noticed that people who ate certain quail eggs,
[00:31:23.221 --> 00:31:32.567]  They began studying this effect in published trials, and decades later, we now have the fruit of this research.
[00:31:32.567 --> 00:31:38.291]  A fast-acting, chewable tablet that helps alleviate seasonal distress symptoms.
[00:31:38.291 --> 00:31:46.816]  In fact, current research has found that it actually acts by blocking the activity of tryptase.
[00:31:47.056 --> 00:31:51.999]  Which is an enzyme that amplifies immune and inflammatory responses in the body.
[00:31:51.999 --> 00:31:54.641]  Go outside and enjoy the air you breathe.
[00:31:54.641 --> 00:32:00.185]  Head to Infowarslife.com and grab a pack of our Pollen Block chewable tablets.
[00:32:00.185 --> 00:32:06.450]  Nourish a probiotic-friendly environment in your gut with Prebiotic Fiber by Infowarslife.
[00:32:07.307 --> 00:32:20.397]  Help the good bacteria thrive and support overall digestive health with our specially formulated prebiotic fiber, a mixture of clinically studied and organic acacia, fruit, and flax fiber.
[00:32:20.397 --> 00:32:30.905]  Prebiotic fiber is soluble fiber that ferments in the gut to help feed good bacteria, which helps you digest food, absorb nutrients, and even support your immune system.
[00:32:31.465 --> 00:32:38.850]  InfoWarsLife's cutting-edge formula only brings you the highest quality organic and clinically studied ingredients.
[00:32:38.850 --> 00:32:53.499]  Cheap prebiotic fibers are used up only at the beginning of the colon, but our premium organic acacia fiber is slowly digested by the good bacteria throughout the entire colon for maximum prebiotic effect.
[00:32:53.499 --> 00:32:56.180]  Head to InfoWarsLife.com or call 1-888-253-3139.
[00:33:03.402 --> 00:33:10.367]  You're listening to the Alex Jones Show.
[00:33:10.367 --> 00:33:15.851]  You are the one they call President?
[00:33:15.851 --> 00:33:16.592]  I am.
[00:33:16.592 --> 00:33:17.812]  Kneel before Zod!
[00:33:17.812 --> 00:33:18.673]  Kneel before Zod!
[00:33:18.673 --> 00:33:20.314]  You are not the President.
[00:33:33.132 --> 00:33:38.034]  No one who leads so many could possibly kneel so comfortably.
[00:33:38.034 --> 00:33:47.018]  Rallying patriots worldwide in defense of human liberty.
[00:33:47.018 --> 00:33:52.620]  It's Alex Jones.
[00:33:52.620 --> 00:33:54.721]  Have you noticed that there's all this
[00:33:55.606 --> 00:34:10.455]  There's yelling and screaming and squawking and there's black leaders I've seen on CNN, MSNBC saying the Founding Fathers gave us the right to free speech, which they didn't.
[00:34:10.455 --> 00:34:12.957]  They just pointed out a right that already existed.
[00:34:12.957 --> 00:34:18.220]  And the NFL players, they have a right to kneel.
[00:34:18.220 --> 00:34:21.823]  How dare the NFL say they've got to stay in the locker room?
[00:34:22.790 --> 00:34:34.515]  They've got to stay in the field house, they've got to stay in the dugout, they've got to stay in their barracks, and they can come out later if they don't want to stand for the National Anthem.
[00:34:34.515 --> 00:34:44.580]  Well, number one, they signed a contract that says that, and the contract says they're entertainers, and the ticket says it's entertainment.
[00:34:44.580 --> 00:34:48.261]  It's actually a blood sport, but that's entertainment too.
[00:34:48.261 --> 00:34:49.242]  They're modern gladiators.
