[00:00:07.177 --> 00:00:12.481]  He aligns himself with the truth and it's time for you to choose a side.
[00:29:21.421 --> 00:29:21.841]  Call 800-34-NO-TAX.
[00:29:21.841 --> 00:29:23.482]  That's 800-34-NO-TAX or my website, danpilla.com.
[00:29:29.048 --> 00:29:35.830]  Water is the single most important thing your body needs, so you want to be sure it's the best for you and your family.
[00:29:35.830 --> 00:29:40.092]  Since 2005, thousands have depended on Berkey Purified Water.
[00:29:40.092 --> 00:29:44.713]  The Berkey guy provides the lowest price filtration systems in every size.
[00:29:44.713 --> 00:29:50.275]  For incredibly delicious water now and in an emergency, get to GoBerkey.com or call 877-886-3653.
[00:29:50.275 --> 00:29:50.415]  877-886-3653.
[00:29:50.415 --> 00:29:50.755]  GoBerkey.com.
[00:30:01.383 --> 00:30:06.867]  New from Emmerich's Essentials, fragrance-free natural deodorant for your body care needs.
[00:30:06.867 --> 00:30:10.469]  Playing basketball in the dry summer heat really makes me sweat.
[00:30:10.469 --> 00:30:13.891]  To maintain my game, I need all the confidence I can get.
[00:30:13.891 --> 00:30:19.115]  That's why I use Emmerich's Essentials natural deodorant, made with organic ingredients.
[00:30:19.115 --> 00:30:25.799]  This deodorant combines mineral crystals with natural botanicals to ionize odor, keeping me fresh throughout the day.
[00:30:25.799 --> 00:30:30.963]  While shooting hoops, the last thing I want is sweaty armpits making my hands slippery and the ball wet.
[00:30:31.603 --> 00:30:35.625]  That's why I recommend Emmerich's Essentials Fragrance-Free Deodorant.
[00:30:35.625 --> 00:30:44.010]  Even though it's unscented, it's effective at combating strong body odor, and I don't have to worry about any unwanted allergic reactions to my sensitive skin.
[00:30:44.010 --> 00:30:48.692]  Whether you're a guy or gal, the last thing you want to be worried about is your deodorant.
[00:30:48.692 --> 00:30:52.934]  No petroleum-based ingredients, 100% natural and cruelty-free.
[00:30:52.934 --> 00:30:56.977]  Stay in the game with Emmerich's Essentials Fragrance-Free Natural Deodorant.
[00:30:56.977 --> 00:30:58.677]  Available at InfoWarsStore.com.
[00:31:00.234 --> 00:31:03.719]  InfoWars Live is bringing you a breakthrough in modern medicine.
[00:31:03.719 --> 00:31:15.235]  We have found an extraordinary new natural way to help alleviate seasonal distress symptoms, including promoting clear nasal and sinus passageways, eye comfort, and respiratory health, and normal breathing.
[00:31:15.235 --> 00:31:16.136]  This is Pollen Block.
[00:31:17.117 --> 00:31:29.794]  In the 1960s, researchers in France noticed that people who ate certain quail eggs from specific farms experienced less seasonal distress symptoms like runny nose, itchy watery eyes, and excessive mucus production.
[00:31:29.794 --> 00:31:33.639]  They began studying the effects in published trials, in their published trials.
[00:31:34.099 --> 00:31:38.582]  Now we are introducing the fruit of the research, a fast-acting chewable tablet.
[00:31:38.582 --> 00:31:48.670]  Just chew two tablets at the first sign of seasonal distress and fast-acting pollen block starts working in about 15 minutes to help alleviate seasonal distress.
[00:31:48.670 --> 00:31:51.812]  Enjoy the air you breathe naturally with fast-acting pollen block.
[00:31:51.812 --> 00:31:56.055]  Available now at InfoWarsLife.com or by calling toll-free, 888-253-3139.
[00:31:59.898 --> 00:32:06.283]  The scientists at Infowars Life have created a powerful formula for inflammatory support and joint support.
[00:32:06.283 --> 00:32:09.505]  Discover the power of ancient medicine with Bades.
[00:32:09.505 --> 00:32:13.208]  Bades contains one of the most potent forms of turmeric available.
[00:32:13.208 --> 00:32:17.911]  Turmeric has been used for thousands of years and is one of the most studied herbals today.
[00:32:17.911 --> 00:32:21.194]  It is well known in traditional medicine for its soothing properties.
[00:32:22.054 --> 00:32:33.059]  Our pure turmeric extract plus piperine from Black Pepper makes for optimal absorption to help boost and support your flexibility, mobility, joint function, immune system, and so much more.
[00:32:33.059 --> 00:32:41.582]  Regular turmeric root from the store only contains 1-5% of active ingredients, but our turmeric root extract contains over 95% of the active ingredients.
[00:32:43.223 --> 00:32:45.064]  You're listening to the Alex Jones Show!
[00:33:17.353 --> 00:33:19.476]  Big Brother.
[00:33:19.476 --> 00:33:21.638]  Mainstream media.
[00:33:21.638 --> 00:33:24.822]  Government cover-ups.
[00:33:24.822 --> 00:33:26.764]  You want answers?
[00:33:26.764 --> 00:33:28.666]  Well, so does he.
[00:33:28.666 --> 00:33:34.973]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:38.078 --> 00:33:38.698]  Welcome back.
[00:33:38.698 --> 00:33:41.559]  I am Milo, standing in for Alex Jones.
[00:33:41.559 --> 00:33:43.599]  I'm on loan from Dangerous.com.
[00:33:43.599 --> 00:33:46.660]  You can see my show, the Milo Show, Dangerous.com slash join.
[00:33:46.660 --> 00:33:57.542]  And I'm here, live in studio, in our pink-flushed, slightly gayified InfoWars studio, standing in for the big guy.
[00:33:57.542 --> 00:34:03.103]  Twitter's head of trust and safety, Del Harvey, is the worst kind of liberal.
[00:34:03.103 --> 00:34:04.663]  She's both evil and stupid.
[00:34:06.169 --> 00:34:12.490]  Today, trending on Twitter is Twitter lockdown.
[00:34:12.490 --> 00:34:31.513]  The latest thing they're doing to conservatives is demanding that we, and by we I mean you, because it's been some time since I've been allowed a Twitter account, as many of you will know, you have to give Twitter your cell phone number to verify your phone number before they will allow you back into your account.
[00:34:31.513 --> 00:34:35.414]  This is a number grab by Twitter.
[00:34:37.145 --> 00:34:38.767]  What could the motivations be?
[00:34:38.767 --> 00:34:48.100]  I don't think that there's some abrupt case in which, you know, conservatives are needing to verify their identities because of ID fraud.
[00:34:48.100 --> 00:34:49.482]  What is going on?
[00:34:49.482 --> 00:34:53.688]  I believe that the confected hysteria
[00:34:54.873 --> 00:35:03.976]  about Russia is being used as a pretext to acquire personal information from accounts that Twitter has identified as being run by conservatives.
[00:35:03.976 --> 00:35:14.819]  What Twitter will say is that they have identified Russian bots on the network and therefore they need to verify the identity of accounts that may or may not be compromised and we need to verify that whatever.
[00:35:14.819 --> 00:35:17.199]  No.
[00:35:17.199 --> 00:35:22.201]  There are plenty of ways to do this without demanding that we hand over our cell phones
[00:35:23.021 --> 00:35:31.709]  Our cell phone numbers to Twitter before they allow us to go back on the service, before they allow us to use their service.
[00:35:31.709 --> 00:35:38.856]  Now this comes in the wake of a Vanity Fair report that is brutal about Del Harvey, a very early Twitter employee.
[00:35:38.856 --> 00:35:48.625]  She's still with the company, she's been there a really long time and she is by common consent grotesquely out of her depth in her current role, which is the troll hunter-in-chief.
[00:35:50.458 --> 00:36:04.667]  She's been shat on by, excuse my language, by anonymous sources to Vanity Fair's Maya Kossoff, who wrote a story recently which sent shockwaves around Twitter's management.
[00:36:04.667 --> 00:36:12.612]  It said, and it just revealed what we all knew by the way, which is that Twitter is held together with bubblegum, string and bits of old Kleenex boxes.
[00:36:12.612 --> 00:36:16.715]  If you read between the lines of this piece in Vanity Fair, you'll see the executives at Twitter don't care
[00:36:17.475 --> 00:36:18.615]  That free speech is dead.
[00:36:18.615 --> 00:36:21.556]  They don't care about the site lacking basic features.
[00:36:21.556 --> 00:36:39.700]  What they care about is punishing conservatives, which is why they have allowed this regime, with its notoriously opaque rules and selective enforcement of those rules, to run rampant under the gentle guidance of Del Harvey.
[00:36:41.155 --> 00:36:47.759]  Whom even social justice warriors are getting ticked off with because she doesn't do enough to censor Twitter.
[00:36:47.759 --> 00:36:53.403]  Just an ass-backward tech company, how Twitter lost the internet war is how Vanity Fair puts it.
[00:36:53.403 --> 00:37:06.952]  Now some people are saying that Vanity Fair has been fed a lot of information by disgruntled executives and she's getting a bad rap, but it doesn't really matter whether it's her or whether it's just a systematic endemic problem in Twitter's culture.
[00:37:06.952 --> 00:37:08.794]  What we know for sure is that they are
[00:37:09.844 --> 00:37:24.040]  Fundamentally, structurally, spiritually hostile to Conservatives and Libertarians, and they are using every excuse possible, not just to censor us, but now with Twitter lockdown, to collect private data about us.
[00:37:24.040 --> 00:37:29.246]  I don't know how you feel about handing over your cell number to Twitter, but for me, it's a hard pass.
[00:37:30.987 --> 00:37:36.252]  Facebook co-founder at the same time is warning that tech is going to take all of our jobs.
[00:37:36.252 --> 00:37:55.329]  One of the early employees of Facebook, Chris Hughes, who has since recanted to some extent, warning about the dangers of Facebook interviews, says that the mechanization and digitization and the software eating the world that is being driven in part by social networking companies is not going to let up.
[00:37:56.107 --> 00:38:01.626]  It's destroying American jobs, the world of work in America in terrible threat.
[00:38:01.626 --> 00:38:02.850]  And finally on the tech question...
[00:38:04.946 --> 00:38:10.512]  YouTube is, of course, owned by Google, notorious for its crackdowns on conservative points of view.
[00:38:10.512 --> 00:38:19.782]  And Prager University, run by Dennis Prager, who is a luminary of the Republican conservative movement in this country, does a series of videos on YouTube.
[00:38:19.782 --> 00:38:21.023]  They're called PragerU.
[00:38:21.023 --> 00:38:27.350]  You can go and you can get an education in cultural issues from Dennis Prager and his guests.
[00:38:28.120 --> 00:38:37.408]  Well, they touched one of the third rails of the left wing, which is abortion, with the result that YouTube has disabled embedding on the video.
[00:38:37.408 --> 00:38:41.592]  So you can't share the video to somebody and have it embedded in a news story.
[00:38:41.592 --> 00:38:44.895]  You can't see the video under certain circumstances.
[00:38:44.895 --> 00:38:46.136]  It's one of the ways in which Twitter
[00:38:46.656 --> 00:38:50.880]  We'll censor without actually taking the video down.
[00:38:50.880 --> 00:39:03.332]  They limit your ability, the whole point of the YouTube platform is that you can share things, is that they spread, is that you can put something down and it'll pop up in the algorithm on related videos, you can share it to people, you can embed it on your blog or in news stories.
[00:39:03.332 --> 00:39:04.192]  A really, really...
