[00:00:00.089 --> 00:00:02.174]  Beijing War on Corruption.
[01:41:42.725 --> 01:41:52.969]  So don't, you know, I've got to take seriously the fact that this executive order established the powers of martial law to go after corruption and human trafficking.
[01:41:54.209 --> 01:41:56.350]  Then Q next in this post says,
[01:41:57.637 --> 01:41:59.098]  How do you defuse a bomb?
[01:42:00.439 --> 01:42:03.401]  Knowledge of which wires, strings to cut.
[01:42:04.602 --> 01:42:14.470]  Now, Q is also saying here that just having trials against Hillary and Obama and George Soros are not enough.
[01:42:15.471 --> 01:42:23.617]  That there's a much more demanding justice that we get here, which goes after the globalists, the deep state.
[01:42:24.575 --> 01:42:24.956]  All right.
[01:42:43.300 --> 01:42:50.643]  But he also wants to make sure that in the process, he ends the globalist power to create a new world order.
[01:42:51.283 --> 01:42:55.064]  We'll pick it up from there, but that's the first introduction I want to give you.
[01:42:56.085 --> 01:42:59.506]  It's critical to support independent media operations.
[01:43:00.126 --> 01:43:06.149]  That aren't these internet ghettos like Facebook, Twitter, and YouTube, like Infowars.com, and to spread the articles and the videos.
[01:43:06.669 --> 01:43:11.291]  And it's more critical than ever, too, to wear t-shirts out in public.
[01:43:11.651 --> 01:43:21.056]  Depending on how extreme you want to get, wear an Infowars.com shirt, you're going to be loved, you're going to get dinner bought for you, you're going to meet maybe your future spouse 90% of the time.
[01:43:21.076 --> 01:43:25.118]  10% of the time you may get hot coffee thrown on you and somebody trying to physically attack you.
[01:43:26.036 --> 01:43:35.781]  Or wear something like Don't Tread On Me that is a symbol that other patriots recognize so you can wear your colors publicly and meet like-minded people.
[01:43:36.221 --> 01:43:37.542]  That's what flags are about.
[01:43:37.622 --> 01:43:39.163]  That's what symbols are about.
[01:43:39.663 --> 01:43:51.889]  Now I had an idea, because growing up I loved Book of the Month Club and Comic Book of the Month Club or Model of the Month Club where a model would come, you know, of a B-17 or a truck or whatever and I'd glue it together and paint it and everything.
[01:43:52.509 --> 01:43:55.051]  We have a shirt of the month that will be a
[01:43:56.071 --> 01:44:00.634]  Collectors Edition high-quality shirt that is only available for that month.
[01:44:00.834 --> 01:44:02.875]  But these shirts just came in a few days ago.
[01:44:03.335 --> 01:44:10.319]  It's a red version of our best-selling yellow version, Won't Tread on Me, with the American flag and Infowars.com.
[01:44:10.720 --> 01:44:17.083]  This red version will only be available for the next 25 days or so, because we just got them in a few days ago, and then that's it.
[01:44:17.463 --> 01:44:17.844]  And you get
[01:44:18.504 --> 01:44:23.426]  Twenty-five percent off when you order it at Infowarestore.com in the shirt of the month.
[01:44:23.806 --> 01:44:26.287]  You sign up in that in the auto-ship function.
[01:44:26.507 --> 01:44:27.507]  Can cancel anytime.
[01:44:27.967 --> 01:44:28.647]  It's totally free.
[01:44:29.067 --> 01:44:31.788]  And then you get the next shirt every month.
[01:44:32.389 --> 01:44:33.389]  You can give it as a gift.
[01:44:33.429 --> 01:44:34.469]  You can change the size.
[01:44:35.449 --> 01:44:39.631]  And you'll have a wardrobe of Patriot apparel for every occasion.
[01:44:40.171 --> 01:44:43.514]  It's available right now on InfoWarsTore.com or 888-253-3139.
[01:44:43.554 --> 01:44:47.117]  So again, thank you all for checking out InfoWarsTore.com.
[01:44:47.497 --> 01:44:48.678]  You built InfoWars!
[01:44:49.279 --> 01:44:51.261]  And we're going to the next level thanks to you!
[01:45:05.976 --> 01:45:14.203]  For more than a decade, my favorite coffee has come from the high mountains of southern Mexico, where the Chiapas farmers grow their unique shade-grown Arabica beans.
[01:45:14.383 --> 01:45:19.087]  We have now managed to secure the sought-after beans in a highly customized blend.
[01:45:19.267 --> 01:45:25.953]  Discover and try a bag of the Patriot Blend 100% Organic Coffee at Infowarslife.com.
[01:45:26.053 --> 01:45:33.139]  This coffee gives you a long, smooth pick-me-up for hours without the headaches and heartburn that so many other coffees give me personally.
[01:45:33.219 --> 01:45:34.920]  Hands down, this is my favorite coffee.
[01:45:35.100 --> 01:45:40.084]  And it's taken us years to secure connections directly to the Chiapas Mexican farmers.
[01:45:40.225 --> 01:45:44.588]  Drop by the site today, order a bag or two, and I don't think you're going to be disappointed.
[01:45:44.728 --> 01:45:47.971]  Available in original or with our immune support infusion blend.
[01:45:48.111 --> 01:45:54.237]  You will be supporting a free press, all the while enjoying a truly great tasting cup of my favorite coffee.
[01:45:54.417 --> 01:45:56.078]  Available at Infowarslife.com.
[01:45:57.600 --> 01:46:01.983]  Maximize your potential and take your body back with super male vitality.
[01:46:03.083 --> 01:46:07.666]  We're breaking the conditioning and fighting back against the globalist war on male vitality.
[01:46:08.406 --> 01:46:16.831]  Our ultimate non-GMO formula is sourced from powerful organic herbs that have been gathered from around the world and then concentrated for maximum potency.
[01:46:17.984 --> 01:46:24.189]  Super Male Vitality was developed to activate your body's natural processes instead of using synthetic chemicals.
[01:46:24.889 --> 01:46:28.012]  Info Wars Life wants to bring you the highest quality products.
[01:46:29.313 --> 01:46:37.099]  Our unique combination of ingredients is designed to assist the body in regulating proper balance and creating superior vitality in males.
[01:46:38.599 --> 01:46:41.601]  Support your body and mind and take yourself to the next level.
[01:46:42.301 --> 01:46:44.923]  Boost your vitality and energize your life.
[01:46:46.163 --> 01:46:47.304]  Take control of your body.
[01:46:47.644 --> 01:46:51.986]  Grab a bottle of super male vitality today at infowarslife.com.
[01:46:52.867 --> 01:46:55.248]  That's infowarslife.com.
[01:47:00.071 --> 01:47:02.892]  You're listening to the Alex Jones Show.
[01:47:22.637 --> 01:47:24.858]  Waging war on corruption.
[01:47:25.278 --> 01:47:30.499]  It's Alex Jones, coming to you live from the front lines of the InfoWar.
[01:47:41.081 --> 01:47:51.364]  I want to return now to look at these QAnon posts, and I'm going to pick out a couple of them that I think are really quite critical to understand where QAnon is going.
[01:47:52.354 --> 01:47:56.055]  This is a post that was done January 22nd.
[01:47:56.075 --> 01:48:19.703]  And again, QAnon appears to be a military intelligence source that is working very closely with President Trump to expose the Hillary Clinton, Barack Obama, coup d'etat, treasonous effort to really revise the Constitution, change the United States into a socialist or European-style communist party.
[01:48:20.792 --> 01:48:24.374]  Uh, revise the Constitution and the Second Amendment.
[01:48:24.414 --> 01:48:49.370]  I mean, it goes on, but I want to, um, focus on this one because it deals with the, uh, the memos that we've been getting out from, uh, that are now supposedly many of them lost between, uh, this, uh, Strozik, Peter Strozik and Lisa Page, uh, in the Department of Justice, the FBI, uh, internal workings.
[01:48:50.129 --> 01:48:57.933]  Now, we still have, supposedly these missing emails have been found, but they've not been released yet to Congress.
[01:48:58.853 --> 01:49:14.922]  Now, QAnon asks, what would happen if the text originating from an FBI agent to several internals, FBI agents, discussed the assassination possibility of the POTUS or member of his family?
[01:49:16.588 --> 01:49:33.357]  If my hypothesis is right, and QAnon repeatedly says, you know, we know all, we see all, I think that the reality of a coup has triggered military intelligence access to much of the NSA intelligence.
[01:49:34.198 --> 01:49:36.919]  So I don't think any of these emails have been lost.
[01:49:36.979 --> 01:49:40.701]  I don't think any of Hillary's emails have been lost.
[01:49:41.402 --> 01:49:43.443]  And what QAnon is signaling
[01:49:44.415 --> 01:49:55.041]  From an intelligence point of view, QAnon's kind of acting like a deep throat here in Watergate, but sharing the intelligence, more intelligence than ever has been shared with the American public.
[01:49:55.061 --> 01:50:07.947]  QAnon suggesting the missing emails, Strozik and Page basically got down to talking about assassinating Trump, if that was the only way to keep him from being president.
[01:50:08.848 --> 01:50:12.750]  Now, one of the texts suggested that foreign allies were involved.
[01:50:13.698 --> 01:50:17.840]  Now again, this would be explosive information.
[01:50:18.681 --> 01:50:20.162]  Forget the Russia setup.
[01:50:20.962 --> 01:50:23.283]  That's, you know, this is only the beginning.
[01:50:23.944 --> 01:50:28.706]  QAnon says, be careful what you wish for as the world turns.
[01:50:28.807 --> 01:50:36.091]  So we're getting a preview of why some of what's to come is going to be so explosive.
[01:50:37.371 --> 01:50:39.853]  Could messages such as these be publicly disclosed?
[01:50:39.873 --> 01:50:40.113]  Yes.
[01:50:41.005 --> 01:50:41.806]  I think they will be.
[01:50:41.846 --> 01:50:43.387]  And what happens to the FBI?
[01:50:43.887 --> 01:50:45.348]  What happens to the Department of Justice?
[01:50:45.388 --> 01:50:51.972]  Well, both of them will undergo serious consideration of being closed down.
[01:50:53.033 --> 01:51:09.803]  If they went that rogue that not only they were considering preventing a duly elected president who won the Electoral College vote from sitting in the White House and being president, to a conspiracy that included assassinating the president or contemplating it, that's not going to be tolerated within a
[01:51:10.473 --> 01:51:13.295]  Justice Department or FBI that's become that corrupt.
[01:51:13.815 --> 01:51:15.256]  What happens to the Special Counsel?
[01:51:16.236 --> 01:51:17.217]  What happens in general?
[01:51:17.237 --> 01:51:19.178]  The Special Counsel will probably be closed down.
[01:51:20.118 --> 01:51:27.302]  Because again, as Q says, every FBI, DOJ, previous case could be challenged, lawless.
[01:51:28.240 --> 01:51:47.211]  It's a lawless FBI, lawless, keeping information, critical information from cases that are being prosecuted by the Department of Justice, which is a clear violation of Supreme Court regulations of demanding prosecution of share information that could be detrimental to the defense.
[01:51:48.132 --> 01:51:50.033]  Then QAnon says, think logically.
[01:51:51.275 --> 01:51:53.557]  And that first part of the post wasn't frightening enough.
[01:51:53.597 --> 01:52:04.228]  What he says is, Conan Exodus says, we have not started the drops regarding human trafficking, sacrifices, yet worse.
[01:52:05.289 --> 01:52:08.632]  Now, this is pretty frightening, especially as how he couches it.
[01:52:08.672 --> 01:52:14.138]  He says, those parentheses, good and bold, who know cannot sleep.
[01:52:15.200 --> 01:52:17.946]  Those good who know cannot find peace.
[01:52:18.667 --> 01:52:23.897]  Those good who know cannot rest until the responsible are held accountable.
[01:52:26.363 --> 01:52:37.470]  This signals that what we're going to get on what has been kind of prefigured in the Pizzagate, I think the Pizzagate got out of the gate too fast.
[01:52:37.530 --> 01:52:52.620]  I think now QAnon is saying we're going to get some serious evidence that is going to make the country extremely disturbed about the behavior of these political elites who thought they were above the Constitution to engage in a
[01:52:53.653 --> 01:52:58.275]  Coup d'etat to keep Hillary Clinton in office following Barack Obama.
[01:52:59.416 --> 01:53:03.338]  QAnon says, nobody can possibly imagine the pure evil and corruption out there.
[01:53:04.358 --> 01:53:06.719]  Those you trust are most guilty of sin.
[01:53:07.840 --> 01:53:09.120]  Who are we taught to trust?
[01:53:10.061 --> 01:53:22.687]  Well, if the people we're taught to trust, including the elite politicians, the people in high positions in corporations, people in the media,
[01:53:23.476 --> 01:53:30.020]  Are guilty of the atrocities of human trafficking, pedophilia, human sacrifices.
[01:53:31.200 --> 01:53:33.822]  The killing rightly says if you're religious, pray.
[01:53:33.842 --> 01:53:39.024]  I said 60% of must remain private, at least for humanity.
[01:53:39.064 --> 01:53:43.447]  Now, it's been a controversial line because people are saying we want full disclosure.
[01:53:44.107 --> 01:53:45.008]  We can handle it.
[01:53:45.668 --> 01:53:52.812]  I mean, I'm going to remind you that I've had a lot of training and under security clearances working in universities where
[01:53:53.473 --> 01:53:57.877]  I work with some of the best psychologists in the world.
[01:53:59.558 --> 01:54:03.181]  Many of whom are psychopaths.
[01:54:06.224 --> 01:54:13.290]  If Q is right, I feel like human trafficking, human sacrificing, satanism is going to be so disturbing.
[01:54:15.612 --> 01:54:21.097]  I'm going to recommend that the majority of people don't disturb you, quit looking at it.
[01:54:21.798 --> 01:54:38.308]  Because what we're about to see has the potential, I believe, to create serious psychological damage in normal people who aren't prepared to comprehend or deal with the horrors that are going to be the reality that we're about to have exposed.
[01:54:41.510 --> 01:54:43.572]  And again, I think that's the final act.
[01:54:43.832 --> 01:54:45.553]  I think we're now going into the counterattack.
[01:54:46.033 --> 01:54:47.274]  We're going to have a final act.
[01:54:47.924 --> 01:54:55.489]  And the final act is going to be the exposure of the Satanism, the pedophilia, the human trafficking, the abuse of children.
[01:54:55.509 --> 01:55:06.717]  And it's going to be a mind-altering to comprehend that this really went on in America and worldwide with the global elite.
[01:55:08.758 --> 01:55:13.362]  One more thing I want to comment on just before we wrap up here is that
[01:55:15.032 --> 01:55:26.377]  A number of the Q&A posts have suggested that Julian Assange was extracted out of London in January 5th and 6th.
[01:55:28.558 --> 01:55:34.701]  And what we're getting now is kind of a backstory that what happens is you get the backstory filled in.
[01:55:35.881 --> 01:55:44.245]  The backstory gets filled in when you have an intelligence operation that is determined
[01:55:45.302 --> 01:55:48.483]  To explain what already happened.
[01:55:49.183 --> 01:56:00.306]  So we find out, after this, that Julian Assange has a diplomatic passport, a diplomatic passport... Yes?
[01:56:00.326 --> 01:56:01.907]  Hello?
[01:56:02.947 --> 01:56:04.007]  I'll catch you in a minute.
[01:56:05.868 --> 01:56:11.649]  What we find here is we find... I thought that might be something wrong with the broadcast, that's why I picked it up.
[01:56:12.169 --> 01:56:14.430]  What we find here is that Julian Assange
[01:56:15.587 --> 01:56:28.596]  I believe has already been extracted and that we're learning about the diplomatic passport and everything else is just explaining it and quite likely we're going to see Julian Assange return to the United States.
[01:56:28.636 --> 01:56:43.346]  He's not committed any crime here and he's going to be part of the final act which a lot of the information that he brings with him which he will finally release is going to also I think reveal the deep dark secrets that we are now facing with the
[01:56:44.190 --> 01:56:52.437]  Plot, which was really a plot to destroy the Constitution, to put Hillary Clinton in power for eight years, to establish the mainstream media.
[01:56:53.317 --> 01:56:57.120]  Quite frankly, I think it's amazing that Donald Trump did win.
[01:56:57.140 --> 01:57:06.908]  The United States has been given a grace of God opportunity to repent and reform and to get back to our fundamental principles.
[01:57:08.069 --> 01:57:13.073]  I don't know of anyone in the country other than Donald Trump who is capable of doing this.
[01:57:14.014 --> 01:57:15.315]  I've known him for 40 years.
[01:57:15.355 --> 01:57:18.876]  I've got enormous trust and confidence in his abilities.
[01:57:18.896 --> 01:57:22.157]  I urge everyone out there to continue following.
[01:57:22.797 --> 01:57:25.018]  We're doing InfoWars to pray for Donald Trump.
[01:57:25.338 --> 01:57:26.058]  Thank you very much.
[01:57:26.718 --> 01:57:28.159]  Jerome Corsi for InfoWars.
[01:57:46.380 --> 01:57:54.063]  You know, I've got some talking points here about Caveman from Infowarsandlife.com, but instead of going over those talking points, let me just give you what I've experienced personally.
[01:57:54.943 --> 01:57:58.985]  From all the wives' tales in every culture, we know that the bones have the essence.
[01:57:59.505 --> 01:58:01.846]  We know chicken noodle soup is great for people that are sick.
[01:58:02.647 --> 01:58:05.748]  Again, in every culture, this has been reported because it works.
[01:58:07.273 --> 01:58:19.398]  And there's no way to quantify how strong this is, but the amount of bone protein and the amount of marrow and the amount of concentrated life force that is in this is incredible.
[01:58:20.098 --> 01:58:35.145]  Ladies and gentlemen, whether it's for your joints, whether it's for your arteries and your veins, whether it's for your brain, whether it's for energy, this, ladies and gentlemen, is the strongest, most concentrated bone broth formula out there, and it's amazing.
[01:58:36.145 --> 01:58:39.869]  Find out for yourself today at Infowarsstore.com what it could do for you and your family.
[01:58:40.410 --> 01:58:42.132]  And again, I want to thank you all for your support.
[01:58:42.152 --> 01:58:44.554]  You are funding the information war in 2018.
[01:58:44.634 --> 01:58:48.338]  Frank in North Carolina, thanks for holding so long.
[01:58:48.418 --> 01:58:48.739]  Go ahead.
[01:58:49.384 --> 01:58:51.225]  Yeah, Alec, I just have to say something, man.
[01:58:51.245 --> 01:58:54.286]  It seems like every time I turn on your broadcast, you're bragging.
[01:58:55.127 --> 01:58:56.247]  It just gets old, man.
[01:58:56.547 --> 01:58:58.268]  I'm gonna shut you down right now, okay?
[01:58:58.969 --> 01:59:01.070]  We're taking calls about your nomination.
[01:59:01.290 --> 01:59:05.272]  Do you understand they're having congressional hearings trying to shut us down?
[01:59:05.292 --> 01:59:07.733]  Do you understand I'm ringing the alarm?
[01:59:08.593 --> 01:59:10.915]  If that was happening to anybody else, I'd be freaked out.
[01:59:11.275 --> 01:59:12.356]  I mean, what's it gonna take?
[01:59:12.636 --> 01:59:13.537]  Us being shut down?
[01:59:13.757 --> 01:59:14.818]  Is that what you want, Frank?
[01:59:15.238 --> 01:59:16.279]  You know what, Alex?
[01:59:16.299 --> 01:59:17.400]  Hey, put him on pause again.
[01:59:17.420 --> 01:59:18.240]  Hey, Frank!
[01:59:18.520 --> 01:59:23.864]  Do you understand it's not bragging to say, we are the tip of the spear, we're under attack, we need your help.
[01:59:24.184 --> 01:59:28.468]  As much bagging as I do, we can barely pay the bills and grow in the face of this.
[01:59:28.708 --> 01:59:31.570]  I'm not gonna just stop growth and let them start pushing us backwards.
[01:59:31.830 --> 01:59:32.210]  You understand?
[01:59:32.310 --> 01:59:33.571]  I need your help, Frank!
[01:59:33.952 --> 01:59:35.052]  I need your help, Frank!
[01:59:36.053 --> 01:59:41.418]  Go to Infowarsstore.com right now and help fund the InfoWars.
[01:59:41.678 --> 01:59:42.379]  Do you understand?
[01:59:42.399 --> 01:59:43.620]  I need your help, Frank!
[01:59:44.021 --> 01:59:45.542]  Free Press needs your help, Frank!
[01:59:48.685 --> 01:59:52.789]  Leading a frontal assault on the lies of the New World Order.
[01:59:53.309 --> 01:59:54.611]  It's Alex Jones.
