[00:00:00.069 --> 00:00:00.850]  I understand.
[00:22:16.347 --> 00:22:17.788]  Listen to what he says here in clip four.
[00:22:19.219 --> 00:22:21.160]  We're coming near to the end of the rope.
[00:22:21.200 --> 00:22:23.182]  I mean, today we announced $200 million.
[00:22:23.462 --> 00:22:29.066]  And we'll keep that aid going as long as we can, but it's not going to be indefinite.
[00:22:29.106 --> 00:22:31.148]  So, are we moving with a sense of alacrity?
[00:22:31.328 --> 00:22:31.788]  Absolutely.
[00:22:31.828 --> 00:22:33.590]  I couldn't give you a date certain on the calendar.
[00:22:37.819 --> 00:22:41.041]  Clearly the miscommunication is still going on between this Biden administration.
[00:22:41.201 --> 00:22:44.843]  One side says, we can fund them all, we've got unlimited funding for everybody, nothing to worry about.
[00:22:45.143 --> 00:22:47.424]  And then Kirby says, we're at the end of the rope with the Ukraine funding.
[00:22:47.884 --> 00:22:49.185]  So I want to get your take on that.
[00:22:49.225 --> 00:22:51.166]  But then also, let's think about this.
[00:22:51.526 --> 00:23:00.271]  We've sent hundreds of billions of dollars to Ukraine, and now they're basically waving the white flag saying, eh, didn't work, Russia won, we've got to pull out, funding was for nothing.
[00:23:00.571 --> 00:23:03.513]  So $200 billion, all the weapons, all for naught.
[00:23:04.033 --> 00:23:14.728]   Yeah, and I wonder if this Israel conflict that's going on and all the push to support Israel is sort of a way for America to graciously bow out of the Ukraine thing.
[00:23:15.268 --> 00:23:20.211]  And also, I'm worried that Zelensky's going to use that as an excuse for losing the war.
[00:23:20.271 --> 00:23:21.631]  It sort of almost saves his face.
[00:23:21.671 --> 00:23:25.713]  Like, hey, we would have won if we didn't have our supplies cut off by the United States.
[00:23:25.753 --> 00:23:28.274]  It's a way to lose without losing and kind of blame someone else.
[00:23:28.594 --> 00:23:32.756]  Ironically, we see a Nazi regime finding a way to blame the Jews for another lost war.
[00:23:34.444 --> 00:23:34.845]  Okay.
[00:23:35.145 --> 00:23:36.967]  Well, you hit me with the comedy angle at the end.
[00:23:37.348 --> 00:23:40.772]  But, you know, Zelensky is now saying, oh, he's asking to go visit Israel.
[00:23:40.812 --> 00:23:42.214]  We'll see if they allow him to or not.
[00:23:42.234 --> 00:23:44.536]  He's saying, oh, I want to go visit Israel for solidarity.
[00:23:44.997 --> 00:23:47.680]  I think he's going to go visit Israel for money.
[00:23:48.161 --> 00:23:48.441]  Yeah.
[00:23:48.761 --> 00:23:49.002]  Yeah.
[00:23:49.122 --> 00:23:53.167]  And I think that the conflict in Ukraine and the conflict in Israel are connected.
[00:23:53.707 --> 00:24:02.654]  Because I think that Russia and China and Iran are all working together to try to find any way they can to destabilize the dollar and replace it as the global reserve currency.
[00:24:03.014 --> 00:24:12.982]  And I think by Russia having control of Ukraine, that's a way to supply food and energy to the region, food to China in a way that the United States wouldn't if China were to take Taiwan.
[00:24:13.423 --> 00:24:18.847]  These areas seem to be establishing an independence from the United States in a way that hasn't existed before.
[00:24:19.107 --> 00:24:23.430]  Yeah, there's no doubt the geopolitical issues there that most people don't understand.
[00:24:23.470 --> 00:24:26.793]  You know, the media just says, you know, Russia's the boogeyman, Russia's the bad guy.
[00:24:26.813 --> 00:24:33.578]  Well, hate or love Russia, we're talking about serious geopolitical shifts that are happening right now and a serious move to replace the U.S.
[00:24:33.638 --> 00:24:35.740]  dollar as the world reserve currency.
[00:24:36.020 --> 00:24:36.580]  And I do agree.
[00:24:36.620 --> 00:24:38.362]  I think a lot of it has to do with that.
[00:24:38.662 --> 00:24:39.202]  Now, how much?
[00:24:40.003 --> 00:24:45.845]  How much direct influence did Iran or these other countries have on saying, hey, let's green light Hamas to do this?
[00:24:46.345 --> 00:24:46.765]  I don't know.
[00:24:46.825 --> 00:24:48.066]  The jury is still out on that.
[00:24:48.166 --> 00:24:52.627]  But no doubt they look at this as, hey, destabilization, weakening of the West.
[00:24:52.807 --> 00:25:03.791]  This allows our opportunity as Russia, China, the BRICS system, Iran and others to start moving their geopolitical chess pieces around on the board for their global desires and missions.
[00:25:04.031 --> 00:25:04.753]  And of course the U.S.
[00:25:04.793 --> 00:25:06.017]  people are all asleep at the switch.
[00:25:06.418 --> 00:25:06.799]  The U.S.
[00:25:06.839 --> 00:25:08.143]  media is not telling you any of this.
[00:25:08.885 --> 00:25:11.753]  And the average politician just has the next...
[00:25:12.671 --> 00:25:18.476]  Big thing, whether it's Ukraine, or COVID, or wearing a mask, or a vaccine, or now Israel, instead of the real issues.
[00:25:18.536 --> 00:25:23.660]  Alright, we're going to talk about Dan Crenshaw attempting to assault a journalist yesterday for asking him a question on the other side.
[00:25:24.321 --> 00:25:28.284]  Ladies and gentlemen, in the next segment we got a huge breaking report from Alex Jones coming up.
[00:25:28.324 --> 00:25:40.073]  He wants to urge the listening audience, this is going to be very important information, dealing with the open borders, what we saw in Israel, and how it's all connected, and the dangers we face while we're being distracted.
[00:25:40.954 --> 00:25:46.299]  Now yesterday, there was a news story that broke and we showed you the video.
[00:25:46.759 --> 00:25:47.860]  We'll air it again now.
[00:25:48.481 --> 00:25:50.863]  Dan Crenshaw is in Washington, D.C.
[00:25:50.883 --> 00:25:57.408]  A couple reporters from the National File, Patrick Alley and Noel Frisch, were out there just asking him questions, you know.
[00:25:58.129 --> 00:26:02.414]  Like members of the media do to congressmen and women and people in D.C.
[00:26:02.454 --> 00:26:03.034]  with influence.
[00:26:03.515 --> 00:26:07.920]  And he didn't like that, so he tried to assault a reporter, tried to trip a reporter.
[00:26:08.480 --> 00:26:12.925]  Luckily, nobody got hurt, and nobody's head smacked the pavement or the stairs.
[00:26:13.886 --> 00:26:15.308]  But here's the video of Dan Crenshaw.
[00:26:15.408 --> 00:26:19.112]  I never thought he could sink any lower than his reputation already had, but it does.
[00:26:19.291 --> 00:26:20.291]  Check this out.
[00:26:20.291 --> 00:26:34.291]  [inaudible]
[00:26:34.291 --> 00:26:36.291]  So we're looping it right here, but there's the moment.
[00:26:36.291 --> 00:26:41.291]   You can clearly see Dan Crenshaw intentionally try to trip Noel Frisch there from the national file.
[00:26:41.717 --> 00:26:45.540]  He looks down, sticks his legs out, tries to trip him right before he walks over the steps.
[00:26:46.536 --> 00:26:57.503]  I mean, honestly, aside from whatever we think about Dan Crenshaw's politics, this is just a beyond a-hole move, a beyond jerk move.
[00:26:57.903 --> 00:27:05.848]  He clearly did it intentionally, and so Chase Geiser in studio with me, Noel Frisch, he was the individual there that Dan Crenshaw tried to assault.
[00:27:06.929 --> 00:27:13.714]  Obviously, luckily for him, luckily for yourself, you didn't trip and you didn't smack your head on the stairs there.
[00:27:13.754 --> 00:27:15.295]  It could have been serious medical issues.
[00:27:16.355 --> 00:27:20.298]  However, I'm hearing that this isn't going to stop you from filing a police report.
[00:27:22.443 --> 00:27:24.284]  Hey, thanks for having me, Owen.
[00:27:24.524 --> 00:27:29.126]  Yeah, look, he's lucky that I'm as fleet of foot as I obviously am.
[00:27:31.147 --> 00:27:35.468]  You know, had I, you know, stepped the wrong place or something like that, something bad could have happened.
[00:27:36.008 --> 00:27:51.635]  And, you know, I'm a big guy, but thank the lucky stars and thank the good Lord above that I got my feet under me and Dan wasn't able to, you know, dash my brains out on the stairs like he likes to brag about doing in foreign countries.
[00:27:53.035 --> 00:28:00.877]  One of the things I noticed about it was how sneaky he was about it.
[00:28:00.937 --> 00:28:07.498]  It seems like he was trying to do it to the extent that he could trip you, but also to the extent that there was plausible deniability.
[00:28:07.759 --> 00:28:11.479]  Did he ever acknowledge to you or give you a look or any indication that he did it on purpose?
[00:28:11.499 --> 00:28:14.100]  I mean, it's obvious from the video that he did, but he was very sneaky about it.
[00:28:15.526 --> 00:28:26.932]  He had a few staffers around him and one of my guys sort of caught a glimpse of his face after kind of he realized what he had done and realized that we had it on camera because I think Patrick immediately says, Oh, did you get that on camera?
[00:28:27.292 --> 00:28:28.452]  And we had a third camera.
[00:28:28.472 --> 00:28:29.433]  So we had three cameras there.
[00:28:30.013 --> 00:28:31.034]  And we Yes, we did.
[00:28:31.414 --> 00:28:33.575]  The weird part was leading up to that for about a minute.
[00:28:34.372 --> 00:28:46.684]  This guy likes to dish it out and, you know, just talk a lot of jive, and I guess he cannot take it as much as he can give it, but he actually, like, stunted like he was going to bull rush me and kind of tackle me.
[00:28:46.704 --> 00:28:48.005]  There's another video.
[00:28:48.465 --> 00:28:50.888]  Here we are analyzing this thing like it's the Zapruder film.
[00:28:52.949 --> 00:28:55.070]  Thank God the CIA wasn't involved.
[00:28:55.810 --> 00:29:02.351]  But yeah, he stunts like he's going to run at me and then he verbally even predicts his play.
[00:29:02.371 --> 00:29:03.611]  He says, you're going to fall.
[00:29:03.631 --> 00:29:05.372]  You don't look like you're very good at walking backwards.
[00:29:05.612 --> 00:29:08.692]  So actually, I think the term is malice of forethought.
[00:29:08.993 --> 00:29:14.454]  You can actually see if you watch that earlier video, it's down there in that Twitter thread over there on at National File.
[00:29:15.334 --> 00:29:17.054]  He telegraphs his play.
[00:29:17.074 --> 00:29:18.815]  So this is just a bad guy.
[00:29:18.835 --> 00:29:20.375]  This guy is just a punk.
[00:29:21.190 --> 00:29:23.653]  and um him guys like him and Derek Van Orden.
[00:29:24.033 --> 00:29:36.686]  I know for a fact that like the real SEAL guys they're not like the it's funny the army guys call them the squeals but most of the rest of SEAL and not all SEALs obviously are squeals like Van Orden and Crenshaw.
[00:29:37.627 --> 00:29:41.972]   I know SEAL guys who Hate Van Orden and Crenshaw.
[00:29:42.032 --> 00:29:42.872]  They hate these guys.
[00:29:42.932 --> 00:29:43.752]  And Scott Taylor.
[00:29:44.192 --> 00:30:03.897]   Unfortunately, there's been this pattern of like the the the losers of the losers seals after they get done with their service just trying to ladder climb uh uh the society uh and the societal ladder and this guy's very uh proud of himself as we're walking there he's like he's saying why don't you guys go get a job And he goes, I have a job.
[00:30:03.957 --> 00:30:08.960]  And we're asking him, you think sitting in Congress and doing nothing is a job, Dan?
[00:30:08.980 --> 00:30:10.021]  You're proud of your record?
[00:30:10.681 --> 00:30:11.662]  And he obviously is.
[00:30:11.722 --> 00:30:13.763]  He's very self-sure and self-satisfied.
[00:30:14.203 --> 00:30:15.564]  I just saw it for the first time there.
[00:30:15.604 --> 00:30:18.106]  He did do the head fake bum rush on you.
[00:30:18.426 --> 00:30:22.809]  You know, there's two other aspects of this that I think it's important for people to understand.
[00:30:23.189 --> 00:30:30.074]  One, and this is part of the reason why they're politically persecuting me, the one thing our congressmen and women hate more than anything else is you.
