[00:00:00.249 --> 00:00:01.410]  Z for defeat.
[00:24:42.170 --> 00:24:44.971]  New World Order puppet Zelensky has officially lost the war.
[00:24:45.392 --> 00:24:50.555]  Globalists prepare to trigger massive cyber attacks to accelerate planetary destabilization.
[00:24:51.940 --> 00:25:00.532]  And when you read the Drudge Report headline, Z for Defeat, Biden Age Package Risk Collapse, Ukraine on Cusp of Losing the War.
[00:25:00.552 --> 00:25:02.996]  Here's the headline here before Drudge changed it.
[00:25:04.181 --> 00:25:04.902]  A little while ago.
[00:25:05.362 --> 00:25:11.106]  So Jack Posobiec, former Naval Intelligence, great patriot, one of the most prolific journalists, the smartest people out there about what's happening.
[00:25:11.166 --> 00:25:13.647]  I wanted to get you on and ask you to come on this morning.
[00:25:13.667 --> 00:25:14.948]  We were talking at like 6 a.m.
[00:25:14.968 --> 00:25:21.913]  via text about we're talking about devil worshipers, how they're out in the open, how it's a fight between good versus evil, a spiritual war.
[00:25:22.213 --> 00:25:23.113]  We were going to talk about that.
[00:25:23.154 --> 00:25:23.834]  We'll do that in a minute.
[00:25:24.234 --> 00:25:40.292]   But first, When you've got Drudge, which we now know got leased off to the Globalist, the mouth of the establishment, and I love Drudge so much for the great work he did, it's hard to even say that, it's just true, when the mouth of Soron is saying it's Zelensky lost, that's
[00:25:40.632 --> 00:25:47.596]  They're trying to set him up now, as you said yesterday, as the fall guy for NATO's failure, because they never want to admit they got defeated.
[00:25:48.056 --> 00:25:53.959]  Now they're admitting that Zelensky got defeated, though the Secretary of Defense says they're going to triple munitions.
[00:25:54.319 --> 00:26:03.984]  They said it's going to be a 10-year war, but if they can't get Ukrainians to go fight it, even if there's plenty of money, if all the Ukrainian men who can fight are dead, then it's checkmate unless U.S.
[00:26:04.004 --> 00:26:04.584]  troops go in.
[00:26:04.824 --> 00:26:08.226]  That's a lot, Jack Posoba, but give us your gestalt on that.
[00:26:09.147 --> 00:26:13.072]  No, Alex, I mean, look, this is what you and I discussed yesterday here on the program.
[00:26:13.532 --> 00:26:22.884]  When you look at that Drudge headline, and if the team can pull that up again, go look at the Drudge headline right now, because Drudge has really become this mouth of the globalists.
[00:26:22.904 --> 00:26:23.464]  There you go.
[00:26:24.225 --> 00:26:27.309]  What you're looking at is the three-act movie.
[00:26:27.729 --> 00:26:32.972]  The three-act movie of the first act, Russia has invaded the hero, right?
[00:26:32.992 --> 00:26:34.493]  The hero's journey, Joseph Campbell.
[00:26:34.513 --> 00:26:37.315]  They're deprogramming Joseph Campbell on the American people.
[00:26:37.355 --> 00:26:40.156]  So they're running this play for the media psyop of this.
[00:26:40.176 --> 00:26:44.159]  You gotta understand, 4G warfare, 5G warfare, this is exactly what they preach.
[00:26:44.439 --> 00:26:45.860]  So they're giving you a movie.
[00:26:45.880 --> 00:26:49.162]  You're watching a narrative unfold in real time, folks.
[00:26:49.462 --> 00:26:50.923]  This is like WWE.
[00:26:51.043 --> 00:26:52.164]  It's all pre-planned.
[00:26:52.504 --> 00:26:54.285]   So, Russia invades, right?
[00:26:54.325 --> 00:26:56.708]  That was instigated by NATO expansion and the Maidan coup.
[00:26:56.748 --> 00:26:57.288]  We know this.
[00:26:57.629 --> 00:26:59.430]  Number two, Zelensky becomes the hero.
[00:26:59.470 --> 00:27:03.194]  Remember, Zelensky was the bad guy in the Trump impeachment, but we don't talk about that anymore.
[00:27:03.234 --> 00:27:06.958]  Remember, it was Zelensky and Trump and Ukraine collusion and that he was the bad guy.
[00:27:06.978 --> 00:27:09.981]  This was just a couple of years ago and Trump gets impeached over that.
[00:27:10.021 --> 00:27:13.644]  The very first call was with the same Zelensky, but we don't talk about that anymore.
[00:27:14.005 --> 00:27:15.446]  Now Zelensky is the hero.
[00:27:15.486 --> 00:27:16.407]  He grows the beard.
[00:27:17.150 --> 00:27:20.952]  He goes out there, stands with his people, he becomes the hero of everything.
[00:27:21.233 --> 00:27:22.634]  But now suddenly you enter Act 2.
[00:27:23.414 --> 00:27:25.175]  And Act 2, this is the fall.
[00:27:25.575 --> 00:27:28.337]  This is when it looks like everything is lost.
[00:27:28.397 --> 00:27:36.903]  It's, you know, you've lost the crown, Han Solo is frozen in carbonite, Luke gets his hand cut off, Princess Leia gets captured by Jabba the Hutt.
[00:27:36.963 --> 00:27:39.044]  This is Empire Strikes Back.
[00:27:39.196 --> 00:27:42.956]   and then of course the classic act three, the redemptive story.
[00:27:42.956 --> 00:27:44.156]  That's what they're looking for.
[00:27:44.156 --> 00:27:47.436]   So they're playing on these preset narratives that have existed.
[00:27:47.436 --> 00:27:48.316]  This is the monomyth.
[00:27:48.316 --> 00:27:53.436]   This has existed for thousands of years in Western culture that they are trying to
[00:27:53.436 --> 00:27:58.395]   run Zelinsky through this to rally people and rally support to his side.
[00:27:58.395 --> 00:28:01.196]  And of course, what's the next step of that, Alex?
[00:28:01.411 --> 00:28:07.215]  The next step is the return of the Death Star, an even stronger and more powerful Death Star.
[00:28:07.296 --> 00:28:08.276]  And what do we have here?
[00:28:08.697 --> 00:28:12.099]  Well, the massive cyberattacks that are going on in Ukraine that are happening.
[00:28:12.119 --> 00:28:15.041]  Of course, Russia is conducting cyberattacks along with their Connecticut attacks.
[00:28:15.081 --> 00:28:41.863]   But they're also saying, and the FBI has already started seeding this narrative through predictive programming, that Russia and MAGA will work together to commit cyberattacks in the United States In the 2024 election and Alex this is what I came on this very program months ago and warned about they would conduct or allow the allow some kind of attack to take place or even conduct an attack and blame it on the Russians.
[00:28:42.143 --> 00:28:48.502]   They would then use this as an impetus to get into the election and say MAGA has worked
[00:28:48.502 --> 00:28:53.783]   with the Russians, MAGA are traitors, we can't allow these people to appear on the ballot.
[00:28:53.783 --> 00:28:54.783]  And what do we see as well?
[00:28:54.783 --> 00:28:59.981]   Of course, they're trying to strip Trump from the ballot in every single key state around
[00:28:59.981 --> 00:29:01.063]  the country.
[00:29:01.063 --> 00:29:02.063]  This is key.
[00:29:02.063 --> 00:29:03.001]  And they don't just want it.
[00:29:03.001 --> 00:29:05.383]  They want to strip your voting rights away.
[00:29:05.383 --> 00:29:07.783]  They will take your voting rights away through this.
[00:29:07.932 --> 00:29:11.734]  They're going to take your ability away to vote for Trump by kicking him off the ballot.
[00:29:11.974 --> 00:29:13.836]  Then they want to go after people, Marjorie Taylor Greene.
[00:29:13.856 --> 00:29:14.836]  They try to do this in Georgia.
[00:29:14.856 --> 00:29:17.278]  They'll try to do it to anybody else connected to these things.
[00:29:17.598 --> 00:29:19.880]  And then if you're just a regular voter, guess what?
[00:29:20.180 --> 00:29:21.441]  They can put you up for Jan 6.
[00:29:21.581 --> 00:29:22.942]  Now they can make you a felon.
[00:29:23.102 --> 00:29:24.523]  Now they've got your voting rights.
[00:29:24.543 --> 00:29:25.904]  They'll take your voting rights away.
[00:29:26.224 --> 00:29:28.165]  So they'll say, oh, the election's going on.
[00:29:28.565 --> 00:29:33.284]   The election is perfectly fine, but you can't vote in the election or you can only vote
[00:29:33.284 --> 00:29:36.345]  for the candidates that we have approved.
[00:29:36.345 --> 00:29:40.765]   This is the way that they will stop the 2024 election from taking place.
[00:29:40.765 --> 00:29:46.225]   If this is a free standup election, a free standup election where people go to vote and
[00:29:46.225 --> 00:29:49.525]   the amount of people that go to vote determines who the winner is, we know that Trump would
[00:29:49.525 --> 00:29:50.525]  win.
[00:29:50.525 --> 00:29:53.705]   We know that the populist uprising and the populist uprising against the globalists in
[00:29:53.705 --> 00:29:54.903]  this nation would win out.
[00:29:54.903 --> 00:30:00.384]   So that is why they're tying everything from Zelensky to Ukraine to cyber, probably even
[00:30:00.384 --> 00:30:04.463]   China will come up at some point and then they'll throw Taiwan on top of the pot, Hamas,
[00:30:04.463 --> 00:30:09.744]   Hezbollah, all the rest of it, because they will throw everything up to and including
[00:30:09.744 --> 00:30:13.144]   trying to get someone to go Lee Harvey Oswald at Donald Trump.
[00:30:13.144 --> 00:29:59.836]   The way they had this guy, there's apparently some Chris They're tying everything from Zelensky to Ukraine to cyber.
[00:29:59.836 --> 00:30:02.996]   Probably even China will come up at some point and then they'll throw Taiwan on
[00:30:02.996 --> 00:30:09.256]   top of the pot. Hamas, Hezbollah, all the rest of it, because they will throw everything up to and including
[00:30:09.256 --> 00:30:13.836]   trying to get someone to go Lee Harvey Oswald at Donald Trump. The way they had this
[00:30:13.836 --> 00:30:16.625]   guy, there's apparently some Chris Sununu supporter up in, up in
[00:30:16.625 --> 00:30:19.796]   New Hampshire, was trying to, he wouldn't, wanted to go after Vivek Ramaswamy.
[00:30:19.796 --> 00:30:21.276]  He said it was going to blow his brains out.
[00:30:21.276 --> 00:30:24.235]  We just found out that information a few moments ago.
[00:30:24.235 --> 00:30:27.196]   We're working that on human events.com. People can go and see that.
[00:30:27.196 --> 00:30:29.154]   We're going to be covering it later in the show today. So Alex,
[00:30:29.154 --> 00:30:33.336]   I just threw out a lot of stuff there, but I want people to be very cognizant of the dangerous
[00:30:33.336 --> 00:30:34.434]  times we live in.
[00:30:34.434 --> 00:30:37.516]  They want you to think that it's, that everything is over.
[00:30:37.516 --> 00:30:40.475]   They want it to look like a dire situation, a desperate situation.
[00:30:40.475 --> 00:30:43.276]  And then what will they do? Then the Hail Mary's come out.
[00:30:43.276 --> 00:30:47.996]   The desperation plays. This is a three act play, a manufactured narrative,
[00:30:47.996 --> 00:30:52.355]   and they're playing with the lives of us of our sons and daughters and everyone
[00:30:52.355 --> 00:30:53.655]  that we love and hold dear.
[00:30:54.329 --> 00:30:58.351]  I totally agree with you, and again, they just repeat this.
[00:30:58.371 --> 00:31:03.054]  Just like, oh, the summer offensive six, eight months ago.
[00:31:03.214 --> 00:31:04.375]  Oh, it was going to be unstoppable.
[00:31:04.675 --> 00:31:05.955]  It was defeated the first week.
[00:31:06.536 --> 00:31:11.599]  Half the weapons and armor got destroyed in just the first month, and then everything else got destroyed.
[00:31:11.659 --> 00:31:12.759]  We saw the footage we showed yesterday.
[00:31:12.779 --> 00:31:13.379]  We'll play it again.
[00:31:13.880 --> 00:31:16.541]  The average conscript now is like 65 years old.
[00:31:16.921 --> 00:31:25.122]   These are men knowing they're attending their own funerals, and then that arc of Zelensky's coming back failed now, oh he's about to
[00:31:25.122 --> 00:31:30.634]   lose but if he can get the money he wins again and then they just keep sucking us in with this lie
[00:31:30.634 --> 00:31:35.793]   but doesn't he... Alex it's not just that because you know what else they're going for and it just
[00:31:35.793 --> 00:31:39.173]   occurred to me they're good because they think in terms of movies right I'm not I'm not saying it
[00:31:39.173 --> 00:31:41.648]   should be this way they're They think it turned into Star Wars.
[00:31:41.669 --> 00:31:42.749]  Let me stop you.
[00:31:42.769 --> 00:31:44.390]  It came out decades ago.
[00:31:44.450 --> 00:31:45.951]  There's a whole office that does this.
[00:31:46.011 --> 00:31:47.952]  It's not just in the Pentagon, but the CIA.
[00:31:48.392 --> 00:31:53.034]  They go and pay top movie writers to write them scenarios.
[00:31:53.554 --> 00:31:56.356]  And that way, when other agencies watch it, they don't know it's actually a battle plan.
[00:31:56.636 --> 00:32:00.838]  They'll then use a real world scenario written by a top script writer as the real blueprint.
[00:32:00.858 --> 00:32:01.258]  Sorry, go ahead.
[00:32:01.909 --> 00:32:02.529]  That's exactly right.
[00:32:02.569 --> 00:32:04.610]  And so what is the end of the Avengers, Alex?
[00:32:04.670 --> 00:32:05.670]  What's the end of Avengers?
