[00:00:00.409 --> 00:00:05.912]  The Doomsday Clock was established in the 1950s to warn of the danger of nuclear war.
[00:27:14.883 --> 00:27:15.884]  That'll just bankrupt them.
[00:27:18.046 --> 00:27:23.010]  They always point at a coal-powered plant at night in the cold weather and say, look how toxic it is.
[00:27:23.670 --> 00:27:27.834]  It's hot air coming out with only carbon dioxide and water vapor.
[00:27:28.214 --> 00:27:39.022]  And in the freezing, when it's in the winter, it looks hellish, but it's totally clean, unlike China and Mexico and India, where there are no scrubbers and it is toxic.
[00:27:40.043 --> 00:27:41.284]  Let's continue with clip eight.
[00:27:41.304 --> 00:27:45.247]  This is Jennifer Granholm, one of the mean secretaries Biden has.
[00:27:46.485 --> 00:28:02.418]  Bizarrely brags about prices at the pump and saying that Biden, this is the Energy Secretary, has given us better gas prices, even though they're up over a dollar, what they were at their peak with Trump.
[00:28:02.458 --> 00:28:02.838]  Here it is.
[00:28:03.519 --> 00:28:11.285]  The average price of a gallon of gas is now down about $1.60 from last summer's peak, but a 30% decline.
[00:28:14.085 --> 00:28:23.891]  And now let's go ahead and play the other clip of Granholm as well, saying that he's mainly focused, Biden, on controlling energy prices.
[00:28:23.911 --> 00:28:25.012]  You mean jacking them up?
[00:28:27.453 --> 00:28:40.661]  You know, President Biden really has been singularly focused on reducing costs for American families, especially energy costs, especially both transportation as well as at home.
[00:28:42.782 --> 00:28:47.604]  Now, take a little bit north to the WEF's vice leader.
[00:28:48.344 --> 00:28:53.065]  She's the real Prime Minister of Canada, the real leader of Canada.
[00:28:54.506 --> 00:29:06.670]  Here is Christina Freeland giving a speech saying that the middle class has too much money and that we need to redistribute it to the poor people.
[00:29:06.730 --> 00:29:14.077]   Now, the average poor person generally doesn't have good economics education, but Let me explain this.
[00:29:14.678 --> 00:29:16.819]  Most middle class people don't either, but the elites do.
[00:29:18.340 --> 00:29:21.741]  Less than one-tenth of 1% has over 70% of the wealth in the world.
[00:29:21.781 --> 00:29:22.401]  It's not the 1%.
[00:29:23.362 --> 00:29:28.725]  If you make 250-something thousand dollars a year or even less, the number's like 230, you are considered the 1%.
[00:29:31.488 --> 00:29:40.891]  All of 99.9% of the 1% and all those below them have 30% or a little more, depending on the country, of the world's wealth.
[00:29:41.371 --> 00:29:43.812]  In 1955, America was 4% of the world's population.
[00:29:43.852 --> 00:29:45.893]  We had 56% of the world's wealth.
[00:29:46.293 --> 00:29:49.354]  And it was distributed and we had the biggest middle class history ever seen.
[00:29:50.274 --> 00:30:12.422]  A middle class is a ladder up for poor people, and a big middle class is always indicative of the most wealthy, successful countries, and it's a product of Europe, and a product of Christianity, a product you don't see anywhere else, that was then finally exported to the world, that is a countervailing win to globalism and neo-feudalism, and making you poor to control you, you'll own nothing, you'll have nothing, you'll like it.
[00:30:14.462 --> 00:30:27.445]   But here she is telling a group of people that, oh, if we get rid of the middle class, People making $70,000 a year, they estimate, what they call it, up to about $240,000 a year.
[00:30:28.206 --> 00:30:34.030]  If we get rid of them and distribute it to poor people, they'll suddenly have wealth.
[00:30:34.331 --> 00:30:38.614]  No, it's the middle class that generates the entrepreneurship and the companies and the small companies, the jobs.
[00:30:38.854 --> 00:30:41.596]  And every metric and every historical research paper shows that.
[00:30:41.616 --> 00:30:43.797]  You don't need to be Milton Friedman to know it.
[00:30:45.078 --> 00:30:45.579]  It's a fact.
[00:30:47.162 --> 00:31:15.276]   So when you attack the pipelines, and attack the industry, and attack the energy, and attack the family, and attack the middle class, and then, you don't target the middle class with the giant tax rates, I mean they did that too, you target the poorest working people, and the blue collar folks, Making $40,000 or less a year, you target them with IRS attack dogs, even though they're a fraction of the tax base.
[00:31:15.997 --> 00:31:21.003]  I mean, that's a perfect policy to bankrupt people and make people give up and destroy their lives.
[00:31:22.625 --> 00:31:23.005]  Horrible.
[00:31:23.365 --> 00:31:25.986]  But it's the same global group trying to give you poison shots and kill your ass.
[00:31:26.346 --> 00:31:27.847]  I mean, they really don't like us.
[00:31:28.227 --> 00:31:29.287]  They really don't like you.
[00:31:29.568 --> 00:31:30.408]  They don't like prosperity.
[00:31:30.428 --> 00:31:31.128]  They're horrible people.
[00:31:31.868 --> 00:31:41.512]  So here is Christina Freeland selling the total collapse to Canadians, and they sell the same thing in universities all over the world.
[00:31:42.252 --> 00:31:43.253]  Get rid of the middle class.
[00:31:43.333 --> 00:31:44.293]  That's prosperity.
[00:31:44.713 --> 00:31:47.214]  Don't raise everybody to a higher standard.
[00:31:47.754 --> 00:31:50.335]  Lower everyone to a lower standard with a tiny 1% to 1% ruling.
[00:31:50.355 --> 00:31:50.555]  Here it is.
[00:31:53.154 --> 00:31:56.777]  And this is what he said when I talked to him about what's going on in the American middle class.
[00:31:57.797 --> 00:32:00.299]  We demand a higher paycheck than the rest of the world.
[00:32:00.879 --> 00:32:05.983]  So if you're going to demand ten times the paycheck, you need to deliver ten times the value.
[00:32:07.024 --> 00:32:12.408]  It sounds harsh, but maybe people in the middle class need to decide to take a pay cut.
[00:32:13.188 --> 00:32:22.154]  Again, not untrue if you're looking at the dynamics of the global economy, but politically and socially a very difficult thing.
[00:32:22.975 --> 00:32:26.717]  But Bill Gates and Jeff Bezos and the rest of them, they're not going to take pay cuts.
[00:32:26.957 --> 00:32:31.219]  In fact, they're the most hardcore on record to their employees and screwing their employees.
[00:32:31.759 --> 00:32:32.359]  So no, no, no, no.
[00:32:32.399 --> 00:32:34.000]  They're not going to stop flying on planes.
[00:32:34.040 --> 00:32:35.200]  They're not going to stop having children.
[00:32:35.601 --> 00:32:36.021]  You are.
[00:32:37.011 --> 00:32:41.173]  And notice, she's not just talking about middle class versus working class in America or Canada.
[00:32:41.514 --> 00:32:45.036]  She's saying, oh, since people are poor in Africa, you need to be poor.
[00:32:45.176 --> 00:32:49.719]  Oh yeah, if we get real poor and don't buy products from Africa, that'll help them.
[00:32:49.759 --> 00:32:52.440]  No, as we get richer, they get richer in a free market system.
[00:32:52.860 --> 00:32:53.661]  Everybody knows that.
[00:32:53.721 --> 00:32:54.641]  John F. Kennedy knew that.
[00:32:55.022 --> 00:32:56.803]  A rising tide raises all ships.
[00:32:57.063 --> 00:32:59.404]  She says, no, a lowering tide raises them.
[00:32:59.664 --> 00:33:01.966]  That's 1984 level lies.
[00:33:04.107 --> 00:33:05.288]  Welcome back to the Alex Jones Show.
[00:33:07.116 --> 00:33:20.671]  Dr. Michael Yeadon, the former head of the Science Division, the Vaccine Division of Pfizer, Vice President, is going to be joining us for the first time, coming up next hour, then in the studio, Dr. Peter McCullough.
[00:33:21.552 --> 00:33:27.038]  And I know listeners know it's a poison, you know it's an attack, you know they suppress the therapeutics, you know all that.
[00:33:29.431 --> 00:33:40.736]  But now we're talking about prosecuting these people and the criminal investigations happening around the world and the vindication as Elon Musk and everybody else comes out and says it made me sick, it made my family sick, it's killing all these people.
[00:33:43.777 --> 00:33:57.267]   Now we're really supposed to push the truth and all the latest information because the globalists are betting on manufactured plagues As a pretext to bring in this total control.
[00:33:58.048 --> 00:34:05.629]  So a big second and third hour and fourth hour coming up today and also interspersed a lot of breaking news and information.
[00:34:05.769 --> 00:34:06.069]  Okay.
[00:34:07.189 --> 00:34:12.471]  About a week ago, I saw the bill, I saw the article on Infowars, and I thought, this has got to be fake.
[00:34:12.631 --> 00:34:14.591]  Even though I knew it was coming, it's just still unbelievable.
[00:34:16.451 --> 00:34:28.857]   And sure enough, once the bill itself and it said it, any criticism of a person that has dark skin on any issue, is a serious federal crime under this legislation.
[00:34:29.297 --> 00:34:30.939]  You're like, well that'll never pass, they're crazy.
[00:34:31.359 --> 00:34:37.424]  Now look at the EU deputy head saying, soon we'll ban speech in America and laughing and the Americans with them laughing on the stage.
[00:34:38.024 --> 00:34:39.706]  Like supervillains in a Dr. Evil movie.
[00:34:41.027 --> 00:34:46.691]  Or I guess Dr. Evil in a... Austin Powers movie.
[00:34:47.592 --> 00:34:48.492]  Michael Myers movie.
[00:34:49.133 --> 00:34:50.074]  It's just insane.
[00:34:51.135 --> 00:35:01.390]   And anybody can go read the bill, but what about actually seeing The people from Congress on TV promoting this.
[00:35:02.450 --> 00:35:05.252]  And that's why they're saying, oh, $5 million to all the black people.
[00:35:05.472 --> 00:35:06.733]  You're never going to get that $5 million.
[00:35:06.773 --> 00:35:08.834]  Just like Biden said, oh, vote me in.
[00:35:08.854 --> 00:35:10.715]  He still had to steal it, but he got some votes out of it.
[00:35:11.075 --> 00:35:14.317]  I'll give you free education.
[00:35:14.617 --> 00:35:16.118]  All your student debts will be forgiven.
[00:35:16.138 --> 00:35:17.299]  And then he took it back.
[00:35:17.639 --> 00:35:21.161]  They're not going to give $5 million to black people apiece.
[00:35:22.034 --> 00:35:30.163]  Oh, I'm sure if you get sterilized and go into universal basic income, they'll say, well, under the universal basic income, you're 25 years old, you'll live to 75 on average.
[00:35:31.204 --> 00:35:32.386]  That's $5 million.
[00:35:33.186 --> 00:35:34.288]  That's what they're actually proposing.
[00:35:34.788 --> 00:35:36.390]  But it's another form of welfare.
[00:35:36.710 --> 00:35:37.571]  Not enough to even live.
[00:35:37.591 --> 00:35:43.238]  And then you've got to do everything they tell you to do, and you're like, oh, but it's my free money, I'm going to put these chains on.
[00:35:45.174 --> 00:35:51.667]  So video, Dem Rep lauds bill to make it criminal for white people to criticize non-white people.
[00:35:51.888 --> 00:35:53.812]  And they're introducing crap like this in Europe too.
[00:35:54.714 --> 00:35:56.137]  Democrat Representative Sheila Jackson Lee.
[00:35:56.917 --> 00:36:07.059]  Said Monday that Tucker Carlson could be the first to be prosecuted under legislation she has introduced that would see any white person talking about replacement theory be criminalized.
[00:36:07.079 --> 00:36:10.580]  And what did the ADL say about me two years ago at their award ceremony?
[00:36:11.020 --> 00:36:15.781]  They said we want Alex Jones and Mark Zuckerberg arrested for their speech.
[00:36:16.441 --> 00:36:19.162]  If Mark Zuckerberg doesn't do what we say, we want him arrested.
[00:36:20.575 --> 00:36:30.145]  We want him put in prison, and we want anybody that talks about replacement migration theory, even though it's a UN policy, should be arrested, and that's just where it begins.
[00:36:30.205 --> 00:36:31.927]  But the bill says anything.
[00:36:35.471 --> 00:36:37.453]  So let's go ahead and roll a segment of that clip.
