[00:00:00.149 --> 00:00:01.670]  So this is now in our country, folks.
[00:28:47.950 --> 00:29:13.575]  Just before the horrific assault on the Jewish state, the wheelchair-bound DF delivered this dark radio message, quote, In light of the continuing crimes against our people, in light of the orgy of occupation and its denial of international laws and resolutions, and in light of American and Western support, we've decided to put an end to all of this so that the enemy understands that he can no longer rebel without being held to account.
[00:29:16.371 --> 00:29:23.155]  And this was the message that got sent to eventually the Hamas ground fighters that carried out the attack.
[00:29:23.175 --> 00:29:27.517]  But the Israeli intelligence community had no idea it was coming, guys.
[00:29:28.218 --> 00:29:29.719]  They had no idea.
[00:29:30.579 --> 00:29:37.243]  According to reports, Iran was funding and helped organize the deadly assault in Israel by Hamas, even though Iran is also denying it.
[00:29:39.600 --> 00:29:51.408]  Makhimar Abuzada, a professor of politics at Al-Azhar University in Gaza, told the Financial Review that the attacks could turn DF into a god for the young.
[00:29:53.249 --> 00:30:03.355]  Now, I don't want to get too geopolitically wonky into this, but we covered those geopolitical issues with Joel Skousen and Dr. Francis Boyle yesterday.
[00:30:03.856 --> 00:30:07.098]  Really incredible interviews, incredible information, very informative.
[00:30:08.427 --> 00:30:15.196]  Because, uh, I know a lot of people don't like to think this way, but, uh, there are two sides to this issue, believe it or not.
[00:30:19.502 --> 00:30:21.144]  And Israel has another target.
[00:30:21.485 --> 00:30:26.071]  Secretive Hamas commander known as The Guest is Israel's prime target.
[00:30:30.453 --> 00:30:38.818]  So, they have their target, and they say they know where Hamas operates out of in the Gaza Strip, so they blow the whole thing up, and that's good, that's justified.
[00:30:39.918 --> 00:30:43.800]  But they had that intelligence, and then somehow they didn't know the attacks were coming.
[00:30:44.901 --> 00:30:53.605]  They had that intelligence, but instead of going in and removing them with their advanced military forces and special operations forces, they decided to just level the entire city.
[00:30:55.306 --> 00:30:56.227]  And that's all good.
[00:30:57.941 --> 00:31:02.843]  Israeli official calls for doomsday nuclear missile option.
[00:31:04.344 --> 00:31:05.784]  Geez, what is this, a suicide pact?
[00:31:07.525 --> 00:31:08.825]  What is this, a suicide pact?
[00:31:09.426 --> 00:31:10.786]  My way or you all die?
[00:31:11.106 --> 00:31:11.807]  Sound familiar?
[00:31:13.407 --> 00:31:14.908]  My way or I blow you all up?
[00:31:15.628 --> 00:31:16.248]  Sound familiar?
[00:31:16.368 --> 00:31:21.931]  So, at all costs, at all costs, but if we don't have it our way, blow the planet up!
[00:31:23.911 --> 00:31:24.712]  At all costs.
[00:31:24.812 --> 00:31:26.292]  We lose, we blow up the planet.
[00:31:26.533 --> 00:31:27.433]  At all costs.
[00:31:30.285 --> 00:31:31.066]  At all costs.
[00:31:31.246 --> 00:31:33.428]  Now, I'm going to get into some of the other war propaganda here.
[00:31:34.609 --> 00:31:38.272]  Now, the videos are resurfacing, and we played the compilation yesterday.
[00:31:39.393 --> 00:31:45.559]  Trump warned Biden's Iran deal would have deadly consequences, and now that's been proven accurate.
[00:31:45.719 --> 00:31:51.644]  22 Americans dead, in fact, on top of all the Israelis that have been killed, and now all the Palestinians that have been killed.
[00:31:52.045 --> 00:31:56.329]  The numbers have got to be probably over 3,000 at this point, on all sides.
[00:31:57.157 --> 00:32:03.597]   But here was the propaganda against Donald Trump, the peace president, the peace president.
[00:32:03.597 --> 00:32:07.157]  Here was the propaganda against him in clip 21.
[00:32:07.157 --> 00:32:20.917]  President Trump's foreign policy.
[00:32:21.003 --> 00:32:22.867]  You've alluded to this during the conversation.
[00:32:22.887 --> 00:32:27.217]  The tweets, the United States has never been this close to nuclear war.
[00:32:27.758 --> 00:32:28.479]  Do you agree with them?
[00:32:29.895 --> 00:32:30.055]  Yeah.
[00:32:30.475 --> 00:32:36.277]  They would not trust Donald Trump with the nuclear codes or to have his finger on the nuclear button.
[00:32:36.337 --> 00:32:40.898]  Donald Trump could lead America into nuclear war on a whim.
[00:32:41.198 --> 00:32:49.381]  President Trump could put the nation on the path to World War III and that the president's tweets have in some instances undermined American diplomacy.
[00:32:49.681 --> 00:32:57.243]  Because it's not hard to imagine Donald Trump leading us into a war just because somebody got under his skin.
[00:32:57.763 --> 00:33:03.926]  The president's actions are endangering the country and his threats to other nations could lead to another world war.
[00:33:04.266 --> 00:33:05.627]  This is not a business deal.
[00:33:05.907 --> 00:33:07.808]  This is not who builds the next skyscraper.
[00:33:11.570 --> 00:33:13.032]  The Middle East in flames.
[00:33:13.212 --> 00:33:18.679]  Israel has formally declared war after that unprecedented multi-pronged terror attack from Hamas.
[00:33:19.059 --> 00:33:21.742]  Several Americans are now confirmed to be among the dead.
[00:33:22.043 --> 00:33:24.466]  Americans, as you just reported, are at risk.
[00:33:24.526 --> 00:33:27.650]  They're among the casualties in the Israel attack.
[00:33:28.050 --> 00:33:30.473]  This morning, Israel under attack.
[00:33:30.693 --> 00:33:37.700]  Palestinian militant group Hamas launching a massive, unprecedented military operation.
[00:33:37.900 --> 00:33:47.390]  The same country that's been chanting death to Israel and death to America for 40 years just executed the most deadly attack on the Jewish state since the Holocaust.
[00:33:47.410 --> 00:33:50.713]  Now imagine the same people that told you Trump would get you into World War III.
[00:33:51.634 --> 00:33:53.497]  Now all of a sudden they're being honest with you?
[00:33:53.998 --> 00:33:59.344]  The same people that have lied to you for your entire lives, now you believe what they're saying about what's going on in the Middle East?
[00:33:59.385 --> 00:34:02.168]  But oh, Trump's going to get us into World War III, and then what happens?
[00:34:02.208 --> 00:34:05.292]  As soon as Trump gets out of office, the war in Ukraine kicks back up.
[00:34:06.095 --> 00:34:12.559]  As soon as Trump gets out of office, as soon as Trump gets out of office, the war in the Middle East kicks up with Israel and Palestine.
[00:34:12.780 --> 00:34:13.280]  What's next?
[00:34:13.320 --> 00:34:17.863]  The Yemen ceasefire that lasted from when Trump was in office?
[00:34:18.103 --> 00:34:19.564]  Remember Trump had the Abraham Accords?
[00:34:19.904 --> 00:34:25.148]  And then John Kirby, who's going to be addressing the nation here in about 20 minutes, cries on TV.
[00:34:25.688 --> 00:34:26.989]  Not because he's sad it happened.
[00:34:27.469 --> 00:34:33.653]  He's crying on TV because he knows that it was his foreign policy with the Biden administration that led to this.
[00:34:34.034 --> 00:34:34.694]  He's caught.
[00:34:34.834 --> 00:34:35.655]  That's why he cried.
[00:34:36.575 --> 00:34:38.376]  So let's talk about war propaganda.
[00:34:39.437 --> 00:34:48.022]  And I've been watching this phenomenon happen for, well, the entirety of time since the first Hamas attack on Israel happened.
[00:34:48.962 --> 00:34:54.565]  And I had this pop up on my news feed that I was scrolling during the break from Jackson Hinkle here.
[00:34:55.706 --> 00:34:57.167]  And it's just the perfect example.
[00:34:58.058 --> 00:35:18.448]  Jamie Lee Curtis shares a photo here of what she believes is Israeli children under fire and bombings from Hamas, but as soon as she finds out that it's Palestinian children under fire from Israel, she deletes the post and the humanization is gone.
[00:35:19.788 --> 00:35:20.969]  Isn't that amazing?
[00:35:21.769 --> 00:35:29.304]   So again, folks, If innocent children suffering on one side of the equation is bad, then it should be bad on the other side too.
[00:35:29.484 --> 00:35:30.244]  So why isn't it?
[00:35:31.705 --> 00:35:41.049]  Why is Jamie Lee Curtis upset when she thinks that those are Jewish children, but then deletes the post and does not care when she finds out they're Palestinian children?
[00:35:42.929 --> 00:35:43.950]  Just a perfect example.
[00:35:43.970 --> 00:35:45.330]  I'm glad Jackson Ingle caught that.
[00:35:47.291 --> 00:35:49.532]  And there's so many other examples, by the way.
[00:35:50.752 --> 00:35:51.833]  Let's start to look at some of this.
[00:35:54.580 --> 00:35:59.002]  Mother of Shani Look says her daughter is still alive!
[00:36:00.082 --> 00:36:06.744]  And so you may remember it's this Instagram model girl and there's other debates about what she may be in IDF.
[00:36:06.804 --> 00:36:10.606]  I think everybody has to serve at some point in Israel, so I'm sure she was.
[00:36:12.206 --> 00:36:16.048]  But she was at the concert and she was on video dancing.
[00:36:17.666 --> 00:36:21.967]  And then the reports came out that she was kidnapped and raped and murdered.
[00:36:22.628 --> 00:36:26.669]  And there were videos going around that it would appear that it was a dead body.
[00:36:26.709 --> 00:36:29.350]  I mean, the body was mangled and had a bullet wound in its head.
[00:36:31.050 --> 00:36:33.611]  But, you know, it's a good looking girl.
[00:36:33.711 --> 00:36:37.012]  It's an Instagram model and so it gets all the attention.
[00:36:37.072 --> 00:36:41.374]  Everybody feels bad about that and likes to go look at the photos and her dancing and everything.
[00:36:42.569 --> 00:36:46.610]  And they humanize that and she's dead and then, oh, it turns out that she's not even dead!
[00:36:46.630 --> 00:36:48.971]  Yeah, and the crew points this out.
[00:36:48.991 --> 00:36:57.033]  I didn't even want to get into the conspiracy theories involving her posts and other past activities of people thinking the whole thing is a false flag or whatever.
[00:36:57.353 --> 00:36:58.454]  I'm not going down that road.
[00:36:58.494 --> 00:36:58.974]  It's out there.
[00:36:58.994 --> 00:36:59.394]  It's fine.
[00:36:59.794 --> 00:37:00.634]  I just don't want to promote it.
[00:37:00.674 --> 00:37:01.675]  I don't necessarily believe it.
[00:37:01.935 --> 00:37:02.535]  But here's what I know.
[00:37:03.806 --> 00:37:14.249]  She becomes one of the leading faces humanizing the attacks at the concert, and then we see the videos of everything, and then she's dead, and then it turns out her mother says, oh no, she's still alive, actually.
[00:37:17.290 --> 00:37:18.470]  And why is it always her?
[00:37:18.490 --> 00:37:27.013]  I mean, there were a bunch of people that got murdered at that concert, but she's the one that we all have the story of, she's the one with all the videos and everything.
[00:37:28.033 --> 00:37:30.274]  So, it's tragic for all of them.
[00:37:31.716 --> 00:37:32.897]  But you gotta ask questions.
[00:37:33.637 --> 00:37:34.778]  There's war propaganda.
[00:37:35.279 --> 00:37:39.882]  Sorry that she and her family finds themselves in the middle of it for whatever reason, but that's just the case.
[00:37:40.282 --> 00:37:45.145]  We're told she was raped and murdered, then it turns out she's in a hospital in Gaza being taken care of.
[00:37:45.165 --> 00:37:50.709]  It's kind of like there was this other video going around with a young girl.
