[00:00:00.169 --> 00:00:07.411]  Elon Musk's brain computer company Neuralink receives FDA approval to launch human clinical trial.
[00:27:35.709 --> 00:27:47.522]  Now adjudicating over and, you know, rendering sentences to the people that they think came to harm them, came to their, came to their Capitol Hill to harm them, you know, like I've talked about with Barnes over and over again on our channel.
[00:27:49.075 --> 00:27:53.256]  This should have been venue changed, but you're never going to get that.
[00:27:53.836 --> 00:27:57.297]  You're never going to get that because the people determining the change of venue are the ones who want to adjudicate on this.
[00:27:57.577 --> 00:28:14.842]  But you have judges, prosecutors, political parties who are emotionally and politically invested in the situation to ensure that a certain political outcome arises so that it can then be weaponized to, as the judge in the Rhodes... I keep getting myself between Proud Boys and Oath Keepers.
[00:28:15.622 --> 00:28:19.264]  Uh, conviction saying, you know, this, this shall serve as a warning to others.
[00:28:19.544 --> 00:28:31.091]  It sure will that you don't even have the right to think you don't have the right to get angry and you don't have the right to protest because if you protest and they say it's terrorism, you're getting terrorism enhancement and going to jail for a near quarter of a century.
[00:28:31.741 --> 00:28:39.586]  Well, and just to kind of sidestep on this issue and bring it more home, I wish that that was the universal message.
[00:28:39.947 --> 00:28:40.887]  Well, not necessarily.
[00:28:40.927 --> 00:28:43.829]  I just wish anything was consistent because we know it's not consistent.
[00:28:44.169 --> 00:28:54.716]  We see people rioting and looting and engaging in all kinds of criminal activity and getting a pass or even having it promoted and supported by certain political movements or members of the media.
[00:28:54.736 --> 00:28:56.377]  And so let me just ask you this.
[00:28:57.198 --> 00:29:01.061]  What kind of similarities do you see with these developments in America?
[00:29:01.861 --> 00:29:09.187]  Between what you saw in Canada with Trudeau going after the truckers and some of the political speech that was being stymied there.
[00:29:10.568 --> 00:29:16.933]  Funny thing is I actually had on a lawyer just the other day where we obviously disagreed politically.
[00:29:17.692 --> 00:29:28.216]  And, you know, I said, well, I view the people that were being detained for five months in pre-trial detention in Canada for non-violent mischief charges, I view them as political prisoners.
[00:29:28.696 --> 00:29:34.138]  And the lawyer, who I respect for having come on my channel and had a discussion, says, you know, I don't view them as political prisoners.
[00:29:34.758 --> 00:29:44.081]  You know, it's surprising that some protocol was, you know, it's surprising that they were held for so long for non-violent mischief charges, but I don't view them as political prisoners.
[00:29:44.121 --> 00:29:45.642]  And I'm like, well, I think we see the same thing.
[00:29:45.662 --> 00:29:46.862]  We're just calling it something different.
[00:29:47.506 --> 00:29:56.953]  What we are seeing is the full political ideological capture of all levels of government, law enforcement, and the judicial process, in my humble opinion.
[00:29:57.680 --> 00:30:18.110]  And when you have people who are being arrested for protest, because that's all that it was in Canada, and then detained for months on end without getting bail for non-violent mischief charges, while simultaneously you have a dude who ran his car into four protesters in Winnipeg, released on bail, albeit a lot of bail, but released nonetheless.
[00:30:18.610 --> 00:30:20.891]  I mean, what we're seeing in Canada is what we're seeing in the States.
[00:30:21.232 --> 00:30:23.873]  You got the Molotov cocktail lawyers out of New York.
[00:30:24.673 --> 00:30:32.716]  Not only not being sentenced to 18 years, agreeing to a plea deal that the prosecutors then agreed to reopen and reduce after they agreed to a plea deal.
[00:30:33.016 --> 00:30:35.257]  Molotov cocktail throwing lawyers.
[00:30:36.377 --> 00:30:42.619]  What you have with January 6th, people who were, some of it might have gotten violent and some of it did get violent.
[00:30:43.920 --> 00:30:48.041]  Rhodes, the Oath Keepers, they weren't even on sight, sorry, they were on site.
[00:30:48.401 --> 00:30:55.496]   Didn't bring guns, didn't, you know, A seditious conspiracy where, according to the prosecution, their biggest regret was not bringing guns.
[00:30:55.536 --> 00:31:01.018]  Well, that's one heck of a seditious conspiracy, terroristic overthrow of the government to forget weapons with which to do it.
[00:31:01.458 --> 00:31:17.792]   But getting the most egregious sentences Whereas simultaneously you have America looking at Russia and saying Putin is an autocrat, you know, what is an authoritarian autocrat or whatever the word is, a totalitarian dictator for sentencing journalists to jail for 25 years.
[00:31:18.292 --> 00:31:22.456]  Well, you know, it's it's different only by degree, but not by nature.
[00:31:22.655 --> 00:31:24.655]  And they are political prisoners.
[00:31:24.655 --> 00:31:29.735]   The system has been weaponized to go after wrong think when it's ideologically and politically convenient
[00:31:29.735 --> 00:31:33.816]   and to forgive it when it's ideologically and politically convenient, as we saw with the Summer of
[00:31:33.816 --> 00:31:35.735]   Love, Molotov-throwing cocktail lawyers,
[00:31:35.735 --> 00:31:44.855]   and the other insurrection or January 6th event, which was to interfere with Trump's inauguration in 2017.
[00:31:44.855 --> 00:31:51.296]   Virtually all of the people who protested rioted burnt cars, no consequences whatsoever.
[00:31:51.296 --> 00:31:55.296]   No, and in fact, you know, you bring that up and I think that's the right word here.
[00:31:54.878 --> 00:31:55.799]  These are political prisoners.
[00:31:55.839 --> 00:31:59.722]  But I was there at Trump's inauguration in January of 2017.
[00:32:00.422 --> 00:32:07.208]  I watched, I filmed it, I watched the left intentionally blockade the entrances so people couldn't get in.
[00:32:07.809 --> 00:32:11.932]  I watched them smash windows in downtown D.C., just random businesses.
[00:32:11.952 --> 00:32:13.834]  They just walk by a window, smash it with a hammer.
[00:32:14.514 --> 00:32:17.537]  They'd smash random cars, throw Molotov cocktails into cars.
[00:32:17.877 --> 00:32:27.366]  There were multiple times, me and my crew, we'd just be standing on the street somewhere, either moving to another location or waiting to film, and then just, like, 20 feet from us, BOOM!
[00:32:27.486 --> 00:32:28.366]  Massive explosion.
[00:32:28.447 --> 00:32:29.447]  Firework goes right off.
[00:32:30.088 --> 00:32:36.273]  And, like you said, there was no massive push to punish these groups that were clearly coordinated on that day.
[00:32:36.293 --> 00:32:37.815]  I mean, just look at this comparison.
[00:32:38.255 --> 00:33:00.149]  Rochester man given 180 days in jail for raping two girls age four and nine hundred eighty days in jail for nine year old girls he raped but Oath Keepers gets 18 years I mean we could we could do this forever in the 30 seconds till the break though I mean what kind of messaging do you try to use on your podcast to get people to understand truly how dire this is?
[00:33:02.017 --> 00:33:04.984]  People need to understand that the conspiracies are true.
[00:33:05.264 --> 00:33:10.360]   I mean what what people made fun of what people made Oh boy.
[00:33:10.180 --> 00:33:13.860]   Alex Jones, had a big fun of Alex Jones for a decade ago is true.
[00:33:13.860 --> 00:33:17.960]   And now you're seeing it in real time, that it's an outright weaponization of the political
[00:33:17.960 --> 00:33:22.859]   system, not for law enforcement and not for justice, but for political retribution, to
[00:33:22.859 --> 00:33:28.500]   silence political adversaries and to scare people who might dare speak up into total
[00:33:28.500 --> 00:33:29.500]  silence.
[00:33:29.500 --> 00:33:33.299]   When they're sentencing meme makers to jail, you know no one is safe.
[00:33:33.299 --> 00:33:34.660]  Oh boy.
[00:33:34.660 --> 00:33:37.740]  The final countdown.
[00:33:37.740 --> 00:33:43.060]   You know I will be in court next week, or excuse me, next month rather.
[00:33:43.037 --> 00:33:45.958]  You keep seeing these cases and these results roll out, folks.
[00:33:47.139 --> 00:33:47.839]  Here's another one.
[00:33:48.959 --> 00:33:55.483]  Jessica Watkins, Oath Keeper's member and Army veteran sentenced to eight and a half years in prison for role on January 6th.
[00:33:56.900 --> 00:33:57.861]  I don't know, Viva.
[00:33:58.121 --> 00:34:07.410]  I guess our biggest mistake here, I guess the biggest mistake for these individuals was they should have joined Black Lives Matter and burned and looted a Target.
[00:34:07.890 --> 00:34:16.798]  They should have joined Antifa and just done random violence and destruction throughout the streets of D.C., maybe thrown a couple of Molotov cocktails into police vehicles.
[00:34:17.759 --> 00:34:22.122]  I mean, what's so frustrating about this is how cut and dry the double standard is.
[00:34:22.162 --> 00:34:27.705]  What's so frustrating about this is just how obvious the two-tiered system of justice here is.
[00:34:27.785 --> 00:34:30.407]  Like, do they really think they're fooling anybody with this?
[00:34:30.787 --> 00:34:31.127]  Are they?
[00:34:31.287 --> 00:34:31.828]  What do you think?
[00:34:33.235 --> 00:34:37.380]  They are able to fool those who are open and willing to be fooled.
[00:34:37.440 --> 00:34:41.185]  I mean, there are some people who just need the justification for their already held beliefs.
[00:34:41.525 --> 00:34:45.930]  And so they see these sentences not as a political injustice, an outrage.
[00:34:46.190 --> 00:34:48.213]  They see it as reaffirming what they already believed.
[00:34:48.573 --> 00:34:50.635]  January 6 was on par with 9-11 and Pearl Harbor.
[00:34:52.157 --> 00:35:14.458]  I mean, when you have this political indoctrination coming from the highest up, Kamala Harris saying, you know, certain days will live in infamy, it was Pearl Harbor, 9-11, January 6, and people believe it, and then despite all evidence they believe it, and now they've got the convictions that will allow them to reaffirm that wrongly held belief in the first place, it's almost like some form of, you know, brainwashing.
[00:35:15.197 --> 00:35:18.279]  Which we know there have been projects of.
[00:35:18.959 --> 00:35:24.862]  But it's brainwashing at a mass scale where you have the government working in tandem with the media to make sure that it's all the people here.
[00:35:25.343 --> 00:35:28.904]  But these sentences are an absolute outrage.
[00:35:29.165 --> 00:35:36.829]  And the headlines that try to spin them to make them seem like less of an outrage are like Orwellian Babylon B-level madness.
[00:35:37.149 --> 00:35:43.050]   I think it was an NBC article that said, But, uh, uh, Rhodes main regret was having not brought
[00:35:43.050 --> 00:35:45.290]  firearms to the, to January 6th.
[00:35:45.290 --> 00:35:48.769]   Like, oh, because the day after or a week later, he said, I wish I had brought some
[00:35:48.769 --> 00:35:50.949]  rifles that would have been over then and there.
[00:35:50.949 --> 00:35:56.330]   How do you have seditious conspiracy to overthrow the government and think that you can convict
[00:35:56.330 --> 00:36:01.570]   someone of that where they didn't even bring firearms that they had and that, you know,
[00:36:01.570 --> 00:36:03.530]   that's how you're going to do it if that's what you're going to do.
[00:36:03.869 --> 00:36:25.775]  That, and you have intelligence, FBI informants infiltrating these groups months in advance, months in advance, for both the Oath Keepers and the Proud Boys, and yet somehow they say, we didn't know what was going to happen on January 6th, and yet it happened because we were understaffed because of COVID, half as many police officers protecting the Capitol than there should have been.
