[00:00:00.029 --> 00:00:01.792]  Drudge Report captured operation.
[00:23:04.012 --> 00:23:04.592]  So the U.S.
[00:23:04.632 --> 00:23:08.474]  lifted the sanctions, and one week later, they arrested their political opposition.
[00:23:08.574 --> 00:23:10.355]  They didn't just ban them from running.
[00:23:12.330 --> 00:23:12.650]  U.S.
[00:23:12.670 --> 00:23:16.951]  to ease sanctions on Venezuelan oil for freer elections next year.
[00:23:17.171 --> 00:23:17.951]  That was in October.
[00:23:18.391 --> 00:23:18.711]  Boom!
[00:23:19.712 --> 00:23:22.472]  Then the arrests began after the sanctions were lifted.
[00:23:23.832 --> 00:23:25.213]  That's the Washington Post.
[00:23:25.733 --> 00:23:28.973]  Venezuelan opposition sign election deal.
[00:23:29.073 --> 00:23:29.373]  U.S.
[00:23:29.413 --> 00:23:30.454]  waives sanction relief.
[00:23:30.554 --> 00:23:31.234]  Gave it to them.
[00:23:31.574 --> 00:23:34.414]  And then, of course, the communists double-crossed everybody.
[00:23:35.655 --> 00:23:35.915]  U.S.
[00:23:35.955 --> 00:23:40.956]  says Cambodia vote neither free nor fair because they banned the opposition candidates that were in the lead.
[00:23:40.976 --> 00:23:41.016]  Oh!
[00:23:42.725 --> 00:23:43.807]  Where have I heard of that before?
[00:23:43.827 --> 00:23:45.129]  The U.S.
[00:23:45.189 --> 00:23:53.824]  expands sanctions on Belarusian regime, marking the three-year anniversary of the fraudulent August 2020 presidential election, where they restricted who could run against them.
[00:23:55.396 --> 00:24:00.600]  As Zimbabwe election nears, the ruling party focuses on Western sanctions for banning the leading opposition.
[00:24:01.441 --> 00:24:03.983]  Just like Zelensky just did in Ukraine last year.
[00:24:04.003 --> 00:24:04.944]  Hmm.
[00:24:05.905 --> 00:24:06.145]  U.S.
[00:24:06.185 --> 00:24:10.048]  sanctions Guatemalan officials over undemocratic activity, banning their political opposition.
[00:24:10.328 --> 00:24:11.189]  Heard of that before?
[00:24:11.729 --> 00:24:20.556]  So the State Department, until the last couple years, runs around sanctioning people when they do this, but now they go down and teach them how to do it.
[00:24:22.678 --> 00:24:23.078]  Criminals!
[00:24:24.213 --> 00:24:24.894]  Ass backwards.
[00:24:25.494 --> 00:24:26.576]  Inverting reality.
[00:24:27.697 --> 00:24:28.397]  And it gets worse.
[00:24:29.258 --> 00:24:29.899]  In France.
[00:24:30.440 --> 00:24:31.100]  In Poland.
[00:24:31.621 --> 00:24:32.181]  In Germany.
[00:24:32.221 --> 00:24:34.043]  They're banning free speech outright.
[00:24:34.544 --> 00:24:35.745]  Any criticism of government.
[00:24:35.825 --> 00:24:36.866]  Any criticism of war.
[00:24:37.627 --> 00:24:39.949]  They're shutting down opposition TV stations.
[00:24:40.670 --> 00:24:42.772]  The new Polish leader just did this.
[00:24:42.792 --> 00:24:43.933]  He wants full war with Russia.
[00:24:44.594 --> 00:24:47.277]  Europe on cusp of mass secret censorship.
[00:24:49.355 --> 00:24:52.557]  Starting to figure out how the cow ate the cabbage, ladies and gentlemen.
[00:24:53.118 --> 00:24:54.659]  Trump convicted of nothing.
[00:24:56.160 --> 00:25:05.326]  And this group of lawyers, because they sit up there as judges all day, and their little black outfits feel so powerful, like they're invincible.
[00:25:06.126 --> 00:25:09.086]   And now they just told America you can't vote for who you want.
[00:25:09.086 --> 00:25:19.566]   I don't usually agree with Frank Luntz, but even he's jumped over our side.
[00:25:19.736 --> 00:25:24.040]  Here he is explaining that Trump is going to win an even bigger landslide.
[00:25:25.221 --> 00:25:33.387]  And for more on the political impact, we're joined now by pollster and communication strategist, Frank Luntz, who has been getting the pulse of Trump voters for years.
[00:25:33.888 --> 00:25:39.392]  So the obvious first question, Frank, what do you think the impact of this ruling will be on their support for him?
[00:25:40.393 --> 00:25:44.100]   It's going to be exactly what the indictments Did.
[00:25:44.180 --> 00:25:46.861]  It's going to be exactly what the criticisms have done.
[00:25:47.642 --> 00:25:51.143]  Donald Trump thrives on negativity.
[00:25:51.203 --> 00:25:56.306]  He thrives on legal systems that try to hold him accountable.
[00:25:56.646 --> 00:25:59.307]  And I'm convinced that his polling numbers are going to go up.
[00:25:59.948 --> 00:26:08.992]  Just today, the New York Times published six key swing states and had Donald Trump up beyond the margin of error in five out of the six.
[00:26:09.793 --> 00:26:13.475]  The polling earlier, a month ago, was significant.
[00:26:13.955 --> 00:26:15.155]  Trump is gaining.
[00:26:15.295 --> 00:26:22.198]  The more that he is prosecuted, the more that he is condemned, the higher his numbers go as people rally around him.
[00:26:23.099 --> 00:26:33.983]  And I would say to the judges, as I said to the Justice Department, you're actually making it more likely that Donald Trump is elected next November by how you are pursuing this.
[00:26:34.523 --> 00:26:36.104]  You don't explain the decisions.
[00:26:36.164 --> 00:26:38.045]  You don't put things in context.
[00:26:38.786 --> 00:26:41.352]  And so Trump climbs and climbs and climbs.
[00:26:41.773 --> 00:26:45.702]  And right now he's beating Joe Biden clearly nationwide.
[00:26:46.596 --> 00:26:50.959]  Well, you know, the judges would say, look, we're just going by the law without fear of favor.
[00:26:51.639 --> 00:26:54.621]  And I mean, but does the context even matter to Trump supporters?
[00:26:54.661 --> 00:26:55.541]  Because there have been.
[00:26:55.581 --> 00:27:01.545]  I mean, tonight's ruling was really lengthy, explaining point by point why they believe he incited the insurrection.
[00:27:01.565 --> 00:27:02.686]  Hit pause.
[00:27:02.706 --> 00:27:03.186]  14th Amendment applies.
[00:27:03.226 --> 00:27:03.606]  Hit pause.
[00:27:03.906 --> 00:27:05.167]  It was really lengthy.
[00:27:05.187 --> 00:27:06.588]  I've got the stupid thing right here.
[00:27:07.168 --> 00:27:08.069]  No conviction.
[00:27:08.269 --> 00:27:08.949]  No proof.
[00:27:09.229 --> 00:27:09.910]  Him saying.
[00:27:11.459 --> 00:27:14.201]  Do not be violent, we're peacefully.
[00:27:14.361 --> 00:27:15.922]  And he had rallies all over the country that were peaceful.
[00:27:16.282 --> 00:27:16.963]  That's his M.O.
[00:27:18.003 --> 00:27:19.164]  The left burns everything down.
[00:27:19.745 --> 00:27:20.965]  It was really lengthy!
[00:27:21.906 --> 00:27:29.431]  I can chain up 500 chimpanzees and typewriters and put them on methamphetamine and then they'll type you a million pages.
[00:27:30.332 --> 00:27:31.593]  This is really lengthy!
[00:27:32.593 --> 00:27:33.974]  The judges, their opinion!
[00:27:36.256 --> 00:27:37.877]  Not convicted of insurrection.
[00:27:41.004 --> 00:27:42.464]  Not charged with insurrection.
[00:27:45.946 --> 00:27:52.228]  Charged with lying federally and at the state level in D.C.
[00:27:52.248 --> 00:27:52.748]  and Georgia?
[00:27:53.888 --> 00:27:55.429]  No, we all saw the fraud too.
[00:27:55.469 --> 00:27:55.909]  It was there.
[00:27:56.289 --> 00:27:57.149]  And it's coming out everywhere.
[00:27:57.189 --> 00:27:57.629]  Trump was right.
[00:27:57.649 --> 00:27:58.470]  It was worse than he said.
[00:27:58.490 --> 00:28:00.470]  All right, that's enough.
[00:28:00.490 --> 00:28:02.291]  I'm not going to play any more of that idiot woman.
[00:28:03.871 --> 00:28:05.032]  These people are disgusting.
[00:28:05.092 --> 00:28:06.313]  It was very lengthy.
[00:28:06.534 --> 00:28:08.836]  Oh my gosh, it was a hundred pages long.
[00:28:08.876 --> 00:28:10.297]  I mean, wow!
[00:28:10.337 --> 00:28:13.060]  The judges really explained here.
[00:28:14.221 --> 00:28:17.083]  Come said, let's march peacefully and have our voices heard.
[00:28:17.103 --> 00:28:20.206]  We want a 10-day in the Constitution investigation of this.
[00:28:21.027 --> 00:28:26.893]  And then, before he even finishes his speech, the feds set that whole thing off, and we all know the rest of history.
[00:28:28.160 --> 00:28:31.985]  And the globalists have their pants down, but these lawyers are in their own little power bubbles.
[00:28:32.385 --> 00:28:34.568]  These judges, and they don't get the world sees them.
[00:28:35.649 --> 00:28:37.091]  They're butt naked in front of everybody.
[00:28:37.111 --> 00:28:37.912]  They're a joke.
[00:28:38.773 --> 00:28:40.275]  And now they're playing dictator.
[00:28:40.775 --> 00:28:42.557]  See how that works out for you scumbags.
[00:28:43.567 --> 00:28:51.230]  Well, the Bill of Rights is a stumbling block on the way to shutting down speech that the left doesn't like, at least in government.
[00:28:51.530 --> 00:28:57.212]  But there's a new avenue for those who would like to censor what you say and think, and that's corporations.
[00:28:57.312 --> 00:28:59.473]  The left have wised up to this.
[00:28:59.653 --> 00:29:05.055]  If you want to stop someone from telling the truth, use companies to do it.
[00:29:05.075 --> 00:29:06.156]  The social media giants.
[00:29:06.416 --> 00:29:06.796]  And they are.
[00:29:07.156 --> 00:29:12.799]  For many on the left, the view seems to have become that if you can't beat them, prevent them from speaking.
[00:29:12.879 --> 00:29:17.582]  So far the most prominent casualty of the crusade against free expression has been the radio show host Alex Jones.
[00:29:17.702 --> 00:29:25.346]  There is a concerted effort by the Democratic Party and multinational corporations and big tech to silence conservative and nationalist and populist voices.
[00:29:25.486 --> 00:29:31.310]  There's also guys on CNN that spend their whole day calling Facebook and saying, can you ban this person?
[00:29:31.530 --> 00:29:38.214]  He may be America's best-known conspiracy theorist, but this week, Alex Jones' content will be a little harder to find.
[00:29:38.574 --> 00:29:48.380]  Shame on the mainstream corporate media for not defending the First Amendment, but instead attack-dogging, calling for federal regulators to shut down independent free press working with big tech.
[00:29:48.971 --> 00:29:50.253]  People know what's true.
[00:29:50.494 --> 00:29:51.295]  They can smell it.
[00:29:51.836 --> 00:29:56.704]  InfoWars, the most banned network in the world.
[00:29:57.244 --> 00:29:59.228]  In a free country, everyone can be heard.
[00:29:59.048 --> 00:30:03.048]  In totalitarian societies, only the powerful can be heard.
[00:30:03.048 --> 00:30:10.048]  This is reality.
[00:30:10.048 --> 00:30:15.048]  This is reality.
[00:30:15.191 --> 00:30:17.553]  Truth is stranger than fiction.
[00:30:17.734 --> 00:30:19.535]  We know the government's planning terrorism.
[00:30:19.795 --> 00:30:22.177]  We know the Joint Chiefs of Staff wanted to blow up airliners.
[00:30:22.377 --> 00:30:25.500]  If you do it, we're going to blame you, because we know who's up to it.
[00:30:25.540 --> 00:30:29.283]  The truth is out there in front of you, but they lay out this buffet of lies.
[00:30:29.323 --> 00:30:32.306]  I'm sick of it, and I'm not going to take a bite out of it.
[00:30:32.346 --> 00:30:33.126]  Do you got me?
[00:30:33.306 --> 00:30:35.428]  It's time to stop submitting to this parody.
[00:30:35.588 --> 00:30:37.550]  It's time to realize that we're being enslaved.
[00:30:38.490 --> 00:30:40.511]  I want freedom!
[00:30:40.531 --> 00:30:42.471]  That's what I want!
[00:30:42.491 --> 00:30:44.192]  And that's what you should want!
[00:30:44.272 --> 00:30:45.672]  I'm here to warn people!
[00:30:45.732 --> 00:30:47.393]  You keep telling me to shut up!
[00:30:47.513 --> 00:30:48.233]  This isn't a game!
[00:30:48.253 --> 00:30:51.394]  1776 will commence again if you try to take our firearms!
[00:30:51.494 --> 00:30:53.915]  If you want them, come and take them!
[00:30:53.935 --> 00:31:03.677]  I don't like them putting chemicals in the water that turn the friggin' frogs gay!
[00:31:03.716 --> 00:31:05.716]  76!
[00:31:05.716 --> 00:31:15.716]  [Music]
[00:31:15.716 --> 00:31:26.716]   Katonji Brown is now being exposed for her husband taking massive money
[00:31:26.716 --> 00:31:30.716]  from companies that she directly is ruling on cases of.
[00:31:30.716 --> 00:31:33.696]  [ Silence ]
[00:31:33.264 --> 00:31:34.484]  Clarence Thomas never did that.
[00:31:34.545 --> 00:31:38.907]  He flew on private airplanes and went on vacations with friends.
[00:31:39.307 --> 00:31:39.988]  Totally legal.
[00:31:43.902 --> 00:31:44.902]  But we all know how it works.
[00:31:44.942 --> 00:31:48.024]  If you're a Democrat, you can engage in insider trading, anything you want.
[00:31:48.064 --> 00:31:54.606]  You can say burn down cities and bail out people that have shot folks, like Kamala Harris said is candidate for Vice President.
[00:31:56.887 --> 00:32:01.669]  And they're coming after Clarence Thomas big time, and he should not recuse himself from these Trump cases.
[00:32:03.550 --> 00:32:05.031]  And it's good to see the heat going on.
[00:32:05.051 --> 00:32:09.392]  Keatonji Brown, Jackson slapped with ethics complaint over husband's income.
[00:32:10.473 --> 00:32:12.434]  Go after the Democrat justices.
[00:32:13.462 --> 00:32:14.743]  They're the ones that are corrupt.
