[00:00:06.190 --> 00:00:12.232]  Yes, my friends, you've got the right radio broadcast.
[01:46:11.449 --> 01:46:17.151]  The United States is now recognized globally as one of the most oppressive police states on Earth.
[01:46:17.151 --> 01:46:23.372]  This film conclusively proves the existence of a secret network of FEMA camps now being expanded nationwide.
[01:46:23.832 --> 01:46:29.793]  This documentary exposes how the continuity of government program has established an all-powerful shadow state.
[01:46:29.793 --> 01:46:33.974]  Police State 4 chronicles the sickening depth to which our republic has fallen.
[01:46:33.974 --> 01:46:38.255]  Prepare to enter the secretive world of emergency dictatorship.
[01:46:38.255 --> 01:46:44.217]  Body scanners, sound cameras, citizen spies, stage terror and cameras on every street corner.
[01:46:44.217 --> 01:46:47.777]  It's only the beginning of the New World Order's hellish plan.
[01:46:47.777 --> 01:46:49.738]  The police state isn't coming.
[01:46:49.738 --> 01:46:50.178]  It's here.
[01:46:50.838 --> 01:46:57.345]  Secure your copy today at InfoWars.com or see it online in the highest quality at PrisonPlanet.tv.
[01:47:20.609 --> 01:47:33.538]  You know, I told the guys to get me some classic Christmas music.
[01:47:33.538 --> 01:47:36.099]  That's like Little Drummer Boy.
[01:47:36.099 --> 01:47:41.663]  Not Comedy Christmas here.
[01:47:41.663 --> 01:47:42.544]  Where did you get this?
[01:47:42.544 --> 01:47:43.985]  Who dug this up?
[01:47:43.985 --> 01:47:46.046]  That was like some YouTube thing.
[01:47:46.046 --> 01:47:48.828]  I knew it'd be you, the comedian in our group.
[01:47:49.744 --> 01:47:54.288]  We need some comedic diversions with all that's going on in this world.
[01:47:54.288 --> 01:48:00.194]  Alright, Porter Stansbury is our guest and we really appreciate him coming on.
[01:48:00.194 --> 01:48:05.880]  We are going to do another show that's more produced where we go get the clips of his December interview.
[01:48:05.880 --> 01:48:13.167]  Now, I guess over a year ago, I've looked it up, it was a little bit before Christmas, about a week before Christmas, and show how much of this came true, unfortunately.
[01:48:13.647 --> 01:48:15.168]  And then get his new predictions.
[01:48:15.168 --> 01:48:16.789]  But what about MF Global?
[01:48:16.789 --> 01:48:18.089]  I know you've got a lot of sources there.
[01:48:18.089 --> 01:48:23.172]  And I was talking to you the other day on the phone when I talked you into coming on with us here for the Christmas special, Porter.
[01:48:23.172 --> 01:48:25.733]  And you said, look, he'll probably end up walking.
[01:48:25.733 --> 01:48:26.933]  And you broke all that down.
[01:48:26.933 --> 01:48:32.356]  But what's really going on with MF Global and the little Obama darling, former head of Goldman Sachs, and the missing billion?
[01:48:33.268 --> 01:48:42.292]  Yeah, it's a great story because you have this board, NMF Global, that's made up of all these senior Democratic financial heavyweight people.
[01:48:42.292 --> 01:48:48.415]  And they had the chairman, who of course was Corzine, the governor of New Jersey and former head of Goldman.
[01:48:48.415 --> 01:48:50.396]  And he put on an enormous trade.
[01:48:50.396 --> 01:48:54.578]  He bought about $6 billion worth of Italian bonds.
[01:48:54.578 --> 01:48:58.320]  And he only had about a billion dollars up in the trade.
[01:48:58.320 --> 01:49:00.581]  So he was heavily leveraged into Italian debt.
[01:49:01.221 --> 01:49:08.086]  And if you go back and look at the show where I was on last year, I said, you know, Italian sovereign debt is going to be the center of the next part of the crisis.
[01:49:08.086 --> 01:49:14.090]  So he took the exact opposite view that I had, bet heavily on Italian debt, got wiped out.
[01:49:14.090 --> 01:49:21.715]  And the people he owed the collateral calls to, the people he had borrowed the money to buy the bonds from, was JP Morgan.
[01:49:21.715 --> 01:49:30.761]  And so on October 28th, JP Morgan called and said, hey, we need at least $200 million in cash in order to keep the trade on.
[01:49:31.992 --> 01:49:34.934]  And so, I don't know exactly the sequence of events.
[01:49:34.934 --> 01:49:36.815]  I'm not inside MF Global.
[01:49:36.815 --> 01:49:44.339]  But I do know that the treasurer of MF Global, Edith O'Brien, authorized the money to leave the U.S.
[01:49:44.339 --> 01:49:45.639]  to go to J.P.
[01:49:45.639 --> 01:49:47.900]  Morgan's accounts in London.
[01:49:47.900 --> 01:49:51.983]  And she has since hired a criminal attorney to represent her.
[01:49:51.983 --> 01:50:00.147]  And my guess is that Corzine told O'Brien to release the funds, and that he will deny it, and that she will end up being the fall guy.
[01:50:00.679 --> 01:50:02.627]  She might fall down and hit her head, too.
[01:50:02.627 --> 01:50:03.973]  Yep, she might fall down and hit her head.
[01:50:04.972 --> 01:50:25.346]  Now, expanding on that, the head of the Chicago Mercantile Exchange, as you know, two weeks ago, on C-SPAN, the same testimony in front of Congress, got off his prepared remarks and said, look, we talked to MF Global, our people were there, they took the money out and said they were taking it out of the segregated accounts of their customers.
[01:50:25.346 --> 01:50:29.708]  And so right there, he's admitting perjury, that Corzine's involved in perjury.
[01:50:29.708 --> 01:50:31.770]  I mean, obviously Corzine knew, the CEO.
[01:50:32.250 --> 01:50:35.613]  Yeah, I mean, Alex, this is the number one rule in finance.
[01:50:35.613 --> 01:50:37.315]  You do not do this, and everybody knows it.
[01:50:37.315 --> 01:50:38.596]  In fact, J.P.
[01:50:38.596 --> 01:50:40.057]  Morgan, people I know at J.P.
[01:50:40.057 --> 01:50:46.163]  Morgan, were so concerned about accepting this money, because they didn't want to be tainted with this.
[01:50:46.163 --> 01:50:49.045]  They didn't want to engage in a fraudulent transaction.
[01:50:49.045 --> 01:50:52.248]  Even though they're the only ones receiving the money, they're not doing any of the taking.
[01:50:52.248 --> 01:50:57.253]  They demanded a note in writing from MF Global's General Counsel.
[01:50:57.953 --> 01:51:08.161]  Wow, and you've now got the head of the CME coming out, and that's the, you know, the big, for those that don't know, big commodities exchange group, and he's saying they're lying.
[01:51:19.771 --> 01:51:36.945]  There's no, I mean, from what I know, from what I have been told, and from the things I've seen in other places, there is no question in my mind that Corzine directed this segregated accounts for the money to be sent to London for the segregated accounts.
[01:51:36.945 --> 01:51:41.329]  There's no way that this woman, O'Brien, would have ever done this without his approval.
[01:51:41.329 --> 01:51:42.390]  There is no way!
[01:51:43.030 --> 01:51:44.111]  There's no way.
[01:51:44.111 --> 01:51:44.391]  He does.
[01:52:02.199 --> 01:52:06.182]  Because Alex, this is how the system worked for 40 years.
[01:52:06.182 --> 01:52:10.445]  Ever since we left gold in 71, this was the path to wealth.
[01:52:10.445 --> 01:52:16.649]  You borrow unlimited amounts of money, and if you get in trouble, you will get bailed out, and you just borrow more money.
[01:52:16.649 --> 01:52:17.710]  That's the secret.
[01:52:17.710 --> 01:52:26.676]  That is how Corzine made Goldman Sachs the biggest bank in the world, by leveraging everything and getting bailed out anytime there was trouble.
[01:52:27.937 --> 01:52:34.404]  With our tax money, and then having all these minions on the Goldman Sachs payroll you mentioned, demonize Ron Paul.
[01:52:34.404 --> 01:52:35.866]  I'll tell you exactly what happened.
[01:52:35.866 --> 01:52:37.728]  The Germans would not play ball.
[01:52:37.728 --> 01:52:42.613]  The Germans would not allow the European Central Bank to expand the balance sheet fast enough to bail Italy out.
[01:52:42.613 --> 01:52:44.055]  That's exactly what happened.
[01:52:44.055 --> 01:52:46.097]  And Corzine got caught with his pants down because of it.
[01:52:47.657 --> 01:52:50.099]  Let's shift gears then and look at gold in the next year.
[01:52:50.099 --> 01:52:53.582]  And most economists we talk to agree that we're going to really see some nasty inflation.
[01:52:53.582 --> 01:52:56.945]  We're not talking about a cup of coffee at the gas station going from $1 to $1.25.
[01:52:56.945 --> 01:52:57.645]  We're talking about going to $2, $3.
[01:52:57.645 --> 01:52:58.706]  We're talking about gas going from $3 to $4, $5.
[01:52:58.706 --> 01:53:00.027]  So if you look at this,
[01:53:06.812 --> 01:53:11.414]  What's the ratio for me, because I know I asked you this a year ago and you said you have now looked into it more closely.
[01:53:11.414 --> 01:53:22.979]  As they print money and as they issue bailouts and monetize debt, as the Federal Reserve buys its own debt, what's the ratio versus gold?
[01:53:23.885 --> 01:53:32.777]  Well, I told you last time that off the top of my head I thought it was around $10,000 an ounce for the price of gold if you were to try to back the U.S.
[01:53:32.777 --> 01:53:37.764]  currency with gold at some level, say at 25% backing, something reasonable like that.
[01:53:39.205 --> 01:53:40.507]  I just wanted to update all those numbers.
[01:53:40.507 --> 01:53:43.110]  So, I went and looked where the Fed balance sheet is today.
[01:53:43.110 --> 01:53:45.712]  The Fed balance sheet is $2.8 trillion.
[01:53:45.712 --> 01:53:53.220]  So, if you wanted to back all the Federal Reserve notes with gold, and that's the core base asset in our monetary system.
[01:53:53.220 --> 01:53:56.144]  So, if you wanted to back the dollar with gold, that's the first thing you would do.
[01:53:57.128 --> 01:54:00.331]  And so, to take the U.S.
[01:54:00.331 --> 01:54:07.777]  gold reserve, it's hard to know exactly how much gold we have, because the gold that's in the Fed in New York is not all owned by the U.S.
[01:54:07.777 --> 01:54:11.259]  But just to be conservative, let's assume it was.
[01:54:11.259 --> 01:54:14.282]  There's about 372 million ounces of gold that the U.S.
[01:54:14.282 --> 01:54:16.123]  government owns or controls.
[01:54:16.123 --> 01:54:18.605]  If you do the numbers, you see that that would give you a gold price of $7,526.
[01:54:22.668 --> 01:54:29.630]  Today, to back the Fed balance sheet as it stands, you'd have to see gold prices over $7,000.
[01:54:29.630 --> 01:54:32.310]  Now, that's not providing backing for the whole currency.
[01:54:32.310 --> 01:54:34.791]  That's just providing backing for the monetary base.
[01:54:34.791 --> 01:54:40.412]  If you go out to M3, there's $7.7 trillion of money outstanding right now in the U.S.
[01:54:40.412 --> 01:54:41.293]  economy.
[01:54:41.293 --> 01:54:45.014]  And to back all that with gold, we require a gold price of over $20,000.
[01:54:46.826 --> 01:54:54.968]  Well, and as you said, here's CNBC from Friday, two days ago, call for QE to stave off euro deflation.
[01:54:54.968 --> 01:54:57.929]  Euro deflation?
[01:54:57.929 --> 01:55:00.950]  And so they're talking about turning up the presses right there.
[01:55:00.950 --> 01:55:07.012]  And of course they've been arguing for a new phase of the currency war where they all try to devalue as fast as possible.
[01:55:08.120 --> 01:55:17.248]  Yeah, well, look, just since 2007, the Fed balance sheet has gone from $800 billion to $2.8 trillion, and no one's said a word.
[01:55:17.248 --> 01:55:24.454]  Gold has gone from $700, you know, to where it was this year at its peak, $1,900, and nobody's cried uncle.
[01:55:24.454 --> 01:55:32.261]  The European Central Bank balance sheet has gone from around $1 trillion to $2.4 trillion, and it's definitely going to be over $3 trillion.
[01:55:33.334 --> 01:55:43.196]  Okay, so how much inflation are you thinking, if it's really like 11% right now, what do you think it'll be at Christmas next year?
[01:55:43.196 --> 01:55:51.878]  You know, it's a very hard thing to say, but what I think that you will see is that hard commodities, things like gold and silver, are going to do very, very well.
[01:55:51.878 --> 01:56:00.400]  Overall inflation, Alex, I'm actually less concerned about for next year, because I think you're going to see a big drop in the price of oil because of all the new domestic
[01:56:01.000 --> 01:56:01.721]  So it's basically
[01:56:19.791 --> 01:56:23.577]  A bubble in armaments if they start a new Middle Eastern-wide war with Iran.
[01:56:23.577 --> 01:56:25.099]  Porter, we're out of time.
[01:56:25.099 --> 01:56:28.383]  You promised to come back in the next few weeks on the weekday show.
[01:56:28.383 --> 01:56:29.805]  You got a lot of different websites.
[01:56:29.805 --> 01:56:32.149]  What's the best one for folks to visit?
[01:56:32.149 --> 01:56:36.375]  You know, just go to endofamerica.com, look at my presentation, decide for yourself.
[01:56:37.608 --> 01:56:46.872]  Well, I look forward to getting you back on in the near future, and I want you to have a great rest of Christmas day and evening, and I want to wish everybody a great New Year that's coming up.
[01:56:46.872 --> 01:56:56.116]  Of course, we'll be on all throughout the week, coming up live and then back next Sunday, but I want everybody to have a great what's left of Christmas and New Year's coming up.
[01:56:56.116 --> 01:56:56.696]  Thank you, Porter.
[01:56:56.696 --> 01:56:57.577]  Thank you, Alex.
[01:56:58.462 --> 01:56:59.383]  All right, there he goes.
[01:56:59.383 --> 01:57:01.745]  Ladies and gentlemen, go spend the rest of time with your families.
[01:57:01.745 --> 01:57:03.807]  I appreciate you tuning in today.
[01:57:03.807 --> 01:57:05.529]  And like I said, we'll be back tomorrow, 11 a.m.
[01:57:05.529 --> 01:57:06.650]  Central.
[01:57:06.650 --> 01:57:12.435]  Don't forget, we also sound will cast these radio shows as TV at PrisonPlanet.TV.
[01:57:12.435 --> 01:57:15.859]  And I just wish you all to have a safe and a happy Christmas.
[01:57:15.859 --> 01:57:17.180]  Merry Christmas to all of you.
[01:57:17.180 --> 01:57:18.982]  Politically correct folks don't like it.
[01:57:18.982 --> 01:57:19.822]  You know where you can go.
[01:57:19.822 --> 01:57:21.864]  And that's it for this transmission.
[01:57:21.864 --> 01:57:23.406]  I'm Alex Jones, signing off.
[01:57:25.520 --> 01:57:49.046]  Should old acquaintance be forgot and days of lonesome?
