[00:00:01.615 --> 00:00:02.358]  We've got it brother!
[01:52:13.191 --> 01:52:22.316]  And again, by having it illegal at Jack's, the price is up A, but more importantly, B, it allows them to send the police after their competition.
[01:52:22.396 --> 01:52:23.717]  Great points, I appreciate your call.
[01:52:24.157 --> 01:52:29.100]  And of course, he's getting the point of federal prosecutors taking the Fifth Amendment in Fast and Furious probe.
[01:52:30.427 --> 01:52:31.967]  And nothing's going to happen to them, folks.
[01:52:32.427 --> 01:52:33.388]  They did what they were told.
[01:52:34.848 --> 01:52:35.968]  I mean, the U.S.
[01:52:36.008 --> 01:52:37.589]  government doesn't just run drugs.
[01:52:37.629 --> 01:52:38.829]  They run kidnap kids.
[01:52:38.929 --> 01:52:41.389]  And if you don't know about that, just type it in.
[01:52:41.429 --> 01:52:43.090]  I mean, there's congressional hearings.
[01:52:43.830 --> 01:52:50.071]  And I've watched congressional C-SPAN, where Congress people say, well, this company kidnaps little kids.
[01:52:50.111 --> 01:52:51.591]  And they go, yes, they do, and they're allowed to.
[01:52:52.432 --> 01:52:53.512]  And they go, no one gets in trouble.
[01:52:53.532 --> 01:52:53.992]  And they go, nope.
[01:52:55.990 --> 01:52:57.851]  I mean, it's, it's, you can type that in.
[01:52:57.911 --> 01:53:00.533]  Rumsfeld questioned on child sex trafficking.
[01:53:01.053 --> 01:53:02.034]  Type that into YouTube.
[01:53:02.895 --> 01:53:04.416]  And he goes, nope, they don't get in trouble.
[01:53:05.817 --> 01:53:07.698]  And the Congress people go, so nothing's gonna happen?
[01:53:07.718 --> 01:53:08.298]  He goes, nope.
[01:53:10.140 --> 01:53:10.860]  And they go, okay.
[01:53:11.320 --> 01:53:17.044]  I mean, they're gonna bring the drugs in, they're gonna put cancer viruses in your shots, they're gonna do whatever they want!
[01:53:17.064 --> 01:53:21.407]  I mean, have you not figured this out yet?
[01:53:21.487 --> 01:53:23.869]  They do what they want, because you're naive!
[01:53:25.199 --> 01:53:26.661]  People say, well then why are you still alive?
[01:53:27.062 --> 01:53:29.605]  Because if they kill me, it highlights everything I've said.
[01:53:30.506 --> 01:53:32.249]  It puts an exclamation point behind it.
[01:53:33.370 --> 01:53:34.131]  And they still might.
[01:53:34.312 --> 01:53:36.375]  And quite frankly, I don't want to die, but I don't care.
[01:53:37.645 --> 01:53:39.306]  I'll never commit suicide, I'll tell you that.
[01:53:39.627 --> 01:53:41.789]  But I mean, you know, somebody's got to stand up to this scum.
[01:53:42.309 --> 01:53:43.830]  And let me explain why they're so evil.
[01:53:44.611 --> 01:53:54.059]  Once the system gets criminal across the board, one group of criminals can't tell the other group, hey, you're going too far, because the other group will say, hey, you're involved in crime.
[01:53:55.100 --> 01:53:57.062]  I'll rat you out if you go public.
[01:53:58.047 --> 01:54:03.069]  So, once you get a systemically corrupt society, the sky's the limit.
[01:54:03.389 --> 01:54:07.830]  They can't tell DU weapons lobbyists, hey, this wasn't used until 1990.
[01:54:07.910 --> 01:54:10.171]  It kills all our troops that use it.
[01:54:10.191 --> 01:54:12.092]  It may take 20 years, but it kills them.
[01:54:12.512 --> 01:54:13.332]  You can't use that.
[01:54:13.532 --> 01:54:15.693]  They go, hey, you're running drugs and kidnapping kids.
[01:54:15.833 --> 01:54:16.393]  Shut up!
[01:54:18.174 --> 01:54:21.855]  Yeah, but we're going to have to pay for insurance claims on all these troops.
[01:54:22.195 --> 01:54:22.735]  Don't worry.
[01:54:23.175 --> 01:54:25.236]  We'll have a Department of Justice agreement letter.
[01:54:26.649 --> 01:54:30.930]  1998, that you don't have to give any of the dead troops any of their death benefits.
[01:54:31.530 --> 01:54:32.090]  That's A.P.
[01:54:32.130 --> 01:54:32.591]  Bloomberg.
[01:54:32.651 --> 01:54:37.752]  I mean, so the whole thing starts crumbling where the criminals just go, party time!
[01:54:38.952 --> 01:54:40.372]  And they go wild.
[01:54:42.573 --> 01:54:43.453]  And that's now happened.
[01:54:44.273 --> 01:54:45.914]  And you, look at the naive public.
[01:54:45.954 --> 01:54:46.894]  I mean, they're helpless.
[01:54:48.055 --> 01:54:52.879]  I'm in stores and places and I look at these fathers who are wearing their tough guy shirts with their kids.
[01:54:52.899 --> 01:54:56.922]  I went to the pet store today and I was watching dads walking around looking at other men with their eyes.
[01:54:57.403 --> 01:54:58.043]  I'm powerful.
[01:54:58.063 --> 01:54:59.724]  You know how powerful I am?
[01:54:59.744 --> 01:55:03.167]  I'm like, are you powerful enough to know what's going on in your food and water?
[01:55:03.868 --> 01:55:11.194]  Are you powerful enough to admit there's big evil people above you and that you're not just strutting around here in the fish section of the place acting tough?
[01:55:12.234 --> 01:55:12.675]  Okay, pal?
[01:55:16.809 --> 01:55:19.991]  I see these arrested development men, it just makes me want to throw up.
[01:55:20.892 --> 01:55:22.373]  And their eyes are so weak.
[01:55:23.714 --> 01:55:25.275]  I wish they would face reality.
[01:55:25.716 --> 01:55:26.897]  I wish they'd become real men.
[01:55:26.917 --> 01:55:28.778]  I mean, how can a man hear this stuff?
[01:55:28.798 --> 01:55:32.741]  How can listeners hear what I've said today, new listeners, and not go check out everything I've said?
[01:55:33.141 --> 01:55:35.823]  If there was one chance in a million it was true, you'd look it up.
[01:55:36.364 --> 01:55:38.465]  Unfortunately, it's all true and worse than I can even tell you.
[01:55:40.427 --> 01:55:44.330]  Oh, we got Jason, Carl, John, Ken, John, Chris, Jeff, Wyatt, Teeny,
[01:55:46.115 --> 01:55:47.975]  Let's go to Teenie, with a name like that.
[01:55:48.315 --> 01:55:52.796]  Teenie in Indiana, where the ATF ships guns to drug gangs to kill their opposition.
[01:55:53.116 --> 01:55:54.197]  That came out in federal court.
[01:55:54.497 --> 01:55:55.357]  How are you doing up there?
[01:55:55.377 --> 01:55:56.937]  Oh, I'm doing fine.
[01:55:57.017 --> 01:55:57.637]  How are you doing?
[01:55:57.937 --> 01:55:58.758]  Oh, I'm just wonderful.
[01:55:59.258 --> 01:55:59.938]  You look good.
[01:56:00.878 --> 01:56:01.678]  I'm watching you.
[01:56:02.018 --> 01:56:02.838]  Well, thank you, ma'am.
[01:56:03.218 --> 01:56:05.599]  It's always nice to have a woman tell me I look good.
[01:56:05.619 --> 01:56:06.479]  I appreciate that.
[01:56:06.499 --> 01:56:06.739]  You do.
[01:56:06.759 --> 01:56:08.199]  You always have nice clothes on.
[01:56:08.479 --> 01:56:09.080]  Well, thank you.
[01:56:09.980 --> 01:56:15.641]  Anyways, I wanted to tell you, I've got a new thing for the prostitutes.
[01:56:16.835 --> 01:56:20.076]  It's educated, stupid, prostitutes.
[01:56:20.917 --> 01:56:23.218]  Educated because they went to school.
[01:56:24.278 --> 01:56:27.780]  Stupid because they're too stupid to leave their pimps.
[01:56:29.448 --> 01:56:42.720]  That's a good name, but I mean, I think I'm going to steal Rand Paul, Wayne Paul, brother Ron Paul's term, the sewer line media, or the sewer stream media, because we already think of them as mainstream.
[01:56:42.740 --> 01:56:44.402]  No, no, no, they're the sewer stream.
[01:56:44.862 --> 01:56:46.524]  I appreciate your information there.
[01:56:46.544 --> 01:56:47.164]  Good to hear from you.
[01:56:48.105 --> 01:56:50.247]  Let's go ahead and talk to Jason in Texas.
[01:56:50.287 --> 01:56:51.128]  Jason, you're on the air.
[01:56:51.148 --> 01:56:52.750]  How's it going today?
[01:56:53.290 --> 01:56:54.611]  I appreciate you putting up with me, brother.
[01:56:54.651 --> 01:56:55.092]  I'm doing good.
[01:56:55.919 --> 01:56:58.080]  Alrighty, I got one little data point.
[01:56:58.720 --> 01:57:03.121]  Just recently, I watched the new Planet of the Apes movie, The Rise of the Apes.
[01:57:03.401 --> 01:57:04.802]  Yeah, it's about a bio-weapon, you know.
[01:57:05.262 --> 01:57:12.544]  Yeah, and they had some sort of mistake there at the bio-lab, and one of the attendants... And everybody dies!
[01:57:12.644 --> 01:57:15.765]  After the credits, it shows the map of everyone on Earth dying.
[01:57:16.306 --> 01:57:17.106]  Isn't it beautiful?
[01:57:17.952 --> 01:57:31.443]  Well, you can kind of see the thinly-veiled propaganda where, like, the apes are safe and, you know, then they come out from the destructed civilization and they become the new rulers of the world.
[01:57:31.463 --> 01:57:34.725]  And if you notice, you're right, in the background, the astronauts have launched.
[01:57:34.745 --> 01:57:36.387]  That's 2001 Space Odyssey.
[01:57:37.007 --> 01:57:37.948]  They're gonna come back.
[01:57:39.096 --> 01:57:40.478]  Yeah, that gets into Illuminati stuff.
[01:57:40.498 --> 01:57:41.319]  That's pretty deep there.
[01:57:41.660 --> 01:57:42.240]  God bless you.
[01:57:42.260 --> 01:57:43.262]  Sorry to all the other callers.
[01:57:43.442 --> 01:57:43.762]  Love you.
[01:57:44.103 --> 01:57:46.025]  Back tomorrow, God willing, 11 a.m.
[01:57:46.066 --> 01:57:46.486]  Central.
[01:57:46.766 --> 01:57:47.628]  Great job to the crew.
[01:57:47.668 --> 01:57:48.609]  PrisonPlanet.tv.
