[00:00:28.664 --> 00:00:29.485]  I'm Aaron Dykes.
[01:52:15.329 --> 01:52:18.092]  Uh, but they didn't want, they didn't want to hear it.
[01:52:18.152 --> 01:52:31.343]  You know, it's just like, thank God that when Carol Howe went to, uh, before the court and her, her supervisor, you know, they had made her out to be a liar and she was crazy.
[01:52:31.623 --> 01:52:39.070]  And when, then when her supervisor got on the stand and she said, you know, she was under oath, she said what she said was absolutely the truth.
[01:52:39.730 --> 01:52:41.432]  Surely more people out there
[01:52:41.992 --> 01:52:48.218]  Have morals to stand up for what everybody in World War I and World War II stood for.
[01:52:48.278 --> 01:52:56.045]  The military today, they go, you know, the military today go over there to areas where this is a political war.
[01:52:56.125 --> 01:52:58.807]  This isn't war against the United States.
[01:52:59.067 --> 01:53:00.529]  It's a political war.
[01:53:00.929 --> 01:53:06.994]  And they sacrifice their lives, their family life, their homes, their the
[01:53:08.095 --> 01:53:09.016]  We're good to go.
[01:53:35.137 --> 01:53:38.721]  Get killed, you know, or dishonorable discharge.
[01:53:39.081 --> 01:53:40.163]  That's wrong.
[01:53:40.363 --> 01:53:50.174]  Somebody in this government and somebody in Congress needs to step up and both sides of the aisle say, this is enough we've had going on.
[01:53:50.354 --> 01:53:51.876]  We need to get it taken care of.
[01:53:52.617 --> 01:53:54.218]  You know, we need to protect our boys.
[01:53:54.298 --> 01:53:54.859]  Bring them home.
[01:53:55.240 --> 01:53:55.660]  Absolutely.
[01:53:57.426 --> 01:54:02.508]  I just have to say, this has been an amazing interview, and like I said, one of the most important I've ever done.
[01:54:03.168 --> 01:54:03.768]  It's real.
[01:54:04.469 --> 01:54:12.252]  Jane, my heart just aches with pain for the children that died, the friends you lost, but it also is bullied.
[01:54:13.012 --> 01:54:22.259]  And swells with pride at the honor and the courage you've had, and the courage of the makers of a noble lie, and Terrence Yakey, who spoke out and they tortured and murdered.
[01:54:22.599 --> 01:54:25.321]  Last call to his partner, the feds are behind me, they're pulling me over.
[01:54:25.821 --> 01:54:28.303]  They tortured him pretty bad to try to find out where the documents were.
[01:54:28.683 --> 01:54:31.365]  The police officers that have been threatened, others that have been killed.
[01:54:32.045 --> 01:54:33.326]  I've been death-threatened over this.
[01:54:33.386 --> 01:54:35.608]  I know you've had a lot of stuff go on, James.
[01:54:35.928 --> 01:54:36.649]  This is real.
[01:54:36.709 --> 01:54:37.970]  People need to know, this is real.
[01:54:38.330 --> 01:54:39.851]  And I want to commend and thank you both.
[01:54:41.493 --> 01:54:41.893]  Thank you.
[01:54:41.973 --> 01:54:42.514]  Thank you, Alex.
[01:55:04.599 --> 01:55:07.300]  First World Trade Center, FBI cooked the bomb, trained the drivers.
[01:55:07.740 --> 01:55:09.140]  Thank God it didn't bring down the tower.
[01:55:09.500 --> 01:55:10.521]  Then Oklahoma City.
[01:55:10.961 --> 01:55:11.201]  Then 9-11.
[01:55:11.221 --> 01:55:13.282]  Now they're talking about nukes going off.
[01:55:13.722 --> 01:55:16.723]  They detonated a nuke, they're really going to get martial law in place.
[01:55:17.563 --> 01:55:24.745]  This is about a bunch of hardcore crooks who compete with each other to see who's the most nastiest, taking control of our society.
[01:55:25.385 --> 01:55:29.406]  And you look at your children, you've got to realize they have no future if we don't say no to this right now.
[01:55:30.367 --> 01:55:33.908]  I wish most men in this country had one-tenth the courage
[01:55:34.938 --> 01:55:36.199]  of the lady we just interviewed.
[01:55:37.319 --> 01:55:46.364]  I wish that men would stand up for honor and the truth, because when you don't stand up against evil, it takes over and runs rampant.
[01:55:46.764 --> 01:55:55.469]  So shame on the men of America for being a bunch of mindless sports fans and not standing up and speaking out against this lie.
[01:55:56.149 --> 01:56:03.233]  They're going to use the lies of staged terror to wreck our society and take over our world if you don't do something about it.
[01:56:04.360 --> 01:56:05.422]  The fight is happening now.
[01:56:05.462 --> 01:56:06.204]  The war is now.
[01:56:07.286 --> 01:56:09.411]  Will you answer that call and defend the republic?
[01:56:10.834 --> 01:56:11.315]  It's up to you.
[01:56:12.466 --> 01:56:13.406]  Please get the film.
[01:56:13.426 --> 01:56:15.387]  It's available at Infowars.com.
[01:56:15.407 --> 01:56:16.888]  Get it out to people, a noble lie.
[01:56:17.288 --> 01:56:31.533]  The only modern, well-done, professionally produced film exposing this criminal conspiracy to set up a police state in America in the name of fighting terrorism that the megabanks who staged the terror attacks are actually involved in.
[01:56:32.073 --> 01:56:40.236]  They are using their own Reichstag events, their own false flags, their own self-inflicted wounds to bring in this tyranny and pose as our saviors.
[01:56:40.916 --> 01:56:42.860]  So please get the film out to everybody.
[01:56:43.401 --> 01:56:47.329]  I'm Alex Jones signing off from the front lines of the InfoWar.
[01:56:47.770 --> 01:56:49.314]  Until next time, Lord willing.
