[00:00:00.403 --> 00:00:02.709]  Genesis Communications Radio Network
[00:23:22.287 --> 00:23:36.339]  The Berkey light systems include a set of self-sterilizing and recleanable black purification elements that purify water by removing chlorine, pathogenic bacteria, cysts and parasites to non-detectable levels and remove harmful chemicals such as herbicides and pesticides.
[00:23:36.599 --> 00:23:44.522]  Order the Berkey Light System today, complete with two black Berkey elements for only $231, and the Berkey Guy will ship your order free of charge.
[00:23:44.722 --> 00:23:50.284]  With the purchase of a Berkey Light, the Berkey Guy is also offering a set of fluoride and arsenic filters for only $39.99.
[00:23:51.724 --> 00:23:53.886]  That's over 30% off the retail price.
[00:23:54.087 --> 00:23:55.008]  Call the Berkey guy at 1-877-886-3653.
[00:23:55.028 --> 00:23:55.228]  That's 1-877-886-3653.
[00:23:55.248 --> 00:23:56.389]  Or order online at GoBerkey.com.
[00:23:56.409 --> 00:23:57.650]  That's GoBerkey.com today!
[00:24:27.014 --> 00:24:28.837]  Yeah, we're back on the Alex Jones Show.
[00:24:28.857 --> 00:24:31.640]  This is Mike Adams, the health ranger, filling in today.
[00:24:31.700 --> 00:24:33.823]  I'm the editor of NaturalNews.com.
[00:24:34.805 --> 00:24:41.434]  And, wow, just before the break we were talking about 60 days in prison and a $12,000 fine for hosting a home Bible study.
[00:24:43.977 --> 00:24:44.838]  In Arizona.
[00:24:44.878 --> 00:25:05.395]  Now this man, this couple, was hosting, what, 15 to 20 people to teach concepts about the Bible, share some food, to discuss their creator and their religion, and now he's being sentenced, Michael Salmon is being sentenced to 60 days in prison and a $12,000 fine.
[00:25:05.815 --> 00:25:09.659]  Police officers, a dozen, or almost a dozen, raided their home
[00:25:10.339 --> 00:25:16.360]  And gathered, quote, evidence of their, quote, crimes, which I assume would have included Bibles.
[00:25:18.001 --> 00:25:21.482]  And he was then found guilty of 67 code violations.
[00:25:22.402 --> 00:25:26.303]  And now he's going to be ripped away from his family and put in prison for two months.
[00:25:26.523 --> 00:25:35.085]  And the Assistant City Prosecutor is asking the court to revoke his probation and convert it into a two and a half year jail sentence.
[00:25:35.925 --> 00:25:42.929]  Well, that's a real God-hater right there, a Bible-hater, since he continues to hold worship gatherings on his property despite court orders.
[00:25:43.029 --> 00:25:44.450]  Oh, so let me get this straight.
[00:25:44.490 --> 00:25:53.976]  If you have a birthday party for your 7-year-old, now you don't need permits, you don't need any of that, you can just have a little birthday party, or if you have friends over for a dinner,
[00:25:54.696 --> 00:25:58.958]  You can have 12, 15, 20 people over for dinner, just a little party.
[00:25:59.298 --> 00:26:04.100]  Even a crazy drinking party you can have 15 to 20 people over as long as you don't make too much noise.
[00:26:04.921 --> 00:26:08.882]  I can't imagine that Bible study was a huge amount of noise.
[00:26:09.322 --> 00:26:13.424]  They probably weren't partying out in the backyard and slugging down vodka.
[00:26:13.684 --> 00:26:15.465]  That's probably not what happened in Bible study.
[00:26:16.306 --> 00:26:20.107]  And yet they get arrested and raided and now facing two and a half years in jail.
[00:26:20.627 --> 00:26:21.308]  This is insane.
[00:26:22.168 --> 00:26:23.749]  This is what America has come to.
[00:26:24.089 --> 00:26:31.612]  And regardless of whether you follow the Bible or any particular religion, don't we have a First Amendment right in this country?
[00:26:31.652 --> 00:26:42.197]  Don't we have the right freedom of religion and freedom of expression to just have friends come over to their house and talk about ideas without being raided at gunpoint by a bunch of cops and thrown in prison?
[00:26:42.677 --> 00:26:43.498]  Is this what it's come to?
[00:26:43.518 --> 00:26:44.438]  It's insane.
[00:26:44.458 --> 00:26:45.999]  It's absolutely insane.
[00:26:46.019 --> 00:26:50.281]  Anyway, that story is up on, well, EndOfTheAmericanDream.com.
[00:26:51.448 --> 00:26:52.269]  Is it up on InfoWars?
[00:26:52.289 --> 00:26:52.649]  I hope so.
[00:26:53.010 --> 00:26:54.651]  That should be up on InfoWars.
[00:26:54.691 --> 00:26:55.072]  Maybe it is.
[00:26:56.493 --> 00:27:02.819]  Speaking of InfoWars, I saw something yesterday that I wanted to just mention, because I did research about this.
[00:27:02.859 --> 00:27:06.623]  There's a new sponsor on InfoWars that's sponsoring some pinhole glasses.
[00:27:07.323 --> 00:27:14.250]  I gotta tell you, there is a cover-up behind conventional eye doctors and what's going on there.
[00:27:14.270 --> 00:27:15.812]  Now, these pinhole glasses really work.
[00:27:16.272 --> 00:27:19.776]  And if you go to Infowars.com, you check them out, you can get these pinhole glasses.
[00:27:20.037 --> 00:27:24.061]  They exercise your eyes, and for many people, they really do improve vision.
[00:27:24.262 --> 00:27:25.823]  Now, I don't have any financial ties to this.
[00:27:25.843 --> 00:27:27.025]  This is an independent review.
[00:27:27.345 --> 00:27:31.190]  But here's what I found out when I wrote about this, like, I don't know, eight months ago or something.
[00:27:32.563 --> 00:27:41.827]  The mythology of conventional eye doctors is they say the reason your vision gets blurry is because your eye changes its shape.
[00:27:42.428 --> 00:27:45.649]  Yeah, they say your eyeball got longer or shorter.
[00:27:47.816 --> 00:27:49.198]  That doesn't make any sense.
[00:27:49.578 --> 00:27:51.200]  Is that skull still around here?
[00:27:51.360 --> 00:27:52.301]  We could actually show it.
[00:27:52.361 --> 00:27:57.247]  But anyway, it was Alex using it last week for his documentary on anthropology and so on.
[00:27:57.628 --> 00:28:03.094]  But if you look at the human skull, you'll notice that the eye sockets are surrounded by bone.
[00:28:03.815 --> 00:28:08.756]  Well, the shape of your eye is not going to change unless your skull changes its shape.
[00:28:09.036 --> 00:28:14.998]  The only way your eye can get longer is if your head gets jammed into a trash compactor or something.
[00:28:15.618 --> 00:28:17.859]  I mean, seriously, seriously, how's your eye going to change shape?
[00:28:18.079 --> 00:28:19.879]  Your eye is a gelatinous mass.
[00:28:19.959 --> 00:28:22.780]  It takes on the shape of the socket in which it resides.
[00:28:23.060 --> 00:28:32.623]  So the reason we get blurry vision for some people, not all types of vision problems, but for many of them, it's because the muscles that change the shape of your eye lens
[00:28:33.283 --> 00:28:41.452]  Those muscles actually get weak, and when those muscles get weak, you can't refocus on the proper portion of the back of your eye.
[00:28:48.220 --> 00:28:49.020]  How do your muscles get weak?
[00:28:49.260 --> 00:28:51.021]  It's because you're not working them out.
[00:28:51.401 --> 00:28:57.603]  So just like if you don't work out your legs and you don't go to the gym and pump weights and you don't work out, you're going to atrophy your muscles.
[00:28:57.623 --> 00:28:58.504]  You're going to get weaker.
[00:28:58.864 --> 00:29:10.388]  Well, your eye muscles, if you don't live out in the country or somewhere that you're focusing on distant objects and then close in objects and back and forth, distant and close in, that exercises the muscles that change the shape of your lens.
[00:29:10.428 --> 00:29:14.749]  They change the concavity of your lens that help the image focus on the back of your eye.
[00:29:14.769 --> 00:29:16.210]  I hope I'm not getting too technical here.
[00:29:16.790 --> 00:29:18.593]  But your eyeball needs exercise.
[00:29:18.613 --> 00:29:19.535]  That's the bottom line.
[00:29:19.955 --> 00:29:22.980]  Anyway, these pinhole glasses actually do exercise your eyes.
[00:29:23.040 --> 00:29:28.669]  And for many people, they can recover their vision, eliminate the blurriness, and they never need glasses because of this.
[00:29:28.709 --> 00:29:31.093]  So, I just wanted to, you know, go on the record and say...
[00:29:31.994 --> 00:29:35.916]  That's something to check out, and I did an independent review of it, and that's what I found out.
[00:29:35.976 --> 00:29:38.497]  So, that could save you a lot of money and a lot of hassle.
[00:29:39.158 --> 00:29:43.380]  Sure, I'm gonna get mail from some eye doctor saying, no, the eyeball changes shape.
[00:29:43.560 --> 00:29:44.601]  Whatever, whatever.
[00:29:45.101 --> 00:29:45.701]  Skull doesn't.
[00:29:46.162 --> 00:29:47.722]  Not after you're, like, six.
[00:29:49.203 --> 00:29:49.963]  Anyway, stay with us.
[00:29:49.984 --> 00:29:53.205]  We'll have a lot more straight ahead right here on the Alex Jones Show.
[00:29:53.585 --> 00:29:56.367]  A lot more in the segment coming up about the future of humanity.
[00:29:59.929 --> 00:30:02.895]  We're on the march, the empire's on the run.
[00:30:02.915 --> 00:30:06.542]  Alex Jones and the GCN Radio Network.
[00:30:08.618 --> 00:30:12.840]  This is Alex Jones with 5 good reasons you should consider buying a solar power generator.
[00:30:13.160 --> 00:30:13.441]  Number 1.
[00:30:14.081 --> 00:30:17.223]  New climate legislation could easily double or triple your electric bill.
[00:30:17.503 --> 00:30:18.063]  Number 2.
[00:30:18.363 --> 00:30:22.906]  Our new energy czar wants to control how much power your electric company allows you to have.
[00:30:23.246 --> 00:30:23.686]  It's true.
[00:30:23.986 --> 00:30:28.549]  Total government control of electricity in the name of smart grid technology is coming.
[00:30:28.869 --> 00:30:29.409]  Number 3.
[00:30:29.689 --> 00:30:32.971]  In some areas of the country, the power grid is dangerously overloaded.
[00:30:33.271 --> 00:30:36.973]  And now, new socialist legislation is only compounding the problem.
[00:30:37.173 --> 00:30:37.734]  Number 4.
[00:30:37.974 --> 00:30:40.336]  Dangerous weather is always a threat to local grids.
[00:30:40.736 --> 00:30:44.120]  Every year, thousands of families lose their power from weather-related outages.
[00:30:44.420 --> 00:30:44.620]  Number 5.
[00:30:45.201 --> 00:30:49.124]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:30:49.364 --> 00:30:54.129]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:30:54.409 --> 00:30:58.435]  You can get more information at www.mysolarbackup.com.
[00:30:58.575 --> 00:31:00.137]  That's mysolarbackup.com.
[00:31:00.357 --> 00:31:02.440]  Remember, the government doesn't own the sun.
[00:31:02.620 --> 00:31:04.964]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:31:10.521 --> 00:31:18.207]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[00:31:18.647 --> 00:31:22.270]  Alex and his staff have used these pure soap products for years.
[00:31:22.710 --> 00:31:29.535]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[00:31:30.016 --> 00:31:32.498]  See them on the web at 5starsoap.com.
[00:31:33.038 --> 00:31:37.541]  Or call 800-340-7091 for a free catalog.
[00:31:37.881 --> 00:31:43.545]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[00:31:43.805 --> 00:31:48.928]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[00:31:49.228 --> 00:31:50.849]  This is an amazing deal.
[00:31:51.210 --> 00:31:55.813]  You can save thousands of dollars and you will love the way real soap makes you feel.
[00:31:56.453 --> 00:31:59.595]  See them on the web at 5starsoap.com or call
[00:31:59.735 --> 00:32:00.679]  800-340-7091 for a free catalog.
[00:32:08.305 --> 00:32:09.306]  Let me ask you a question.
[00:32:09.546 --> 00:32:10.687]  What does freedom mean to you?
[00:32:11.028 --> 00:32:11.868]  The freedom to choose?
[00:32:11.948 --> 00:32:12.669]  The freedom to vote?
[00:32:12.889 --> 00:32:13.670]  The freedom to worship?
[00:32:13.910 --> 00:32:15.872]  How about the freedom to take control of your own future?
[00:32:16.112 --> 00:32:21.277]  My friends at eFoods Direct are celebrating freedom this month while helping you take control of your greatest dependency, food.
[00:32:21.598 --> 00:32:28.764]  Right now you receive one of their new Patriot Packs free with every $289 you spend on their highly nutritious and great tasting food.
[00:32:29.065 --> 00:32:32.688]  The Patriot Pack is a 30 day supply of eFoods Quick Fix Easy Store Food.
[00:32:32.948 --> 00:32:37.630]  For example, purchase a one-year supply and get five Patriot Packs, which is five months of food free.
[00:32:37.870 --> 00:32:41.431]  Use the extra food for everyday use and save hundreds off your grocery bill.
[00:32:41.671 --> 00:32:46.934]  Give your free Patriot Pack as a gift to a friend or relative, or simply add more food to your long-term supply for free.
