[00:00:00.714 --> 00:00:04.537]  You got it, brother.
[01:31:12.326 --> 01:31:17.370]  It's true, seeds have outperformed even gold and silver before in this country, and it's possible they could even happen again.
[01:31:17.890 --> 01:31:23.114]  So our friends at Solutions from Science have put together the perfect mix of non-hybrid seeds.
[01:31:23.114 --> 01:31:25.435]  They call it a Survival Seed Bank.
[01:31:25.435 --> 01:31:30.238]  And it can produce an endless supply of nutrient-dense food for you and your family.
[01:31:30.238 --> 01:31:31.359]  And here's the best part.
[01:31:31.359 --> 01:31:34.421]  These seeds have not been genetically modified in any way.
[01:31:34.421 --> 01:31:38.044]  And you actually get enough seeds to plant a full acre crisis garden.
[01:31:38.044 --> 01:31:41.226]  So visit them today at SurvivalSeedBank.com.
[01:31:41.226 --> 01:31:43.447]  That's SurvivalSeedBank.com.
[01:31:43.447 --> 01:31:44.388]  Or give them a call at 877-327-0365.
[01:31:49.391 --> 01:31:52.253]  That's 877-327-0365.
[01:31:52.253 --> 01:31:57.077]  Remember, in a real crisis, non-hybrid seeds are the ultimate barter item.
[01:31:57.077 --> 01:32:00.099]  This is Alex Jones for survivalseedbank.com.
[01:32:00.099 --> 01:32:04.463]  For a long time, you've heard me talk about building your own food supply with eFoods Direct.
[01:32:04.463 --> 01:32:08.506]  As a listener, you know why you need to have a supply of the best storable food on the planet.
[01:32:08.506 --> 01:32:12.529]  Every day, we document the attempts to take control of our lives.
[01:32:12.529 --> 01:32:14.730]  But there's one thing we can all control.
[01:32:14.730 --> 01:32:16.252]  Your greatest dependency.
[01:32:16.252 --> 01:32:16.572]  Food.
[01:32:16.972 --> 01:32:24.501]  eFoods Direct products are made with only the best ingredients and none of the trash and contaminants like trans fats, GMOs, or MSG.
[01:32:24.501 --> 01:32:27.044]  This food is nutrient dense and tastes great.
[01:32:27.044 --> 01:32:30.989]  It's simple to make, portable, and has a shelf life of up to 25 years.
[01:32:30.989 --> 01:32:34.573]  Now with eFoods Direct, you'll get the most affordable, best tasting food you can buy.
[01:32:34.873 --> 01:32:37.475]  And the new products and pricing will blow you away.
[01:32:37.475 --> 01:32:42.338]  Compared to other food sources including home-cooked meals, you can cut your food cost in half.
[01:32:42.338 --> 01:32:44.300]  You just can't afford to ignore this.
[01:32:44.300 --> 01:32:49.964]  Call 800-409-5633 or go to efoodsdirect.com forward slash Alex for specials.
[01:32:49.964 --> 01:32:51.485]  Don't let this offer pass you by.
[01:32:51.485 --> 01:32:53.526]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:32:53.526 --> 01:32:54.787]  More the best, for less guaranteed.
[01:33:01.676 --> 01:33:05.278]  Coast to coast, direct from Austin.
[01:33:05.278 --> 01:33:08.900]  You're listening to the Alex Jones Broadcasting Network.
[01:33:08.900 --> 01:33:23.709]  It was Hillary Clinton when she was running against Obama that first used the born in Kenya stuff.
[01:33:23.709 --> 01:33:28.692]  Because we know the Clintons have all those FBI files they kept after they left office.
[01:33:28.692 --> 01:33:29.733]  But when she couldn't win,
[01:33:31.072 --> 01:33:34.053]  They figured out, hey, we'll just have a third term under Obama.
[01:33:34.053 --> 01:33:37.194]  And they met there at the Bilderberg Group meeting that I covered.
[01:33:37.194 --> 01:33:40.815]  I'm about to cover it coming up in two weeks again at the exact same hotel in Virginia.
[01:33:40.815 --> 01:33:42.036]  They're in Chantilly.
[01:33:42.036 --> 01:33:49.779]  In closing, Doc, what does it signify that he's becoming more and more damaged goods?
[01:33:49.779 --> 01:33:51.439]  Why do you say that?
[01:33:51.439 --> 01:33:52.700]  What does that mean?
[01:33:52.700 --> 01:33:58.742]  Because obviously even the lamestream media has to know now this guy is a fraud.
[01:33:59.673 --> 01:34:10.201]  Well, first of all, Sheriff Arpaio's investigation, going on a law enforcement investigation, is much more serious than most people realize.
[01:34:10.201 --> 01:34:23.331]  Sheriff Arpaio has already announced on March 1st there's reasonable, probable cause, probable cause to believe the birth certificate and Obama's draft registration card, Selective Service Registration Card, are forgeries.
[01:34:23.911 --> 01:34:32.140]  Now, that means Sheriff Arpaio is saying Obama is in the White House with basically identity theft documents.
[01:34:32.140 --> 01:34:37.126]  This is going to be WatchWND.com where I'm a senior staff reporter.
[01:34:37.126 --> 01:34:40.490]  This coming week, there's going to be some shocking revelations.
[01:34:41.010 --> 01:34:43.374]  You're going to be surprised at what's coming down.
[01:34:43.374 --> 01:34:45.637]  This is a major investigation.
[01:34:45.637 --> 01:34:49.764]  Oh, I hope Arpaio doesn't have a heart attack, or you, because Breitbart said that next morning.
[01:34:49.764 --> 01:34:51.947]  The big bombshell was coming out, and he died.
[01:34:51.947 --> 01:34:54.471]  And three weeks later, they released some milk dust.
[01:34:55.472 --> 01:35:01.238]  Well, I've been very careful, so the head of the posse has got all the information I've developed.
[01:35:01.238 --> 01:35:02.019]  I've turned it over.
[01:35:02.019 --> 01:35:03.180]  I'm not deputized.
[01:35:03.180 --> 01:35:10.427]  I'm not a member of the posse, but I've agreed to turn over my material and to work in conjunction with the posse.
[01:35:10.427 --> 01:35:12.369]  So if something happens to me,
[01:35:12.990 --> 01:35:20.102]  The next day, everything I've got is going to be released and dumped out, and you know, it's going to be public anyway.
[01:35:20.102 --> 01:35:21.685]  By the way, I know body language.
[01:35:21.685 --> 01:35:26.152]  All those sheriff's people and forensic experts, they look completely freaked out, and they should be.
[01:35:27.196 --> 01:35:32.238]  Because this is going to develop into a major ballot challenge to Obama.
[01:35:32.238 --> 01:35:35.020]  It's already shaping up in Arizona.
[01:35:35.020 --> 01:35:45.224]  The Secretary of State is on the record of saying he wants certification from Hawaii that this long-form birth certificate, a forgery, is an authentic document.
[01:35:45.224 --> 01:35:48.826]  Hawaii will not certify that document because now
[01:35:49.266 --> 01:35:52.089]  They know there's a law enforcement investigation going on.
[01:35:52.089 --> 01:35:58.997]  The Hawaii officials don't want to go to jail committing felonies to support this fraudulent identity theft president.
[01:35:58.997 --> 01:36:05.904]  And you've talked to sources inside the office beforehand that it wasn't there, just as the governor had said, and then magically appeared like an Easter egg.
[01:36:06.812 --> 01:36:14.558]  Exactly, and if there was an original, why wasn't it shown to the American public way back in 2008?
[01:36:14.558 --> 01:36:15.679]  Why hide it?
[01:36:15.679 --> 01:36:21.624]  We still have not seen the original paper and ink documents, if they exist at all.
[01:36:21.624 --> 01:36:23.725]  Or the microfilm, if it exists at all.
[01:36:23.725 --> 01:36:25.447]  Why would they put out something that's fake?
[01:36:26.307 --> 01:36:29.529]  Uh, typewriter print that's a computer font and all those layers.
[01:36:29.529 --> 01:36:31.049]  Why is it so shoddy?
[01:36:31.049 --> 01:36:33.931]  These guys are not the greatest geniuses in the world.
[01:36:33.931 --> 01:36:35.292]  It's been a cover-up.
[01:36:35.292 --> 01:36:36.352]  And they're running thin.
[01:36:36.352 --> 01:36:41.595]  They're running in the last hours of being able to hide Obama's true identity.
[01:36:41.595 --> 01:36:42.535]  Here's my last question.
[01:36:42.535 --> 01:36:44.216]  We don't know who the father is.
[01:36:44.216 --> 01:36:45.657]  We don't know who Obama is.
[01:36:45.657 --> 01:36:54.181]  And by the way, when the globalists decide to dump Obama in favor of Romney, which I think is coming down,
[01:36:54.861 --> 01:36:57.702]  I don't think Hillary's going to step in and be the candidate.
[01:36:57.702 --> 01:36:59.263]  I think she's too smart.
[01:36:59.263 --> 01:37:00.944]  She'll wait and pick up the pieces for 2016.
[01:37:00.944 --> 01:37:08.347]  What do you make of Romney because he's not bringing up any of the real issues against Obama?
[01:37:08.347 --> 01:37:16.990]  I believe Hillary and Bill have already talked about it and it's been discussed, stepping in and replacing Obama because Obama's damaged goods.
[01:37:16.990 --> 01:37:20.652]  He's not going to be able to survive the revelations coming out politically.
[01:37:20.652 --> 01:37:23.593]  And Romney, I think, is just going to coast in.
[01:37:24.233 --> 01:37:44.590]  Romney is, you know, it's the same in 2004, George W. Bush renounced the Swift Boat campaign, you know, conducted together with John O'Neill and Admiral Hoffman, but I'm convinced it was the Swift Boat campaign that made a major impact in waking the American public's eyes up to who really is John Kerry.
[01:37:44.590 --> 01:37:46.232]  The same is happening right now.
[01:37:46.872 --> 01:37:58.575]  You know, programs like yours, Alex, Sheriff Arpaio's investigation, WND's consistent reporting on the issue is telling the American people, you got an imposter, usurper.
[01:37:58.575 --> 01:38:05.097]  Guy Baldwin, Kenny, has lied to you his entire life about who he is in the White House.
[01:38:05.097 --> 01:38:05.857]  It's shocking.
[01:38:05.857 --> 01:38:07.658]  It's the biggest cover-up in American history.
[01:38:09.210 --> 01:38:18.796]  Undoubtedly, and we've even seen the last year of the Washington Post saying top Democrats want Obama to step down, but they're going ahead with him as the presumptive candidate right now.
[01:38:18.796 --> 01:38:25.120]  They're going to go ahead until they have a precipitating event that permits them to dump Obama.
[01:38:25.120 --> 01:38:28.482]  And when they get that precipitating event, they're going to be all set and ready.
[01:38:28.482 --> 01:38:30.143]  The plans will be... Let me ask you this.
[01:38:30.143 --> 01:38:33.545]  So you're saying you don't think Romney's a fall guy?
[01:38:33.545 --> 01:38:33.645]  No.
[01:38:34.105 --> 01:38:35.366]  Well, Romney's going to win.
[01:38:35.366 --> 01:38:36.346]  That's my prediction.
[01:38:36.346 --> 01:38:37.587]  Romney's going to win.
[01:38:37.587 --> 01:38:46.691]  But how many Democrats currently in the House and Senate are running for House and Senate, or running for Governor, or the state legislature, want to go down with Obama?
[01:38:46.691 --> 01:38:53.275]  Because this shaping up in 2012 will make 2010 look like a picnic for the Democratic Party.
[01:38:53.795 --> 01:39:00.421]  What's shaping up here is an electoral disaster behind a candidate that won't even tell you who he is.
[01:39:00.421 --> 01:39:03.003]  Barack Obama or is it Barry Satoro?
[01:39:03.003 --> 01:39:05.585]  The Indonesian or is it the Kenyan?
[01:39:05.585 --> 01:39:06.906]  Who's the dad?
[01:39:06.906 --> 01:39:08.427]  It's not the African.
[01:39:08.427 --> 01:39:11.910]  Is it Frank Marshall Davis like Joel Gilbert says?
[01:39:11.910 --> 01:39:13.652]  Or is it somebody else?
[01:39:13.652 --> 01:39:19.557]  Four years into the presidency and the White House is still talking about a birth certificate.
[01:39:19.557 --> 01:39:21.118]  It won't show the American people.
[01:39:21.118 --> 01:39:21.878]  That's right.
[01:39:21.878 --> 01:39:26.721]  And now with this new document, I mean, is that not a final nail in the coffin?
[01:39:26.721 --> 01:39:29.763]  I mean, this has totally convinced people.
[01:39:29.763 --> 01:39:42.170]  It shows the American public that Obama, like I said in Where's the Birth Certificate, when I wrote it, that Obama has always said he was born in Kenya until he decided to run for president.
[01:39:42.170 --> 01:39:42.871]  No, you wrote that.
[01:39:42.871 --> 01:39:45.672]  So here's my final question.
[01:39:45.672 --> 01:39:49.394]  Now everybody's ferreting around in his college documents, not the ones they've sealed.
[01:39:49.394 --> 01:39:49.915]  Boy, look at that.
[01:39:50.908 --> 01:39:52.469]  Admission of guilt right there.
[01:39:52.469 --> 01:39:53.971]  Right.
[01:39:53.971 --> 01:39:57.593]  But now they're ferreting around in the quasi-public stuff.
[01:39:57.593 --> 01:40:01.136]  I predict it's only a matter of time until even more comes out.
[01:40:01.136 --> 01:40:02.337]  Right.
[01:40:02.337 --> 01:40:04.379]  Look, I want to see the passport records.
[01:40:04.379 --> 01:40:05.700]  I want to see the school records.
[01:40:05.700 --> 01:40:07.401]  Was he registered as a foreign student?
[01:40:07.401 --> 01:40:09.583]  Did he get foreign student aid?
[01:40:09.583 --> 01:40:12.706]  Why was he always rooming with all these Pakistanis?
[01:40:12.706 --> 01:40:14.647]  Did he represent himself as an Indonesian?
[01:40:14.647 --> 01:40:16.408]  Or was he representing himself... That's what everybody says!
[01:40:16.408 --> 01:40:18.450]  He was a foreign student in the U.S.
[01:40:18.450 --> 01:40:19.191]  Foreign student.
[01:40:19.631 --> 01:40:24.315]  This is, you know, Obama's told this story his whole life.
[01:40:24.315 --> 01:40:28.779]  Foreign student, born in Kenya, raised in Indonesia.
[01:40:28.779 --> 01:40:30.541]  This is what he's told over and over again.
[01:40:30.541 --> 01:40:37.367]  We've got dozens of witnesses ready to go on tape saying that this is what Obama has told the American people.
[01:40:37.907 --> 01:40:50.986]  So the question is, either he's some deep cover, foundation, globalist, slash CIA operative and was born here, but this was his previous cover, still he's gotta go, or he really was born in Kenya, and then the evidence, who knows?
[01:40:50.986 --> 01:40:51.707]  This is crazy.
[01:40:52.435 --> 01:40:54.877]  One way or the other, Obama is lying.
[01:40:54.877 --> 01:40:57.059]  He's lying about who his father was.
[01:40:57.059 --> 01:41:00.462]  He's lying about every aspect of his life history.
[01:41:00.462 --> 01:41:03.985]  And he will not show the American people the documentary evidence.
[01:41:03.985 --> 01:41:08.349]  But he could start a new big war or false flag and pose as a savior.
[01:41:09.090 --> 01:41:11.451]  The American people get their minds around this.
[01:41:11.451 --> 01:41:26.317]  They're going to demand that Obama leave office immediately as an excuse slurper, and they're going to vitiate, erase all of his decisions, his executive orders, Obamacare, because he's illegitimately in office.
[01:41:26.317 --> 01:41:28.718]  I've been saying this since 2008.
[01:41:28.718 --> 01:41:33.319]  I've written two books on it now, The Obamination and Where's the Birth Certificate?
[01:41:33.319 --> 01:41:34.560]  My Saul Alinsky book.
[01:41:35.681 --> 01:41:40.104]  You've got to see it on an electronic book, Corsi, at Amazon.com.
[01:41:40.104 --> 01:41:41.605]  All the proofs there.
[01:41:41.605 --> 01:41:44.607]  Dr. Corsi, thanks for coming on so quickly after this came out.
[01:41:44.607 --> 01:41:45.788]  Thank you so much.
[01:41:45.788 --> 01:41:46.608]  Great pleasure, Alex.
[01:41:46.608 --> 01:41:47.089]  Thank you.
[01:41:47.089 --> 01:41:47.969]  All right, there he goes.
[01:41:47.969 --> 01:41:49.911]  Folks, I'm telling you, there's no doubt now.
[01:41:49.911 --> 01:41:54.534]  His publicist for 16 years said he was born in Kenya in all these publications.
[01:41:54.534 --> 01:41:55.175]  I mean, that's it!
[01:41:56.124 --> 01:41:59.205]  He either said he was born in Kenya and lied, or he was.
[01:41:59.205 --> 01:42:00.546]  Doesn't matter.
[01:42:00.546 --> 01:42:02.286]  We're not coaxed for bringing this up.
[01:42:02.286 --> 01:42:03.807]  We've been proven right.
[01:42:03.807 --> 01:42:07.848]  I'm telling you, the president is completely compromised.
[01:42:07.848 --> 01:42:12.250]  Speaking of compromise, their ace in the hole is the stage of terror attack and blame it on us.
[01:42:12.250 --> 01:42:15.911]  We have White House advisers saying a new Oklahoma City to be blamed on the American people.
[01:42:16.351 --> 01:42:19.233]  And to demonize those that don't like globalism is the way to go.
[01:42:19.233 --> 01:42:22.156]  The film is A Noble Lie, Oklahoma City, 1995.
[01:42:22.156 --> 01:42:23.897]  Your purchase also supports what we do here.
[01:42:23.897 --> 01:42:26.339]  It's available at InfoWars.com.
[01:42:26.339 --> 01:42:29.001]  A Noble Lie, Oklahoma City, 1995.
[01:42:29.001 --> 01:42:34.145]  InfoWars.com or just go to InfoWarsShop.com or InfoWarsStore.com.
[01:42:34.145 --> 01:42:34.945]  We'll get you there.
[01:42:34.945 --> 01:42:36.907]  We also have Strategic Relocation.
[01:42:36.907 --> 01:42:38.928]  We have Farmageddon, the attack on the farmers.
[01:42:38.928 --> 01:42:40.510]  And we have the best gravity-fed filters.
[01:42:41.010 --> 01:42:42.431]  Gravity-fed filters out there.
[01:42:42.431 --> 01:42:43.372]  ProPure.
[01:42:43.372 --> 01:42:50.317]  Discounted 10% with the promo code WATER at Infowars.com or InfowarsShop.com or call 888-253-3139.
[01:42:50.317 --> 01:42:56.601]  Okay, when we come back, I'm gonna get into the normalcy, bias, and more.
[01:42:56.601 --> 01:42:57.322]  This is important.
[01:43:01.286 --> 01:43:07.930]  When you're out on the road, the last place you want to be is on the road.
[01:43:07.930 --> 01:43:13.073]  But if the unfortunate happens, you'll be glad you were wearing diamond gussets.
[01:43:13.073 --> 01:43:27.981]  There's a place down in Tennessee Where they make blue diamond gusset jeans They sew pride in every stitch Guarantee you love the way they fit
[01:43:30.308 --> 01:43:34.891]  They put a diamond gusset in the crotch, where you need it most.
[01:43:34.891 --> 01:43:38.733]  Blue diamond gussets, got it.
[01:43:38.733 --> 01:43:39.954]  Others don't.
[01:43:39.954 --> 01:43:42.095]  We turn jeans inside out.
[01:43:42.095 --> 01:43:43.896]  Diamond gusset jeans.
[01:43:43.896 --> 01:43:46.778]  Made in the USA with unparalleled quality.
[01:43:46.778 --> 01:43:53.402]  Our Defender motorcycle jeans combine gusset comfort with Kevlar protection, so you can ride all day with confidence.
[01:43:53.402 --> 01:43:56.104]  Order yours at gusset.com.
[01:43:56.104 --> 01:43:58.485]  Diamond gusset jeans, got it.
[01:43:58.485 --> 01:43:59.346]  Others don't.
[01:44:00.541 --> 01:44:06.045]  Sick of the globalist eugenicist control freaks adding poison to your water and laughing as you get sick and die?
[01:44:06.045 --> 01:44:08.466]  Start purifying your water with ProPure.
[01:44:08.466 --> 01:44:17.572]  My friends, I've done a lot of research, and the best gravity filter out there bar none is ProPure, and it's available discounted at InfoWars.com.
[01:44:17.572 --> 01:44:21.014]  Its filters are silver impregnated to prevent bacterial growth.
[01:44:21.014 --> 01:44:22.695]  There's no priming required.
[01:44:22.695 --> 01:44:24.977]  It's NSF-42 certified.
[01:44:24.977 --> 01:44:27.478]  Optional fluoride filters can reduce fluoride up to 95%.
[01:44:28.539 --> 01:44:30.060]  Easy to set up and use.
[01:44:30.060 --> 01:44:31.481]  Doesn't require electricity.
[01:44:31.481 --> 01:44:34.644]  Purify water from lakes, streams, ponds, and wells.
[01:44:34.644 --> 01:44:38.026]  This filter system leaves in beneficial minerals, which is key.
[01:44:38.026 --> 01:44:42.170]  Save money by not buying bottled water, and avoid BPA that leaches from the plastic.
[01:44:42.170 --> 01:44:44.912]  ProPure is the best gravity-fed filter out there.
[01:44:44.912 --> 01:44:46.493]  It's what my family uses.
[01:44:46.493 --> 01:44:49.796]  Infowars.com already has the lowest price on ProPure.
[01:44:49.796 --> 01:44:55.060]  But if you add the promo code WATER at checkout, you get an additional 10% off at Infowars.com.
[01:44:55.840 --> 01:45:02.465]  You can also call to order 888-253-3139.
[01:45:02.465 --> 01:45:10.572]  If you want an American company with American products made by Americans, here is the Cal Ben Soap Company.
[01:45:10.572 --> 01:45:14.635]  Alex and his staff have used these pure soap products for years.
[01:45:14.635 --> 01:45:21.961]  These all-natural soaps are made from the highest quality vegetable and coconut oils that are earth-friendly and safe.
[01:45:21.961 --> 01:45:24.763]  See them on the web at 5starsoap.com.
[01:45:24.963 --> 01:45:29.805]  Or call 800-340-7091 for a free catalog.
[01:45:29.805 --> 01:45:35.748]  Buy the 1 to 2 month sample package and enjoy soaps that are twice as good as what you're using now.
[01:45:35.748 --> 01:45:41.150]  Or save big with a 1 to 2 year supply of soaps for all your cleaning needs.
[01:45:41.150 --> 01:45:43.131]  This is an amazing deal.
[01:45:43.131 --> 01:45:48.374]  You can save thousands of dollars and you will love the way real soap makes you feel.
[01:45:48.374 --> 01:45:50.535]  See them on the web at 5starsoap.com.
[01:45:51.415 --> 01:45:59.998]  Or call 800-340-7091 for a free catalog.
[01:45:59.998 --> 01:46:04.560]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[01:46:04.560 --> 01:46:05.460]  Number one.
[01:46:05.460 --> 01:46:08.901]  New climate legislation could easily double or triple your electric bill.
[01:46:08.901 --> 01:46:09.761]  Number two.
[01:46:09.761 --> 01:46:14.643]  Our new energy czar wants to control how much power your electric company allows you to have.
[01:46:14.643 --> 01:46:15.383]  It's true.
[01:46:15.383 --> 01:46:19.945]  Total government control of electricity in the name of smart grid technology is coming.
[01:46:20.245 --> 01:46:21.066]  Number 3.
[01:46:21.066 --> 01:46:24.668]  In some areas of the country, the power grid is dangerously overloaded.
[01:46:24.668 --> 01:46:28.571]  And now, new socialist legislation is only compounding the problem.
[01:46:28.571 --> 01:46:29.371]  Number 4.
[01:46:29.371 --> 01:46:32.133]  Dangerous weather is always a threat to local grids.
[01:46:32.133 --> 01:46:35.476]  Every year, thousands of families lose their power from weather-related outages.
[01:46:35.796 --> 01:46:40.740]  Number five, a solar power generator provides powerful backup, insurance, and peace of mind.
[01:46:40.740 --> 01:46:45.804]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[01:46:45.804 --> 01:46:49.967]  You can get more information at www.mysolarbackup.com.
[01:46:49.967 --> 01:46:51.768]  That's mysolarbackup.com.
[01:46:51.768 --> 01:46:56.372]  Remember, the government doesn't own the sun, so go to mysolarbackup.com or call 1-877-327-0365.
[01:47:01.761 --> 01:47:05.342]  Coast to Coast, direct from Austin.
[01:47:05.342 --> 01:47:13.345]  You're listening to the Alex Jones Broadcasting Network.
[01:47:13.345 --> 01:47:21.108]  Crashing through the lies and disinformation, it's Alex Jones on the GCN Radio Network.
[01:47:21.108 --> 01:47:23.109]  You know, I've gotten...
[01:47:25.174 --> 01:47:27.295]  Emails here to the office have seen commas on the website.
[01:47:27.295 --> 01:47:31.196]  They say, why aren't you talking about Obama and the gay marriage thing?
[01:47:31.196 --> 01:47:39.998]  Regardless of which side of that debate you're on, they're throwing it out there as a desperate distraction to get the American people fighting with each other.
[01:47:39.998 --> 01:47:41.559]  Europe is being imploded by design.
[01:47:42.399 --> 01:47:45.121]  Our government is paying to ship our jobs to China.
[01:47:45.121 --> 01:47:47.083]  Paying to ship them, like General Motors.
[01:47:47.083 --> 01:47:48.964]  20 plus billion.
[01:47:48.964 --> 01:47:50.525]  The country is falling apart.
[01:47:50.525 --> 01:47:56.149]  They've got the Feds operating checkpoints on highways all over the nation to train us for martial law.
[01:47:56.149 --> 01:48:00.673]  They're announcing 30,000 drones run by the Pentagon to watch the American people.
[01:48:00.673 --> 01:48:05.096]  The government's using Al-Qaeda to attack Syria and to take over Libya.
[01:48:05.096 --> 01:48:06.277]  I mean, we're in trouble.
[01:48:06.277 --> 01:48:07.658]  The government's been taken over.
[01:48:09.424 --> 01:48:12.526]  And I'm not going to sit here and obsess over stuff like gay marriage.
[01:48:12.526 --> 01:48:13.947]  I'm sorry.
[01:48:13.947 --> 01:48:14.828]  That's just the way it is.
[01:48:14.828 --> 01:48:19.612]  Because I know that, sure, it's a way to break down the family.
[01:48:19.612 --> 01:48:20.752]  I get all that.
[01:48:20.752 --> 01:48:22.534]  The point is, that's already going on.
[01:48:22.534 --> 01:48:26.297]  What do you think your kid gets taught at public school?
[01:48:26.297 --> 01:48:30.219]  You better find out before you get all... The media... It's like Trayvon Martin.
[01:48:30.219 --> 01:48:34.743]  Obama, it turned out, had the Justice Department people in the mobs of people calling for race war.
[01:48:36.021 --> 01:48:39.444]  They want a race war to divert from what's happening.
[01:48:39.444 --> 01:48:42.307]  They want us fighting with each other.
[01:48:42.307 --> 01:48:45.730]  It's so simple, and I'm tired of it.
[01:48:45.730 --> 01:48:54.739]  Of course the police had the photos and videos of Zimmerman's head bashed in and nose broken, and Martin had broken knuckles.
[01:48:54.739 --> 01:49:00.004]  Of course, of course, they want a diversion right now.
[01:49:01.118 --> 01:49:03.540]  They want to get riots going.
[01:49:03.540 --> 01:49:06.863]  They want to get everybody fighting over marriage.
[01:49:06.863 --> 01:49:08.985]  That's what's happening here.
[01:49:08.985 --> 01:49:09.725]  They're desperate.
[01:49:09.725 --> 01:49:17.552]  The system wants us fighting with each other instead of looking at the foreign banks that have stolen tens of trillions from this country.
[01:49:17.552 --> 01:49:21.595]  Now, I'm going to cover this more tomorrow because I meant to do a whole report on this in detail.
[01:49:21.595 --> 01:49:22.396]  I just ran out of time.
[01:49:24.229 --> 01:49:26.551]  Most talk show hosts are leaning on their callers, not me.
[01:49:26.551 --> 01:49:29.153]  I love callers, but I just have so much to cover.
[01:49:29.153 --> 01:49:33.397]  If you want to understand why this has happened, you've got to look at four things.
[01:49:33.397 --> 01:49:35.118]  Normalcy bias.
[01:49:35.118 --> 01:49:35.699]  Write these down.
[01:49:35.699 --> 01:49:36.920]  This is homework.
[01:49:36.920 --> 01:49:40.503]  Stockholm syndrome.
[01:49:40.503 --> 01:49:42.725]  Learned helplessness.
[01:49:42.725 --> 01:49:46.188]  And cognitive dissonance.
[01:49:46.188 --> 01:49:49.390]  Now let me just read the definitions in part of all of these.
[01:49:50.319 --> 01:49:51.660]  From the encyclopedia.
[01:49:51.660 --> 01:49:59.103]  The normalcy bias, or normality bias, refers to a mental state people enter when facing a disaster.
[01:49:59.103 --> 01:50:02.365]  I've seen this when people are choking, or there's a house fire.
[01:50:02.365 --> 01:50:08.008]  Modern Americans stand around like they're spectators and wait and say, call 911.
[01:50:08.008 --> 01:50:12.130]  Like parrots, as someone's dying, as someone's bleeding to death, as someone's choking.
[01:50:12.130 --> 01:50:14.271]  They're gonna be dead when the cops get there.
[01:50:14.271 --> 01:50:15.311]  This is not normal.
[01:50:15.311 --> 01:50:16.412]  This has been imprinted.
[01:50:16.412 --> 01:50:18.133]  This is a bunch of spectators.
[01:50:19.602 --> 01:50:26.166]  This often results in situations where people fail to adequately prepare for a disaster on a large scale.
[01:50:26.166 --> 01:50:30.088]  The failure of governments to include and induce the populace.
[01:50:31.141 --> 01:50:37.164]  And include the populace in its disaster preparations, because they don't want you to be ready or involved or proactive.
[01:50:37.164 --> 01:50:44.949]  The assumption is made in the case of the normalcy bias is that since a disaster never has occurred, then it will never occur.
[01:50:44.949 --> 01:50:47.110]  You've never been home invaded, it will never happen.
[01:50:47.110 --> 01:50:50.772]  When it happens, you sit there and let them rape your wife and kill her in front of you.
[01:50:50.772 --> 01:50:55.355]  It also results in the inability of people to cope with a disaster once it occurs.
[01:50:56.314 --> 01:51:00.398]  We are under a normalcy bias, and it's much more detailed than that.
[01:51:00.398 --> 01:51:03.221]  But it dovetails with the Stockholm Syndrome.
[01:51:03.221 --> 01:51:08.225]  All of these are different descriptions for phenomenon seen in sheeple jellyfish.
[01:51:08.225 --> 01:51:20.337]  See, my problem is, you want me to give my rights up to a government to keep you safe when that government's run by foreign criminal networks that run Al-Qaeda and stage the attacks to take my rights to make me a slave.
[01:51:22.128 --> 01:51:24.351]  Here's the Stockholm Syndrome.
[01:51:24.351 --> 01:51:36.467]  In psychology, Stockholm Syndrome is an apparently paradoxical psychological phenomenon in which hostages express empathy and have positive feelings towards their captors.
[01:51:36.467 --> 01:51:38.030]  Sometimes the point of defending them.
[01:51:38.450 --> 01:51:49.540]  These feelings are generally considered irrational in light of the danger or risk enduring by the victims who essentially mistake a lack of abuse from their captors as an act of kindness.
[01:51:49.540 --> 01:51:52.562]  Well, actually, people go under Stockholm under abuse.
[01:51:52.562 --> 01:51:58.227]  They're cowards, and they believe if they make believe the person's their friend, it'll make it better.
[01:51:58.227 --> 01:52:01.970]  It's a form of playing possum.
[01:52:01.970 --> 01:52:03.291]  Now, here's learned helplessness.
[01:52:03.291 --> 01:52:04.853]  This is the closest definition.
[01:52:05.575 --> 01:52:08.056]  of what the American people and people of the West have become.
[01:52:08.056 --> 01:52:28.426]  Learned helplessness, as a technical term, is an animal psychology and related human psychology means a condition of a human person or an animal in which it has learned to behave helplessly even when the opportunity is restored for it to help itself by avoiding an unpleasant or harmful circumstance to which it has been subjected.
[01:52:29.437 --> 01:52:38.544]  Learned helplessness in the view that clinical depression and related mental illnesses may result from a perceived absence of control over the outcome of the situation.
[01:52:38.544 --> 01:52:39.325]  Yes.
[01:52:39.325 --> 01:52:42.087]  It's spectator-based.
[01:52:42.087 --> 01:52:46.270]  If you don't believe you have any power, how would you ever think you could do anything?
[01:52:46.270 --> 01:52:47.111]  Let me tell you something.
[01:52:47.111 --> 01:52:48.232]  You got power.
[01:52:48.232 --> 01:52:49.393]  That's why they tell you you don't.
[01:52:50.745 --> 01:52:53.786]  I don't want to have an armed conflict with the criminal banks that have hijacked the country.
[01:52:53.786 --> 01:52:56.207]  I'd rather take it back peacefully, but I hear this.
