[00:00:00.684 --> 00:00:01.005]  I got it.
[01:39:07.918 --> 01:39:09.780]  I guess he is real or I'll be arrested.
[01:39:09.780 --> 01:39:11.201]  Here's a short clip of that.
[01:39:11.201 --> 01:39:13.563]  How you doing, Santa?
[01:39:13.563 --> 01:39:14.564]  I'm doing great.
[01:39:14.564 --> 01:39:15.705]  I'll see you soon.
[01:39:15.705 --> 01:39:17.186]  Are you as real as Osama Bin Laden?
[01:39:18.647 --> 01:39:22.650]  I'm a whole lot more alive.
[01:39:22.650 --> 01:39:24.851]  Absolutely, there you go.
[01:39:24.851 --> 01:39:26.633]  Well, there's another fable, ladies and gentlemen.
[01:39:26.633 --> 01:39:28.314]  Merry Christmas, Alex.
[01:39:28.314 --> 01:39:31.036]  All right, take care, buddy.
[01:39:31.036 --> 01:39:33.217]  Merry Christmas.
[01:39:33.217 --> 01:39:39.942]  All right, ladies and gentlemen, now I can't even make jokes with Santa Claus, not knowing that the guy was a listener.
[01:39:39.942 --> 01:39:41.263]  I thought I would stop and
[01:39:43.123 --> 01:39:48.633]  Here at the local shopping mall, I get him to make a comment about Bin Laden not being real.
[01:39:48.633 --> 01:39:51.417]  And lo and behold, the guy was a listener.
[01:39:51.417 --> 01:39:53.701]  So Alex Jones signing off for InfoWars.com
[01:39:57.907 --> 01:40:00.868]  Okay, we've got our final segment coming up.
[01:40:00.868 --> 01:40:12.814]  I'm not going to have time to air the Mark Moreno highlights of an extended interview Jakari Jackson did with him on Friday, but I will air that tomorrow on the weekday show.
[01:40:12.814 --> 01:40:20.398]  Also, I've known Joe Rogan since about 1998, an accomplished comic and a very interesting person.
[01:40:21.378 --> 01:40:24.300]  And I've known Joe, you know, really well for a long time.
[01:40:24.300 --> 01:40:32.684]  He invited me out to see a show last night, sold out here in Austin at the Moody Theater at the W, and I did my best interview ever with Joe.
[01:40:32.684 --> 01:40:38.268]  We got about a 45 minute interview conducted at the start and at the end of his
[01:40:39.850 --> 01:40:39.990]  Yes.
[01:41:10.611 --> 01:41:15.336]  Uh, than, you know, Howard Stern's been on the internet.
[01:41:15.336 --> 01:41:18.319]  And it's really an example of what I've been able to do.
[01:41:18.319 --> 01:41:27.029]  It just shows how big dominant corporate media cannot contend with somebody that is not wearing blinders, somebody that's not going through a filter.
[01:41:28.494 --> 01:41:38.117]  And let me tell you, folks, it is quite a responsibility to know there's nobody out there to stop what I can say on the radio.
[01:41:38.117 --> 01:41:45.659]  There's no gatekeepers, there's nobody controlling me but my own conscience and the fact that I need to have responsibility in what I cover.
[01:41:45.659 --> 01:41:48.500]  And I know a lot of this stuff sounds absolutely insane.
[01:41:48.500 --> 01:41:50.961]  It's because the elites are insane.
[01:41:50.961 --> 01:41:56.483]  I mean, if you look at elites throughout history, it's rare when they're not megalomaniacs and out of control.
[01:41:57.714 --> 01:42:04.896]  And it's time for those of us that want to live in a free society and don't want to be slaves to step up, because good people don't crave power.
[01:42:04.896 --> 01:42:07.777]  Sickos crave power, so they tend to get in power over and over again.
[01:42:07.777 --> 01:42:12.479]  And it's time for us to step up and say no to the New World Order.
[01:42:12.479 --> 01:42:16.420]  Also, now that I have a bunch of extra editors and reporters, we've really got them
[01:42:19.338 --> 01:42:21.581]  In prime shape now.
[01:42:21.581 --> 01:42:26.628]  And we are just going to churn out some bombshell reports this week.
[01:42:26.628 --> 01:42:29.733]  Bombshell stuff this week on the weekday radio show.
[01:42:29.733 --> 01:42:31.295]  That's all I'm going to say.
[01:42:31.295 --> 01:42:31.815]  Bombshell.
[01:42:33.206 --> 01:42:34.407]  Bombshell.
[01:42:34.407 --> 01:42:36.329]  Bombshell with Ron Paul.
[01:42:36.329 --> 01:42:38.530]  Bombshell with Joe Rogan.
[01:42:38.530 --> 01:42:42.053]  Bombshell with some other stuff I'm not going to even mention here on air.
[01:42:42.053 --> 01:42:45.536]  It's going to be a bombshell week coming up.
[01:42:45.536 --> 01:42:50.300]  And when we come back, I go after JPMorgan Chase.
[01:42:50.300 --> 01:42:51.021]  Stay with us.
[01:42:51.021 --> 01:42:52.302]  I'm Alex Jones, your host.
[01:42:52.302 --> 01:42:54.684]  We're streaming video at PrisonPlanet.TV.
[01:42:54.684 --> 01:42:55.384]  Stay with us.
[01:43:01.354 --> 01:43:11.978]  The Silver Lungs Generator is the only all-encompassing professional class product for producing endless colloidal and ionic silver solutions right from the convenience of your home.
[01:43:11.978 --> 01:43:23.143]  With recent regulations threatening the sale of silver-based supplements, now you can secure yourself and your family by producing your own silver solutions anywhere, anytime.
[01:43:23.143 --> 01:43:30.426]  You can have the peace of mind knowing that you can create endless supply of silver anytime, anywhere, for any application.
[01:43:30.686 --> 01:43:37.891]  The Silver Lungs Generator is a one-time purchase that requires no maintenance nor replacement parts for the life of the unit.
[01:43:37.891 --> 01:43:42.674]  This product was designed to be an invaluable part of your vital preparations.
[01:43:42.674 --> 01:44:00.046]  For a detailed report on the differences between ionic silver, colloidal silver, and what most silver solution manufacturers are producing, please visit our website at www.silverlungs.com for more information on why you should be producing your own silver solutions right from your home, forever.
[01:44:01.046 --> 01:44:06.833]  Sodium fluoride in the body reduces IQ and increases cancers.
[01:44:06.833 --> 01:44:14.200]  Unfortunately, fluoride and its derivatives are only one of hundreds of toxins being added to our drinking water.
[01:44:14.200 --> 01:44:16.943]  We're battling the globalist on so many fronts.
[01:44:16.943 --> 01:44:22.989]  Health is an area where we can all take control of our lives and it all starts with that basic building block of water.
[01:44:23.650 --> 01:44:26.693]  It is time to purify our family's water.
[01:44:26.693 --> 01:44:33.560]  The ProPure filtration system with added fluoride filters is the best system for my research to protect you and your family.
[01:44:33.560 --> 01:44:38.865]  Infowarstore.com already has the lowest prices on ProPure water filtration.
[01:44:38.865 --> 01:44:41.667]  But until December 10th, we are going to offer 15%
[01:44:42.568 --> 01:44:42.968]  We're good.
[01:45:00.327 --> 01:45:03.389]  Have you ever wanted to generate your own supply of electrical power?
[01:45:03.389 --> 01:45:05.371]  Even save money on your electric bill?
[01:45:05.371 --> 01:45:08.994]  If so, this could be one of the most important messages you will ever hear.
[01:45:08.994 --> 01:45:11.195]  Solar power generators are now available.
[01:45:11.195 --> 01:45:14.838]  These emergency backup systems provide life-saving electrical power.
[01:45:14.838 --> 01:45:20.922]  Unlike gas generators, a solar generator runs quietly, emits no fumes, and produces electricity from the sun.
[01:45:20.922 --> 01:45:24.285]  It's like having an electrical power plant running quietly in your own home.
[01:45:24.625 --> 01:45:29.370]  Run sump pumps, shortwave radios, computers, and even keep your food from spoiling.
[01:45:29.370 --> 01:45:35.355]  Whether it's hurricanes, ice storms, brownouts or blackouts, you'll never suffer through painful power outages again.
[01:45:35.355 --> 01:45:36.616]  And here's the best news.
[01:45:36.616 --> 01:45:39.799]  A remarkable fall truckload sale is going on right now.
[01:45:39.799 --> 01:45:43.723]  It gets you $1,700 in bonuses when you buy a solar generator.
[01:45:43.723 --> 01:45:47.786]  To find out why these solar generators are the best generators, and get $1,700 in bonuses for doing so,
[01:45:49.528 --> 01:45:51.552]  Go to falltruckloadsale.com.
[01:45:51.552 --> 01:45:53.636]  That's falltruckloadsale.com.
[01:45:53.636 --> 01:45:55.801]  Generate your own supply of electricity.
[01:45:55.801 --> 01:45:57.865]  Go to falltruckloadsale.com.
[01:45:57.865 --> 01:45:59.668]  That's falltruckloadsale.com.
[01:46:01.656 --> 01:46:07.260]  We have witnessed two terrible storms in the East, but we are still in the eye of the perfect storm.
[01:46:07.260 --> 01:46:10.483]  The most devastating economic condition since the Great Depression.
[01:46:10.483 --> 01:46:13.305]  America's worst drought in agricultural history.
[01:46:13.305 --> 01:46:16.327]  And now the economic results of the presidential election.
[01:46:16.327 --> 01:46:19.849]  This perfect storm is a huge threat to everyone's food supply.
[01:46:19.849 --> 01:46:25.033]  I just doubled down and got even more supplies from Eat Foods Direct, and I recommend you do the same.
[01:46:25.033 --> 01:46:27.115]  It's time to get your own supply from Eat Foods Direct.
[01:46:27.695 --> 01:46:31.357]  I know I won't be standing in a bread line trading my freedom for food.
[01:46:31.357 --> 01:46:33.459]  I'm taking control of my future.
[01:46:33.459 --> 01:46:35.140]  And you're nuts if you don't do the same.
[01:46:35.140 --> 01:46:39.042]  Go to efoodsdirect.com forward slash Alex to find the specials.
[01:46:39.042 --> 01:46:41.484]  And you can start with a holiday gift pack that's normally $80, now under $50.
[01:46:43.445 --> 01:46:45.967]  Remember, I can warn you but I can't feed you.
[01:46:45.967 --> 01:46:51.432]  Call 800-409-5633 or efoodsdirect.com forward slash Alex.
[01:46:51.432 --> 01:46:54.575]  Would you rather prepare six months too early or one day too late?
[01:46:54.575 --> 01:47:01.681]  409-5633 or efoodsdirect.com forward slash Alex.
[01:47:01.681 --> 01:47:03.222]  Coast to Coast.
[01:47:03.222 --> 01:47:05.264]  Direct from Austin.
[01:47:05.264 --> 01:47:08.467]  You're listening to the Alex Jones Broadcasting Network.
[01:47:10.836 --> 01:47:18.219]  From the front lines of the information war, it's Alex Jones.
[01:47:18.219 --> 01:47:23.722]  Alright, I'm going to get into this piece on JPMorgan Chase, the biggest shareholder of the private Federal Reserve.
[01:47:23.722 --> 01:47:26.923]  It is originally financed by the Rothschilds.
[01:47:26.923 --> 01:47:30.545]  If you're a radio listener, when we play this report, we have video.
[01:47:30.545 --> 01:47:36.488]  When I say the Rothschilds and Rockefellers have merged their banks and their family fortunes, we show mainstream news.
[01:47:37.408 --> 01:47:39.189]  When I make a claim, we show it.
[01:47:39.189 --> 01:47:43.612]  So, this is radio with the documentation.
[01:47:43.612 --> 01:47:50.317]  And if radio listeners want to see the video, it's posted in a red link at InfoWars.com.
[01:47:50.317 --> 01:47:55.540]  And the report is titled, The Destruction of America, brought to you by JPMorgan Chase.
[01:47:55.540 --> 01:47:58.422]  Here is this special report.
[01:47:58.422 --> 01:48:02.025]  And I want to be clear, the people that work for the big megabanks are not bad people.
[01:48:02.865 --> 01:48:07.109]  Even a lot of the mid-level folks are not bad, and they have real divisions that do real things.
[01:48:07.109 --> 01:48:15.177]  But at its top, it is a predatory group, engineering the controlled takeover of this country.
[01:48:15.177 --> 01:48:24.385]  This is the foreign group that has conquered our republic and wants to run it into the ground, into receivership, so they can buy everything up for pennies on the dollar.
[01:48:24.385 --> 01:48:25.066]  Here is that report.
[01:48:25.646 --> 01:48:32.890]  Alex Jones here to report on one of the most sickening displays of high-tech propaganda I have ever witnessed.
[01:48:32.890 --> 01:48:44.016]  Since the week of Thanksgiving, the airwaves have been bombarded with a commercial paid for and produced by JPMorgan Chase.
[01:48:44.776 --> 01:48:53.584]  Showing iconic images of soldiers returning home and the 9-11 attacks and people toasting each other over turkeys.
[01:48:53.584 --> 01:48:55.886]  The very essence of Americana.
[01:48:55.886 --> 01:48:59.129]  Looks like it was directed by Steven Spielberg.
[01:48:59.129 --> 01:49:04.915]  Let's analyze and break down this sickening piece of propaganda.
[01:49:04.915 --> 01:49:07.917]  Let's give thanks for an idea.
[01:49:10.330 --> 01:49:13.533]  A grand idea called America.
[01:49:13.533 --> 01:49:18.959]  Deathly conjuring an image that only existed in Norman Rockwell's America.
[01:49:18.959 --> 01:49:31.773]  We are then told finally that this image of a beautiful and strong America is brought to you by JPMorgan Chase, the very authors of our decline and eventual collapse.
[01:49:32.313 --> 01:49:51.290]  It is incredibly painful to see them putting out this pro-family, pro-America image so that they can brand themselves to it, so they can tie themselves to it, when they are at the heart of destroying our republic and taking this country into debt bondage.
[01:49:51.290 --> 01:49:53.232]  Let's analyze this piece a little bit further.
[01:49:53.872 --> 01:50:10.291]  Imagine the cold-blooded calculation that when you're all sitting around watching the football game after enjoying the turkey with your family, grandma's there, the grandchildren are there, the fire's going, and you're bombarded every 10 minutes because I was watching football with family as well with
[01:50:10.831 --> 01:50:11.912]  JPMorgan Chase.
[01:50:11.912 --> 01:50:13.353]  JPMorgan Chase.
[01:50:13.353 --> 01:50:15.114]  They bring you America.
[01:50:15.114 --> 01:50:17.095]  They bring you prosperity.
[01:50:17.095 --> 01:50:18.456]  They bring you freedom.
[01:50:18.456 --> 01:50:26.582]  When they are steering this country towards economic collapse, because that's how they conquer you, is by economic fraud.
[01:50:26.582 --> 01:50:34.867]  They want you in debt to them for nothing but zeros and ones that they created fraudulently on their derivative sheet.
[01:50:34.867 --> 01:50:39.570]  In his farewell address to Congress, Ron Paul pointed out who the real enemy is.
[01:50:39.570 --> 01:50:40.271]  The megabanks.
[01:50:41.291 --> 01:50:45.514]  He called them authoritarian psychopaths.
[01:50:45.514 --> 01:50:51.737]  Psychopathic authoritarians endorse government-initiated force to change the world.
[01:50:51.737 --> 01:51:00.943]  He went on to point out the fact that when Americans lost their homes, Goldman Sachs, JP Morgan, Bank of America, Wells Fargo, and others
[01:51:02.617 --> 01:51:03.017]  I think?
[01:51:22.296 --> 01:51:27.280]  The truth is that Wall Street regulates the Congress.
[01:51:27.280 --> 01:51:30.242]  They have untold, unlimited amounts of money.
[01:51:30.242 --> 01:51:34.105]  Money which they use, by the way, to get the deregulation.
[01:51:34.105 --> 01:51:37.628]  Then, they implode the economy in 2008.
[01:51:37.628 --> 01:51:43.853]  Threaten martial law if the government doesn't shine on to their too-big-to-fail derivatives.
[01:51:43.853 --> 01:51:45.674]  And they did the same thing in Europe.
[01:51:45.674 --> 01:51:49.297]  Three bailouts later, the people are more poor than ever.
[01:51:49.297 --> 01:51:50.839]  The taxes are sky high.
[01:51:51.559 --> 01:51:54.443]  And the tax money is going to Goldman Sachs, J.P.
[01:51:54.443 --> 01:51:58.267]  Morgan and others, who again brag that they've conquered the world.
[01:51:58.267 --> 01:52:01.612]  Aren't we all just living and dying for what the central banks do?
[01:52:01.612 --> 01:52:05.596]  To answer your question, we are absolutely slaves to central banks.
[01:52:05.596 --> 01:52:09.021]  We'd love to be slaves to the economy, but the economic numbers continue to do nothing but...
[01:52:09.421 --> 01:52:11.583]  Is this global governance at last?
[01:52:11.583 --> 01:52:14.104]  Is it one world, the central bankers in charge?
[01:52:14.104 --> 01:52:24.771]  If authoritarianism leads to poverty and war and less freedom for all individuals, and is controlled by rich special interests, the people should be begging for liberty.
[01:52:24.771 --> 01:52:29.694]  I think it's important to also note that they say America is about being a free market.
[01:52:29.694 --> 01:52:34.337]  Free markets, free enterprise, and free refills.
[01:52:35.859 --> 01:52:46.344]  So JPMorgan Chase implies that they are free market when their entire business model is designed around government bailouts and government contracts.
[01:52:46.344 --> 01:52:53.508]  And when Goldman Sachs and JPMorgan are at the core of pushing planned economies via Agenda 21.
[01:52:54.668 --> 01:53:09.232]  Their business model is shutting down their competition using government regulation and then exempting themselves from those regulations while becoming bloated on the blood, sweat, and tears of the American people via corporate welfare.
[01:53:09.232 --> 01:53:14.293]  The circumstances surrounding JP Morgan, how big an opportunity is this right now?
[01:53:14.733 --> 01:53:17.054]  The American people are angry at Wall Street.
[01:53:17.054 --> 01:53:18.215]  You know what they want?
[01:53:18.215 --> 01:53:22.838]  They want our financial institutions to invest in the real economy.
[01:53:22.838 --> 01:53:25.859]  They want Wall Street to be lending money to businesses.
[01:53:25.859 --> 01:53:29.101]  JPMorgan claims they want to get America moving in this ad.
[01:53:29.101 --> 01:53:31.823]  That they want to see that entrepreneurial spirit thrive.
[01:53:32.623 --> 01:53:46.999]  While making investments in China where they have no carbon tax, JP Morgan is at the center of driving a program to shut down the majority of power plants in the country and quote, bankrupt coal, which is projected to more than double the price of electricity.
[01:53:47.580 --> 01:53:57.289]  JPMorgan Chase and the other five megabanks are diametrically opposed to a real free market and a true system with competition and private property.
[01:53:57.289 --> 01:54:02.574]  They can only exist via a government license to operate their private Federal Reserve.
[01:54:03.174 --> 01:54:21.833]  While people like Jamie Dimon, who they're now pushing to be the new Treasury Secretary, sits on the highest levels of the private Federal Reserve Board while he sits as the head of JPMorgan Chase, giving trillions of dollars of free credit to himself and his shareholders.
[01:54:22.694 --> 01:54:27.838]  That gives new meaning to conflict of interest and Fox guarding the hen house.
[01:54:27.838 --> 01:54:30.380]  And who owns the private Federal Reserve?
[01:54:30.380 --> 01:54:32.542]  The Rockefellers and the Rothschilds.
[01:54:32.542 --> 01:54:35.264]  Twelve years ago, they merged their banks.
[01:54:35.264 --> 01:54:38.647]  In 2012, they publicly merged their family fortunes.
[01:54:38.647 --> 01:54:40.848]  I'm not just talking to people in the United States.
[01:54:40.848 --> 01:54:42.350]  I'm talking to humans worldwide.
[01:54:42.950 --> 01:54:45.152]  We are under bankster occupation.
[01:54:45.152 --> 01:54:46.593]  They think you're stupid.
[01:54:46.593 --> 01:54:48.815]  They think you don't understand finance.
[01:54:48.815 --> 01:54:51.277]  They think you don't understand what fraud is.
[01:54:51.277 --> 01:55:00.385]  This is a criminal takeover by a group of globalists that have given themselves unlimited capital through fiat fraudulent derivatives.
[01:55:00.385 --> 01:55:09.293]  I want to close with a quote by one of our greatest founding fathers, Thomas Jefferson, because he understood who the enemy was 230 plus years ago.
[01:55:10.814 --> 01:55:13.596]  We need to understand who the enemy is today.
[01:55:13.596 --> 01:55:30.308]  If the American people ever allow private banks to control the issue of their currency, first by inflation, then by deflation, the banks and corporations that will grow up around them will deprive the people of all property until their children wake up homeless on the continent their fathers conquered.
[01:55:31.028 --> 01:55:36.190]  I believe that banking institutions are more dangerous to our liberties than standing armies.
[01:55:36.190 --> 01:55:43.453]  The issuing power should be taken from the banks and restored to the people to whom it properly belongs.
[01:55:43.453 --> 01:55:45.173]  Thomas Jefferson.
[01:55:45.173 --> 01:55:46.854]  The issuing power.
[01:55:46.854 --> 01:55:57.178]  They can issue unlimited fraudulent derivatives paper and then have government sign on to the fraud they created and declare us their debt slaves.
[01:55:58.436 --> 01:56:05.373]  I'm Alex Jones for Infowars.com, and if you are watching this transmission, remember, you are the resistance!
[01:56:07.435 --> 01:56:15.641]  Alright, there is that report, and it's only the tip of the iceberg, but here's the Hill newspaper, Senator Hatch, Obama fiscal proposal, classic bait-and-switch.
[01:56:15.641 --> 01:56:17.063]  Well, it's a lot worse than that.
[01:56:17.063 --> 01:56:21.586]  I mean, when scum like Hatch is saying Obama's bad, look out.
[01:56:21.586 --> 01:56:24.028]  Because, I mean, you know, what he's saying is true.
[01:56:24.028 --> 01:56:28.892]  He says what Obama proposed this week was a classic bait-and-switch on the American people.
[01:56:29.492 --> 01:56:43.970]  A tax increase double the size of what he campaigned on, billions of dollars in new stimulus spending, it'd be given to their friends I would add, and an unlimited, this is his quote, unchecked authority to borrow from the Chinese, Senator Orrin Hatch.
[01:56:43.970 --> 01:56:46.112]  See, the globalist made a deal.
[01:56:47.523 --> 01:57:00.111]  Decades ago, back in the 70s, to let China leverage out all competition because nobody can compete with slave labor and suicide nets and forced abortions at the Apple Foxconn factories.
[01:57:00.111 --> 01:57:04.534]  And just like we can't compete with 30 million illegal aliens that'll work for less and they get welfare.
[01:57:04.534 --> 01:57:07.096]  It's designed to make everybody poor except for the ultra-rich.
[01:57:07.976 --> 01:57:10.097]  And that's the system that we're facing here.
[01:57:10.097 --> 01:57:11.978]  This is the system we're dealing with.
[01:57:11.978 --> 01:57:15.019]  Goldman Sachs, JP Morgan are the two biggest contributors to Obama.
[01:57:15.019 --> 01:57:16.500]  They were also to Romney.
[01:57:16.500 --> 01:57:18.280]  They want him to get us further into debt.
[01:57:18.280 --> 01:57:19.901]  It's all zeros and ones.
[01:57:19.901 --> 01:57:20.741]  They loan us.
[01:57:20.741 --> 01:57:22.062]  And then when we go belly up...
[01:57:22.984 --> 01:57:33.874]  With the increased taxes and the rest of it that stole the economy, they'll come in and pose as the saviors again with a VAT and a carbon tax to, quote, get the country going again.
[01:57:33.874 --> 01:57:36.357]  The power to tax is the power to destroy.
[01:57:36.357 --> 01:57:37.718]  Understand it.
[01:57:37.718 --> 01:57:40.421]  We either stand against this or America is dead.
[01:57:40.421 --> 01:57:42.603]  This is a new dark age that globalists are forming.
[01:57:42.603 --> 01:57:43.483]  Great job of the crew.
[01:57:43.483 --> 01:57:44.344]  God bless you all.
[01:57:44.344 --> 01:57:45.525]  See you back tomorrow.
[01:57:45.525 --> 01:57:45.766]  11 a.m.
[01:57:45.766 --> 01:57:47.387]  Central, InfoWars.com.
