[00:00:00.049 --> 00:00:01.309]  That's the law required.
[00:30:38.039 --> 00:30:42.361]  GCN has just discovered a new bioactive superfood for garden plants, flowers, and herbs.
[00:30:42.562 --> 00:30:50.446]  It's called ProtoGrow and it's so effective at producing rapid plant growth that it seems to almost force plants to grow like crazy under practically any soil and light conditions.
[00:30:50.766 --> 00:30:53.588]  Now here's the best part for our listeners who garden for self-reliance.
[00:30:53.889 --> 00:31:01.415]  Proto-Gro's unique blend of sea nutrients maximizes mineral uptake and dramatically increases bloom set, creating maximum plant growth in minimum time.
[00:31:01.515 --> 00:31:07.119]  Proto-Gro works by providing geometric keys which have the capacity to actually unlock the genetic code for nutritional uptake in plants.
[00:31:07.340 --> 00:31:12.904]  Proto-Gro's full spectrum plant fertility means fruits and vegetables with extraordinary taste and up to 10 times the nutritional value.
[00:31:13.184 --> 00:31:16.427]  And if you want to double or triple the potency of herbs or wheatgrass, you can.
[00:31:16.707 --> 00:31:20.071]  If you want to grow nutritionalized superfoods with non-hybrids, it's now easy.
[00:31:20.311 --> 00:31:25.337]  GCN listeners who want to grow Derv sheep superfoods should visit the Proto-Gro website at growlikecrazy.com.
[00:31:25.377 --> 00:31:28.240]  That's www.growlikecrazy.com or call 877-327-0365.
[00:31:28.300 --> 00:31:28.540]  That's 877-327-0365.
[00:31:35.160 --> 00:31:38.925]  Do you need more than just the constant news of impending tyranny?
[00:31:39.305 --> 00:31:46.575]  Yes, this is Elizabeth Porter, back with The Divided Kingdom, the hour that analyzes spiritual and cultural issues, too.
[00:31:46.595 --> 00:31:52.042]  Lou Blanchard and I are delighted, thanks in large part to past listeners' lobbying efforts,
[00:31:52.422 --> 00:31:58.028]  Now to be on the great Genesis Communications Network Monday through Friday at 6 p.m.
[00:31:58.108 --> 00:31:58.548]  Central.
[00:31:58.909 --> 00:32:04.534]  Formidable Alex Jones says, this is the network often imitated but never duplicated.
[00:32:04.855 --> 00:32:10.741]  Lou and I made the conscious decision to move to GCN because of its classy lineup and leadership.
[00:32:11.221 --> 00:32:15.962]  We invite you to hear our program, one we pray will strengthen and bless you.
[00:32:16.362 --> 00:32:21.143]  Indeed, trouble is part of the story, but the fellowship of faith surpasses it.
[00:32:21.583 --> 00:32:22.884]  Tune in at 6 p.m.
[00:32:22.964 --> 00:32:23.384]  Central.
[00:32:23.964 --> 00:32:31.366]  Also, be sure to visit our Tuesday guest host, Dr. Carl Sanders' website, trumpetmen.org.
[00:32:33.985 --> 00:32:34.565]  It's a fact.
[00:32:34.765 --> 00:32:39.188]  You can legally eliminate credit card debt, which has been fraudulently created by the banks.
[00:32:39.528 --> 00:32:44.730]  Since its creation in 1913, the Federal Reserve has not been held responsible for its own debt.
[00:32:45.011 --> 00:32:48.212]  So why should you, the hard-working American, be harassed for yours?
[00:32:48.472 --> 00:32:55.576]  There's a double standard when it comes to being responsible for debt, and unlike the Federal Reserve, the people of this country can't print more money when needed.
[00:32:55.936 --> 00:33:03.125]  Day of Jubilee has created a successful program designed for people that want to stop harassing calls and threatening letters from bill collectors.
[00:33:03.365 --> 00:33:05.468]  This is not a debt consolidation company.
[00:33:05.888 --> 00:33:10.794]  Join the thousands of Americans who now breathe a sigh of relief because they have legally eliminated
[00:33:10.794 --> 00:33:11.334]  We're good to go.
[00:33:51.158 --> 00:33:55.326]  Don't you know that it's time to get on board?
[00:33:55.566 --> 00:34:02.358]  And let this train keep on riding, riding on.
[00:34:17.045 --> 00:34:21.528]  It's about to strain your love drain.
[00:34:22.569 --> 00:34:37.139]  All of you brothers over in Africa, tell all the folks in Egypt and Israel, please don't miss this great reputation.
[00:34:37.279 --> 00:34:39.100]  Folks, if you miss it,
[00:34:46.724 --> 00:34:50.485]  Yeah, we've played this song.
[00:35:08.829 --> 00:35:21.957]  A few times this week, because I was just reminded that it was one of hundreds of songs banned, just remember that, by Clair Channel and others, in the months leading up and a few months after the attack on Iraq in 2003.
[00:35:21.997 --> 00:35:27.220]  That's the level of psychological control.
[00:35:28.761 --> 00:35:35.464]  And some will say, well that's a commie song, you know, they use that world peace and love thing as a front for their world government.
[00:35:37.466 --> 00:35:37.866]  And they do.
[00:35:38.639 --> 00:35:45.063]  Anything good, anything laudable, anything uplifting, the New World Order is going to try to take control of or counterfeit.
[00:35:46.724 --> 00:35:55.028]  But I assure you, you may see corruption and backstabbing and subterfuge in your daily lives.
[00:35:55.369 --> 00:36:06.415]  You may see problems with your fellow man, but I assure you, the evil you see out of the general public is nothing on average compared to what we will find in elite circles.
[00:36:09.520 --> 00:36:14.103]  The New World Order is totally and completely out of control in every way.
[00:36:15.603 --> 00:36:20.987]  I know we've got Sean in Australia, Chris in Canada, Linda, Joe, David, Linda, many others.
[00:36:21.327 --> 00:36:28.090]  I'm going to go to your calls here in a few minutes, then we've got a very interesting guest joining us coming up in the next hour, but we will have open phones throughout the broadcast.
[00:36:28.891 --> 00:36:35.855]  And I've just got a host of things I want to cover, but we already talked about the communicable cancers.
[00:36:36.818 --> 00:36:37.539]  We're good to go.
[00:36:55.365 --> 00:36:57.546]  That grow chemicals in the corn.
[00:36:57.867 --> 00:37:03.590]  I mean, where the corn literally has different high-tech, very expensive chemicals.
[00:37:03.750 --> 00:37:05.771]  I mean, that's what engineering can do now.
[00:37:06.211 --> 00:37:22.041]  Where the plant will actually create little polyps of a different type of chemical, or polyps of a particular type of AIDS virus, HIV virus, or different types of, you know, other pathogens, or live agents, or bacteria.
[00:37:23.895 --> 00:37:25.575]  Amazing what plants can do.
[00:37:28.396 --> 00:37:36.338]  And there are literally thousands of different varieties of genetically engineered plants, mainly food crops.
[00:37:38.738 --> 00:37:52.421]  And I remember seeing articles ten years ago where the UN was funding studies of, you know, an HIV inoculation in a potato, or in corn, or hepatitis
[00:37:53.653 --> 00:38:01.057]  Antibodies, or hepatitis virus that would then supposedly cause you to have the antibodies, a weakened hepatitis, or an altered hepatitis.
[00:38:02.057 --> 00:38:06.039]  And, oh, we're going to bring it and plant it in Africa, and we're going to feed it to the people.
[00:38:07.480 --> 00:38:09.261]  Oh, those Africans, they're ignorant.
[00:38:10.101 --> 00:38:11.962]  They will starve.
[00:38:12.422 --> 00:38:13.483]  They will refuse.
[00:38:13.523 --> 00:38:14.783]  They let it rot at the docks.
[00:38:14.843 --> 00:38:15.644]  The governments do.
[00:38:16.024 --> 00:38:22.567]  When the big free ships come in with the huge granaries filled with corn and wheat,
[00:38:24.671 --> 00:38:29.115]  And all these other grains, they just won't eat it, those dumb Africans.
[00:38:29.235 --> 00:38:41.366]  Oh, the Africans, when the UN comes to give their children inoculations, from Central Africa to the West Coast to the Sahara, to Southern Africa and Zimbabwe, why, they will run into the woods!
[00:38:41.426 --> 00:38:42.908]  They will run into the jungles!
[00:38:44.033 --> 00:38:46.555]  And then you can pull up articles where it says, but the U.N.
[00:38:46.595 --> 00:39:03.869]  has a mandate, so they pay the local soldiers, and the local soldiers go and forcibly make the families come to the centers for their own good, and to the local sports stadiums, usually the soccer stadium, and then they lovingly inject them, those dumb Africans.
[00:39:04.870 --> 00:39:06.191]  They're just ignorant.
[00:39:07.092 --> 00:39:10.235]  Folks, a hundred years ago, because I've read the accounts,
[00:39:11.667 --> 00:39:12.987]  I've read many National Geographics.
[00:39:13.027 --> 00:39:13.868]  I've read books on it.
[00:39:14.288 --> 00:39:16.228]  I go through different phases back when I had time to read.
[00:39:16.248 --> 00:39:25.531]  I read a lot of books about, you know, the English and the Dutch and others and French colonists 200 years ago, 300 years ago in Africa, 100 years ago.
[00:39:25.611 --> 00:39:27.852]  I mean, they would beg you to give them big medicine.
[00:39:28.172 --> 00:39:35.474]  Because back then, let me tell you, the Western doctors didn't come with cancer virus and HIV virus laden injections.
[00:39:36.754 --> 00:39:38.675]  Of course, again, the doctors themselves aren't part of it.
[00:39:38.735 --> 00:39:40.295]  They think they're giving them the good medicine.
[00:39:41.007 --> 00:39:45.451]  I mean, the Africans, you know, they wanted the big medicine, because back then the white man did have the big medicine.
[00:39:46.272 --> 00:39:48.213]  I mean, we're talking big medicine!
[00:39:48.253 --> 00:39:48.834]  Ooga booga!
[00:39:49.835 --> 00:39:54.278]  And the witch doctors wanted to know what their big medicine was.
[00:39:56.921 --> 00:39:57.881]  Not anymore, folks.
[00:39:58.422 --> 00:39:58.642]  Okay?
[00:39:58.662 --> 00:40:02.786]  Because they're down to earth, and they know, you take that stuff, bad stuff starts happening.
[00:40:03.606 --> 00:40:04.587]  Village gets sick.
[00:40:05.568 --> 00:40:06.629]  Village gets Ebola.
[00:40:07.690 --> 00:40:12.128]  Scientists, you know, big medicine men come, then most of the village die.
[00:40:14.139 --> 00:40:15.420]  And those are the accounts now.
[00:40:15.520 --> 00:40:19.242]  They literally run screaming with their children in their arms.
[00:40:19.883 --> 00:40:31.910]  Not the dumb Americans, not the know-it-all white bread yuppies, not the know-it-all blacks in America, not the know-it-all Mexicans, not the know-it-all, you know, the fat, dumb, and happy Americans.
[00:40:32.551 --> 00:40:34.152]  We got it all figured out.
[00:40:34.192 --> 00:40:39.015]  By the way, in southern Mexico down there with the Yucatan and other areas,
[00:40:39.776 --> 00:40:41.717]  Those people won't take an inoculation.
[00:40:41.737 --> 00:40:42.497]  They run from it.
[00:40:42.857 --> 00:40:44.418]  They don't want the government's medicine.
[00:40:44.438 --> 00:40:47.479]  Because they're not stupid, ladies and gentlemen.
[00:40:47.839 --> 00:40:53.421]  They can see that their baby takes the shot and an hour later is having convulsions and word spreads.
[00:40:53.681 --> 00:40:55.902]  You don't take that stuff, okay?
[00:40:57.483 --> 00:40:58.924]  You don't take their medicine.
[00:41:02.825 --> 00:41:06.466]  So we can learn a little from the aboriginal people of Latin America.
[00:41:06.486 --> 00:41:07.667]  A little bit from the Africans.
[00:41:08.405 --> 00:41:10.948]  And a little bit from the tribes in Asia.
[00:41:12.210 --> 00:41:13.691]  Oh, they're just ignorant savages.
[00:41:13.731 --> 00:41:14.452]  They won't take it.
[00:41:14.833 --> 00:41:15.854]  They don't trust us.
[00:41:16.274 --> 00:41:17.276]  They did in the past!
[00:41:17.996 --> 00:41:19.378]  Because they saw cause and effect.
[00:41:20.680 --> 00:41:23.543]  Alright, I said I'd go to your calls, but this is important stuff here.
[00:41:25.565 --> 00:41:28.529]  With that said, let me just read one article.
[00:41:30.029 --> 00:41:37.552]  Now again, this is in German medical journals, this is in university studies from China to Germany to England to the US.
[00:41:37.592 --> 00:41:39.393]  Remember, they don't put it all together in one article though.
[00:41:40.153 --> 00:41:52.378]  On Monday I was covering how this very BT corn has been conclusively linked in multiple studies to causing an intestinal change in the honey bee.
[00:41:52.639 --> 00:41:53.979]  Now most insects won't eat this.
