[00:00:00.289 --> 00:00:05.313]  ...to say Merry Christmas, then giving a gift of safety and security from Pepperspray.com!
[01:47:01.819 --> 01:47:03.920]  Heart and Body Extract, 866-295-5305.
[01:47:04.080 --> 01:47:07.802]  Or HBextract.com.
[01:47:11.164 --> 01:47:15.947]  You're listening to GCN, the Genesis Communications Radio Network.
[01:47:20.387 --> 01:47:30.884]  Coming to you from the capital of Texas, broadcasting the truth coast to coast and worldwide, this is the Alex Jones Show.
[01:47:31.906 --> 01:47:34.630]  Yeah, time flies when you're fighting the new world order.
[01:47:37.995 --> 01:47:40.216]  Look, I want to go to Paula, Kat, and everybody else that's holding me.
[01:47:40.237 --> 01:47:43.679]  You're calling it about the police state I covered in the first 45 minutes, 40 minutes.
[01:47:44.339 --> 01:47:46.260]  Tomorrow I'll be covering that on the weekday show in detail.
[01:47:46.601 --> 01:47:50.483]  Yes, Obama's announcing national compulsory service and domestic spy squads.
[01:47:50.943 --> 01:47:54.386]  Yes, he's freaking all the liberals out who thought it was Bush that wanted to use the military.
[01:47:54.746 --> 01:47:55.907]  They all work for the same people.
[01:47:56.267 --> 01:48:02.891]  Now he's announcing, yes, military will be on the streets of America to fight all crime and for social and environmental issues.
[01:48:03.531 --> 01:48:04.192]  They've stated it.
[01:48:05.193 --> 01:48:06.613]  But it isn't real environmental issues.
[01:48:06.673 --> 01:48:07.294]  It's taxing
[01:48:08.562 --> 01:48:13.483]  The people and not stopping the true environmental problems like GMO.
[01:48:14.224 --> 01:48:16.104]  So it's all very, very nuanced subject.
[01:48:16.524 --> 01:48:19.965]  But I do want to take Tom and I think Georgia for the guest.
[01:48:19.985 --> 01:48:21.566]  So we're going to get to you guys here in just a moment.
[01:48:21.926 --> 01:48:24.166]  Jeffrey, when you get back in three months, please contact me.
[01:48:24.186 --> 01:48:26.547]  I want to have you on first and I apologize.
[01:48:26.607 --> 01:48:28.027]  I ended up rescheduling you Friday.
[01:48:28.067 --> 01:48:29.528]  That was my fault, not my producers.
[01:48:30.128 --> 01:48:30.328]  No problem.
[01:48:30.568 --> 01:48:31.989]  But it's great to have you here.
[01:48:32.049 --> 01:48:37.994]  Just briefly, one of your films you're involved in, I'm not carrying yet, is The Truth About Monsanto.
[01:48:38.014 --> 01:48:39.135]  Tell folks about that briefly.
[01:48:39.215 --> 01:48:39.495]  Right.
[01:48:39.555 --> 01:48:41.196]  The World According to Monsanto.
[01:48:41.216 --> 01:48:48.802]  If you go to MonsantoFilm.com, it's an amazing film by award-winning film producer from France, Marie-Monique Robin.
[01:48:49.362 --> 01:48:52.625]  And she traveled all over the world and found the
[01:48:53.485 --> 01:49:08.776]  The absolute disgusting and despicable and really evil hand that's been behind Monsanto giving us PCB poison and DDT poison and Agent Orange poison and now the poison associated with genetically engineered foods.
[01:49:09.277 --> 01:49:16.022]  And it shows clearly the damages that it's happening around the world and also the cover-up and the arrogance.
[01:49:16.802 --> 01:49:19.103]  It's a credible film.
[01:49:19.143 --> 01:49:22.725]  That brings me to my last question before we take a few calls here.
[01:49:23.605 --> 01:49:32.068]  And that is, if you get lead, or you get mercury, or you get arsenic, it poisons you, it hurts you, it affects DNA a little bit, but not that much.
[01:49:33.189 --> 01:49:43.773]  But when you change the DNA of the planet, when you vandalize the DNA of the planet, as you said, in an irrevocable fashion already, and they're now accelerating it, we've got a big problem.
[01:49:45.014 --> 01:49:49.196]  And so that's the issue here is that this is irrevocable.
[01:49:49.657 --> 01:49:56.181]  I mean when you talk about half the mice being sterile or 90% of them dying or 50% dying depending on the study.
[01:49:56.461 --> 01:50:01.344]  I mean this is confirmed and we're eating this and we see diabetes and cancer and everything.
[01:50:01.784 --> 01:50:05.826]  Exploding off the charts and sterilization and infertility exploding.
[01:50:05.866 --> 01:50:06.246]  It's clear.
[01:50:06.266 --> 01:50:08.947]  So briefly speak to that and then briefly solutions.
[01:50:09.287 --> 01:50:14.950]  We are having victories all over the world and the bovine growth hormone in milk.
[01:50:15.250 --> 01:50:16.250]  We're having victories.
[01:50:16.810 --> 01:50:18.011]  We can have this tipping point.
[01:50:18.740 --> 01:50:19.381]  Yes, we have.
[01:50:19.481 --> 01:50:29.590]  When we look at all of the different things going on, and I did it with about 30 scientists over two years, and we came up with the book, Genetic Roulette, the documented health risks of genetically engineered foods.
[01:50:30.831 --> 01:50:40.380]  In Genetic Roulette, you see thousands of sick, sterile and dead livestock, thousands of toxic and allergic reactions in humans, and damage to virtually every organ in every system studied.
[01:50:41.104 --> 01:50:50.088]  As bad as GMOs are, it's one of the easiest health and environmental catastrophes to solve, because we are in charge of what we buy.
[01:50:50.188 --> 01:50:57.991]  Now, because GMOs don't give any consumer benefit to these companies, if they perceive GMOs, genetically modified organisms,
[01:50:58.531 --> 01:51:03.552]  As a liability for sales, they'll simply switch to the non-GMO brand, as many have.
[01:51:03.592 --> 01:51:14.935]  In fact, when the tipping point of consumer rejection hit Europe in April of 1999, within a few days, within a single week, virtually every major food company committed to stop using GM ingredients.
[01:51:15.335 --> 01:51:23.437]  In the last three years, we saw a huge rejection of bovine growth hormone, as you said, kicked out last month by Subway, this year by
[01:51:24.017 --> 01:51:26.959]  Walmart, Kroger, the end of last year by Starbucks.
[01:51:27.539 --> 01:51:33.263]  So we're seeing a huge consumer backlash against one genetically engineered product.
[01:51:33.363 --> 01:51:37.325]  But the empire is striking back trying to take over every major food crop.
[01:51:37.585 --> 01:51:38.606]  We don't have much time.
[01:51:38.646 --> 01:51:40.607]  We better get involved in voting with our dollars.
[01:51:40.967 --> 01:51:47.351]  We can force them to stop doing this, but they're striking back also coming in as you've eloquently covered.
[01:51:48.012 --> 01:51:50.113]  To where they don't want us to be able to have real labeling.
[01:51:50.573 --> 01:51:51.093]  Exactly.
[01:51:51.153 --> 01:51:56.515]  So, go to ResponsibleTechnology.org and do a number of things in order to help with this.
[01:51:57.155 --> 01:52:00.636]  One, you can become a member, either a free member or we'd love to get some support.
[01:52:00.656 --> 01:52:03.016]  I mean, we just lost funding to India, but I'm going anyway.
[01:52:03.577 --> 01:52:08.158]  The other thing is, there's a petition there asking, see Obama committed to labeling.
[01:52:08.772 --> 01:52:09.734]  During his campaign.
[01:52:09.794 --> 01:52:13.119]  So we're going to say, great, thank you for labeling, but we want real labeling.
[01:52:13.459 --> 01:52:16.884]  And so it's, we want comprehensive labeling, not loophole labeling.
[01:52:16.924 --> 01:52:20.429]  And so there's a petition there you can sign that we will send to Obama.
[01:52:20.870 --> 01:52:23.935]  And then go on the, on the site also at Responsible Technology.
[01:52:24.415 --> 01:52:35.665]  And download or order a shopping guide, a non-GMO shopping guide, and learn how to avoid eating... And by the way, you have those where you can print them off, they're like 10 pages long, or you can buy them at cost, in bulk.
[01:52:35.685 --> 01:52:36.666]  We've got to jump to calls.
[01:52:36.706 --> 01:52:41.610]  Folks, you've been given the sites, take action, get the books and videos at InfoWars.com or the other sites.
[01:52:41.670 --> 01:52:46.855]  Don't wait around, your family, your children are worth it, and you will find out what we've covered here is true and accurate.
[01:52:47.455 --> 01:52:50.538]  Let's talk to Tom in Minnesota, and then we'll go to George, and that's it we have for calls.
[01:52:51.238 --> 01:52:51.819]  Go ahead, Tom.
[01:52:54.395 --> 01:52:56.758]  Tom in Minnesota, you're on the air, sir.
[01:52:56.818 --> 01:52:57.279]  Go ahead.
[01:52:57.599 --> 01:52:58.300]  Thank you for holding.
[01:52:58.661 --> 01:52:59.963]  Okay, you can hear me now, Alex?
[01:52:59.983 --> 01:53:00.303]  Yes, sir.
[01:53:00.844 --> 01:53:06.892]  Okay, yeah, I was listening to one of them Montana representatives about six months ago.
[01:53:06.932 --> 01:53:10.617]  He said that they were genetically alternate, where they would only use about 25% of the water.
[01:53:12.320 --> 01:53:25.027]  Right afterwards, I've been looking at Air Force 2025 and noticing that they do put nanoparticles in the air to come down into the water.
[01:53:25.287 --> 01:53:25.748]  Yeah, that's right.
[01:53:25.768 --> 01:53:35.113]  The military now admits they are adding to jet fuel, both commercial and private, so it's compartmentalized, and they are spraying the atmosphere and terraforming the planet that's now declassified.
[01:53:35.553 --> 01:53:44.263]  Okay, and they can control the weather and they can control hurricanes and I noticed that the water tables were like down about 25% and they filled them all back up.
[01:53:45.384 --> 01:53:50.971]  Along with all this and the digital TV, is this going to be something else that's going to be controlling us?
[01:53:51.651 --> 01:53:52.292]  Absolutely.
[01:53:52.352 --> 01:53:56.695]  I mean, that's forcing a lot of local stations to go bankrupt because they can't afford the expensive transmitters.
[01:53:56.975 --> 01:53:58.016]  Appreciate the call.
[01:53:58.656 --> 01:54:01.558]  Let's go ahead and talk to George in Texas.
[01:54:01.598 --> 01:54:03.540]  George, you have a question for our guest.
[01:54:03.900 --> 01:54:05.101]  Well, I gotta tell you one thing.
[01:54:05.141 --> 01:54:06.662]  I have a sign of a healthy body.
[01:54:07.263 --> 01:54:10.325]  I remember about five years ago, I had this sickness.
[01:54:10.405 --> 01:54:11.185]  I was throwing up.
[01:54:11.526 --> 01:54:14.428]  I was throwing up because I always ate from the farmers market.
[01:54:14.508 --> 01:54:16.009]  My parents always grew their own food.
[01:54:16.909 --> 01:54:20.251]  And everything I threw up on was everything he was talking about.
[01:54:20.311 --> 01:54:21.752]  Corn, soy products.
[01:54:22.693 --> 01:54:24.975]  I mean, I would eat it and my body would just reject it.
[01:54:24.995 --> 01:54:26.656]  And I had to go eat organic food.
[01:54:28.757 --> 01:54:29.318]  Absolutely.
[01:54:29.338 --> 01:54:30.378]  A lot of people are saying that.
[01:54:30.399 --> 01:54:35.842]  Well, there's a lot of farm animals that, I've talked to the farmers, not just studies, they won't eat GMO.
[01:54:35.902 --> 01:54:37.363]  We've seen cases of that, haven't we?
[01:54:38.184 --> 01:54:38.744]  Absolutely.
[01:54:39.485 --> 01:54:43.768]  There's pigs, cows, geese, elk, deer, raccoons, squirrels, mice, and rats.
[01:54:46.249 --> 01:54:46.749]  I keep going.
[01:55:05.117 --> 01:55:06.858]  Well, I mean, let's back up and talk about this.
[01:55:06.898 --> 01:55:10.520]  I talked to a lot of allergen doctors because I started getting allergies.
[01:55:10.560 --> 01:55:11.881]  My grandmother never had them in Austin.
[01:55:11.901 --> 01:55:12.641]  My mother never had them.
[01:55:13.022 --> 01:55:13.862]  Same environment.
[01:55:13.902 --> 01:55:15.063]  Suddenly everybody's got them.
[01:55:15.343 --> 01:55:25.909]  And I talked to medical doctors and they go, well, we all know that it's really the GMO and that it triggers and increases your susceptibility to other allergens, you know, triggering.
[01:55:25.929 --> 01:55:27.630]  So it's a type of tipping point.
[01:55:27.770 --> 01:55:31.313]  But in closing, that's powerful that animals,
[01:55:32.373 --> 01:55:36.334]  If GMO side-by-side with non-GMO, they want the non-GMO.
[01:55:36.794 --> 01:55:37.454]  Absolutely.
[01:55:37.514 --> 01:55:38.634]  And there's a lot of stories.
[01:55:38.674 --> 01:55:39.994]  I mean, story after story.
[01:55:40.014 --> 01:55:43.395]  I heard a new one last week about a guy said, let me show you something.
[01:55:43.435 --> 01:55:45.315]  He threw a bunch of, he called them pigs.
[01:55:45.335 --> 01:55:46.836]  They just ran up full speed.
[01:55:47.096 --> 01:55:49.336]  He dished out some genetically engineered corn.
[01:55:49.356 --> 01:55:50.676]  They looked at it and they looked back up.
[01:55:50.996 --> 01:55:51.736]  They wouldn't touch it.
[01:55:51.996 --> 01:55:56.717]  And he went over to the other side of the crib, threw out the non-GMO stuff, and they all ran and ate it up completely.
[01:55:58.638 --> 01:56:00.918]  And so we need to get humans up to the level of animals.
[01:56:02.108 --> 01:56:13.317]  Well, I mean, you know, a pig has a better nose than even the best bloodhounds, so the problem is humans don't have the taste buds and snout that those type of omnivores have.
[01:56:13.537 --> 01:56:15.619]  That's why we have to put out the Non-GMO Shopping Guide.
[01:56:16.920 --> 01:56:17.600]  But why is it?
[01:56:17.720 --> 01:56:19.982]  I mean, I guess it's just the olfactory nerve.
[01:56:20.022 --> 01:56:21.523]  I mean, the pigs know, but humans don't.
[01:56:21.823 --> 01:56:22.924]  You know, we don't know.
[01:56:23.004 --> 01:56:24.766]  No one's known because, like,
[01:56:25.856 --> 01:56:30.761]  It's possible that they're sensitive to the field effects, you know, the auras around the products.
[01:56:31.082 --> 01:56:32.443]  It's possible it's the smell.
[01:56:33.825 --> 01:56:39.511]  It's possible that they've tasted it and realized that it's not food and then they smell it and identify it with something they've already tasted.
[01:56:39.971 --> 01:56:42.534]  So, we don't know and no one's done any studies about it.
[01:56:43.522 --> 01:56:48.486]  But literally the electrical makeup of it, the electrochemical, as we know a lot of that is tied in with smell.
[01:56:48.947 --> 01:56:53.630]  Okay, well, Jeffrey M. Smith, we really appreciate you joining us.
[01:56:53.650 --> 01:56:54.491]  Good luck in India.
[01:56:54.591 --> 01:57:01.537]  I don't see how the establishment is going to cover up what they've done as just the evidence just pours out and as the people rebel against them.
[01:57:01.997 --> 01:57:03.418]  Well, you're doing a great service.
[01:57:03.659 --> 01:57:05.020]  You know more about this than most.
[01:57:05.140 --> 01:57:09.924]  I mean, I've been on hundreds of radio shows, and you're like a walking library about this.
[01:57:09.944 --> 01:57:11.005]  So, thank you.
[01:57:11.165 --> 01:57:16.029]  Your audience is a lot better educated than virtually any other audience about GMOs.
[01:57:16.509 --> 01:57:16.889]  It's great.
[01:57:16.949 --> 01:57:17.770]  Well, thank you, Mr. Smith.
[01:57:17.790 --> 01:57:18.491]  We'll talk to you soon.
[01:57:19.672 --> 01:57:20.833]  There he goes, ladies and gentlemen.
[01:57:20.853 --> 01:57:28.080]  I'm not bragging about myself, folks, but I can have generals on, admirals, congressmen and women, scientists on.
[01:57:28.100 --> 01:57:30.523]  I had a top captain on about piracy.
[01:57:30.543 --> 01:57:32.545]  He goes, you know more than any other show we've ever been on.
[01:57:33.217 --> 01:57:38.542]  It's only because I study every day, sometimes 10-12 hours a day.
[01:57:38.902 --> 01:57:44.167]  I research everything, I study history, and so I'm aware.
[01:57:45.107 --> 01:57:46.649]  I'm not unusually smart.
[01:57:46.749 --> 01:57:50.172]  I'm just an average person who, I'm not an expert on fantasy football,
[01:57:51.119 --> 01:57:54.202]  I am an expert on the New World Order and what matters to my family.
[01:57:54.742 --> 01:57:55.503]  God bless you all.
[01:57:55.543 --> 01:57:56.764]  Key story on martial law.
[01:57:56.804 --> 01:57:58.726]  Marines patrolling America right now at Info.
[01:57:58.926 --> 01:58:03.150]  It's no secret that Genesis Communications Network depends on listeners like you.
[01:58:03.270 --> 01:58:06.012]  Now you can do even more to hear Genesis shows in your area.
[01:58:06.572 --> 01:58:09.375]  Are your Federal Reserve notes looking for a safe haven?
[01:58:09.395 --> 01:58:10.836]  Mine found it in precious metals.
[01:58:35.302 --> 01:58:38.464]  Not paper promises, but actual gold in my possession.
[01:58:39.124 --> 01:58:45.608]  It is liquid, it is private, it owes no one, it cannot go bankrupt, and it maintains its purchasing power.
[01:58:46.389 --> 01:58:48.570]  Find your answer at Midas Resources.
[01:58:48.950 --> 01:58:49.391]  That's 1-800-686-2237.
[01:58:49.451 --> 01:58:50.891]  The answer is at 1-800-686-2237.
[01:58:58.919 --> 01:59:01.521]  Listener, ask yourself, can I be deceived?
[01:59:01.821 --> 01:59:03.642]  Matthew 24 states four times.
[01:59:03.902 --> 01:59:06.004]  In the last days, many will be deceived.
[01:59:06.224 --> 01:59:09.506]  There are many ideas about the mark of the beast and the antichrist.
[01:59:09.786 --> 01:59:13.208]  What do you know about the beast, its mark, and the antichrist?
[01:59:13.548 --> 01:59:17.130]  Is the beast a superpower nation or a giant computer in Belgium?
[01:59:17.491 --> 01:59:19.672]  Is its mark an implanted chip, a tattoo,
[01:59:19.992 --> 01:59:25.377]  The National ID Card, or 666, is the Antichrist a person, title, or both?
[01:59:25.717 --> 01:59:27.358]  Some believe these things are in the future.
[01:59:27.658 --> 01:59:29.140]  Others believe that it's in the past.
[01:59:29.640 --> 01:59:32.663]  1 John states, The Antichrist is already in the world.
[01:59:32.923 --> 01:59:34.784]  What is the truth, and what is a lie?
[01:59:35.085 --> 01:59:37.126]  Are you willing to search God's Word for the truth?
[01:59:37.427 --> 01:59:39.188]  Friends, these answers are in the Bible.
[01:59:39.448 --> 01:59:46.194]  For free books, DVDs, and Bible studies exposing the Antichrist, the Beast, and its mark, write to TheBibleSays.com.
[01:59:46.434 --> 01:59:48.016]  Don't put off your health for a
