[00:00:00.009 --> 00:00:01.789]  Thank you for listening to GCA.
[00:30:36.749 --> 00:30:38.010]  I read something and forget.
[00:30:38.171 --> 00:30:39.352]  I forget people's names.
[00:30:39.432 --> 00:30:43.077]  I hear all this great information on the radio and I want to tell people, but I forget.
[00:30:43.217 --> 00:30:44.859]  I... Okay, slow down.
[00:30:44.960 --> 00:30:47.363]  Poor attention and memory loss is not your fault.
[00:30:47.523 --> 00:30:54.549]  Factors like fluoride in the water, aluminum in deodorants, genetically modified foods, the way the education system taught you.
[00:30:54.669 --> 00:30:56.150]  It's all meant to dumb you down.
[00:30:56.290 --> 00:30:57.811]  You know, I can remember everything now.
[00:30:58.031 --> 00:30:58.972]  Even entire books.
[00:30:59.212 --> 00:30:59.393]  What?
[00:30:59.493 --> 00:30:59.793]  How?
[00:31:00.053 --> 00:31:03.236]  There is this website called School of Phenomenal Memory.
[00:31:03.296 --> 00:31:06.959]  Their online course is a real breakthrough in the field of memory improvement.
[00:31:07.079 --> 00:31:12.203]  In fact, they guarantee that every single person will be able to memorize any type of information,
[00:31:12.603 --> 00:31:12.743]  Wow.
[00:31:12.803 --> 00:31:13.744]  What's the website?
[00:31:29.933 --> 00:31:42.640]  Now, from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:31:43.080 --> 00:31:46.902]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation.
[00:31:47.242 --> 00:31:53.766]  In which family members receive answers to their questions and the true perpetrators of this horrendous crime are brought to justice.
[00:31:54.127 --> 00:31:57.349]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:31:57.549 --> 00:32:05.054]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:32:05.454 --> 00:32:12.579]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com while you're visiting the online video store.
[00:32:12.899 --> 00:32:20.690]  Be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[00:32:21.090 --> 00:32:23.353]  We're in a no-holds-barred information war.
[00:32:23.714 --> 00:32:29.041]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[00:32:30.390 --> 00:32:31.571]  Hello, I'm Steve Shang.
[00:32:32.052 --> 00:32:39.179]  For the past several months, folks have constantly asked me to give them the date as to when they should be finished stocking up on food.
[00:32:39.199 --> 00:32:49.309]  We've been so beaten up by stock market banking, housing, and unemployment crashes that we're desensitized and frozen and active like the frog being unknowingly cooked in gradually increasingly hot water.
[00:32:49.789 --> 00:32:50.690]  Well, snap out of it.
[00:32:50.730 --> 00:32:51.731]  We now have a deadline.
[00:32:52.211 --> 00:32:53.693]  Joe Biden said it's going to happen.
[00:32:54.253 --> 00:33:05.578]  Former Secretary of State Colin Powell went on CBS Meet the Press and pointed to about January 22nd as the time a major international incident would force the new president to make unpopular decisions.
[00:33:06.139 --> 00:33:11.841]  Well, I take the general at his word and my best advice is to have your food in your possession prior to the inauguration.
[00:33:12.302 --> 00:33:17.184]  Contact efoodsdirect.com for your supplies prior to this deadline for disaster.
[00:33:17.724 --> 00:33:21.466]  Ask yourself, is it better to have too much too soon or too little too late?
[00:33:22.066 --> 00:33:23.288]  Call 800-409-5633 or on the web efoodsdirect.com
[00:33:35.325 --> 00:33:47.613]  Instead of the states getting rid of some of the three million police, or all the welfare, or all the largesse to get people domesticated, and all the spending, and the billions per major city, you've got billions per city.
[00:33:48.014 --> 00:33:50.495]  New York's had five billion in cameras put in the last four years.
[00:33:50.916 --> 00:33:53.717]  Boston in one year had two billion dollars worth of cameras put in.
[00:33:54.078 --> 00:33:59.842]  Homeland Security's now announced all those free federal traffic cameras, they were DARPA designed by the Pentagon to watch you.
[00:34:00.162 --> 00:34:01.403]  They're scanning your faces.
[00:34:03.151 --> 00:34:07.434]  Now, instead of doing any of that, they are saying they're going to bail out all the states.
[00:34:07.454 --> 00:34:10.497]  $7 billion for California, $5 billion for Florida.
[00:34:11.157 --> 00:34:16.882]  They're going to, quote, bail out select crony corporations owned by the same private central banks.
[00:34:17.883 --> 00:34:23.668]  The stock market's down by 700-plus points right now, and plunging, dwarfing what happened last Monday.
[00:34:23.888 --> 00:34:28.551]  They promised you if you submitted and gave them unlimited power, they'd be nice to you.
[00:34:29.292 --> 00:34:33.833]  And now there's debates on talk radio and TV about, did they say the bailout would do that?
[00:34:34.474 --> 00:34:35.894]  Or are people making that up?
[00:34:37.715 --> 00:34:40.716]  They know the public doesn't have a memory for last week, or does the public?
[00:34:41.076 --> 00:34:46.477]  David, I want to finish up with the economy and get into the nature of reality, but there seems to be a shocking of the conscious.
[00:34:47.358 --> 00:34:57.561]  And I've seen that in some psychological tests they've done at major universities studying rodent psychology, which is very similar to human group psychology, in these controlled mazes.
[00:34:58.221 --> 00:35:05.208]  Shocking, yelling, noise, heat, cold on rats, till they finally just go into a catatonic state and shake in the corner.
[00:35:05.828 --> 00:35:13.415]  And, you know, having CBS News come out and say, Mercury is good for your brain, taking mercury shots helps your brain cells.
[00:35:13.555 --> 00:35:14.776]  Now, that's an actual newscast.
[00:35:14.836 --> 00:35:16.057]  I've played it 50 times.
[00:35:16.077 --> 00:35:17.679]  I'm not going to play it today, but if you want, I'll play it.
[00:35:18.400 --> 00:35:22.964]  Or, I've got MSNBC saying, actually, poison in food is good for China.
[00:35:23.064 --> 00:35:24.265]  We need poison in the food.
[00:35:27.216 --> 00:35:44.830]  And then tens of thousands, just finishing up this statement, tens of thousands get sick from melamine on purpose in the milk because it shows on a protein test, if somebody tested that it has high protein, and then it turns out it's in a bunch of food lines here in the U.S.
[00:35:44.850 --> 00:35:47.112]  where most of the food additives and drugs get made for the U.S.
[00:35:47.132 --> 00:35:53.157]  and now in China, same for Europe, and they admit it's killing hundreds of Chinese that drank too much
[00:35:53.817 --> 00:35:54.237]  Well, this will...
[00:36:12.906 --> 00:36:17.128]  It's very clear, when you put it all together, Alex, when you put all the shocks, all the constant instructions, all the do's and don'ts,
[00:36:39.111 --> 00:36:53.166]  All the punishments for increasingly fine detail little things like I talked about last time, people being fined in Britain for feeding the birds, people being fined for putting a card in their car saying it's for sale when it's their own car.
[00:36:53.806 --> 00:36:57.931]  What it is like is exactly like the laboratory rat because of course when you
[00:36:59.003 --> 00:37:03.745]  Uh, when they're doing those experiments, um, when the rat goes down certain channels, it gets the shock.
[00:37:04.725 --> 00:37:14.489]  After a few shocks, it doesn't go down that channel anymore, and you can take the shock equipment away, it still won't go down that channel, because it's been programmed not to do that by, by the carrot and the stick.
[00:37:14.529 --> 00:37:16.590]  It's okay going down this one, we'll leave you alone.
[00:37:16.650 --> 00:37:18.210]  Go down that one, there's a problem.
[00:37:18.530 --> 00:37:20.411]  Now, take this on a mass scale.
[00:37:21.295 --> 00:37:21.575]  All right.
[00:37:39.984 --> 00:37:40.925]  Well, here's an example.
[00:37:41.065 --> 00:37:50.009]  In England and the U.S., if an adult is at the park, and I, you know, when I was single, went for walks at the park all the time, or jogs, the police come over and ask, are you a pedophile?
[00:37:50.309 --> 00:37:51.269]  I mean, how bizarre.
[00:37:51.709 --> 00:37:54.731]  Or, um, Steve Watson,
[00:37:55.271 --> 00:37:58.074]  Out for a date in London, they come over and put him in a terror database.
[00:37:58.114 --> 00:38:02.278]  Clean cut, nice looking guy, with a master's degree in political science, with a great looking girlfriend.
[00:38:03.419 --> 00:38:05.541]  Everybody I know in England has had this happen to them.
[00:38:05.561 --> 00:38:08.664]  It happened to me when I was there, where they put me in a terror database.
[00:38:08.924 --> 00:38:10.926]  They're letting you know you're a slave.
[00:38:11.727 --> 00:38:13.429]  Yeah, exactly.
[00:38:14.970 --> 00:38:19.555]  It's something that is very important for people to appreciate.
[00:38:20.215 --> 00:38:21.256]  We're good to go.
[00:38:33.807 --> 00:38:40.552]  When the tasers started coming out, when we started giving... I'm not saying all police are like this, but... But now they've gotten us conditioned to daily deaths.
[00:38:40.693 --> 00:38:45.857]  Yeah, I've met a few policemen who, if they had a brain cell, it would die of loneliness.
[00:38:46.197 --> 00:38:50.661]  And we're giving these people 55,000 volts of electricity to shoot at people.
[00:38:50.701 --> 00:38:58.788]  Now, there was an article in the newspaper which was looking at this when they first came in, and the headline encapsulated exactly what we're talking about here.
[00:38:58.808 --> 00:38:59.549]  It said,
[00:39:00.331 --> 00:39:02.291]  I'll do anything you say, officer.
[00:39:02.712 --> 00:39:04.452]  Just don't use that thing on me.
[00:39:04.932 --> 00:39:08.253]  And that encapsulates this whole mind game.
[00:39:08.333 --> 00:39:09.293]  It's a cattle prod!
[00:39:09.593 --> 00:39:13.534]  It's a cattle prod for cows in this slaughterhouse.
[00:39:13.594 --> 00:39:14.334]  It's a cattle prod.
[00:39:14.354 --> 00:39:14.654]  Go ahead.
[00:39:15.054 --> 00:39:15.534]  Exactly.
[00:39:16.094 --> 00:39:25.416]  But what we mustn't do, and when we get into the nature of reality and the true nature of who we are, as opposed to the false identity we've been sold from cradle to grave,
[00:39:25.976 --> 00:39:30.018]  Then you lose the fear, and you lose this subservience.
[00:39:30.258 --> 00:39:41.064]  You know, someone with an expanded consciousness, who looks in the mirror and realizes that what they're looking at is what they're experiencing, not who they are, they don't fall for this stuff.
[00:39:41.144 --> 00:39:47.067]  And that's why this awakening, and it's an awakening from an hypnotic trance, that's what it is.
