[00:00:00.009 --> 00:00:01.070]  Okay, ladies and gentlemen.
[00:29:18.469 --> 00:29:23.213]  And the problem is, the President is still talking about everything being fine in the economy.
[00:29:24.574 --> 00:29:26.355]  Well, that's my final question.
[00:29:29.130 --> 00:29:33.213]  It doesn't appear that they're really planning to change any of the fundamentals that have brought us to this point.
[00:29:33.553 --> 00:29:36.075]  They continue to say full speed ahead, armored to the fog.
[00:29:36.095 --> 00:29:38.697]  A, do you agree with that statement that that's what they're doing?
[00:29:38.737 --> 00:29:40.219]  And B, what will that then lead to?
[00:29:40.859 --> 00:29:47.024]  Well, it's clear that they've not taken into account, they didn't anticipate these problems.
[00:29:48.014 --> 00:30:00.677]  And they're not responding to the problems, partly because the problems are of their own making, and they want to hide their head in the sand and say, oh, everything's fine.
[00:30:02.017 --> 00:30:11.759]  Our recipe, tax cuts for the rich, deregulation, let markets run wild, is a recipe for long-term economic growth and stability.
[00:30:13.169 --> 00:30:15.911]  They've been proven very, very wrong.
[00:30:16.131 --> 00:30:21.595]  Mr. Stiglitz, we're going to let you go in about 60 seconds, but I want to come back to the full audience right now and plug your personal website.
[00:30:22.055 --> 00:30:22.816]  I forgot to do that.
[00:30:22.856 --> 00:30:23.236]  Here we go.
[00:30:24.096 --> 00:30:25.157]  Alex Jones Show.
[00:30:25.857 --> 00:30:28.099]  Because there's a war on for your mind.
[00:30:29.491 --> 00:30:32.033]  Well, we've kept him a little bit longer than he originally was coming on.
[00:30:32.053 --> 00:30:34.576]  I hope we get him for a full hour in the near future.
[00:30:34.876 --> 00:30:35.497]  Love to do that.
[00:30:36.117 --> 00:30:38.039]  JosephStiglitz.com.
[00:30:38.339 --> 00:30:40.601]  S-T-I-G-L-I-T-Z.
[00:30:40.621 --> 00:30:45.726]  But the great part about Google is if you misspell Joseph Stiglitz, you'll still get his website.
[00:30:45.746 --> 00:30:47.528]  So JosephStiglitz.com.
[00:30:47.548 --> 00:30:49.750]  And he's written quite a few best-selling books.
[00:30:49.910 --> 00:30:51.551]  The new one's just been out for a few months.
[00:30:52.132 --> 00:30:55.435]  The most recent book, The Three Trillion Dollar War, The True Cost of the Iraq Conflict.
[00:30:55.435 --> 00:31:00.219]  The paperback just came out with a new afterword trying to bring us up to date.
[00:31:00.679 --> 00:31:02.740]  Oh, so just a brand new one just came out then?
[00:31:02.761 --> 00:31:03.181]  That's right.
[00:31:03.341 --> 00:31:08.065]  Bringing us up to date on what's happened since the last edition came out.
[00:31:08.545 --> 00:31:09.966]  Well, we appreciate all your time.
[00:31:10.086 --> 00:31:12.308]  Anything that I didn't bring up, anything you didn't bring up?
[00:31:12.328 --> 00:31:13.288]  No, we had a good discussion.
[00:31:13.709 --> 00:31:14.609]  Thank you, Mr. Stiglitz.
[00:31:14.649 --> 00:31:14.990]  Take care.
[00:31:15.210 --> 00:31:15.510]  Thank you.
[00:31:15.930 --> 00:31:20.254]  There he goes, ladies and gentlemen, Joseph Stiglitz, joining us.
[00:31:22.446 --> 00:31:24.948]  Look, I mean, I can have the head of the New York Business School on.
[00:31:24.988 --> 00:31:26.809]  By the way, we're going to set him back up for the show.
[00:31:28.230 --> 00:31:30.371]  We can have any of these people on.
[00:31:32.273 --> 00:31:34.094]  We can bring them here and tell you this.
[00:31:34.214 --> 00:31:39.277]  I mean, you heard Stiglitz say, worse than the Great Depression is what we're facing.
[00:31:40.138 --> 00:31:43.360]  And then you look at the on the ground situation.
[00:31:47.145 --> 00:31:54.787]  I keep repeating this because 90% of the American people live in urban areas, that means in cities and built-up suburbs.
[00:31:56.027 --> 00:32:12.832]  Of the 10% that live in what you can call rural areas, the last census, 10%, about half of them, or 5% of the public are somewhat self-sufficient, and most of them say they're self-sufficient when asked in the wider survey.
[00:32:13.652 --> 00:32:15.473]  They have a farming supplement that's part of the
[00:32:17.119 --> 00:32:21.280]  Larger census, they have a business census, what we all talked about on Constitutional, that is a side issue.
[00:32:21.660 --> 00:32:22.800]  Point is, we have those numbers.
[00:32:23.141 --> 00:32:28.302]  So, 5% claim they're self-sufficient.
[00:32:28.322 --> 00:32:28.302]  5%.
[00:32:28.362 --> 00:32:34.263]  Now, do you know what percentage were truly self-sufficient going into the Great Depression?
[00:32:36.164 --> 00:32:34.263]  80%.
[00:32:36.264 --> 00:32:37.464]  Or a little more.
[00:32:37.924 --> 00:32:40.825]  The problem is, is they were not economically self-sufficient.
[00:32:41.809 --> 00:32:48.212]  They had mortgages on their farms, and so they were driven off their farms at shotgun point, at police gunpoint.
[00:32:48.812 --> 00:32:50.533]  And I don't want to be enemies with the police here.
[00:32:51.173 --> 00:32:57.736]  The point is, the police are going to be used to take your farms, your ranches, your... I mean, these are going to be your families and neighbors.
[00:32:57.756 --> 00:32:59.177]  This is where you're getting your food, cops.
[00:32:59.817 --> 00:33:00.377]  They won't care.
[00:33:00.397 --> 00:33:03.979]  The feds are going to ship them in on the backs of trucks' food, you know, if it gets this bad.
[00:33:04.419 --> 00:33:08.921]  And the cops will literally be taking your land and your property for the banks.
[00:33:09.542 --> 00:33:10.022]  Ted is ready.
[00:33:11.823 --> 00:33:15.705]  They will literally be doing all of this just to get their food.
[00:33:16.986 --> 00:33:18.806]  And remember, none of this had to happen.
[00:33:18.826 --> 00:33:26.790]  You just heard the former head of the Treasury policy, the chief advisor of Ronald Reagan on economics, Dr. Paul Greg Roberts tell you this.
[00:33:27.051 --> 00:33:31.453]  You just heard Stiglitz, two-time Nobel Prize winner for economics and peace on.
[00:33:33.114 --> 00:33:34.595]  These are the top guys.
[00:33:34.635 --> 00:33:36.057]  The top guys don't like being wrong.
[00:33:36.337 --> 00:33:37.598]  So they'll tell you what's really going to happen.
[00:33:37.898 --> 00:33:42.562]  The hacks they put on CNBC and MSNBC and Fox Financial and all this.
[00:33:43.063 --> 00:33:44.444]  They'll tell you everything's great, everything's wonderful.
[00:33:44.764 --> 00:33:48.167]  What scares me is they're finally getting to the point of admitting everything's not wonderful.
[00:33:50.049 --> 00:33:57.416]  And I'm so busy that about 80% of the money I got in this world is just in a business account just to run this company for a few months.
[00:33:58.973 --> 00:34:03.835]  And I'm going, you know, I need to take that out of that account and put it in another account just to run this business.
[00:34:04.095 --> 00:34:08.577]  Should I even be on the air right now when Yahoo's talking about bank runs going on?
[00:34:10.098 --> 00:34:16.181]  And when the Seattle Times is talking about bank runs, and people are starting to advise bank runs,
[00:34:20.160 --> 00:34:25.786]  I realize that I've tried to be fiscally responsible and had enough money to run this place four, five, six months.
[00:34:26.466 --> 00:34:27.627]  Maybe that's even in jeopardy.
[00:34:27.647 --> 00:34:40.300]  Thank God for the money bomb we did, but I'm trying to expand to a TV show, building another studio right now with six cameras, which are all professional, just to put out better information, better package information for people.
[00:34:41.940 --> 00:34:43.400]  That's another reason I didn't go to New York.
[00:34:43.940 --> 00:34:48.421]  I can't fly me and my whole crew up to New York just to give a speech and hang out with a bunch of people.
[00:34:49.001 --> 00:34:54.142]  I'm trying to be frugal here with your money that you bought my videos and books and materials from.
[00:34:54.603 --> 00:34:55.843]  I really see that as your money.
[00:34:57.063 --> 00:34:59.323]  And I see it as a sacred mission to try to stay afloat.
[00:34:59.363 --> 00:35:03.904]  If we go into a full bore depression, I've told my IT people, I want two more servers.
[00:35:03.924 --> 00:35:04.805]  Did we get those last week?
[00:35:06.385 --> 00:35:06.805]  Oh, we did.
[00:35:07.915 --> 00:35:09.235]  We did order two more servers.
[00:35:09.975 --> 00:35:15.617]  I mean, I want them now, because we barely got the servers we need right now, and there are going to be companies going under left and right.
[00:35:15.857 --> 00:35:16.857]  In fact, I'm changing that.
[00:35:17.157 --> 00:35:20.098]  I want four new of those cheap, good servers.
[00:35:20.958 --> 00:35:21.158]  Now.
[00:35:21.458 --> 00:35:21.678]  Now.
[00:35:21.978 --> 00:35:22.198]  Now.
[00:35:22.478 --> 00:35:22.718]  Now.
[00:35:22.959 --> 00:35:23.179]  Now.
[00:35:23.399 --> 00:35:23.579]  Now.
[00:35:23.839 --> 00:35:25.419]  And my crew's doing a great job.
[00:35:25.759 --> 00:35:28.720]  I'm just saying, folks, we are in an emergency situation.
[00:35:28.740 --> 00:35:33.181]  We're in the middle of a typhoon, and I'm the captain on my little ship, and I'm saying, batten down hatches,
[00:35:33.581 --> 00:35:35.602]  You know, get those sails down so they don't rip off.
[00:35:35.622 --> 00:35:37.663]  You know, secure the main mast.
[00:35:37.923 --> 00:35:39.924]  Everybody else below, bail, bail.
[00:35:40.204 --> 00:35:41.465]  And people are running the bailers.
[00:35:41.925 --> 00:35:45.827]  And the yuppies are still giggling and laughing and dancing around and smirking.
[00:35:45.887 --> 00:35:49.189]  And people say, well that's good, that's confidence.
[00:35:49.969 --> 00:35:52.771]  But this isn't a crisis like we've seen before.
[00:35:53.251 --> 00:35:55.032]  This is a top-down crisis.
[00:35:55.692 --> 00:35:59.134]  This isn't a... I just had a Nobel Prize winner on and I said, this is a bottom
[00:36:02.594 --> 00:36:06.676]  issue of us having to be raped, but this didn't originate from the economy.
[00:36:06.976 --> 00:36:08.536]  This originated from the elites.
[00:36:09.077 --> 00:36:16.060]  And that's why it's such a dog and pony show to say, oh, some people that lied on their mortgage forms, they caused that.
[00:36:16.140 --> 00:36:27.426]  No, the banks decided two years ago, a year and a half ago, to stop issuing unlimited fiat to the bottom.
[00:36:28.486 --> 00:36:29.567]  Because they'd already gotten us
[00:36:30.805 --> 00:36:39.548]  In 2007, at the start of the year, it was announced that in 2006 we had become a net debtor nation, individually, greater than even in the depths of the Great Depression.
[00:36:39.928 --> 00:36:46.231]  And at that point, they flipped the switch, they had gotten us in debt, they had bankrupted us, and now it was time for receivership.
