[00:00:00.049 --> 00:00:00.389]  Watch it.
[01:26:31.456 --> 01:26:33.477]  See, first they sell you on what sounds reasonable.
[01:26:33.817 --> 01:26:35.558]  Always sounds, but see where it leads.
[01:26:37.118 --> 01:26:43.060]  Doctors are calling for the NHS treatment to be withheld for patients who are too old or who lead unhealthy lives.
[01:26:43.080 --> 01:26:44.061]  See, too old now!
[01:26:44.541 --> 01:26:45.441]  Oh, you're old!
[01:26:45.521 --> 01:26:46.922]  You don't get any health care.
[01:26:46.942 --> 01:26:48.402]  See, that's what national health care is about.
[01:26:48.643 --> 01:26:49.803]  The government controls it.
[01:26:50.837 --> 01:26:54.982]  Smokers, heavy drinkers, the obese, the obese, and the elderly.
[01:26:55.022 --> 01:26:55.202]  See?
[01:26:55.462 --> 01:26:56.263]  Oh, you're fats.
[01:26:56.724 --> 01:26:57.765]  Oh, you're a heavy drinker.
[01:26:57.925 --> 01:26:58.686]  Oh, you're a smoker.
[01:26:59.026 --> 01:27:02.109]  By the way, you know what the main thing, fluoride attacks, is your thyroid.
[01:27:03.291 --> 01:27:09.257]  And they've been doing treatments now, major studies, if you get off fluoride, your thyroid, if it doesn't completely burn out, will reverse it.
[01:27:10.318 --> 01:27:12.921]  I know people that eat regular sized meals that are overweight.
[01:27:18.357 --> 01:27:20.818]  Why has diabetes gone up 3,000%?
[01:27:21.178 --> 01:27:25.600]  Why has cancer gone from 1 in 33 decades ago to 1 in 3 now?
[01:27:27.201 --> 01:27:28.401]  Why is all this happening?
[01:27:28.661 --> 01:27:32.323]  But see, notice how they say smokers, heavy drinkers, the obese, and then they just add somebody who hasn't done anything.
[01:27:32.683 --> 01:27:39.605]  The elderly should be barred from receiving operations, according to doctors, with most saying the health service cannot afford to provide free health care.
[01:27:39.785 --> 01:27:40.826]  And the government goes on to say it.
[01:27:41.046 --> 01:27:41.706]  I have the U.S.
[01:27:41.746 --> 01:27:46.048]  government saying it, and reports here pushing it as well.
[01:27:47.068 --> 01:27:50.935]  And then I have this off the drug report today from the smoking gun Mississippi.
[01:27:51.856 --> 01:27:54.060]  Politicians seek to ban fats.
[01:27:55.743 --> 01:27:58.588]  New bill would make it illegal for restaurants to serve the obese.
[01:28:00.485 --> 01:28:13.131]  Now, first it was, you can't, you gotta clean your counters, sound reasonable, you can't serve whiskey to eight-year-olds, sounds reasonable, and then now, oh, and by the way, this is all through international bodies that then give bond ratings to cities and states.
[01:28:13.451 --> 01:28:16.252]  That's why the same laws happening in Mississippi are happening in Texas.
[01:28:16.452 --> 01:28:17.313]  They pushed this here.
[01:28:18.413 --> 01:28:24.236]  Mississippi legislators this week introduced a bill that would make it illegal for state-licensed restaurants, that's all of them, to serve obese patrons.
[01:28:24.296 --> 01:28:29.538]  Bill number 282, a copy of which you'll find below, is the brainchild of three members of the State's House of Representatives,
[01:28:30.535 --> 01:28:34.378]  Republicans Marshall Jr., John Reed, and Democrat Bobby Shoes.
[01:28:34.418 --> 01:28:36.100]  The bill, which is, and it goes on.
[01:28:37.621 --> 01:28:38.161]  And here it is.
[01:28:38.842 --> 01:28:42.645]  And so they're going to weigh you now, and they're going to come out and tape measure you.
[01:28:42.885 --> 01:28:46.368]  But see, it also makes the restaurant slaves of the government, having to enforce this.
[01:28:46.568 --> 01:28:48.190]  Folks, this is just the beginning!
[01:28:48.390 --> 01:28:50.291]  How many years did I tell you this?
[01:28:50.532 --> 01:28:54.495]  They're going to run our entire lives controlling our thermostats!
[01:28:55.988 --> 01:29:04.514]  I saw a bill from 1988 where the feds wanted to have the same FEMA system that's in control of this radio station, every TV station, everything's wired through it where they can control it.
[01:29:04.795 --> 01:29:06.356]  A FEMA box you're not allowed to get into.
[01:29:06.616 --> 01:29:09.378]  An armored box at the transmitter is controlled by the government.
[01:29:10.179 --> 01:29:16.703]  All cable, all TV, all radio, all the internet hubs, they hit one button and whatever they want to come out of it.
[01:29:16.904 --> 01:29:19.966]  Have you seen how half the billboards are now government stuff?
[01:29:20.006 --> 01:29:23.969]  Don't be fat, don't drink, don't, you know, tattle on your neighbor, guns are evil.
[01:29:24.660 --> 01:29:25.861]  I'm living in a running man!
[01:29:27.181 --> 01:29:28.642]  I said I'd take your calls, but I got more.
[01:29:29.202 --> 01:29:32.143]  Minister orders Florida to be added to the water, London Times.
[01:29:32.483 --> 01:29:36.945]  Despite protests and top scientists saying it's a deadly poison, they insist it's for your health.
[01:29:38.465 --> 01:29:40.806]  Oh, they love you so much!
[01:29:43.207 --> 01:29:43.907]  You just wait.
[01:29:44.527 --> 01:29:49.529]  Under the new carbon tax, you're all going to have social workers that visit your house to see if you're wasting energy.
[01:29:50.470 --> 01:29:51.390]  No Bill of Rights, no nothing.
[01:29:52.452 --> 01:30:03.059]  What would your life be like if you woke up each morning with new vitality, feeling better than you have in years, and you noticed a difference in your sleeping patterns, blood sugar levels, and had a sense of well-being overall?
[01:30:03.339 --> 01:30:07.262]  There's something that is changing thousands of people's lives, and you could be one of them.
[01:30:07.522 --> 01:30:09.343]  It's called Heart and Body Extract.
[01:30:09.684 --> 01:30:15.147]  Sharon Harris, co-creator of Heart and Body Extract, talks about the positive effects of Heart and Body Extract.
[01:30:16.308 --> 01:30:16.868]  Thank you so much!
[01:30:40.663 --> 01:30:43.925]  Here are just a few of the benefits associated with heart and body extract.
[01:30:44.105 --> 01:30:47.186]  Blood sugar, cholesterol, and circulation levels return to normal.
[01:30:47.487 --> 01:30:48.527]  Arteries unclog.
[01:30:48.787 --> 01:30:50.588]  Angina is gone in just a few days.
[01:30:50.848 --> 01:30:52.269]  Blood pressure goes back to normal.
[01:30:52.449 --> 01:30:54.790]  An irregular heartbeat returns to normal.
[01:30:55.111 --> 01:30:55.771]  Heart and body
[01:30:56.051 --> 01:30:56.532]  Thank you.
[01:31:11.804 --> 01:31:13.445]  I have a lot of experience with this product.
[01:31:31.460 --> 01:31:33.583]  Heart and Body Extract gets results.
[01:31:33.923 --> 01:31:37.127]  To order your 2 month supply, call now, toll free at 866-295-5305.
[01:31:37.147 --> 01:31:37.467]  That's 866-295-5305.
[01:31:37.567 --> 01:31:39.029]  Or order online at HBextract.com.
[01:31:39.049 --> 01:31:40.771]  Heart and Body Extract, 866-295-5305 or HBextract.com.
[01:31:52.440 --> 01:31:54.142]  Our beloved republic is on her knees.
[01:31:54.442 --> 01:31:57.904]  The forces of globalism are destroying national sovereignty worldwide.
[01:31:58.045 --> 01:31:59.906]  But in liberty's darkest hour, there is hope.
[01:31:59.926 --> 01:32:03.268]  For the first time in modern history, the people are beginning to wake up.
[01:32:03.589 --> 01:32:09.073]  It is essential that patriots worldwide accelerate their fellow man's understanding of the New World Order master plan.
[01:32:09.373 --> 01:32:13.316]  We have a short time frame to fully awaken and energize the people to meet this threat.
[01:32:13.636 --> 01:32:18.580]  In the Info War, PrisonPlanet.tv is a powerful weapon in the battle to regain our freedom.
[01:32:18.860 --> 01:32:21.642]  PrisonPlanet.tv is a vault of forbidden information.
[01:32:21.943 --> 01:32:28.808]  All 18 of my documentary films can be downloaded or streamed in super high quality directly to your computer or iPhone and shared with others.
[01:32:29.208 --> 01:32:35.053]  Thousands of special video reports, from tainted vaccines to martial law, can be found in this online video library.
[01:32:35.213 --> 01:32:39.757]  My weekly news television broadcast, thousands of exclusive audio interviews, and so much more.
[01:32:40.057 --> 01:32:42.558]  The Info War is waiting for you to set it free.
[01:32:42.918 --> 01:32:44.559]  Join PrisonPlanet.TV.
[01:32:44.979 --> 01:32:46.800]  Burn the info bombs to dust.
[01:32:47.000 --> 01:32:48.841]  Put them on the file sharing networks.
[01:32:49.141 --> 01:32:50.562]  Bring down the New World Order.
[01:32:50.962 --> 01:32:52.303]  PrisonPlanet.TV.
[01:32:52.663 --> 01:32:53.303]  It's a fact.
[01:32:53.524 --> 01:33:01.007]  Since the creation of the Federal Reserve in 1913, all banks in these United States create money out of thin air for every single loan they issue.
[01:33:01.127 --> 01:33:04.709]  With never-ending late fees, over-the-limit fees, and higher and higher interest rates,
[01:33:04.889 --> 01:33:09.972]  It has become mathematically impossible to repay all debt, making all of us slaves to our creditors.
[01:33:10.252 --> 01:33:20.817]  The Federal Debt Relief System has created a successful, attorney-backed program to legally eliminate credit card debt, personal loans, lines of credit, and other unsecure debts which have been fraudulently created by the banks.
[01:33:21.057 --> 01:33:27.120]  We can terminate your unsecure debt within 18 months with a much lower monthly payment, ending with nothing on your credit report.
[01:33:27.340 --> 01:33:32.343]  Join the thousands of Americans who now breathe with a sigh of relief because they have legally eliminated their debts.
[01:33:32.523 --> 01:33:37.026]  Instead of living each day in fear and frustration, it's time to take action and turn your life around.
[01:33:37.186 --> 01:33:38.987]  Call the Federal Debt Relief System at 877-943-8600.
[01:33:39.007 --> 01:33:39.288]  That's 877-943-8600.
[01:33:39.308 --> 01:33:39.748]  Or visit FDRS.org.
[01:33:39.848 --> 01:33:41.709]  Find out how you can break the cycle of debt slavery.
[01:33:41.769 --> 01:33:42.190]  Visit FDRS.org today.
[01:33:42.210 --> 01:33:44.371]  You're listening to GPN, Regenerative Communications Radio Network.
[01:34:05.591 --> 01:34:08.912]  All right, we're back live, final segment, some final news coming up right now.
[01:34:08.932 --> 01:34:12.533]  Let's go to your call, Fred in Japan.
[01:34:12.633 --> 01:34:16.194]  Land of the rising sun, you're on the air, go ahead.
[01:34:16.214 --> 01:34:18.014]  Hey, fat boy.
[01:34:18.034 --> 01:34:18.715]  Hey!
[01:34:19.135 --> 01:34:20.255]  I mean that affectionately.
[01:34:20.275 --> 01:34:26.417]  Listen, I live in Austin, but I came over to Japan.
[01:34:26.437 --> 01:34:27.477]  I do video production.
[01:34:28.806 --> 01:34:30.067]  We're good to go.
[01:34:30.107 --> 01:34:30.847]  We're good to go.
[01:34:56.730 --> 01:34:57.651]  Anything you might want?
[01:35:15.604 --> 01:35:18.966]  I was just going to videotape it and then maybe post it to YouTube or something.
[01:35:18.986 --> 01:35:19.066]  Good!
[01:35:19.446 --> 01:35:22.608]  So, Volper didn't tell me you had a television show in Osaka.
[01:35:22.968 --> 01:35:24.569]  Is it regional or is it nationwide?
[01:35:24.769 --> 01:35:36.056]  No, I think what I've been told is Osaka is the second largest city in Japan and so I'm pretty sure it's nationwide because the guys that I'm working for, they know him.
[01:35:36.576 --> 01:35:42.079]  They're pretty big fans and the people here, at least the people that I've been interacting with, they seem pretty well informed.
[01:35:42.139 --> 01:35:42.920]  I showed them the
[01:35:43.897 --> 01:35:47.019]  The Japanese Diet Parliament video.
[01:35:47.299 --> 01:35:49.341]  The government saying 9-11 is an inside job.
[01:35:49.381 --> 01:35:52.163]  The former Italian President saying it's an inside job.
[01:35:52.183 --> 01:35:54.845]  The former head of the German Parliament saying it's an inside job.
[01:35:55.125 --> 01:35:57.546]  All these former top CIA people saying it's an inside job.
[01:35:57.907 --> 01:35:58.987]  Oh, but we're kooks!
[01:35:59.408 --> 01:35:59.828]  Correct.
[01:36:01.209 --> 01:36:04.431]  But then I wanted to show them loose change and I couldn't figure out how to do it.
[01:36:04.471 --> 01:36:09.415]  But they immediately pulled it up and it's already been translated to Japanese and they love it.
[01:36:10.055 --> 01:36:10.755]  Good job, man.
[01:36:10.775 --> 01:36:11.456]  Good to hear from you.
[01:36:12.458 --> 01:36:15.640]  That's an Austin transplant to Osaka!
[01:36:18.402 --> 01:36:22.125]  Let's go ahead now and talk to Dan in Texas.
[01:36:22.165 --> 01:36:22.926]  Dan, you're on the air.
[01:36:23.826 --> 01:36:24.407]  Dan in Texas.
[01:36:25.007 --> 01:36:29.150]  Yes, Mr. Jones, I was having one of those moments, one of those Alex Jones is right moments.
[01:36:29.571 --> 01:36:37.797]  If anybody wants to learn how to stay calm in a crisis, they're going to teach it at the Baptist Church in New Braunfels, Texas on February 24th.
[01:36:38.097 --> 01:36:40.799]  They're going to have a lecture on how to stay calm in a crisis.
[01:36:40.979 --> 01:36:54.735]  Now for those that don't know what that is, I first reported two years ago and had the pastors on and released secret FEMA documents that 13,000 preachers had been secretly trained in 2006 to tell their people to stay calm.
[01:36:57.598 --> 01:37:04.804]  But, then when you show up at the event, they tell you, turn your guns in when the government says, give them your children, go to FEMA camps, take the shots.
[01:37:04.944 --> 01:37:10.769]  I released the documents, and now last year, television, was it NBC, admitted and said yes.
[01:37:11.129 --> 01:37:12.750]  Now it's 26,000 preachers.
[01:37:12.790 --> 01:37:13.691]  They've doubled the number.
[01:37:14.071 --> 01:37:15.232]  Well, I'm not actually a church member.
[01:37:15.252 --> 01:37:16.973]  The church is called the First Baptist Church.
[01:37:17.013 --> 01:37:17.814]  I'm just kind of a visitor.
[01:37:17.834 --> 01:37:19.154]  I went with a friend and I was just...
[01:37:44.431 --> 01:37:54.302]  And, I'm not kidding, just like pastors training for martial law, or pastors being recruited by government into Google, you'll find all the documents, the articles, the rest of it.
[01:37:54.362 --> 01:37:57.825]  And when the preacher, one of them came on my show, he faxed it from another place.
[01:37:58.446 --> 01:38:05.513]  FEMA went and interrogated the place, tracked back when he made the fax and came in and threatened him, but it doesn't matter, a year later it came out.
[01:38:06.134 --> 01:38:07.175]  So how did you hear about this?
[01:38:08.015 --> 01:38:08.796]  Well, I went to church.
[01:38:09.357 --> 01:38:16.143]  I went to church on a Sunday morning and they offered me this packet, the new member packet, and it has all this neat stuff in it, and it has a little brochure in it.
[01:38:16.163 --> 01:38:18.806]  It tells you what they're doing this month, and that's what they're doing this month.
[01:38:18.826 --> 01:38:20.428]  Now, now, have you heard me talk about that?
[01:38:21.048 --> 01:38:21.669]  Yes, I have.
[01:38:21.709 --> 01:38:24.252]  I've been listening to you for probably five to seven years now.
[01:38:24.372 --> 01:38:26.634]  Now, did you open it and read it at home, or did you see this there?
[01:38:27.235 --> 01:38:27.975]  No, I read it at home.
[01:38:27.995 --> 01:38:29.257]  See, actually, that's what I was going to ask you.
[01:38:29.297 --> 01:38:30.318]  What should I tell these people?
[01:38:30.902 --> 01:38:32.643]  You should go with a video camera.
[01:38:32.663 --> 01:38:33.543]  They're going to hear about this.
[01:38:33.603 --> 01:38:37.965]  FEMA's going to probably be there and say, and again, in America, secret police at a church.
[01:38:38.485 --> 01:38:40.086]  They'll probably tell you don't have a camera.
[01:38:40.526 --> 01:38:43.168]  But I would just pull one out and start taping and have a friend there.
[01:38:43.208 --> 01:38:44.408]  They'll probably try to call police.
[01:38:44.708 --> 01:38:46.549]  I mean, I don't know this group, but this is a standard M.O.
[01:38:46.569 --> 01:38:48.110]  because you're not allowed to tape it.
[01:38:48.310 --> 01:38:49.570]  Well, it's secret.
[01:38:49.710 --> 01:38:50.571]  Oh, government.
[01:38:50.691 --> 01:38:51.231]  Marshal Laurel.
[01:38:51.371 --> 01:38:53.052]  I mean, see folks how bad it is?
[01:38:53.692 --> 01:38:55.473]  Well, don't get crazy now, Mr. Jones.
[01:38:55.553 --> 01:38:59.675]  I'll go ahead and record it for you, but don't go hunting anyone down or nothing like that because I, you know,
[01:39:00.427 --> 01:39:01.727]  Don't want to cause too much trouble, sir.
[01:39:02.147 --> 01:39:04.068]  I know, we want to just let the martial law happen.
[01:39:04.568 --> 01:39:06.049]  No, okay, you're right.
[01:39:06.109 --> 01:39:09.029]  I mean, specifically, what does it say in there?
[01:39:10.370 --> 01:39:12.870]  I haven't read the, well, it's a lecture.
[01:39:12.930 --> 01:39:15.331]  It's not, the brochure doesn't say what they're going to teach.
[01:39:15.351 --> 01:39:18.672]  But that's what church is about in the Soviet Union and China.
[01:39:18.952 --> 01:39:23.793]  You go and the pastor tells you how to submit to the government and how to worship them.
[01:39:24.394 --> 01:39:25.594]  That's pretty much what they're going to do.
[01:39:26.963 --> 01:39:28.264]  So, we'll find out, I guess, huh?
[01:39:28.664 --> 01:39:31.346]  Oh, listen, I want you to... What date is this?
[01:39:32.146 --> 01:39:33.627]  This is on February 24th.
[01:39:35.869 --> 01:39:38.270]  And, uh, is it a lecture by the pastor?
[01:39:39.231 --> 01:39:39.651]  I don't know.
[01:39:39.671 --> 01:39:40.892]  I've only been to the church twice.
[01:39:40.972 --> 01:39:42.092]  I assume it's by the pastor.
[01:39:42.833 --> 01:39:44.894]  What to do in a disaster?
[01:39:45.434 --> 01:39:46.235]  Oh, thank you.
[01:39:46.855 --> 01:39:48.696]  Yeah, it doesn't matter whether that story's true or not.
[01:39:48.716 --> 01:39:50.698]  The caller sounds credible, but I'm sure it's a wonderful church.
[01:39:51.178 --> 01:39:54.380]  And you've got a lot of well-meaning idiots in these churches that run these systems.
[01:39:55.256 --> 01:39:56.936]  Hitler, of course, recruited the churches.
[01:39:56.996 --> 01:39:58.257]  The Soviets did that, too.
[01:39:58.297 --> 01:39:59.677]  The Communist Chinese did that.
[01:39:59.857 --> 01:40:01.817]  And don't believe me?
[01:40:01.857 --> 01:40:04.138]  Go to PrisonPlanet.com and read the actual documents.
[01:40:04.518 --> 01:40:07.678]  But you don't have to believe the documents we got a year before it broke in the news.
[01:40:08.459 --> 01:40:21.441]  You can just actually go to the newscast we now have posted, where they say, Marshall Law, the pastors, have been recruited by FEMA to teach their flock how Marshall Law is good and how we must turn our guns in.
[01:40:22.492 --> 01:40:23.653]  That's good, isn't it?
[01:40:24.033 --> 01:40:26.075]  And Ann Coulter is endorsing Hillary Clinton.
[01:40:26.836 --> 01:40:27.957]  That's conservative!
[01:40:29.478 --> 01:40:36.905]  They're going for broke, ladies and gentlemen, because they know when they pull the plug for depression, to take everything you've got, you're going to get angry, so they've got to have all the pastors out there.
[01:40:36.965 --> 01:40:38.906]  No, no, it's of the Lord!
[01:40:39.807 --> 01:40:41.208]  It's of the Lord!
[01:40:41.228 --> 01:40:44.211]  Oh, it's so sick.
[01:40:45.452 --> 01:40:47.294]  Mike in Maryland, you're on the air, go ahead.
[01:40:48.723 --> 01:40:49.223]  Hey, Alex.
[01:40:49.283 --> 01:40:49.924]  How's it going, man?
[01:40:50.164 --> 01:40:52.846]  Well, I'm learning how to go to church to submit today.
[01:40:53.586 --> 01:40:54.087]  Hey, man.
[01:40:54.247 --> 01:40:57.549]  I'm calling you from about 13 miles over the side of Fort Detrick.
[01:40:57.589 --> 01:41:00.852]  You ought to see all the building up in the last three years up here at Fort Detrick.
[01:41:00.872 --> 01:41:02.773]  Yeah, that was under BioShield.
[01:41:03.273 --> 01:41:08.377]  Tens of billions of dollars to create huge, expand the biological and chemical weapons labs.
[01:41:09.377 --> 01:41:10.838]  So that's what that's going on?
[01:41:10.878 --> 01:41:11.799]  BioShield, yeah.
[01:41:12.520 --> 01:41:17.243]  Okay, and the other thing is I wanted to let you know that I'm retired military.
[01:41:17.802 --> 01:41:29.345]  And no longer can you, you know, the paper, like medical records that you can't carry in to see your physician wherever you go, Walter Reed, National Naval, they're doing away with that.
[01:41:30.306 --> 01:41:35.947]  It's all got to be in the database in case you were a smoker, in case you are overweight, you're not going to get treatment.
[01:41:36.507 --> 01:41:37.788]  Exactly.
[01:41:37.948 --> 01:41:40.088]  And they're changing the meds that you're on.
[01:41:41.169 --> 01:41:41.809]  Yeah, they're going on.
[01:41:41.829 --> 01:41:44.349]  You've been on for 20 years, they're changing them, buddy.
[01:41:44.790 --> 01:41:46.290]  Well, it's for your own good, sir.
[01:41:46.792 --> 01:41:47.472]  Yeah, right!
[01:41:47.932 --> 01:41:49.873]  Sir, the drink fluoride, okay?
[01:41:50.113 --> 01:41:52.353]  It's good to have preachers telling people to turn their guns in.
[01:41:52.754 --> 01:41:54.994]  I mean, I mean, I mean... It's going to be a battle.
[01:41:55.014 --> 01:41:56.034]  It's going to be a battle.
[01:41:56.054 --> 01:41:56.815]  We better get ready.
[01:41:57.095 --> 01:42:01.536]  Well, now, sir... Sir... I'm going to be fighting.
[01:42:01.756 --> 01:42:02.556]  I'm going to be fighting.
[01:42:02.676 --> 01:42:08.077]  Sir, your pastor says... They even teach him how to let the government take your kids.
[01:42:09.118 --> 01:42:10.198]  It's of the Lord.
[01:42:11.528 --> 01:42:15.149]  This government secretly recruited the preachers, and now they're openly announcing it.
[01:42:15.469 --> 01:42:17.090]  Secretly recruiting preachers!
[01:42:17.530 --> 01:42:20.390]  The Pentagon and FEMA is at the Lord!
[01:42:21.051 --> 01:42:24.071]  Having secret government ops everywhere, it's good!
[01:42:24.812 --> 01:42:27.492]  Oh, Mike in Virginia, where our friends rule us.
[01:42:27.912 --> 01:42:29.133]  Go ahead, you're on the air, sir.
[01:42:29.153 --> 01:42:30.233]  How you doing, sir?
[01:42:30.453 --> 01:42:30.733]  Good!
[01:42:31.453 --> 01:42:33.194]  Hey, look, I'll be quick about this.
[01:42:33.254 --> 01:42:34.754]  I should have called at the beginning of the show.
[01:42:35.214 --> 01:42:37.015]  I'm new to all this information.
[01:42:37.035 --> 01:42:38.995]  I'm just... Just drink more fluoride, you'll be okay.
[01:42:39.716 --> 01:42:40.276]  I'm sorry, go ahead.
[01:42:40.296 --> 01:42:40.576]  Go ahead.
[01:42:41.334 --> 01:42:45.356]  Yeah, I heard you on the Alan Cohn Show a couple weeks ago and I've been hooked ever since.
[01:42:45.476 --> 01:42:49.177]  I've been to your website, InfoWarsandPrisonPlanet.com.
[01:42:49.857 --> 01:42:52.478]  I have a couple of questions, I'll just let you speak on it.
[01:42:52.518 --> 01:42:52.858]  Hit me!
[01:42:53.479 --> 01:42:58.180]  Alright, like I said, I'm an infant to this kind of awakening, so be patient with me.
[01:42:58.881 --> 01:43:02.782]  I just recently found out that the Federal Reserve is not a governmental agency.
[01:43:02.822 --> 01:43:04.143]  No, private corporation.
[01:43:04.183 --> 01:43:06.824]  Now they're going to bankrupt everything and take over, yeah.
[01:43:07.304 --> 01:43:09.745]  Yeah, I was wondering if you could comment on that, as well as
[01:43:10.862 --> 01:43:22.087]  We're in Iraq fighting for democracy, so to speak, but yet we allow families such as the Saudis of Saudi Arabia and the English monarchies to survive, and the Kuwaiti families.
[01:43:22.107 --> 01:43:22.927]  It's all staged.
[01:43:22.947 --> 01:43:27.710]  The official Pentagon plan is to exterminate Iraqis and carry out genocide.
[01:43:27.910 --> 01:43:30.691]  But the public thing is 100 years to democratize them.
[01:43:31.400 --> 01:43:44.345]  It's about oil, drugs, no-bid contracts, invading other nations, building permanent bases, and also creating a cadre of military people that have done house-to-house gun confiscation to bring them back here and double the size of the police force with them.
[01:43:46.086 --> 01:43:47.307]  That's all in the Pentagon documents, too.
[01:43:47.367 --> 01:43:51.888]  Everything I say is documented.
[01:43:52.409 --> 01:43:53.109]  Great questions, sir.
[01:43:53.129 --> 01:43:57.571]  Call me back next Sunday or during the weekday show and we can talk more about the run-for-profit Federal Reserve.
[01:43:58.811 --> 01:44:00.212]  Look, I've just been real angry today.
[01:44:01.627 --> 01:44:09.090]  Callers remind me of things, like the preachers being recruited, telling them, let them take your kids, let them take your guns, go to camps, let them give you shots, it's of the Lord.
[01:44:09.110 --> 01:44:11.190]  I mean, that's like a science fiction horror movie.
[01:44:11.210 --> 01:44:12.751]  It's going on all around you!
[01:44:12.871 --> 01:44:15.012]  You need to ask your preachers locally if they're part of this!
[01:44:16.712 --> 01:44:21.314]  Look, the good news is the people have woken up, they tried to bring fascism in with Hillary and Bush, they're all together.
[01:44:21.814 --> 01:44:22.554]  It isn't going to work.
[01:44:22.854 --> 01:44:23.714]  The battle's joined.
[01:44:23.994 --> 01:44:28.456]  Spread the word, tell everybody about TruthNews.us, PrisonPlanet.com, InfoWars.com.
[01:44:30.285 --> 01:44:33.171]  Look, I hope you enjoy the Super Bowl, but I hope you start thinking about what really matters.
[01:44:33.191 --> 01:44:34.673]  That's your children and your future.
[01:44:35.174 --> 01:44:35.936]  God bless you all.
[01:44:36.016 --> 01:44:37.519]  Big news tomorrow on Prison Planet.
[01:44:37.719 --> 01:44:38.921]  Huge breaking news tomorrow.
[01:44:39.101 --> 01:44:39.703]  Wait till you see it.
[01:44:42.392 --> 01:44:43.413]  Hi, this is Ted Anderson.
[01:44:43.453 --> 01:44:45.293]  Did you miss your favorite shows on GCN today?
[01:44:45.594 --> 01:44:53.137]  Thanks to the continued support of our listeners, subscribers, and sponsors, we are proud to bring the GCN audience a new and exciting way to listen called On Demand.
[01:44:53.617 --> 01:44:59.300]  Available on GCNlive.com, On Demand plays each show continuously until the next time the show goes live.
[01:44:59.620 --> 01:45:00.501]  It's simple to use.
[01:45:00.761 --> 01:45:04.923]  Just go to GCNlive.com, click on the On Demand button, and find your favorite shows.
[01:45:05.463 --> 01:45:06.304]  Don't get discouraged.
[01:45:06.444 --> 01:45:07.664]  Get On Demand, free!
[01:45:08.145 --> 01:45:10.986]  Thanks again to the listeners at GCNlive.com.
[01:45:13.247 --> 01:45:14.287]  Looking for profits?
[01:45:14.327 --> 01:45:15.728]  Looking for safety and security?
[01:45:16.048 --> 01:45:19.449]  The $10 Olympic commemorative gold coin offers both.
[01:45:19.469 --> 01:45:26.872]  This low-mintage collector coin, with a total series mintage under $600,000, has sold at four times its current price.
[01:45:26.912 --> 01:45:30.654]  Falling dollar values and inflation make this likely to happen again.
[01:45:30.674 --> 01:45:32.174]  Secure your position today.
[01:45:32.254 --> 01:45:33.735]  Call Midas Resources at 1-800-686-2237.
[01:45:33.755 --> 01:45:34.035]  That's 1-800-686-2237.
[01:45:42.580 --> 01:45:42.904]  Jerk.
