[00:00:00.029 --> 00:00:00.817]  They can read along.
[01:39:19.251 --> 01:39:20.495]  We actually have the U.S.
[01:39:20.555 --> 01:39:21.077]  Attorney.
[01:39:21.630 --> 01:39:24.171]  They're doing the work that New Jersey's attorneys should be doing.
[01:39:24.191 --> 01:39:29.214]  We have a thousand attorneys working for the state government in New Jersey, yet they have to use a federal U.S.
[01:39:29.314 --> 01:39:32.876]  attorney to prosecute the corrupt politicians that are here.
[01:39:32.936 --> 01:39:34.777]  So far, they've nailed, like, the mayor of Newark.
[01:39:34.797 --> 01:39:35.837]  Well, that's another problem.
[01:39:35.857 --> 01:39:38.038]  They'll never go after locals with the state.
[01:39:38.098 --> 01:39:41.700]  It's like it's supposedly the purview of the feds, who are even more corrupt.
[01:39:41.720 --> 01:39:44.822]  A very dangerous violation of states' rights.
[01:39:45.002 --> 01:39:45.382]  Mr. Key?
[01:39:45.402 --> 01:39:48.024]  Yeah, it's unfortunate.
[01:39:48.084 --> 01:39:50.565]  I had somebody on another program several days ago.
[01:39:51.686 --> 01:40:01.870]  Call me up and talk about civil rights laws and how the feds had to come in and prosecute people for racial types of crimes and what have you.
[01:40:02.370 --> 01:40:03.311]  So that's a tough issue.
[01:40:03.351 --> 01:40:11.794]  You get down the path, you buy into the federal government having a good role and the only one that can fix, make some wrongs right.
[01:40:12.669 --> 01:40:14.350]  And it kind of gets things all screwed up.
[01:40:14.831 --> 01:40:20.294]  Well they play that game in Europe where the nations, they won't let the people ever go to those courts, they've got to go to the EU court.
[01:40:21.255 --> 01:40:25.657]  And so it's handing your authority away when you have less control over the Feds.
[01:40:25.717 --> 01:40:26.318]  Anything else Greg?
[01:40:27.317 --> 01:40:33.002]  Well, my question was, do you think that's a good thing or a bad thing, where we have to actually ask the U.S.
[01:40:33.082 --> 01:40:34.102]  Attorney to get involved?
[01:40:34.142 --> 01:40:40.547]  Yeah, I think it's a bad thing, because the feds are even so much more corrupt, and they'll only selectively enforce on who they want.
[01:40:40.567 --> 01:40:43.490]  I mean, I think that really is a state matter.
[01:40:43.510 --> 01:40:46.172]  Well, the problem is always the people.
[01:40:47.448 --> 01:40:48.669]  Holding their government accountable.
[01:40:48.709 --> 01:40:50.050]  That's always the problem.
[01:40:50.591 --> 01:40:56.956]  Because you could fix these things at the state level if the people would watch their government and hold people accountable and make them fix it.
[01:40:57.416 --> 01:40:58.257]  Yeah, here's an example.
[01:40:58.557 --> 01:41:01.079]  Who do you go to with the Feds engaged in terrorism?
[01:41:01.539 --> 01:41:06.143]  I mean, they admit they staged the USS Liberty, they staged the Gulf of Tonkin, a bunch of other events.
[01:41:06.383 --> 01:41:08.625]  Who do we go to about our own government staging things?
[01:41:08.645 --> 01:41:13.449]  I mean, going to the Feds, you know, whoever's got more power almost always is going to be more corrupt.
[01:41:14.091 --> 01:41:23.177]  Yeah, the problem, and another way of stating that, too, is the problem is it assumes that somehow the federal government is more moral or ethical or something.
[01:41:23.537 --> 01:41:23.997]  And they're not.
[01:41:24.137 --> 01:41:33.143]  Just like Alex is saying, you know, they're just people, and they're corrupt, too, and they're going to use their power for things other than, you know, what's best for all of us.
[01:41:33.443 --> 01:41:34.624]  Yeah, let's take another call.
[01:41:34.664 --> 01:41:35.204]  Thanks, Greg.
[01:41:35.264 --> 01:41:36.685]  John in Fort Worth, Texas.
[01:41:36.705 --> 01:41:38.426]  You're on the air with Representative Keith.
[01:41:39.466 --> 01:41:40.807]  Hi, thank you for taking my call.
[01:41:41.007 --> 01:41:42.869]  I just wanted to ask the Representative,
[01:41:44.249 --> 01:41:59.422]  How did, after Oklahoma City, how did the, in general, the majority of people in Oklahoma, did they go along with the status that was given to them, or was there a lot of trepidation in what happened?
[01:42:00.803 --> 01:42:12.593]  Well, I think, and I've come to describe it this way, and I think I always probably will, the answer to that kind of question is that people were traumatized all over the country, but especially right here
[01:42:13.479 --> 01:42:22.503]  At ground, at the ground central or whatever I'm trying to say, right here where it happened, right here in Oklahoma City.
[01:42:22.963 --> 01:42:26.004]  I mean, people were just traumatized by this.
[01:42:27.165 --> 01:42:33.928]  They had, you know, it's hard to find somebody that didn't know someone or had a relative that was killed or badly hurt.
[01:42:34.788 --> 01:42:36.709]  And then it went on.
[01:42:36.949 --> 01:42:38.369]  It didn't just go away after that.
[01:42:38.429 --> 01:42:39.570]  It went on for years.
[01:42:40.456 --> 01:42:41.856]  And so people got tired of it.
[01:42:41.876 --> 01:42:44.677]  They were emotionally just... Sick of it.
[01:42:45.177 --> 01:42:46.177]  Wrenched, you know.
[01:42:46.918 --> 01:42:52.959]  But I mean, how did they deal with all those newscasts reporting the bombs and then later newscasts saying there were Iraqis involved in all this?
[01:42:53.579 --> 01:42:57.420]  I mean, when they call you a kook, would you raise those points?
[01:42:58.521 --> 01:43:03.842]  Yeah, and I think most people believed it, but I think it was an emotional thing is why they eventually go along.
[01:43:04.502 --> 01:43:13.410]  You know, they kind of go along with the entities, whether it's the newspapers or other politicians that attack the messenger.
[01:43:13.891 --> 01:43:17.094]  They go along with them because it's an emotional... Yeah, it's too scary.
[01:43:17.214 --> 01:43:18.575]  It's too scary to admit the truth.
[01:43:18.855 --> 01:43:19.996]  Thank you, John.
[01:43:20.757 --> 01:43:26.662]  Charles in New Hampshire, final caller for Representative Charles Key, coming up after
[01:43:27.884 --> 01:43:28.625]  This quick break.
[01:43:28.685 --> 01:43:32.950]  So we've got a final segment coming up straight ahead.
[01:43:33.451 --> 01:43:35.893]  We've got a lot of other callers, but we'll see how many we can get in here.
[01:43:36.754 --> 01:43:37.015]  Okay.
[01:43:44.412 --> 01:43:47.795]  More than 700 chemicals have been found in our drinking water.
[01:43:47.935 --> 01:43:53.159]  And did you know that you have greater exposure to these chemicals while taking hot showers than when drinking the water?
[01:43:53.339 --> 01:43:58.123]  That's because many chemicals are inhaled when they evaporate, and others are absorbed into the skin.
[01:43:58.503 --> 01:44:09.612]  The KDF Dual Media Shower Filter works with both hot and cold water, and is designed to reduce chlorine, lead, mercury, and iron, and it inhibits the growth of bacteria, mold, algae, and fungus.
[01:44:10.012 --> 01:44:15.558]  The KDF Dual Media Shower Filter typically lasts 10,000 gallons or one year, whichever comes first.
[01:44:15.778 --> 01:44:21.864]  Hospitals, restaurants, and water treatment facilities use this media to reduce chlorine, iron, heavy metals, and bacteria.
[01:44:22.044 --> 01:44:22.704]  What about you?
[01:44:23.085 --> 01:44:29.131]  Order your KDF Shower Filter normally, $49 for a special price of only $39.99 with free shipping.
[01:44:29.531 --> 01:44:31.653]  Call the Berkey guy and order now by calling 1-877-886-3653.
[01:44:35.017 --> 01:44:35.458]  That's 1-877-886-3653.
[01:44:35.478 --> 01:44:38.286]  Or simply click on the banner at GCNlive.com to order online now.
[01:44:43.889 --> 01:44:46.411]  Terror Storm, a history of government-sponsored terror.
[01:44:46.751 --> 01:44:48.032]  Loose Change Final Cut.
[01:44:48.312 --> 01:44:50.294]  Endgame, blueprint for global enslavement.
[01:44:50.474 --> 01:44:52.195]  The true story of the Bilderberg Group.
[01:44:52.355 --> 01:44:53.616]  The late, great USA.
[01:44:53.856 --> 01:44:55.277]  America, freedom to fascism.
[01:44:55.618 --> 01:45:02.442]  These are just a few of the hundreds of powerful documentary films and books available at truthnews.us and prisonplanet.com.
[01:45:02.663 --> 01:45:06.585]  When you visit prisonplanet.com, you can connect to our amazing online store.
[01:45:06.726 --> 01:45:10.068]  Whether you're looking for survival and wellness products like Berkey water filters,
[01:45:10.408 --> 01:45:10.728]  We're good.
[01:45:43.089 --> 01:45:46.050]  If you're an adult male, you need to listen to this information.
[01:45:46.270 --> 01:45:50.172]  By the age of 60, half of all men have a prostate-related problem.
[01:45:50.392 --> 01:45:54.414]  In the past, many men have turned to saw palmetto to support prostate health.
[01:45:54.834 --> 01:45:56.715]  But now, there's something much better.
[01:45:56.995 --> 01:45:58.375]  It's called beta-prostate.
[01:45:58.635 --> 01:46:03.878]  Beta-prostate contains 3,000 times more healthy plant sterols than ordinary saw palmetto.
[01:46:04.138 --> 01:46:10.000]  In fact, you'd have to take 100 saw palmetto capsules to get the same benefits of one dose of beta-prostate.
[01:46:10.320 --> 01:46:15.721]  It's guaranteed to provide noticeable support, even if you're already having prostate-related health issues.
[01:46:16.041 --> 01:46:19.902]  Now you can get Roger Mason's Beta Prostate Formula through this special offer.
[01:46:20.142 --> 01:46:24.322]  And if you call now, you'll learn how to get a free bottle of Beta Prostate with your order.
[01:46:24.643 --> 01:46:26.443]  Feel a difference or your money back.
[01:46:26.683 --> 01:46:27.423]  Here's how to order.
[01:46:27.683 --> 01:46:29.403]  Call now to order Beta Prostate.
[01:46:29.563 --> 01:46:30.023]  Dial 1-800-457-9914.
[01:46:30.043 --> 01:46:31.824]  Support your prostate with safe, all-natural ingredients.
[01:46:31.844 --> 01:46:32.104]  Dial 1-800-457-9914.
[01:46:39.349 --> 01:46:39.749]  That's 1-800-457-9914.
[01:46:39.769 --> 01:46:42.170]  Before you slip into unconsciousness, I'd like to have another kiss,
[01:47:06.701 --> 01:47:07.762]  Getting you thinking.
[01:47:07.822 --> 01:47:08.923]  That's what we're doing here.
[01:47:09.884 --> 01:47:13.048]  Monday through Friday from 11 to 3 p.m.
[01:47:13.088 --> 01:47:13.468]  Central.
[01:47:13.528 --> 01:47:15.110]  I'm back Sundays 4 to 6 p.m.
[01:47:15.950 --> 01:47:19.434]  Got loaded phone lines here, but all I have time to take is Charles and New Hampshire.
[01:47:19.754 --> 01:47:25.140]  Before we do that, Charles Key, any websites, anything you think people should check into or learn more from?
[01:47:26.604 --> 01:47:29.725]  Well, I really don't have anything prepared to pass on, Alex.
[01:47:30.285 --> 01:47:36.508]  Well, I just want to thank you for your tireless defense of the Republic, and I just wish we had more people like you in public service.
[01:47:37.108 --> 01:47:38.208]  Well, I appreciate that very much.
[01:47:38.649 --> 01:47:39.829]  Let's take a final call.
[01:47:40.249 --> 01:47:41.810]  Charles in New Hampshire, go ahead.
[01:47:42.330 --> 01:47:44.431]  Yeah, thank you very much for taking my call.
[01:47:45.191 --> 01:47:55.375]  Representative Key, it's just a wonderful surprise and pleasure to know that you're back on the Hill, 47 years of age, and been around, you know, paying attention to these things for quite some time, and I remember
[01:47:56.143 --> 01:48:06.006]  uh... you sticking out back in and the oklahoma bombing as being one of the the few if not the only one that was uh... courageous enough to uh... really look into this thing
[01:48:06.656 --> 01:48:11.482]  And I just can't say how happy I am that you're back, along with Representative Paul.
[01:48:11.882 --> 01:48:28.100]  My inquiry here specifically, because logically and common sense-wise, I remember when they were able to find out about the Ryder truck with supposedly an unscathed VIN number that just happened to miraculously survive this.
[01:48:28.599 --> 01:48:30.622]  Huge blast in the rider truck.
[01:48:30.943 --> 01:48:41.078]  It reminds me of 19 box cutters at 9-11 that somehow got through the metal detectors and no one has been able to bring out a box cutter, at least the metal part where it cuts.
[01:48:43.218 --> 01:48:48.421]  And what I understand, in some of the pictures that I've seen, I'm still waiting to see a hole in the ground.
[01:48:48.701 --> 01:48:52.143]  And wasn't the Murray Building a nuclear fallout shelter?
[01:48:52.323 --> 01:48:55.164]  It's just certain things, common sense, don't add up.
[01:48:55.364 --> 01:48:57.085]  Okay, thanks for the call.
[01:48:57.105 --> 01:48:59.927]  Let me get a final comment from Charles Key on that.
[01:49:01.628 --> 01:49:11.453]  Well, you know, there's been a lot of time passed by, so I'm not sure I recall anything like that, but it did have some lower levels in it, and it had a lower
[01:49:12.748 --> 01:49:16.589]  Level parking garage that actually was, I think, two levels deep below the ground level.
[01:49:16.609 --> 01:49:18.629]  Well, I remember the VIN number saying off the car.
[01:49:19.270 --> 01:49:20.010]  Yeah, the VIN number.
[01:49:20.030 --> 01:49:26.071]  I mean, there's a lot of odd things that happen in the Oklahoma City case, and that may be some real good, you know, evidence.
[01:49:26.191 --> 01:49:41.075]  And not that that's not worthy of talking about it when I make my next comment, but the fact is, you know, there's a wealth of information that proves that there were other people involved that our Justice Department and FBI did not want to go after those people.
[01:49:41.095 --> 01:49:42.115]  They intentionally did not.
[01:49:42.688 --> 01:49:50.110]  And, you know, to close up with back to the Tenth Amendment and the Constitution, we must hold government accountable at every level.
[01:49:50.630 --> 01:49:52.551]  If we don't, things get out of control.
[01:49:53.071 --> 01:50:02.493]  And not only do they take more of your money, more of your privacy, freedom of speech, freedom of assembly, and the list goes on, but things like the Oklahoma City bombing can happen.
[01:50:02.693 --> 01:50:03.294]  Absolutely.
[01:50:03.614 --> 01:50:06.514]  Charles Key, I really appreciate you spending time with us.
[01:50:06.535 --> 01:50:08.815]  I want to get you back up in the near future if you'll give us the time.
[01:50:09.115 --> 01:50:09.815]  Thank you for the time.
[01:50:10.276 --> 01:50:10.916]  Thank you for having me.
[01:50:12.076 --> 01:50:13.316]  We're out of time, ladies and gentlemen.
[01:50:13.336 --> 01:50:16.557]  I'll be back this Saturday, live, 4 to 6 p.m., and then all next week.
[01:50:17.598 --> 01:50:19.798]  Truth Rising is coming out on DVD.
[01:50:19.878 --> 01:50:20.578]  You can order it now.
[01:50:20.618 --> 01:50:21.459]  It ships next week.
[01:50:21.879 --> 01:50:26.300]  My new film, Truth Rising, at InfoWars.com, or for PrisonPlanet.tv members.
[01:50:26.640 --> 01:50:29.941]  And don't forget other sponsors that make the show possible, like Interfood.
[01:50:30.441 --> 01:50:32.922]  It is the best green food out there, bar none.
[01:50:33.662 --> 01:50:34.442]  I take it every day.
[01:50:34.462 --> 01:50:37.283]  Two little bitty scoops of orange juice or apple juice.
[01:50:37.403 --> 01:50:39.164]  Dulse kelp, barley, grass.
[01:50:40.124 --> 01:50:45.946]  There is Wheatgrass, Colrina, Spirulina, and 14 other superfoods.
[01:50:46.486 --> 01:50:47.907]  Balance energy all day long.
[01:50:48.007 --> 01:50:49.027]  Greater mental clarity.
[01:50:49.087 --> 01:50:50.008]  Reduce food cravings.
[01:50:50.488 --> 01:50:51.888]  ENERFOOD.COM.
[01:50:51.908 --> 01:50:53.169]  Go to INFOWARS.COM.
[01:50:53.529 --> 01:50:58.230]  Link through on the banner and get 10% off on ENERFOOD and all their fine line of products.
[01:50:58.671 --> 01:50:59.211]  ENERFOOD.COM or 1-866-762-9238.
[01:50:59.231 --> 01:50:59.871]  ENERFOOD.COM or 866-762-9238.
[01:51:08.914 --> 01:51:12.856]  Just again, please, everybody, get the word out about the radio show.
[01:51:12.936 --> 01:51:14.117]  It's how we reach more people.
[01:51:14.457 --> 01:51:15.678]  And thank you all for your support.
[01:51:15.958 --> 01:51:16.898]  Have a great weekend.
[01:51:16.958 --> 01:51:18.339]  Retransmission starts now.
[01:51:18.359 --> 01:51:24.062]  If you missed any of Jordan Maxwell or the other guests we had on, it starts now at InfoWars.com for web listeners.
[01:51:24.122 --> 01:51:27.064]  Thank you for listening to GCN.
