[00:00:02.431 --> 00:00:11.439]  Okay, huge new development.
[01:24:03.280 --> 01:24:13.088]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism, and hundreds of other titles.
[01:24:13.508 --> 01:24:15.790]  We're in a no-holds-bar information war.
[01:24:16.150 --> 01:24:21.494]  Truth is our weapon, and PrisonPlanet.com has the tools you need to take the fight back to Big Brother.
[01:24:24.797 --> 01:24:26.758]  Waging war on corruption.
[01:24:27.199 --> 01:24:29.961]  Alex Jones on the GCN Radio Network.
[01:24:35.077 --> 01:24:35.279]  Oh, yeah.
[01:24:44.659 --> 01:24:47.640]  I was talking about all over the country the Feds paid to have this done.
[01:24:47.660 --> 01:24:50.840]  They, uh... Well, I had a news article the other day.
[01:24:50.860 --> 01:24:51.680]  I haven't covered it yet.
[01:24:51.960 --> 01:24:57.581]  Bob, do you have that article where the little kid fell asleep at his table?
[01:24:58.341 --> 01:24:59.702]  His family had been in the hospital.
[01:24:59.802 --> 01:25:01.522]  It was his sister or his mother up in the article.
[01:25:01.722 --> 01:25:02.342]  This is admitted.
[01:25:02.362 --> 01:25:03.342]  I remember seeing this in the paper.
[01:25:03.862 --> 01:25:05.223]  So he fell asleep, his little head.
[01:25:05.243 --> 01:25:06.283]  They'd been at the hospital all night.
[01:25:06.303 --> 01:25:06.983]  He still went to school.
[01:25:07.523 --> 01:25:11.024]  And the officer came in, arrested him, charged him with disorderly conduct.
[01:25:11.064 --> 01:25:11.404]  Sleeping.
[01:25:11.684 --> 01:25:12.284]  Was disorderly.
[01:25:13.064 --> 01:25:15.826]  And now he's on probation and he visits the probation officer.
[01:25:16.506 --> 01:25:17.447]  And that's the new system.
[01:25:17.487 --> 01:25:19.629]  You know, 10 years in prison in Florida for speeding.
[01:25:21.110 --> 01:25:22.831]  You know, a year in prison for an apple peel.
[01:25:23.111 --> 01:25:25.372]  I mean, for an apple core or a banana peel on the ground.
[01:25:25.973 --> 01:25:30.876]  I mean, you know, it's total control where they're now arresting you for no seatbelt.
[01:25:30.896 --> 01:25:32.657]  They're now arresting you for no turn signal.
[01:25:33.438 --> 01:25:34.258]  They'll taser you.
[01:25:34.318 --> 01:25:38.461]  I mean, they taser you in Canada if you don't pay to get on the train.
[01:25:39.041 --> 01:25:40.903]  I mean, and they say this is your punishment.
[01:25:40.963 --> 01:25:42.484]  I mean, it's psycho.
[01:25:43.304 --> 01:25:43.885]  What's happened?
[01:25:45.045 --> 01:25:46.806]  We've lost our grand juries.
[01:25:47.707 --> 01:25:51.128]  There is a different way of appealing.
[01:25:51.789 --> 01:26:04.716]  When I was before the head district judge here in Travis County, and he suggested I file my complaints with the Sheriff's Department, I told him I did and they threw it in the trash, he said, well, I needed to appeal that to a higher court and petition for a writ of mandamus.
[01:26:04.756 --> 01:26:10.379]  And I told him, well, I don't know, judge, you know, you go before a corrupt judge and he renders a corrupt decision?
[01:26:10.979 --> 01:26:12.540]  So they tell you, oh, that's okay.
[01:26:12.920 --> 01:26:16.582]  You can go before a whole panel of corrupt judges and they can screw your royal.
[01:26:17.262 --> 01:26:19.224]  He said, well, Mr. Kelton, I don't think it's that bad.
[01:26:19.244 --> 01:26:20.844]  Yeah, that's because you're not pro se.
[01:26:21.545 --> 01:26:23.626]  I would much rather appeal to a grand jury.
[01:26:24.787 --> 01:26:26.467]  He said, well, you can't appeal to a grand jury.
[01:26:26.507 --> 01:26:27.028]  Sure I can.
[01:26:27.924 --> 01:26:33.786]  I can appeal to them with allegations of shielding from prosecution against the officer and see if they can get him arrested.
[01:26:34.186 --> 01:26:36.847]  Much better to take your complaint to a grand jury.
[01:26:36.907 --> 01:26:49.372]  But I mean, how do they humanly, I guess it's all about revenue, a little kid who's an A student, falls asleep, 11 years old, and they arrest him and his life's basically criminal from now on.
[01:26:49.392 --> 01:26:50.432]  He'll never get out of their system.
[01:26:50.552 --> 01:26:52.653]  That's part of the basic programming.
[01:26:52.893 --> 01:26:55.274]  Oh, they admit the schools are to get you ready for prison.
[01:26:55.474 --> 01:27:01.455]  The biggest hurdle I have to come over is the programming you had in school.
[01:27:02.215 --> 01:27:13.097]  You go to school for twelve years and they tell you about all these great and wonderful rights that you have, and all these privileges that you have as a citizen, but don't even think of trying to express one of those while you're in this school!
[01:27:13.177 --> 01:27:16.858]  Because if you do, the whole weight of the world will fall right on your heads.
[01:27:16.958 --> 01:27:20.199]  But the schools are designed to hurt our children, and uh...
[01:27:20.979 --> 01:27:26.265]  Did you hear about the case with We Are Change in Kentucky, who had press passes and the cops tackled them and stole their stuff?
[01:27:26.706 --> 01:27:27.467]  No, I didn't hear about that.
[01:27:27.527 --> 01:27:31.512]  And then now they call the cops and the cops go, we don't have those officers working here, and it turns out they do.
[01:27:31.532 --> 01:27:33.915]  I mean, what do you do when they just deny it?
[01:27:33.935 --> 01:27:37.399]  And the cop would come walking out in his uniform and they'll laugh and say, doesn't exist, slave!
[01:27:37.739 --> 01:27:40.441]  Don't even go to... I don't even talk to the policemen.
[01:27:40.561 --> 01:27:42.703]  Once they've screwed up, I go up.
[01:27:43.243 --> 01:27:44.884]  First place I want to go is grand jury.
[01:27:45.645 --> 01:27:47.606]  And the prosecutor's going to say, well, you're going to file it with me.
[01:27:47.706 --> 01:27:48.607]  Okay, I'll file it with you.
[01:27:48.647 --> 01:27:50.869]  And then he'll refuse to give them to the grand jury.
[01:27:50.909 --> 01:27:52.110]  Then I'll file against both of them.
[01:27:52.570 --> 01:27:54.291]  You get up there in the higher areas.
[01:27:54.552 --> 01:27:55.332]  We're the sovereigns.
[01:27:55.392 --> 01:27:56.073]  We can do that.
[01:27:56.913 --> 01:27:58.334]  I mean, we're human beings.
[01:27:59.432 --> 01:28:00.353]  They forgot that.
[01:28:00.494 --> 01:28:02.076]  I thought they're authorities and we're scum.
[01:28:02.376 --> 01:28:04.819]  Well, I tend to remind them that I'm sovereign.
[01:28:05.139 --> 01:28:08.584]  I never tell them I'm sovereign, but I do things that sovereigns do.
[01:28:09.764 --> 01:28:11.604]  I don't care what they say about a grand jury.
[01:28:12.405 --> 01:28:19.606]  From what I can find in Texas, there's no law in Texas that says I cannot approach the foreman of the grand jury while he's sitting on the toilet.
[01:28:20.447 --> 01:28:22.647]  If it doesn't say I can't do it, I can do it.
[01:28:23.307 --> 01:28:29.229]  So I go to the highest courts, I go to the highest judges and the grand jury at the drop of a hat.
[01:28:30.236 --> 01:28:33.257]  Well, Randy, we're going to have to have you back up for two hours to take calls sometime.
[01:28:33.277 --> 01:28:33.937]  Very interesting fellow.
[01:28:34.217 --> 01:28:36.198]  I plan to get George Gordon back on the show, too.
[01:28:36.218 --> 01:28:40.719]  I haven't had him on in about five, six years as we explore other areas.
[01:28:40.779 --> 01:28:47.120]  But the website is jurisimprudence.com.
[01:28:47.821 --> 01:28:53.002]  And in the next month or so, we'll have another seminar here in Austin or any surrounding area.
[01:28:53.022 --> 01:28:55.623]  I'd like to have you back in the studio to plug that.
[01:28:55.683 --> 01:28:56.783]  Randy Kelton, thanks for the time.
[01:28:56.963 --> 01:28:59.924]  We also have a website, Rule of Law Radio.
[01:29:00.345 --> 01:29:01.465]  It's a little easier to remember.
[01:29:01.505 --> 01:29:02.906]  Ruleoflawradio.com.
[01:29:03.306 --> 01:29:05.007]  I'm sure my good friend, Danny, will appreciate that.
[01:29:05.327 --> 01:29:06.147]  Thank you for coming in.
[01:29:06.167 --> 01:29:06.727]  I appreciate it.
[01:29:07.328 --> 01:29:07.808]  Thank you, Randy.
