[00:00:00.734 --> 00:00:04.076]  It's already Thursday, the 16th day of July 2009.
[01:54:22.134 --> 01:54:26.258]  Unless they had somebody who was going to come to your door and give you a shot.
[01:54:26.378 --> 01:54:27.839]  No, they're saying it in the bill.
[01:54:28.099 --> 01:54:31.482]  And again, months ago we're saying, hey, they're getting GPS for shots.
[01:54:31.802 --> 01:54:33.884]  Now they're calling saying, we got your GPS.
[01:54:34.404 --> 01:54:36.326]  And they're saying, we're going to lock down cities.
[01:54:36.706 --> 01:54:41.470]  And it's going to be on your ID card, on your database, whether or not you've had the shots.
[01:54:41.590 --> 01:54:44.973]  I mean, this is, and they've got all these TV shows, General.
[01:54:45.874 --> 01:54:50.477]  With this preparatory phase of there's going to be a pandemic, do what the military says.
[01:54:50.838 --> 01:54:53.399]  I mean, they're really drilling the public consciousness.
[01:54:53.840 --> 01:54:59.083]  And you're saying, you're saying, looking at the pieces, General, you think they're getting ready to really red light things.
[01:54:59.424 --> 01:55:01.485]  And I mean, green light things.
[01:55:01.845 --> 01:55:03.266]  And that this is the real deal.
[01:55:03.787 --> 01:55:07.649]  We want to make it a red light.
[01:55:07.809 --> 01:55:09.711]  And that's what pushback does, Alex.
[01:55:10.316 --> 01:55:12.818]  And let me tell you what, let's go to principles of war.
[01:55:12.838 --> 01:55:19.204]  One of the principles of war, and one of the most important principles of war is called math.
[01:55:21.499 --> 01:55:28.445]  You need to put together the largest force that you can do that totally overwhelms the other side.
[01:55:29.046 --> 01:55:31.508]  Right now, they have got the mass.
[01:55:32.008 --> 01:55:35.551]  We have got the mass in people, but they have been silent.
[01:55:35.952 --> 01:55:39.975]  They have now got to get up on their high legs and make noise.
[01:55:40.676 --> 01:55:45.400]  All of them, all of the people in this nation have got to get their
[01:55:46.040 --> 01:56:08.105]  Take the action that Dr. Rima talked about before, www.healthfreedomusa.org, and go to the Action Now column on the right-hand side, and make sure that your voices, all of your voices, are heard in Congress, and in the state, and the federal level, and in all of the agencies.
[01:56:08.585 --> 01:56:09.965]  You want to do that.
[01:56:10.165 --> 01:56:15.246]  Not one person listening to your show, Alex, should be unaware of the fact that both state
[01:56:15.666 --> 01:56:27.710]  And federal statutes say that if you don't accept a mandatory vaccine in time of pandemic, you will be involuntarily quarantined and incarcerated.
[01:56:27.830 --> 01:56:32.251]  Yes, that's the official executive order and the statutes right now.
[01:56:32.571 --> 01:56:35.592]  They can drag you and your family away, put whatever they want in your body.
[01:56:35.932 --> 01:56:37.173]  Folks, this is tyranny.
[01:56:37.453 --> 01:56:38.793]  They've got a history of eugenics.
[01:56:39.033 --> 01:56:43.455]  The White House chief is a eugenicist calling for our sterilization and deaths.
[01:56:44.515 --> 01:56:45.776]  General Stubblevine, I'll say it.
[01:56:45.917 --> 01:56:52.462]  Do we not, as free sentient beings, have a right to self-defense against aggression?
[01:56:52.722 --> 01:56:55.465]  I don't care what bullcrap law they say they've got.
[01:57:02.944 --> 01:57:16.266]  He's standing on his hind legs yelling, and they need to go to the website, they need to take the action, and they need to make sure that all of their friends, and their friends, friends, friends, and their friends, friends, friends, friends, friends, do the same.
[01:57:16.766 --> 01:57:21.387]  Because the way we're going to beat this thing, Alex, is through mass.
[01:57:21.787 --> 01:57:28.308]  It is called action by every single American who does not want to die.
[01:57:28.328 --> 01:57:29.169]  Period.
[01:57:32.432 --> 01:57:32.652]  Yes.
[01:57:32.672 --> 01:57:32.752]  Yes.
[01:57:48.015 --> 01:57:53.978]  If it's, as people fight it, is to secure eventual peace and prosperity.
[01:57:54.018 --> 01:57:56.860]  Now for the generals and the globalists it's a whole different matter.
[01:57:57.280 --> 01:57:59.782]  But what people want is peace and prosperity.
[01:58:00.142 --> 01:58:04.484]  And if we accept these vaccines we will have neither peace nor prosperity.
[01:58:04.904 --> 01:58:08.626]  If we push back, yeah they'll be back again next time.
[01:58:10.688 --> 01:58:27.163]  I was about to say, look at 2002-2003, they tried to make their first responders take the inoculations as an act of supplication and submission, and their own enforcers who were going to supposedly be running the force injection drills on us, and they've had these drills publicly, they won't even take it.
[01:58:27.503 --> 01:58:32.270]  But let's not let them have this fake victory of scaring everybody with the flu.
[01:58:32.570 --> 01:58:33.932]  Then it kind of blows over.
[01:58:34.193 --> 01:58:36.897]  They give people a soft kill weapon, kills them a decade later.
[01:58:37.177 --> 01:58:40.462]  That's never psychologically attached to the event of the vaccine.
[01:58:40.802 --> 01:58:43.967]  And then next time they say take the shot, people are more compliant.
[01:58:44.227 --> 01:58:53.059]  We've got to build our mass, our force to say no to this, and they're using the psyop of this fear-mongering to try to set the precedent to do this.
[01:58:53.420 --> 01:58:58.246]  We have to grow our muscles and our mass and our force each time in this fight.
[01:58:58.286 --> 01:58:59.688]  Do you agree with that statement, General?
[01:58:59.708 --> 01:59:00.269]  Absolutely.
[01:59:01.567 --> 01:59:03.348]  Let's call it Freedom's Multiplier.
[01:59:03.388 --> 01:59:12.891]  If you sign this demand, and it's not a request Alex, it's a demand for the right to control what happens to your body and your children's body, and you don't get ten people or a hundred people to do the same, you
[01:59:30.638 --> 01:59:33.379]  You have failed in your duty as a free human being.
[01:59:33.779 --> 01:59:34.319]  Absolutely.
[01:59:34.339 --> 01:59:39.580]  And call into other talk shows and say, I want you to have General Stubblebine and Dr. Labo on.
[01:59:39.620 --> 01:59:41.641]  I want you to have other people on to talk about this.
[01:59:41.941 --> 01:59:43.861]  Get a huge buzz going as well.
[01:59:44.121 --> 01:59:45.762]  That's another area of the info war.
[01:59:46.042 --> 01:59:47.942]  These letters to the criminals is good as well.
[01:59:48.743 --> 01:59:54.324]  But this is part of the domestication, part of the process of training us to take their soft kill weapons.
[01:59:54.924 --> 01:59:59.286]  General Stubblevine, as this develops, let me have both of you back up in the near future as we go into the fall.
[01:59:59.887 --> 02:00:06.370]  You too, Dr. Labo, and Godspeed in the work you're doing on all these other fronts with the Codex Alimentarius.
[02:00:06.630 --> 02:00:09.572]  Let's not wait five or six months before we have you back on again.
[02:00:09.592 --> 02:00:10.212]  You got it!
[02:00:10.292 --> 02:00:14.535]  And let me close in one other Sun Tzu quote.
[02:00:14.895 --> 02:00:19.117]  There comes a time in every battle when both sides are defeated.
[02:00:19.517 --> 02:00:23.820]  The side that persists at that time is the winner.
[02:00:24.940 --> 02:00:32.608]  It's time for our voices to continue to make noise so that we are heard in mass.
[02:00:33.228 --> 02:00:33.669]  Thank you.
[02:00:34.489 --> 02:00:34.990]  Absolutely.
[02:00:35.651 --> 02:00:37.632]  Dr. Lamo, General Stubblevine, God bless you.
[02:00:37.652 --> 02:00:38.593]  We'll talk to you again soon.
[02:00:38.613 --> 02:00:39.334]  Keep up the good work.
[02:00:39.634 --> 02:00:40.195]  Thanks, Alex.
[02:00:41.355 --> 02:00:42.455]  You judge them by their fruits.
[02:00:42.515 --> 02:00:44.356]  I only see good fruits from these people.
[02:00:45.176 --> 02:00:47.697]  I've seen no evidence when people try to demonize them and attack them.
[02:00:47.717 --> 02:00:53.638]  But regardless, let's not get diverted by, is Alex Jones good or bad, or is General Stolbein good or bad, is Ron Paul good or bad.
[02:00:53.938 --> 02:00:58.679]  You know the New World Order has signed executive orders and are saying they're getting ready to forcibly inject you.
[02:00:58.899 --> 02:01:00.800]  I can show you a newscast of every newscast that we have.
[02:01:01.040 --> 02:01:01.960]  You've heard it, you've seen it.
[02:01:02.680 --> 02:01:03.420]  That's the issue.
[02:01:03.540 --> 02:01:04.701]  Face the issue at hand.
[02:01:05.001 --> 02:01:06.021]  Force inoculations.
[02:01:06.361 --> 02:01:09.602]  You want to call me an agent because I'm saying you shouldn't have to take force inoculations?
[02:01:09.942 --> 02:01:10.362]  Go ahead.
[02:01:10.422 --> 02:01:11.343]  That's go and tell pro.
[02:01:11.763 --> 02:01:12.663]  Be weak minded if you want.
[02:01:12.703 --> 02:01:20.745]  I got a few points I want to make in the next five minutes and then we are going to end this transmission for today.
[02:01:20.765 --> 02:01:22.606]  But first off, I want people to look at this again.
[02:01:23.106 --> 02:01:24.807]  Look at this article again and look at it carefully.
[02:01:25.887 --> 02:01:26.407]  This is key.
[02:01:28.648 --> 02:01:30.348]  I want everybody to go to InfoWars.com.
[02:01:32.009 --> 02:01:32.209]  I know
[02:01:34.065 --> 02:01:36.226]  I know that Kurt Nimmo and Paul Watson are doing stories on this.
[02:01:36.266 --> 02:01:40.687]  They need to tie it into the GPS and the people getting phone calls about inoculations and the rest of it.
[02:01:40.928 --> 02:01:46.710]  Healthcare bill will fund state vaccine teams to conduct interventions in private homes.
[02:01:47.950 --> 02:01:49.231]  CNS News, very credible.
[02:01:49.271 --> 02:01:51.872]  There is a knock at the front door, peeking through the window.
[02:01:51.912 --> 02:01:54.693]  A mother sees a man with a woman, both in uniform.
[02:01:55.053 --> 02:01:56.673]  Now, I was getting calls about this in the last month.
[02:01:56.713 --> 02:01:57.994]  This is now already happening.
[02:01:59.520 --> 02:02:02.262]  They are agents of health care reform.
[02:02:02.322 --> 02:02:04.164]  Excuse me, ma'am, says the man.
[02:02:04.184 --> 02:02:05.685]  People have been describing this.
[02:02:06.406 --> 02:02:08.227]  They're even wearing, like, fake police uniforms.
[02:02:08.247 --> 02:02:10.669]  They're, like, blue that look like a police uniform.
[02:02:11.130 --> 02:02:11.710]  God help us.
[02:02:11.730 --> 02:02:13.111]  The eugenics teams are on the street.
[02:02:14.192 --> 02:02:15.333]  Excuse me, ma'am, says the man.
[02:02:15.714 --> 02:02:20.337]  Our records show you, our 11-year-old daughter, has not been immunized with Jindal Warts, which is the
[02:02:21.405 --> 02:02:22.767]  Soft kill, uh, Gardasil.
[02:02:23.608 --> 02:02:26.272]  And your four-year-old still needs a chickenpox vaccine, says the woman.
[02:02:26.893 --> 02:02:29.457]  He will not be able to start kindergarten unless he gets the shot.
[02:02:29.677 --> 02:02:31.540]  You know, says the man, smiling from ear to ear.
[02:02:31.560 --> 02:02:36.227]  And it just goes over, folks, this is now going on.
[02:02:38.513 --> 02:02:41.815]  My God, and they're talking about how it's a bill, and the bill's summary says they're going to do that.
[02:02:41.835 --> 02:02:44.676]  This is already being done with the CDC federally.
[02:02:45.036 --> 02:02:46.817]  I mean, this is total hell.
[02:02:47.118 --> 02:02:48.718]  Imagine if the Nazis would have come around.
[02:02:49.039 --> 02:02:49.839]  Oh, there's a flu scare.
[02:02:49.859 --> 02:02:50.920]  Everybody take your shot.
[02:02:51.440 --> 02:02:52.941]  Oh, people would have willingly done it.
[02:02:52.961 --> 02:02:54.742]  See, this is more sophisticated.
[02:02:54.762 --> 02:02:57.403]  The eugenicists got beaten back 60 years ago.
[02:02:57.483 --> 02:03:01.965]  Now they're here with a vengeance operating covertly.
[02:03:03.286 --> 02:03:06.268]  Okay, I want to go over these notes I've got here.
[02:03:07.438 --> 02:03:13.528]  But I also want to ask listeners to go to PrisonPlanet.com and get this article and get it out to everybody.
[02:03:14.770 --> 02:03:18.716]  This is of the greatest import that this be done.
[02:03:22.153 --> 02:03:27.075]  Obama's science advisor called for planetary regime enforces telemetry and population control measures.
[02:03:27.335 --> 02:03:28.735]  Folks, this has the documents, the book.
[02:03:28.755 --> 02:03:29.515]  You gotta read this.
[02:03:29.555 --> 02:03:31.476]  Now, these are some notes I wrote this morning.
[02:03:31.516 --> 02:03:33.136]  I promised I was going to cover these on air.
[02:03:33.436 --> 02:03:42.959]  I meant to spend hours elaborating on each, but I'm just going to go over this, these points I wrote slowly, so you know my philosophy and where I stand and where I hope people will stand with me on.
[02:03:44.280 --> 02:03:44.780]  We live
[02:03:46.604 --> 02:03:53.389]  A wonderful life on a wonderful planet full of wonders and full of just so many great things and so much goodness.
[02:03:53.509 --> 02:03:57.452]  And we've got to admit the evil in the world and fight the evil in the world to protect the good.
[02:03:57.973 --> 02:03:59.674]  And stop saying, hey man, just be positive.
[02:04:00.134 --> 02:04:00.915]  We are positive.
[02:04:00.935 --> 02:04:01.655]  That's why we're fighting.
[02:04:03.897 --> 02:04:06.079]  The only way to be in control is to kill.
[02:04:07.262 --> 02:04:09.883]  It is not easy to do good, it is easy to do evil.
[02:04:10.243 --> 02:04:14.084]  See, it's hard to control an outcome if you're trying to build and nurture and give people freedom.
[02:04:14.365 --> 02:04:19.426]  But it's easy if you're the dark new world order chiefs to engage in evil and extermination and control.
[02:04:19.446 --> 02:04:21.447]  Because they don't care who they hurt.
[02:04:22.387 --> 02:04:23.068]  Just remember that.
[02:04:24.608 --> 02:04:31.050]  They are the priests of power who love to press on the nerve of power, who love to grind humanity into submission, who love to engage in horrible tyrannies.
[02:04:31.311 --> 02:04:32.331]  We must resist them.
[02:04:33.908 --> 02:04:34.989]  So, step up to the plate.
[02:04:35.709 --> 02:04:38.971]  As I said in that rant in the first hour, which we're about to cut back to in a moment.
[02:04:42.213 --> 02:04:43.214]  Look what we've turned into.
[02:04:43.294 --> 02:04:43.694]  Torture.
[02:04:43.754 --> 02:04:45.655]  Tortures of people's children in front of their parents.
[02:04:45.715 --> 02:04:46.776]  Now admitted mainstream news.
[02:04:47.076 --> 02:04:48.917]  I told you seven years ago, now it's mainstream news.
[02:04:49.317 --> 02:04:49.997]  Hit teams.
[02:04:50.638 --> 02:04:52.279]  Banks robbing us and stealing.
[02:04:52.579 --> 02:04:55.721]  We're going into bondage to the elite, who think of us as total scum.
[02:04:59.892 --> 02:05:11.303]  To my attackers, many of which are not COINTELPRO and are not government, but pick up on COINTELPRO, who believe it's fashionable to attack me because I'm the most prominent voice in the fight against the globalists.
[02:05:11.343 --> 02:05:13.385]  My God, I can't believe I'm the most prominent.
[02:05:13.405 --> 02:05:18.950]  Anybody in the world, maybe Ron Paul or me, but I'm the more hardcore on some of the issues he won't get into.
[02:05:19.550 --> 02:05:22.633]  As he said to the camera as well, I haven't gotten to 9-11 because I'm too busy.
[02:05:23.754 --> 02:05:25.416]  We understand, but the issue is
[02:05:27.421 --> 02:05:30.204]  To those that attack me just because of jealousy or whatever.
[02:05:30.524 --> 02:05:31.084]  Jealous of what?
[02:05:31.124 --> 02:05:33.026]  That I was up here at one o'clock in the morning last night?
[02:05:33.527 --> 02:05:34.948]  Jealous because I'm fighting hard?
[02:05:35.068 --> 02:05:35.608]  Be leaders.
[02:05:36.269 --> 02:05:37.350]  Don't destroy yourselves.
[02:05:37.510 --> 02:05:41.194]  I want you to be right beside us and right in front of us and right behind us in this fight.
[02:05:41.254 --> 02:05:43.095]  And I know I'm good and I know I'm for real.
[02:05:43.496 --> 02:05:45.978]  And it's just sad to see you not being your own person.
[02:05:46.338 --> 02:05:48.640]  To see you obsessed with me.
[02:05:49.401 --> 02:05:53.325]  And in a way, it helps me become more famous and better known, but that's not what I want.
[02:05:54.025 --> 02:05:56.607]  I want us all to be leaders and to affect change.
[02:05:56.647 --> 02:06:02.531]  But in a negative, sick, worldly system, you're actually helping Alex Jones when you lie about me and attack me and spread my name.
[02:06:03.192 --> 02:06:07.255]  So in a way, I guess God just blesses us and people find out who I really am and find out the truth.
[02:06:07.315 --> 02:06:13.860]  So, it's just hurtful because I know I'm for real and I know 99% of what's said about me is a lie or a distortion.
[02:06:14.880 --> 02:06:21.145]  And a lot of you aren't government operatives, you just are very worldly and been twisted and I feel sorry for you.
[02:06:22.799 --> 02:06:25.602]  And I want you to be your own person and not be played.
[02:06:29.646 --> 02:06:30.687]  Be your own man and woman.
[02:06:31.408 --> 02:06:39.416]  A message to the Feds, the contractors, the ideologues, those of you that are on the wrong side of history against those of us that love liberty and freedom.
[02:06:41.578 --> 02:06:43.360]  This system hates you and abuses you.
[02:06:44.798 --> 02:06:46.339]  And is destroying your future as well.
[02:06:46.379 --> 02:06:49.341]  And I know they're hitting you with soft kill weapons and sterilization weapons.
[02:06:49.921 --> 02:06:50.802]  And it's just a fact.
[02:06:51.122 --> 02:06:57.826]  And you may like to feel like you're the winner and con yourself and decide to serve the system and laugh at us and decide you're in control.
[02:06:58.866 --> 02:07:00.727]  Bless your soul, you're not in control.
[02:07:00.747 --> 02:07:05.250]  The only way you're in control is of your own soul deciding to do right.
[02:07:05.530 --> 02:07:06.591]  You can make that decision.
[02:07:06.971 --> 02:07:08.352]  But the rest of it's in God's hands.
[02:07:09.642 --> 02:07:17.465]  And so I ask you to make that decision to do right, and to really, if you've got any soul left, any humanity left, to realize what you've been part of and stand up against the New World Order.
[02:07:19.666 --> 02:07:22.007]  So don't be part of the wrong side of history.
[02:07:26.909 --> 02:07:34.092]  You know, many of us are born into these different tribal groups and religious groups and are controlled, and we were sold out before we were even born.
[02:07:35.233 --> 02:07:37.314]  There's still time to turn back and wake up.
[02:07:38.698 --> 02:07:49.488]  And commit to standing up against tyranny and just getting out of your programming, realizing there's a bigger system around you that people are trying to manipulate you, that there are covert and overt agendas.
[02:07:50.689 --> 02:07:53.893]  I also just want to say I love life and creation and everything good and wholesome.
[02:07:55.014 --> 02:08:02.501]  I want to say that, and that I've been very appreciative and thankful for life, and that I know that good can win the day when it decides to stand up and take action.
[02:08:03.715 --> 02:08:11.002]  And I believe that that love of innocence and that love of creativity and that sense of wonderment is the keys to the universe and the soul and heart of God.
[02:08:13.784 --> 02:08:15.226]  Don't ever let them break your spirit!
[02:08:17.093 --> 02:08:20.776]  Doesn't matter how much I get attacked, how much I get lied about, how much people twist and distort.
[02:08:20.996 --> 02:08:21.776]  I know I'm real.
[02:08:22.036 --> 02:08:22.737]  I know I'm good.
[02:08:22.937 --> 02:08:23.998]  I know I'm telling the truth.
[02:08:24.478 --> 02:08:25.239]  And that's what matters.
[02:08:25.539 --> 02:08:28.261]  And you should have that same attitude and just move forward against the globalists.
[02:08:28.581 --> 02:08:29.822]  Warn the people you can.
[02:08:30.222 --> 02:08:31.543]  When you get laughed at, move on.
[02:08:31.583 --> 02:08:32.164]  It doesn't matter.
[02:08:32.584 --> 02:08:33.144]  It's sad.
[02:08:33.905 --> 02:08:35.386]  Stop caring what people think about you.
[02:08:40.385 --> 02:08:43.607]  Evil hides behind good, but the proof is always in the fruit.
[02:08:43.747 --> 02:08:44.807]  So, look at that.
[02:08:44.867 --> 02:08:46.768]  Realize how the enemy camouflages themselves.
[02:08:48.889 --> 02:08:54.212]  The elite are compartmentalized, specialized, and compartmentalized into different sectors of evil.
[02:08:54.512 --> 02:08:55.813]  Many of them don't see the big picture.
[02:08:56.073 --> 02:09:09.060]  So, as you show people the big picture and discuss the greater truths, you're going to unlock many of the evil people out there who've been caught up in this and not realize what they were part of, and many of them can come out of it.
[02:09:10.495 --> 02:09:17.886]  And many people will laugh at you up front, but as what you've warned them about comes true down the road, they will wake up.
[02:09:17.966 --> 02:09:19.268]  So it's a delayed event.
[02:09:19.328 --> 02:09:22.153]  Don't expect to see instant success when you're reaching out to people.
[02:09:22.193 --> 02:09:23.395]  Just like fighting the Federal Reserve.
[02:09:23.595 --> 02:09:24.657]  Look how far we've now come.
[02:09:27.428 --> 02:09:31.612]  We are in the midst of the greatest transformation in human history for good and bad.
[02:09:31.832 --> 02:09:39.020]  With the technological developments, the acceleration of knowledge, the acceleration of weapon systems, the decadence, the goodness, the good, the bad, and the ugly.
[02:09:39.200 --> 02:09:41.322]  Just realize you're part of an incredible time in history.
[02:09:41.643 --> 02:09:44.325]  Stop watching the sports, the sitcoms, the stuff that doesn't matter.
[02:09:44.626 --> 02:09:45.727]  Get tuned into reality.
[02:09:49.918 --> 02:09:50.859]  And leave your mark.
[02:09:50.999 --> 02:09:52.179]  Communicate with the future.
[02:09:52.259 --> 02:09:54.200]  Do things good for society and humanity.
[02:09:54.641 --> 02:09:55.541]  Find out the truth.
[02:09:56.762 --> 02:09:59.443]  And love humanity and realize you're part of something bigger.
[02:10:00.604 --> 02:10:04.646]  Realize that we are our ancestors and we are our future progeny.
[02:10:05.287 --> 02:10:06.627]  And that we're all one species.
[02:10:06.667 --> 02:10:09.729]  We're individuals, but we're also part of a greater tapestry.
[02:10:09.829 --> 02:10:16.393]  And in that, you certainly never die unless the species is irrevocably damaged by the criminal predators that are running the system.
[02:10:17.930 --> 02:10:23.535]  And again, leave the species better off than when you came to it.
[02:10:23.555 --> 02:10:25.497]  You know, that really is the whole sum of it.
[02:10:25.517 --> 02:10:26.938]  I want to say great job to the crew.
[02:10:26.958 --> 02:10:32.383]  We're going to go to retransmission now with a key rant I was doing in the first hour that I thought was very informative.
[02:10:32.623 --> 02:10:33.404]  A lot of key info.
[02:10:33.644 --> 02:10:34.285]  So that's coming up.
[02:10:34.325 --> 02:10:35.306]  Great job, crew!
[02:10:36.026 --> 02:10:37.588]  And as always, thank you for all your prayers.
[02:10:37.648 --> 02:10:42.792]  I'm praying for all you freedom lovers and people that love decency and creativity and honor and innocence.
[02:10:43.775 --> 02:10:44.656]  I'm here with you.
[02:10:44.676 --> 02:10:45.296]  You're with me.
[02:10:45.336 --> 02:10:48.197]  We're together in history together, in this moment, in forever.
[02:10:49.138 --> 02:10:51.639]  And I'll see you back live Monday.
[02:10:51.679 --> 02:10:52.800]  Burmese is sitting in tomorrow.
[02:10:53.220 --> 02:10:56.422]  And on Sunday, I'm Alex Jones signing off.
[02:10:56.582 --> 02:10:57.583]  God bless you all!
[02:11:14.082 --> 02:11:14.743]  Yeah!
