[00:00:00.049 --> 00:00:01.229]  Welcome ladies and gentlemen, welcome.
[00:30:08.912 --> 00:30:25.460]  He just really is a key person for the New World Order, because if we could have a real peaceful revolution of ideas, a real move to audit the Fed, to end the Fed, which Beck, by the way, isn't calling for, that I've seen, he supports the Federal Reserve and says they're great.
[00:30:27.601 --> 00:30:29.402]  And then bad mouths them at the same time.
[00:30:29.422 --> 00:30:34.364]  I mean, can't people see Beck is there to co-opt and control things?
[00:30:38.308 --> 00:30:38.568]  Paul?
[00:30:42.731 --> 00:30:45.152]  We lost Paul's connection in England.
[00:30:46.433 --> 00:30:47.874]  That happens sometimes.
[00:30:48.414 --> 00:30:49.535]  Let's get him back on.
[00:30:50.515 --> 00:30:54.358]  Because I want to get Paul Watson's take.
[00:30:54.638 --> 00:30:58.120]  We couldn't even contact England on our studio lines in Texas today.
[00:30:58.880 --> 00:31:00.842]  So we used the Genesis lines in Minnesota.
[00:31:01.738 --> 00:31:10.224]  Maybe some phone things going on between the United States and the UK over in the middle of the Atlantic Ocean across the pond there.
[00:31:11.425 --> 00:31:16.729]  But that's why I'm trying to be friendly about this.
[00:31:18.230 --> 00:31:19.511]  And I have no illusions.
[00:31:19.651 --> 00:31:20.732]  I know Beck's an operative.
[00:31:20.772 --> 00:31:21.713]  I know he's not going to listen.
[00:31:22.628 --> 00:31:30.874]  But at least I'm going to be on record now pointing out he was for the Banker Bailout and the Patriot Act and demonized Ron Paul supporters and said use the U.S.
[00:31:30.994 --> 00:31:31.574]  Army on us.
[00:31:32.515 --> 00:31:44.984]  And yesterday I was watching him, we had Fox News on in the break room, and Glenn Beck was saying, our republic is falling, it's on its last legs, save it!
[00:31:45.404 --> 00:31:47.826]  This is all of our terminology.
[00:31:49.758 --> 00:31:58.002]  And many people pointed out Beck has changed much of what he says to mimicking what we do here, which would be flattering if it wasn't so creepy.
[00:32:01.324 --> 00:32:03.385]  All I want is freedom and the Republic saved.
[00:32:04.065 --> 00:32:05.966]  And I'm telling you, Glenn Beck is a Trojan horse.
[00:32:06.026 --> 00:32:07.227]  Glenn Beck is a Benedict Arnold.
[00:32:07.927 --> 00:32:15.991]  Paul Watson, do you agree with me about Glenn Beck and about having to stand up against him and point out that this guy is completely two-faced?
[00:32:17.745 --> 00:32:28.131]  Well, Beck is there to sucker the grassroots conservative in and make them believe that they can fix everything by voting in a Republican in 2012.
[00:32:28.291 --> 00:32:37.557]  I mean, Beck is the equivalent of what people like Olbermann and all those MSNBC anchors were before Obama got in.
[00:32:38.037 --> 00:32:39.118]  You know, they put it out that
[00:32:39.676 --> 00:32:42.997]  We could get the change we deserved by voting in Obama.
[00:32:43.377 --> 00:32:45.817]  Everybody went out and did that, and look what we've got.
[00:32:46.197 --> 00:32:54.439]  We've got the exact same policies, and in fact an aggressive expansion of those policies, both with the wars and the financial bailout.
[00:32:55.139 --> 00:33:06.461]  So it's about making people... Veiling the fact that the only way to change the system is to reject the two-party monopoly, but Beck is hooked into that, and I mean, for years,
[00:33:07.731 --> 00:33:15.575]  Before he even was on television, we would talk about Beck and post articles on the website about how he was a virulent neocon.
[00:33:16.256 --> 00:33:17.476]  And he always has been.
[00:33:17.936 --> 00:33:26.361]  And now he poses as this libertarian when his every political stance is the exact opposite of what a true libertarian would embrace.
[00:33:26.752 --> 00:33:28.753]  Well, Paul, I know him so well.
[00:33:29.794 --> 00:33:36.738]  I was able to successfully predict how he would debunk FEMA camps when there's bills introduced to set them up.
[00:33:36.918 --> 00:33:37.919]  They're already set up.
[00:33:38.279 --> 00:33:41.881]  Houston Chronicle, New York Times, Civilian Inmate Labor Camp.
[00:33:41.981 --> 00:33:42.741]  We emailed it.
[00:33:42.801 --> 00:33:43.862]  We mailed it to him.
[00:33:44.803 --> 00:33:46.203]  And I knew what he was going to do.
[00:33:46.223 --> 00:33:51.867]  I mean, this guy, this guy is so evil.
[00:33:52.970 --> 00:33:56.211]  I mean, he's so obviously a fake and a two-face.
[00:33:56.612 --> 00:33:59.693]  I mean, again, Limbaugh wouldn't even support the banker bailout.
[00:34:00.373 --> 00:34:01.894]  He's far worse than Limbaugh.
[00:34:04.335 --> 00:34:08.137]  Well, they're kind of lining him up, as you've said, as the new Limbaugh, aren't they?
[00:34:09.117 --> 00:34:12.199]  Well, I mean, there's already signs that he's fallen from grace.
[00:34:12.299 --> 00:34:17.921]  I mean, apparently he lost half of his advertisers in the past couple of months.
[00:34:20.242 --> 00:34:28.586]  I mean, maybe people are starting to wake up from him, but obviously some of that's come from the fake left-wing assault on him, which is just about crushing freedom of speech.
[00:34:29.686 --> 00:34:32.188]  So it's kind of a pincer movement that we're caught in.
[00:34:32.228 --> 00:34:34.749]  We have to defend him when he's under attack.
[00:34:36.228 --> 00:34:39.932]  By people who just hate him because he has different political opinions to them.
[00:34:39.972 --> 00:34:41.533]  Well again, he's meant to polarize.
[00:34:41.573 --> 00:35:00.770]  He's meant to make it a Republican Democrat, Fox News, MSNBC, bipolar system, so that people really get invested in supporting Republicans, and then they're going to have the victory in 2010, and the victory in 2012, and then all the FEMA camps are built, the police state's built,
[00:35:01.511 --> 00:35:14.920]  The Republican that comes in will just expand it all and then we'll be called Communist Al Qaeda again because we're not supporting the right-wing version of the New World Order instead of being called right-wing fascist by the controlled left.
[00:35:15.340 --> 00:35:21.404]  It's so elementary and it just fools the public and that's why the public's losing their standard of living.
[00:35:21.965 --> 00:35:28.189]  That's why foreign banks are raping you in a big way for tens of trillions of dollars in the last few months.
[00:35:29.281 --> 00:35:41.416]  And Paul, I mean, the good news is that a larger and larger portion of people are getting that both parties are controlled, are understanding the bait and switch, and I don't think this is going to work much longer.
[00:35:41.436 --> 00:35:45.340]  I mean, they pulled a rabbit out of their hat with Obama.
[00:35:46.081 --> 00:35:48.622]  Well, the fact is that trusting government and
[00:36:14.187 --> 00:36:16.530]  Corporate media is at an all-time low.
[00:36:16.550 --> 00:36:24.160]  I mean, the figures are that 29% trust the mainstream media, which even that seems like a high number.
[00:36:24.921 --> 00:36:29.928]  But the fallout from that is the responses for authorities to claim that
[00:36:30.512 --> 00:36:40.894]  You know, quote, conspiracy thinking has infected all areas of society, which produces things like the Psychology Today hit piece that we featured a couple of years ago.
[00:36:41.334 --> 00:36:43.034]  It's not conspiracy thinking.
[00:36:43.114 --> 00:36:48.715]  It's not some virus of mindless thinking that everything's a conspiracy that's infected society.
[00:36:49.215 --> 00:36:59.917]  It's just the fallout from the fact that government and media have lied to us so consistently and so brazenly for the past decade, you know, in our face, basically.
[00:37:00.925 --> 00:37:04.106]  That people are going to lose trust in everything.
[00:37:04.246 --> 00:37:05.946]  And that, by the way, is a problem.
[00:37:06.426 --> 00:37:07.726]  It's good to question.
[00:37:08.906 --> 00:37:20.768]  But the system has lied so much, and been caught staging terror attacks, and been caught engaged in every form of corruption, and CPS nationwide openly run, almost in every case, by pedophiles.
[00:37:20.808 --> 00:37:26.589]  I mean, they're openly admitting they're drugging our water and poisoning us in the White House Science Czar's own textbook.
[00:37:27.590 --> 00:37:29.150]  It's all so real.
[00:37:30.256 --> 00:37:34.599]  That now the public doesn't trust anything, even if it is bonafide.
[00:37:34.879 --> 00:37:36.540]  The public's still lazy.
[00:37:37.041 --> 00:37:38.502]  They won't go check stuff out.
[00:37:39.002 --> 00:37:41.084]  So they just think everything's a lie.
[00:37:41.104 --> 00:37:46.387]  I mean, society, Paul, is degenerating and collapsing.
[00:37:46.608 --> 00:37:56.474]  I do want to tell the listeners right now, and that's part of the New World Order plan, this learned helplessness, where things get so bad that everybody just kind of gives up.
[00:38:00.464 --> 00:38:03.105]  I mean, there's two ways that that can fall.
[00:38:04.025 --> 00:38:25.612]  The way that it's going at the moment is that people have no trust in any authority whatsoever, so they're kind of just falling back on the celebrity mindlessness and the little obsessions that they have in their own personal lives, and they're just focusing on what they can personally control and then trying to ignore what's going on in the world.
[00:38:26.232 --> 00:38:28.813]  I mean, that's what's happening at the moment, from what I can see.
[00:38:29.406 --> 00:38:37.233]  Well, I mean, the other end of it is if people lose that much trust in any authority whatsoever, then you're just going to get anarchy in the end.
[00:38:37.693 --> 00:38:46.261]  And like you said, that may be what they want to reinforce the command and control position once people have lost all trust.
[00:38:46.361 --> 00:38:55.509]  Because if things turn really bad and you have an economic collapse, then from anarchy they can seize control once again.
[00:38:55.549 --> 00:38:57.070]  But at the moment, it seems that
[00:38:57.867 --> 00:39:08.274]  People are either really clued into this and really know what's going on, or they're just falling back on their own little personal obsessions and going that way.
[00:39:08.374 --> 00:39:11.296]  So there's a real chasm as far as that's concerned.
[00:39:13.057 --> 00:39:14.438]  Well, you're absolutely right.
[00:39:14.739 --> 00:39:21.863]  Paul Watson will continue to track all the great reports at PrisonPlanet.com, reposted at InfoWars.com.
[00:39:21.883 --> 00:39:22.544]  Thanks for joining us.
[00:39:24.622 --> 00:39:24.962]  You bet.
[00:39:25.663 --> 00:39:33.546]  I want to go to Ryan, Steve, Bic, Thomas, and Annalisa, I believe is how you pronounce that, and San Fran.
[00:39:33.947 --> 00:39:35.647]  Ryan in Indiana, you're on the air.
[00:39:36.248 --> 00:39:36.908]  Hey, what's up, man?
[00:39:37.468 --> 00:39:38.149]  Good, sir, go ahead.
[00:39:39.149 --> 00:39:47.893]  I have a lot of insight into a lot of things I wanted to share with people, and there's so much on my mind I want to talk about.
[00:39:48.794 --> 00:39:53.256]  This gut-filled... I didn't even know this homo was named until the other day.
[00:39:54.042 --> 00:40:01.548]  You know, this Fox News guy who wrote the article on Gutfield, or on Sheen, you post on your website.
[00:40:02.389 --> 00:40:04.231]  Oh, the red-eyed little weasel.
[00:40:04.591 --> 00:40:09.615]  I mean, how could you say you believe in any God at all to write something like that?
[00:40:10.216 --> 00:40:14.860]  I mean, that was one of the most despicable things, and I read a lot, and that is one of the most
[00:40:16.281 --> 00:40:19.243]  In any human thing that I have ever read in my entire life.
[00:40:19.463 --> 00:40:21.204]  No, it was meant to be nasty.
[00:40:21.905 --> 00:40:24.406]  It was meant to be hurtful.
[00:40:24.546 --> 00:40:33.332]  It was meant to say if you don't submit to us, we are going to destroy you.
[00:40:33.372 --> 00:40:34.833]  But it doesn't work anymore.
[00:40:35.093 --> 00:40:35.473]  Go ahead.
[00:40:36.334 --> 00:40:39.516]  What really gets me is, you know, people who are uninformed about the Illuminati.
[00:40:40.174 --> 00:40:48.036]  And people who don't have any sort of actual insight into Illuminati, you know, they're hearing all this back and forth, but they really don't know, you know, a lot of different things.
