[00:00:00.309 --> 00:00:04.473]  ["The Star-Spangled Banner"]
[01:31:41.649 --> 01:31:46.893]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[01:31:47.173 --> 01:31:52.537]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[01:31:52.897 --> 01:31:54.018]  Hi, this is Alex Jones.
[01:31:54.378 --> 01:32:03.284]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[01:32:03.684 --> 01:32:05.306]  Now, compare a Calben Pure Soap.
[01:32:05.527 --> 01:32:09.712]  All natural, earth-friendly, no harsh chemicals, no animal testing.
[01:32:09.732 --> 01:32:14.377]  They're safe, and you save 85% of the money you're spending on cleaning products now.
[01:32:14.758 --> 01:32:16.420]  Start saving over $1,000 a year for your family of four.
[01:32:18.582 --> 01:32:19.343]  Keep it natural.
[01:32:19.684 --> 01:32:27.834]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[01:32:28.094 --> 01:32:32.219]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[01:32:32.239 --> 01:32:33.421]  Call 1-800-340-7091 for all your cleaning needs.
[01:32:55.936 --> 01:32:58.379]  Hey, in the final segment, we gotta drag another chair in here.
[01:32:58.399 --> 01:33:00.801]  You know, Gary Franchi, we're having great discussions during the break.
[01:33:01.942 --> 01:33:03.784]  Gary Franchi just told me I woke him up.
[01:33:03.864 --> 01:33:06.407]  I didn't know I woke the great Gary Franchi up as well.
[01:33:07.107 --> 01:33:14.074]  But I've described to my audience, and well, actually not the audience yet, the internal office, I feel like I'm Gizmo the Good Gremlin.
[01:33:15.003 --> 01:33:21.788]  And the problem is they put drops of water on my back and all these other media activists pop off, but very few of them turn out to be good.
[01:33:22.108 --> 01:33:23.809]  And I think you guys have turned out to be good.
[01:33:24.230 --> 01:33:27.652]  The problem is these little gremlins that pop off my back.
[01:33:27.712 --> 01:33:28.493]  Anybody seen gremlins?
[01:33:28.513 --> 01:33:30.734]  They put the water on them and more of them pop off.
[01:33:31.154 --> 01:33:34.397]  And if you feed them after midnight, they really get bad, isn't it?
[01:33:35.357 --> 01:33:39.781]  And there's like probably 20 or 30 locals who moved down here who are like bad gremlins.
[01:33:40.581 --> 01:33:43.622]  And we have to even hide out from them or they'll come over here and cause problems.
[01:33:44.063 --> 01:33:47.184]  And they get in, I mean literally, gremlins is the way to describe them.
[01:33:47.224 --> 01:33:53.246]  So, I am the good Gizmo, and I, and I, Francie is a good little creature, and so is William Lewis.
[01:33:53.266 --> 01:33:53.506]  No, no.
[01:33:53.947 --> 01:33:59.669]  I mean, you know, for me, for me, it is a great feeling, though, to know I have reached hundreds of millions of people.
[01:34:00.109 --> 01:34:03.991]  Hundreds of millions of people have seen my films, seen my clips, seen my material.
[01:34:04.651 --> 01:34:07.292]  And it's all coming to an end, as they openly announced.
[01:34:07.332 --> 01:34:15.176]  I had two or three mainstream articles today, where they said, no, we're going to shut down freedom on the web, and so is Europe, and we're going to ban all this anti-government stuff.
[01:34:15.256 --> 01:34:21.459]  And now they're trying to pass hate laws and trying to pass the Cyber Bullying Act, where if you hurt someone's feelings, you're arrested.
[01:34:21.499 --> 01:34:26.121]  And Hannah Montana, the character, and Cyrus, the real girl, is promoting it.
[01:34:27.222 --> 01:34:29.303]  And so, I mean, it's really happening.
[01:34:29.323 --> 01:34:32.064]  And I don't think they can let us be out there very much longer.
[01:34:32.104 --> 01:34:33.145]  That's why I'm trying to
[01:34:34.145 --> 01:34:37.367]  Make more films, promote more films, be in other people's films.
[01:34:37.608 --> 01:34:43.171]  But I'll tell you this, I've told the Wall Street Journal and a bunch of other big newspapers no to interviews this last week.
[01:34:43.191 --> 01:34:45.193]  And they freak out and they go, don't you want to be in the Wall Street Journal?
[01:34:45.233 --> 01:34:46.954]  Don't you want to be in Time Magazine?
[01:34:47.234 --> 01:34:49.776]  And I'm like, no, I don't want to have a hit piece and have you here in my office.
[01:34:50.056 --> 01:34:52.638]  But I do want to have you guys here because you are what matters.
[01:34:53.038 --> 01:34:56.101]  It doesn't mean anything to be in some twisted article, just have my name in it.
[01:34:56.121 --> 01:34:57.001]  I don't care about that.
[01:34:57.922 --> 01:35:00.384]  I care about reaching the people through your film.
[01:35:01.280 --> 01:35:03.743]  But you were making some points as we went to break there.
[01:35:03.783 --> 01:35:09.688]  What was the other point about the amount of change you've seen in the world, the things you've done?
[01:35:09.989 --> 01:35:12.711]  Which is another testament to other people out there being leaders.
[01:35:13.012 --> 01:35:21.781]  That's why the establishment attacks me so much and tries to discredit me or says I'm the government or I'm bad or I'm a knight of Malto and I'm not even Catholic and all this stuff.
[01:35:23.246 --> 01:35:38.656]  is because they want to divide us all and make us all feel weak and then make you feel like I'm not for real so you can't believe that you're for real and so you can't believe that you're actually going to be able to affect change and go out there and do great things.
[01:35:39.557 --> 01:35:41.478]  But you know, I tell you, Gary Franchi is for real.
[01:35:41.538 --> 01:35:42.699]  I've seen the fruits of his work.
[01:35:43.439 --> 01:35:48.501]  And I've seen the fruits of your work, not out infighting, not stirring up trouble, producing good films, reaching people.
[01:35:48.961 --> 01:35:52.822]  That is what the establishment is scared to death of.
[01:35:53.162 --> 01:35:54.803]  So I salute you both.
[01:35:55.483 --> 01:35:56.103]  Thank you.
[01:35:56.203 --> 01:36:00.224]  And there's nothing I hate worse than politics, maybe office politics.
[01:36:00.324 --> 01:36:09.547]  But, you know, we had some discussions about individuals in the truth movement who may not be who they say they are, but you definitely are.
[01:36:09.627 --> 01:36:11.748]  And we're very honored to be here and have you in this film.
[01:36:12.608 --> 01:36:15.069]  Well, it's not that a lot of people out there are government operatives.
[01:36:15.969 --> 01:36:17.329]  Society is collapsing.
[01:36:17.349 --> 01:36:21.311]  Have you noticed how much cheating and lying and stealing and stuff is going on these days?
[01:36:22.011 --> 01:36:23.691]  I mean, society is in free fall.
[01:36:24.092 --> 01:36:27.953]  And that's why we're here to warn good people to get ready and to deal with it.
[01:36:28.413 --> 01:36:31.474]  And for good people not to give the scum any slack anymore.
[01:36:31.894 --> 01:36:35.715]  I don't care if it's a corrupt cop or a corrupt neighbor or a corrupt boss or a corrupt employee.
[01:36:36.195 --> 01:36:37.876]  It's time to stop being wimps.
[01:36:38.556 --> 01:36:44.322]  It's time to get tough and get serious and get focused because this is a real world.
[01:36:44.963 --> 01:36:48.606]  This isn't touch football we're playing out here and the New World Order is coming in big time.
[01:36:48.627 --> 01:36:55.554]  I want to go to calls but I wanted to bring this up to you and I want to make sure in the interview we cover this because amazing things are happening.
[01:36:55.594 --> 01:36:58.397]  The news comes out and says the Federal Reserve
[01:37:00.061 --> 01:37:10.384]  Is going to get all this new power and then you read the new power it says to take over any government, any agency, any corporation they want just like they grabbed Chrysler and GM and the banks.
[01:37:11.364 --> 01:37:22.566]  And they're going to micromanage every facet of our lives and the New York Times reports separately that they're hiring criminals to join the Obama Enviro Brigades but the New York Times says that's a good idea.
[01:37:22.987 --> 01:37:26.047]  This is a new form of government is now being born.
[01:37:26.087 --> 01:37:28.328]  We have the private Federal Reserve
[01:37:29.048 --> 01:37:32.369]  Coming in, and now openly becoming the government.
[01:37:32.389 --> 01:37:34.429]  They were always there manipulating it and steering it.
[01:37:34.729 --> 01:37:44.472]  But now the Federal Reserve, as a regional governorship of this new bank of the world, is openly becoming the new public dictatorial power over everything public and private.
[01:37:44.752 --> 01:37:50.293]  I mean, this is unspeakably huge, what's being announced, and they're announcing it like it's no big deal.
[01:37:50.573 --> 01:37:51.334]  Your comments on that?
[01:37:51.354 --> 01:37:53.034]  Well, it's because we've been acclimated.
[01:37:53.374 --> 01:37:55.995]  We, you know, used to we would frown and
[01:37:57.463 --> 01:38:03.247]  You know, immediately jump up out of our seats and scream bloody murder when we heard some of these things that were going on in our own government.
[01:38:03.687 --> 01:38:04.728]  Now it's just commonplace.
[01:38:04.748 --> 01:38:10.952]  You can't turn on the news radio or anything and hear anything but manipulation these days.
[01:38:11.012 --> 01:38:12.232]  So we're acclimated to it.
[01:38:12.272 --> 01:38:19.057]  They've got us exactly where they want us and that's our job to go out there and wake up the people, the other 99% who are out there who don't know what's going on.
[01:38:19.585 --> 01:38:25.930]  Absolutely, and I want to encourage listeners again, one more time, to go to InfoWars.com, the secure online video bookstore shopping cart.
[01:38:26.371 --> 01:38:28.072]  We only carry the very best films.
[01:38:28.092 --> 01:38:39.682]  That's why we carry William Lewis' great films, Life on the Edge of a Bubble, Blowing the American Dream, and it's just such an important film, Life on the Edge of a Bubble.
[01:38:40.752 --> 01:38:52.142]  Is a heart-pounding amusement park ride through the never-ending sequence of intoxicating manias and inflation bubbles, culminating in devastating panics and crashes since the inception of the American experiment.
[01:38:52.623 --> 01:39:00.650]  Although we rarely consider our financial system an experiment, changes in the monetary games we have played undermine the integrity of the political system.
[01:39:01.090 --> 01:39:06.633]  Almost every 20 years since our nation's inception, each generation finds itself living on the edge of a bubble.
[01:39:07.013 --> 01:39:12.016]  Rising prices of real estate, stocks and bonds, and commodities lure us to borrow our way to prosperity.
[01:39:12.056 --> 01:39:15.157]  However, our current crisis is not unique.
[01:39:15.518 --> 01:39:24.142]  Ride along as we uncover the real, invisible hand operating this roller coaster, tempting us with hope as we climb the ladder of the American dream.
[01:39:24.482 --> 01:39:27.484]  Seeming placed within our grasp, only the plunge helpless,
[01:39:27.944 --> 01:39:31.227]  As we watch it disappear beneath the tidal waves of toxic debt.
[01:39:32.207 --> 01:39:35.290]  Is there hope that we can end this perpetual cycle?
[01:39:35.530 --> 01:39:40.594]  And in doing so, secure the blessings of liberty and promotion of the general welfare for everyone.
[01:39:41.335 --> 01:39:45.158]  And it is a credit bubble, financial crisis, panic, bailout.
[01:39:45.558 --> 01:39:46.379]  It goes on and on.
[01:39:46.779 --> 01:39:49.921]  Available at Infowars.com or by calling toll free 888-253-3139.
[01:39:49.962 --> 01:39:51.523]  Let's go ahead and roll part of the trailer.
[01:39:56.786 --> 01:40:00.088]  Here it is, ladies and gentlemen, the trailer for Life on the Edge of a Bubble.
[01:40:03.810 --> 01:40:08.713]  You give $1,000 to an empire right before he calls the play.
[01:40:08.753 --> 01:40:09.493]  What do you call that?
[01:40:10.214 --> 01:40:10.974]  A bribe!
[01:40:13.496 --> 01:40:15.997]  You give $1,000 to a judge right before he renders a verdict.
[01:40:16.237 --> 01:40:17.038]  What do you call that?
[01:40:17.058 --> 01:40:19.319]  A bribe!
[01:40:22.011 --> 01:40:26.132]  You give $1,000 to a politician right before he votes on your bill, what do you call that?
[01:40:26.152 --> 01:40:28.372]  A campaign contribution.
[01:40:28.772 --> 01:40:32.473]  Is this the United States Congress or the Board of Directors of Goldman Sachs?
[01:40:33.913 --> 01:40:40.595]  The plan we have before us today, the rescue plan, is vastly different from the original one sent to us by the administration.
[01:40:40.975 --> 01:40:43.635]  Today it's about protecting Main Street, not Wall Street.
[01:40:43.735 --> 01:40:47.216]  They're going to pay out $18 billion in bonuses.
[01:40:47.376 --> 01:40:50.837]  It's about protecting the American taxpayer, not CEO salaries.
[01:40:51.584 --> 01:41:00.665]  They paid an average of $2.6 million to every executive at the first 116 banks that got taxpayer money under TARP.
[01:41:10.871 --> 01:41:12.332]  Live on the edge of the bubble.com.
[01:41:12.352 --> 01:41:15.975]  You can also get it there or as I said at InfoWars.com.
[01:41:16.395 --> 01:41:17.256]  Very, very exciting.
[01:41:17.636 --> 01:41:20.518]  Is there a way to watch the film online yet or is it just on DVD?
[01:41:20.879 --> 01:41:21.900]  Nope, just on DVD.
[01:41:22.520 --> 01:41:27.824]  Typically we don't like to stream the movies when they first come out because we haven't even gotten them at the festivals yet.
[01:41:27.844 --> 01:41:28.985]  I want to see it in a big screen.
[01:41:29.005 --> 01:41:29.725]  No, no, I understand.
[01:41:29.745 --> 01:41:34.527]  Yeah, they won't even let you in the festivals or then on TV and things if you put it on the web first.
[01:41:34.847 --> 01:41:42.209]  That's why I forego being able to put it on TV, forego all that money and stuff, which is probably stupid, because I just like to release it instantly for free and hammer the enemy.
[01:41:42.449 --> 01:41:43.790]  But I don't disagree with what you're doing.
[01:41:44.597 --> 01:41:44.997]  Absolutely.
[01:41:45.277 --> 01:41:48.139]  Yeah, I mean, we didn't protect the disc.
[01:41:48.199 --> 01:41:49.599]  It's not copy protected.
[01:41:49.639 --> 01:41:53.661]  So people, when you get a copy, can make their own copies and give them to friends and family.
[01:41:54.021 --> 01:41:55.062]  We just don't want them selling them.
[01:41:55.162 --> 01:41:56.882]  But still folks don't even appreciate that.
[01:41:57.243 --> 01:41:59.023]  I mean, we've got to make some seed money here.
[01:41:59.544 --> 01:42:04.066]  I mean, I can have 15 million views of the Obama deception and only sell 10,000 of them.
[01:42:04.206 --> 01:42:07.147]  I need to sell these to make the money to make more films.
[01:42:07.347 --> 01:42:19.462]  Oh, exactly, and this is the argument that we get all the time, is that, you know, if you really believe in the cause, or if you're really doing what you say you're doing, then you're going to give this film away for free, and it's like, well, the film cost me a lot of money to make, how can I give it away for free, and how can I make the next one?
[01:42:19.482 --> 01:42:22.046]  Well, I mean, here's an example, the Aaron Russo thing.
[01:42:22.466 --> 01:42:26.911]  Listeners kept asking me to make an Aaron Russo deal off the free video we put out.
[01:42:26.931 --> 01:42:28.533]  I went and interviewed him, put it out for free.
[01:42:28.573 --> 01:42:29.294]  That wasn't enough.
[01:42:30.355 --> 01:42:34.539]  And then we took about a week and a half, slapped it together, put it out with some updates and some video clips.
[01:42:34.559 --> 01:42:36.121]  Kind of a nice memorial for him.
[01:42:36.141 --> 01:42:37.623]  People are like, how dare you sell it?
[01:42:38.223 --> 01:42:39.605]  When it's free on the web.
[01:42:40.045 --> 01:42:47.333]  And my thing is, we've sold so few copies, the few thousand DVDs I've got, I'm just going to do a deal where they're free when you get the Obama deception or something just to get it out.
[01:42:47.373 --> 01:42:48.934]  I thought it was a nice thing to do.
[01:42:48.954 --> 01:42:57.043]  But that's why we have the money bomb and people that have brains and have businesses and know how much this costs donated so I can make more films.
[01:42:57.063 --> 01:42:58.884]  I'm going to try to double what I do in the next year.
[01:42:59.485 --> 01:43:04.270]  That means I'm not going to see my family much, but we don't know if in a year we're going to even be allowed to be on the web anymore.
[01:43:04.731 --> 01:43:05.592]  It may be six months.
[01:43:05.612 --> 01:43:08.755]  I mean, they're openly saying in the New York Times they're going to restrict our free speech.
[01:43:08.795 --> 01:43:10.477]  So people need to support you financially.
[01:43:10.737 --> 01:43:12.139]  They need to support us financially.
[01:43:12.399 --> 01:43:16.724]  And they do that by getting life on the edge of a bubble, blowing the American dream.
[01:43:16.744 --> 01:43:20.508]  But also you get a great film and you support alternative media.
[01:43:20.568 --> 01:43:21.208]  You support
[01:43:22.282 --> 01:43:23.303]  Uh, independent media.
[01:43:23.564 --> 01:43:25.906]  You grow a new voice.
[01:43:25.926 --> 01:43:32.334]  When you just sit there and watch NBC or ABC or Fox and then buy the stuff from their sponsors, you're supporting the enemy.
[01:43:32.835 --> 01:43:37.140]  But see, that's a government psyop to say, no one's allowed to write a book or make a film but us.
[01:43:38.769 --> 01:43:41.030]  And then most of it they use our taxpayer money to do.
[01:43:41.610 --> 01:43:44.231]  This is a free will thing, so I'm not Buffaloed.
[01:43:44.251 --> 01:43:47.873]  I'm not ashamed to ask for donations at Infowarsmoneybomb.com.
[01:43:48.113 --> 01:43:49.973]  I'm not ashamed to say, buy the video.
[01:43:50.274 --> 01:43:52.194]  Because you still let people Buffalo me.
[01:43:52.254 --> 01:43:53.375]  No, I'm not going to be Buffaloed.
[01:43:53.595 --> 01:43:54.855]  We're going to expand what we're doing.
[01:43:55.035 --> 01:43:57.436]  We're going to wage war against the New World Order and the Infowar.
[01:44:00.317 --> 01:44:00.798]  Ditto.
[01:44:01.418 --> 01:44:02.478]  Ditto to that, baby.
[01:44:03.139 --> 01:44:03.439]  Absolutely.
[01:44:03.459 --> 01:44:04.779]  I'm proud of the work we've done.
[01:44:04.819 --> 01:44:06.320]  I'm proud of what we've developed, what we've done.
[01:44:07.338 --> 01:44:10.159]  Hey, you think we should play the FEMA camp film trailer?
[01:44:10.599 --> 01:44:10.999]  Go for it.
[01:44:11.679 --> 01:44:12.459]  I saw it on YouTube.
[01:44:12.479 --> 01:44:13.339]  What's the best place to get it?
[01:44:14.679 --> 01:44:15.100]  The trailer?
[01:44:15.200 --> 01:44:15.960]  Campfema.com.
[01:44:16.080 --> 01:44:17.180]  Yeah, Campfema.com.
[01:44:17.200 --> 01:44:17.800]  Pull that up.
[01:44:18.240 --> 01:44:19.320]  It's got a dramatic intro.
[01:44:19.340 --> 01:44:21.861]  Is that going to be in the film with the thought police guy?
[01:44:21.921 --> 01:44:23.061]  I want to try and work that in there.
[01:44:24.041 --> 01:44:26.082]  Was that your cousin or niece?
[01:44:26.102 --> 01:44:27.162]  That was my niece, actually.
[01:44:27.282 --> 01:44:32.743]  Oh, is that Lord Franchi dressed up in the... We can't reveal who the agent is, Alex.
[01:44:33.410 --> 01:44:41.753]  Yeah, that was actually a real CIA agent, so we don't want to tell who that is, but... Yeah, we're going to try to incorporate all the... And you notice they're reading the Resistance Manifesto.
[01:44:42.573 --> 01:44:44.213]  Also available on InfoWars.com.
[01:44:46.034 --> 01:44:47.494]  Got to fund Mark Dice somehow.
[01:44:48.194 --> 01:44:50.315]  That poor guy prints his books on demand.
[01:44:51.475 --> 01:44:53.296]  I'm telling him he needs to just print up a couple thousand.
[01:44:54.976 --> 01:44:55.136]  Yeah.
[01:44:55.977 --> 01:44:56.517]  He's a good guy.
[01:44:58.089 --> 01:44:59.189]  Yeah, exactly.
[01:44:59.209 --> 01:45:02.130]  He can't afford to do it outside of that so he can then do this full-time.
[01:45:02.170 --> 01:45:03.250]  We'd have Mark Dice full-time.
[01:45:03.530 --> 01:45:06.711]  Mark Dice, we need to get him off the launch pad so he can do this full-time.
[01:45:06.731 --> 01:45:08.091]  See, because I like that.
[01:45:08.131 --> 01:45:09.391]  I like everybody doing it full-time.
[01:45:09.411 --> 01:45:13.772]  But then I learned, though, the little gizmo has these things falling off of him.
[01:45:13.812 --> 01:45:15.092]  A lot of times they turn back and bite him.
[01:45:15.112 --> 01:45:16.873]  But Mark Dice hasn't done that yet.
[01:45:16.893 --> 01:45:18.113]  He hasn't turned into a stripe yet.
[01:45:20.133 --> 01:45:22.054]  Well, obviously you weren't eating after midnight.
[01:45:24.834 --> 01:45:27.755]  Folks, if you haven't seen Gremlins, you have no idea what I'm talking about.
[01:45:30.236 --> 01:45:31.197]  All right, I'm out of control.
[01:45:31.217 --> 01:45:32.078]  Do we have the next video?
[01:45:32.098 --> 01:45:33.359]  I'm going to go to some calls, I promise.
[01:45:33.379 --> 01:45:35.741]  Is that campfema.com?
[01:45:35.781 --> 01:45:35.961]  Yeah.
[01:45:36.481 --> 01:45:36.862]  Here it is.
[01:45:36.882 --> 01:45:37.182]  Play it.
[01:45:43.447 --> 01:45:48.352]  For the radio audience, there's a guy in a black uniform and a stopo agent beating on her door.
[01:45:49.252 --> 01:45:55.678]  A young lady puts the evil resistance manifesto, Mark Dice, under the bed, under the couch.
[01:45:55.918 --> 01:45:56.579]  Opens the door.
[01:45:56.879 --> 01:45:57.640]  He tasers her.
[01:45:59.189 --> 01:46:01.511]  He wants to find out he's Thought Crime Division.
[01:46:01.731 --> 01:46:04.693]  They're openly setting up a Thought Crime Division saying they're going to arrest you.
[01:46:04.913 --> 01:46:10.096]  They're calling for it on ABC News and CBS to arrest anyone they think might criticize the government.
[01:46:10.937 --> 01:46:12.138]  Don't worry, it's freedom.
[01:46:13.859 --> 01:46:17.602]  And I love this cut where you shoot across the map and it's all green on black.
[01:46:18.302 --> 01:46:19.123]  Coming this fall.
[01:46:19.803 --> 01:46:20.604]  Camp FEMA.
[01:46:21.687 --> 01:46:22.387]  And then it cuts to Glenn Beck.
[01:46:22.407 --> 01:46:24.548]  I'm doing a story tonight that I wanted to debunk these FEMA camps.
[01:46:24.988 --> 01:46:26.169]  I'm tired of hearing, you know about them?
[01:46:26.189 --> 01:46:26.269]  Sure.
[01:46:26.289 --> 01:46:27.729]  I'm tired of hearing, I wanted to debunk them.
[01:46:27.749 --> 01:46:28.730]  I'm tired of hearing, I wanted to debunk them.
[01:46:28.850 --> 01:46:29.950]  I'm tired of hearing, I wanted to debunk them.
[01:46:29.970 --> 01:46:31.030]  I'm tired of hearing, I wanted to debunk them.
[01:46:31.050 --> 01:46:32.191]  I'm tired of hearing, I wanted to debunk them.
[01:46:32.211 --> 01:46:33.291]  I'm tired of hearing, I wanted to debunk them.
[01:46:33.331 --> 01:46:34.351]  I'm tired of hearing, I wanted to debunk them.
[01:46:34.372 --> 01:46:35.392]  I'm tired of hearing, I wanted to debunk them.
[01:46:35.412 --> 01:46:36.712]  I'm tired of hearing, I wanted to debunk them.
[01:46:36.732 --> 01:46:37.873]  I'm tired of hearing, I wanted to debunk them.
[01:46:37.893 --> 01:46:39.633]  I'm tired of hearing, I wanted to debunk them.
[01:46:39.653 --> 01:46:41.194]  I'm tired of hearing, I wanted to debunk them.
[01:46:41.214 --> 01:46:42.414]  I'm tired of hearing, I wanted to debunk them.
[01:46:42.434 --> 01:46:44.155]  I'm tired of hearing, I wanted to debunk them.
[01:46:44.175 --> 01:46:46.336]  I'm tired of hearing
[01:46:47.506 --> 01:46:50.989]  Where I did a whole two hours saying, this is what Glenn Beck's going to do.
[01:46:51.289 --> 01:46:54.872]  He's going to go show the train station that we've known has been fake since 96, Lyndon Thompson.
[01:46:55.433 --> 01:46:59.516]  And I laid out everything he'd do, and I predicted, I said, you watch, he's going to debunk it.
[01:46:59.556 --> 01:47:01.438]  Everybody said, how dare you say he's going to debunk it?
[01:47:01.678 --> 01:47:02.899]  He says he believes it's real.
[01:47:03.320 --> 01:47:05.121]  I know he's CIA.
[01:47:05.181 --> 01:47:05.922]  I even have sources.
[01:47:05.962 --> 01:47:06.702]  But the issue is,
[01:47:07.640 --> 01:47:10.883]  Is that... I mean, did you... I saw it before I came up here.
[01:47:10.923 --> 01:47:15.127]  In fact, I watched about nine hours of police state videos to research before I came to talk to you.
[01:47:15.647 --> 01:47:21.052]  And, you know, I did that all in one day, and it just brought back all these emotions that I, you know, I had when I saw these films.
[01:47:21.112 --> 01:47:27.597]  No, but to be specific, no, I understand, but to be specific, though, did you know I did a whole two-hour show exposing what Beck was going to do?
[01:47:27.637 --> 01:47:29.999]  And people said, how do you know he's going to say they don't exist?
[01:47:30.239 --> 01:47:31.981]  How do you... I know his mind, but go ahead.
[01:47:32.121 --> 01:47:34.163]  Yeah, if you want to get us some footage of that, we'll definitely incorporate it.
[01:47:34.508 --> 01:47:36.192]  Yeah, what date was that?
[01:47:36.793 --> 01:47:38.216]  I did the FEMA camp special.
[01:47:38.979 --> 01:47:44.161]  And it was like two hours on air, and I know I did it live on PrisonPlanet.tv.
[01:47:44.262 --> 01:47:47.843]  I know it's on YouTube, but absolutely, I'd be more than happy.
[01:47:48.484 --> 01:47:50.004]  Guys, it'll never happen if we don't do it.
[01:47:50.024 --> 01:47:51.645]  Will somebody dig out that date?
[01:47:52.205 --> 01:47:54.927]  Because I know I said record it, because we're going to put it on one of the monthly best-ofs.
[01:47:55.427 --> 01:47:58.948]  And it's not about me up here tooting my horn.
[01:47:59.569 --> 01:48:00.869]  If you can find the date for us, we'll get it.
[01:48:02.530 --> 01:48:03.811]  It's not about me tooting my horn.
[01:48:04.431 --> 01:48:06.352]  It's about, we really know what we're talking about.
[01:48:06.372 --> 01:48:08.113]  Anyways, what do you think of Glenn Beck?
[01:48:08.925 --> 01:48:09.465]  Me personally?
[01:48:09.546 --> 01:48:09.746]  Mm-hmm.
[01:48:09.766 --> 01:48:10.286]  Dried American?
[01:48:11.647 --> 01:48:11.967]  Hardly.
[01:48:12.808 --> 01:48:13.849]  You know, I... CFR shelf?
[01:48:15.870 --> 01:48:17.752]  Glenn Beck... CFR doesn't exist, Gary.
[01:48:18.292 --> 01:48:18.673]  Oh, it doesn't?
[01:48:18.693 --> 01:48:21.315]  Oh, I didn't... I thought it did.
[01:48:22.476 --> 01:48:23.216]  Is that a conspiracy?
[01:48:23.576 --> 01:48:23.757]  Yep.
[01:48:23.997 --> 01:48:24.978]  Conspiracy theory.
[01:48:28.380 --> 01:48:30.322]  Glenn Beck is no different than anybody else out there.
[01:48:31.222 --> 01:48:31.443]  He's
[01:48:32.555 --> 01:48:34.936]  Working with two different motives.
[01:48:35.096 --> 01:48:37.717]  One that he allows you to see and the other one that he doesn't.
[01:48:38.017 --> 01:48:43.380]  And you got to see that first hand when he covered FEMA camps and you called it dead right on what he was going to say.
[01:48:43.440 --> 01:48:46.161]  So there's nothing to say about Glenn Beck.
[01:48:46.221 --> 01:48:48.362]  Glenn Beck exposes himself for what he is.
[01:48:49.802 --> 01:48:52.544]  Well, I just knew, I knew how they operated.
[01:48:52.564 --> 01:48:55.085]  The only thing I didn't foresee was that it would be popular mechanics doing it.
[01:48:55.385 --> 01:48:56.705]  But it's that straw man model.
[01:48:57.066 --> 01:48:57.586]  So I thought,
[01:48:58.712 --> 01:49:00.693]  What has been proven to not be camps?
[01:49:00.773 --> 01:49:06.675]  And I said, well, that camp down in Louisiana is really for NATO troops to train for a camp in Europe.
[01:49:08.076 --> 01:49:11.657]  If I was going to debunk, I'd do that and the railway Amtrak station.
[01:49:12.837 --> 01:49:14.698]  But that wasn't just my prediction being right on that.
[01:49:14.878 --> 01:49:16.619]  I said he was going to come out and say it wasn't real.
[01:49:16.759 --> 01:49:17.779]  That was the big prediction.
[01:49:18.059 --> 01:49:21.601]  Everybody going up, back, Fox News finally cares!
[01:49:22.341 --> 01:49:24.282]  They were doing that to get people's confidence.
[01:49:25.416 --> 01:49:32.338]  Yeah, you know, Gary actually went out and shot at the Beach Grove facility and came back and said, William, it's not a FEMA camp.
[01:49:32.819 --> 01:49:38.681]  I mean, we've known from the very beginning, you know, that this was definitely not what people were saying it was on the internet.
[01:49:38.701 --> 01:49:39.341]  But that's the whole thing.
[01:49:39.361 --> 01:49:44.883]  You know, we've got about 150 different sites to go look at and try and determine which one is and which one didn't.
[01:49:44.923 --> 01:49:45.343]  But you know what?
[01:49:45.383 --> 01:49:51.285]  It doesn't really make any difference because the legislation is in place and any one of those facilities overnight can be turned into a FEMA camp.
[01:49:51.305 --> 01:49:53.686]  Well, they also don't put a big FEMA camp sign.
[01:49:54.326 --> 01:50:02.310]  They have designated facilities, like, where you got them dead to rights, is these emergency overflow centers they build on old, like, Pier 57.
[01:50:02.850 --> 01:50:03.650]  That was a FEMA camp.
[01:50:04.031 --> 01:50:06.512]  And the feds paid for that, and Bechtel and all them were involved.
[01:50:07.012 --> 01:50:10.674]  And out here at the old Robert Mueller Airport, that's the 747 hangar.
[01:50:11.574 --> 01:50:12.475]  With a facility in it.
[01:50:12.495 --> 01:50:15.496]  Alright, we'll try to jam a few calls in here on the other side.
[01:50:16.376 --> 01:50:18.878]  But yeah, it's places with barbed wire that are designated.
[01:50:20.320 --> 01:50:21.261]  Here's the big enchilada.
[01:50:21.281 --> 01:50:26.363]  During the dark winter drills and the top-off one and two, they practice putting people in the sports stadium.
[01:50:27.023 --> 01:50:28.084]  Those are your FEMA camps.
[01:50:28.664 --> 01:50:31.445]  Your city-paid-for sports stadium is your FEMA camp.
[01:50:31.725 --> 01:50:35.087]  So see, they're hidden in plain view, and that's what you need to put in your film.
[01:50:38.669 --> 01:50:48.759]  With food prices soaring to all-time highs, as the dollar continues to fall in value, what can you and your family do to guarantee that fresh nutritious vegetables will make it to your dinner table?
[01:50:49.239 --> 01:50:50.300]  Garden in a Can!
[01:50:50.661 --> 01:50:54.244]  Garden in a Can is your source for premium long-term storable seeds.
