[00:00:00.141 --> 00:00:00.588]  I'm scumming.
[00:25:09.574 --> 00:25:12.015]  They had to be far fewer parasites than the hosts.
[00:25:12.635 --> 00:25:16.777]  We hosts vastly outnumber the parasites of the government.
[00:25:16.797 --> 00:25:24.680]  And they know it, and they fear us, and if we start to withdraw our consent, as is happening with the Federal Reserve, they are in big trouble.
[00:25:26.021 --> 00:25:30.723]  Absolutely, and the more they try to hide it, the more they try to scum with the truth, the more it blows up in their face.
[00:25:32.813 --> 00:25:34.094]  Thank you for listening to GCN.
[00:25:34.134 --> 00:25:35.496]  Be sure to visit GCNlive.com today.
[00:25:57.418 --> 00:26:02.421]  This is Alex Jones with five good reasons you should consider buying a solar power generator this summer.
[00:26:02.641 --> 00:26:06.423]  Number one, new climate legislation could easily double or triple your electric bill.
[00:26:06.663 --> 00:26:12.267]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:26:12.567 --> 00:26:13.007]  It's true.
[00:26:13.207 --> 00:26:17.409]  Total government control of electricity in the name of smart grid technology is coming.
[00:26:17.630 --> 00:26:18.130]  Number three,
[00:26:18.530 --> 00:26:23.973]  In some areas of the country, the power grid is dangerously overloaded, especially with the high demand summer months ahead.
[00:26:24.834 --> 00:26:27.476]  The hurricane and dangerous summer storm season is here again.
[00:26:27.736 --> 00:26:31.138]  Every year, thousands of families lose their power from weather-related outages.
[00:26:32.259 --> 00:26:35.841]  A solar power generator provides powerful backup insurance and peace of mind.
[00:26:36.101 --> 00:26:41.583]  Folks, I really believe in the solar power generators offered by Solutions from Science, a longtime sponsor of ours.
[00:26:41.823 --> 00:26:46.384]  You can get more information at www.mysolarbackup.com.
[00:26:46.525 --> 00:26:48.065]  That's mysolarbackup.com.
[00:26:48.285 --> 00:26:50.626]  Remember, the government doesn't own the sun yet.
[00:26:50.866 --> 00:26:54.767]  So go to mysolarbackup.com or call toll free 877-327-0365.
[00:27:00.209 --> 00:27:02.130]  Waging war on corruption.
[00:27:02.590 --> 00:27:05.351]  Alex Jones on the GCN Radio Network.
[00:27:11.863 --> 00:27:16.025]  Big Brother, Mainstream Media, Government Cover-Ups.
[00:27:16.686 --> 00:27:17.506]  You want answers?
[00:27:18.266 --> 00:27:19.207]  Well, so does he.
[00:27:19.827 --> 00:27:23.489]  He's Alex Jones on the GCN Radio Network.
[00:27:24.029 --> 00:27:28.112]  And now, live from Austin, Texas, Alex Jones.
[00:27:30.213 --> 00:27:35.976]  Lou Rockwell of lourockwell.com and the Varmese Institute on Ron Paul's right hand.
[00:27:37.256 --> 00:27:43.500]  Men is joining us today for another 20 minutes or so to take a few calls in the next segment.
[00:27:44.581 --> 00:27:47.623]  Mr. Rockwell, you know you say people are waking up to the tyranny and I agree with you.
[00:27:47.643 --> 00:27:49.744]  I see an awakening that's exponential.
[00:27:50.405 --> 00:27:51.205]  It's parabolic.
[00:27:52.126 --> 00:27:53.306]  But the system doesn't care.
[00:27:53.907 --> 00:27:57.629]  And it's got a lot of brainwashed paramilitary police on power trips who'll do what they're told.
[00:27:58.090 --> 00:28:02.773]  I remember watching Governor Ridge six years ago, Homeland Security had just been set up publicly,
[00:28:03.755 --> 00:28:09.578]  As we know, Clinton gave speeches about it in 93 and 94, how Northcom, how they wanted to set it up and have an army on the streets of America.
[00:28:09.598 --> 00:28:10.939]  This has all been planned bipartisan.
[00:28:11.519 --> 00:28:27.407]  But the key here is, he said to have a job, you'll have to have an ID card, buy and sell, total control, we're going to track and categorize everything you do, and what you see in the airports, that type of security, it's going to be in the malls, in the bus terminals, in the subways.
[00:28:27.507 --> 00:28:31.589]  And now in Boston, New York, Houston, Dallas, they have these Viper teams,
[00:28:32.549 --> 00:28:33.589]  Federal Marshals, others.
[00:28:33.929 --> 00:28:35.790]  TSA, as you know, is taking over.
[00:28:36.170 --> 00:28:39.811]  And they're saying everyone in New York, everyone in Boston will now be searched.
[00:28:40.411 --> 00:28:44.692]  I have, um, PATH stations to run security screening tests.
[00:28:45.132 --> 00:28:47.612]  Cutting edge, passive millimeter wave technology.
[00:28:47.632 --> 00:28:50.653]  This is the one that scans your naked body, puts it on a hard drive.
[00:28:50.673 --> 00:28:51.833]  I mean, it's more human than human.
[00:28:52.093 --> 00:28:56.434]  I say more human, it even shows the pores on a woman's breast and your genitalia.
[00:28:56.914 --> 00:28:57.976]  Total humiliation.
[00:28:58.016 --> 00:29:05.709]  People are going to march their sons and daughters through even, I guess, so the feds will now have a biometric 360 scan of our body.
[00:29:06.630 --> 00:29:08.032]  Your comments on that, Lew Rockwell.
[00:29:08.871 --> 00:29:13.776]  Well, you know, we have to remember that the central government is, in effect, a criminal gang.
[00:29:14.297 --> 00:29:22.745]  It lives off theft by taxation, and it lives off lying by propaganda, and there's no end to what they would like to do to us.
[00:29:22.785 --> 00:29:30.193]  So, yes, there's the nude pictures at the airport and so forth, where they're all, I'm sure, yucking it up and passing things around.
[00:29:31.494 --> 00:29:42.176]  It's just that, I mean, it's a peek at what the government is like, but if you sort of think of it like the mafia, only the mafia, I don't want to condemn the mafia too much because they actually provide services people want to buy.
[00:29:42.457 --> 00:29:46.978]  The government doesn't provide services people want to buy, that's why it wants to use force to get your money.
[00:29:47.818 --> 00:29:52.919]  So, again, this is a bunch that thinks nothing, for example, of killing a million people in Iraq.
[00:29:54.352 --> 00:29:56.793]  Unfortunately, not too many Americans care about that either.
[00:29:56.813 --> 00:29:58.833]  They're killing people in Afghanistan.
[00:29:59.213 --> 00:30:02.614]  They have these 700 military bases all over the world.
[00:30:03.154 --> 00:30:08.995]  And, you know, it's a killing operation as well as a theft operation, the government.
[00:30:09.275 --> 00:30:11.796]  So I think we all have to realize that nothing is beyond them.
[00:30:12.136 --> 00:30:20.118]  And the only way that we have any chance of holding them back is by teaching ourselves, by learning what's going on, by reading, by watching.
[00:30:20.718 --> 00:30:25.282]  And by being observant and just becoming aware of everything.
[00:30:25.522 --> 00:30:27.064]  And not buying any other tricks.
[00:30:27.264 --> 00:30:29.266]  I mean, let's talk about some of the tricks.
[00:30:29.566 --> 00:30:38.633]  Because they have constant tricks, but for those that don't know, the news only shows you a still image on the screen of your genitalia and says, yeah, you're naked to set that precedent of humiliation.
[00:30:38.673 --> 00:30:41.156]  Taking the shoes off is a submission ritual.
[00:30:41.216 --> 00:30:43.998]  I've read the psychological warfare documents on that that have been leaked.
[00:30:44.298 --> 00:30:45.960]  It's all about training you to be a slave.
[00:30:46.440 --> 00:30:55.119]  To answer questions, to be lined up, but what they really have is a 360 naked image of you for their biometric cameras to identify you on the street.
[00:30:55.179 --> 00:30:55.660]  Go ahead, Lou.
[00:30:56.539 --> 00:30:59.642]  Well, it's true, and I, you know, that whole shoe business is of course ridiculous.
[00:31:00.062 --> 00:31:05.867]  I have a friend who said, thank goodness that guy didn't, uh, didn't try a pants bomb, you know, versus a shoe bomb.
[00:31:05.887 --> 00:31:12.874]  So, it's, uh, yeah, but, you know, if you go to the airport, you understand exactly how the federal government would like all of society.
[00:31:12.914 --> 00:31:18.038]  That is, you're in a line, you're subservient, if you even look them in the eye, you're in danger.
[00:31:18.058 --> 00:31:19.279]  You have to do everything they say.
[00:31:19.540 --> 00:31:20.721]  There's no freedom of speech.
[00:31:21.381 --> 00:31:23.703]  And it's all socialized, of course, with the socialists.
[00:31:24.103 --> 00:31:25.344]  It's the way communism is run.
[00:31:25.384 --> 00:31:29.407]  The PSA is a socialist operation, like everything else from the federal government.
[00:31:29.848 --> 00:31:32.670]  The Pentagon, these are all socialist operations.
[00:31:33.070 --> 00:31:42.998]  And just like socialism all over the world, national socialism, international socialism, this is a very crude, a very brutal bunch.
[00:31:43.018 --> 00:31:45.400]  And, you know, they would like us all to be their victims.
[00:31:45.720 --> 00:31:47.261]  However, we don't have to be their victims.
[00:31:47.381 --> 00:31:53.408]  Well, what about 10th Amendment challenges to the TSA waddling around with their illegal alien screeners?
[00:31:54.028 --> 00:31:55.770]  And that's come out in the news, a lot of them are illegal aliens.
[00:31:55.810 --> 00:31:57.612]  Yeah, well, magnificent 10th Amendment challenges.
[00:31:58.093 --> 00:31:58.873]  Yeah, yeah, stay there.
[00:31:58.913 --> 00:32:01.016]  Lou Rockwell, always amazing to talk to Lou Rockwell.
[00:32:01.056 --> 00:32:02.417]  Your call's coming up and a lot more.
[00:32:02.858 --> 00:32:03.618]  I'm Alex Jones.
[00:32:03.658 --> 00:32:05.621]  The InfoWars Money Bomb is in full swing.
[00:32:06.021 --> 00:32:06.501]  Stay with us.
[00:32:07.469 --> 00:32:09.031]  Hello friends, this is Alex Jones.
[00:32:09.171 --> 00:32:13.818]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[00:32:13.898 --> 00:32:16.662]  We need to be independent, and food and water is the key.
[00:32:16.862 --> 00:32:19.726]  You'll never have to stand in a bread line if you have your own bread.
[00:32:19.906 --> 00:32:24.633]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency.
[00:32:24.853 --> 00:32:25.794]  If you simply prepare.
[00:32:25.974 --> 00:32:28.936]  No one is going to take care of your family in the final equation but you.
[00:32:29.216 --> 00:32:36.122]  You know eFoodsDirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[00:32:36.222 --> 00:32:39.344]  And they do it at almost half the cost of last year's grocery prices.
[00:32:39.504 --> 00:32:41.165]  Call 1-800-409-5633 or on the web go to eFoodsDirect.com
[00:32:44.628 --> 00:32:50.691]  Visit eFoodsDirect.com and look over the fine list of high-quality, pre-stride, and dehydrated foods they have to offer.
[00:32:50.891 --> 00:32:54.633]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[00:32:54.653 --> 00:32:56.154]  Again, 800-409-5633, or on the web at eFoodsDirect.com.
[00:32:56.194 --> 00:32:56.614]  Take action today.
[00:32:56.634 --> 00:32:58.415]  The first step is getting storable food.
[00:33:07.543 --> 00:33:12.845]  What can you do to keep you and your family safe from the resistant new strains of deadly bacteria and viruses?
[00:33:13.386 --> 00:33:21.770]  Check out SupernaturalSilver.com today, or visit the link on InfoWars.com to find out more about this incredible new silver compound.
[00:33:21.970 --> 00:33:28.753]  The new silver solution is a natural antibiotic that is clinically tested to kill viruses, germs, bacteria, and yeast safely.
[00:33:29.093 --> 00:33:31.094]  This new technology has proven itself.
[00:33:31.294 --> 00:33:31.854]  We're good to go.
[00:33:55.808 --> 00:33:59.110]  Click on the link and check out the uses for New Silver Solution.
[00:33:59.490 --> 00:34:04.173]  Order this extra line of defense today by going to SupernaturalSilver.com.
[00:34:04.313 --> 00:34:06.474]  That's SupernaturalSilver.com today.
[00:34:07.154 --> 00:34:15.839]  Many human illnesses can be attributed to the fact that soil in the United States no longer provides plants with the mineral elements which are essential to human nourishment.
[00:34:16.260 --> 00:34:20.962]  Studies have shown that a majority of Americans are seriously deficient in basic minerals.
