[00:00:06.149 --> 00:00:11.693]  ...set off all ceramic filter systems and ship all orders over $50 free of charge.
[01:34:13.073 --> 01:34:14.275]  There's hundreds of these articles.
[01:34:14.275 --> 01:34:16.920]  The way they report on it is death here, death there.
[01:34:16.920 --> 01:34:17.701]  Hundreds dead.
[01:34:19.133 --> 01:34:21.493]  And thousands having autoimmune diseases.
[01:34:21.493 --> 01:34:23.954]  It is a live cancer virus.
[01:34:23.954 --> 01:34:27.895]  On the insert for Gardasil, it says it doesn't even protect you from cervical cancer.
[01:34:27.895 --> 01:34:41.637]  There are over 350 variants of it, and studies are out that having that virus then gives you more than a 70% reduction in not getting a whole class of fast-acting cancers.
[01:34:41.637 --> 01:34:44.537]  It's a buffer.
[01:34:44.537 --> 01:34:46.218]  Eh, you won't believe it until you all die of cancer.
[01:34:46.218 --> 01:34:47.478]  Fine, just look, folks.
[01:34:48.151 --> 01:34:52.312]  A few decades ago it was 5 or 6 vaccines they said were mandatory and they'd lie about it and say it was.
[01:34:52.312 --> 01:34:54.892]  Then it was 30, now 40, now 50, now 60.
[01:34:54.892 --> 01:34:58.653]  These companies come in and lobby government and they force you to take it.
[01:34:58.653 --> 01:35:03.034]  The same companies like Merck that gave you Vioxx.
[01:35:03.034 --> 01:35:08.435]  Bayer that knowingly shipped HIV and Hepatitis out in Factor VIII.
[01:35:08.435 --> 01:35:11.436]  Don't roll your eyes at me, Google it.
[01:35:11.436 --> 01:35:12.556]  During the break we Googled.
[01:35:14.964 --> 01:35:16.765]  Gardasil deaths.
[01:35:16.765 --> 01:35:19.046]  Thousands of articles.
[01:35:19.046 --> 01:35:20.667]  Here's another one.
[01:35:20.667 --> 01:35:21.628]  New York Daily News.
[01:35:21.628 --> 01:35:25.810]  My girl died as guinea pig for Gardasil.
[01:35:25.810 --> 01:35:31.394]  Ladies and gentlemen, Merck knew they had a vaccine three years ago in trials.
[01:35:31.394 --> 01:35:35.956]  I had doctors and scientists on that had killed a bunch of people in the trials.
[01:35:35.956 --> 01:35:37.497]  Just like they knew in 1981 that Prozac caused a 15
[01:35:41.638 --> 01:35:45.541]  Times fold increase in suicide in their tiny trials.
[01:35:45.541 --> 01:35:50.024]  And they covered it up, and now they have to put on the insert, it makes you kill people.
[01:35:50.024 --> 01:35:52.046]  And yourself.
[01:35:52.046 --> 01:35:53.307]  That's now on the insert.
[01:35:53.307 --> 01:35:55.928]  No more sucking your thumb and denying.
[01:35:55.928 --> 01:36:08.838]  Now, they knew they had a bad drug that had cost them billions of dollars, but when they pay off a governor like Rick Perry, and it came out that they gave his campaign to everybody else who voted for it in the legislature, big scandal.
[01:36:08.838 --> 01:36:10.259]  When he makes it mandatory,
[01:36:10.922 --> 01:36:13.324]  Quote, mandatory that schools try to push it on you.
[01:36:13.324 --> 01:36:15.026]  Puts it on the mandatory list.
[01:36:15.026 --> 01:36:19.910]  Then federal money for vaccine damage kicks in.
[01:36:19.910 --> 01:36:28.058]  So they can dump it on the market just like Bayer dumped Factor VIII on the market full of HIV.
[01:36:28.058 --> 01:36:29.599]  Just Google Factor VIII AIDS.
[01:36:29.599 --> 01:36:30.800]  Don't you deny me.
[01:36:30.800 --> 01:36:32.682]  Your family depends on this.
[01:36:32.682 --> 01:36:34.464]  Your children depend on this, listeners.
[01:36:35.413 --> 01:36:38.494]  My girl died as a guinea pig.
[01:36:38.494 --> 01:36:41.976]  Go put Gardasil Deaths in on YouTube and watch all the local newscasts.
[01:36:41.976 --> 01:36:48.098]  Nationally, they won't put it on TV, but you'll see the girls, blood pouring out their eyes, their mouths, every orifice.
[01:36:48.098 --> 01:36:51.480]  It's like an Ebola death.
[01:36:51.480 --> 01:36:52.320]  Hell, don't believe me?
[01:36:52.320 --> 01:36:54.101]  Go ahead and murder your daughters.
[01:36:54.101 --> 01:36:56.382]  Maybe after your daughter dies, you'll listen to me.
[01:36:56.382 --> 01:36:59.063]  Go ahead, murder them!
[01:36:59.063 --> 01:37:01.504]  Or maybe after they're paralyzed in the hospital a few months.
[01:37:02.202 --> 01:37:08.883]  A lot of times they have a convulsion that night, you take them back to the doctor and they go, oh the vaccine didn't do it, I don't have any liability.
[01:37:08.883 --> 01:37:12.424]  These pimp doctors get $900 for the shots.
[01:37:12.424 --> 01:37:17.945]  That's why they tell people on Medicare and Medicaid it's the law, they gotta take it, because they know they're getting a big piece of it.
[01:37:17.945 --> 01:37:21.626]  Those pimp doctors are getting about $300 cash.
[01:37:21.626 --> 01:37:26.407]  They can go buy hookers with that, they can go buy drugs with that, they can go buy golf course fees with that.
[01:37:26.407 --> 01:37:27.547]  You think they care about you?
[01:37:31.596 --> 01:37:32.457]  I'm sick of it!
[01:37:32.457 --> 01:37:36.660]  I'm not living in the middle of this eugenics pit anymore.
[01:37:36.660 --> 01:37:37.640]  Look at this.
[01:37:37.640 --> 01:37:39.041]  Let me tell you how evil the government is.
[01:37:39.041 --> 01:37:49.528]  New York Daily News admits they grabbed little black kids, CPS does, from their kids and test pesticides on them, chained down over three months till the black kid dies.
[01:37:49.528 --> 01:37:50.529]  That's your government.
[01:37:50.529 --> 01:37:53.491]  They take little kids and radiate them to death and poison them.
[01:37:53.491 --> 01:37:55.292]  This government is completely criminal.
[01:37:55.292 --> 01:37:57.194]  I'm risking my life bringing you this info.
[01:37:57.194 --> 01:37:58.134]  They don't control everything.
[01:37:58.134 --> 01:37:58.995]  See, that's why I'm on the radio.
[01:38:00.017 --> 01:38:02.899]  They can just sit there carrying out their evil and nobody prosecutes them.
[01:38:02.899 --> 01:38:03.700]  Here's another one.
[01:38:03.700 --> 01:38:04.601]  You think I'm joking?
[01:38:04.601 --> 01:38:07.383]  This is out of The Australian, biggest newspaper in Australia.
[01:38:07.383 --> 01:38:09.405]  It's also ABC News.
[01:38:09.405 --> 01:38:12.247]  Vioxx maker Merck and co.
[01:38:12.247 --> 01:38:14.549]  drew up Dr. Hit List.
[01:38:14.549 --> 01:38:17.672]  And it says doctors to be, quote, liquidated.
[01:38:17.672 --> 01:38:18.132]  And guess what?
[01:38:18.132 --> 01:38:19.914]  It just so turns out we did a database search.
[01:38:19.914 --> 01:38:24.157]  A bunch of doctors that were critical of them got their heads blown off.
[01:38:24.157 --> 01:38:26.319]  Oh yeah, they really care about you and your family.
[01:38:27.842 --> 01:38:32.383]  Now, ma'am, I blew up at you because I'm worried about your family.
[01:38:32.383 --> 01:38:38.764]  I get angry, and I'm going to go to her in a minute, but I'm trying to explain this to you.
[01:38:38.764 --> 01:38:43.605]  Most of the women that die taking the Merck shot take the second or third shot.
[01:38:43.605 --> 01:38:45.145]  I know you're saying they already got five.
[01:38:45.145 --> 01:38:56.227]  No, they got other IQ reducers and cancer implantation operations put in them through the compartmentalized idiot that was lying saying take the shots.
[01:38:56.227 --> 01:38:56.467]  Okay?
[01:38:58.167 --> 01:39:00.988]  They haven't gotten the other two shots yet unless they've been back.
[01:39:00.988 --> 01:39:03.329]  That doctor needs to have complaints filed on him.
[01:39:03.329 --> 01:39:10.153]  That doctor, listen, for anybody that doesn't believe me about this, I had the state's attorney on for Maryland a year and a half ago.
[01:39:10.153 --> 01:39:12.374]  It's up on YouTube.
[01:39:12.374 --> 01:39:20.918]  I saw him on CNN with drug dogs barking at children, 2,000 children lined up outside being forcibly injected in front of the courthouse in St.
[01:39:20.918 --> 01:39:25.199]  George County, Maryland.
[01:39:25.199 --> 01:39:26.100]  And I saw them
[01:39:27.529 --> 01:39:31.731]  They're crying, saying, I don't want to take it, but it's the law, and crying.
[01:39:31.731 --> 01:39:35.614]  And I call him up, and I get him on, and I go, sir, you know there's a waiver for that, and there's no law.
[01:39:35.614 --> 01:39:38.255]  It's a waiver for a regulation, so it's color law.
[01:39:38.255 --> 01:39:41.897]  And he laughed on air and said, yeah, I don't even vaccinate my own kids.
[01:39:41.897 --> 01:39:45.699]  And I said, but you and the judge told him all, and the news told him it was the law.
[01:39:45.699 --> 01:39:47.981]  And he just said, well, look, there were waivers available.
[01:39:47.981 --> 01:39:50.042]  And I said, no, you were on the news saying it was mandatory.
[01:39:51.226 --> 01:39:56.231]  This is what these people do so they can wear a suit and be fancy and have people kiss their butt in some courthouse.
[01:39:56.231 --> 01:39:58.533]  It's all about fake baloney.
[01:39:58.533 --> 01:39:59.954]  Well, I don't care about fake baloney.
[01:39:59.954 --> 01:40:00.735]  I'm going to tell the truth.
[01:40:00.735 --> 01:40:03.257]  Now, who's turned the mic on?
[01:40:03.257 --> 01:40:08.842]  You were talking about, Paul Hart was talking about, talking to the doctor about his daughter and son, and the doctor told him the truth.
[01:40:08.842 --> 01:40:09.783]  They said, it's the law.
[01:40:09.783 --> 01:40:13.507]  I got to push them on you.
[01:40:13.507 --> 01:40:15.228]  But no, I don't even carry them in this office.
[01:40:15.228 --> 01:40:16.970]  See, the good news is we're starting to win this fight.
[01:40:18.086 --> 01:40:21.967]  When I had my first child, they tried to act like I was a cult member and talk to me weird.
[01:40:21.967 --> 01:40:25.369]  When I had my third child a year ago, they were like, yeah, none of us take them now.
[01:40:25.369 --> 01:40:27.989]  Yeah, we know it's killing everybody, but we're not allowed to talk about it.
[01:40:27.989 --> 01:40:29.790]  Yeah, yeah, yeah, we just have to ask you.
[01:40:29.790 --> 01:40:31.531]  Don't take them, I don't take them.
[01:40:31.531 --> 01:40:32.951]  I don't, I didn't vaccinate my kids.
[01:40:32.951 --> 01:40:40.234]  I agree, you know, the nurses now, see, they now, because they see enough people flopping around on the floor, blood pouring out, when the black op gets run.
[01:40:40.234 --> 01:40:46.156]  And see, everybody just covers it up, and it's, well, there's a federal fund, pays that off, you know, that's how it is.
[01:40:47.959 --> 01:40:48.483]  Hoos, go ahead.
[01:40:48.483 --> 01:40:49.350]  Tell folks what they said to you.
[01:40:50.652 --> 01:41:00.277]  I just called up this pediatrician that I found just because I knew my present pediatrician probably was going to pressure me into vaccinating my son.
[01:41:00.277 --> 01:41:00.977]  Yeah, they'll lie to you.
[01:41:00.977 --> 01:41:01.317]  They're scum.
[01:41:01.317 --> 01:41:03.598]  I called her and wanted to get her stance on it.
[01:41:03.598 --> 01:41:18.265]  She just told me that she's required by law to offer them to me and suggest that I do it, but she says that she doesn't even carry them in her office because they go bad too quick and that she won't pressure me into vaccinating
[01:41:18.345 --> 01:41:21.008]  There is no law to take them.
[01:41:21.008 --> 01:41:33.239]  You saw the mainstream news articles in Bloomberg about a mixing weaponized bird flu with the vaccines, and then they shipped it out and won't say what happened, and suddenly this new virus pops up, and they're saying they're getting ready for martial law in the fall.
[01:41:33.239 --> 01:41:34.200]  Who's comments on that?
[01:41:35.805 --> 01:41:36.946]  It's just crazy, man.
[01:41:36.946 --> 01:41:38.387]  Something looks real sheisty.
[01:41:38.387 --> 01:41:39.387]  You work in this office.
[01:41:39.387 --> 01:41:43.870]  You know, I hired you because you were a board op up here at KLBJ and you worked at KI2 and TV.
[01:41:43.870 --> 01:41:46.111]  You didn't believe a lot of the stuff when I first hired you.
[01:41:46.111 --> 01:41:48.052]  You've now seen me do the show.
[01:41:48.052 --> 01:41:52.115]  Now, is everything I talk about documented, even mainstream?
[01:41:52.115 --> 01:41:53.936]  Oh, yeah.
[01:41:53.936 --> 01:41:57.058]  I mean, you're kind of in disbelief until you see it.
[01:41:57.058 --> 01:42:04.402]  I mean, I've got ABC News and The Australian with Vioxx maker Merck drew up Dr. Hit List.
[01:42:05.322 --> 01:42:08.343]  It's like that one dude said, hittin' it in plain view, right?
[01:42:08.343 --> 01:42:10.224]  It's totally, exactly!
[01:42:10.224 --> 01:42:24.589]  Listen, folks, I can pull up New York Daily News, and I had the local families on, because social workers finally said we can't be part of this, where they would go grab little black kids and take them and chain them down and test pesticides on them and murder them!
[01:42:24.589 --> 01:42:26.690]  They murder children!
[01:42:26.690 --> 01:42:29.171]  I would be a weirdo if I wasn't upset about this!
[01:42:30.475 --> 01:42:37.961]  Folks, even if you're for vaccines, just find out there's no law, you gotta take them, and then ask yourself why the news gets up and says it's the law.
[01:42:37.961 --> 01:42:39.523]  This is all color of law.
[01:42:39.523 --> 01:42:48.651]  It's just like even if you're for the global warming tax, and you want to pay $2,800 a year just to start, and you want all the jobs shut down, and you think it's great.
[01:42:48.651 --> 01:42:50.953]  They didn't let Congress read it!
[01:42:50.953 --> 01:42:53.014]  Now, Danielle, I'm sorry.
[01:42:53.014 --> 01:42:55.817]  Now I haven't even covered the big news I said I would, but I'll do that in the final segment.
[01:42:55.817 --> 01:42:57.058]  The lines have been loaded the whole show.
[01:42:58.012 --> 01:43:01.033]  You know, this gets to me because I know they're a pack of liars.
[01:43:01.033 --> 01:43:03.613]  I know the cops are shooting themselves up.
[01:43:03.613 --> 01:43:07.474]  I mean, when I say they put cancer viruses in vaccines, it's been found everywhere.
[01:43:07.474 --> 01:43:10.614]  But does that answer your question, Danielle?
[01:43:10.614 --> 01:43:11.774]  Yes.
[01:43:11.774 --> 01:43:18.376]  I read some articles about that Gardasil thing, and there are a couple of girls that died and were in critical condition.
[01:43:18.376 --> 01:43:19.476]  Not a couple!
[01:43:19.476 --> 01:43:20.796]  No, no.
[01:43:20.796 --> 01:43:22.356]  The media does that as a tactic.
[01:43:22.356 --> 01:43:25.637]  I read that in an army psych warfare document, British Army document from the 40s.
[01:43:26.517 --> 01:43:29.439]  When they're killing thousands, they'll only tell you about a couple of them.
[01:43:29.439 --> 01:43:31.601]  That creates the illusion it's only a few.
[01:43:31.601 --> 01:43:33.022]  Ma'am, it's mass death.
[01:43:33.022 --> 01:43:33.522]  It's not a couple.
[01:43:33.522 --> 01:43:37.045]  Heart-related health problems affect millions of people each year.
[01:43:37.045 --> 01:43:46.672]  Maybe you're one of the many who suffer from issues related to angina pain, high blood pressure, congestive heart failure, unbalanced cholesterol, irregular heartbeat, or clogged arteries.
[01:43:46.672 --> 01:43:53.517]  There is a solution that doesn't involve expensive prescription drugs that only mask the problem and leave you with horrible side effects.
[01:43:53.737 --> 01:44:07.243]  If you are ready to live your life free of sickness, pain, and fear, live your life with increased vitality, energy, and youthfulness, and experience your body healing itself, then you're ready for Heart and Body Extract from Healthy Hearts Club.
[01:44:07.243 --> 01:44:13.025]  Here is what one satisfied customer had to say about Heart and Body Extract regarding his angina pain.
[01:44:13.025 --> 01:44:16.087]  I haven't had an angina pain since I've been on it.
[01:44:16.087 --> 01:44:18.588]  The Heart and Body Extract is just so great.
[01:44:18.588 --> 01:44:23.350]  I thank God that I was led to this product that's doing so much for me, and that can do so much for other people.
[01:44:33.358 --> 01:44:36.741]  When you hear the words water purification, what comes to mind?
[01:44:36.741 --> 01:44:40.644]  If it's Berkey Water Purification Systems, this message is for you.
[01:44:40.644 --> 01:44:44.367]  Did you know that over 60% of municipal water contains fluoride?
[01:44:44.367 --> 01:44:49.291]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water.
[01:44:49.471 --> 01:44:50.031]  Thanks for watching!
[01:45:05.663 --> 01:45:10.807]  You'll receive a shower filter, a fluoride filter, or two sport Berkey bottles absolutely free.
[01:45:10.807 --> 01:45:20.555]  BigBerkeyWaterFilters.com would like to offer GCN listeners 5% off all ceramic filter systems and ship all orders over $50 free of charge.
[01:45:20.555 --> 01:45:23.096]  Visit BigBerkeyWaterFilters.com.
[01:45:23.096 --> 01:45:25.018]  That's BigBerkeyWaterFilters.com.
[01:45:25.018 --> 01:45:25.859]  Or call 1-877-99-BERKEY.
[01:45:25.859 --> 01:45:26.479]  That's 1-877-99-BERKEY today.
[01:45:33.723 --> 01:45:36.206]  Are you concerned about an economic downfall?
[01:45:36.206 --> 01:45:41.111]  Would you like to have more money to invest in precious metals, food, and safety of your loved ones?
[01:45:41.111 --> 01:45:48.400]  With the Debt Crisis Solutions Program, you can finally be debt-free without paying another cent to creditors, and not have to file bankruptcy.
[01:45:48.760 --> 01:45:54.948]  This is not debt counseling, settlement, or debt consolidation, which may have serious legal and tax consequences.
[01:45:54.948 --> 01:45:59.053]  With our program, you will not pay another penny to your creditors or collectors.
[01:45:59.053 --> 01:46:03.899]  Protect your home, paycheck, and bank account from any lawsuits and restore your credit history.
[01:46:04.099 --> 01:46:10.043]  We also provide mortgage modification services which can lower your mortgage payments without refinancing.
[01:46:10.043 --> 01:46:13.405]  If you're facing foreclosure problems, we can help.
[01:46:13.405 --> 01:46:16.868]  Finally, proven debt solutions that work for the people.
[01:46:16.868 --> 01:46:19.369]  Become debt free in 90 days.
[01:46:19.369 --> 01:46:21.671]  Doing nothing doesn't make the debt go away.
[01:46:21.671 --> 01:46:24.593]  Call Debt Crisis Solutions and speak to an advisor.
[01:46:24.593 --> 01:46:25.654]  Absolutely free.
[01:46:25.654 --> 01:46:25.894]  Call 718-615-0123.
[01:46:25.894 --> 01:46:26.374]  That's 718-615-0123 today.
[01:46:33.439 --> 01:46:39.425]  Did you know many vitamin and mineral supplements on the market are made from rocks and ground up shells?
[01:46:39.425 --> 01:46:40.185]  Think about that.
[01:46:40.185 --> 01:46:43.308]  Would you swallow a handful of shells you found at the beach?
[01:46:43.308 --> 01:46:46.511]  Our body wasn't designed to digest rocks and shells.
[01:46:46.511 --> 01:46:56.321]  Hello, my name is Dr. David Friedman, formulator of Chews for Health, a delicious tasting, chewable dietary supplement derived from 16 fruits, vegetables and antioxidants.
[01:46:56.741 --> 01:47:02.585]  Unlike hard-to-digest pills, Choose for Health is a convenient chewable which allows for better digestion.
[01:47:02.585 --> 01:47:03.746]  The choice is yours.
[01:47:03.746 --> 01:47:09.370]  Swallow rocks and shells to supplement your diet or a natural chewable product you can better digest.
[01:47:09.370 --> 01:47:14.434]  Choose for Health, the world's first superfruit, sea vegetable, antioxidant chewable.
[01:47:14.434 --> 01:47:16.896]  Whole food nutrition, not rocks and shells.
[01:47:17.896 --> 01:47:21.018]  1-800-210-1922.
[01:47:21.018 --> 01:47:28.643]  Call now and receive a free copy of my best-selling CD, America's Unbalanced Diet.
[01:47:28.643 --> 01:47:29.283]  1-800-210-1922.
[01:47:29.283 --> 01:47:34.066]  Or go to orderchoose.com.
[01:47:34.066 --> 01:47:37.708]  Are you tired of searching for great talk radio?
[01:47:37.708 --> 01:47:39.209]  Search no more.
[01:47:39.209 --> 01:47:42.191]  We are the GCN Radio Network.
[01:47:43.852 --> 01:47:45.113]  You know why I rant and rave?
[01:47:45.113 --> 01:47:46.253]  Because I know we're trapped.
[01:47:46.253 --> 01:47:47.994]  I know there's a scientific dictatorship.
[01:47:47.994 --> 01:47:50.775]  I know they're murdering us at will.
[01:47:50.775 --> 01:47:58.758]  I've got that video at the office of all those kids lined up crying with police and riot gear with dogs barking saying it's the law as they cry and inject them.
[01:47:58.758 --> 01:48:06.261]  And then we had news reporters there that I've interviewed who had video cameras and the cops would come over and say turn your cameras off.
[01:48:06.261 --> 01:48:09.062]  The government's just basically broken us.
[01:48:09.062 --> 01:48:10.262]  They've trained us to be slaves.
[01:48:10.262 --> 01:48:11.603]  They've trained us to put up with anything.
[01:48:13.954 --> 01:48:18.097]  I know we got Dan, Chris, we got people in Toronto, Pennsylvania, Oregon, Mass.
[01:48:18.097 --> 01:48:20.538]  You know, I'm not going to be able to take your calls.
[01:48:20.538 --> 01:48:25.241]  Call me back tomorrow or next week as I promise to break down the total takeover of society.
[01:48:25.241 --> 01:48:28.143]  And I need to do that now here in the final segment.
[01:48:28.143 --> 01:48:35.208]  But I just told you how the Gardasil's killing a lot of people that are taking it.
[01:48:35.208 --> 01:48:41.692]  Because it's a live cancer virus and it's causing a serious autoimmune inflammation, inflammation on the brain.
[01:48:43.112 --> 01:48:45.974]  And I've seen the autopsy photos of these girls.
[01:48:45.974 --> 01:48:48.416]  I mean, it's just... It doesn't matter.
[01:48:48.416 --> 01:48:52.860]  You just, I guess, go ahead and kill your daughter or hurt her real bad when she's paralyzed.
[01:48:52.860 --> 01:48:58.565]  I've had a lot of people write me and call me and they'll call the office crying, going, my God, my daughter's paralyzed now.
[01:48:58.565 --> 01:49:00.726]  She had a stroke after she took it.
[01:49:00.726 --> 01:49:01.687]  Look, I'm sorry.
[01:49:01.687 --> 01:49:07.332]  I try, you know, I get to be called a kook and attacked by the media for reading mainstream government documents.
[01:49:07.332 --> 01:49:08.973]  I think, you know, it's just...
[01:49:10.620 --> 01:49:11.760]  It's black ops.
[01:49:11.760 --> 01:49:12.961]  It's soft kill weapons.
[01:49:12.961 --> 01:49:13.921]  And they're not going to stop.
[01:49:13.921 --> 01:49:16.061]  And they're getting ready with this new flu.
[01:49:16.061 --> 01:49:20.362]  They're going to hype up in the fall to try to forcibly inoculate people.
[01:49:20.362 --> 01:49:26.844]  The good news is they tried to forcibly inoculate all the first responders in 2002 with the Model States Health Emergency Powers Act.
[01:49:26.844 --> 01:49:29.985]  And now they have the criminal law passed to forcibly inject us.
[01:49:29.985 --> 01:49:31.645]  But now they're going to try to implement it.
[01:49:31.645 --> 01:49:34.666]  You see, they're domesticating us now.
[01:49:34.666 --> 01:49:35.326]  And that's why they're
[01:49:35.876 --> 01:49:46.045]  They're testing their federalization takeover through economic crises, terror crises, and biological crises.
[01:49:46.045 --> 01:49:53.551]  And yes, the House of Representatives passed a 13 plus hundred page bill that no one was allowed to read.
[01:49:53.551 --> 01:49:58.376]  They let one copy be released on the floor 30 minutes before it was going to pass.
[01:49:58.376 --> 01:50:01.078]  So Bonner did a house filibuster.
[01:50:02.864 --> 01:50:04.465]  And then shut it down, and they passed it.
[01:50:04.465 --> 01:50:07.367]  It passed by the eight Republicans that went over.
[01:50:07.367 --> 01:50:10.849]  And I gave you their names and numbers last hour, and that's up on InfoWars.com.
[01:50:10.849 --> 01:50:11.830]  Please call them.
[01:50:11.830 --> 01:50:14.191]  They're local bastard offices.
[01:50:14.191 --> 01:50:14.952]  And, I mean, they are.
[01:50:14.952 --> 01:50:16.273]  They're just complete thugs.
[01:50:17.305 --> 01:50:18.446]  I mean, you ought to read the bill.
[01:50:18.446 --> 01:50:24.930]  Just home inspectors, taxes on all electricity, taxes on all industry cars, no taxes on foreign countries.
[01:50:24.930 --> 01:50:39.800]  In fact, billions per foreign nation, Mexico, China, of tax money to pay them to implement it, and then they admit that money's going to go back to the IMF and World Bank in open money laundering.
[01:50:39.800 --> 01:50:44.883]  Congressman John Bonner on The Hill newspaper called the climate bill a pile of bleep.
[01:50:46.101 --> 01:50:47.681]  And said it's the biggest tax in U.S.
[01:50:47.681 --> 01:50:50.082]  history, and that's what it is.
[01:50:50.082 --> 01:50:55.583]  But they'll slowly implement it now and just squeeze the daylights out of us.
[01:50:55.583 --> 01:50:58.844]  Cap and traders, again, can change vote by July 2nd deadline.
[01:50:58.844 --> 01:51:04.705]  We gotta get behind calling those people and some of the Democrats.
[01:51:04.705 --> 01:51:06.245]  There's another big lie going on.
[01:51:06.245 --> 01:51:07.746]  They're saying, oh, we're pulling out of Iraq.
[01:51:07.746 --> 01:51:10.726]  They're just pulling out of the cities into the big command bases.
[01:51:10.726 --> 01:51:12.627]  And then moving the rest of the troops to Afghanistan.
[01:51:12.627 --> 01:51:13.387]  Some other lie there.
[01:51:15.669 --> 01:51:23.956]  The other... The point is, the big takeover, everything they haven't been able to pass, the hate bill.
[01:51:23.956 --> 01:51:27.158]  We have the hate bill posted up on InfoWars.com.
[01:51:27.158 --> 01:51:42.511]  And it says, word for word, it's passed the House, that if you say something that influences someone to commit a criminal act, or if you say something that may hurt someone's feeling or cause any form of distress, that you will be arrested under a federal felony.
[01:51:43.399 --> 01:51:45.200]  Just like the Cyber Bullying Act says.
[01:51:45.200 --> 01:51:47.302]  It has passed the House.
[01:51:47.302 --> 01:51:49.884]  Never before.
[01:51:49.884 --> 01:51:53.787]  It is now in the Senate, which is even worse.
[01:51:53.787 --> 01:52:04.115]  The Climate Takeover Bill, where the federal government takes over all industry, where their own private board, set up by the government, can selectively decide who can have a carbon footprint and can't.
[01:52:04.115 --> 01:52:05.557]  Taxes on cows.
[01:52:05.557 --> 01:52:06.838]  Taxes on sheep.
[01:52:06.838 --> 01:52:08.799]  Taxes on anything that has flatulence.
[01:52:08.799 --> 01:52:09.760]  I'm not joking!
[01:52:10.754 --> 01:52:12.596]  Taxes on everything!
[01:52:12.596 --> 01:52:15.138]  Total control!
[01:52:15.138 --> 01:52:18.480]  And they've got all the bills introduced and on the verge of passing.
[01:52:18.480 --> 01:52:23.945]  And National Compulsory Service bills on the verge of passing.
[01:52:23.945 --> 01:52:25.546]  The healthcare takeover.
[01:52:25.546 --> 01:52:27.488]  Totally federalizing healthcare further.
[01:52:28.416 --> 01:52:31.959]  Controlling what doctors and nurses do so the feds can order them how to operate.
[01:52:31.959 --> 01:52:41.265]  They're already jacked in under their insurance rules, under Medicare and Medicaid, and these federally controlled computers tell them what aid to give, what treatment to give.
[01:52:41.265 --> 01:52:44.027]  They openly say they're going to ration care.
[01:52:44.027 --> 01:52:45.668]  That's in the bill.
[01:52:45.668 --> 01:52:48.971]  Even Bloomberg's reported that, and you tell people and they can't believe it.
[01:52:48.971 --> 01:52:50.332]  Everything's happening now.
[01:52:51.124 --> 01:52:52.165]  They got an amnesty.
[01:52:52.165 --> 01:52:54.246]  Remember the last three times they tried to pass amnesty?
[01:52:54.246 --> 01:52:55.787]  They wouldn't allow the bill to be public.
[01:52:55.787 --> 01:52:57.188]  They'd say it's a secret bill.
[01:52:57.188 --> 01:52:58.909]  But Senator Sessions leaked it.
[01:52:58.909 --> 01:53:00.390]  And it was more than amnesty.
[01:53:00.390 --> 01:53:02.171]  It said they'd allow felons to stay.
[01:53:02.171 --> 01:53:06.254]  They signed a pledge to not commit felonies.
[01:53:06.254 --> 01:53:09.236]  And they could bring unlimited members of their family members here.
[01:53:09.236 --> 01:53:13.239]  And unlimited worker visas for skilled workers.
[01:53:13.239 --> 01:53:15.440]  Well now again, they're not letting people see the bill.
[01:53:15.440 --> 01:53:17.161]  But we've seen earlier versions.
[01:53:17.161 --> 01:53:18.322]  And that bill's introduced.
[01:53:24.927 --> 01:53:28.149]  I mean, ladies and gentlemen, it is coming down.
[01:53:28.149 --> 01:53:31.650]  It is going on.
[01:53:31.650 --> 01:53:35.452]  This carbon bill will completely shut down what's left of industry.
[01:53:35.452 --> 01:53:37.273]  It's all about artificial scarcity.
[01:53:37.273 --> 01:53:52.460]  By the government putting taxes on all production and all carbon activity, when we're carbon-based life forms, when carbon is one-fourth of the entire life cycle, water, sunlight, oxygen, and air, it's a tax on the key building block of life.
[01:53:52.460 --> 01:53:54.101]  You exhale carbon.
[01:53:54.844 --> 01:53:56.566]  Plants, breathe it!
[01:53:56.566 --> 01:53:58.428]  Animals and plants, animals and plants.
[01:53:58.428 --> 01:54:02.673]  It's the carbon cycle.
[01:54:02.673 --> 01:54:11.983]  Google the carbon cycle and then click Google Images and look at the basic university or high school biology overlays and look at the life cycle and realize what they've done.
[01:54:11.983 --> 01:54:12.904]  It's a tax on breathing.
[01:54:15.330 --> 01:54:20.433]  And Nancy Pelosi said in speeches, it will chronicle and tax everything you do and track everything you do.
[01:54:20.433 --> 01:54:25.935]  Your national ID card with the world sales tax, when you scan it, will track and trace everything you buy, sell and do.
[01:54:25.935 --> 01:54:30.117]  This is official policy!
[01:54:30.117 --> 01:54:43.944]  They've openly got City Year and Year Up and all these ads on TV with people in blue and grey uniforms that say, environmental police with these buck-toothed, zit-faced teenagers who have no future, no jobs,
[01:54:44.782 --> 01:54:50.124]  Red and black uniforms for City Year, marching and doing military drills on TV!
[01:54:50.124 --> 01:54:52.285]  They're running with taxpayer money!
[01:54:52.285 --> 01:55:01.428]  Have you noticed the economy's dead now, and the only billboards you see are click it or tick it, and ads of state police pulling people over and searching their cars?
[01:55:01.428 --> 01:55:04.189]  Training you, you're a slave, you're bad, the cops are watching you.
[01:55:04.189 --> 01:55:05.390]  Have you noticed all the billboards?
