[00:00:19.180 --> 00:00:20.163]  We are back live.
[00:23:46.678 --> 00:23:50.900]  Don't be a victim of sudden cardiac arrest due to inflammation of the arterial walls.
[00:23:51.280 --> 00:23:56.663]  Our hemp foods are anti-inflammatory and gluten-free and can greatly benefit the health of the human body.
[00:24:11.636 --> 00:24:19.998]  By calling 908-691-2608 or visiting hempusa.org, you can benefit from this wonderful natural food source.
[00:24:20.659 --> 00:24:28.081]  Our customers are also purchasing this natural food for long-term storage, camping, survival and emergency food rations.
[00:24:28.581 --> 00:24:34.142]  Call 908-691-2608 or visit hempusa.org today.
[00:24:34.803 --> 00:24:39.564]  Hempusa.org believes that now is the time to plan for the future
[00:24:39.966 --> 00:24:40.386]  I don't know.
[00:25:10.376 --> 00:25:11.037]  We're good to go.
[00:25:26.351 --> 00:25:28.773]  Yeah, well I'm sick of it going that way!
[00:25:28.813 --> 00:25:29.833]  And I want you to get fired!
[00:25:41.800 --> 00:26:08.002]  You know, I'm kind of flipping out and getting upset on air because you're supposed to break the spell and realize, you know, when I get up here and I tell you they've created a red and blue list of who to arrest and who to kill on the spot,
[00:26:09.369 --> 00:26:10.530]  They admit all this.
[00:26:11.351 --> 00:26:18.016]  This has come out in government documents we've covered here, and if you watch what happened in Iraq, in places like Fallujah, they admitted they had a red and blue list.
[00:26:18.437 --> 00:26:24.282]  That goes back to Vietnam, with the Phoenix teams and the rest of it.
[00:26:24.922 --> 00:26:33.810]  And folks, they admit publicly, I mean, I've got Army documents where I am called a terrorist for going out and protesting the private Federal Reserve.
[00:26:33.870 --> 00:26:37.152]  It says, military, don't let him know, they'll kill you.
[00:26:38.038 --> 00:26:39.600]  Watch out, they'll try to kill you!
[00:26:40.301 --> 00:26:42.463]  And we're out there, you know, Ron Paul's being spied on.
[00:26:42.663 --> 00:26:44.586]  Watch out, this group will try to kill you!
[00:26:47.409 --> 00:26:52.535]  They're saying we're the enemy because we're the real Americans that don't want to be taken over by offshore banks!
[00:26:53.817 --> 00:26:56.440]  And we don't want the pension funds to all be stolen and everything else.
[00:26:57.671 --> 00:26:58.912]  All right, I said I'd get to other callers.
[00:26:58.932 --> 00:27:00.413]  I want the pastor to be able to finish up.
[00:27:01.254 --> 00:27:10.102]  Pastor, Romans 13, the way the government sends you letters saying, worship the government, do what they say, then we should have followed Hitler because all governments are of God, as that pastor said on the news earlier.
[00:27:10.642 --> 00:27:12.744]  The founding fathers shouldn't have fought King George.
[00:27:13.604 --> 00:27:15.866]  Why was John the Baptist's head cut off?
[00:27:16.647 --> 00:27:17.728]  Why was Paul killed?
[00:27:18.128 --> 00:27:19.509]  Why were people crucified?
[00:27:19.590 --> 00:27:21.031]  Why were they boiled in oil?
[00:27:21.331 --> 00:27:22.512]  Why were they in prison?
[00:27:23.393 --> 00:27:25.034]  Why didn't Moses follow the orders?
[00:27:25.194 --> 00:27:25.394]  I mean,
[00:27:26.575 --> 00:27:32.759]  The whole Bible is about fighting evil, standing up to tyranny, you know, who will protect the innocent from the wicked ones.
[00:27:32.779 --> 00:27:33.840]  There's all those verses.
[00:27:34.861 --> 00:27:41.505]  When the evil comes in like a flood, the Spirit of the Lord will lift up a standard against it.
[00:27:41.985 --> 00:27:48.309]  I mean, if that evil government that's coming against you is a government, how could you stand up against it because it's of the Lord?
[00:27:49.109 --> 00:27:53.672]  I mean, this is kind of an Eastern mysticism view, really, of you make what you believe.
[00:27:53.912 --> 00:27:54.433]  Look at India.
[00:27:55.498 --> 00:28:05.426]  Intelligent, smart people, but they believe in this magical, the secret thinking, and so everybody's literally living in feces on the side of the street, and people are starving to death everywhere.
[00:28:05.446 --> 00:28:15.715]  You know, it's this magical thinking of... I saw all these comments on The Preacher with hundreds of thousands of views, he's on the show tomorrow, who got beat up at the checkpoint, you know, 75 miles over the border.
[00:28:17.176 --> 00:28:19.218]  He's a carpenter in his spare time, he had his tools.
[00:28:19.978 --> 00:28:22.681]  You always notice the real preachers actually have a day job.
[00:28:26.231 --> 00:28:29.933]  They beat him up, savaged him, split his head open for saying, you can't search my car without a warrant.
[00:28:31.034 --> 00:28:34.235]  This is becoming a big issue, because the Constitution free zone is 100 miles into the border.
[00:28:35.556 --> 00:28:39.778]  And they were under there going, Romans 13, you got what you deserve pastor, you should have done what they said.
[00:28:40.159 --> 00:28:48.183]  I mean, if he said throw your child into a meat grinder, have the Lord, you know, like, false of doom, come to me my child, come to me, and they just jump off the balcony.
[00:28:48.523 --> 00:28:52.405]  Because, you know, the preachers of the Lord, the governments of the Lord.
[00:28:52.425 --> 00:28:54.106]  Go ahead and make your point.
[00:28:55.225 --> 00:29:02.546]  The reason I want to do this is because I want people on your show, that listen to your show, to understand what the Bible really says in Romans 13.
[00:29:03.026 --> 00:29:04.087]  Because this is the truth.
[00:29:04.567 --> 00:29:05.867]  And I already put this together.
[00:29:05.887 --> 00:29:11.888]  It was, if you are blinded by spiritual truth, you will be blinded by natural truth.
[00:29:12.268 --> 00:29:22.030]  In other words, if you are lied to, as far as what you're being told the Bible says, then the people in the world, the natural world, they can tell you whatever they want to tell you, because you're already blinded.
[00:29:22.594 --> 00:29:29.499]  But listen to what Romans 13, chapter 13, verses 1 through 7, listen to what it says.
[00:29:29.579 --> 00:29:36.103]  It says, The governments are ordained of God and are to be obeyed.
[00:29:36.123 --> 00:29:45.850]  They are to bear the sword and execute vengeance on evildoers, and they are entitled to gather taxes from the citizens, the rights of the government,
[00:29:49.096 --> 00:29:51.578]  ...are derived from the governed.
[00:29:51.878 --> 00:29:52.438]  That's us!
[00:29:53.279 --> 00:29:58.682]  A citizen should neither cringe before government nor be subvervant to it.
[00:29:59.162 --> 00:30:02.004]  He is a patriot who should love his country.
[00:30:02.024 --> 00:30:04.165]  He is not a slave to it.
[00:30:04.866 --> 00:30:16.413]  Only as long as God... as God-given rights of religious and political liberty exist, is he compelled to render government its taxes, import duties, and the like.
[00:30:17.026 --> 00:30:26.095]  It's just like when Caesar's laws required the Christians to break God's law, he must resist Caesar and obey God, period.
[00:30:26.115 --> 00:30:27.316]  And you know what?
[00:30:27.777 --> 00:30:29.218]  I'm already on the red list.
[00:30:29.659 --> 00:30:34.924]  I'm a non-denominational pastor, I'm a Vietnam vet, and I have a license to carry.
[00:30:35.825 --> 00:30:36.666]  So, you know what?
[00:30:37.202 --> 00:30:39.983]  They can't touch me unless God says it's my time.
[00:30:40.363 --> 00:30:42.084]  And even then, I still win.
[00:30:42.504 --> 00:30:43.064]  Exactly.
[00:30:43.104 --> 00:30:46.145]  And that's why when you get past the fear, isn't that a liberating feeling?
[00:30:46.165 --> 00:30:49.546]  You really start living when you just say, I don't care what you do to me.
[00:30:49.846 --> 00:30:51.027]  I'm standing up to you.
[00:30:52.067 --> 00:30:53.888]  It's liberating.
[00:30:54.508 --> 00:31:00.510]  I've seen how the government truly was when I was overseas during Vietnam.
[00:31:00.530 --> 00:31:03.711]  Because every time we'd go out, they always told us, if you get caught,
[00:31:04.269 --> 00:31:05.489]  You weren't supposed to be there.
[00:31:05.909 --> 00:31:07.310]  But they were the ones that sent us.
[00:31:09.130 --> 00:31:09.650]  Absolutely.
[00:31:09.670 --> 00:31:10.451]  Well, God bless you.
[00:31:10.491 --> 00:31:11.871]  Listen, everybody faxes those.
[00:31:11.891 --> 00:31:12.831]  We'll do an article on it.
[00:31:13.151 --> 00:31:14.832]  Be sure and black out anything you don't want seen.
[00:31:14.852 --> 00:31:14.892]  866-894-1767.
[00:31:14.912 --> 00:31:15.252]  866-894-1767.
[00:31:15.312 --> 00:31:15.672]  Oh, boy.
[00:31:15.712 --> 00:31:15.992]  Okay.
[00:31:16.012 --> 00:31:17.092]  I said I'd take a lot of calls.
[00:31:17.112 --> 00:31:18.453]  We got that caller.
[00:31:18.493 --> 00:31:19.133]  I had him on for...
[00:31:29.083 --> 00:31:39.666]  How you doing Alex?
[00:31:40.866 --> 00:31:46.808]  First I'd like to say thank you for leading up the charge and opening people's eyes and standing up to the New World Order.
[00:31:48.308 --> 00:31:51.729]  It's something I want to bring to light that's kind of got pushed under the rug lately.
[00:31:52.729 --> 00:31:55.171]  Is Fiat getting forced by the government?
[00:31:55.211 --> 00:31:59.014]  Well, Dodge getting forced by the government to sell to Fiat.
[00:31:59.815 --> 00:32:00.135]  I know.
[00:32:00.575 --> 00:32:10.162]  Listen, they come in with our tax money, give them, you know, $20 billion a piece, and then order it handed over to Globalist when the head of Fiat is that Bilderberg Group member.
[00:32:10.603 --> 00:32:11.163]  That's right.
[00:32:11.984 --> 00:32:15.547]  Agnelli was, he was founder of the Trilateral Commission.
[00:32:16.227 --> 00:32:18.629]  So, not only are they going after Chrysler,
[00:32:19.113 --> 00:32:22.476]  They said let's just go after the biggest automaker in the world.
[00:32:23.977 --> 00:32:30.543]  Now the government took our money and is going to privatize the stock, the government money into stock and just give it to themselves.
[00:32:30.583 --> 00:32:31.964]  I mean, it's just...
[00:32:34.326 --> 00:32:35.707]  Sir, I keep going back to this.
[00:32:35.727 --> 00:32:42.911]  Do you realize how creepy and evil and confirmed bad it is when they are telling preachers you can't preach and criticize government?
[00:32:43.191 --> 00:32:44.672]  And by the way, do you want to work for us?
[00:32:44.692 --> 00:32:50.375]  I mean, do you want to know how secret police that is when they're recruiting the executives and the preachers and the community leaders?
[00:32:51.590 --> 00:32:54.573]  And running CIA ads on radio and TV everywhere.
[00:32:54.593 --> 00:32:58.596]  And admittedly got CIA operating in every town and city.
[00:32:59.017 --> 00:33:04.181]  And they're bringing the drugs in and then they put our kids in jail if they're dumb enough to get caught using them.
[00:33:04.522 --> 00:33:06.483]  Young people, everybody, get off drugs!
[00:33:06.544 --> 00:33:07.464]  Don't ever use them!
[00:33:07.825 --> 00:33:11.888]  Not because you're not old enough or it's too cool for you or you're getting away with something.
[00:33:12.149 --> 00:33:16.573]  Hollywood makes it sexy so you'll use their product and end up in their prisons.
[00:33:17.133 --> 00:33:22.595]  That's why they've been in Afghanistan for eight years, and that opium's up by eight-fold what it was before the globalists went in.
[00:33:23.055 --> 00:33:24.596]  Don't use drugs!
[00:33:24.696 --> 00:33:25.576]  Beat the man!
[00:33:26.577 --> 00:33:27.877]  Don't use any of their crap.
[00:33:27.897 --> 00:33:32.879]  In fact, don't smoke cigarettes, don't drink, don't smoke any, don't use any of their drugs.
[00:33:33.380 --> 00:33:34.720]  Don't use any of it!
[00:33:35.260 --> 00:33:36.081]  Let's beat them!
[00:33:36.941 --> 00:33:38.502]  Scumbag, filth government.
[00:33:38.542 --> 00:33:39.002]  Go ahead.
[00:33:39.962 --> 00:33:46.585]  Another thing that I was wanting to hit on is, I was on the internet, I don't remember exactly where I was, and
[00:33:47.421 --> 00:33:55.087]  They were talking about getting information about them trying to bankrupt Iran and all the oil-producing countries instead of fighting them.
[00:33:55.127 --> 00:33:56.888]  I mean, that's a sure enough way to beat them.
[00:33:57.268 --> 00:34:04.693]  So, I mean, that just solidifies with the Obama deception that there is a secret society that's running everything.
[00:34:05.154 --> 00:34:09.397]  And I just want to say with you and the rest of America that I'm tired of it.
[00:34:09.437 --> 00:34:13.620]  I'm going to stand up against tyranny, and I'm mad as hell, and I ain't going to take this shit no more.
[00:34:13.931 --> 00:34:15.732]  Alright, I appreciate your call, sir.
[00:34:15.832 --> 00:34:16.433]  Take care.
[00:34:17.133 --> 00:34:19.555]  Let's go ahead and take another call here.
[00:34:19.655 --> 00:34:23.338]  Let's go ahead and talk to Ken in Texas.
[00:34:23.418 --> 00:34:24.198]  Ken, you're on the air.
[00:34:24.558 --> 00:34:24.919]  Hello, Alex.
[00:34:24.959 --> 00:34:28.061]  I have an important question and a quick statement afterwards.
[00:34:28.441 --> 00:34:29.442]  I'm really concerned...
[00:34:30.526 --> 00:34:40.776]  People that were camped out out there that y'all filmed out in California, I understand that they're all gone now and I'm thinking, oh wow, they ship them on top of that mountain in Idaho.
