[00:00:00.049 --> 00:00:01.361]  Moron for your mind.
[01:39:49.852 --> 01:39:52.935]  Yes, it's a longer interview right now for PrisonPlanet.tv members.
[01:39:52.975 --> 01:39:53.376]  Anything else?
[01:39:53.796 --> 01:39:58.841]  Yeah, could you get a translator and some closed captioning so that people can
[01:39:59.875 --> 01:40:02.756]  Word of the speaker, the languages can go into that area.
[01:40:02.796 --> 01:40:05.977]  And it might be a little expensive, but there are a lot of free translators, right?
[01:40:06.037 --> 01:40:07.038]  And the important thing is this.
[01:40:07.378 --> 01:40:13.020]  Yesterday, I noticed somebody was jamming the sound on your video show.
[01:40:13.360 --> 01:40:19.403]  And it was coming out... So that's... How long did that go?
[01:40:19.943 --> 01:40:20.763]  Over about half an hour.
[01:40:20.823 --> 01:40:21.224]  I gave up.
[01:40:21.264 --> 01:40:22.304]  I just went on to the flash.
[01:40:22.344 --> 01:40:23.244]  The flash was clean.
[01:40:24.025 --> 01:40:24.305]  Audio.
[01:40:24.325 --> 01:40:25.145]  The flash audio was clean.
[01:40:25.165 --> 01:40:25.425]  I know.
[01:40:25.465 --> 01:40:26.346]  Somebody was jamming.
[01:40:26.366 --> 01:40:27.006]  That's probably...
[01:40:27.898 --> 01:40:34.021]  Probably the people in... I want to send you my thing, I can't find your address anywhere on it.
[01:40:34.281 --> 01:40:35.442]  What is wrong with your site?
[01:40:35.782 --> 01:40:37.843]  Why is it an abortion basically?
[01:40:37.863 --> 01:40:38.843]  Your site is an abortion.
[01:40:39.183 --> 01:40:42.925]  I cannot find anything because you have all this stuff jammed in.
[01:40:42.965 --> 01:40:50.609]  I don't mind having the advertising, but the rest of the space, could you have like little blocks for little segments so that we can go to whatever segment of the site we want to go to?
[01:40:50.629 --> 01:40:52.330]  My site is an abortion, well that's a...
[01:40:53.237 --> 01:40:53.698]  Thank you.
[01:40:54.038 --> 01:40:54.499]  Thank you.
[01:40:56.582 --> 01:40:59.986]  I try to access your site and I go berserk trying to find simple things.
[01:41:00.827 --> 01:41:02.269]  No, I hear you and I appreciate your call.
[01:41:02.710 --> 01:41:06.835]  Sir, you really should check the site every day because 40, 50, 60 things are posted.
[01:41:07.376 --> 01:41:08.557]  It goes into archives.
[01:41:08.658 --> 01:41:09.218]  We went web 2.0.
[01:41:10.967 --> 01:41:13.609]  We're trying to upgrade it, make it work better.
[01:41:14.450 --> 01:41:15.671]  They're very popular sites.
[01:41:15.891 --> 01:41:20.975]  Infowars.com is, you know, thousands of times in ranking bigger than RushLimbaugh.com.
[01:41:21.115 --> 01:41:23.356]  Look at it on Alexa.com or all those other stat systems.
[01:41:24.217 --> 01:41:25.158]  We're trying our best.
[01:41:25.178 --> 01:41:33.244]  I mean, I can barely make the money to get an extra IT guy and an extra somebody who's an expert on WordPress and Joomla and all these other systems we're using.
[01:41:33.804 --> 01:41:34.485]  But we're doing it.
[01:41:34.725 --> 01:41:36.286]  But then you don't want advertisements.
[01:41:37.187 --> 01:41:37.967]  Let me get this straight.
[01:41:38.348 --> 01:41:39.689]  You want me to get
[01:41:41.075 --> 01:41:42.116]  Translators in here.
[01:41:43.938 --> 01:41:46.201]  Maybe they'll work for free for a few days, but the people need to eat.
[01:41:47.182 --> 01:41:51.307]  And then I'm supposed to get translators in here and do it closed captioning.
[01:41:53.297 --> 01:41:54.717]  When I don't have the money.
[01:41:55.657 --> 01:42:03.199]  So let me take this opportunity to tell you folks, not just that I carry great books and videos of the films I made at Infowars.com on this online shopping cart.
[01:42:03.679 --> 01:42:05.119]  That's what funds this operation.
[01:42:05.159 --> 01:42:06.459]  So buy a bunch of books and videos.
[01:42:06.719 --> 01:42:07.800]  We're trying to expand.
[01:42:08.120 --> 01:42:21.542]  But I mean, really, when I get told I need to do more, I got home at one o'clock last night from working and then my wife got sick and she's sick and so the baby was waking up at
[01:42:22.318 --> 01:42:24.379]  You know, 530 in the morning, I was up with the baby.
[01:42:24.399 --> 01:42:28.621]  And then I had to get people to come over so I could leave to come to work.
[01:42:29.281 --> 01:42:32.783]  So I've been feeding babies and changing diapers and then I get here and...
[01:42:36.164 --> 01:42:38.326]  I'm directing these possum bellies that work here.
[01:42:38.346 --> 01:42:43.651]  And, uh, you know, I mean, I mean, I'm not whining here, but I mean, I am not Superman.
[01:42:43.711 --> 01:42:45.473]  I can't just, like, SHAZAM!
[01:42:45.533 --> 01:42:46.314]  Closed captioning.
[01:42:46.614 --> 01:42:47.355]  SHAZAM!
[01:42:47.395 --> 01:42:48.516]  Website has everything you want.
[01:42:48.836 --> 01:42:49.597]  SHAZAM!
[01:42:49.677 --> 01:42:50.357]  SHAZAM!
[01:42:50.538 --> 01:42:51.859]  But then, don't advertise, though.
[01:42:51.899 --> 01:42:52.720]  Do it without money, Alex.
[01:42:53.820 --> 01:42:56.741]  Have you ever thought about what's in your shampoo, soap, or detergent?
[01:42:56.901 --> 01:43:02.123]  How about chlorides, dyes, ethanol, sulfates, sodium, formaldehydes, and more?
[01:43:02.423 --> 01:43:07.785]  Even fragrance can indicate the presence of some 4,000 separate ingredients, most of which are synthetic.
[01:43:08.125 --> 01:43:09.266]  Hi, this is Alex Jones.
[01:43:09.626 --> 01:43:18.509]  I was shocked when I discovered I could be inhaling these additives that can lead to coughing, wheezing, and shortness of breath, headaches, nausea, irritation of the skin, and mucous membranes.
[01:43:18.929 --> 01:43:20.570]  Now compare a Calben Pure Soap.
[01:43:20.770 --> 01:43:24.952]  All natural, earth friendly, no harsh chemicals, no animal testing.
[01:43:24.992 --> 01:43:29.615]  They're safe and you save 85% of the money you're spending on cleaning products now.
[01:43:29.995 --> 01:43:32.076]  Start saving over $1,000 a year for your family of four.
[01:43:33.837 --> 01:43:34.598]  Keep it natural.
[01:43:34.918 --> 01:43:43.105]  Call Calvin Pure Soap for a free catalog at 1-800-340-7091 or log on to 5starsoap.com.
[01:43:43.325 --> 01:43:48.510]  Try Calvin Pure Soaps and I'll bet you'll never use any other cleaning products again.
[01:43:48.550 --> 01:43:52.553]  Call 1-800-340-7091 for all your cleaning needs.
[01:43:53.875 --> 01:43:55.296]  It is a big idea.
[01:43:56.357 --> 01:43:58.999]  A new world order in the near future.
[01:43:59.913 --> 01:44:02.375]  Earth is dominated by a powerful world government.
[01:44:02.395 --> 01:44:05.138]  It's known as the Bilderberg Group.
[01:44:05.818 --> 01:44:08.060]  Could their objective be world domination?
[01:44:08.601 --> 01:44:11.083]  For thousands of years, their dark order grew.
[01:44:11.783 --> 01:44:19.110]  Now, as they hail the birth of the New World Order, their great dream of exterminating 80% of humanity is at hand.
[01:44:22.133 --> 01:44:27.096]  For the first time in history, the elite's plan for world government is blown wide open.
[01:44:27.577 --> 01:44:31.059]  You will learn the secret that drives the entire New World Order agenda.
[01:44:31.459 --> 01:44:33.921]  Bill Burgess is making great progress toward a world government.
[01:44:34.021 --> 01:44:35.162]  Most people have no idea.
[01:44:35.182 --> 01:44:35.942]  They're not after money.
[01:44:35.962 --> 01:44:37.043]  They have all the money they need.
[01:44:37.243 --> 01:44:37.984]  They're after power.
[01:44:38.224 --> 01:44:39.084]  That's their aphrodisiac.
[01:44:39.365 --> 01:44:43.908]  Order In Game on DVD at PrisonPlanet.com or InfoWars.com.
[01:44:44.128 --> 01:44:47.610]  Or watch it online right now at PrisonPlanet.tv.
[01:44:48.090 --> 01:44:50.852]  In Game, blueprint for global enslavement.
[01:44:50.892 --> 01:44:51.993]  You have been warned.
[01:44:53.574 --> 01:44:56.637]  Do you want to pay for the government bailout of Fannie Mae and Freddie Mac?
[01:44:56.857 --> 01:44:58.118]  You may have no choice.
[01:44:58.799 --> 01:45:01.661]  Obviously, taxpayers are on the hook for over $6 trillion.
[01:45:02.002 --> 01:45:05.805]  That's right, trillion dollars in mortgages held by these two corporations.
[01:45:06.565 --> 01:45:13.351]  The part that most people don't realize is that this bailout can have significant adverse effects on their 401Ks and IRAs.
[01:45:14.172 --> 01:45:18.836]  Unless you're planning to help pay for this bailout with your personal retirement funds, you need to act now.
[01:45:19.360 --> 01:45:22.721]  The solution is to fund a self-directed IRA with gold and silver.
[01:45:23.241 --> 01:45:27.361]  Put your retirement money beyond the reach of government financiers today by calling 1-866-323-5665.
[01:45:27.702 --> 01:45:34.623]  SafeGrow IRAs are just a phone call away.
[01:45:35.523 --> 01:45:37.383]  That's 1-866-323-5665.
[01:45:37.883 --> 01:45:41.404]  Microgym and Midas Resources can help you protect your retirement nest egg.
[01:45:41.944 --> 01:45:46.345]  Get informed and ask for our free report on the unseen fallout of the Fannie Freddie rescue.
[01:45:46.903 --> 01:45:47.383]  Call 1-866-323-5665.
[01:45:47.904 --> 01:46:15.544]  I'd love to just settle in Beachels to music like this, relaxing, deep sea fishing, hanging out with my family, but no!
[01:46:17.628 --> 01:46:21.089]  No, I will burn the midnight oil and I will be told I'm doing a crappy job.
[01:46:21.730 --> 01:46:23.611]  Maybe so, but we're going to keep doing that job.
[01:46:24.131 --> 01:46:25.251]  We're the best at it there is.
[01:46:25.811 --> 01:46:26.972]  Doesn't say much, does it?
[01:46:28.513 --> 01:46:32.114]  I'm meant to spend more time on this, I will tomorrow, but let's get into it now.
[01:46:32.874 --> 01:46:36.896]  This is Mr. Press with his radio show in D.C.
[01:46:36.956 --> 01:46:37.636]  with a U.S.
[01:46:37.656 --> 01:46:44.359]  Senator saying, oh yes, we want to hold talk radio accountable and we want to tell stations what they've got to air and what they've got to do.
[01:46:46.874 --> 01:46:48.495]  Here you go, the attack on the First Amendment.
[01:46:49.116 --> 01:46:57.501]  And this is all being spurred by the domestic act that they're trying to push, the Violent Radicalization Act, restricting internet, free speech, this show, and a lot more.
[01:46:57.521 --> 01:46:59.923]  Maybe if they take me off the air, it'll be a vacation.
[01:46:59.983 --> 01:47:00.383]  I don't know.
[01:47:02.404 --> 01:47:03.785]  Alex, you gotta stop them from doing this.
[01:47:03.905 --> 01:47:04.746]  Okay, I'll try.
[01:47:05.026 --> 01:47:05.687]  What about you?
[01:47:06.447 --> 01:47:07.768]  Let's go ahead and go to some of this audio.
[01:47:09.509 --> 01:47:16.634]  You certainly have been one of, if not the most supportive voices in the United States Senate for progressive talk radio.
[01:47:17.361 --> 01:47:24.686]  So I know you must be dismayed to learn that here in Washington, D.C., as we've been talking about this hour, Obama 1260 is going away.
[01:47:24.826 --> 01:47:25.947]  They're changing the format.
[01:47:25.967 --> 01:47:29.929]  They're dumping progressive talk, which, as you know, Senator, they've done in market after market.
[01:47:29.949 --> 01:47:30.369]  Did you hear that?
[01:47:30.409 --> 01:47:32.271]  A radio station named after Obama?
[01:47:32.291 --> 01:47:35.513]  San Diego, Sacramento, Miami this last week.
[01:47:35.533 --> 01:47:37.034]  Because you suck, that's why.
[01:47:37.054 --> 01:47:38.214]  What can we do about that?
[01:47:38.334 --> 01:47:43.618]  And aren't owners of radio stations required to provide some balance of voices?
[01:47:43.838 --> 01:47:45.799]  You're a sniveling idiot.
[01:47:45.859 --> 01:47:46.240]  Absolutely.
[01:47:46.980 --> 01:47:55.344]  It's such a disservice to the public and I continue to think that we need to be seeing a couple things happen.
[01:47:55.384 --> 01:48:08.471]  Just continuing to support great radio hosts like yourself and promoting more programs that are coming into the marketplace.
[01:48:08.511 --> 01:48:11.392]  But we're going to have to have some accountability.
[01:48:11.472 --> 01:48:14.374]  You know, we had something called the Fairness Doctrine.
[01:48:15.453 --> 01:48:20.576]  Back until the 80s when it was removed where you had to have balance.
[01:48:21.177 --> 01:48:32.743]  And I think something that requires that in a market with owners that have multiple stations, that they have got to have balance.
[01:48:32.763 --> 01:48:41.108]  There has to be some community interest balance standard that says both sides have to be heard.
[01:48:41.448 --> 01:48:42.889]  And I think that
[01:48:43.889 --> 01:48:55.076]  You know, I see this myself as a member of the Senate, when you see... Okay, and it goes on and on how they want to do this, and they're talking about introducing bills, or having the FCC through Fiat do it, just order it.
[01:48:55.236 --> 01:48:58.718]  They did this before, until the late 80s, you couldn't have any political opinion.
[01:48:58.738 --> 01:49:00.679]  It was just all repeat government propaganda.
[01:49:00.979 --> 01:49:03.821]  And then it became neocon fake information, but so what?
[01:49:04.241 --> 01:49:06.922]  You can't stop free speech, and you can't shut it down.
[01:49:07.643 --> 01:49:11.025]  And they want to make people put Bill Press on.
[01:49:13.490 --> 01:49:14.851]  With that buzzing audio.
[01:49:15.832 --> 01:49:21.238]  I mean, they want to make you listen to this, and they keep talking about both sides, as if it's Republican and Democrat.
[01:49:21.518 --> 01:49:25.322]  No, it's Republican and Democrat together here, and then we the people are right here.
[01:49:26.162 --> 01:49:31.327]  And this whole attack, the FCC's talking about regulating the Internet, and websites and news sites.
[01:49:32.538 --> 01:49:37.360]  And the government's talked about making all sites be handicapped accessible.
[01:49:37.580 --> 01:49:39.641]  Little sites and people can't pay for that and can't do it.
[01:49:39.881 --> 01:49:41.122]  That'll bring it down to a handful.
[01:49:41.722 --> 01:49:49.946]  They are trying to shut down free speech on the internet too and taxing and regulating and no more peer-to-peer or net neutrality.
[01:49:50.466 --> 01:49:51.666]  They're attacking free speech.
[01:49:51.686 --> 01:49:56.829]  So in the time we've got, let's continue to fight for free speech and expand our platform as much as possible.
[01:49:57.799 --> 01:49:59.941]  We had Bob Chapman on.
[01:49:59.981 --> 01:50:01.103]  We had Steve Watson on.
[01:50:01.163 --> 01:50:08.691]  I covered a lot of key news in the first hour dealing with the eight states saying, we know your New World Order.
[01:50:08.711 --> 01:50:09.972]  We know you're building FEMA camps.
[01:50:09.992 --> 01:50:10.873]  This is in bills.
[01:50:11.654 --> 01:50:12.996]  And we're not going along with this.
[01:50:13.056 --> 01:50:18.742]  So that is very exciting and a story that Kurt Nemo wrote that links to all the mainstream documents and information on that.
[01:50:19.122 --> 01:50:23.205]  So we'll be back tomorrow, well back Sunday actually, 4 to 6 p.m.
[01:50:23.225 --> 01:50:27.247]  on the radio, but the retransmission starts now at Infowars.com on the streams.
[01:50:27.267 --> 01:50:30.530]  We'll be back in 70 seconds, so stay with us.
[01:50:33.472 --> 01:50:39.515]  Thank you for listening to GCN.
[01:50:39.636 --> 01:50:41.036]  Visit GCNlive.com today.
[01:50:43.629 --> 01:50:45.190]  Hello friends, this is Alex Jones.
[01:50:45.310 --> 01:50:50.031]  I've told you for a long time it's important to be self-sufficient, and today that's more important than ever.
[01:50:50.051 --> 01:50:52.812]  We need to be independent, and food and water is the key.
[01:50:53.013 --> 01:50:55.874]  You'll never have to stand in a bread line if you have your own bread.
[01:50:56.074 --> 01:51:01.896]  You'll never have to go to the Superdome and beg for FEMA to take care of your family in any emergency if you simply prepare.
[01:51:02.136 --> 01:51:04.678]  No one is going to take care of your family in the final equation.
[01:51:04.898 --> 01:51:12.263]  You know efoodsdirect.com is still able to ship storable food that's safe from E. coli, salmonella, genetic alteration, or Chinese imports.
[01:51:12.363 --> 01:51:15.485]  And they do it at almost half the cost of last year's grocery prices.
[01:51:15.645 --> 01:51:15.905]  Call 1-800-409-5633.
[01:51:15.925 --> 01:51:17.186]  Or on the web, go to efoodsdirect.com.
[01:51:20.788 --> 01:51:26.852]  Visit efoodsdirect.com and look over the fine list of high-quality, prescribed, and dehydrated foods they have to offer.
[01:51:27.052 --> 01:51:33.917]  Watch the free videos, look at their online catalog, or give them a call at 1-800-409-5633.
[01:51:33.977 --> 01:51:38.240]  Again, 800-409-5633 or on the web at efoodsdirect.com.
[01:51:38.400 --> 01:51:39.380]  Take action today.
[01:51:39.540 --> 01:51:41.362]  The first step is getting storable food.
[01:51:46.325 --> 01:51:47.866]  This is the GCN Radio Network.
