[00:00:02.809 --> 00:00:05.009]  Ladies and gentlemen, it is The Alex Jones Show.
[01:41:05.520 --> 01:41:07.300]  But thealexjonesstore.com.
[01:41:07.539 --> 01:41:12.819]  We have amazing Ultimate CMOS capsules, and I'm holding in my hand right now the gummies.
[01:41:12.899 --> 01:41:18.420]  These are sold out until the 25th of October, until the day before Hillary Clinton's birthday, October 26th.
[01:41:18.560 --> 01:41:32.060]  We want to make sure that we have a massive sale of these capsules and the gummies when they come back at thealexjonesstore.com because this is the way to fund the operation no matter what happens to Infowars over the course of 2020.
[01:41:33.410 --> 01:41:39.630]  We've got this major, amazing, pivotal time with this election coming up on the 5th of November.
[01:41:39.949 --> 01:41:45.729]  Then, just a week later after this election, which is likely to be contested, unlikely to be certified by the Democrats no matter what happens.
[01:41:47.029 --> 01:41:58.390]  We've got the potential death blow of InfoWars itself coming up as Alex Jones battles for the right to his own identity and name itself this week in court.
[01:41:58.750 --> 01:42:01.590]  Please go to thealexjonesstore.com right now.
[01:42:01.729 --> 01:42:13.750]  Get the Ultimate CMOS capsules, which are available until the gummies come back in stock on the 25th, or get Optimal Human, which is for sale as well at thealexjonesstore.com.
[01:42:13.939 --> 01:42:17.039]  Optimal Human is an amazing powder with all the nutrition that the body needs.
[01:42:17.159 --> 01:42:23.460]  Gut health and digestion supports brain health, body balancing, adaptogens, nutrient-rich superfoods.
[01:42:23.560 --> 01:42:25.140]  I mean, it's amazing what it's got in here.
[01:42:25.760 --> 01:42:36.079]  Vitamin A, C, D, E, K, thiamine, We're good to go.
[01:42:36.500 --> 01:42:44.479]  We're good to go.
[01:42:45.039 --> 01:42:46.199]  At thealexjonesstore.com.
[01:42:46.279 --> 01:42:48.039]  Not to mention the amazing t-shirt designs.
[01:42:48.159 --> 01:42:52.840]  One of my favorite t-shirt designs is the poro stupid American fentanyl the dragon design.
[01:42:52.979 --> 01:42:59.000]  We've got the fundraiser t-shirt, which is the navy blue with the red Infowars logo and real Alex Jones on the sleeve.
[01:42:59.199 --> 01:43:01.739]  Please go to thealexjonesstore.com right now.
[01:43:01.819 --> 01:43:10.079]  Don't just get the amazing products, the amazing supplements, but keep Alex Jones on the air and support the crew as well in this fight for humanity itself.
[01:43:10.220 --> 01:43:11.279]  More news on the other side.
[01:43:17.060 --> 01:43:22.399]  While other networks lie to you about what's happening now, Infowars tells you the truth about what's happening next.
[01:43:22.859 --> 01:43:27.000]  Visit Infowars.com forward slash show and share the link today.
[01:43:30.979 --> 01:43:33.039]  I'm down to my last few chips.
[01:43:34.170 --> 01:43:35.210]  It's like a video game.
[01:43:35.289 --> 01:43:41.109]  You're winning the last level, fighting the last boss, but you're on one life, quarter power, one more hit, you're blown up.
[01:43:41.449 --> 01:43:43.369]  I use the Rapplican analogy.
[01:43:43.789 --> 01:43:45.909]  I'm not a big Star Trek fan, but I like that movie.
[01:43:46.229 --> 01:43:48.409]  Some of the 60s shows I liked growing up as a kid.
[01:43:48.510 --> 01:43:49.970]  But the point is, it's all correct.
[01:43:50.170 --> 01:43:53.529]  That movie, where the ship, you know, the big weapon's about to go off.
[01:43:53.590 --> 01:43:56.689]  They're gonna get killed. They're trying to race away from the detonation of the Genesis Project.
[01:43:57.609 --> 01:44:01.670]  And Kirk says, Scotty, I need warp one in five minutes and we're all dead.
[01:44:03.260 --> 01:44:04.279]  And that's not...
[01:44:05.760 --> 01:44:08.220]  Really the case. I mean, there's a lot of stuff lined up.
[01:44:08.340 --> 01:44:09.460]  It takes a lot of time to deal with.
[01:44:09.500 --> 01:44:11.579]  A lot of big groups want to come in and launch stuff.
[01:44:11.579 --> 01:44:14.199]  I've got to go through that. I've got to make sure they're not going to control what I say.
[01:44:14.659 --> 01:44:16.239]  We've got backups. We've got to...
[01:44:16.239 --> 01:44:17.600]  But it takes time to set that up.
[01:44:17.939 --> 01:44:19.500]  The person I trust the most is me.
[01:44:19.739 --> 01:44:23.920]  And Alex Jones sitting on no money, basically, and not having money to...
[01:44:23.920 --> 01:44:31.340]  I have to personally go in and pay for so they don't take my name, which is preposterous that they're trying, or the social media if they shut down InfoWars.
[01:44:31.619 --> 01:44:33.520]  I have to be able to hold them off like I've been doing.
[01:44:33.619 --> 01:44:34.699]  They got Giuliani in a year.
[01:44:34.739 --> 01:44:38.899]  I've been fighting them seven years. So, grace of God, you know, we're in the fight.
[01:44:39.260 --> 01:44:47.560]  But I've got to fight that and pay for the bankruptcy defense in the next few months, and it's conservatively $300,000.
[01:44:48.340 --> 01:44:52.960]  And you've got to sell a lot of t-shirts when you're only getting a few bucks per t-shirt yourself to pay for that.
[01:44:53.319 --> 01:44:54.479]  So they're great t-shirts.
[01:44:54.619 --> 01:45:02.829]  You need them. Thealexjonesstore.com Thealexjonesstore.com And a lot of folks are responding and I don't want to belabor here.
[01:45:03.149 --> 01:45:05.550]  But I belabored yesterday and we got big support.
[01:45:05.770 --> 01:45:08.770]  And it's nothing more frustrating than I have to just cover this to survive.
[01:45:09.989 --> 01:45:11.029]  But that's what I'm doing.
[01:45:11.149 --> 01:45:12.170]  They are great t-shirts.
[01:45:12.430 --> 01:45:14.510]  It's all there. Thealexjonesstore.com Separately.
[01:45:14.670 --> 01:45:20.579]  The sponsor. My dad's company, based right here in Central Texas, drjonesnaturals.com.
[01:45:21.060 --> 01:45:29.640]  Great nano-silver products, great Next Level Financial Energy, Cabochill, Top Rain, Rocketrest Sleep A. You go there and like 70% of the stuff sold out.
[01:45:29.779 --> 01:45:30.979]  Because my dad's up against the wall.
[01:45:31.060 --> 01:45:32.779]  They've been attacking and going after him for two years.
[01:45:33.020 --> 01:45:34.939]  He spent basically everything he had on that.
[01:45:35.119 --> 01:45:42.899]  He put everything else he had in to get some staple products reordered and four new products that start coming in next week that are going to be great.
[01:45:42.979 --> 01:45:44.539]  So you go there and you're like, well, there's almost nothing here.
[01:45:44.640 --> 01:45:48.920]  Now we're up against the wall. So, go get what's there.
[01:45:49.199 --> 01:45:50.260]  Stuff that's left is all great.
[01:45:50.399 --> 01:45:52.560]  Silver Bullet, Financial Energy, Comet Shell.
[01:45:54.260 --> 01:45:56.819]  A lot of other stuff. There's still like more than a dozen items left.
[01:45:56.880 --> 01:45:57.960]  There was like 50 there before.
[01:45:58.439 --> 01:46:00.640]  And just get it and then you'll see the stuff come back.
[01:46:00.939 --> 01:46:02.979]  We're, we're, it's like farmers.
[01:46:04.119 --> 01:46:06.979]  They gotta have money to hold back to buy seed or save seed.
[01:46:08.939 --> 01:46:15.579]  DRJonesNaturals.com had to put everything in to get the next seeds to continue the cycle of funding our operation and my dad's operation funding us.
[01:46:16.789 --> 01:46:18.649]  So that's why you're like, well, there's almost nothing left here.
[01:46:18.750 --> 01:46:20.729]  It's all that we didn't have the money to buy more stuff.
[01:46:20.810 --> 01:46:21.890]  We didn't have money to buy more stuff.
[01:46:24.130 --> 01:46:26.350]  So we are up against the wall here.
[01:46:27.670 --> 01:46:30.310]  So I won't have to do this every show.
[01:46:31.369 --> 01:46:33.329]  If more than 1% go, you know what?
[01:46:33.390 --> 01:46:40.350]  I think I'm going to stand up for the country and myself in the future and support people that are obviously the top enemy of the globalists.
[01:46:40.350 --> 01:46:42.729]  It's a no-brainer. And I'm going to get great products in the process.
[01:46:42.989 --> 01:46:46.390]  It's just... But I get it.
[01:46:46.449 --> 01:46:47.970]  Most people, this is just a show.
[01:46:49.170 --> 01:46:50.569]  This is not a show, people.
[01:46:51.329 --> 01:46:57.270]  This is the defense of the future of our species that's having a big effect on the enemy.
[01:46:58.270 --> 01:47:01.069]  So I want to thank those that understood this and have bought the products and loved them.
[01:47:01.510 --> 01:47:03.770]  They've got like 4.7 star reviews.
[01:47:04.289 --> 01:47:07.449]  And I want to encourage those that haven't to go to drjonesnaturals.com.
[01:47:07.850 --> 01:47:10.649]  And then info or story. Anything you order, even if we get it shut down, it's all there.
[01:47:10.689 --> 01:47:16.569]  It won't be shut down for months. You know, if that's the case, because even if they sell it and bad guys get it, it'll take a few weeks, they say, to shut it down.
[01:47:16.649 --> 01:47:17.949]  So we're about two months out from the shutdown.
[01:47:19.340 --> 01:47:22.180]  So you'll get all your product at M4Shore.com.
[01:47:22.479 --> 01:47:27.460]  Vitamineral Fusion's back in stock for 40% off and so much more on M4Shore.com as well.
[01:47:27.659 --> 01:47:28.840]  All right, I'm going to blitz news. Stay with us.
