[00:00:00.000 --> 00:00:06.960]  The World Health Organization pandemic treaty is still not approved.
[00:28:17.009 --> 00:28:17.369]  We're going to see.
[00:28:17.670 --> 00:28:20.130]  Just make sure you stop posting on social media.
[00:28:20.230 --> 00:28:20.849]  It's going to be a risk.
[00:28:21.069 --> 00:28:22.450]  I'll tell you more about that breaking story.
[00:28:25.609 --> 00:28:27.230]  But I don't think it's going to work this time.
[00:28:30.079 --> 00:28:31.559]  And I'm not afraid of this.
[00:28:31.700 --> 00:28:35.180]  I'm just so appalled.
[00:28:35.400 --> 00:28:36.700]  I feel appalled.
[00:28:36.880 --> 00:28:39.059]  That's the emotion about this bird flu narrative.
[00:28:41.039 --> 00:28:47.380]  First, I'm appalled that they have the audacity to do this again within four years.
[00:28:48.059 --> 00:28:54.660]  And then secondly, I'm appalled that I know so many people would just fall for it again.
[00:28:56.220 --> 00:29:09.539]  I mean, keep in mind, folks, there are people this week getting their 6th, 7th, 8th, 9th COVID booster when they never worked and all of the vaccine injury evidence is there.
[00:29:10.220 --> 00:29:13.440]  Millions dead, myocarditis, turbo cancers.
[00:29:14.420 --> 00:29:32.269]  I know far more people personally, apolitical people who don't pay attention, who have been injured from the vaccine than I know who died of COVID. I don't know a single person who died of COVID. I have not personally met a single person who died of COVID-19, and all the people I've heard of who've died of COVID-19 had comorbidities,
[00:29:32.269 --> 00:29:33.329]  they already had one foot out the door.
[00:29:34.410 --> 00:29:49.750]  So the last pandemic was so exaggerated, and the response to it was printing 40% of all dollars ever printed, basically eradicating our election integrity,
[00:29:50.650 --> 00:30:04.809]  shutting down the entire economy, A huge redistribution of wealth, especially in the form of buying power from the American working class to the American political class.
[00:30:06.450 --> 00:30:10.369]  And you're telling me that was a just response to the first pandemic?
[00:30:10.369 --> 00:30:16.490]  And you're telling me we should do it again and more for this bird flu, which people cannot even spread yet amongst themselves?
[00:30:16.569 --> 00:30:19.789]  And yes, maybe it will mutate into something that we can spread amongst ourselves, but so?
[00:30:20.960 --> 00:30:27.140]  I tell you what, folks, I would rather suffer the inconveniences of a pandemic than the inconveniences of a police state.
[00:30:27.259 --> 00:30:28.859]  And I'm not gonna let them use this.
[00:30:28.980 --> 00:30:36.480]  We cannot let them use this as an excuse, as a psychological operation to leverage themselves into more power and subjugation over us.
[00:30:36.559 --> 00:30:37.839]  We have to wake people up, folks.
[00:30:38.609 --> 00:30:43.329]  We're going to get into more news and reports on the other side of this break coming up in 43 seconds.
[00:30:43.769 --> 00:30:47.130]  In the meantime, please go to thealexjonesstore.com.
[00:30:47.250 --> 00:30:49.230]  We need your support more now than ever.
[00:30:49.450 --> 00:30:53.529]  We had some wins in court this past month, but we have more challenges up ahead.
[00:30:53.529 --> 00:30:55.970]  And it could be the last couple of weeks of enforce, I'm told.
[00:30:57.579 --> 00:30:58.960]  Depending on what the courts do and what happens.
[00:30:59.140 --> 00:31:00.720]  So please go to thealexjonesstore.com.
[00:31:00.940 --> 00:31:18.299]  Not only are you fighting for free speech, this network, Alex Jones, and the truth, and humanity, but you're also fighting for your health when you get things like the ultimate turmeric, which is great, especially if you loved bodies on the Infowar store, or if you get the ultimate Seamoss gummies that are number one bestseller, absolutely incredible for your body's ability to detoxify itself.
[00:31:19.759 --> 00:31:23.859]  Please go to thealexjonesstore.com right now and be the reason Alex will always be on the air.
[00:31:24.579 --> 00:31:32.099]  The globalist, black rock, New World Order criminals want to make you poor and they want to make you sick.
[00:31:32.319 --> 00:31:33.599]  It's in their own admissions.
[00:31:33.880 --> 00:31:41.339]  Well, in any real revolution against tyranny, it is critical that we be independent and that we have the power of free speech.
[00:31:41.619 --> 00:31:47.180]  I'm bringing you the ultimate win-win or 360 win or non-zero-sum game.
[00:31:47.400 --> 00:31:53.319]  Ladies and gentlemen, introducing the AlexJonesStore.com affiliate program.
[00:31:53.599 --> 00:31:56.740]  It's so easy, even I know how to do it, and I'm not a big tech person.
[00:31:57.240 --> 00:31:57.859]  It's free.
[00:31:58.039 --> 00:32:03.859]  You go to the AlexJonesStore.com, you go sign up for free, you're given your own affiliate link.
[00:32:04.640 --> 00:32:07.059]  And then each month you can cash it out.
[00:32:07.660 --> 00:32:17.819]  10% of every sale of game-changing supplements and amazing Patriot apparel and other great products that people love will go to you each month.
[00:32:18.059 --> 00:32:25.740]  So this is a way to help folks out getting great products to keep the show on the air and expanding in the face of the new world order and to put money in your pocket.
[00:32:25.900 --> 00:32:27.259]  The globalists want you poor.
[00:32:27.380 --> 00:32:28.200]  They want you unhealthy.
[00:32:28.420 --> 00:32:29.660]  They want us isolated.
[00:32:29.799 --> 00:32:32.940]  They don't want all this Patriot apparel out there so we realize how strong we are.
[00:32:33.109 --> 00:32:34.730]  And so we don't meet like-minded people.
[00:32:35.109 --> 00:32:37.430]  This thing is so exciting.
[00:32:37.569 --> 00:32:39.769]  I was sitting here before I sort of taping this announcement.
[00:32:39.769 --> 00:32:41.950]  I was thinking, how do I hype this enough?
[00:32:42.569 --> 00:32:47.630]  If people get excited about this, if folks take action with this information, it's incredible.
[00:32:48.170 --> 00:32:54.130]  And the folks who are doing it with, our great sponsor at TheAlexinStore.com, have done this with other talk shows, and it's been extremely successful.
[00:32:54.569 --> 00:32:57.309]  And this is a chance for you to join the Infowar.
[00:32:57.630 --> 00:32:59.670]  So many people say, hey, we want to help you.
[00:32:59.710 --> 00:33:00.410]  We want to get involved.
[00:33:00.490 --> 00:33:00.950]  What can we do?
[00:33:01.410 --> 00:33:02.369]  This is how you do it.
[00:33:02.430 --> 00:33:03.009]  It's decentralized.
[00:33:03.650 --> 00:33:06.630]  It's all up to you and how much action you take sharing the links.
[00:33:06.829 --> 00:33:10.170]  We've got the great products and the great customer service and everything else.
[00:33:10.309 --> 00:33:11.250]  We've got the broadcast.
[00:33:11.410 --> 00:33:12.329]  It is a win-win.
[00:33:12.549 --> 00:33:19.769]  All you got to do is go to thealexjonesstore.com, sign up for free, get your link, and start posting it and promoting it, and it'll change the world.
[00:33:20.029 --> 00:33:21.210]  Thank you so much for your support.
[00:33:21.289 --> 00:33:23.269]  Now go to thealexjonesstore.com and sign up right now.
[00:33:24.309 --> 00:33:29.029]  Ladies and gentlemen, I am Chase Guiser, your host today, and I was talking to the crew about this bird flu thing.
[00:33:31.289 --> 00:33:35.150]  Thomas said something incredibly insightful, and I can't believe I hadn't thought of it.
[00:33:35.170 --> 00:33:35.849]  I'm sure others have.
[00:33:35.930 --> 00:33:36.670]  I'm sure you guys have.
[00:33:37.710 --> 00:33:38.230]  Thank you.
[00:33:41.930 --> 00:34:12.070]  If this bird flu is not successful in another lockdown, is not successful in shutting down the economy, is not successful in the forced vaccination of farmers or children, all the same things that we saw in 2020. That might be
[00:34:12.070 --> 00:34:12.349]  moot.
[00:34:12.409 --> 00:34:13.110]  It might not even matter.
[00:34:13.289 --> 00:34:14.010]  It might not even be why.
[00:34:16.769 --> 00:34:29.389]  I recall after talking to Thomas and the crew during this break, months if not years ago, reports that there were vaccines in the produce.
[00:34:31.150 --> 00:34:35.489]  So what they can do, we know that they've been experimenting with these fires.
[00:34:36.920 --> 00:34:46.159]  Killing 1.5 million chickens over the course of the last four years, not to mention the actual culling that they've been doing.
[00:34:46.539 --> 00:34:53.659]  And we know that based on the case that happened in Louisiana, Gavin Newsom used that to justify a state of emergency in California.
[00:34:55.300 --> 00:35:10.969]  A state of emergency which gives the state the authority to enter your property in hazmat suits, cull your livestock, your flocks, And they're quarantining these flocks right now, even though we know that the virus, because of gain-of-function research,
[00:35:11.409 --> 00:35:14.929]  is transmittable through mallard docks.
[00:35:15.190 --> 00:35:16.909]  So quarantining isn't even going to work.
[00:35:22.730 --> 00:35:23.949]  It seems obvious now.
[00:35:24.110 --> 00:35:39.500]  They're going to use this as an excuse to vaccinate all of the food supply And they're going to use mRNA vaccines because unlike many other vaccines,
[00:35:39.500 --> 00:35:44.420]  it's going to be transmissible from the food that you eat.
[00:35:46.219 --> 00:35:59.900]  They're trying to set up, they're trying to put in place the infrastructure to vaccinate you without you ever having to agree to a shot or without you ever even knowing that you've been vaccinated.
[00:36:01.030 --> 00:36:09.130]  Because when you get chicken thighs at the grocery store, or when you get beef at the grocery store and eat it, that's going to be your vaccination.
