[00:00:07.543 --> 00:00:08.624]  ...government cover-ups.
[00:25:18.401 --> 00:25:20.022]  It's all happening right now.
[00:25:21.022 --> 00:25:22.783]  You understand, ladies and gentlemen?
[00:25:23.784 --> 00:25:25.625]  On a hundred fronts, we're getting hit.
[00:25:26.525 --> 00:25:30.047]  Now the good news is the enemy's made their move, so they're revealing themselves right now.
[00:25:30.787 --> 00:25:33.809]  And our credibility's gone out of the stratosphere here.
[00:25:33.869 --> 00:25:36.530]  It's rocketed because everything we told you is now happening.
[00:25:37.190 --> 00:25:39.630]  And let me tell you, you're not going to like the stuff that comes after this.
[00:25:40.251 --> 00:25:47.992]  It's going to get real bad, ladies and gentlemen, unless we exert our muscles right now in the information war like savage berserkers.
[00:25:48.892 --> 00:25:54.253]  I mean, you've got to be ready for whatever comes to fight these people at every level.
[00:25:54.893 --> 00:25:57.134]  You've got to put your life on the line.
[00:25:57.154 --> 00:25:58.554]  You've got to put your treasure on the line.
[00:25:58.574 --> 00:25:59.394]  You've got to do it all.
[00:26:01.074 --> 00:26:02.255]  Look at the other news I've got.
[00:26:02.275 --> 00:26:04.135]  It has been admitted.
[00:26:04.944 --> 00:26:10.826]  By the Pentagon, that the anthrax shots they've given the troops in the last 10 years have really killed and maimed a lot of them.
[00:26:11.506 --> 00:26:14.106]  It's very poisonous and still experimental.
[00:26:14.727 --> 00:26:19.868]  And I have the Washington Post, they're going to give the troops the anthrax shot again, 200,000 of them.
[00:26:21.048 --> 00:26:27.770]  And my friends, I've interviewed top sciences, top doctors, top vaccine developers, epidemiologists,
[00:26:28.724 --> 00:26:34.788]  Weaponized anthrax that the Russians would use, or that foreign enemies would have, has between 100 and 300 different types of spores.
[00:26:35.148 --> 00:26:37.829]  This shot covers seven spores and does nothing.
[00:26:38.590 --> 00:26:43.653]  You know why the police and firemen and emergency workers, who I guess really aren't complete idiots, are smarter than the general public?
[00:26:44.313 --> 00:26:46.314]  Remember three years ago when they ordered them all?
[00:26:46.415 --> 00:26:48.656]  With no law, they just said, you must take the smallpox?
[00:26:49.631 --> 00:26:52.112]  And then all these top doctors and others said, I'm not going to take it.
[00:26:52.132 --> 00:26:54.673]  It doesn't even protect you from weaponized smallpox.
[00:26:54.753 --> 00:26:59.656]  And it'll actually spread real smallpox and will kill thousands of people if millions take it.
[00:27:00.216 --> 00:27:01.817]  And literally no one took it!
[00:27:01.837 --> 00:27:06.519]  I remember talking to police at gas stations and places.
[00:27:06.539 --> 00:27:08.099]  I'd see them on the street and I'd go, are you going to take that?
[00:27:08.159 --> 00:27:09.080]  No, we heard about it.
[00:27:09.120 --> 00:27:10.060]  We're all refusing.
[00:27:10.100 --> 00:27:11.721]  The union's saying no.
[00:27:12.101 --> 00:27:13.722]  That's Austin Cops right here!
[00:27:14.437 --> 00:27:22.683]  So I guess you're not as stupid as some people, but you still need to realize that you're under attack, just like I am!
[00:27:23.904 --> 00:27:25.065]  This stuff's real!
[00:27:25.085 --> 00:27:28.147]  I mean, go read what they're making the troops take!
[00:27:28.928 --> 00:27:36.734]  They shut the anthrax plant down three separate times up there, and they have millions and millions of ampules of it, and they're gonna go ahead and make people take it!
[00:27:40.937 --> 00:27:42.218]  My head is spinning right now.
[00:27:45.228 --> 00:27:47.190]  I just can't believe how bad it's gotten.
[00:27:48.171 --> 00:28:01.942]  Look, I have it here, Lost Oil Reporting, they have the press release, and the public emails released by the CENTCOM General, Rob Tain's CENTCOM email, the bloggers, and CENTCOM openly says that they are out there fighting the American people.
[00:28:03.164 --> 00:28:04.865]  Your military's not supposed to fight you.
[00:28:05.205 --> 00:28:12.812]  They're not supposed to go out and propagandize in the United States media, and they've been caught criminally doing it under the 1.6 billion fake news plan.
[00:28:14.358 --> 00:28:16.078]  Congress told Bush it was all illegal.
[00:28:16.118 --> 00:28:17.539]  He increased the funding.
[00:28:18.619 --> 00:28:27.281]  And one small part of that is CENTCOM's gotten so morally warped that they openly think they can announce they're engaging in this criminal behavior.
[00:28:32.362 --> 00:28:34.622]  Digressing and getting into another subject here.
[00:28:34.702 --> 00:28:39.603]  Marijuana consumption drops in UK despite liberalized laws.
[00:28:41.295 --> 00:28:43.618]  This is being reported in all the major British papers.
[00:28:43.818 --> 00:28:45.200]  We've got a whole bunch of them here.
[00:28:46.201 --> 00:28:49.465]  Use of marijuana in England and Wales has fallen in the three years since.
[00:28:49.625 --> 00:28:51.347]  Penalties on the drug use were eased.
[00:28:52.248 --> 00:28:58.235]  I've been in front of Parliament while people were smoking marijuana when I was there, in front of the police.
[00:28:58.376 --> 00:28:59.337]  Okay, it's basically legal.
[00:29:00.685 --> 00:29:07.510]  The Independent reported October 14th, the trend defined predictions, defied predictions that the use of the drug would rise as a result of the charge.
[00:29:07.850 --> 00:29:13.114]  The three other European countries basically decriminalized it over the last decade and marijuana use plunged.
[00:29:13.974 --> 00:29:17.877]  Because when you make the stuff legal, most of the people out there smoking it do it to be trendy.
[00:29:18.097 --> 00:29:19.078]  They quit smoking it!
[00:29:20.799 --> 00:29:26.363]  They made booze illegal, they made whiskey illegal, they made beer illegal, about what, two and a half percent?
[00:29:26.383 --> 00:29:28.244]  Because you could have near beer.
[00:29:29.622 --> 00:29:34.586]  For nine years during the prohibition and alcoholism more than tripled.
[00:29:36.768 --> 00:29:41.531]  And the crime syndicates grew by tenfold and the police became corrupted.
[00:29:41.811 --> 00:29:44.734]  And that's exactly why the government criminalized it.
[00:29:45.434 --> 00:29:52.560]  Just like they criminalized heroin and cocaine that you could buy by the ounce at every drug store in this country.
[00:29:54.581 --> 00:29:56.883]  And when they criminalized it, drug use increased.
[00:29:58.929 --> 00:29:59.890]  We're on the march.
[00:30:00.330 --> 00:30:01.971]  The Empire's on the run.
[00:30:02.872 --> 00:30:05.653]  Alex Jones and the GCN Radio Network.
[00:30:11.357 --> 00:30:13.318]  Do you know the truth about breast cancer?
[00:30:13.819 --> 00:30:16.260]  Do you realize that the race for the cure is over?
[00:30:17.041 --> 00:30:25.446]  The best-kept secret in the world today is that now it's possible to kill cancer without personal suffering, mutilation, and poisoning of your entire system.
[00:30:26.451 --> 00:30:31.373]  Now it's cancer's turn to die, with LaysMed Incorporated's patented methodology.
[00:30:32.013 --> 00:30:42.057]  Without cutting, bleeding, drugs, or damaging radiation, we can destroy skin cancer and breast tumors of any size, without adverse side effects at a physician's office.
[00:30:42.537 --> 00:30:44.858]  Star War technology at its best.
[00:30:45.638 --> 00:30:46.939]  For more information call 702-953-0267.
[00:30:46.959 --> 00:30:46.999]  702-953-0267.
[00:30:55.680 --> 00:30:59.366]  Or visit www.LazMedInc.com.
[00:30:59.686 --> 00:31:03.192]  That's www.LazMedinc.com.
[00:31:09.045 --> 00:31:10.025]  Good morning, honey!
[00:31:10.385 --> 00:31:10.945]  Wow!
[00:31:11.105 --> 00:31:16.407]  The weather is beautiful, the cabin is terrific, and it's the first day of our vacation!
[00:31:16.707 --> 00:31:19.107]  Yeah... Honey, is there something wrong?
[00:31:19.467 --> 00:31:22.888]  Yeah, I just realized we forgot to pack the travel berkey system.
[00:31:23.348 --> 00:31:24.869]  I can't drink this cabin water.
[00:31:25.309 --> 00:31:27.029]  And what am I gonna do when I'm out on the lake?
[00:31:27.409 --> 00:31:29.190]  Now the whole vacation is ruined.
[00:31:29.390 --> 00:31:30.230]  Honey, cheer up!
[00:31:30.669 --> 00:31:32.952]  I brought our Sport Berkey Purifiers!
[00:31:33.192 --> 00:31:33.533]  What?
[00:31:33.953 --> 00:31:44.506]  Yeah, I know you're picky about not having pathogenic bacteria, organic chemicals, heavy metals or foul tastes and odors in the water, so I packed our Sport Berkey Purifiers!
[00:31:44.767 --> 00:31:49.633]  You know, this is a terrific cabin, and wow, have you noticed the beautiful weather?
[00:31:49.953 --> 00:31:51.175]  Don't ruin your vacation.
[00:31:51.255 --> 00:31:53.077]  Get a Travel Berkey today for only $209.
[00:31:53.197 --> 00:31:55.199]  Or get a Sport Berkey for only $39.
[00:31:55.239 --> 00:31:55.680]  Call 888-803-4438.
[00:31:55.740 --> 00:31:56.120]  That's 888-803-4438.
[00:31:56.160 --> 00:31:58.123]  Or order on the web at berkeywater.com.
[00:31:58.143 --> 00:31:59.424]  Travel Berkey not available in Iowa.
[00:32:07.987 --> 00:32:13.834]  Hey ladies, if you love to shop, then visit HerbalHealer.com to browse through their online catalog.
[00:32:13.935 --> 00:32:19.401]  You'll find thousands of effective, alternative, and natural products for you and the whole family.
[00:32:19.582 --> 00:32:24.888]  Besides the amazing products you'll find, this shopping is guilt-free because you're investing in your health.
[00:32:25.089 --> 00:32:26.891]  And your health is priceless.
[00:32:27.051 --> 00:32:27.592]  I think so.
[00:32:47.211 --> 00:32:49.912]  Want to learn more for yourself and to help others in the future?
[00:32:50.112 --> 00:32:52.532]  Join the Herbal Healer Correspondence Program.
[00:32:52.652 --> 00:32:55.613]  You can work at your own pace from the comfort of your own home.
[00:32:55.753 --> 00:32:59.754]  This accredited, exciting program can help you gain skills and knowledge.
[00:32:59.914 --> 00:33:02.215]  Can you believe you can find all this at one stop?
[00:33:02.455 --> 00:33:04.015]  HerbalHealer.com.
[00:33:04.335 --> 00:33:06.976]  Celebrating 18 years of dedication.
[00:33:17.327 --> 00:33:19.029]  It's a dark day for the Republic.
[00:33:20.790 --> 00:33:23.132]  The country is on its knees, bleeding to death.
[00:33:25.614 --> 00:33:27.937]  Got an arm chopped off, got a leg chopped off.
[00:33:28.977 --> 00:33:33.041]  I'm just here begging the country to wake up and tie a tourniquet around the leg, the arm.
[00:33:34.863 --> 00:33:36.104]  The country's going into shock.
[00:33:37.365 --> 00:33:37.965]  Turning white.
[00:33:38.906 --> 00:33:39.507]  Passing out.
[00:33:40.319 --> 00:33:43.121]  I mean, if I have to give you an analogy, that's really what we're facing.
[00:33:43.301 --> 00:33:45.002]  Much of the Bill of Rights was abolished.
[00:33:45.022 --> 00:33:49.005]  You know, I wrote that article the day that the Congress passed it, two Fridays ago.
[00:33:49.065 --> 00:33:51.687]  Now, almost three Fridays ago, coming up this Friday.
[00:33:53.208 --> 00:34:00.573]  And I was heartened that a week and a half later, Oberman did the exact same analysis and showed that nine of the ten Bill of Rights, completely and totally abolished.
[00:34:01.014 --> 00:34:01.974]  It does affect U.S.
[00:34:02.014 --> 00:34:09.840]  citizens, top legal scholars at Harvard, at Princeton, at UT, have all done an analysis that mirrors my analysis.
[00:34:11.053 --> 00:34:13.795]  And again, a lot of people saw my analysis and said, oh, that's a little harsh.
[00:34:13.875 --> 00:34:15.076]  Well, you didn't go read the U.S.
[00:34:15.116 --> 00:34:18.779]  Code and how it connects into Patriot Act 1, the reauthorization.
[00:34:19.560 --> 00:34:26.886]  You see, the President, the Defense Secretary, or their designates decree you an enemy combatant, and then you are not a citizen.
[00:34:27.767 --> 00:34:31.470]  So it's a little play on words, a little lawyer-type behavior.
[00:34:31.490 --> 00:34:33.992]  And I'm freaked out, folks.
[00:34:34.052 --> 00:34:37.815]  John Yoo writes memos, and he gets, you know, confronted at a CFR meeting.
[00:34:37.835 --> 00:34:40.477]  He writes memos for the White House as their counsel.
[00:34:44.498 --> 00:34:57.346]  And for a while, there's denial by the neocons, and now Limbaugh and others just say, yeah, okay, we can torture people, and they change the definition of torture to pressure in this bill.
[00:34:59.608 --> 00:35:05.912]  And they're using the Patriot Act, thousands of cases, and non-terror-related cases domestically, the federal and state courts are ruling they can.
[00:35:07.023 --> 00:35:14.427]  This new legislation gives the President basically a pre-final days of the office.
[00:35:14.447 --> 00:35:21.552]  This is now a pre-pardon for himself and all of his cronies and poms.
[00:35:22.572 --> 00:35:23.673]  Even Bob Woodward is saying it.
