[00:00:18.612 --> 00:00:19.312]  People of the day!
[01:26:16.640 --> 01:26:19.742]  At the end of the afternoon, they pull the firemen out and they pull the building down.
[01:26:19.762 --> 01:26:20.903]  They brought that building down for insurance, right?
[01:26:20.923 --> 01:26:22.444]  Do you believe they brought that down to collect insurance?
[01:26:22.464 --> 01:26:23.465]  Hey, ask Mr. Silverstein.
[01:26:23.505 --> 01:26:24.305]  Get him on the show.
[01:26:24.325 --> 01:26:25.046]  He's the one with the facts.
[01:26:25.066 --> 01:26:26.507]  You're talking about Andrew Dice Silverstein, the comedian?
[01:26:27.127 --> 01:26:27.467]  Uh, no.
[01:26:27.507 --> 01:26:28.448]  Larry Silverstein.
[01:26:28.588 --> 01:26:28.948]  Okay.
[01:26:28.968 --> 01:26:31.450]  So, so, the buildings, why were the buildings brought down?
[01:26:32.225 --> 01:26:34.686]  Well, you might ask the Port Authority, too.
[01:26:34.906 --> 01:26:35.647]  I got you here!
[01:26:36.027 --> 01:26:36.727]  You're the expert!
[01:26:36.827 --> 01:26:37.107]  Why?
[01:26:37.127 --> 01:26:38.788]  I didn't do this!
[01:26:39.629 --> 01:26:41.490]  Alright, folks, there's a few minutes left.
[01:26:41.510 --> 01:26:42.630]  We don't have time to play it all.
[01:26:42.690 --> 01:26:51.275]  I want to go to break, hurriedly take some calls, and get into the whole Iraq situation, and then a silver lining of good news overall here in this country for the Republic.
[01:26:51.875 --> 01:26:55.337]  But, I mean, I was sitting here writing notes during that piece, listening to it again.
[01:26:55.657 --> 01:26:59.979]  He claims Bigfoot, Loch Ness Monster, they throw all that at Kevin,
[01:27:00.583 --> 01:27:04.047]  Trying to discredit him when that's not what he's saying, that's not what he's talking about.
[01:27:04.388 --> 01:27:08.893]  Every time he brings up real issues, the Fox News host starts shouting him down.
[01:27:08.913 --> 01:27:13.118]  And then Kevin brings up that the Founding Fathers said, don't trust your government.
[01:27:13.579 --> 01:27:15.061]  And the fireman goes, I never heard that.
[01:27:15.121 --> 01:27:15.782]  What's your proof?
[01:27:15.802 --> 01:27:16.783]  You're just making that up.
[01:27:17.409 --> 01:27:21.932]  I mean, for somebody who studies the Constitution, the Founding Fathers, that's all they ever said!
[01:27:22.232 --> 01:27:32.859]  It's so alien to people who are informed to realize to that guy, this good, well-meaning firefighter, he thinks patriotism is mindlessly believing whatever you're told!
[01:27:32.879 --> 01:27:35.801]  And then he brings up steel melting points.
[01:27:35.841 --> 01:27:36.982]  Get the next clip ready, please.
[01:27:37.794 --> 01:27:38.755]  Steel melting points.
[01:27:38.855 --> 01:27:41.658]  I've interviewed over 15 firefighters over the years.
[01:27:41.738 --> 01:27:43.220]  I've interviewed engineers.
[01:27:43.240 --> 01:27:44.321]  I've interviewed eyewitnesses.
[01:27:44.341 --> 01:27:45.422]  I've interviewed janitors.
[01:27:45.462 --> 01:27:48.005]  I've interviewed the heads of mining colleges.
[01:27:48.665 --> 01:27:49.406]  Steel melts.
[01:27:49.446 --> 01:27:53.731]  Just type the melt point of steel at its lowest alloy at 2754 degrees.
[01:27:58.018 --> 01:28:04.683]  The strongest structural steel doesn't melt until 3,300 plus degrees.
[01:28:04.723 --> 01:28:06.784]  Just go type it into Google right now.
[01:28:07.204 --> 01:28:09.245]  You know what the hottest jet fuel burns at?
[01:28:09.265 --> 01:28:10.786]  1,800 degrees.
[01:28:10.806 --> 01:28:14.829]  Thousands of degrees below what it takes.
[01:28:17.239 --> 01:28:24.368]  Dark, orange, cool fires burning people for 20 minutes, standing in the holes, close to the hottest fires, waving for help.
[01:28:24.648 --> 01:28:27.111]  Wasn't melting their bodies, but melted huge columns.
[01:28:27.391 --> 01:28:29.614]  Then you got building 7 down the street, hit by nothing.
[01:28:29.914 --> 01:28:33.399]  Small fires bring it down perfectly in a top-down.
[01:28:33.579 --> 01:28:34.360]  Do you have that next clip?
[01:28:35.129 --> 01:28:38.791]  This is firefighters on a local New York PBS documentary.
[01:28:38.951 --> 01:28:43.613]  This is a firefighting captain talking about steel melting and flowing like lava.
[01:28:43.793 --> 01:28:44.793]  We also have video of it.
[01:28:44.953 --> 01:28:46.014]  Let me give you a little news flash.
[01:28:46.314 --> 01:28:47.935]  You know how you have that grate in your fireplace?
[01:28:47.955 --> 01:28:51.336]  You can burn hot, white, hot coals for 20 years on it and nothing melts?
[01:28:51.596 --> 01:28:52.957]  That's not structural steel, folks.
[01:28:52.997 --> 01:28:55.458]  That's just iron that melts at 2200.
[01:28:56.519 --> 01:28:56.959]  Okay?
[01:28:57.239 --> 01:29:00.981]  Giant, four-foot-a-round steel beams like lava from jet fuel!
[01:29:02.046 --> 01:29:03.246]  Only Thermite!
[01:29:03.666 --> 01:29:05.107]  Play the clip of the firefighters!
[01:29:05.987 --> 01:29:06.667]  Oh, we gotta go break.
[01:29:06.687 --> 01:29:07.507]  We come back, we'll play it.
[01:29:08.348 --> 01:29:09.728]  Oh, I'm just blowing up here.
[01:29:10.368 --> 01:29:14.549]  It is simple, basic information.
[01:29:15.489 --> 01:29:17.590]  John, Garrett, Brown, and others will get to you afterwards.
[01:29:17.630 --> 01:29:18.410]  It's a 30-second clip.
[01:29:18.490 --> 01:29:19.230]  It's not like the other one.
[01:29:19.630 --> 01:29:24.292]  And then I'll get into the Iraq news with the Iraq study group report.
[01:29:24.352 --> 01:29:25.852]  Meet the new boss, same as the old boss.
[01:29:26.730 --> 01:29:27.831]  And then some really good news.
[01:29:28.011 --> 01:29:30.292]  So, big finish, big final segment.
[01:29:30.852 --> 01:29:35.435]  By the way, Terror Storm has been in the top 100 on Amazon for 3 weeks.
[01:29:35.695 --> 01:29:36.835]  It's gone as high as number 9.
[01:29:37.055 --> 01:29:41.478]  I think it finally left the top 100 today, but it'll be back in there.
[01:29:41.998 --> 01:29:44.700]  New film, free at Google Video, Terror Storm.
[01:29:45.020 --> 01:29:45.440]  Stay with us!
[01:29:52.106 --> 01:29:53.747]  Shelly, you look exhausted.
[01:29:53.827 --> 01:29:54.607]  What's wrong?
[01:29:54.627 --> 01:29:55.828]  I am so tired.
[01:29:55.888 --> 01:29:58.350]  I just get so hot at night and can't sleep.
[01:29:58.490 --> 01:29:59.591]  I have tried everything.
[01:29:59.651 --> 01:30:01.412]  All kinds of fans, sheets, pillows.
[01:30:01.552 --> 01:30:02.713]  You name it, I've tried it.
[01:30:02.833 --> 01:30:05.134]  My husband has always been a hot sleeper.
[01:30:05.294 --> 01:30:06.855]  He's never had a good night's sleep.
[01:30:07.076 --> 01:30:09.157]  Then we discovered something that really helps.
[01:30:09.257 --> 01:30:11.458]  It's called the BedFan Personal Cooling System.
[01:30:11.659 --> 01:30:12.159]  The what?
[01:30:12.439 --> 01:30:14.500]  The BedFan Personal Cooling System.
[01:30:14.641 --> 01:30:19.884]  It will keep you cool all night long and will work for everyone that sleeps hot, no matter what the reason.
[01:30:19.984 --> 01:30:21.265]  You can see it at BedFan.com.
[01:30:21.385 --> 01:30:22.205]  I think so.
[01:30:50.979 --> 01:30:52.540]  Did you know you have been cheated?
[01:30:52.700 --> 01:30:55.081]  You owe no debt on your bank issued credit cards.
[01:30:55.201 --> 01:30:55.982]  You heard that right.
[01:30:56.062 --> 01:30:58.363]  You owe no debt on your bank issued credit cards.
[01:30:58.543 --> 01:30:59.804]  You don't have to pay them off.
[01:30:59.984 --> 01:31:01.485]  The banks are defrauding you.
[01:31:01.645 --> 01:31:03.105]  Now is the time to fight back.
[01:31:03.286 --> 01:31:05.887]  You can completely wipe out your credit card debt fast.
[01:31:06.047 --> 01:31:09.428]  The procedure is easy and everything is done legally and within the law.
[01:31:09.628 --> 01:31:11.708]  We have better than a 90% success rate.
[01:31:11.788 --> 01:31:14.909]  Check out 1-2-3noded.com.
[01:31:15.109 --> 01:31:17.409]  The process is simple and is non-judicial.
[01:31:17.569 --> 01:31:21.670]  It's an easy letter writing process that can be done by anyone with a personal computer.
[01:31:21.790 --> 01:31:29.012]  With our package, you also get the Credit Secrets Bible, loaded with valuable information about credit restoration and credit repair and much, much more.
[01:31:29.292 --> 01:31:31.112]  Don't let the banksters cheat you!
[01:31:31.292 --> 01:31:32.413]  Fight back, America!
[01:31:32.533 --> 01:31:33.433]  Stop the fraud!
[01:31:33.593 --> 01:31:34.673]  Stop the rip-off!
[01:31:34.933 --> 01:31:36.954]  Learn the truth!
[01:31:36.974 --> 01:31:38.495]  1-2-3 Nodead.com.
[01:31:38.655 --> 01:31:42.797]  Come over and get our rock solid technology that wipes out debt without bankruptcy.
[01:31:42.977 --> 01:31:43.938]  It's really quite easy.
[01:31:44.178 --> 01:31:47.220]  Go to 1-2-3 Nodead.com.
[01:31:47.360 --> 01:31:48.420]  Live debt free now.
[01:31:48.660 --> 01:31:50.281]  You lose nothing but the debt.
[01:31:52.763 --> 01:31:56.805]  Hey, want to know a natural healing treatment that's been around for thousands of years?
[01:31:57.485 --> 01:31:58.186]  Salt products.
[01:31:59.046 --> 01:32:02.468]  Now Solay Wellness brings these natural healing products to your home.
[01:32:03.209 --> 01:32:06.950]  Easy to use, non-toxic, and 100% natural.
[01:32:07.331 --> 01:32:11.032]  These products help to give you great physical, mental, and spiritual results.
[01:32:11.532 --> 01:32:13.853]  Heated cell pillows for earaches and back pain.
[01:32:14.313 --> 01:32:16.294]  Salt pipes to relieve respiratory ailments.
[01:32:16.634 --> 01:32:20.515]  Bath salts release toxins as they soften and rehydrate the skin.
[01:32:20.875 --> 01:32:24.697]  Pretty salt lamps to ionize the air and reduce EMS radiation.
[01:32:25.177 --> 01:32:27.458]  So many different salt products available for you.
[01:32:27.898 --> 01:32:29.439]  It's time to let the secret out.
[01:32:29.660 --> 01:32:34.944]  Visit Soleil Wellness at natural-salt-lamps.com.
[01:32:35.324 --> 01:32:36.826]  That's natural-salt-lamps.com.
[01:32:36.846 --> 01:32:37.186]  Or call 312-224-2710.
[01:32:37.206 --> 01:32:37.927]  That's 312-224-2710.
[01:32:38.107 --> 01:32:40.549]  Mention GCN Live for a free gift.
[01:32:52.037 --> 01:32:55.159]  We understand that decisions related to health can be overwhelming.
[01:32:55.419 --> 01:33:02.223]  That is why at ResearchedHerbs.com we take pride in offering you herbs whose safety and effectiveness have been proven time and time again.
[01:33:02.663 --> 01:33:16.011]  For example, did you know that Live 52, the top-selling natural herbal supplement for liver diseases since 1930, is backed by over 300 research studies and clinical trials and prescribed by more than 200,000 health professionals worldwide?
[01:33:16.331 --> 01:33:19.753]  In fact, the effectiveness of all the herbs featured on ResearchedHerbs.com
[01:33:20.484 --> 01:33:28.625]  Including those for cholesterol, blood pressure, diabetes, arthritis, cirrhosis, and hepatitis, among others, is extremely well documented.
[01:33:29.066 --> 01:33:35.927]  Our website, researchedherbs.com, was created to empower you with the information and answers you need to make the right health decisions.
[01:33:36.307 --> 01:33:38.667]  Researched and proven herbs at great prices.
[01:33:38.847 --> 01:33:42.768]  Visit us online at researchedherbs.com or call 1-800-845-3841 for more information.
[01:33:42.788 --> 01:33:43.068]  That's 1-800-845-3841.
[01:33:55.419 --> 01:34:04.807]  This is GCN, the Genesis Communications Radio Network.
[01:34:07.349 --> 01:34:11.832]  Alex Jones is deep in the heart of Texas, and he wants to talk to you.
[01:34:12.453 --> 01:34:13.614]  Toll free at 877-590-5525.
[01:34:13.674 --> 01:34:14.595]  Now, here's Alex Jones.
[01:34:23.081 --> 01:34:24.744]  Alright, going to your call in just a moment.
[01:34:24.965 --> 01:34:31.777]  As I was saying, steel melts between 2700 and 3300 degrees depending on the alloy.
[01:34:31.817 --> 01:34:32.578]  Structural at 3300.
[01:34:35.071 --> 01:34:36.772]  And then down to the lower grades of steel.
[01:34:36.852 --> 01:34:39.153]  Well, this is structural steel coated in asbestos.
[01:34:39.473 --> 01:34:40.754]  But forget Tower 1 and 2.
[01:34:41.014 --> 01:34:43.715]  We have Building 7 clearly being blown up, hit by nothing.
[01:34:43.755 --> 01:34:54.301]  But here are New York firefighters, including a New York fire captain from a New York documentary on local PBS, talking about the steel melting like lava.
[01:34:54.661 --> 01:34:55.041]  Okay?
[01:34:55.441 --> 01:34:57.122]  Impossible from jet fuel.
[01:34:57.462 --> 01:34:58.083]  Here's the clip.
[01:34:58.583 --> 01:34:59.804]  I think he just did it to...
[01:35:04.932 --> 01:35:05.292]  Who knew?
[01:35:06.112 --> 01:35:09.134]  To be honest with you, I think he might have thought that was it for us, though.
[01:35:10.294 --> 01:35:13.115]  You'd get down below and you'd see molten steel.
[01:35:14.555 --> 01:35:16.576]  Molten steel running down the channel rails.
[01:35:18.237 --> 01:35:19.337]  Like you're in a foundry.
[01:35:21.098 --> 01:35:21.358]  Yeah.
[01:35:21.498 --> 01:35:21.798]  Like lava.
[01:35:21.818 --> 01:35:23.079]  Like lava in a volcano.
[01:35:23.119 --> 01:35:24.999]  There wasn't a lot of screaming.
[01:35:25.039 --> 01:35:25.980]  There wasn't a lot of yelling.
[01:35:26.120 --> 01:35:29.581]  Alright, so like a foundry, like a volcano.
[01:35:30.595 --> 01:35:39.098]  For those that don't know what a foundry is, it's where they melt and produce with iron, and other metals, steel, and the coke they inject into it.
[01:35:40.199 --> 01:35:41.859]  You need to find out the truth, ladies and gentlemen.
[01:35:41.879 --> 01:35:42.920]  Those buildings were blown up.
[01:35:43.340 --> 01:35:50.242]  And when they tested some of the steel that they were able to get that hadn't been destroyed and shipped to China, it didn't just have thermite in it, it had been cut with thermate.
[01:35:51.603 --> 01:35:53.984]  The patented thermite used to cut pillars.
[01:35:54.204 --> 01:35:56.585]  They have jackets of it they put around the steel.
[01:35:56.785 --> 01:35:57.565]  Only thermite
[01:35:58.539 --> 01:35:59.759]  Hi Alex, I just wanted to
[01:36:19.022 --> 01:36:20.082]  Well, that was a good call.
[01:36:20.382 --> 01:36:21.803]  Is that like a joke or something?
[01:36:21.843 --> 01:36:23.103]  I just wanted to click.
[01:36:23.823 --> 01:36:25.563]  He probably picked up another phone line and did that.
[01:36:26.164 --> 01:36:28.044]  Garrett in Cincinnati, you're on the air.
[01:36:28.084 --> 01:36:28.424]  Welcome.
[01:36:28.944 --> 01:36:29.404]  Hey, Alex.
[01:36:29.764 --> 01:36:29.984]  Hi.
[01:36:30.004 --> 01:36:32.185]  I just want to encourage you, man.
[01:36:32.285 --> 01:36:40.527]  I know a lot of criticians come at you and give you a bunch of doctrine, but I know that you're doing a good job, but on to my subject now.
[01:36:41.593 --> 01:36:48.237]  I was watching an old show of you on your Alex Jones Report talking about Illuminati symbolism.
[01:36:48.617 --> 01:36:49.478]  Yes, it's everywhere.
[01:36:49.918 --> 01:36:51.179]  Yeah, it is.
[01:36:51.219 --> 01:36:54.101]  When you were looking at the coffee cups and you're just like, I can't believe it.
[01:36:54.841 --> 01:36:55.322]  Well, that's right.
[01:36:55.342 --> 01:36:59.204]  If you go into Starbucks, it's all seeing ice pyramids, people doing the devil sign.
[01:36:59.484 --> 01:37:01.345]  And folks, I've been in Seattle and seen them doing it.
[01:37:01.385 --> 01:37:02.146]  It didn't hook them horns.
[01:37:02.725 --> 01:37:05.408]  And it's weird.
[01:37:05.688 --> 01:37:06.949]  Well, the symbol is a goddess.
[01:37:07.189 --> 01:37:07.890]  But sorry, go ahead.
[01:37:08.210 --> 01:37:13.655]  Okay, now, I was watching TV, and you told me in this thing, you're like, just go watch TV, you can find it, just be aware.
[01:37:13.675 --> 01:37:21.102]  I was watching some news show, and they were talking about Katie Holmes and Tom Cruise's wedding.
[01:37:21.522 --> 01:37:23.184]  And during the wedding vows,
[01:37:23.795 --> 01:37:27.538]  They make, Scientology, they make you take, the minister takes the ring.
[01:37:27.558 --> 01:37:31.381]  It's a gold ring with a triangle and that's the ultimate Illuminati symbol, yeah.
[01:37:31.641 --> 01:37:35.463]  No, and they get this, and then this was, I was expecting this.
[01:37:35.524 --> 01:37:37.325]  I have a family member who's in AA.
[01:37:38.866 --> 01:37:44.430]  The AA coins are circles with triangles with circles inside of them.
[01:37:46.111 --> 01:37:47.052]  Now, I'm not against AA.
[01:37:48.055 --> 01:37:53.645]  Well, the point is, it's so pervasive that we don't even know what it means, and that means the eye of Lucifer.
[01:37:56.556 --> 01:38:01.722]  You know, all these preachers that are going around, especially the big TV preachers, the big ones.
[01:38:01.742 --> 01:38:05.105]  Yeah, most of them are on drugs or homosexual.
[01:38:05.525 --> 01:38:07.267]  That hand signal they always do.
[01:38:07.347 --> 01:38:08.749]  I've seen them all do it.
[01:38:08.769 --> 01:38:12.313]  Jesse DePlantis, Pat Robertson, Billy Graham, Benny Hinn.
[01:38:12.333 --> 01:38:14.235]  I mean, what is with that?
[01:38:14.675 --> 01:38:19.280]  Like you said, sometimes they do it by accident, but man, I'm seeing them do it like they have a compulsion with it.
[01:38:20.490 --> 01:38:21.572]  I know, I know.
[01:38:21.592 --> 01:38:24.116]  They think they get power from it.
[01:38:24.156 --> 01:38:29.144]  And folks, I don't believe in this stuff, but it doesn't mean that people in Haiti don't believe in voodoo.
[01:38:29.204 --> 01:38:30.046]  I mean, they believe in it.
[01:38:30.066 --> 01:38:31.268]  So I'm just reporting.
[01:38:32.055 --> 01:38:34.136]  Skull and Bones, Bohemian Grove, you've heard of that?
[01:38:34.676 --> 01:38:35.236]  I've covered it.
[01:38:35.296 --> 01:38:36.076]  I've infiltrated it.
[01:38:36.736 --> 01:38:37.656]  I've got video of it.
[01:38:37.696 --> 01:38:38.897]  It's in my film, The Order of Death.
[01:38:38.937 --> 01:38:40.317]  It's aired on national U.S.
[01:38:40.357 --> 01:38:40.797]  television.
[01:38:40.837 --> 01:38:41.637]  It's aired worldwide.
[01:38:41.657 --> 01:38:43.858]  I mean, they admit I snuck in and got footage.
[01:38:43.878 --> 01:38:45.358]  They're very upset about it.
[01:38:45.878 --> 01:38:46.958]  You ever seen Eyes Wide Shut?
[01:38:47.339 --> 01:38:53.660]  Stanley Kubrick only made films about real things or things that were going on, and he would put it in a fictionalized account.
[01:38:54.358 --> 01:38:58.120]  Well, Eyes Wide Shut's real, folks, but they don't really like women.
[01:38:58.180 --> 01:39:00.201]  It's men with men.
[01:39:00.221 --> 01:39:03.063]  If you changed that in that movie, then you'd have it accurate.
[01:39:03.623 --> 01:39:06.104]  It's not women, normally.
[01:39:07.505 --> 01:39:10.987]  Let's go ahead and talk to Brown in Georgia.
[01:39:11.047 --> 01:39:12.208]  Thanks for holding her on the air.
[01:39:12.228 --> 01:39:13.648]  Hi, Alex.
[01:39:13.908 --> 01:39:14.149]  Hello.
[01:39:14.189 --> 01:39:14.749]  Go ahead, quickly.
[01:39:15.430 --> 01:39:18.491]  Yeah, I just want to say, Alex, man, I love what you do.
[01:39:18.851 --> 01:39:19.611]  I love your show.
[01:39:20.212 --> 01:39:24.513]  You're a real patriot and hero, and I mean, run for president, and I'll still vote for you.
[01:39:24.873 --> 01:39:26.074]  Okay, what else is on your mind?
[01:39:26.574 --> 01:39:29.895]  Well, just, you know, everything you do, man, it's just top-notch.
[01:39:30.535 --> 01:39:32.156]  You know, the neocons are out there.
[01:39:32.176 --> 01:39:37.298]  You know, probably, you know, 40-50% of Americans, they're just brainwashed by all this.
[01:39:37.358 --> 01:39:40.019]  They think Joseph Stalin's conservative.
[01:39:40.059 --> 01:39:40.839]  Yeah, they're that.
[01:39:42.173 --> 01:39:54.138]  And so, you know, if you look at, you know, the Pentagon, it's so absurd that people could actually fire them for one second that they don't have the film, the footage of that supposed plane coming into it.
[01:39:54.158 --> 01:39:55.619]  I mean, it's preposterous.
[01:39:56.419 --> 01:40:01.201]  You know, there's more cameras out there than you can find in a dozen Wolf camera stores.
[01:40:01.582 --> 01:40:02.882]  I agree, and I appreciate your call.
[01:40:03.122 --> 01:40:04.603]  Let's go to Todd in Corpus Christi.
[01:40:04.983 --> 01:40:05.723]  Todd, you're on the air.
[01:40:05.763 --> 01:40:06.344]  Thanks for holding.
[01:40:06.364 --> 01:40:06.744]  Go ahead.
[01:40:07.384 --> 01:40:08.224]  Hi there, Mr. Jones.
[01:40:08.284 --> 01:40:09.225]  I just wanted a really quick
[01:40:10.029 --> 01:40:15.294]  I've been researching Charlotte Isselby for a class, and I stumbled upon the Center for Civic Education.
[01:40:15.354 --> 01:40:16.895]  Are you familiar with them?
[01:40:16.935 --> 01:40:18.657]  Yes, they have all over the country.
[01:40:18.697 --> 01:40:21.539]  I went and covered one of my first film, America Destroyed by Design.
[01:40:21.780 --> 01:40:35.352]  You can watch free at Google Video, America Destroyed by Design, with huge UN brainwashing camps, and they teach the children in every major public school that we're a global government, and we're going into the United Nations, and that we're the North American Union, and Texas belongs to Mexico.
[01:40:35.896 --> 01:40:39.839]  Right, and they are federally sanctioned to write our social studies curriculum.
[01:40:39.879 --> 01:40:41.140]  That's really how they're going to break it down.
[01:40:41.160 --> 01:40:47.786]  Yeah, under UNESCO, that Bush signed back on under treaty, the UN has to certify all the textbooks.
[01:40:48.506 --> 01:40:50.268]  Yeah, have you even seen the cover of the textbook?
[01:40:51.328 --> 01:40:51.969]  There's a lot of them.
[01:40:51.989 --> 01:40:53.070]  I haven't seen it in a few years.
[01:40:53.330 --> 01:40:55.452]  There's one called, I think it's called, A Citizen in the Constitution.
[01:40:55.472 --> 01:41:01.216]  It has a picture of, as you're walking in to see a constitution, and it's got the security guard with his hands on his hips, like, don't come near it.
[01:41:01.416 --> 01:41:02.878]  I'd like to read you a couple quotes if I may.
[01:41:03.338 --> 01:41:04.199]  Yeah, we're almost out of time.
[01:41:04.219 --> 01:41:04.479]  Go ahead.
[01:41:05.200 --> 01:41:16.106]  Okay, one of these says, as fundamental and lasting as its guarantees have been, the Bill of Rights is a document of the 18th century reflecting the issues and concerns of the age in which it was written.
[01:41:16.826 --> 01:41:21.849]  Yeah, do me a favor, make me some scans of that, email it to... To write your article, how about it?
[01:41:22.029 --> 01:41:26.732]  Yeah, do that and send it to Kevin at InfoWars, send it to Aaron at InfoWars, send it to Ryan at InfoWars.
[01:41:27.052 --> 01:41:29.833]  I'm out of time, I want to try to go to Tom.
[01:41:30.294 --> 01:41:32.695]  If I have time to go to you Tom, I will, but I want to give you the bad news.
[01:41:33.954 --> 01:41:35.535]  James Baker and Bush Sr.
[01:41:35.655 --> 01:41:39.116]  and Henry Kissinger and George Shultz, and if you don't know who they are, you better find out, folks.
[01:41:39.756 --> 01:41:41.977]  They were in control of Bush and the neocons the whole time.
[01:41:42.017 --> 01:41:43.197]  It's like birdcage liner.
[01:41:43.517 --> 01:41:45.358]  Bush is now going to take the blame for the agenda.
[01:41:45.738 --> 01:41:48.299]  Now they come in and their Iraq study group, what do they say?
[01:41:49.199 --> 01:41:53.721]  Oh, we want to build up the Iraqi internal army and then we'll pull out.
[01:41:53.821 --> 01:41:56.021]  That's the same story we've been getting for three and a half years.
[01:41:56.501 --> 01:41:58.082]  It's no difference.
[01:41:58.965 --> 01:42:00.866]  The Democratic leadership are saying they're going to stay.
[01:42:01.206 --> 01:42:02.787]  A few of them are saying they aren't.
[01:42:03.207 --> 01:42:09.129]  We need to press this and make sure the troops are pulled out because, listen, we could have won Vietnam in six weeks.
[01:42:09.489 --> 01:42:10.190]  I have the documents.
[01:42:10.230 --> 01:42:10.670]  It's public.
[01:42:12.150 --> 01:42:13.651]  It wasn't meant to be won.
[01:42:13.691 --> 01:42:16.552]  It was meant to go on to make money for defense contractors.
[01:42:16.932 --> 01:42:17.933]  Same thing in Iraq.
[01:42:18.213 --> 01:42:20.514]  They went in, kicked the bathers completely out,
[01:42:21.323 --> 01:42:33.896]  Then armed all the other sides to fight with each other, they destroyed the entire bureaucracy in a racially and religiously divided area, knowing their own documents said this was the goal.
[01:42:34.276 --> 01:42:35.017]  And they've done it.
[01:42:35.537 --> 01:42:38.020]  Bush has done an incredible job.
[01:42:38.460 --> 01:42:51.490]  of what they set out to do, make money, get a permanent base there, make the world hate us, to generate more Islamic terror that's real, so they don't have to stage events, and that's Pentagon document P-2-O-G, AP, Reuters, you name it.
[01:42:51.730 --> 01:42:53.211]  I mean folks, it's right out in the open.
[01:42:53.471 --> 01:42:54.332]  It is in the news.
[01:42:55.233 --> 01:43:02.458]  It's in the news, it just never becomes the big issue, because we're too busy talking about Brad Pitt and Angelina Jolie and Michael Jackson and
[01:43:04.183 --> 01:43:07.325]  And the idiot who, you know, has written a book about killing his wife now.
[01:43:07.805 --> 01:43:09.026]  I mean, so what?
[01:43:09.306 --> 01:43:11.987]  If you want freedom, you better get involved in real serious issues.
[01:43:12.548 --> 01:43:19.211]  The good news is, Senator Dodd, and we'll see if he does it, we'll be tracking this, is introducing legislation.
[01:43:19.391 --> 01:43:24.834]  Dodd introduces the Effective Terrorism Protection Act, brings terrorists to justice, honors America's good name.
[01:43:25.655 --> 01:43:30.017]  And this restores habeas corpus, doesn't allow them to arrest U.S.
[01:43:30.057 --> 01:43:35.140]  citizens without due process, doesn't allow torture to be admissible in court, bans torture.
[01:43:35.480 --> 01:43:37.381]  This gives us our soul back.
[01:43:38.021 --> 01:43:39.122]  I've got to read the bill itself.
[01:43:39.162 --> 01:43:41.143]  I've just read his press release in the subsections.
[01:43:42.063 --> 01:43:44.524]  But that is certainly some good news there.
[01:43:45.064 --> 01:43:50.367]  And Tom, you can take us out of the broadcast here as the final caller.
[01:43:50.507 --> 01:43:51.467]  Go ahead, sir.
[01:43:52.148 --> 01:43:52.468]  Welcome.
[01:43:53.248 --> 01:43:53.689]  Is this it?
[01:43:53.749 --> 01:43:54.369]  Are you going off?
[01:43:54.529 --> 01:43:55.170]  Yeah, we're going off, sir.
[01:43:55.210 --> 01:43:55.490]  Go ahead.
[01:43:55.530 --> 01:43:55.751]  Hit me.
[01:43:55.791 --> 01:43:56.051]  Hit me.
[01:43:56.411 --> 01:43:59.254]  What frequencies are you coming back on?
[01:43:59.614 --> 01:44:01.196]  Listen, I gotta let you go, sir.
[01:44:01.576 --> 01:44:04.559]  We're on AM and FM stations right now.
[01:44:05.620 --> 01:44:06.341]  And I got loaded.
[01:44:06.441 --> 01:44:07.242]  I mean, I'll just take calls.
[01:44:07.282 --> 01:44:07.962]  Caller, what's your name?
[01:44:07.982 --> 01:44:08.543]  Where are you calling from?
[01:44:08.563 --> 01:44:10.304]  Hi, I'm calling from Australia.
[01:44:10.324 --> 01:44:10.845]  My name's Eric.
[01:44:11.045 --> 01:44:12.146]  Okay, calling from Australia.
[01:44:12.166 --> 01:44:12.827]  You got 30 seconds.
[01:44:13.391 --> 01:44:19.696]  Yeah, but the question is, is there room in the anti-New World Order movement and the Live and Truth movement if you're an atheist?
[01:44:19.716 --> 01:44:21.937]  Because I know that you guys... Yes, there is, sir.
[01:44:22.038 --> 01:44:26.961]  If you don't think that God designed this, that there's some advanced intelligence, that's your problem.
[01:44:27.902 --> 01:44:31.865]  There's room for everybody, every race, every creed, who wants freedom.
[01:44:33.901 --> 01:44:35.063]  Good answer, good answer.
[01:44:35.363 --> 01:44:36.404]  All right, I appreciate your call.
[01:44:36.424 --> 01:44:37.285]  I'm glad I took that one.
[01:44:37.505 --> 01:44:38.987]  The other one's probably from Tim Buck, too.
[01:44:39.307 --> 01:44:40.048]  I'm out of time.
[01:44:40.088 --> 01:44:40.728]  See you next week.
[01:44:40.748 --> 01:44:41.149]  God bless.
[01:44:41.569 --> 01:44:42.770]  Hi, this is Ted Anderson.
[01:44:42.871 --> 01:44:47.696]  Over the years, Genesis Communications Network has grown by leaps and bounds, reaching millions of listeners.
[01:44:47.796 --> 01:44:50.679]  The impact on political and social issues have been enormous.
[01:44:50.819 --> 01:44:54.783]  Businesses associated with the network have grown to become valuable enterprises.
[01:44:55.123 --> 01:45:01.151]  If you are accredited and have an entrepreneurial spirit, National Radio may be the opportunity you're looking for.
[01:45:01.331 --> 01:45:02.913]  Call me today at 877-996-4327, extension 101.
[01:45:02.973 --> 01:45:05.317]  For more information, that's 877-996-4327, extension 101.
