[00:00:00.709 --> 00:00:03.691]  On that number, 1-800-409-5633.
[01:44:51.746 --> 01:44:53.067]  You're everyone else.
[01:44:53.087 --> 01:44:54.127]  Invisible Empire.
[01:44:54.588 --> 01:44:58.790]  Secure your copy today at InfoWars.com or PrisonPlanet.com.
[01:44:59.331 --> 01:45:02.412]  Or watch it online in the highest quality at PrisonPlanet.tv.
[01:45:04.437 --> 01:45:07.458]  When you hear the words water purification, what comes to mind?
[01:45:07.818 --> 01:45:11.419]  If it's Berkey Water Purification Systems, this message is for you.
[01:45:11.719 --> 01:45:15.180]  Did you know that over 60% of municipal water contains fluoride?
[01:45:15.440 --> 01:45:22.482]  At less than 2 cents per gallon, Berkey water filters purify treated and untreated water, remove dangerous chlorine, fluoride,
[01:45:22.622 --> 01:45:23.222]  We're good to go.
[01:45:39.951 --> 01:45:51.334]  Big Berkey water filters .com would like to offer GCN listeners 5% off all ceramic filter systems and ship all orders over 50 dollars free of charge.
[01:45:51.654 --> 01:45:53.974]  Visit Big Berkey water filters .com.
[01:45:54.194 --> 01:45:56.915]  That's Big Berkey water filters .com or call 1 877 99 Berkey.
[01:45:56.935 --> 01:45:57.715]  That's 1 877 99 B E R K E Y today.
[01:46:08.027 --> 01:46:14.537]  It's the Dulce Sigis Luxury Armored Resort in Sigis, Spain.
[01:46:14.557 --> 01:46:22.929]  We've got shots from the hotel website up on screen where this group of scallywags is meeting.
[01:46:23.269 --> 01:46:26.250]  A bunch of eugenicists who believe the earth belongs to them.
[01:46:26.310 --> 01:46:27.330]  They've already got all the wealth.
[01:46:27.350 --> 01:46:27.911]  They stole it.
[01:46:28.191 --> 01:46:29.291]  Now they want you out of here.
[01:46:29.311 --> 01:46:35.293]  They're building their extermination grid to get rid of all the feral humans right now, and they're teaching you how to love your enslavement.
[01:46:35.733 --> 01:46:38.294]  We're going back to Charlie Skelton here in just a moment.
[01:46:38.554 --> 01:46:45.297]  Our continued Bilderberg coverage, at least one hour today, throughout the rest of the week, and then a little bit into next week with the aftermath of it.
[01:46:45.637 --> 01:46:48.478]  Always key intel gleaned and garnered.
[01:46:49.622 --> 01:46:56.786]  During this time, other key articles that are up on the network website, GCN, that's G-C-N, live.com.
[01:46:57.686 --> 01:47:01.268]  Iran to dump 45 billion euros for gold bullion and dollars.
[01:47:02.169 --> 01:47:05.991]  Al-Qaeda number three killed again, this by Steve Watson, very important article.
[01:47:06.171 --> 01:47:09.993]  They just kill these guys over and over again, never retract the last time they kill them.
[01:47:10.814 --> 01:47:11.094]  U.S.
[01:47:11.234 --> 01:47:14.796]  Mint sells more gold coins in May than any month since January 99.
[01:47:17.037 --> 01:47:19.219]  Put patients and doctors back in control of health care.
[01:47:19.299 --> 01:47:21.741]  Key article by Ron Paul at GCNlive.com.
[01:47:22.081 --> 01:47:23.222]  Seeker to Bilderberg Club.
[01:47:23.362 --> 01:47:24.623]  Ready for protest.
[01:47:25.324 --> 01:47:26.004]  London Times.
[01:47:26.865 --> 01:47:27.926]  We've got Ray McGovern.
[01:47:27.986 --> 01:47:30.047]  Obama's timidity and death at sea.
[01:47:30.087 --> 01:47:33.530]  Dealing with his perspective on the Israel boarding situation.
[01:47:34.291 --> 01:47:35.572]  That's all up at GCN Live.
[01:47:36.212 --> 01:47:37.473]  Absolutely, yeah.
[01:47:37.493 --> 01:47:39.555]  I mean, I really hope that's not the case, but yeah, of course.
[01:47:57.532 --> 01:48:05.314]  Well, I mean, I got arrested just flying into Canada and they screamed and yelled at me and said, you're here for the conference, you bleeping piece of filth, you American garbage!
[01:48:05.954 --> 01:48:07.775]  So, I mean, they do this to basically everybody.
[01:48:08.935 --> 01:48:16.237]  But in the last three or four minutes we've got left, other key tidbits of data that you got while you were inside the resort before they threw you out?
[01:48:17.097 --> 01:48:20.738]  Well, you know, I've got a few things, but I just wanted to say that
[01:48:21.768 --> 01:48:35.475]  You know, my role here is not, I don't really see myself as trying to, you know, get that intel and to, you know, I do have some stuff which I'll, you know, I'm holding a little bit back, to be quite honest with you, to write about in The Guardian.
[01:48:37.757 --> 01:48:39.037]  That's terrible, isn't it?
[01:48:39.077 --> 01:48:39.618]  No, it's not.
[01:48:40.118 --> 01:48:42.899]  We'll get full details in The Guardian, but tell us more.
[01:48:42.919 --> 01:48:44.600]  I mean, tell us some of what you've picked up.
[01:48:44.860 --> 01:48:45.821]  Well, you know what?
[01:48:46.573 --> 01:49:09.237]  I'd like to just talk about what I've picked up from putting together, I've been trying to sort of put together a little bit of a kind of, I guess you'd call it a press campaign for Bilderberg 2010, and you know I put together a website called Trilever.com, T-R-I-L-E-V-E-R dot com, and you know we've done and putting up press releases there, as it were almost on behalf of Bilderberg.
[01:49:10.360 --> 01:49:16.258]  I've been ringing up the good news agencies and I rang up the, you'll enjoy this one, I rang up BBC
[01:49:17.749 --> 01:49:20.551]  Uh, Foreign News Desk, if it was, for the TV.
[01:49:20.611 --> 01:49:25.494]  And, you know, and I preface this by saying I've had a lot of good experience with the BBC over the last few days.
[01:49:25.594 --> 01:49:28.936]  And, you know, I'm due to do an interview.
[01:49:28.976 --> 01:49:32.959]  So you're trying to get the mainstream media, you're trying to get the mainstream media to report on this.
[01:49:33.239 --> 01:49:33.720]  Exactly.
[01:49:33.740 --> 01:49:34.520]  That's my role here.
[01:49:34.600 --> 01:49:36.141]  I really do see that as what I'm trying to do.
[01:49:36.681 --> 01:49:42.705]  And I rang up the BBC Foreign News Desk at their TV news section and
[01:49:44.524 --> 01:49:48.427]  You know, I'm negotiating with him about the story, about what they might do with it.
[01:49:48.927 --> 01:49:51.568]  And, you know, I'm feeding them ideas for stories.
[01:49:51.628 --> 01:49:56.852]  I ring back the next day and the guy goes, oh yeah, Bilderberg's been taken off our diary.
[01:49:57.512 --> 01:49:58.433]  And I said, sorry, what?
[01:49:58.833 --> 01:50:00.574]  He said, yeah, look, it wasn't my decision.
[01:50:01.054 --> 01:50:02.215]  He sounded quite shifty.
[01:50:02.555 --> 01:50:03.596]  Can you tell us his name?
[01:50:03.616 --> 01:50:07.758]  Because that's big news that BBC was hot on this and then the story got killed.
[01:50:08.078 --> 01:50:08.439]  Do you know what?
[01:50:08.819 --> 01:50:09.780]  I can't remember his name.
[01:50:10.140 --> 01:50:11.300]  I've written it down, though, somewhere.
[01:50:11.421 --> 01:50:13.682]  Was this with BBC TV or BBC Radio?
[01:50:13.962 --> 01:50:17.585]  I think it was BBC TV News.
[01:50:18.707 --> 01:50:19.808]  It's been taken off the diary.
[01:50:19.988 --> 01:50:21.309]  And he said it wasn't my decision.
[01:50:21.910 --> 01:50:22.870]  We're almost out of time.
[01:50:22.890 --> 01:50:23.871]  We'll talk to you again Friday.
[01:50:23.891 --> 01:50:27.515]  But any other key info that we're going to be looking for in the Guardian in more detail?
[01:50:28.275 --> 01:50:30.558]  I'm just going to be rambling on as usual.
[01:50:33.211 --> 01:50:35.452]  Alright, well, Mr. Skelton, we're out of time.
[01:50:35.492 --> 01:50:36.793]  We're glad you're there.
[01:50:37.153 --> 01:50:40.435]  We'll check in with you again tomorrow if anything breaks, but for sure on Friday.
[01:50:40.715 --> 01:50:41.416]  Thank you so much.
[01:50:41.476 --> 01:50:42.636]  Retransmission starts now.
[01:50:42.976 --> 01:50:43.997]  Infowars.com.
[01:50:44.017 --> 01:50:44.777]  You don't want to miss it.
[01:50:47.079 --> 01:50:48.439]  Thank you for listening to GCN.
[01:50:48.499 --> 01:50:50.981]  Visit GCNlive.com today.
[01:50:55.230 --> 01:50:56.832]  Hello friends, this is Alex Jones.
[01:50:56.872 --> 01:50:59.674]  You've heard me talk about Calden 5 Star Soaps for years.
[01:51:00.255 --> 01:51:05.180]  This is an American made product of the highest quality and compares to nothing you will find in stores.
[01:51:05.460 --> 01:51:08.663]  You can buy factory direct, shipped via UPS right to your door.
[01:51:08.903 --> 01:51:11.245]  Check them out on the web at 5starsoap.com.
[01:51:11.866 --> 01:51:12.746]  Or call 800-340-7091.
[01:51:15.407 --> 01:51:16.348]  Take my word for it.
[01:51:16.548 --> 01:51:18.868]  Once you've used Pure Soap, you won't buy anything else.
[01:51:19.189 --> 01:51:25.411]  Since 1947, Calvin Soap Company has been showing consumers that soap can be tough on dirt and gentle on the environment.
[01:51:25.711 --> 01:51:28.532]  Buy American and stay clean, as well as support InfoWars.
[01:51:28.652 --> 01:51:30.973]  Visit 5starsoap.com today or call 1-800-340-7091.
