[00:00:07.276 --> 00:00:08.583]  We are simulcasting.
[00:25:29.737 --> 00:25:32.140]  Well, but the question is what type of revolution?
[00:25:32.721 --> 00:25:38.628]  I mean, there's no doubt there's been a globalist revolution overthrowing our republic.
[00:25:38.648 --> 00:25:43.214]  America's number one source for independent talk radio for over a decade.
[00:25:48.046 --> 00:25:52.289]  This is Alex Jones with five good reasons you should consider buying a solar power generator.
[00:25:52.590 --> 00:25:56.653]  Number one, new climate legislation could easily double or triple your electric bill.
[00:25:56.933 --> 00:26:02.338]  Number two, our new energy czar wants to control how much power your electric company allows you to have.
[00:26:02.678 --> 00:26:03.139]  It's true.
[00:26:03.439 --> 00:26:07.983]  Total government control of electricity in the name of smart grid technology is coming.
[00:26:08.283 --> 00:26:08.824]  Number 3.
[00:26:09.104 --> 00:26:12.387]  In some areas of the country, the power grid is dangerously overloaded.
[00:26:12.687 --> 00:26:16.430]  And now, new socialist legislation is only compounding the problem.
[00:26:16.611 --> 00:26:17.171]  Number 4.
[00:26:17.411 --> 00:26:19.773]  Dangerous weather is always a threat to local grids.
[00:26:20.174 --> 00:26:23.577]  Every year, thousands of families lose their power from weather-related outages.
[00:26:23.857 --> 00:26:24.077]  Number 5.
[00:26:24.658 --> 00:26:28.581]  A solar power generator provides powerful backup, insurance, and peace of mind.
[00:26:28.782 --> 00:26:33.566]  Folks, I really believe in the solar power generators offered by Solutions from Science, one of my oldest sponsors.
[00:26:33.826 --> 00:26:37.868]  You can get more information at www.mysolarbackup.com.
[00:26:37.988 --> 00:26:39.568]  That's mysolarbackup.com.
[00:26:39.788 --> 00:26:41.869]  Remember, the government doesn't own the sun.
[00:26:42.049 --> 00:26:44.310]  So go to mysolarbackup.com or call 1-877-327-0365.
[00:26:44.330 --> 00:26:45.231]  Waging war on corruption.
[00:26:45.251 --> 00:26:46.451]  Alex Jones on the GCN Radio Network.
[00:26:46.471 --> 00:26:46.831]  Big Brother.
[00:27:03.971 --> 00:27:07.673]  Halfway into this worldwide transmission against tyranny.
[00:27:24.787 --> 00:27:31.212]  And we have Reverend James Manning of atla.org joining us, Pastor David, James David Manning.
[00:27:31.232 --> 00:27:36.015]  Again, atla.org, A-T-L-A-H dot O-R-G.
[00:27:36.095 --> 00:27:38.918]  Our websites are infowars.com and prisonplanet.com.
[00:27:39.258 --> 00:27:45.663]  In the next segment, we're going to open the phones up to Pat, Julio, Isaac, Tracy, Mark, and others to talk to the pastor.
[00:27:46.929 --> 00:27:59.945]  Look, when you talk about revolution, they know they're forcing the people into physical confrontation, so they built up NORTHCOM, Homeland Security, to get everybody used to giving up their rights to fight foreign, supposed made-up, boogeyman terrorists.
[00:28:00.666 --> 00:28:05.952]  But really, we have the Homeland Security Mike reports, it's all designed for the American people, libertarians, conservatives.
[00:28:06.773 --> 00:28:09.816]  People that want to end the Fed, the birthers.
[00:28:09.836 --> 00:28:11.598]  I mean, it's all in there.
[00:28:11.938 --> 00:28:13.600]  People want to get us out of the UN sticker.
[00:28:13.620 --> 00:28:14.661]  It's clearly un-American.
[00:28:14.701 --> 00:28:15.922]  It's clearly a secret police.
[00:28:16.623 --> 00:28:18.264]  But I think they want
[00:28:19.421 --> 00:28:19.461]  Uh,
[00:28:49.541 --> 00:28:50.342]  He's Benedict Arnold.
[00:28:50.362 --> 00:28:52.124]  I mean, I have to call him out because he's so dangerous.
[00:28:53.084 --> 00:28:54.326]  No, he's very dangerous.
[00:28:54.366 --> 00:28:55.066]  There's no doubt about it.
[00:28:56.327 --> 00:29:01.892]  So continue with your problem with the Tea Party leadership and what type of revolution you're talking about.
[00:29:02.613 --> 00:29:13.583]  Well, going to the Tea Party, the revolution aspect of the question first, I think that I've called for boycotts for the last year and we've been somewhat effective.
[00:29:13.683 --> 00:29:15.545]  I mean, I've called for the Great Nine boycott.
[00:29:16.304 --> 00:29:32.087]  Of several major fast food places, all the auto industries, all three of them, Pepsi and Coca-Cola, simply to send a message to corporate America that we're out here, we've got power, we can write your checks, or we can cancel them.
[00:29:33.467 --> 00:29:41.489]  I've also called for a one-day work stoppage, which we've not yet instituted, we've not made it effective as of yet.
[00:29:42.228 --> 00:29:44.992]  But to have America stop working for one day.
[00:29:45.052 --> 00:29:55.107]  Now, the Tea Party people, Dick Armey, I think, floated that idea a couple of months ago and I called him out on it because I had called for it going back four or five months ago.
[00:29:56.169 --> 00:30:04.994]  That America should shut down for one day completely to let the powers that be know that we're here and we're not going to be marginalized.
[00:30:05.015 --> 00:30:07.136]  We're not going to be constitutionally castrated.
[00:30:07.156 --> 00:30:08.677]  We're not going to have that happen.
[00:30:09.137 --> 00:30:14.941]  And if they don't respond in the one-day work stoppage, then we'll go for a four-week work stoppage.
[00:30:15.281 --> 00:30:23.506]  But, of course, you know, Alex, once you do a one-day work stoppage, those that are involved in the process will most probably be either arrested
[00:30:24.206 --> 00:30:34.430]  And if you go for a one-week work stoppage, the Obama machine will call out the military to try to put down that one-day work stoppage.
[00:30:34.490 --> 00:30:35.830]  It will not happen in a vacuum.
[00:30:35.910 --> 00:30:37.351]  It will not happen in a peaceful way.
[00:30:38.151 --> 00:30:40.712]  And I'm not one to advocate shedding blood.
[00:30:40.732 --> 00:30:44.473]  That's not something that I want people to think of me first of.
[00:30:44.793 --> 00:30:49.175]  However, that's beginning to float around, and I would like to repeal that as much as possible.
[00:30:49.715 --> 00:30:53.316]  But I'm convinced that one of the more powerful ways of boycotting
[00:30:54.233 --> 00:31:05.241]  This structure, the corporate, this new corporate Supreme Court law that gives corporations the opportunity to buy candidates, to buy elections, that's exactly what happened last week.
[00:31:05.941 --> 00:31:10.725]  And you've got to stop the corporations through the power of a one-week work stoppage.
[00:31:11.765 --> 00:31:13.967]  It will turn violent should that happen.
[00:31:14.312 --> 00:31:18.875]  Well, what they did is they said, oh, you can't have a Hillary film, which is clearly unconstitutional.
[00:31:19.155 --> 00:31:28.661]  So they expanded it using a ruling that was good to just say unlimited giving, foreign companies, foreign corporations can come in and take over even further.
[00:31:28.961 --> 00:31:31.723]  But there's still the restrictions on what individuals can give.
[00:31:32.423 --> 00:31:32.944]  Absolutely.
[00:31:33.164 --> 00:31:36.186]  So it's actually unfair for the corporations.
[00:31:36.206 --> 00:31:36.506]  Stay there.
[00:31:36.546 --> 00:31:38.147]  Let's talk more about that on the other side.
[00:31:38.968 --> 00:31:40.549]  But again, that's the system panicking.
[00:31:41.394 --> 00:31:48.947]  Pulling out all the stops to try to pile on more money, to shut us down, to shut us up.
[00:31:48.988 --> 00:31:52.634]  But the people are only going to wake up that much faster because things are falling apart.
[00:31:52.814 --> 00:31:54.097]  They can't paper over that.
[00:31:54.117 --> 00:31:54.557]  Stay with us.
[00:31:59.980 --> 00:32:03.622]  Hi folks, this is Alex Jones and I want to tell you about the Silver Lungs Generator.
[00:32:03.942 --> 00:32:12.067]  Now you can produce pure and endless colloidal silver and deliver the solution directly into the bloodstream by breathing the solution through the lungs.
[00:32:12.808 --> 00:32:16.850]  The respiratory system is the first line of defense for airborne pathogens and viruses.
[00:32:17.430 --> 00:32:28.197]  The Silver Lungs Generator infuses the respiratory system with your self-produced nano-silver solutions and also delivers the silver nanoparticles instantly into the bloodstream.
[00:32:28.817 --> 00:32:37.826]  With continued legislation threatening the sale of nano silver products, you can now produce pure and endless colloidal silver with the Silver Lungs Generator.
[00:32:38.326 --> 00:32:43.371]  Very easy to follow step-by-step instructions are provided, making production fast and simple.
[00:32:43.771 --> 00:32:50.958]  Go to www.SilverLungs.com today and learn more about the breakthrough technology of the Silver Lungs Generator.
[00:32:51.258 --> 00:32:54.001]  That's www.SilverLungs.com.
[00:32:59.102 --> 00:33:02.726]  Hundreds of nations have fallen to tyranny in the last century alone.
[00:33:02.746 --> 00:33:06.130]  This is our last chance to not relive history.
[00:33:06.350 --> 00:33:11.135]  As they're finishing off this agenda, they'll be pulling the rug from underneath Americans at home.
[00:33:11.155 --> 00:33:17.402]  We have tremendous influence on our President and Congress, and they really are calling the shots.
[00:33:17.562 --> 00:33:19.805]  I think it's incumbent upon all of us
[00:33:20.325 --> 00:33:20.605]  Tim Geithner?
[00:33:20.625 --> 00:33:21.046]  Bernanke?
[00:33:21.146 --> 00:33:21.906]  They're arsonists!
[00:33:21.946 --> 00:33:23.067]  They're asking for more matches!
[00:33:23.087 --> 00:33:25.328]  And the Congress is saying, who do we make the check out to?
[00:33:39.218 --> 00:33:43.143]  Today seems like nobody does care and right now in Washington D.C.
[00:33:43.604 --> 00:33:46.107]  we have seen a fall of the republic.
[00:33:46.427 --> 00:33:55.558]  Get your copy of Fall of the Republic on DVD at InfoWars.com or watch it online right now in super high quality at PrisonPlanet.tv
[00:33:57.697 --> 00:34:02.964]  One major world crisis away from having a totalitarian type of system.
[00:34:03.024 --> 00:34:05.768]  The main event is the wholesale destruction of the world economy.
[00:34:05.788 --> 00:34:10.234]  The push for every nation on the globe to identify and number all of its citizens.
[00:34:12.517 --> 00:34:15.558]  Order Shadow Government from InfoWars.com.
[00:34:15.578 --> 00:34:16.658]  We also have some specials.
[00:34:16.678 --> 00:34:20.099]  You can get some of our other films half price when you order Shadow Government.
[00:34:20.579 --> 00:34:23.660]  A new level in production quality and in information.
[00:34:23.680 --> 00:34:31.582]  It exposes how a cashless society, surveillance beast grid of total control is being put into place.
[00:34:31.603 --> 00:34:33.303]  This film needs to be seen.
[00:34:33.583 --> 00:34:34.503]  Everybody needs to get it.
[00:34:34.743 --> 00:34:35.824]  So order yours today.
[00:34:35.924 --> 00:34:39.845]  Show it to your friends, your family, your church, your neighbors, your boss, your employees.
[00:34:41.317 --> 00:34:42.878]  Shadow Government, ladies and gentlemen.
[00:34:42.918 --> 00:34:45.039]  Get your copy at InfoWars.com today.
[00:34:45.539 --> 00:34:46.279]  Shadow Government.
[00:34:46.939 --> 00:34:48.360]  It gives Big Brother a black eye.
[00:34:49.160 --> 00:34:55.943]  Available at InfoWars.com or by calling toll-free 888-253-3139.
[00:34:59.485 --> 00:35:05.527]  From his Central Texas Command Center, deep behind enemy lines, the information war continues.
[00:35:06.128 --> 00:35:09.089]  It's Alex Jones and the GCN Radio Network.
[00:35:18.510 --> 00:35:28.718]  The Supreme Court removed limits on corporate labor donations to campaigns, but the way I read this ruling, they did not remove the $3,000 limit on citizens.
[00:35:29.959 --> 00:35:35.603]  So we, as human beings, don't get to give more, because that's what really threatens them.
[00:35:36.584 --> 00:35:44.731]  But offshore corporations, I mean, that's treason right there, and many people have written editorial articles saying that is treason by the Supreme Court, but
[00:35:46.511 --> 00:35:50.996]  I remember criticizing them saying they couldn't have a Hillary film that was funded by a corporation.
[00:35:51.036 --> 00:35:55.801]  That's one thing, but to say unlimited, offshore, campaign, openly?
[00:35:57.783 --> 00:35:58.224]  I tell you...
[00:35:59.767 --> 00:36:00.367]  It's amazing.
