# Transcription model: nvidia/parakeet-tdt-0.6b-v2, custom faster_whisper
[00:00:13.279 --> 00:00:17.519]  The Alex Jones Network is tomorrow's news today.
[01:33:11.039 --> 01:33:18.319]  And so this is where I'm always, you know, it can be, the Benedictine option can be good for personal sanctification.
[01:33:18.640 --> 01:33:21.680]  But to the extent we're talking about society, our business is not.
[01:33:22.079 --> 01:33:25.199]  Rod Dreher wrote a book about this, the idea of going to the month.
[01:33:25.279 --> 01:33:27.119]  The idea is that Christians simply drop out.
[01:33:27.279 --> 01:33:30.640]  Society is going in the wrong direction, and Christians simply drop out.
[01:33:30.800 --> 01:33:31.520]  That's roughly it.
[01:33:31.920 --> 01:33:39.680]  And I cannot, I don't want to argue with him on the level of personal sanctification or people saving their souls.
[01:33:40.960 --> 01:33:52.800]  My political social intuition is that it's the height of your responsibility because that is just, in effect, hitting the accelerator towards the Antichrist Armageddon.
[01:33:53.279 --> 01:34:01.760]  InfoWars has only survived these insanely intense deep state attacks against us because of you.
[01:34:02.239 --> 01:34:04.880]  And InfoWars is not out of the woods yet.
[01:34:06.800 --> 01:34:15.840]  I'm here to report to all of my fellow Americans and InfoWarriors and lovers of liberty and freedom around the world about the current state of InfoWars.
[01:34:16.319 --> 01:34:21.680]  Recently, when I've gone on Steve Bannon's show and many others, they say, congratulations, Alex.
[01:34:22.000 --> 01:34:26.079]  You beat the Democrats in the deep state attempt to shut down InfoWars.
[01:34:26.399 --> 01:34:29.520]  Alex Jones, the deep state tried to shut you down and they failed.
[01:34:29.680 --> 01:34:31.039]  Where do people go to get your show?
[01:34:31.119 --> 01:34:33.119]  Where do they get you on social media, sir?
[01:34:33.439 --> 01:34:35.760]  Well, we're still fighting, but we're still here winning in court now.
[01:34:35.840 --> 01:34:36.479]  They're very panicked.
[01:34:36.960 --> 01:34:48.000]  And I liken this to back in 2018 when Tyson Fury was fighting Deontay Wilder and he got knocked down.
[01:34:48.159 --> 01:34:54.319]  They almost ended the fight, but he got back up, kept fighting, and then the fight was a draw.
[01:34:54.640 --> 01:35:01.600]  Then he came back in two more fights and won each one against him, continuing to be the world champion.
[01:35:01.920 --> 01:35:06.159]  So this isn't just like a 12 or 15 round heavyweight boxing match.
[01:35:06.479 --> 01:35:09.279]  The Deep State's been trying to take me off the air forever.
[01:35:09.600 --> 01:35:12.960]  It's come out in court that the CIA and FBI organized the lawsuits.
[01:35:13.119 --> 01:35:20.079]  They had corrupt judges find me guilty and then put on show trials, literally produced by HBO.
[01:35:20.399 --> 01:35:22.720]  This is a marathon, not a sprint.
[01:35:23.039 --> 01:35:24.960]  And we cannot do it without you.
[01:35:25.119 --> 01:35:25.920]  I will never give up.
[01:35:26.000 --> 01:35:26.640]  I will never back down.
[01:35:26.720 --> 01:35:27.600]  I will never sell out.
[01:35:27.920 --> 01:35:34.159]  We are out there reaching tens of millions of people today and causing major problems for the globalists and their agenda.
[01:35:34.399 --> 01:35:37.520]  That's why they've said publicly, they want me off the air.
[01:35:37.760 --> 01:35:49.840]  And all their fake rigged lawsuits were not about money, but about attempting to take this storied institution that is InfoWars, this populist warhorse of truth, off the air.
[01:35:50.159 --> 01:35:58.800]  InfoWars has only survived these insanely intense deep state attacks against us because of you.
[01:35:59.119 --> 01:36:01.279]  And InfoWars is not out of the woods yet.
[01:36:01.600 --> 01:36:04.159]  Everybody's calling me saying, you've been victorious.
[01:36:04.399 --> 01:36:08.720]  You exposed Bloomberg and The Onion and their attempt at a fake auction to take you over.
[01:36:08.880 --> 01:36:11.439]  And when they tried to throw you out of the building, you refused to go.
[01:36:11.600 --> 01:36:12.640]  Wow, you've won.
[01:36:12.960 --> 01:36:18.720]  No, they're still in court fighting harder than ever, trying to shut this operation down.
[01:36:19.039 --> 01:36:31.119]  Now, we've put out detailed, 30-minute, hour-long, two-hour-long reports showing all the documentation, showing all the graphs, showing all of the insane, coordinated attacks on us in the past.
[01:36:31.439 --> 01:36:39.359]  And when I post this on X that you're watching under it, I will post some of those reports if you want to see all the documentation for yourself.
[01:36:39.680 --> 01:36:46.560]  But now let me break to you and give you an update on the current persecution that's accelerated in the last two weeks.
[01:36:46.800 --> 01:36:53.520]  The Democrat Party Sandy Hook lawyers and the federal trustee are now suing my parents and my wife.
[01:36:53.760 --> 01:37:00.560]  We are preparing serious legal action with powerful proof against these organizations in the very near future.
[01:37:00.880 --> 01:37:07.119]  Remember, Trump went after these exact same law firms and they were forced to admit the truth of what they'd done.
[01:37:07.439 --> 01:37:19.439]  As part of their restitution, they've agreed to pay $40 million in pro bono work to, quote, work and aid veterans promote fairness in justice system and combating anti-Semitism.
[01:37:19.760 --> 01:37:26.159]  Instead, they are suing me and the trustee that sits in their lap and does their exact bidding.
[01:37:26.239 --> 01:37:35.760]  We have the emails from our lawsuits against them and depositions, and they admit that the goal is to shut down info wars and ensure it can never come back.
[01:37:36.079 --> 01:37:49.359]  I ask that with your verdict, you not only take Alex Jones' platform that he talks about away, I ask that you make certain he can't rebuild the platform.
[01:37:49.680 --> 01:37:50.880]  That's what matters.
[01:37:51.199 --> 01:37:52.239]  That is punishment.
[01:37:52.560 --> 01:37:53.760]  That is deterrence.
[01:37:54.079 --> 01:37:56.800]  But we will be at it as long as it takes.
[01:37:57.119 --> 01:38:06.880]  And if you're out there right now and you're one of Alex Jones' audience members and you're considering giving him money, I just want you to know that based on the jury's verdict today, it's not a very good bet.
[01:38:07.119 --> 01:38:08.800]  But the money's not even really the question for me.
[01:38:09.279 --> 01:38:14.239]  The question is, will this suit be successful at stopping him from being on the national stage?
[01:38:14.560 --> 01:38:18.000]  But the family's attorney says the money is not what matters most.
[01:38:18.319 --> 01:38:23.039]  What would such a ruling mean for the families of the Sandy Hook victims?
[01:38:23.359 --> 01:38:29.840]  What they're hoping to achieve is the most amount of accountability that the legal system can deliver.
[01:38:30.159 --> 01:38:35.039]  And money is just one component of that and not the most important component of it.
[01:38:35.359 --> 01:38:39.279]  Again, they're not looking for money for their fake judgments.
[01:38:39.600 --> 01:38:41.119]  They've refused huge settlements.
[01:38:41.439 --> 01:38:48.640]  The goal in court and in their filings and in their emails and in the depositions is silencing me, shutting down this operation.
[01:38:48.960 --> 01:38:53.199]  Once they got their fake judgments in places like Connecticut and Texas, they said, that's not enough money.
[01:38:53.439 --> 01:38:57.359]  We don't want just $1.4 billion that I never had, much less $20 million.
[01:38:57.680 --> 01:39:02.720]  No, we want $2.75 trillion, the GDP of India.
[01:39:03.039 --> 01:39:19.199]  In the buildup to these Democrat Party foundations suing me, they ran PR campaigns saying I was persecuting these parents and doing all these terrible things with no proof and raised hundreds of millions of dollars directly off of my name while claiming I was raising money off of them.
[01:39:19.520 --> 01:39:25.199]  They falsely claim with no evidence that I made all this imaginary money off of covering the Sandy Hook story.
[01:39:25.520 --> 01:39:33.119]  When in truth, if you do a web search of Infowars traffic, you will find only 0.28% of it had anything to do with Sandy Hook stories.
[01:39:33.359 --> 01:39:39.600]  Of all the traffic, articles about Sandy Hook accounted for 0.28% of traffic.
[01:39:39.920 --> 01:39:45.199]  So less than 1%, a fraction of 1% of traffic since 2012.
[01:39:45.520 --> 01:39:55.199]  They had a so-called financial analyst get up on the stand and say that I was worth $270 million based off zero information and he never reviewed our books.
[01:39:55.520 --> 01:40:03.359]  They ran a fake auction, then coordinated the media to say they had taken over InfoWars, causing our store traffic to immediately drop 75%.
[01:40:04.399 --> 01:40:06.159]  We do lies and garbage in a different way.
[01:40:06.319 --> 01:40:07.840]  We have a lot more fun with it than they do.
[01:40:08.079 --> 01:40:13.199]  We're very excited to take it over and create a new better path for this website.
[01:40:13.359 --> 01:40:15.119]  And the Sandy Hook family support this move?
[01:40:15.359 --> 01:40:15.840]  Absolutely.
[01:40:16.000 --> 01:40:16.960]  They were behind this.
[01:40:17.840 --> 01:40:26.079]  Overnight, the judge in charge of this put a hold on your purchase, raising questions about the process, raising questions about transparency in the bidding process.
[01:40:26.319 --> 01:40:27.039]  What do you make of that?
[01:40:27.199 --> 01:40:28.720]  Are you confident this is still going to go through?
[01:40:28.960 --> 01:40:30.000]  Yeah, look, we won the bid.
[01:40:31.279 --> 01:40:33.039]  We own Inforas and we are very excited about that.
[01:40:33.279 --> 01:40:34.880]  Is it true that you didn't have the highest bid?
[01:40:36.880 --> 01:40:40.720]  We did have the highest bid when you take into account the family's concessions here.
[01:40:41.039 --> 01:40:46.880]  They made a concerted effort to make this the best and highest bid for everybody involved.
[01:40:47.359 --> 01:40:49.439]  So we're very excited to take that over.
[01:40:49.520 --> 01:40:51.760]  And look, it's Alex Jones.
[01:40:52.720 --> 01:40:57.520]  If he just handled this graciously and moved away, that would be the funniest part of this whole situation.
[01:40:57.840 --> 01:41:00.239]  Obviously, that is not something that he's going to do in the situation.
[01:41:00.399 --> 01:41:01.760]  So you're confident this is going to go through?
[01:41:02.079 --> 01:41:02.319]  Absolutely.
[01:41:02.560 --> 01:41:11.119]  They refused any settlement between $50 and $85 million unless I agreed that they could control my speech in the future.
[01:41:11.439 --> 01:41:15.920]  Not just on the Second Amendment, but a large list they said they would provide to me.
[01:41:16.239 --> 01:41:17.760]  Again, let that sink in.
[01:41:19.840 --> 01:41:28.159]  They repeatedly, in settlement talks, said, okay, we'll let you settle for maybe even less than $50 million.
[01:41:29.439 --> 01:41:33.760]  But we want you to not talk about the Second Amendment and some other things.
[01:41:34.399 --> 01:41:35.279]  We said, oh, what are those?
[01:41:35.439 --> 01:41:36.800]  Well, come have a conference with us.
[01:41:37.279 --> 01:41:38.239]  We'll let you know.
[01:41:38.720 --> 01:41:46.880]  Well, before I got sued, I got contacted and I went to D.C. and met with people higher up the chain in off-record meetings.
[01:41:47.199 --> 01:41:49.600]  And they said, listen, you're about to get sued.
[01:41:49.680 --> 01:41:50.560]  You're about to get taken down.
[01:41:50.800 --> 01:41:52.239]  But come and work for us.
[01:41:52.560 --> 01:41:55.279]  We'll give you $50 million a year.
[01:41:55.840 --> 01:41:56.479]  See how that works?
[01:41:56.560 --> 01:41:57.760]  And I said, no, thank you.
[01:41:58.319 --> 01:42:05.119]  So then they put me through all the lawfare, the rigged cases, refused settlements, and finally said, listen, this can all go away.
[01:42:05.359 --> 01:42:06.640]  Just come meet with us.
[01:42:06.960 --> 01:42:10.079]  And we'll talk about the things you can talk about and you can't talk about.
[01:42:10.319 --> 01:42:13.199]  Do you realize the magnitude of this?
[01:42:14.399 --> 01:42:19.600]  They are using these cases to harass me, to stalk me, to come after me.
[01:42:19.920 --> 01:42:24.079]  They've already sued my parents in the last three years, claiming I hid all this money with them.
[01:42:24.399 --> 01:42:31.520]  And then it all came out, even in the New York Times, I had meager assets and my parents didn't have all this supposed hidden money.
[01:42:31.760 --> 01:42:42.239]  And now they've come back and sued them again two weeks ago and sued my wife, claiming that I hid all this money with her, even though they've already had all the accounting for over two years in the bankruptcy.
[01:42:42.479 --> 01:42:43.760]  And no, that's not true as well.
[01:42:44.000 --> 01:42:49.039]  But you see, it's all about draining my parents who are already on the verge of bankruptcy.
[01:42:49.359 --> 01:42:51.039]  It's about harassing us.
[01:42:51.279 --> 01:42:55.199]  It's about punishing my family so they can get to me.
[01:42:55.520 --> 01:43:04.960]  So it is so essential to understand the only reason Trump could overpower the globalists was because you donated, you spoke out, you spread the word, and you voted.
[01:43:05.279 --> 01:43:09.600]  It takes money to win wars, and InfoWars is right at the tip of the spear.
[01:43:09.920 --> 01:43:18.399]  So for myself and my family, I'm firing the bat signal and humbly asking for your support now at defendalexjones.com.
[01:43:19.359 --> 01:43:32.560]  They want to make an example out of me, and they've said this to scare other talk show hosts and other journalists and other people in the media and whistleblowers, that if you stand up against them with the truth and if you're effective, they will come after you.
[01:43:32.880 --> 01:43:36.239]  They will spend any amount of money that's needed to destroy you.
[01:43:36.560 --> 01:43:48.079]  So when you support my operation, when you support my family who's under attack, you are protecting my six, my flank that the enemy is coming in after to distract and divert me and hope that I give up.
[01:43:48.399 --> 01:43:49.439]  We're winning the battles.
[01:43:49.520 --> 01:43:52.479]  We have not yet won the war, but we will.
[01:43:52.800 --> 01:43:54.319]  InfoWars is so important.
[01:43:54.640 --> 01:43:55.520]  You are the InfoWar.
[01:43:55.680 --> 01:43:56.640]  You are the Paul Reveers.
[01:43:56.800 --> 01:43:58.399]  Thanks for keeping me on the air all these years.
[01:43:58.640 --> 01:44:00.159]  We've all changed the world together.
[01:44:00.479 --> 01:44:02.000]  And I just want to thank all the viewers and listeners.
[01:44:02.079 --> 01:44:02.640]  I want to thank the crew.
[01:44:02.720 --> 01:44:03.439]  I want to thank my family.
[01:44:03.680 --> 01:44:10.319]  Of course, I want to thank God, number one, for giving me the will and the providence and working through you and touching your hearts.
[01:44:10.640 --> 01:44:14.239]  I cannot continue on in this fight without you.
[01:44:14.560 --> 01:44:18.880]  They spend millions and millions and millions and millions of dollars a year, continually suing me.
[01:44:19.119 --> 01:44:24.319]  We're able to counter every million they spend against us with just about $100,000.
[01:44:24.560 --> 01:44:29.039]  We need to raise conservatively $500,000 to win this fight.
[01:44:29.279 --> 01:44:33.199]  The Texas Appeals Court has signaled they're about to overturn their fake case here.
[01:44:33.439 --> 01:44:36.399]  I can tell you the Justice Department is now looking into this.
[01:44:36.640 --> 01:44:40.399]  So this is just like the Tyson Fury story.
[01:44:40.720 --> 01:44:42.720]  People see us win a match.
[01:44:43.039 --> 01:44:45.199]  They see us become the champion.
[01:44:45.520 --> 01:44:48.720]  But then it comes back again and again and again.
[01:44:48.960 --> 01:44:50.159]  We get knocked down.
[01:44:50.399 --> 01:44:51.359]  We get back up.
[01:44:51.680 --> 01:44:54.159]  But this is a long, protracted battle.
[01:44:54.479 --> 01:45:02.800]  So for myself and my family, I'm firing the bat signal and humbly asking for your support now at defendalexjones.com.
[01:45:02.960 --> 01:45:05.359]  And it will take you to our give, send, go page.
[01:45:05.680 --> 01:45:10.159]  And all the proceeds will go to my legal defense and my parents' legal defense.
[01:45:10.399 --> 01:45:11.359]  The ball's in your court.
[01:45:11.439 --> 01:45:14.319]  I humbly ask for your aid and comfort in this fight.
[01:45:14.640 --> 01:45:21.350]  Thank you so much.
[01:45:21.359 --> 01:45:34.319]  Next Level Foundational Energy, one of our best sellers, sold out for many, many months, is now finally back in stock, but it's only available at realalxjones.com, the sister site of thealxonstore.com.
[01:45:34.479 --> 01:45:37.840]  And then all the proceeds go for our legal defense and for the Alex Jones Network.
[01:45:38.000 --> 01:45:39.119]  This is the backup system.
[01:45:39.439 --> 01:45:40.479]  This is a fan favorite.
[01:45:40.560 --> 01:45:42.640]  It's got the highest quality methyl folate.
[01:45:42.800 --> 01:45:44.720]  It is the breakdown of folic acid.
[01:45:44.960 --> 01:45:50.399]  A lot of people can't process folic acid properly, but methyl folate, everybody can process.
[01:45:50.560 --> 01:45:51.680]  It is the breakdown of that.
[01:45:51.920 --> 01:45:53.439]  It is exclusively available.
[01:45:53.680 --> 01:45:57.439]  Finally, back in stock at realalixjones.com.
[01:45:57.600 --> 01:46:02.399]  And also exclusively there, another fan favorite, cleans out your blood, so good for your whole body, cardiovascular system.
[01:46:02.640 --> 01:46:07.119]  Nitric boost, exclusively available now at realalxjones.com.
[01:46:07.279 --> 01:46:15.119]  I gotta tell you, this methylfolate, next level financial energy, does incredible things when taken with ultra methylene blue, but be careful.
[01:46:15.359 --> 01:46:16.720]  They're really strong together.
[01:46:16.800 --> 01:46:19.920]  It cleans out your cells, incredible energy, no letdown.
