# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: e88e4929dc3fcfc98d92524c7c7cd4d1
[00:00:07.759 --> 00:00:08.240]  Christmas.
[00:24:12.640 --> 00:24:13.520]  No security.
[00:24:13.840 --> 00:24:19.680]  No, you know, before you come to Europe, they used to wash sidewalks with the shampoo.
[00:24:19.920 --> 00:24:21.840]  Now it's all filthy place.
[00:24:22.160 --> 00:24:29.520]  You know, it's all overrun and controlled by the illegal immigrants or legal immigrants, gangs.
[00:24:29.760 --> 00:24:37.040]  There is a high rampant criminality going on, attacking, robbing people, mugging people.
[00:24:37.200 --> 00:24:37.920]  It's normal.
[00:24:38.240 --> 00:24:43.120]  And this is Europe is no more there, which we used to know the Europe.
[00:24:43.280 --> 00:24:48.160]  And the Europeans now become like a foreign people in their own country.
[00:24:48.480 --> 00:24:56.560]  And this is true for almost all Europe, starting from Luxembourg, you know, name it anywhere you go, Italy, Spain, either directly.
[00:24:56.640 --> 00:25:03.360]  And by the way, it was classified in the 70s that leftists in the CIA said Western culture is too beautiful, the architecture, all of it.
[00:25:03.520 --> 00:25:05.760]  We have to demonize it and make it ugly.
[00:25:06.080 --> 00:25:10.800]  And literally, when Tucker comes over to Russia and says it's so beautiful, things are so amazing.
[00:25:11.120 --> 00:25:14.000]  And then they go, how dare you, how dare you say that's pretty?
[00:25:14.160 --> 00:25:16.480]  I mean, look at this, just one of the churches in Russia.
[00:25:16.720 --> 00:25:17.600]  It's the aesthetics.
[00:25:18.240 --> 00:25:19.280]  We all know it's beautiful.
[00:25:19.840 --> 00:25:21.200]  And then the left attacks this.
[00:25:21.840 --> 00:25:23.440]  And the Muslims all want to burn this town.
[00:25:23.680 --> 00:25:25.200]  It sends them into rages.
[00:25:26.160 --> 00:25:26.800]  Why is that?
[00:25:26.880 --> 00:25:29.360]  Why do they want to kill anything beautiful?
[00:25:30.320 --> 00:25:55.760]  Well, because again, you know, Russia stood for always, you know, only one obstacle of their total world domination, you know, and despite their all attempts of staging the coup with the communism in Russia, staging, you know, trying to destroy the Soviet Union, you know, Russia, even despite being in a turmoil, always found the strength to understand, hey, hold on, guys, this has went too far.
[00:25:56.000 --> 00:26:24.320]  You know, we've been able to finally concentrate, you know, and solve this issue, especially when we've got a leader who's thinking first of all of the future of this nation and thinking first of all, not about how much I can personally make money or how much I can steal, but what I can leave, you know, to the future generation, how I can bring this country to the better and more, you know, prosperous condition.
[00:26:25.680 --> 00:26:26.640]  Which is the real wealth.
[00:26:26.880 --> 00:26:28.400]  The real wealth is the culture.
[00:26:28.720 --> 00:26:31.120]  And from the numbers I've seen, I'm not going to see it.
[00:26:31.360 --> 00:26:35.520]  Under pressure, Russia has become stronger, not weaker.
[00:26:36.480 --> 00:26:36.960]  Correct.
[00:26:37.120 --> 00:26:40.560]  This sanction, of course, they had an effect.
[00:26:41.040 --> 00:26:45.040]  I wouldn't say that they don't bite us, but it's only make us stronger.
[00:26:45.360 --> 00:26:47.360]  Our economy do not collapse.
[00:26:47.680 --> 00:26:56.160]  We've been able to withstand all this, you know, 27,852 sanctions.
[00:26:56.480 --> 00:27:08.160]  You know, they are literally now trying to steal the frozen Russian central bank, you know, what you call it, you know, funds at Euroclear in Belgium.
[00:27:08.720 --> 00:27:12.240]  France already confiscated 20 billion and spent it.
[00:27:12.560 --> 00:27:14.880]  You know, so, but guess what?
[00:27:15.040 --> 00:27:17.760]  When this conflict is over, they have to pay the bill.
[00:27:18.000 --> 00:27:20.160]  And this would be the most interesting issue.
[00:27:20.480 --> 00:27:38.720]  how they're gonna pay it and what would be with these elites who uh for all these years, you know, those elites who've been brought there mainly by the financing or using finance from the Soros Foundation, from different globalist foundation.
[00:27:38.960 --> 00:27:42.720]  They are basically all these leaders, they are stooges of the globalists.
[00:27:43.040 --> 00:27:45.120]  They are just puppets in their head.
[00:27:45.440 --> 00:27:57.440]  And now main issue we're going to see when we need to bring their masters to the to answer and to be hold responsible for what they did for entire humanity.
[00:27:57.760 --> 00:28:05.040]  And that's why they're so desperate because they know that we understand they've got to be dealt with, not even out of vengeance.
[00:28:05.200 --> 00:28:06.480]  We can't let it come back.
[00:28:06.800 --> 00:28:07.920]  I mean, it's got to be.
[00:28:08.480 --> 00:28:19.200]  We need now, look, because World War II was not, you know, finished, Soviet Union alone was not able to completely, you know, eliminate the Nazis.
[00:28:19.520 --> 00:28:24.560]  You know that the Operation Paperclip, when the Americans actually brought in what?
[00:28:25.200 --> 00:28:42.080]  40,000 Nazi scientists and all these Nazi, you know, most important people who basically did everything from the von Braun space program up to the whole psychological technologies like a shock therapy.
[00:28:42.320 --> 00:28:42.960]  I mean, name it.
[00:28:44.160 --> 00:28:44.720]  Stay right there.
[00:28:44.960 --> 00:28:45.440]  Absolutely.
[00:28:45.600 --> 00:28:49.040]  It's not, say right, this is something the Nazis ran us.
[00:28:49.120 --> 00:28:54.400]  We took the spirit of them in and our elites took them in to let them, you know.
[00:28:54.720 --> 00:28:55.600]  It's like a virus.
[00:28:56.240 --> 00:28:58.400]  It's like a virus run away from lab.
[00:28:58.640 --> 00:28:59.040]  That's right.
[00:29:00.000 --> 00:29:03.760]  I need you to support the broadcast financially.
[00:29:03.840 --> 00:29:09.360]  And I just need those of you on the fence that have never gone to the auctionstore.com to go get the ultra-methylene blue.
[00:29:09.920 --> 00:29:12.560]  I'm only going to sell something that's really good for you and works great.
[00:29:12.880 --> 00:29:16.480]  Because again, a good salesman sells a product that works, that's good, and that I use.
[00:29:17.120 --> 00:29:18.240]  So take the challenge.
[00:29:18.320 --> 00:29:22.480]  Go to the auctionstore.com now and get ultra-methylene blue.
[00:29:22.640 --> 00:29:23.840]  And it's the greatest because it's so good.
[00:29:23.920 --> 00:29:24.960]  It hits in like 30 minutes.
[00:29:25.280 --> 00:29:28.000]  The real effects happen the days and weeks as it builds up in you.
[00:29:28.320 --> 00:29:34.080]  The Irish CMOS, the Shilohy, the Bobine Clostrum, that's going to take a few weeks to kick in.
[00:29:34.320 --> 00:29:36.720]  You get your wife pregnant, she'd have a baby for nine months, folks.
[00:29:36.880 --> 00:29:38.160]  You only got to wait a few weeks with this.
[00:29:38.400 --> 00:29:39.760]  The effects of these are incredible.
[00:29:40.320 --> 00:29:42.320]  I can do hours on each product.
[00:29:42.640 --> 00:29:43.520]  And these are the best.
[00:29:43.840 --> 00:29:47.120]  You study Irish CMOS, you study Shiloh, you study Bobine Colostrum.
[00:29:47.280 --> 00:29:48.560]  It's all the range forever.
[00:29:49.200 --> 00:29:50.000]  These are sure things.
[00:29:50.160 --> 00:29:50.960]  I don't go get stuff.
[00:29:51.040 --> 00:29:51.840]  It's already a sure thing.
[00:29:51.920 --> 00:29:53.040]  It's so easy.
[00:29:53.360 --> 00:29:58.960]  90% of my waking hours is doing nothing but studying and broadcasting and fighting.
[00:29:59.600 --> 00:30:02.320]  And I just want you to keep me commissioned in this fight.
[00:30:02.640 --> 00:30:04.320]  Where have you seen results like this?
[00:30:04.560 --> 00:30:05.120]  And it's not me.
[00:30:05.200 --> 00:30:06.560]  I'm the opposite of Prifel.
[00:30:06.960 --> 00:30:07.920]  I'm God Fearing.
[00:30:08.400 --> 00:30:09.520]  I fear nothing but God.
[00:30:09.760 --> 00:30:14.160]  I'm actually fearful of the position I've been put in by God that I'm like, need to do a better job.
[00:30:14.400 --> 00:30:15.040]  It's the opposite.
[00:30:15.120 --> 00:30:15.840]  I'm mad at myself.
[00:30:15.920 --> 00:30:17.120]  The crew can tell you by the scenes.
[00:30:17.200 --> 00:30:18.560]  I am pissed off at myself.
[00:30:18.880 --> 00:30:23.520]  I am angry that I've been given so much power and I'm not executing it correctly.
[00:30:23.840 --> 00:30:25.520]  But God loves sudden death overtime.
[00:30:25.680 --> 00:30:27.120]  God loves keeping you humble.
[00:30:27.360 --> 00:30:34.800]  When you buy from us, you're going to get a great product and you're betting on an organization that has the track record of victory.
[00:30:35.040 --> 00:30:36.720]  That's why the bad guys hate us.
[00:30:37.040 --> 00:30:38.160]  We know what we're doing.
[00:30:38.480 --> 00:30:39.760]  We know how to stop them.
[00:30:40.000 --> 00:30:41.280]  They want us off air.
[00:30:41.520 --> 00:30:43.760]  And I'm going to sell you something because I'm self-funded.
[00:30:43.840 --> 00:30:44.880]  It's going to work.
[00:30:45.520 --> 00:30:55.920]  You are missing out so bad if you don't get our ultra DNA revival new product, our incredible highest quality, the very best type of creatine, gummies, and powder.
[00:30:56.240 --> 00:30:59.440]  Our mobile classroom, all of it, 60% off right now.
[00:30:59.600 --> 00:31:00.800]  It ends next week.
[00:31:01.120 --> 00:31:02.720]  Get your orders in by tomorrow.
[00:31:02.800 --> 00:31:04.560]  You'll get anywhere in the country before Christmas.
[00:31:04.880 --> 00:31:06.160]  But we need the support.
[00:31:06.480 --> 00:31:08.320]  And like I said, I'm out of money.
[00:31:08.400 --> 00:31:09.520]  I'm out of stuff to sell.
[00:31:09.760 --> 00:31:10.800]  I'm out of whatever.
[00:31:11.520 --> 00:31:15.200]  We have about a $400,000 underage going in the next month.
[00:31:15.440 --> 00:31:30.400]  I mean, literally, to pay the rent and payroll, I've got my Rolodex out, and I mean, there'll be no strings attached, but I'm starting to call people and folks saying, all right, you know, give me money because I ain't giving up.
[00:31:30.720 --> 00:31:37.760]  As much as I don't like begging for money, giving up to the new world order and rolling over and dying, I hate that even more.
[00:31:38.080 --> 00:31:39.840]  But I am literally down with the point now.
[00:31:40.080 --> 00:31:41.600]  My parents have lost everything they got.
[00:31:41.840 --> 00:31:42.560]  I don't have anything.
[00:31:42.720 --> 00:31:43.120]  I don't care.
[00:31:43.200 --> 00:31:43.920]  I'm happier than ever.
[00:31:44.080 --> 00:31:44.480]  I don't give.
[00:31:44.560 --> 00:31:45.760]  I never had a bunch of stuff.
[00:31:46.080 --> 00:31:50.000]  But it doesn't matter when you're up against the wall and you ain't got no more to give.
[00:31:50.160 --> 00:31:50.800]  You understand?
[00:31:51.120 --> 00:31:52.560]  I'm giving you everything I got.
[00:31:52.880 --> 00:31:54.400]  And quite frankly, I'm more alive.
[00:31:54.560 --> 00:31:55.200]  I'm stronger.
[00:31:55.280 --> 00:31:56.880]  I'm smarter than I've ever been.
[00:31:57.200 --> 00:32:00.080]  In fact, I'm high as a kite in this fight.
[00:32:00.400 --> 00:32:01.840]  I'm supposed, I love this.
[00:32:02.800 --> 00:32:05.920]  But the fact is only a fraction of our people are engaged.
[00:32:06.240 --> 00:32:08.160]  Oh, the Muslims are engaged.
[00:32:09.520 --> 00:32:11.280]  Jews are engaged.
[00:32:11.600 --> 00:32:12.640]  I'm not attacking either group.
[00:32:13.120 --> 00:32:14.080]  You know why they're so powerful?
[00:32:14.240 --> 00:32:15.200]  They're engaged.
[00:32:15.520 --> 00:32:17.120]  They're involved in their group.
[00:32:17.280 --> 00:32:18.320]  Well, who are we?
[00:32:18.880 --> 00:32:23.440]  Well, we're Americans of every race concrete that just want freedom in our country, in our republic.
[00:32:23.680 --> 00:32:26.640]  Well, then you better start acting like it.
[00:32:29.680 --> 00:32:30.720]  Wake up, folks.
[00:32:30.880 --> 00:32:32.160]  Spread this message.
[00:32:32.480 --> 00:32:37.600]  The globalist machine is tightening the chains, and they're after your freedoms.
[00:32:37.920 --> 00:32:40.800]  The Podesta plan is in operation.
[00:32:41.360 --> 00:32:42.080]  Don't worry.
[00:32:42.240 --> 00:32:44.720]  It's safe and effective.
[00:32:45.680 --> 00:32:49.840]  Don't you just love my GMO potatoes?
[00:32:50.800 --> 00:32:54.800]  Ladies and gentlemen, the truth is unfolding before our very eyes.
[00:32:55.120 --> 00:32:56.880]  We must question everything.
[00:33:01.279 --> 00:33:05.480]  Leading a frontal assault on the lies of the New World Order.
[00:33:05.720 --> 00:33:07.418]  It's Alex Jones.
[00:33:07.699 --> 00:33:21.740]  Jing war on corruption.
[00:33:22.640 --> 00:33:23.760]  All right, you are going.
[00:33:24.240 --> 00:33:29.980]  It's Alex Jones coming to you live from the front lines of the Infowar.
