[00:00:01.320 --> 00:00:03.700]  Other networks lie to you about what's happening now.
[00:27:20.109 --> 00:27:29.950]  But I gotta say, this new one is my favorite by far because it lets me remember and savor the victory against the deep state and the corporate media, how they tried to kill Trump twice, and how we got him elected.
[00:27:29.970 --> 00:27:41.749]  It is the Battle for the Republic 2024 commemorative coin on one side, and the other side commemorates the 47th President of the United States, Donald Trump, getting inaugurated on January 20th, 2025.
[00:27:41.749 --> 00:27:47.110]  There are only 4,000 of this coin, and there'll never be more made again.
[00:27:47.110 --> 00:27:51.098]  And they fund this operation and the ongoing fight against the globalists.
[00:27:51.110 --> 00:27:58.169]  Ladies and gentlemen, get your piece of history and help fund the InfoWar as we continue to win major battles against the globalists.
[00:27:58.239 --> 00:28:01.509]  Because we won a huge battle, but the war goes on and we're close to winning.
[00:28:01.509 --> 00:28:03.490]  Get your coin now at thealexhoundstore.com.
[00:28:03.490 --> 00:28:09.069]  Ladies and gentlemen.
[00:28:09.549 --> 00:28:12.589]  Next Monday, we'll have live coverage of it.
[00:28:12.789 --> 00:28:20.970]  The inauguration of Donald John Trump, the comeback king, as the 47th president of the United States of America.
[00:28:21.369 --> 00:28:25.329]  Two days, 23 hours, 26 minutes, 31 seconds.
[00:28:26.170 --> 00:28:27.670]  Thank you so much for joining us.
[00:28:27.809 --> 00:28:45.809]  I am your embattled and battle-hardened host with my incredible intrepid crew coming to you from deep in the heart of Texas, transmitting worldwide in defense of human liberty, free will, and our species expansion to the stars and beyond.
[00:28:45.970 --> 00:28:47.509]  That is our mission.
[00:28:47.710 --> 00:28:53.690]  Team Humanity, launched 14 months ago publicly by myself and Elon Musk.
[00:28:54.000 --> 00:28:54.960]  On the air.
[00:28:55.339 --> 00:28:57.019]  And you see it happening now.
[00:28:58.500 --> 00:29:00.640]  There's not just evil in the universe.
[00:29:02.980 --> 00:29:03.940]  All right.
[00:29:04.619 --> 00:29:09.200]  Now, I'm going to show you massive attacks on Elon Musk.
[00:29:09.859 --> 00:29:14.779]  And this is literally like one drop in a bucket.
[00:29:15.359 --> 00:29:18.319]  I could talk for 10 hours straight.
[00:29:20.460 --> 00:29:22.880]  More than 50 governments attacking him.
[00:29:23.119 --> 00:29:30.819]  The UN, the World Economic Forum, the European Union, the Canadian government, the Brazilian government, the Australian government, the New Zealand government.
[00:29:32.599 --> 00:29:33.720]  State governments.
[00:29:34.460 --> 00:29:46.299]  And so yesterday, just as an aside, I played a piece of Biden's farewell address a few days ago, where he warns of evil tech oligarchs.
[00:29:46.670 --> 00:29:48.210]  That are going to hurt democracy.
[00:29:48.470 --> 00:29:55.789]  Well, they've been in control of big tech, the Democrats, with the surveillance, the censorship, the debanking, the harassment, the lawfare, the criminal charges, all of it.
[00:29:56.349 --> 00:29:58.490]  Members of my crew have been thrown in prison for nothing.
[00:29:58.710 --> 00:29:59.650]  Like Owen Troyer.
[00:30:00.710 --> 00:30:13.470]  And so just as an aside, I spent like five minutes on it and played a clip of him two years ago, Biden saying we need the Securities Exchange Commission to target Elon, which they launched a few days ago.
[00:30:14.789 --> 00:30:17.180]  And then I... Said, you know, here he is.
[00:30:17.279 --> 00:30:18.240]  He's talking about Elon here.
[00:30:18.400 --> 00:30:19.119]  He's declared war.
[00:30:19.299 --> 00:30:22.279]  Well, I mean, that's really an understatement.
[00:30:22.940 --> 00:30:24.339]  But overhead shot, please.
[00:30:24.720 --> 00:30:26.799]  There was then a community note.
[00:30:26.980 --> 00:30:28.240]  Readers add context.
[00:30:28.579 --> 00:30:30.059]  They thought people might want to know.
[00:30:31.119 --> 00:30:36.819]  This is two videos spliced together to insert Elon by name into a farewell address.
[00:30:37.059 --> 00:30:41.539]  You can see the change when the president goes from sitting to standing in front of microphones.
[00:30:41.579 --> 00:30:44.359]  It's presented in a way to make it look like one video.
[00:30:45.099 --> 00:30:46.559]  No, it wasn't.
[00:30:47.960 --> 00:30:53.940]  In the video and in the report, I said, here he is two years ago saying target Elon, and now they've done it.
[00:30:54.220 --> 00:30:56.880]  As a parting shot, and he's talking about Elon right there.
[00:30:57.019 --> 00:31:01.980]  The whole media attacked and said he calls out Elon in oligarch speech.
[00:31:02.140 --> 00:31:03.319]  I mean, that's who he's talking about.
[00:31:03.319 --> 00:31:04.420]  He's talked about him a lot.
[00:31:05.819 --> 00:31:08.599]  So, I like community notes.
[00:31:08.799 --> 00:31:13.680]  It's great compared to the fake fact checkers that are big globalist corporations and lie.
[00:31:15.150 --> 00:31:17.450]  But sometimes they do this type of crap.
[00:31:17.950 --> 00:31:20.710]  Like, a few months ago, I go, hey, Ukraine wants nuclear weapons.
[00:31:20.849 --> 00:31:21.569]  They're Spiegel's reporting.
[00:31:21.690 --> 00:31:22.509]  They may have them in two weeks.
[00:31:22.609 --> 00:31:23.369]  That was a Spiegel headline.
[00:31:23.750 --> 00:31:24.950]  And it was like, there's no proof.
[00:31:25.029 --> 00:31:25.869]  Jones is making this up.
[00:31:25.950 --> 00:31:26.670]  Later, it all came out.
[00:31:27.470 --> 00:31:31.930]  And now Biden just did another interview where he talks about, well, they wanted nukes, but I stopped them.
[00:31:32.710 --> 00:31:42.829]  So, you have to understand, you have the self-appointed people out there that do this, and the community notes is accurate most of the time when I look at it, but this type of crap is deceptive.
[00:31:44.319 --> 00:31:53.660]  Did not try to fool people that two separate clips with different lighting, different places are there, and I described they were two different clips.
[00:31:53.900 --> 00:32:03.900]  And then I played a clip of Elon on the eve of the election, November 4th, last year, saying your future depends on this.
[00:32:04.059 --> 00:32:05.420]  Vote like your future depends on it.
[00:32:05.480 --> 00:32:10.000]  And I said that's why they hate him, because he's pointing out it's a fight between civilization and the end of civilization.
[00:32:11.150 --> 00:32:17.190]  And he's urgent, and it's existential, and he's all in, and he is the MVP right now, other than Trump.
[00:32:17.869 --> 00:32:21.490]  And so he's under attack, and I'm going to sit here and point out what's going on.
[00:32:24.170 --> 00:32:25.329]  Because I'm thankful.
[00:32:25.930 --> 00:32:27.309]  We've really turned the tide.
[00:32:27.549 --> 00:32:30.150]  So, let me just give you a snapshot here.
[00:32:30.569 --> 00:32:32.809]  So, community notes, riddle me this.
[00:32:33.390 --> 00:32:35.789]  Is this declaring war on Elon?
[00:32:36.869 --> 00:32:37.349]  Ooh.
[00:32:39.690 --> 00:32:41.470]  Did Joe Biden pay Reuters?
[00:32:41.650 --> 00:32:42.470]  And of course they did.
[00:32:43.190 --> 00:32:45.009]  11 agencies that target Elon Musk?
[00:32:45.869 --> 00:32:47.390]  And it's true.
[00:32:48.910 --> 00:32:52.529]  Biden's 300 million contracts to Reuters target Elon Musk.
[00:32:52.809 --> 00:32:56.809]  Quote in the document, as federal agencies investigate his companies.
[00:32:57.450 --> 00:32:58.950]  Is that declaring war?
[00:33:00.269 --> 00:33:01.769]  Oh, and look what happened.
[00:33:01.990 --> 00:33:07.150]  SEC sues Elon a few days ago for allegedly failing to properly disclose his Twitter ownership stake.
[00:33:07.549 --> 00:33:08.930]  Oh, they're claiming he got a better deal.
[00:33:09.130 --> 00:33:10.470]  He admittedly paid twice what it was worth.
[00:33:12.269 --> 00:33:13.150]  Total lie.
[00:33:14.210 --> 00:33:20.309]  EU, this is today, expands investigation over X over spread of illicit content.
[00:33:21.450 --> 00:33:24.589]  Criminal investigations, civil investigations, fines.
[00:33:26.459 --> 00:33:35.279]  Elon Musk tweets probe by UK counterterrorism unit as alarm raised over risk to Britain by him exposing the pedophile rings.
[00:33:36.079 --> 00:33:41.119]  So the main anti-terrorism bureau is investigating him as a national security threat because he is a threat to the pedophiles.
[00:33:42.000 --> 00:33:46.640]  UK counterterrorism unit investigates Elon Musk over ex-posts slamming Pakistan rape gangs.
[00:33:46.920 --> 00:33:47.740]  Labor cover-up.
[00:33:49.660 --> 00:33:52.900]  UK leader Starmer slams misinformation, attacks Musk.
[00:33:55.079 --> 00:33:57.200]  They're mad he's declared war on their new world order.
[00:33:58.599 --> 00:33:59.500]  Remember all this?
[00:33:59.599 --> 00:34:06.019]  California Democrats reject more SpaceX rocket launches over Elon Musk's ex-post, and the head of the commission said because he likes Trump.
[00:34:06.359 --> 00:34:14.659]  So you can't expand your company and hire more Californians because you're a Trump supporter.
[00:34:14.840 --> 00:34:16.539]  That's not declaring war, okay.
[00:34:17.559 --> 00:34:21.019]  SpaceX sues California regulator claiming launches blocked Elon Musk's politics.
[00:34:21.219 --> 00:34:23.500]  They said it in the commission meeting.
[00:34:25.460 --> 00:34:28.639]  California officials citing Elon Musk's politics and rejecting SpaceX launches.
[00:34:28.820 --> 00:34:29.500]  You want to see the video again?
[00:34:29.980 --> 00:34:31.320]  Is that declaring war on somebody?
[00:34:32.320 --> 00:34:33.179]  Clearly a sham.
[00:34:33.380 --> 00:34:34.519]  Hawaiians and Texas unite.
[00:34:34.679 --> 00:34:37.780]  Mean leftists against Elon Musk trying to shut down his rocket launchers.
[00:34:41.360 --> 00:34:46.760]  And then a factory goes up in California and they say it's a Tesla factory with its batteries and it's not even true.
[00:34:48.079 --> 00:34:49.219]  And that's just today.
[00:34:50.039 --> 00:34:53.679]  Oh, the fires are all Tesla's fault, they're reporting.
[00:34:53.699 --> 00:34:54.539]  Just all made up.
[00:34:57.880 --> 00:35:01.019]  Oh, Elon Musk's ex-post reportedly being monitored by Homeland Security.
[00:35:01.400 --> 00:35:02.960]  Well, that's not declaring war on somebody.
[00:35:04.300 --> 00:35:13.260]  Here's how the 300 million went to Reuters and to other media to lie about him, hound his family, hound his company, just attack everything he does, twist everything, PR firms.
[00:35:15.280 --> 00:35:23.219]  And they're mad because he's exposing that the globalists are purposely trying to bankrupt the country under Cloward and Pippen to put us under international central banking control, like we're a third world country.
[00:35:24.059 --> 00:35:25.420]  He's trying to prevent...
[00:35:25.320 --> 00:35:27.019]  The imminent bankruptcy of America.
[00:35:27.219 --> 00:35:28.019]  How dare him?
[00:35:29.539 --> 00:35:37.440]  Oh, but no SEC probing, all the SEC rules being totally ignored, with George Soros allowed to buy up all the radio stations and media.
[00:35:37.619 --> 00:35:38.360]  That's okay.
[00:35:41.079 --> 00:35:42.820]  And it goes on and on and on.
[00:35:42.980 --> 00:35:48.519]  So I could talk for hours and show you a lot more, but I don't know, is that declaring war on somebody?
[00:35:50.300 --> 00:35:53.059]  I mean, you have EU commission members and others.
[00:35:53.559 --> 00:36:05.300]  Saying they'll just cancel the German election results if AFD wins because Elon's been talking about how corrupt the German government is in the EU. They've been calling for criminal charges against him.
[00:36:05.460 --> 00:36:06.840]  And Poland's threatening him.
[00:36:07.000 --> 00:36:16.679]  And Brazil seized Starlink equipment and facilities and money because he was allowing people to have freedom.
[00:36:18.280 --> 00:36:22.579]  And they've had hearings in the Senate in Australia calling for his criminal indictment.
[00:36:24.700 --> 00:36:28.760]  On and on and on and on and on.
[00:36:29.460 --> 00:36:31.800]  Because he's supporting populist movements around the world.
[00:36:31.960 --> 00:36:33.539]  Because he's promoting freedom of speech.
[00:36:33.739 --> 00:36:39.420]  He's promoting exploration and innovation and competition and inspiring people.
[00:36:41.039 --> 00:36:46.820]  And it's taken us from way behind all the Russia and China in rockets to way ahead of them.
[00:36:47.840 --> 00:36:53.599]  And the truth is Elon Musk has been a maverick and innovated and succeeded at everything he's ever done because he doesn't quit.
[00:36:54.500 --> 00:36:57.059]  So the attacks were always, oh, Elon had it all handed to him.
[00:36:57.119 --> 00:36:57.800]  He didn't really do this.
[00:36:57.920 --> 00:36:58.380]  He didn't really do that.
[00:36:58.719 --> 00:37:03.079]  Really, did he get X and take the number one and defeat the censors in the deep state?
[00:37:03.260 --> 00:37:05.039]  Did he help get Trump in, take him over the top?
[00:37:08.659 --> 00:37:18.480]  Did he create the most successful rocket launch system ever seen and launch more rockets and more satellites than anybody else in all of history combined in just a few years?
