# Transcription model: large-v3-turbo
[00:00:05.099 --> 00:00:06.759]  You're now entering.
[00:24:26.430 --> 00:24:38.950]  Directing, literally directing the reporters that direct the protest so that they got the muscle with mainly Spanish-speaking radio to try to stir up the illegal alien hordes to make them riot this summer, as they said, civil war conditions.
[00:24:39.160 --> 00:24:52.720]  And then when Trump sends out the military to deal with the burning down cities, somebody falls flags the illegals, a bunch of them get killed, and then they activate the communist groups at Hezbollah and Hamas and the cartels, and then we're in an actual civil war.
[00:24:54.240 --> 00:24:55.920]  So absolutely insane.
[00:24:56.380 --> 00:25:04.619]  So I wanted you to have a chance to see just a small example of who the new Democrat Party complete leadership is.
[00:25:04.740 --> 00:25:13.220]  And it's Soros' son, Alexander, and it's David Hogg, co-chair of the DNC, who can barely talk, even with a teleprompter.
[00:25:13.720 --> 00:25:15.579]  And so that's all they know.
[00:25:15.779 --> 00:25:17.259]  They're not changing course.
[00:25:17.380 --> 00:25:20.000]  They're not even lying, slicker.
[00:25:20.200 --> 00:25:21.299]  They're just...
[00:25:21.299 --> 00:25:22.819]  Tripling, quadrupling down.
[00:25:22.819 --> 00:25:26.140]  Because, you know, Democrats 30 years ago, 20 years ago, it sounded just like Trump.
[00:25:26.769 --> 00:25:29.089]  But they wouldn't do any of the things they said.
[00:25:29.390 --> 00:25:33.690]  Cutting waste in government, controlling the border, stopping wars, all that.
[00:25:33.769 --> 00:25:35.849]  No, they'd actually do all that, but have the rhetoric.
[00:25:35.970 --> 00:25:39.009]  With Trump, you've got the good populist, common sense rhetoric.
[00:25:39.210 --> 00:25:40.410]  And then he actually does it.
[00:25:40.569 --> 00:25:41.990]  We got a lot of news on that today.
[00:25:42.049 --> 00:25:45.369]  But I'm spending a lot of time on the Democratic Party collapsing.
[00:25:45.369 --> 00:25:46.529]  And I don't just say that.
[00:25:46.529 --> 00:25:50.730]  I was the first to say it a few years ago that they kept saying that the Republican Party is going to become extinct.
[00:25:51.000 --> 00:25:51.859]  No, it's growing.
[00:25:52.019 --> 00:25:52.700]  It's populist.
[00:25:52.819 --> 00:25:53.599]  We're taking it over.
[00:25:53.720 --> 00:25:54.759]  We're kicking the neocons out.
[00:25:55.279 --> 00:25:58.500]  I'd say we've reformed the Republican Party about 80% right now.
[00:25:58.940 --> 00:26:01.440]  Four years ago, we had about a 30% reform of it.
[00:26:01.640 --> 00:26:04.180]  We have almost completely taken over the Republican Party.
[00:26:04.500 --> 00:26:11.000]  You tune into Fox News, you tune into Newsmax, you tune into any of those mainline Republican platforms, they sound just like me.
[00:26:11.740 --> 00:26:13.599]  You listen to Patrick McDavid.
[00:26:13.599 --> 00:26:15.640]  He's always been a good guy, but he sounds just like me.
[00:26:15.779 --> 00:26:16.660]  Joe Rogan, just like me.
[00:26:16.740 --> 00:26:17.660]  Tucker Carlson, just like me.
[00:26:18.140 --> 00:26:19.319]  He's been great for a while.
[00:26:19.500 --> 00:26:19.960]  Great guy.
[00:26:22.120 --> 00:26:25.960]  But this is a process, and they call it, the Republican Party's being radicalized.
[00:26:26.039 --> 00:26:29.980]  No, it's being turned real world, street smart, informed.
[00:26:30.660 --> 00:26:34.700]  What we're facing, globalist tyrants, enslavers that create crises on purpose.
[00:26:34.920 --> 00:26:36.720]  They're not mismanaging things.
[00:26:36.819 --> 00:26:39.039]  They're destroying it by design while transferring the wealth of themselves.
[00:26:39.400 --> 00:26:42.519]  Cloward and Piven, the naivete is going away.
[00:26:42.740 --> 00:26:44.420]  The seriousness is happening.
[00:26:45.640 --> 00:26:46.859]  And not just here.
[00:26:47.889 --> 00:26:50.369]  All over the world, and not just in the West.
[00:26:51.390 --> 00:26:55.210]  And I'll get to more of that later, but it's hard to watch this.
[00:26:55.369 --> 00:26:57.869]  It's actually 10 minutes long, but I'm not going to make you watch the whole thing.
[00:26:59.390 --> 00:27:08.789]  This is the gibbering idiot who is trying, he's already had great control and great influence over the radicalization of the Democratic Party.
[00:27:09.029 --> 00:27:14.029]  But now they officially want to absorb it to make a good, classic communist uprising.
[00:27:14.109 --> 00:27:15.390]  They're not communists themselves.
[00:27:15.839 --> 00:27:27.220]  The Soros paid tens of millions to send out, I think it was like 100,000 copies over the years of Rules for Radical Saul Alinsky, who was a Satanist and pledged his book to Lucifer, the original revolutionary.
[00:27:28.480 --> 00:27:30.160]  This is French Revolution 2.0.
[00:27:30.519 --> 00:27:31.700]  All right, that's what the commies were 2.0.
[00:27:31.740 --> 00:27:32.319]  This is 3.0.
[00:27:33.039 --> 00:27:36.980]  And so we're facing the left-hand path here.
[00:27:37.380 --> 00:27:40.440]  These people are known Satanists, literally.
[00:27:41.420 --> 00:27:43.880]  And so, yeah, lest we forget at least.
[00:27:45.039 --> 00:28:06.220]  And over-the-shoulder acknowledgement to the very first radical from all our legends, mythology, and history, and who is to know, mythology leaves off and history begins, or which is which, the first radical known to man who rebelled against the establishment and did it so effectively that he was at least won his own kingdom,
[00:28:06.880 --> 00:28:13.720]  Lucifer. It's better to reign in hell than serve in heaven.
[00:28:14.119 --> 00:28:17.339]  It's better to burn out than fade away.
[00:28:17.640 --> 00:28:19.759]  And they want your free will.
[00:28:19.920 --> 00:28:20.900]  They bill it as if it's freedom.
[00:28:21.000 --> 00:28:22.079]  It's the opposite.
[00:28:22.319 --> 00:28:34.400]  So here is Alexander Soros complaining about their international system and their system of freedom, meaning their shadow government, already being in flames years ago, and now I wonder how he feels.
[00:28:34.539 --> 00:28:34.940]  Here it is.
[00:28:37.160 --> 00:28:42.400]  But, you know, I don't think that that's the fundamental...
[00:28:42.400 --> 00:28:47.339]  I don't think technology is the fundamental issue in democracy.
[00:28:47.539 --> 00:28:48.400]  Democracy is messy.
[00:28:48.660 --> 00:28:51.980]  I mean, you know, democracy is about contestation of ideas.
[00:28:51.980 --> 00:28:54.059]  It's about plurality.
[00:28:54.299 --> 00:28:57.299]  It's about people having different truths, actually.
[00:28:57.579 --> 00:29:01.140]  Now, fundamentally...
[00:29:01.140 --> 00:29:10.100]  How society lives together civically in those contestations is obviously...
[00:29:13.409 --> 00:29:14.369]  Quite tricky.
[00:29:14.569 --> 00:29:31.470]  But I think that if we play too much on this disinformation card, we're taking the responsibility away from ourselves to actually create a narrative that inspires people to vote and to believe in democracy and democratic institutions.
[00:29:31.589 --> 00:29:34.349]  And on the institutional part, I think that we can talk about.
[00:29:35.470 --> 00:29:39.549]  Institutions as these abstract things, but institutions are also about people.
[00:29:40.250 --> 00:29:51.109]  And we just heard this point about untrustworthy people, and we talked about things in the United States like checks and balances, which aren't written anywhere, but are customs.
[00:29:51.490 --> 00:29:55.630]  And one man, Donald Trump, literally came in and just...
[00:29:55.630 --> 00:29:58.110]  Took that all away.
[00:30:00.539 --> 00:30:13.960]  But when I see this, when I look at this more globally regarding democracy, I also say to myself, when was this great time?
[00:30:14.480 --> 00:30:20.920]  That everybody got along so well and things were going so great.
[00:30:21.140 --> 00:30:39.579]  I think that we really have to be careful here in this nostalgia for a time past because a lot of the reactions we're seeing in society are actually reactions to positive.
[00:30:40.200 --> 00:30:50.880]  To positive things like, you know, like equality for women, you know, and, you know, and greater diversity, which come with backlash.
[00:30:52.680 --> 00:30:54.500]  And of course, they mean none of that.
[00:30:54.759 --> 00:30:59.480]  His father's specialty was overthrowing governments and stealing old people's pension funds.
[00:30:59.480 --> 00:31:00.640]  And he said, I don't care.
[00:31:00.759 --> 00:31:02.079]  Somebody else would do it if I didn't do it.
[00:31:02.780 --> 00:31:04.460]  The best time of my life was working for Hitler.
[00:31:04.700 --> 00:31:05.759]  It was happy making time.
[00:31:05.900 --> 00:31:07.079]  It was exhilarating the power.
[00:31:07.259 --> 00:31:07.740]  Those are quotes.
[00:31:07.839 --> 00:31:08.980]  We've all seen it thousands of times.
[00:31:09.039 --> 00:31:09.599]  I'm not going to play it again.
[00:31:10.980 --> 00:31:19.400]  So, sociopathic demons, psychotics, and equality for women.
[00:31:19.519 --> 00:31:21.400]  You mean men saying they're women in women's sports?
[00:31:21.400 --> 00:31:27.039]  You mean brainwashing children without their parents' consent to tell them they're really another sex so you can finally mutilate them?
[00:31:27.500 --> 00:31:31.759]  I mean, promoting pedophilia, that's what Soros and BlackRock and all these guys have been promoting.
[00:31:31.940 --> 00:31:35.119]  But BlackRock didn't just publicly give up a few months ago.
[00:31:35.240 --> 00:31:44.160]  They've been killing all the DEI in Disney, Anheuser-Busch, rolled over, handed the Panama Canal over because they really had it, not China, as I told you.
[00:31:44.339 --> 00:31:49.339]  And I'm not saying they won't double-cross us at some point, but I'm not saying they shouldn't go to prison, too.
[00:31:49.849 --> 00:31:57.410]  But the old Larry Fink of two years ago, oh yeah, we're going to control everybody's behavior with the ESG corporate credit score, then have the corporations implement a credit score on the public.
[00:31:57.750 --> 00:31:58.789]  That's not going too well.
[00:31:58.869 --> 00:31:59.650]  It's being repudiated.
[00:32:01.329 --> 00:32:07.789]  Now, I want to get into the geopolitical developments that are so massive and why it's so important that NATO, just like the Democratic Party, has already collapsed.
[00:32:08.150 --> 00:32:09.609]  They're now admitting that's the case.
[00:32:10.490 --> 00:32:12.950]  And where that's going, but what Zelensky's up to...
[00:32:13.480 --> 00:32:16.799]  Then I want to get into the big border developments that are the biggest yet.
[00:32:16.799 --> 00:32:22.720]  I want to get into new developments on John Roberts and the secret intelligence, private intelligence agency he's involved in.
[00:32:23.619 --> 00:32:39.319]  And then I want to get into some other really, really important information dealing with how we're going to go after these judiciary with public exposure of their corruption, impeachment that follows that exposure,
[00:32:39.559 --> 00:32:40.180]  and more.
[00:32:41.200 --> 00:32:44.079]  And how Trump is accelerating his action against the deep state.
[00:32:44.799 --> 00:32:55.859]  But I wanted to play a short clip of Howard Lutnick, Trump's top financial advisor, who is a really smart expert on the free market, continuing to say, no, we intend to get rid of the IRS.
[00:32:56.599 --> 00:33:02.559]  Now, it was done by an act of Congress, but they can take it over and then take the functions away and get rid of 98% of the employees.
[00:33:03.200 --> 00:33:07.480]  And just like Trump said when he was running, I'm going to abolish the Department of Education.
[00:33:08.340 --> 00:33:23.119]  And it's an act of Congress, so he can't do the agency itself, but he can cut all the funding and get rid of all the employees, except the skeleton crew, to transfer administration and the money back to the states, which he signed on Thursday, which we haven't even made a big enough deal about.
