# Transcription model: nvidia/parakeet-tdt-0.6b-v2, sat-12l-sm, and large-v3-turbo
# Transcript cleaned with version 0.1.2
# Source MD5: a23bf4b0a482f14c0e2864bd70b6756b
[00:00:03.040 --> 00:00:04.240]  It's Sunday night.
[00:25:05.599 --> 00:25:14.000]  And if folks are going to commit crimes here, thinking because our generous spirit and our programs that we have is going to give them some kind of cover, they are sadly mistaken.
[00:25:14.559 --> 00:25:19.839]  Minnesota is also now home to the single largest pandemic fraud scheme in the country.
[00:25:20.160 --> 00:25:24.079]  And Republicans argue that Walls and other Democrats opened the door to this.
[00:25:25.279 --> 00:25:26.240]  They engineered it.
[00:25:26.319 --> 00:25:27.200]  They brought it in on purpose.
[00:25:27.279 --> 00:25:28.160]  They knew exactly what they were doing.
[00:25:28.240 --> 00:25:29.599]  They're laundering the money.
[00:25:30.240 --> 00:25:43.359]  Now, I got many of these clips, but let's just go out to break with a Somali in Minneapolis holding up a picture of Trump talking about how they've conquered Minnesota.
[00:25:43.440 --> 00:25:45.119]  They're going to conquer America.
[00:25:45.440 --> 00:25:46.480]  Here it is.
[00:25:47.680 --> 00:25:53.759]  My biggest fear in life is that this man may never witness our full takeover.
[00:25:54.079 --> 00:25:56.400]  Yes, he may never witness that.
[00:25:56.720 --> 00:26:01.359]  He already witnessed our partial takeover, our little success in America.
[00:26:01.680 --> 00:26:08.400]  And he's the reason actually I know that the community in America is thriving.
[00:26:09.599 --> 00:26:10.559]  He's how I know.
[00:26:10.720 --> 00:26:14.639]  It's like he's how we measure our progress.
[00:26:14.960 --> 00:26:17.440]  If he doesn't tweet, somebody messed up.
[00:26:17.599 --> 00:26:18.079]  I know it.
[00:26:18.240 --> 00:26:20.160]  Somebody fucked up the plan.
[00:26:21.039 --> 00:26:22.720]  If he tweeted, I know.
[00:26:23.599 --> 00:26:24.079]  I know.
[00:26:24.319 --> 00:26:25.759]  We're doing the right things.
[00:26:26.079 --> 00:26:27.759]  Yes, that's how I know.
[00:26:28.400 --> 00:26:31.440]  So he's old and sick, I know.
[00:26:31.759 --> 00:26:33.920]  He may not witness our full takeover.
[00:26:34.240 --> 00:26:37.759]  But I promise you that his sons will witness.
[00:26:38.079 --> 00:26:40.160]  Just like him.
[00:26:41.599 --> 00:26:45.119]  We came to exist in this country.
[00:26:45.599 --> 00:26:46.000]  See?
[00:26:46.639 --> 00:26:48.559]  The land of freemen.
[00:26:49.119 --> 00:26:50.880]  The land of opportunities.
[00:26:53.119 --> 00:26:54.000]  And we're here.
[00:26:54.319 --> 00:26:54.720]  Yes.
[00:26:55.680 --> 00:26:56.559]  And we're not leaving.
[00:26:56.639 --> 00:26:58.480]  Actually, we're not going back.
[00:26:58.799 --> 00:26:59.839]  What do you mean, go back?
[00:27:00.160 --> 00:27:01.279]  You should go back first.
[00:27:01.599 --> 00:27:03.519]  You see, if you come first, you go first.
[00:27:04.160 --> 00:27:04.480]  See?
[00:27:05.359 --> 00:27:06.400]  Just like you.
[00:27:08.160 --> 00:27:10.559]  Tell me how you own this land.
[00:27:10.799 --> 00:27:14.480]  Explain to the world how this land became your land.
[00:27:14.799 --> 00:27:15.839]  Tell the world.
[00:27:17.440 --> 00:27:20.160]  So he says, look at me.
[00:27:20.480 --> 00:27:21.920]  I am the captain now.
[00:27:23.039 --> 00:27:25.440]  No, Europeans were not immigrants.
[00:27:25.519 --> 00:27:27.039]  They were settlers.
[00:27:27.920 --> 00:27:29.039]  Big difference.
[00:27:29.359 --> 00:27:30.880]  You don't think you know what that means.
[00:27:31.119 --> 00:27:35.119]  And once we find our instincts again, you pirates are going to be in deep trouble.
[00:27:35.440 --> 00:27:37.119]  Just like the Barbary pirates, buddy.
[00:27:37.440 --> 00:27:38.400]  You're in a lot of trouble.
[00:27:38.480 --> 00:27:39.519]  We'll be right back.
[00:27:43.279 --> 00:27:51.279]  All right, so I'm not drilling in on this Somali thing to be mean or because it's a political red meat issue.
[00:27:51.599 --> 00:27:59.680]  Americans need to not be cowed by the left, the globalists and BlackRock and the UN saying the West is evil, George Washington's bad.
[00:27:59.920 --> 00:28:02.799]  Get rid of your culture because they want you to accept globalism.
[00:28:03.120 --> 00:28:11.519]  It's good for people to look at other cultures and say, oh, there's some really cool things about some cultures out there and some amazing things in the world, and we can admire good parts of it or whatever.
[00:28:11.680 --> 00:28:16.160]  But the West has consistently been the best for freedom, liberty, innovation, you name it.
[00:28:16.240 --> 00:28:17.759]  We got plenty of problems.
[00:28:18.079 --> 00:28:23.839]  But this running everybody down and making us hate ourselves and the earth's going to die because of humans that don't have kids.
[00:28:24.000 --> 00:28:28.480]  All of this is meant to make you not have a life force, no matter what color you are.
[00:28:28.799 --> 00:28:41.039]  And then to bring in a special ruling clan that got overthrown in Somalia, got back in power later, into the United States in the 90s, hundreds and hundreds of thousands of them in total nationwide.
[00:28:41.360 --> 00:28:52.880]  And then how does this group cause so many problems in Tennessee, in Washington State, in Minnesota, in Georgia, other places, in London.
[00:28:53.200 --> 00:28:55.920]  And it's because you brought in a mafia.
[00:28:58.400 --> 00:29:07.120]  And so Harrison Smith made the point last week that went viral, millions of views, that there's people going to Mall America.
[00:29:07.200 --> 00:29:09.519]  It's basically like little Somalia now.
[00:29:10.400 --> 00:29:12.960]  And the stores, 90%, all of it.
[00:29:14.160 --> 00:29:17.440]  And they just leave the stores open.
[00:29:17.519 --> 00:29:20.319]  Nobody's in there and nobody's robbing anything.
[00:29:20.640 --> 00:29:30.640]  He said, wow, yeah, it's a high trust community with them, but then they organize to basically pirate and rob and run criminal systems because everybody else.
[00:29:31.599 --> 00:29:35.440]  And he makes the point, yeah, it's high trust in their community, but not for everybody else.
[00:29:35.759 --> 00:29:37.120]  But that's not even for Somalis.
[00:29:37.200 --> 00:29:47.440]  That's the ruling clan that Ilan Omar's father was the ruler of and ruled the warlord dictatorship for decades.
[00:29:49.279 --> 00:29:56.240]  And so she recently had the former prime minister of Somalia reveal that Ilan Omar is here in America to represent Somalia.
[00:29:56.400 --> 00:30:06.799]  And you've seen the pledge from all the Somali politicians in Nashville and in Seattle, in Minneapolis, St. Paul, saying, no, we are Somalis.
[00:30:06.880 --> 00:30:11.279]  We are here to send money to Somalia because that's what it is.
[00:30:14.559 --> 00:30:18.400]  They believe in their weird cosmology, they're supposed to rule the earth.
[00:30:18.720 --> 00:30:22.400]  And they founded America and they founded Minneapolis, St. Paul.
[00:30:22.640 --> 00:30:24.240]  You know, they got here in the 90s.
[00:30:24.640 --> 00:30:26.319]  I got clips of them saying that.
[00:30:27.599 --> 00:30:30.319]  And I got a whole bunch of the clips that are brand new saying, we're going to rule you.
[00:30:30.400 --> 00:30:31.120]  We're going to enslave you.
[00:30:31.279 --> 00:30:31.840]  You belong to us.
[00:30:32.000 --> 00:30:32.559]  You are scum.
[00:30:32.640 --> 00:30:33.440]  You are weak.
[00:30:36.319 --> 00:30:37.599]  And I started learning this decades ago.
[00:30:37.680 --> 00:30:40.480]  And I'd say, man, the Somalis really are like an organized crime syndicate.
[00:30:40.799 --> 00:30:47.920]  And the whole background of this particular tribe, this Klan, they were so proud commenting to me going, we're glad you know we're superior.
[00:30:48.079 --> 00:30:49.440]  We will rule you scum.
[00:30:52.240 --> 00:30:55.279]  And their people in this clan follow their orders 100%.
[00:30:56.240 --> 00:31:01.599]  They go steal all this money and they send almost all of it back to the terror groups and all the rest of it.
[00:31:02.880 --> 00:31:12.720]  So these people are arrogant, ladies and gentlemen, because they have been in charge off and over thousands of years, enslaving Africans, pirating, robbing, all of it.
[00:31:13.039 --> 00:31:13.920]  They are predators.
[00:31:14.000 --> 00:31:19.519]  They have this attitude that it's their right to do this to you, no matter what color you are.
[00:31:20.160 --> 00:31:23.840]  One of the experiences, let's say you're a black guy, you know, that lives in Houston.
[00:31:24.160 --> 00:31:25.039]  Never been to Minnesota.
[00:31:25.200 --> 00:31:26.880]  Go spend a week in Minneapolis, St. Paul.
[00:31:26.960 --> 00:31:28.640]  Walk around with the Somalis.
[00:31:29.599 --> 00:31:31.200]  Go talk to them, see what happens.
[00:31:32.640 --> 00:31:38.480]  They are their main Identity is everyone is scum but them.
[00:31:38.640 --> 00:31:40.240]  Black, white, doesn't matter.
[00:31:40.880 --> 00:31:44.160]  I mean, it is really twisted, but that's because it's not even Somalis.
[00:31:44.240 --> 00:31:45.440]  It's that clan.
[00:31:46.400 --> 00:31:48.559]  And that's 95% who's been brought over here.
[00:31:48.799 --> 00:31:50.160]  They won't hire other Somalis.
[00:31:50.319 --> 00:31:52.559]  They won't even talk to them because it's a caste system.
[00:31:52.640 --> 00:31:53.759]  They're slaves.
[00:31:54.079 --> 00:31:55.599]  And notice they don't look like them.
[00:31:55.920 --> 00:31:58.240]  They don't look like they're deformed and mentally ill.
[00:31:58.480 --> 00:32:00.240]  They don't look like demons.
[00:32:00.880 --> 00:32:04.559]  But inbreeding, whether you're white or black, whatever, creates that.
[00:32:06.799 --> 00:32:10.400]  So go ahead and play these clips back to back.
[00:32:12.000 --> 00:32:18.160]  Let's play 44, then 13.
[00:32:20.000 --> 00:32:21.279]  And then the other close back to back.
[00:32:21.360 --> 00:32:23.360]  I just want to illustrate a small piece.
[00:32:23.519 --> 00:32:25.839]  I have like literally hundreds of times this information.
[00:32:26.000 --> 00:32:38.299]  Here it is. Hold on. Let's stop.
[00:32:40.000 --> 00:32:40.799]  I didn't think of this.
[00:32:40.880 --> 00:32:41.360]  I apologize.
[00:32:41.440 --> 00:32:48.880]  We're going to have to start and stop this because radio listeners will just hear a bunch of gibberish in this particular dialect that they got.
[00:32:50.400 --> 00:32:51.279]  We have to start and stop it.
[00:32:51.440 --> 00:32:56.640]  This is the former prime minister, basically Ilhan's boss, worked for her dad, the dictator.
[00:32:56.960 --> 00:32:57.920]  Here he is bragging.
[00:32:58.160 --> 00:33:00.000]  I need to read this to radio listeners to hear what he's saying.
[00:33:00.079 --> 00:33:00.880]  So start and stop it.
[00:33:01.039 --> 00:33:01.920]  Go ahead and start it.
[00:33:03.440 --> 00:33:11.200]  The interests of Ilon are not, it is not the interest of Minnesota, nor is it the interest of the American people.
[00:33:12.160 --> 00:33:15.360]  The interest of Ilon is that of the Somali people of Somalia.
[00:33:18.160 --> 00:33:20.319]  The success of Ilon is the success of Somalia.
[00:33:21.279 --> 00:33:23.519]  And that carries a heavy meaning to us.
[00:33:25.120 --> 00:33:27.120]  Me speaking in the name of the Somalian people.
[00:33:29.200 --> 00:33:30.960]  Everywhere they are on the planet.
[00:33:31.920 --> 00:33:37.759]  I am asking that you support and give money to Ilan's campaign to support her with your votes.
[00:33:39.200 --> 00:33:50.640]  Tell your neighbors and your friends and anyone you know to come out and support Ilan Omar so they can ultimately vote for her and knock every door you can for her so that she can be re-elected.
[00:33:53.840 --> 00:34:06.240]  That is your promise, and your promise is to come shoulder to shoulder to be Ilhan's shield and vote for her again, with all of your working together.
[00:34:07.519 --> 00:34:08.079]  Thank you all.
[00:34:08.239 --> 00:34:13.760]  Go, bless and notice she looks happy and sweet to him.
[00:34:13.760 --> 00:34:14.800]  Because they're we're a tribe.
[00:34:15.119 --> 00:34:16.159]  Everybody else is our enemy.
[00:34:16.320 --> 00:34:21.119]  We're pirates, we're murderers, we're slavers, we're parasites.
[00:34:22.000 --> 00:34:25.519]  And look at the, look at all the politicians, state senators you name them behind her.
[00:34:25.679 --> 00:34:39.760]  They're smiling and just the weak Americans are ours, literal cavemen, literal warlords living in.
[00:34:39.840 --> 00:34:42.079]  You know, I mean, she went into Congress with no money.
[00:34:42.320 --> 00:34:45.440]  She's worth 30 million and you know it's 10 times that.
[00:34:46.960 --> 00:34:51.760]  What, in just six years, stolen from you.
[00:34:51.920 --> 00:34:53.199]  She runs it all at that level.
[00:34:53.360 --> 00:35:00.400]  Then it goes with the Democrats above her and I can show you an hour of them all doing the same pledge.
[00:35:00.639 --> 00:35:02.559]  Don't you worry, this isn't for America.
[00:35:02.800 --> 00:35:10.400]  We're exploiting the enemy and they don't hire any black people or brown people.
[00:35:10.559 --> 00:35:13.360]  They will hire key white people that help them run frauds.
[00:35:13.679 --> 00:35:19.599]  In all the indictments it's 90% Somalis, with liberal white women who know how to do the stealing.
[00:35:22.720 --> 00:35:27.599]  I'm telling you, This is not for America.
[00:35:27.840 --> 00:35:28.880]  This is for Somalia.
[00:35:29.039 --> 00:35:30.720]  She does not like America.
