# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:04.320 --> 00:00:10.160]  It's Saturday, August 2nd, 2025.
[01:33:23.360 --> 01:33:24.160]  No, no, no, no, no.
[01:33:24.640 --> 01:33:26.560]  The whole thing was designed by bad wizards.
[01:33:26.640 --> 01:33:27.600]  It's Sauron.
[01:33:27.760 --> 01:33:29.039]  It's the one ring.
[01:33:29.520 --> 01:33:39.520]  And Palantir is people coming in and trying to openly sell what it already is, telling Trump use it for good purposes and then rolling it out of the public to accept it.
[01:33:39.840 --> 01:33:44.640]  The larger issue is it's already there and already operating through the system that's currently there.
[01:33:44.800 --> 01:33:47.039]  This is just a management change.
[01:33:48.000 --> 01:33:51.440]  And so this was not developed or built or original to Palantir.
[01:33:52.640 --> 01:33:59.600]  This is a group affiliated with Peter Thiel, Alex Carp.
[01:34:00.160 --> 01:34:04.560]  Well, it's them, but affiliated with Elon Musk, though, he said, I don't be part of Golden Dome.
[01:34:04.640 --> 01:34:06.160]  That's a weapon system with Palantir.
[01:34:07.120 --> 01:34:09.120]  The so-called missile defense system is also offensive.
[01:34:09.280 --> 01:34:10.480]  He said, I just want to do peaceful stuff.
[01:34:10.720 --> 01:34:12.960]  It looks like he has kind of been pushed out of this.
[01:34:13.280 --> 01:34:14.160]  I'm not defending him.
[01:34:14.240 --> 01:34:15.600]  That's just what I see.
[01:34:16.720 --> 01:34:20.960]  But it's all these ever-competing forces, and it's just not good.
[01:34:21.120 --> 01:34:23.200]  So that's what's really going on.
[01:34:23.520 --> 01:34:25.120]  And that is the fact.
[01:34:25.520 --> 01:34:31.760]  X, AI, TWG, and Global and Palgier Unite through financial services through enterprise AI.
[01:34:31.840 --> 01:34:33.920]  I mean, it's all just happening right now.
[01:34:34.880 --> 01:34:41.039]  And you notice that's all going at light speed.
[01:34:41.360 --> 01:34:46.400]  But soon on this trajectory, Palantir will be the big gorilla and will be in charge.
[01:34:46.960 --> 01:34:48.560]  But you have to understand the ring is there.
[01:34:48.720 --> 01:34:50.640]  The question is who gets it on their finger?
[01:34:50.960 --> 01:34:57.200]  And Trump's trying to take it off the finger of Google, Microsoft, and Amazon and put it on his finger.
[01:34:57.520 --> 01:35:00.560]  But what happens once he's out of office?
[01:35:00.720 --> 01:35:01.840]  Where's the ring go then?
[01:35:01.920 --> 01:35:03.280]  It's already in place.
[01:35:03.600 --> 01:35:06.160]  It's designed to make humans obsolete.
[01:35:06.800 --> 01:35:09.039]  And again, Palantir is only one part of that.
[01:35:09.120 --> 01:35:10.480]  We must recognize the whole thing.
[01:35:10.640 --> 01:35:12.400]  It's like people are, this tracks you.
[01:35:12.480 --> 01:35:13.120]  This is AI.
[01:35:13.200 --> 01:35:13.920]  This is pre-ground.
[01:35:14.160 --> 01:35:16.079]  Yeah, it's been going on for decades.
[01:35:16.720 --> 01:35:18.800]  And yeah, it is the total information awareness network.
[01:35:18.960 --> 01:35:23.120]  And it is that crew back from the neocons wanting to be in control of it.
[01:35:23.440 --> 01:35:28.240]  Right now, it's Obama and MI6 and the EU are in control.
[01:35:28.560 --> 01:35:30.000]  And we're trying to censor and control.
[01:35:30.079 --> 01:35:32.880]  And Trump's coming in, trying to make him be in control of it.
[01:35:33.039 --> 01:35:37.360]  And it's a battle over this incredibly dangerous, out-of-control system.
[01:35:38.320 --> 01:35:41.840]  I want laws and systems to deal with this.
[01:35:42.160 --> 01:35:44.240]  And people say, well, then China will take over.
[01:35:44.880 --> 01:35:47.840]  Well, then we need to stop them now and stand up to them now.
[01:35:48.720 --> 01:35:50.079]  But of course, you don't know if that's happening.
[01:35:50.160 --> 01:35:51.120]  It's just racing ahead.
[01:35:51.200 --> 01:35:52.320]  It's all going to go to hell.
[01:35:52.640 --> 01:35:56.079]  Revelation's right around the corner, whatever you want to call it.
[01:35:56.400 --> 01:35:58.000]  And that's just the facts.
[01:35:58.320 --> 01:36:01.200]  All right, here is Patrick Mendavid's boil down from three months ago.
[01:36:01.280 --> 01:36:02.560]  It's just as good as it is today.
[01:36:02.880 --> 01:36:05.680]  It's very, very fair, very, very balanced, very, very accurate overall.
[01:36:05.760 --> 01:36:06.480]  Here it is.
[01:36:06.800 --> 01:36:08.160]  How much do you know about Palantir?
[01:36:08.400 --> 01:36:15.680]  How much do you know about the history of Alex Carp, the name prior to that, CIA, when it started, the month after it got started, kind of weird.
[01:36:15.920 --> 01:36:20.160]  Some of the people involved, you know, how now it's a $300 billion company.
[01:36:20.240 --> 01:36:22.240]  Just a couple of years ago was a $15 billion company.
[01:36:22.400 --> 01:36:23.600]  Stocks just skyrocketed.
[01:36:23.840 --> 01:36:26.560]  I think I even recommended it a few years ago, one of the videos that I did.
[01:36:26.880 --> 01:36:32.000]  Trump partnering up a lot of people with the California issue coming out saying, we should use Palantir.
[01:36:32.320 --> 01:36:32.720]  Why?
[01:36:33.039 --> 01:36:36.560]  Well, you have this technology called Gotham and Foundry.
[01:36:36.640 --> 01:36:38.400]  One of them knows how to judge people's behavior.
[01:36:38.560 --> 01:36:41.200]  So it's a minority report, which is kind of like a cool idea.
[01:36:41.360 --> 01:36:51.120]  And knowing the timing of it when it came out is right after what some of the people were trying to do with the government, DARPA, in 2003, that they closed and they said, no, we're not doing this program, which I'll talk about later.
[01:36:51.520 --> 01:36:55.600]  Month later, Palantir started with Alex Carp and Peter Thiel.
[01:36:55.840 --> 01:36:57.039]  But the history of it's weird.
[01:36:57.280 --> 01:37:01.680]  The most basic thing to be thinking about, the name Palantir, where does even Palantir come from?
[01:37:01.760 --> 01:37:03.039]  Do you ever watch Lord of the Rings?
[01:37:03.280 --> 01:37:08.160]  In Lord of the Rings, there's this thing called Palantir, which obviously a guy like me who for sure is a nerd.
[01:37:08.240 --> 01:37:09.920]  I follow all this stuff very, very closely.
[01:37:10.160 --> 01:37:12.160]  The meaning of Palantir is seeing stones.
[01:37:12.240 --> 01:37:17.360]  It's this stone that tells you what everybody in the world is doing today.
[01:37:17.680 --> 01:37:19.920]  And they named the company Palantir.
[01:37:20.240 --> 01:37:22.079]  So they're not even beating around the bush.
[01:37:22.240 --> 01:37:25.039]  We're going to build Palantir to see what you're doing.
[01:37:25.760 --> 01:37:30.240]  That's kind of like somebody starts a old folks home called Hannibal Elector.
[01:37:30.720 --> 01:37:33.280]  And you're like, well, send your father, send your mom.
[01:37:33.360 --> 01:37:35.039]  Your parents are going to be totally taking care of them.
[01:37:35.760 --> 01:37:37.200]  Why you guys call it Hannibal Elector?
[01:37:37.360 --> 01:37:37.760]  Who cares?
[01:37:37.840 --> 01:37:38.720]  It's just the name.
[01:37:39.039 --> 01:37:39.680]  Send them here.
[01:37:39.920 --> 01:37:41.280]  They're going to live a long life.
[01:37:41.360 --> 01:37:42.000]  They're going to be great.
[01:37:42.079 --> 01:37:42.800]  They're going to be okay.
[01:37:43.039 --> 01:37:44.960]  Send them to our place, Hannibal Elector.
[01:37:45.200 --> 01:37:45.760]  Middle year.
[01:37:46.240 --> 01:37:48.079]  A lot of questions that people have.
[01:37:48.469 --> 01:37:51.920]  We're going to dig a little bit deeper into seeing what the hell is going on with that.
[01:37:51.920 --> 01:38:02.149]  So if you're value in this video, give it a thumbs up and subscribe to the channel.
[01:38:02.160 --> 01:38:04.560]  I'm going to give you the notes at the end, so hang tight on how to get these.
[01:38:04.640 --> 01:38:05.920]  But who are their customers?
[01:38:06.000 --> 01:38:08.800]  So, you got business customers and you got government customers.
[01:38:08.960 --> 01:38:19.600]  And when I say government customers, like $130 million contract that they get from the government, including a $795 million contract that they got with the Pentagon and CIA, DHS, all of that stuff.
[01:38:19.760 --> 01:38:34.480]  At the same time, on the business side, you got Airbus that uses this technology with Palantir that they figured out a way on how to accelerate certain things from solving a problem of production error from 24 days to 17 days that saved them hundreds of millions of dollars.
[01:38:34.640 --> 01:38:36.000]  Ferrari uses Palantir.
[01:38:36.240 --> 01:38:37.680]  Credit Suisse uses Palantir.
[01:38:37.920 --> 01:38:39.680]  Merck and many others use Palantir.
[01:38:39.920 --> 01:38:43.120]  So the technology of surveillance is actually impeccable.
[01:38:43.520 --> 01:38:48.560]  When you run a company, you want to be able to do certain things to investigate who stole from you, forensics.
[01:38:48.720 --> 01:38:52.080]  We're going through it right now ourselves, and we've gone through it for the last 15 years.
[01:38:52.400 --> 01:38:54.480]  You need technology like that, so it does that.
[01:38:54.720 --> 01:38:56.480]  But that's company, right?
[01:38:56.560 --> 01:38:57.360]  That you're doing that with.
[01:38:57.440 --> 01:39:08.800]  Now, imagine the government has access to technology, medical records, how you live, what you do, what decisions you're going to make, minority report, based on the way you're living and the patterns of things you're doing.
[01:39:09.120 --> 01:39:11.680]  It's most likely that in the next 90 days, you're going to get a divorce.
[01:39:11.760 --> 01:39:13.760]  In the next 60 days, you could potentially kill somebody.
[01:39:14.080 --> 01:39:16.640]  That's the fear that the average person is like, well, listen.
[01:39:16.800 --> 01:39:17.840]  I'm like, no, no, no, no, no.
[01:39:17.920 --> 01:39:18.320]  This is great.
[01:39:18.480 --> 01:39:19.920]  Well, what's the big deal?
[01:39:20.080 --> 01:39:20.880]  It's just the company.
[01:39:21.120 --> 01:39:24.080]  The skepticism with 20, 30% of people is that.
[01:39:24.160 --> 01:39:26.320]  But let me explain to you what it does a little bit so you understand it.
[01:39:26.400 --> 01:39:29.200]  So Palantir isn't just an improving old databases.
[01:39:29.280 --> 01:39:34.880]  It's building what some experts are calling the most expensive civilian surveillance infrastructure in U.S. history.
[01:39:35.120 --> 01:39:50.080]  Instead of scattered files and spreadsheets, the platform will use real-time data integration and artificial intelligence to profile behavior, detect fraud, and identify individuals or patterns deemed risky by the system, deemed risky by the system.
[01:39:50.240 --> 01:39:53.200]  The system deems you risky or not risky.
[01:39:53.280 --> 01:39:57.440]  So the judgment's coming from the system saying, hey, this person's risky, be careful with this person.
[01:39:57.760 --> 01:39:59.440]  You know, what we want to do with them moving forward.
[01:39:59.680 --> 01:40:08.080]  At the core of the project, Palantir's Gotham software, already used by defense and intelligence agencies, Gotham will now be used on the domestic front.
[01:40:08.400 --> 01:40:10.800]  It doesn't just track information, it makes judgments.
[01:40:10.960 --> 01:40:11.680]  That's the key.
[01:40:12.000 --> 01:40:12.880]  Judgments, right?
[01:40:13.200 --> 01:40:21.760]  It could influence everything from how benefits are distributed to who gets flagged for closer scrutiny by law enforcement and immigration offices.
[01:40:21.920 --> 01:40:28.080]  This is why they're like, let's send Palantir to California and let's have ICE use it to see who are these people and deport them.
[01:40:28.240 --> 01:40:28.960]  Why don't we use that?
[01:40:29.040 --> 01:40:30.000]  It's going to be a lot easier.
[01:40:30.160 --> 01:40:35.360]  We can track all their behavior and everything they're doing to track them and get them back to Mexico.
[01:40:35.680 --> 01:40:37.520]  You hear these conversations taking place.
[01:40:37.840 --> 01:40:40.160]  This has the capabilities of doing things like that.
[01:40:40.400 --> 01:40:43.840]  Now, the founder, the CEO, Alex Carp, very interesting background.
[01:40:43.920 --> 01:40:45.680]  He's not necessarily the biggest Trump supporter.
[01:40:45.840 --> 01:40:48.640]  He supported Hillary Clinton in 2016, but it's not a big deal.
[01:40:48.800 --> 01:40:50.320]  A lot of people supported Hillary Clinton.
[01:40:50.640 --> 01:40:53.440]  Remember, Musk just became a Trump supporter a year ago.
[01:40:53.760 --> 01:40:56.720]  It's not like Musk was a Trump supporter 10 years ago, five years ago.
[01:40:56.800 --> 01:41:03.840]  So the criticism with that, maybe, yeah, he wasn't a Trump supporter, you know, pro-surveillance, reluctantly.
[01:41:03.920 --> 01:41:07.840]  Sometimes when he's doing interviews and giving the answers, like, yeah, but we don't want to do it.
[01:41:07.920 --> 01:41:09.280]  And I'm a little bit reluctant about it.
[01:41:09.520 --> 01:41:18.480]  And then also, Wary of Silicon Valley criticized big tech for undermining democracy and believes companies should take clear moral stands and anti-authoritarian.
[01:41:18.640 --> 01:41:20.800]  Now, you could be anti-authoritarian.
[01:41:20.960 --> 01:41:23.520]  This guy 20 years ago was worth less than a million dollars.
[01:41:23.600 --> 01:41:24.400]  You know what he's worth today?
[01:41:24.640 --> 01:41:25.120]  $12 billion.
[01:41:25.520 --> 01:41:26.880]  He's doing pretty good for himself financially.
[01:41:26.960 --> 01:41:30.720]  It's one of the most powerful people in America today that no one talks about, Alex Carp.
[01:41:30.800 --> 01:41:32.080]  You're going to hear a lot more about this name.
[01:41:32.320 --> 01:41:36.800]  But a contact, Peter Thiel, business partner, now relationship with Musk.
[01:41:37.040 --> 01:41:47.200]  When they came in and Doge started working with the government, Doge employees that were being hired to do the work, a lot of them were former Palantir employees.
[01:41:47.280 --> 01:41:48.640]  Now, why are they hiring Palantir employees?
[01:41:48.800 --> 01:41:50.240]  Somebody could say, they're brilliant.
[01:41:50.400 --> 01:41:51.120]  They're very smart.
[01:41:51.440 --> 01:41:55.360]  Somebody could say that was the way they were tracking wasted spending.
[01:41:55.600 --> 01:41:59.040]  This is a report that came out about some of the employees that used to be working with Palantir.
[01:41:59.360 --> 01:42:00.160]  You see the names.
[01:42:00.480 --> 01:42:02.000]  Software engineer at Palantir.
[01:42:02.320 --> 01:42:05.280]  Another one over here that used to work at Palantir again.
[01:42:05.360 --> 01:42:07.040]  Now he's helping recruit Doge members.
[01:42:07.280 --> 01:42:08.560]  Somebody could say, well, what's wrong with that?
[01:42:08.640 --> 01:42:12.160]  When Elon was, you know, trying to fix X, he brought a lot of Tesla engineers.
[01:42:12.320 --> 01:42:13.760]  So, yeah, that's a valid point.
[01:42:13.920 --> 01:42:21.360]  But again, this system is one that goes surveillance and tracks all the data to see what you do.
[01:42:21.680 --> 01:42:23.360]  They try to do this back in the days.
[01:42:23.520 --> 01:42:25.600]  The history needs to be told before we get here.
[01:42:25.680 --> 01:42:26.480]  So why don't we just do that?
[01:42:26.560 --> 01:42:27.840]  Why don't we go a little bit into the history?
[01:42:27.920 --> 01:42:31.840]  And we know Peter Thiel, probably one of the most powerful names that doesn't get enough credit.
[01:42:32.080 --> 01:42:32.880]  This guy's brilliant.
[01:42:33.120 --> 01:42:38.640]  He was one of the guys that was able to figure out a way to put money into Roth IRA that led to $6 billion that he didn't have to pay taxes on.
[01:42:38.880 --> 01:42:39.920]  And everything was kosher.
[01:42:40.080 --> 01:42:43.360]  Nothing he did there, according to a lot of the studies and research that was done.
[01:42:43.600 --> 01:42:44.880]  This guy was a pro-Trump guy.
[01:42:45.040 --> 01:42:50.000]  He at one point, I think, wanted to build a country on an island of its own, libertarian beliefs.
[01:42:50.240 --> 01:42:53.520]  Also, I think he's a PayPal mafia guy, super, super brilliant.
[01:42:53.840 --> 01:42:59.040]  And he's one of the guys last minute that had certain connections with J.D. Vance, that he was fans of J.D. Vance.
[01:42:59.360 --> 01:43:02.080]  I think he even helped fund the JD Vance at one of his businesses.
[01:43:02.320 --> 01:43:10.400]  There's very close ties where even some people say that's kind of how, you know, JD got into the picture with Theo Jr., all of that kind of came together.
[01:43:10.640 --> 01:43:11.920]  So now, history of surveillance.
[01:43:12.000 --> 01:43:12.560]  Let's go back to it.
[01:43:12.720 --> 01:43:13.440]  50s and 70s.
[01:43:13.600 --> 01:43:21.600]  The CIA begins experimenting with mass data collection and surveillance during the Vietnam War, laying the groundwork for future domestic applications of military tools.
[01:43:21.840 --> 01:43:25.600]  1980s, there's this company called Promise comes out with the software.
[01:43:25.680 --> 01:43:27.280]  It's so great the government decides to buy it.
[01:43:27.360 --> 01:43:30.400]  And then, boom, they bankrupt the business, but they take the technology.
[01:43:30.640 --> 01:43:36.160]  The software was developed by Inslaw and under DOJ contracts stolen by the U.S. and Israeli intelligence.
[01:43:36.320 --> 01:43:36.720]  Very interesting.
[01:43:36.800 --> 01:43:39.680]  What do you mean, stolen by the U.S. and Israeli intelligence?
[01:43:39.840 --> 01:43:47.760]  Promise became the prototype for surveillance systems tracking individuals globally during the Reagan era, including Oliver Nort, developed Maine Core.
[01:43:48.080 --> 01:43:48.560]  Keep that name.
[01:43:48.720 --> 01:43:50.640]  Maine court's going to come back up again in a minute.
[01:43:50.880 --> 01:43:57.680]  A classified database of American label as potential dissidents intended for use during continuity of government emergencies.
[01:43:57.840 --> 01:44:06.720]  COG, John Poindexter, again, remember that name, Reagan's national security advisor, is convicted for his role in the Iran-Contra affair.
[01:44:06.880 --> 01:44:08.640]  Later on, he was overturned on appeal.
[01:44:08.800 --> 01:44:10.400]  He was good to go, but this is a 1990.
[01:44:10.800 --> 01:44:16.880]  Remember, 1990, the program Maine Core, keep those two in mind, because we're going to come back to this later on.
[01:44:17.120 --> 01:44:26.160]  Okay, now, 2001, 9-11, and the surveillance state expansion, main core is reportedly accessed by the White House.
[01:44:26.320 --> 01:44:31.040]  Main Corps 2011, Main Core 80s, Reagan era all over North.
[01:44:31.280 --> 01:44:36.880]  Think about how many years later, 20 plus years later, give or take, 15 plus years later, this comes back up.
[01:44:37.200 --> 01:44:41.040]  Then DARPA launches Total Information Awareness TIA under who?
[01:44:41.360 --> 01:44:44.800]  John Poindexter to build an all-seen surveillance system.
[01:44:45.120 --> 01:44:54.560]  CIA CIO Alan Wade supports TIA, introducing concepts like selective revelation and audit trails for privacy shielding.
[01:44:54.880 --> 01:44:55.120]  Okay.
[01:44:55.680 --> 01:44:58.320]  So they've been trying to do this for a long time.
[01:44:58.640 --> 01:45:02.560]  You know, the same thing with the seeing stones in the hands of a good person could do good.
[01:45:02.800 --> 01:45:05.120]  If the wizard's a good wizard, hey, I can do good with this.
[01:45:05.280 --> 01:45:06.560]  Well, what typically ends up happening?
[01:45:06.720 --> 01:45:09.120]  You know, ends up being a maybe a wizard that was a good guy.
[01:45:09.360 --> 01:45:13.440]  So a wizard like Saruman, who at one point was a good guy, then becomes a bad guy, right?
[01:45:13.760 --> 01:45:15.600]  So you have access to this power.
[01:45:16.000 --> 01:45:17.760]  Like, man, I can control the world.
[01:45:18.000 --> 01:45:19.920]  Man, I can make sure nothing happens with this.
[01:45:20.160 --> 01:45:24.240]  In a movie, Book of Eli, one guy, Denzel Washington, looks at the Bible.
[01:45:24.480 --> 01:45:25.840]  Man, I can set people free.
[01:45:26.160 --> 01:45:27.760]  Another guy looks at the Bible.
[01:45:27.840 --> 01:45:30.560]  He's like, I need this Bible because with this, I can control people.
[01:45:30.880 --> 01:45:31.360]  Same book.
[01:45:31.520 --> 01:45:33.360]  Two different people, two different purpose.
[01:45:33.520 --> 01:45:35.920]  So some could say, what's wrong with you?
[01:45:36.160 --> 01:45:38.960]  Palantir can help find the bad guys and all this other stuff.
[01:45:39.280 --> 01:45:40.240]  In the hands of who?
[01:45:40.560 --> 01:45:41.280]  The good guy.
[01:45:41.520 --> 01:45:42.560]  So you may have voted for Trump.
[01:45:42.640 --> 01:45:43.760]  You're like, dude, Trump's in charge.
[01:45:43.840 --> 01:45:44.400]  I'm okay with this.
[01:45:44.640 --> 01:45:46.480]  Trump's not going to be charged forever.
[01:45:46.800 --> 01:45:48.480]  What if an evil president comes in?
[01:45:48.800 --> 01:45:51.440]  What if an evil administration comes in?
[01:45:51.600 --> 01:45:52.560]  Then what can they do?
[01:45:52.800 --> 01:45:56.880]  Then can they just kind of say, hey, this guy is very vocal, is against us?
[01:45:57.040 --> 01:45:57.520]  Judgment.
[01:45:57.600 --> 01:45:58.880]  That guy's going to jail for 20 years.
[01:45:59.040 --> 01:46:01.840]  We're going to say that the software said, this guy's about to commit a crime.
[01:46:01.920 --> 01:46:03.760]  He kills seven people, put him in jail for 20 years.
[01:46:04.000 --> 01:46:04.320]  What?
[01:46:05.280 --> 01:46:07.680]  That's the fear of where people are going with this.
[01:46:07.840 --> 01:46:08.160]  Make sense?
[01:46:08.240 --> 01:46:10.560]  You kind of lose your liberties and your freedom.
[01:46:11.600 --> 01:46:12.320]  That's illiterate.
[01:46:12.560 --> 01:46:14.800]  But they've been trying to do this for a while.
[01:46:14.960 --> 01:46:16.160]  Reagan's a good guy.
[01:46:16.480 --> 01:46:21.200]  They've been trying to do this for a while, but you have to think about a bad guy could one day take over.
[01:46:21.440 --> 01:46:22.400]  Let's see what happens next.
[01:46:22.480 --> 01:46:24.080]  So then, 2003, you ready for this?
[01:46:24.320 --> 01:46:25.280]  TIA shuts down.
[01:46:25.440 --> 01:46:27.440]  And this is a whole DARPA deal that we're talking about.
[01:46:27.680 --> 01:46:28.880]  You know what starts a month later?
[01:46:29.040 --> 01:46:29.600]  Give or take?
[01:46:29.760 --> 01:46:30.720]  Company called Palantir.
[01:46:30.880 --> 01:46:37.200]  And when Palantir got started, Peter Thiel, Alex Karp, all these guys, when that got started, it's like, well, what were they going to be doing?
[01:46:37.520 --> 01:46:42.480]  Originally, it was aimed to apply PayPal's fraud detection to counterterrorism post-9-11.
[01:46:42.800 --> 01:46:44.400]  Remember, these guys are PayPal people, right?
[01:46:44.480 --> 01:46:45.040]  They're coming in.
[01:46:45.200 --> 01:46:49.680]  2003, Peter Thiel, co-founder Alex Karp and others, backed by who?
[01:46:49.840 --> 01:46:50.480]  In QTEL.
[01:46:50.640 --> 01:46:51.440]  Who's into Tel?
[01:46:51.840 --> 01:46:55.920]  It's CIA's venture capital arm that invests in different technologies.
[01:46:56.000 --> 01:46:57.760]  CIA's like, yeah, you guys going to do something like this?
[01:46:58.080 --> 01:46:58.640]  Here's some money.
[01:46:58.720 --> 01:46:59.040]  Build it.
[01:46:59.200 --> 01:47:01.840]  We'd like to take advantage of something like this years later.
[01:47:02.160 --> 01:47:03.520]  And somebody Thiel's behind it.
[01:47:03.680 --> 01:47:05.520]  Again, Theo, good guy.
[01:47:05.760 --> 01:47:10.640]  These people may be good guys, but if it eventually gets into a bad guy's hand, then what happens?
[01:47:10.800 --> 01:47:14.880]  What if one day wizard, a person turns and says, no, no, no, I hate these people.
[01:47:15.200 --> 01:47:15.840]  I have power.
[01:47:16.000 --> 01:47:17.120]  Watch what I'm going to be doing.
[01:47:17.360 --> 01:47:18.880]  Scares the crap out of everybody, right?
[01:47:19.120 --> 01:47:21.840]  Especially with these folks that have all this money that they can do different things with.
[01:47:21.920 --> 01:47:22.800]  So now ICE contracts.
[01:47:22.880 --> 01:47:24.960]  Palantir supported Homeland Security Investigations.
[01:47:25.120 --> 01:47:28.400]  A division of ICE despite claims of not aiding deportations.
[01:47:28.560 --> 01:47:31.120]  Its tools were mission critical to targeted raids.
[01:47:31.200 --> 01:47:35.200]  Protests erupted in 2019, 2020, including outside of Carp's house, by the way.
[01:47:35.440 --> 01:47:41.360]  Activist group, Mijente-led opposition, likening Palantir's role to aiding in human rights violations.
[01:47:41.600 --> 01:47:52.160]  And then by the way, again, this is the part when it comes onto predictive privacy and surveillance, it was using predictive policing for LAPD, NYPD, NOPD, adopted it, but later dropped it.
[01:47:52.320 --> 01:47:59.360]  So predictive, again, predictive policing, that makes a lot of people uncomfortable when they see this.
[01:47:59.680 --> 01:48:02.800]  Very strong technology, still makes people uncomfortable.
[01:48:02.960 --> 01:48:05.040]  So the ethical dilemmas and public perception.
[01:48:05.200 --> 01:48:09.760]  CARP claims Palantir was built to balance national security and civil liberties.
[01:48:10.080 --> 01:48:16.960]  Critics, ACLU's Ben Witzner, views Palantir as enabling mass surveillance of citizens, ICE backlash versus military dependence.
[01:48:17.040 --> 01:48:21.040]  CARP says abandoning ICE would break trust with military partners.
[01:48:21.200 --> 01:48:23.840]  So again, good, bad criticism.
[01:48:24.000 --> 01:48:26.640]  We got a lot more we can talk about, but this is what they have right now.
[01:48:26.880 --> 01:48:29.360]  Two countries they don't do business with, China and Russia.
[01:48:29.520 --> 01:48:30.000]  Thank God.
[01:48:30.240 --> 01:48:32.480]  As of right now, they don't do business with two countries.
[01:48:32.720 --> 01:48:34.480]  I'll give you a couple other countries that use them.
[01:48:34.560 --> 01:48:40.320]  French intelligence used Palantir after 2015 Paris attacks, claimed it helped prevent further incidents.
[01:48:40.480 --> 01:48:47.120]  And the Danish government paid up to $41 million for a predictive counterterrorism platform.
[01:48:47.440 --> 01:48:48.960]  Denmark is public knowledge.
[01:48:49.040 --> 01:48:50.160]  The whole country uses Palantir.
[01:48:50.320 --> 01:48:51.120]  A couple other examples.
[01:48:51.280 --> 01:48:55.600]  JP Morgan, one of the former employees, used Palantir to spy on coworkers in 2018.
[01:48:55.920 --> 01:49:02.480]  And even a few years ago with WikiLeaks in 2011, apparently employees linked to a smear campaign.
[01:49:02.640 --> 01:49:04.080]  CARP later had to apologize.
[01:49:04.240 --> 01:49:06.880]  I believe it had to do with Glenn Greenwald, if I'm not mistaken.
[01:49:07.120 --> 01:49:15.280]  So Theo, Carp, Musk, you got XAI, you got Palantir, you got Doge, all of that coming together.
[01:49:15.440 --> 01:49:26.720]  Musk's leadership of Doge while running XAI and X creates a public private data pipeline where government data could enhance XAI's AI models, hence the Grok that we all know about that many, many people use.
[01:49:26.960 --> 01:49:31.920]  Colossus is a supercomputer developed by XAI, Elamas AI company, to train large language models.
[01:49:32.080 --> 01:49:39.200]  It currently develops the largest AI supercomputer in the world located in Memphis, Tennessee, and is powered by NVIDIA Hopper GPUs.
[01:49:39.280 --> 01:49:44.480]  Colossal was built in a former Electrolux factory and is being used to train XAI's Grok.
[01:49:44.720 --> 01:49:54.160]  So the XAI Palantir TWG partnership, March 2025, positions Musk companies to profit from Doge's data access, especially in financial services.
[01:49:54.480 --> 01:50:03.680]  This partnership with XAI, Palantir, and TWG positions potentially Musk's companies to profit in a big way from Doge's data access.
[01:50:03.840 --> 01:50:07.360]  Again, that's what a lot of people in the market are saying, that that's what could be happening here.
[01:50:07.520 --> 01:50:11.280]  So again, Gotham, one of the products of Palantir, used by intelligence and defense agencies.
[01:50:11.520 --> 01:50:15.920]  Foundry on the other side, that's used by corporations and civilian government agencies.
[01:50:16.320 --> 01:50:17.440]  Just a kicker here with this.
[01:50:17.600 --> 01:50:29.120]  Whenever you have a product like this that's being built, you always have to be thinking about, like when the founding fathers, you know, built America and they wrote the Constitution and George Washington had the opportunity to be a king third term.
[01:50:29.200 --> 01:50:30.400]  He said, no, I don't want to do it, right?
[01:50:30.560 --> 01:50:32.880]  And it was written in a way for this thing to last.
[01:50:33.120 --> 01:50:36.800]  And, you know, democracies don't last a long time because internally the people destroyed.
[01:50:36.880 --> 01:50:44.800]  They've been able to build something that if we go the way we're going, somehow, some way, we just may make it to next year, 250 year anniversary of U.S., 4th of July.
[01:50:44.880 --> 01:50:46.160]  We're going to be 250 years old.
[01:50:46.400 --> 01:50:47.280]  They built it that way.
[01:50:47.440 --> 01:50:58.800]  When you get technologies like this that gets into the U.S. government and it's being ran by people who it's a free-for-all, I don't know the level of regulations and controls that who has over them.
[01:50:58.960 --> 01:51:05.680]  We're getting to the point that back in the days, it used to be where billionaires were the most powerful people in the world in America.
[01:51:06.000 --> 01:51:09.520]  Rockefeller, Chase, they would finance the U.S. government.
[01:51:09.840 --> 01:51:13.040]  Then we went through a phase where presidents were the most powerful people in America.
[01:51:13.280 --> 01:51:25.360]  We are back to the phase where billionaires, soon to be trillionaires, could potentially be ruling everything because presidents are going to be needing them because the government's now becoming customers of these big companies, not the other way around.
[01:51:25.680 --> 01:51:26.800]  We're headed in that direction.
[01:51:26.960 --> 01:51:29.840]  What that could look like is, I don't want to tell you what that could look like.
[01:51:30.080 --> 01:51:40.000]  Just pray that these people are good actors and they want to do the right things and they don't want to use their power to control you and others out there.
[01:51:40.160 --> 01:51:46.400]  But there's a reason why I have the brand, Future Looks Bright, because I'm convinced the future looks bright.
[01:51:46.560 --> 01:51:50.720]  But there's 49% of me that also believes in only the paranoid survive.
[01:51:50.880 --> 01:51:56.560]  This whole concept with this technology, very, very good to be able to catch the bad guy, get him out of a country.
[01:51:56.720 --> 01:52:04.960]  Imagine if a terrorist that was supposed to do the next 9-11 and if Palantir can show that they did something like that and that saves thousands of people's lives.
