# Transcription model: nvidia/parakeet-tdt-0.6b-v2, and large-v3-turbo
[00:00:00.000 --> 00:00:01.040]  He's like, yeah, kid.
[00:19:59.519 --> 00:20:07.679]  You had this ambulance chasing firm, Senator Blumenthal's involved in called Koskov and Koskov that kind of runs the local courts.
[00:20:07.759 --> 00:20:10.559]  And I mean, literally, they told me in the mediation, they said, you're going to lose.
[00:20:10.639 --> 00:20:11.359]  We're the mafia.
[00:20:12.000 --> 00:20:13.759]  And he said, I'm going to go talk to your lawyer in here.
[00:20:14.159 --> 00:20:14.960]  He'll talk to you later.
[00:20:15.039 --> 00:20:15.519]  We're in the car.
[00:20:15.599 --> 00:20:18.639]  And he's like, yeah, they want you to stop being political.
[00:20:18.799 --> 00:20:19.519]  Basically, come work for them.
[00:20:19.599 --> 00:20:20.319]  They're going to destroy you.
[00:20:20.799 --> 00:20:22.879]  So, I mean, the guy said, you see the movie Godfather?
[00:20:23.200 --> 00:20:24.240]  And he's sitting like right here.
[00:20:24.480 --> 00:20:25.279]  He's at the head of the table.
[00:20:25.440 --> 00:20:26.079]  I go, yeah, I've seen it.
[00:20:26.240 --> 00:20:27.519]  You know, Mario Puzzo's book.
[00:20:27.759 --> 00:20:28.960]  Like, I'm some knuckletager.
[00:20:29.039 --> 00:20:29.919]  I don't know what anything is.
[00:20:30.559 --> 00:20:32.399]  And he goes, well, that's who we are.
[00:20:32.480 --> 00:20:32.960]  We run the state.
[00:20:33.119 --> 00:20:34.079]  You will be destroyed.
[00:20:34.319 --> 00:20:36.240]  So I'm going to go talk to your lawyer in here.
[00:20:36.480 --> 00:20:40.079]  There was a judge right there in mediation up in this big building in Bridgeport, Connecticut.
[00:20:40.399 --> 00:20:46.000]  And then my lawyer, he goes, well, sorry, they had me all the way up to Connecticut to this thing just so you could talk to me five minutes.
[00:20:46.960 --> 00:20:48.960]  And then he goes and tells my lawyer for about 10 minutes.
[00:20:49.039 --> 00:20:49.519]  We're in the car.
[00:20:49.679 --> 00:20:55.279]  And Mormon Pattis goes, Yeah, yeah, they want you to, you know, have a list of things they want you to stop doing.
[00:20:55.359 --> 00:20:57.200]  And I said, let me guess, it's a big list.
[00:20:57.519 --> 00:20:59.359]  He says, well, then we stop talking about the Second Amendment.
[00:20:59.440 --> 00:21:01.679]  And yeah, if you want to do it, they want to have a conference with you.
[00:21:01.839 --> 00:21:03.759]  So they thought I would come in there and be their minion.
[00:21:04.000 --> 00:21:22.480]  They didn't know that before all this started, I had a huge top law firm, Republican law firm, the presidents, which is the big one, say, hey, we're just going to walk the time, Nalam Huss, would like to have a foundation where you're fat checkers and you're a reform guy that meant well, but now you're, see, I'd be the trusted guy.
[00:21:23.119 --> 00:21:24.879]  And you'll get 50 million personally.
[00:21:25.039 --> 00:21:27.599]  And then they'll run this foundation, you know, 50 million a year.
[00:21:27.919 --> 00:21:31.839]  And they said, if you don't take this, you know, you're about to get sued massively.
[00:21:33.039 --> 00:21:34.720]  And I didn't take the deal.
[00:21:34.879 --> 00:21:37.279]  And then they came back and I was up at D.C. a lot with the Trump stuff.
[00:21:37.359 --> 00:21:38.399]  They said, come on back by.
[00:21:39.519 --> 00:21:40.480]  Let's folks want to meet with you.
[00:21:40.559 --> 00:21:42.720]  This is all off record, so I don't say the names because I have off-record meetings.
[00:21:42.799 --> 00:21:44.159]  I don't, you know, talk about it.
[00:21:44.799 --> 00:21:47.519]  Other than the mediation, because in my view, that's criminal, what he said.
[00:21:47.839 --> 00:21:52.799]  And later, they called Morton Pattis up outside the mediation and repeated to him over the phone, so I'm able to say it.
[00:21:53.119 --> 00:21:59.839]  And they did it again in Texas with the mediation a couple of years ago, the mediation after the show trials.
[00:22:00.000 --> 00:22:02.319]  They said, we want you to shut up and we'll shut all this down.
[00:22:02.399 --> 00:22:05.039]  They had Aldenberg there controlling it, the FBI guy.
[00:22:05.920 --> 00:22:06.720]  He didn't tell it to me.
[00:22:06.799 --> 00:22:08.000]  He just stood in the back and ran things.
[00:22:08.159 --> 00:22:09.519]  And then we go off the conference rooms.
[00:22:09.679 --> 00:22:11.599]  But what was the point?
[00:22:11.679 --> 00:22:13.039]  I was like, this is really key.
[00:22:14.879 --> 00:22:20.480]  Oh, so I'm back in D.C. and they say, listen, you ought to come meet with these people.
[00:22:20.559 --> 00:22:21.839]  Just so you know how serious this is.
[00:22:22.639 --> 00:22:24.319]  So it looks like some kind of movie Network.
[00:22:24.639 --> 00:22:32.639]  Big, huge conference table, the green lights, the huge paintings, the big dark room.
[00:22:32.960 --> 00:22:36.720]  And there's like Democrat Party top lawyers that you see on the news all the time.
[00:22:37.279 --> 00:22:48.720]  And I'm sitting there and it was, I mean, I've been around the world, seen a few things and things, but I never seen anything like this.
[00:22:49.039 --> 00:22:55.039]  And they're all just giddy, smiling at me and saying, come on, Alex, you really need to, you know, come on in.
[00:22:55.119 --> 00:22:55.920]  And we love you.
[00:22:56.000 --> 00:22:57.519]  We want to work with you and all this stuff.
[00:22:57.839 --> 00:23:06.079]  And I'm sitting there and it was like, they didn't say it, but it was like all, they were like turning off their acting normal thing and all were acting like gay dudes.
[00:23:06.399 --> 00:23:08.319]  They're like, oh, oh, you're so good.
[00:23:09.279 --> 00:23:11.279]  And I was like, listen, I'm out of here.
[00:23:11.599 --> 00:23:13.679]  So that's how crazy these people are.
[00:23:14.000 --> 00:23:16.319]  And I guess they're just used to going around.
[00:23:16.480 --> 00:23:17.599]  Everybody just bows down to them.
[00:23:17.679 --> 00:23:18.399]  Everybody's for sale.
[00:23:19.119 --> 00:23:22.000]  So imagine years later, they're like, we're the mafia.
[00:23:22.079 --> 00:23:23.759]  And I'm like, yeah, you're the little soldier.
[00:23:23.839 --> 00:23:25.119]  I've already met with your bosses.
[00:23:25.359 --> 00:23:25.519]  Yeah.
[00:23:26.159 --> 00:23:27.279]  That's what I told him.
[00:23:27.599 --> 00:23:30.879]  And he goes, he was wearing a master in COVID and he goes off.
[00:23:31.200 --> 00:23:33.839]  And I mean, these people are just unbelievable, man.
[00:23:34.720 --> 00:23:39.359]  And so they've raised at least 300 million off my name running ads.
[00:23:39.440 --> 00:23:40.399]  Oh, he's hurting against these person.
[00:23:40.559 --> 00:23:41.759]  He's going to give us money now.
[00:23:42.399 --> 00:23:45.519]  And thousands of news articles, hundreds of TV programs, movies.
[00:23:45.839 --> 00:23:48.399]  And it's like, Alex Jones hurt the parents of the kids.
[00:23:48.559 --> 00:23:49.440]  Alex Jones did that.
[00:23:49.519 --> 00:23:50.480]  And then you actually read it.
[00:23:50.799 --> 00:23:51.200]  Nothing.
[00:23:51.359 --> 00:23:52.079]  No one ever.
[00:23:52.559 --> 00:23:53.039]  This is crazy.
[00:23:53.119 --> 00:23:55.599]  This is one of the craziest stories of our fucking time.
[00:23:55.920 --> 00:23:56.720]  Like, this is wild.
[00:23:56.799 --> 00:23:58.960]  They're going to make movies about this in the future.
[00:23:59.200 --> 00:24:00.079]  Like, this is nuts, dude.
[00:24:00.240 --> 00:24:00.799]  Well, exactly.
[00:24:00.879 --> 00:24:03.679]  It's going to come out like the Mendez brothers that they were actually the victims.
[00:24:03.839 --> 00:24:04.079]  Yeah.
[00:24:04.639 --> 00:24:07.119]  I mean, because I could tell you, this is stalking.
[00:24:07.359 --> 00:24:09.920]  Have you talked to Mike Lindell since his ship went down?
[00:24:10.000 --> 00:24:10.639]  Yeah, I had him on.
[00:24:10.720 --> 00:24:11.599]  I had him on last week.
[00:24:11.759 --> 00:24:12.079]  Oh, shit.
[00:24:12.159 --> 00:24:12.480]  I missed it.
[00:24:12.879 --> 00:24:14.079]  We won't even place a clips from it.
[00:24:14.159 --> 00:24:16.960]  Yeah, they defaulted him last month, $1.5 billion.
[00:24:17.039 --> 00:24:17.759]  I guess that's the number.
[00:24:18.240 --> 00:24:20.159]  And all he did was point out that you can hack.
[00:24:20.319 --> 00:24:22.720]  I mean, you can hack any voting machine and hack any computer.
[00:24:22.960 --> 00:24:28.799]  And they do demonstrations all the time with all the companies where low-level hackers come in and five minutes are inside of them.
[00:24:29.279 --> 00:24:31.440]  And all he said was we should investigate it.
[00:24:32.799 --> 00:24:34.559]  And the courts are so rigged.
[00:24:34.639 --> 00:24:36.000]  None of the courts ever saw any evidence.
[00:24:36.079 --> 00:24:37.519]  They would never let Trump present any of it.
[00:24:37.759 --> 00:24:40.559]  That's why Trump's finally getting all the stuff from Georgia and Arizona.
[00:24:40.639 --> 00:24:41.359]  They're freaking out.
[00:24:42.000 --> 00:24:47.119]  And And so Mike Lindell literally just sells sheets and pillows and slippers.
[00:24:47.439 --> 00:24:49.199]  He goes out, puts all his money into this.
[00:24:49.279 --> 00:24:50.559]  He's been totally vindicated.
[00:24:50.879 --> 00:24:57.279]  It's all coming out in the mass, mail-in ballot fraud, people muling the things in, all the stuff they did.
[00:24:57.919 --> 00:25:07.919]  And they want him to shut up because he also launched a network that is just as successful, reaches, I mean, we're talking tens of millions a day, the Lindell network.
[00:25:08.240 --> 00:25:11.359]  And it's just that model that he's got all these great talk show hosts on.
[00:25:11.599 --> 00:25:14.959]  Mainly they got censored off corporate media for telling the truth.
[00:25:15.279 --> 00:25:18.079]  I mean, award-winning journalists, and they want him.
[00:25:18.319 --> 00:25:22.799]  And they've come to him too and said, look, if you just stop, we'll stop.
[00:25:23.439 --> 00:25:24.799]  He's just like, what do you think?
[00:25:25.279 --> 00:25:28.720]  I mean, would you give your eyes up for a billion dollars?
[00:25:28.879 --> 00:25:30.559]  No, no one that's saying would.
[00:25:30.639 --> 00:25:32.159]  Well, would you give your soul up for everything?
[00:25:32.480 --> 00:25:33.679]  What does it profit a man in the game?
[00:25:33.839 --> 00:25:35.039]  The whole world loses soul.
[00:25:35.359 --> 00:25:41.519]  Because once you sell out to these people, it's always more, more, more, more.
[00:25:42.000 --> 00:25:44.319]  And America and the world was asleep.
[00:25:44.639 --> 00:25:45.519]  We're not asleep now.
[00:25:45.599 --> 00:25:47.119]  And so that's why the Great Awakening's here.
[00:25:47.359 --> 00:25:48.240]  They're trying to censor.
[00:25:48.319 --> 00:25:49.039]  They're trying to control.
[00:25:49.199 --> 00:25:50.960]  It's only creating a stratagem effect.
[00:25:51.279 --> 00:25:53.039]  But now to the other issue.
[00:25:54.240 --> 00:26:02.240]  I got really successful, well-known lawyers that have been involved in winning billion-dollar cases and stuff huge.
[00:26:03.119 --> 00:26:10.240]  And they actually went in the last few years and went over the entire record of the depositions, the trials, everything, and got all the stuff.
[00:26:10.399 --> 00:26:11.599]  And they were like, oh, my God.
[00:26:12.159 --> 00:26:15.199]  They would publish in a news article something you said that wasn't true.
[00:26:15.519 --> 00:26:17.119]  They'd put it in a pleading.
[00:26:17.439 --> 00:26:19.519]  And then they'd put it in front of a judge who said you were guilty.
[00:26:19.679 --> 00:26:23.279]  And then they would put in there all these quotes that I didn't even say.
[00:26:23.599 --> 00:26:25.199]  They're completely fake.
[00:26:26.399 --> 00:26:28.480]  Or it'll be like, no, I believe kids died.
[00:26:28.639 --> 00:26:30.639]  This person coming on believes it's totally fake.
[00:26:30.960 --> 00:26:33.839]  It's totally fake, even though I could say that if I wanted to.
[00:26:34.159 --> 00:26:42.719]  And then we put it before the Supreme Court with the data, with all the clips, all indexed perfectly, massive amounts of money spent to do this.
[00:26:43.359 --> 00:26:44.719]  We published a book.
[00:26:45.119 --> 00:26:46.399]  I should have brought like it's a book.
[00:26:46.879 --> 00:26:50.960]  And then it has the indexes to everything, hundreds of thousands of pages if they decide to take it.
[00:26:51.279 --> 00:26:58.000]  The first two hurdles are like a group of low-level committee lawyers who are the main lawyers for the justices.
[00:26:58.319 --> 00:27:00.559]  95% of stuff never gets it past those.
[00:27:00.879 --> 00:27:03.839]  It got to the justices last week.
[00:27:04.159 --> 00:27:08.480]  They waited over the weekend and they just said they didn't even look at it was what they said.
[00:27:08.639 --> 00:27:11.919]  We're not even looking at it and no comment.
[00:27:13.119 --> 00:27:17.279]  So, so, and the other side didn't even file a response because I guess they knew.
[00:27:17.839 --> 00:27:19.359]  And so it's just political.
[00:27:19.679 --> 00:27:22.960]  And then you have the deputy AG saying, basically, I'm subhuman.
[00:27:23.039 --> 00:27:24.719]  He said, this guy's fringe.
[00:27:24.960 --> 00:27:25.199]  Yeah.
[00:27:25.439 --> 00:27:27.599]  So what if he's judge finds him guilty?
