[00:00:00.069 --> 00:00:01.609]  Threat to America.
[00:25:48.923 --> 00:25:59.771]  September 16th, 26th is seen as a sign of the commitment NATO states to support non-NATO member Ukraine while stopping, well short of military intervention, in the conflict.
[00:26:00.372 --> 00:26:12.561]  The annual exercise to take place, a training center near Ukraine's border with Poland, was initially scheduled for July, but was put back because early planning was disrupted by the crisis in the eastern part of the country.
[00:26:14.537 --> 00:26:17.718]  Continuing here with what's unfolding in Russia.
[00:26:18.239 --> 00:26:24.161]  Russia is now to conduct drills with their nuclear forces.
[00:26:24.941 --> 00:26:28.643]  Russia's strategic nuclear forces to hold major exercise this month.
[00:26:29.203 --> 00:26:35.386]  The forces responsible for Russia's strategic nuclear arsenal will conduct major exercises this month involving more than 4,000 soldiers.
[00:26:35.746 --> 00:26:41.989]  The Defense Ministry said today in a latest sign of rising tension with NATO over the Ukraine crisis.
[00:26:42.569 --> 00:27:00.374]  In an announcement a day before the start of the NATO Summit in Wales, RIA News Agency quoted the ministry as saying the exercise would take place in Altia in south-central Russia and would also include around 400 technical units and extensive use of air power.
[00:27:03.257 --> 00:27:20.731]  The head of their strategic rocket forces is saying troops would practice countering irregular units and high precision weapons and conducting combat missions in conditions of active radio, electronic jamming, and intensive enemy actions in areas of troop deployment.
[00:27:22.533 --> 00:27:26.156]  Or close quarter, medium range, and short range strategic nuke war.
[00:27:27.878 --> 00:27:29.160]  That's basically what they're preparing for.
[00:27:29.180 --> 00:27:37.209]  He said enemy forces would be represented in the exercise by Russian special forces units.
[00:27:39.112 --> 00:27:44.678]  Supersonic MiG-31 fighter interceptors and Su-24MR reconnaissance aircraft would take part.
[00:27:45.956 --> 00:27:50.778]  Saying the scale of the power involved was unprecedented for exercises of this type.
[00:27:51.058 --> 00:27:59.462]  Both Russia and NATO have stepped up military maneuvers since the outbreak of the conflict in Ukraine between government forces and pro-Russian separatists in the east of the former Soviet Republic.
[00:27:59.962 --> 00:28:10.287]  A Kremlin secretary-advisor said Tuesday that Russia would update its military doctrine this year in light of the Ukraine crisis and sharp deterioration of relations with NATO.
[00:28:13.748 --> 00:28:15.169]  A new Cold War.
[00:28:17.503 --> 00:28:24.465]  And I'm going to say it again, I don't lionize, I don't romanticize, I don't deify any of the Russians.
[00:28:26.746 --> 00:28:32.668]  But the Russians are not teaching our kids 2 plus 2 equals 5 and saying if we have businesses we didn't build them.
[00:28:33.228 --> 00:28:35.069]  Or that raising the debt limit doesn't raise the debt.
[00:28:35.309 --> 00:28:38.210]  They're not funding Al Qaeda all over the world, they're fighting them.
[00:28:40.523 --> 00:28:43.945]  They're promoting Christian values now in Russia, compared to us.
[00:28:44.325 --> 00:28:45.305]  Family values.
[00:28:46.026 --> 00:28:50.808]  And that's why the West, run by a bunch of mental patients, it's not even America.
[00:28:51.168 --> 00:29:03.073]  It's the criminal nutballs that have control of our society, the military-industrial complex, and the big banks that wanted to suck Ukraine and a bunch of other former Soviet satellites dry.
[00:29:03.774 --> 00:29:08.416]  So they're replacing the old Soviet tyranny twenty-something years ago with a new globalist tyranny.
[00:29:09.648 --> 00:29:13.651]  The EU operates, ladies and gentlemen, just like the old Soviet Union does.
[00:29:13.811 --> 00:29:17.994]  We've had members of the EU parliament on, like Nigel Farage many times, the head of UKIP.
[00:29:20.956 --> 00:29:25.580]  The head of the outgoing president of the Czech Republic said it's the new Soviet Union.
[00:29:27.681 --> 00:29:35.427]  So it's that America is becoming super corrupt, the EU is ultra corrupt, and it's starting a fight with Russia
[00:29:36.638 --> 00:29:38.620]  And just pushing, it's very dangerous.
[00:29:39.381 --> 00:29:42.563]  We're gonna open the phones up when we come back, give the number, I'll get your take on this and more.
[00:29:43.004 --> 00:29:50.531]  I had confirmed this before with Venezuelan listeners and friends, but Reuters reports that they now pray in public school to Chavez.
[00:29:50.611 --> 00:29:51.512]  We're on the march.
[00:29:51.992 --> 00:29:53.533]  The empire's on the run.
[00:29:53.553 --> 00:29:54.414]  State is not God.
[00:29:54.534 --> 00:29:57.197]  Alex Jones and the GCN Radio Network.
[00:30:02.532 --> 00:30:08.474]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:30:08.694 --> 00:30:12.896]  Most people know that iodine deficiency has been a crisis around the world.
[00:30:13.256 --> 00:30:17.818]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:30:18.238 --> 00:30:20.839]  I discovered a product being developed by Dr. Group.
[00:30:21.139 --> 00:30:26.301]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:30:26.602 --> 00:30:33.484]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:30:33.985 --> 00:30:37.746]  And the results that I personally have had have been life-changing.
[00:30:38.106 --> 00:30:42.908]  Nobody else has got iodine based on these pure crystals, ladies and gentlemen.
[00:30:43.229 --> 00:30:44.089]  This is innovating.
[00:30:44.369 --> 00:30:51.651]  And the best part is, it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:30:51.851 --> 00:30:55.912]  For a limited time, experience the ancient power of Survival Shield X2.
[00:30:56.112 --> 00:31:01.274]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLive.com.
[00:31:02.475 --> 00:31:05.998]  The government's Department of Homeland Security is buying up loads of ammo.
[00:31:06.138 --> 00:31:10.101]  At the same time, they're restricting civilians' rights to own and purchase firearms.
[00:31:10.421 --> 00:31:11.883]  Can you put two and two together?
[00:31:12.203 --> 00:31:19.789]  Infidel Body Armor can stop every round, including hollow points and .308 sniper rounds, is reasonably priced, and fully legal.
[00:31:20.069 --> 00:31:20.910]  But for how long?
[00:31:21.210 --> 00:31:27.455]  Go to InfidelBodyArmor.com, spelled I-N-F-I-D-E-L BodyArmor.com.
[00:31:27.855 --> 00:31:30.658]  Infidel Body Armor just won't quit.
[00:31:32.628 --> 00:31:39.513]  I'm David Hall, founder of Diamond Gusset, where we are proud of our 100% grown and sewn American-made jeans.
[00:31:39.893 --> 00:31:47.218]  Whether you're out for dinner, working on the farm, or on the road, Diamond Gusset Jeans offers a full spectrum of style and sizes for any occasion.
[00:31:47.819 --> 00:31:52.342]  Our loyal customers enable us to continue sponsoring Liberty Media outlets.
[00:31:53.342 --> 00:31:58.165]  Use promo code FREEDOM to receive a 15% discount at gusset.com.
[00:31:58.706 --> 00:32:01.628]  In Liberty, David Hall, Diamond Gusset Jeans Company.
[00:32:02.529 --> 00:32:03.630]  Open your eyes.
[00:32:04.050 --> 00:32:07.013]  It's time to give your eyes a powerful nutritional boost.
[00:32:07.494 --> 00:32:13.680]  Sight is the primary input to the brain, arguably making eyesight the most important sense we have.
[00:32:13.980 --> 00:32:22.049]  And just like the other important organs in our bodies, our eyes function at peak levels when they are fed the proper amounts of essential nutrition.
[00:32:22.389 --> 00:32:23.390]  Open your eyes.
[00:32:23.750 --> 00:32:38.785]  Combining key ingredients like vitamin A, zinc, lutein, proprietary saffron bulb extracts and more, Occupower by Infowars Life is a new formulation specifically designed to nutritionally assist the natural function of healthy eyes.
[00:32:39.345 --> 00:32:46.893]  Optimize the natural power of your eyes with the latest addition to the super high quality InfoWars Live formulations, OcuPower.
[00:32:47.154 --> 00:32:52.399]  Go to InfoWarsLive.com or InfoWarsStore.com to order OcuPower.
[00:32:52.699 --> 00:32:53.180]  Or call 1-888-253-3139.
[00:32:53.200 --> 00:32:53.600]  OcuPower.
[00:32:53.620 --> 00:32:54.421]  Open your eyes.
[00:33:06.833 --> 00:33:24.438]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:33:29.182 --> 00:33:36.507]  The news websites, my friends, are InfoWars.com, because there's a war on for your mind, and PrisonPlanet.com.
[00:33:38.009 --> 00:33:48.196]  You can follow us on Twitter, at RealAlexJones, and you can also check out all our different Facebook pages, our YouTube pages, you name it, linked at InfoWars.com.
[00:33:51.107 --> 00:33:59.890]  I want to get into General McInerney, I always pronounce that wrong, saying, quote, we helped build ISIS on national television, on Fox News.
[00:34:04.011 --> 00:34:16.995]  We're also going to get into the fact that it is emerging the preponderance of evidence that the beheading videos are indeed fake.
[00:34:18.783 --> 00:34:22.985]  That doesn't mean ISIS isn't really chopping people's heads off by the tens of thousands every few months.
[00:34:23.565 --> 00:34:26.106]  Haven't killed over 300,000 people in Syria alone.
[00:34:26.426 --> 00:34:29.947]  More than 50,000 conservative estimates by Lancet and others in Iraq.
[00:34:32.529 --> 00:34:34.249]  Remember who's funding them and protecting them.
[00:34:34.729 --> 00:34:48.455]  But now these reporters it's turning out work for groups that are known CIA cutouts and are being released by the same group that got caught putting out a fake al-Qaeda video before.
[00:34:51.684 --> 00:34:58.691]  And they think the public is so stupid, they upload the Al-Qaeda logos with the Defense Department logos in the same video layer.
[00:34:59.111 --> 00:34:59.772]  Let me explain that.
[00:35:00.252 --> 00:35:03.155]  It's produced at the same time on the same computer.
[00:35:04.156 --> 00:35:12.804]  They don't even care to create one copy, run it through, grab it like it's been compressed already, and then put another layer over it.
[00:35:13.104 --> 00:35:14.645]  So you can see the layers of compression.
[00:35:15.526 --> 00:35:16.207]  They just don't care.
[00:35:17.659 --> 00:35:27.721]  Like, Obama's birth certificate was in eight different layers, completely fake, put out in the layers, not combined with the fake typewriter computer print.
[00:35:28.881 --> 00:35:32.802]  Each typewriter strike is different, like a snowflake or fingerprint.
[00:35:33.182 --> 00:35:34.102]  These were identical.
[00:35:34.502 --> 00:35:36.063]  Within hours, we said it was fake.
[00:35:36.283 --> 00:35:41.044]  Within months, top experts all came out and said the same thing, because you could look at it in minutes and see it was fake.
[00:35:41.824 --> 00:35:46.785]  The typewriter strikes, the C's, the T's, the A's, everything, was a
[00:35:49.414 --> 00:35:52.977]  Basically, Microsoft Word fake typewriter font.
[00:35:55.279 --> 00:35:58.341]  Meant to be fake, meant to just flaunt it in our face.
[00:36:00.123 --> 00:36:03.365]  And see, make it all a debate that he's really from Kenya, because he wasn't.
[00:36:04.366 --> 00:36:11.011]  That wasn't his dad, he was from Hawaii, the son of a famous communist, who it turned out he would spend summers with, and who was his father.
[00:36:11.332 --> 00:36:12.993]  All hiding in plain view.
[00:36:13.073 --> 00:36:13.954]  Frank Marshall Davis.
[00:36:14.754 --> 00:36:15.635]  Unbelievable.
[00:36:16.476 --> 00:36:17.677]  See how they run those PSYOPs?
[00:36:19.124 --> 00:36:24.026]  That's why he announced in his Harvard Law Review Journal that he was the editor of, that he was born in Kenya.
[00:36:24.366 --> 00:36:30.169]  That's why his wife in 2007 gave three speeches saying, we went back to his homeland where he was born, Kenya.
[00:36:31.530 --> 00:36:33.971]  Was all setting it up for us to take the bait.
[00:36:36.572 --> 00:36:38.173]  See how sophisticated psyops are?
[00:36:42.483 --> 00:36:47.384]  Sotloff video found by group responsible for releasing fake Osama Bin Laden video.
[00:36:47.745 --> 00:36:49.925]  Group connected to Homeland Security and government insiders.
[00:36:51.526 --> 00:36:53.286]  Well, yeah, it's a Defense Department subdivision.
[00:36:53.786 --> 00:36:55.627]  James Foley worked under U.S.
[00:36:55.867 --> 00:36:58.248]  aid, a known U.S.
[00:36:58.288 --> 00:36:59.168]  intelligence front.
[00:36:59.208 --> 00:37:00.748]  He was more than just a journalist.
[00:37:01.829 --> 00:37:09.571]  Yeah, like Michael Hastings, whose wife was in the National Security Council.
[00:37:10.885 --> 00:37:13.747]  He said, Homeland Security's after me, oh my God, the government's pure evil.
