[00:00:00.009 --> 00:00:02.093]  Host, direct from Austin.
[00:25:59.512 --> 00:26:24.291]  And there's just so much of it out there, and talking to Dr. Sherry Tenpenny, medical doctor yesterday, she was listing on air the mutations that the flu vaccine is actually causing, creating new flus, and how also that's then causing infections that then create a space that these drug-resistant bacteria can grow in.
[00:26:25.748 --> 00:26:32.413]  And what she was saying is exactly what the other medical doctors that were treating my uncle were saying.
[00:26:33.174 --> 00:26:51.109]  And no one could tell exactly what's doing all of this, but undoubtedly, if you have the number of deaths going on in Texas alone, five years ago with the whole H1N1 hype, meant to sell products, and meant to get people to go get vaccinated with whatever else had been added to that shot, there was a bunch of stuff in there.
[00:26:51.629 --> 00:26:52.470]  Very experimental.
[00:26:53.928 --> 00:26:58.570]  If you had one-tenth as many deaths, then it would have been total hysteria.
[00:26:58.870 --> 00:27:03.612]  So you know it's serious, and you know it's bad, when all the hospitals around the country are full.
[00:27:04.653 --> 00:27:07.014]  Not just here in Texas, but this is the epicenter, it seems.
[00:27:08.675 --> 00:27:13.017]  When they're not just full, but there's people dying in them, en masse.
[00:27:13.877 --> 00:27:15.658]  I mean, we're talking about ten,
[00:27:16.943 --> 00:27:20.424]  People or so in some major hospitals dying a week from this.
[00:27:20.544 --> 00:27:23.705]  Five people, six people, four people in small hospitals.
[00:27:23.785 --> 00:27:29.407]  I mean it is serious business and it's barely even hit the news wires.
[00:27:30.287 --> 00:27:32.648]  And so my children hardly ever get sick.
[00:27:33.008 --> 00:27:34.408]  Took them three weeks to get over this.
[00:27:34.448 --> 00:27:42.811]  My dad was sick for a month and went and got tested and they couldn't find out what it was because it's a microplasm.
[00:27:44.042 --> 00:27:50.108]  That's what fills in the gaps, according to Sherry Tenpenny and others, are these microscopic bacteria.
[00:27:50.168 --> 00:27:53.811]  Bacteria are already microscopic, but they're tiny compared to a regular bacteria.
[00:27:54.712 --> 00:28:00.397]  And it was being reported a few weeks ago when the deaths were starting to occur.
[00:28:00.497 --> 00:28:05.622]  Now, there's pretty much a blackout on it, so we need to continue to investigate that.
[00:28:05.682 --> 00:28:08.605]  But I want to thank you all for your prayers for my uncle.
[00:28:09.676 --> 00:28:13.077]  I want to thank you for your prayers for this radio show and what we do here.
[00:28:13.097 --> 00:28:15.777]  I know you're going through a lot out there as well.
[00:28:16.857 --> 00:28:18.618]  I know that we have some crew members here.
[00:28:19.798 --> 00:28:25.619]  Weldon's uncle is in a hospital, also a Vietnam fighter, a helicopter pilot.
[00:28:27.140 --> 00:28:29.180]  And they said that he's dying of Agent Orange.
[00:28:31.340 --> 00:28:38.022]  And very similar parallels to Weldon, who I had dinner with last night, and with some of the other crew.
[00:28:39.199 --> 00:28:41.401]  And with what's happened with my uncle.
[00:28:41.741 --> 00:28:48.446]  And they did say with my uncle, who never smoked, hardly ever drank, he'd drink a beer every once in a while on a hot day.
[00:28:48.466 --> 00:28:50.307]  If he'd mowed the lawn.
[00:28:51.528 --> 00:28:55.151]  He was a football player at LSU and also track.
[00:28:55.732 --> 00:28:56.452]  Really good shape.
[00:28:58.093 --> 00:29:00.755]  Looked younger, his body looked younger than my body and I'm just 40.
[00:29:02.473 --> 00:29:03.033]  40 next month.
[00:29:03.534 --> 00:29:04.094]  He was 68.
[00:29:04.794 --> 00:29:11.757]  But when they looked at his heart and things and lesions on it and on some other organs, they said, no, we've seen this in Vietnam veterans.
[00:29:11.797 --> 00:29:13.498]  That's Agent Orange lesions.
[00:29:14.658 --> 00:29:17.319]  And of course, his first born son had holes in his heart.
[00:29:17.539 --> 00:29:19.960]  No history of deformity in our family, thank God.
[00:29:20.461 --> 00:29:22.261]  And they said, no, that that was the Agent Orange.
[00:29:22.642 --> 00:29:23.882]  But then it got out of the system.
[00:29:23.922 --> 00:29:26.923]  It was usually the first born that would happen to right after he got back from Vietnam.
[00:29:29.284 --> 00:29:37.806]  It'd be my first cousin, Flint, who was pretty much exactly the same age as I, and he died.
[00:29:38.186 --> 00:29:40.026]  So, just thank you, Monsanto.
[00:29:40.526 --> 00:29:49.027]  Monsanto that brought us Agent Orange, that they knew was a death sentence, and really a chemical weapon to kill the North Vietnamese, which also blew back on our troops, just like DEU does.
[00:29:49.508 --> 00:29:50.508]  Thank you, Monsanto.
[00:29:50.568 --> 00:29:57.029]  You've killed so many members of my family, and thank you for all the GMO, and thank you that you continue to kill all of us.
[00:29:57.069 --> 00:29:57.689]  Thank you so much.
[00:29:59.201 --> 00:30:02.188]  We're on the march, the Empire's on the run.
[00:30:03.131 --> 00:30:05.817]  Alex Jones and the GCN Radio Network.
[00:30:09.815 --> 00:30:12.396]  Hi folks, Alex Jones here with some important information.
[00:30:12.636 --> 00:30:17.518]  I want to tell you about Matt Redhawk and his team of Patriots over at MyPatriotSupply.
[00:30:17.779 --> 00:30:25.662]  Several years ago, Matt was sitting in his two-bedroom apartment, frustrated with the direction this country was headed and the Charlatans willing to sell us out for a quick buck.
[00:30:25.882 --> 00:30:30.204]  Deciding to take action, a company run by Patriots for Patriots was born.
[00:30:30.424 --> 00:30:34.246]  MyPatriotSupply has never taken a loan or accepted outside funding.
[00:30:34.386 --> 00:30:40.091]  They now operate two distribution facilities and employ over 50 hard-working American men and women.
[00:30:40.331 --> 00:30:43.133]  It is rare to find companies who practice what they preach.
[00:30:43.494 --> 00:30:48.738]  And that's why I stock my pantry with high-quality storable foods from My Patriot Supply.
[00:30:48.878 --> 00:30:57.005]  Go to mypatriotsupply.com forward slash alex today for special offers on emergency food storage or call their preparedness specialist at 866-229-0927.
[00:30:57.065 --> 00:30:57.245]  That's 866-229-0927.
[00:31:03.570 --> 00:31:05.911]  Do business with someone who shares your values.
[00:31:06.211 --> 00:31:08.953]  Buypatriotsupply.com slash Alex.
[00:31:09.373 --> 00:31:13.955]  Why does the United States spend the largest percentage of GDP in the world on healthcare?
[00:31:14.095 --> 00:31:17.056]  Why do we have the highest cancer rates on the planet?
[00:31:17.217 --> 00:31:22.439]  The highest rates of diabetes, autism, and every other major disease.
[00:31:22.779 --> 00:31:24.380]  It all comes down to one thing.
[00:31:24.700 --> 00:31:26.040]  We are what we eat.
[00:31:26.340 --> 00:31:30.682]  Our food is devoid of nutrition and processed with poisons and additives.
[00:31:31.002 --> 00:31:35.003]  Our water is filled with toxic poisons and big pharma runoff.
[00:31:35.223 --> 00:31:37.543]  All of this has been engineered by design.
[00:31:37.784 --> 00:31:43.725]  We can turn the tide against the eugenicist by giving ourselves the nutrients our body desperately needs.
[00:31:44.005 --> 00:31:46.266]  To learn more visit InfoWarsHealth.com
[00:31:46.966 --> 00:31:53.888]  The site is literally packed with audio and video featuring top health professionals who don't bow down to Big Pharma.
[00:31:54.028 --> 00:31:59.850]  The fight against the New World Order starts with you, and you can't stand against the machine of your sick, tired, and obese.
[00:32:00.090 --> 00:32:06.032]  When you visit InfoWarsHealth.com, be sure and check out the catalog with nearly 400 life-changing products.
[00:32:06.272 --> 00:32:08.753]  And get free shipping when you sign up for AutoShip.
[00:32:09.233 --> 00:32:19.620]  In the last 50 years, iodine has been phased out of our staple foods and replaced with the halogen bromine, a practice now banned in nations around the world.
[00:32:19.920 --> 00:32:21.781]  Guess what else is in the halogen family?
[00:32:21.962 --> 00:32:22.662]  Fluoride!
[00:32:22.862 --> 00:32:25.144]  Ladies and gentlemen, Alex Jones here.
[00:32:25.284 --> 00:32:31.108]  In 1924, the federal government did the right thing and encouraged salt producers to add iodine.
[00:32:31.368 --> 00:32:34.190]  It's the good halogen on the periodic table.
[00:32:34.310 --> 00:32:36.151]  And the results are on record.
[00:32:36.271 --> 00:32:37.272]  Reports documented.
[00:32:39.253 --> 00:32:39.833]  We're good.
[00:33:19.828 --> 00:33:23.981]  Defending the Republic from enemies, foreign and domestic.
[00:33:24.724 --> 00:33:26.168]  It's Alex Jones.
[00:33:39.648 --> 00:33:44.469]  All right, I'm going to open the phones up specifically on anything you'd like to discuss.
[00:33:45.130 --> 00:33:52.212]  Call the free number to join us, 800-259-9231, 800-259-9231.
[00:33:53.092 --> 00:34:03.935]  Almost everyone I know in the office, talking to them, has friends and family that can't breathe, that have lost 20, 30 pounds, that have been in the hospital for weeks, or who have been in bed for a week.
[00:34:04.435 --> 00:34:07.896]  I mean, this is some really bad pneumonia going around the country.
[00:34:08.496 --> 00:34:11.419]  And again, you notice there's almost no news coverage of it.
[00:34:12.259 --> 00:34:17.183]  And I have been involved with two family members dying in the last month with this.
[00:34:18.204 --> 00:34:27.192]  And I have talked to the doctors and they say it's a virus that comes in, and then bacteria come in, and then another virus comes in.
[00:34:27.692 --> 00:34:31.776]  It is just a swarm, a swarm of stuff.
[00:34:31.916 --> 00:34:34.318]  And then when it gets into the brain, it's goodbye.
[00:34:34.358 --> 00:34:35.459]  My uncle's body came back.
[00:34:36.718 --> 00:34:37.719]  But nobody home.
[00:34:38.641 --> 00:34:40.503]  Nobody home when he came back.
[00:34:41.805 --> 00:34:45.010]  And they took him off the breathing assist and he died in a day.
[00:34:45.370 --> 00:34:48.214]  And again, that's the reason I'm talking about it is because it affects everybody.
[00:34:48.555 --> 00:34:51.098]  Barbara Bush hospitalized for pneumonia in Texas.
[00:34:51.619 --> 00:34:53.562]  And that's out of the New York Times.
[00:34:55.086 --> 00:34:58.528]  So this is serious, serious business, ladies and gentlemen.
[00:34:59.248 --> 00:34:59.748]  Serious.
[00:35:00.148 --> 00:35:02.550]  It's not just that it took out two members of my family.
[00:35:03.590 --> 00:35:05.151]  It is killing people all over the place.
[00:35:05.191 --> 00:35:08.412]  And I'll hear people in the grocery store line going, my husband's in the hospital.
[00:35:08.733 --> 00:35:09.493]  He can't breathe.
[00:35:09.733 --> 00:35:10.954]  They're going to have to ventilate him.
[00:35:11.754 --> 00:35:19.138]  And then I walk up and get a cup of coffee about a week and a half ago, seeing a performance of one of my daughters in a ballet.
[00:35:20.502 --> 00:35:26.368]  And the woman behind the counter was sitting there making coffee, talking about her boyfriend who had to go to the hospital the night before.
[00:35:26.388 --> 00:35:28.010]  I mean, that's just what I'm hearing everywhere.
[00:35:28.791 --> 00:35:30.152]  That's what I'm hearing all over the place.
[00:35:30.192 --> 00:35:35.137]  So, mystery illness, big time, and we know it's not the flu, as they say.
[00:35:35.938 --> 00:35:41.784]  But Dr. Sherry Timoney says the flu has caused mutated viruses because they create a new virus.
[00:35:43.038 --> 00:35:49.122]  And it's not properly attenuated, it's very sophisticated information, but it's just amazing to see all this unfolding.
[00:35:49.423 --> 00:35:51.104]  But you've got your new Obamacare!
[00:35:52.665 --> 00:35:59.710]  Your new Obamacare to take care of you that's doubling and tripling prices, and the people that thought they signed up are going in and they're not signed up.
[00:36:00.150 --> 00:36:04.674]  Or if you did have insurance, now it takes hours to get in, even if you're bleeding to death.
[00:36:05.748 --> 00:36:12.830]  And they announced yesterday that the head of Health and Human Services and the federal government will dictate through the computers.
[00:36:12.870 --> 00:36:14.330]  We already knew this, but now it's official.
[00:36:15.130 --> 00:36:20.291]  They made the announcement that yes, they will control what surgeries take place.
[00:36:20.331 --> 00:36:26.592]  The doctor will put, by law, into the database and then the database will tell them what they can do.
