[00:00:00.029 --> 00:00:00.629]  It's your family.
[00:26:29.306 --> 00:26:48.178]  In the Bible for the Presidencier, the manifesto represents an attempt by hawks to break out of the post-Iraq doldrums and strike back at what they see as a campaign of hostile leaking by their foes in such centers of caution as the State Department or in the military top brass.
[00:26:48.539 --> 00:26:49.839]  That's totally staged.
[00:26:49.859 --> 00:26:52.141]  The military top brass are all CFR.
[00:26:53.055 --> 00:27:01.642]  The State Department plays the left-leaning side of the false paradigm, the kinder, gentler New World Order.
[00:27:02.182 --> 00:27:04.124]  Got Colin Powell in there, folks.
[00:27:04.684 --> 00:27:16.213]  Their publication, An End to Evil, oh, How to Win the War on Terror, coincided with the latest broadside from the Hawks' enemy number one, Colin Powell, the Secretary of State.
[00:27:16.753 --> 00:27:18.314]  Oh yeah, he's enemy number one.
[00:27:18.354 --> 00:27:19.015]  Give me a break.
[00:27:20.569 --> 00:27:34.340]  Though on leave, recovering from a prostate cancer operation, Mr. Powell summoned reporters to his bedside to hail encouraging signs of new attitude in Iran and a call for the United States to keep open the prospect of dialogue with the Tehran authorities.
[00:27:35.400 --> 00:27:36.921]  Now, what did he do with Iraq?
[00:27:36.961 --> 00:27:39.163]  He said, it's not good, we shouldn't attack them.
[00:27:39.664 --> 00:27:42.886]  And then he goes before the UN and says, I was wrong, we've got to attack.
[00:27:42.926 --> 00:27:45.568]  Everybody goes, even the dove is for it now.
[00:27:47.409 --> 00:27:52.113]  He has the secret weapons dossier just released by MI6 he held up.
[00:27:52.473 --> 00:27:58.058]  Yeah, a fake document written 12 years ago by a graduate student.
[00:27:59.860 --> 00:28:09.328]  Such talk is anathema to hawks like Mr. Pearl and Mr. Fromm who urge Washington to shun the mullahs and work for their overthrow in concert with Iranian dissidents.
[00:28:12.674 --> 00:28:24.061]  So again, for the history books, they're already preparing to blame it on Rumsfeld and Perl and Crystal and the rest of them, when it's the military-industrial complex and the big banks that are behind it from the beginning.
[00:28:25.842 --> 00:28:33.406]  I mean, you've got Brzezinski, the founder of the Trilateral Commission, writing in 1997 the exact words that are in PENAC documents.
[00:28:33.566 --> 00:28:34.647]  It's all the same thing.
[00:28:34.907 --> 00:28:35.927]  He's a Democrat!
[00:28:36.668 --> 00:28:40.190]  We've got all these Democrats, Hillary Clinton calling to attack all these people.
[00:28:41.465 --> 00:28:42.486]  There's no difference.
[00:28:44.587 --> 00:28:46.528]  It's absolutely amazing.
[00:28:48.289 --> 00:28:52.212]  We're going to break here in a minute or so, and when we get back, we've got a guest coming on.
[00:28:52.812 --> 00:28:57.495]  Again, one of four guests that are going to be on the show.
[00:28:57.515 --> 00:29:07.862]  We'll be talking about mad cow disease and the police state with Frank Morales, Colonel Craig Roberts, Jack McClain, and others in the second and third hour, and of course, your calls.
[00:29:07.882 --> 00:29:09.163]  And there's so much other news.
[00:29:09.773 --> 00:29:11.935]  They're now saying Syria sold weapons to Saddam.
[00:29:12.335 --> 00:29:13.416]  They need to be invaded.
[00:29:14.837 --> 00:29:15.838]  They've got the draft.
[00:29:16.198 --> 00:29:18.660]  More information on the draft now coming out.
[00:29:18.700 --> 00:29:22.903]  They want to put chips on all farm animals and federally control and regulate.
[00:29:22.923 --> 00:29:25.225]  Which is absolutely not needed.
[00:29:25.245 --> 00:29:28.448]  You need to ban feeding dead meat to cows.
[00:29:28.728 --> 00:29:29.769]  Rotten meat to cows.
[00:29:30.389 --> 00:29:31.430]  That would fix the problem.
[00:29:32.111 --> 00:29:37.135]  That's coming up as well and just a stack of other vitally important news.
[00:29:38.812 --> 00:29:47.476]  But as you watch the television broadcast, just look at all the ski masks, all the black helmets, all the machine guns in your cities, the troops, selling you tyranny.
[00:29:48.337 --> 00:29:50.838]  Selling you something that looks like East Germany.
[00:29:51.758 --> 00:29:52.559]  As if it's freedom.
[00:29:53.799 --> 00:29:55.500]  Alright, we got two and a half hours left.
[00:29:55.560 --> 00:29:57.141]  It's gonna be totally jam-packed.
[00:29:57.841 --> 00:30:00.282]  Strap yourselves in, lock yourselves in, stay the course.
[00:30:00.302 --> 00:30:00.843]  We'll be back.
[00:30:02.523 --> 00:30:03.444]  We're on the march.
[00:30:03.924 --> 00:30:05.425]  The Empire's on the run.
[00:30:06.452 --> 00:30:09.146]  Alex Jones and the GCN Radio Network.
[00:30:12.677 --> 00:30:16.218]  Can you grow your own nutrition on a shelf indoors in 10 days?
[00:30:16.539 --> 00:30:16.879]  Yes.
[00:30:17.159 --> 00:30:19.540]  Wheatgrass Juice is live superfood.
[00:30:19.800 --> 00:30:21.961]  The richest nutritional liquid known to man.
[00:30:22.101 --> 00:30:31.025]  Packed with amino acids, living enzymes, and over 100 elements, 2 ounces of juice have the same nutrition as 3 pounds of choice garden produce.
[00:30:31.165 --> 00:30:38.808]  The get-up-and-go energy, healing, blood building, weight control, and cleansing are just the beginnings of what you will reap from pennies worth of grain.
[00:30:39.088 --> 00:30:41.350]  Hi, I'm Alan Davison at Monocot Wheatgrass.
[00:30:41.650 --> 00:30:48.714]  The 200 pages of our book, Wheatgrass, Nature's Finest Medicine, will remove any anxieties you may have about your nutritional supply.
[00:30:48.854 --> 00:30:52.557]  In this kit, you will receive no monthly bills, no monthly pills.
[00:30:52.717 --> 00:30:54.338]  This is real self-sufficiency.
[00:30:54.438 --> 00:31:04.104]  To get more information about Wheatgrass, the book, seed, and the beautiful stainless steel wheatgrass juicer, go to austinwheatgrass.com or call toll-free 1-877-MY-WHEAT.
[00:31:06.165 --> 00:31:09.327]  Thank you for your support of our labors and of this network.
[00:31:11.748 --> 00:31:17.951]  On the average, Americans work between 45 to 50 years hoping to build up enough wealth to retire and live out their golden years.
[00:31:18.412 --> 00:31:26.176]  Unfortunately, with taxation, the rising cost of food, energy, housing and medical, many retirees are forced to live below the poverty line.
[00:31:26.536 --> 00:31:32.119]  Is this a flaw-free enterprise or is our monetary unit we call the Federal Reserve Note forcing us into perpetual debt
[00:31:32.443 --> 00:31:34.383]  Ensuring inflation and higher taxes.
[00:31:34.703 --> 00:31:39.444]  These questions and more can be answered by reading G. Edward Griffin's book, The Creature from Jekyll Island.
[00:31:39.784 --> 00:31:44.485]  Congressman Ron Paul states, it's what every American needs to know about central bank power.
[00:31:45.005 --> 00:31:48.866]  A gripping adventure into the secret world of international banking cartel.
[00:31:49.346 --> 00:31:50.366]  Hi, this is Ted Anderson.
[00:31:50.446 --> 00:31:54.527]  I will give a silver dollar from the early 1900s to anyone who purchases this book.
[00:31:54.947 --> 00:31:56.347]  Call 1-800-686-2237 and order a copy today.
[00:31:59.853 --> 00:32:02.396]  It's critical that the public be made aware of the system.
[00:32:02.837 --> 00:32:04.499]  Call and order your copy today at 1-800-686-2237.
[00:32:04.619 --> 00:32:04.839]  That's 1-800-686-2237.
[00:32:10.911 --> 00:32:13.852]  Americans get the IRS off your back legally.
[00:32:14.032 --> 00:32:16.993]  Discover the secret the IRS is terrified you'll learn.
[00:32:17.234 --> 00:32:20.515]  You probably owe no federal income tax and never have.
[00:32:20.875 --> 00:32:27.998]  The IRS itself admits that millions and millions of Americans already have learned the truth and have dropped out of the system and so can you.
[00:32:28.198 --> 00:32:38.322]  The federal courts and even the US Supreme Court have verified that the reward for your labor, wages, salaries and compensation for personal services is not and never has been taxable.
[00:32:38.702 --> 00:32:47.908]  In fact, the Supreme Court ruled over 106 years ago that such attacks imposed by the federal government on the citizens of the states would be unconstitutional and illegal.
[00:32:48.208 --> 00:32:49.929]  I know this sounds crazy and scary.
[00:32:50.029 --> 00:32:53.131]  You've been carefully trained by government propaganda for decades.
[00:32:53.291 --> 00:32:55.232]  But especially today with a tough economy,
[00:32:55.632 --> 00:33:02.274]  Why would you let the government continue to illegally grab money from you when there's a simple, proven, and legal way to keep it all yourself?
[00:33:02.594 --> 00:33:07.355]  To get the details and learn the truth, get on the internet and go to federaltax.net.
[00:33:07.495 --> 00:33:09.435]  That's federaltax.net.
[00:33:09.575 --> 00:33:10.155]  Do it today.
[00:33:33.083 --> 00:33:38.046]  All right, my friends, it is the 31st of December, 2003, final show of the year.
[00:33:38.066 --> 00:33:42.549]  We do have Frank Morales, police state expert, coming on the next hour.
[00:33:42.569 --> 00:33:48.733]  Then in the third hour, Jack McClam, police against the New World Order, and Colonel Craig Roberts.
[00:33:48.753 --> 00:33:52.355]  You don't want to miss this show, and we'll open the phones up in the next hour.
[00:33:52.375 --> 00:33:55.997]  In fact, we'll open them up right now on Mad Cow Disease if you want to get involved on air.
[00:33:56.518 --> 00:33:56.718]  It's 1-800-259-9231.
[00:34:02.800 --> 00:34:13.084]  Dr. Michael Greger, MD, is the Chief BSE Investigator for Farm Sanctuary and Mad Cow Coordinator for the Organic Consumers Association.
[00:34:13.444 --> 00:34:17.646]  Dr. Greger has been speaking publicly about mad cow disease since 1993.
[00:34:18.106 --> 00:34:26.870]  He has debated the National Cattlemen's Beef Association before the FDA and was invited as an expert witness on the Oprah Winfrey infamous meat
[00:34:27.706 --> 00:34:56.413]  uh... defamation trial he has contributed to many books and articles on the subject continues to lecture extensively and uh... currently runs the top rated mad cow disease website and uh... that's organic consumers dot org forward slash mad cow dot htm dr greger is a graduate of the cornell university school of agriculture and the tufts university school of medicine and uh... he's written article usda misleading american public about beef safety
[00:34:57.398 --> 00:35:00.601]  And I've read a lot of his warnings over the last five years.
[00:35:00.641 --> 00:35:01.822]  They've been very accurate.
[00:35:02.223 --> 00:35:14.495]  So we've got Dr. Michael Greger on the show to give us the real skinning on what's going on with BSC and how that affects the food supply and the economy.
[00:35:15.155 --> 00:35:16.617]  Dr. Greger, thanks for coming on.
[00:35:17.157 --> 00:35:17.638]  Good morning.
[00:35:17.658 --> 00:35:18.238]  Thanks for having me.
[00:35:18.759 --> 00:35:19.199]  You bet.
[00:35:22.777 --> 00:35:25.458]  I've seen other stories of Mad Cow in the country.
[00:35:25.478 --> 00:35:27.018]  Then they say, oh false alarm.
[00:35:27.358 --> 00:35:29.919]  We know all these new deaths in Creutzfeldt-Jacobs.
[00:35:29.959 --> 00:35:34.320]  A lot of that they say isn't connected to meat.
[00:35:34.520 --> 00:35:36.621]  But why is it then going up?
[00:35:37.441 --> 00:35:43.823]  Exploding in its numbers from very rare to now still being rare but a lot more common in the numbers.
[00:35:44.483 --> 00:35:45.463]  What's really going on?
[00:35:46.440 --> 00:35:57.224]  Well, unfortunately, a lot of these human spongiform encephalopathies or human sponge-like brain diseases caused by these prions are misdiagnosed as Alzheimer's disease.
[00:35:57.744 --> 00:36:02.626]  Alzheimer's disease is now the eighth leading cause of death according to the Centers for Disease Control.
[00:36:03.046 --> 00:36:09.549]  In many of these cases, a significant minority may indeed be Creutzfeldt-Jakob disease.
[00:36:11.830 --> 00:36:15.651]  And Alzheimer's, I mean, there's people who are 30 years old getting Alzheimer's now.
[00:36:16.880 --> 00:36:18.822]  Well, unfortunately, we've had a number of cases.
[00:36:19.422 --> 00:36:28.349]  Literally in the last five years, the cases of young people, people under 30, dying of these Alzheimer's-like diseases has quintupled.
[00:36:28.389 --> 00:36:31.872]  And that's really a concern compared to what we've seen over the last 20 years.
[00:36:32.513 --> 00:36:34.935]  Now, it's possible we're just looking harder for the disease.
[00:36:34.995 --> 00:36:39.739]  Now that we're worried about it, it's also possible that it's going through the roof.
[00:36:39.779 --> 00:36:43.582]  And we wouldn't know because there isn't mandatory reporting by the CDC.
[00:36:44.252 --> 00:36:52.898]  So unfortunately, we're not seeing, we don't, you know, a doctor has it somewhere, a person dies, gets buried, and no one knows about it.
[00:36:52.938 --> 00:36:58.642]  So we haven't been testing the cattle, we haven't been testing the feed, we haven't been testing the people.
[00:37:00.744 --> 00:37:03.066]  Well, you've been warning people for years.
[00:37:03.526 --> 00:37:07.949]  Doctor, from your studies, do you think this is really the first case of a mad cow herd?
[00:37:07.989 --> 00:37:13.273]  I mean, now it's over 80 animals, they're saying, running around with this, or who may have been butchered.
[00:37:14.403 --> 00:37:20.987]  I've been talking about this since 1993, and we've been warning about this for over a decade now.
