[00:00:00.109 --> 00:00:00.930]  But here's the goal.
[00:22:56.174 --> 00:22:59.336]  This thing is so alien, it's not even hitting kids.
[00:23:00.557 --> 00:23:03.679]  But it's mutating in the body and attacking the testicles.
[00:23:04.739 --> 00:23:05.180]  And so,
[00:23:07.059 --> 00:23:08.160]  Here's the facts.
[00:23:08.320 --> 00:23:09.361]  It's going to keep mutating.
[00:23:09.401 --> 00:23:10.342]  I've looked at this closely.
[00:23:11.063 --> 00:23:12.004]  It's designed to mutate.
[00:23:12.044 --> 00:23:13.885]  It's five different viruses together, at least.
[00:23:14.406 --> 00:23:16.488]  They've already tested in labs how it's going to mutate.
[00:23:17.309 --> 00:23:18.830]  And that's why they say, oh, get ready.
[00:23:18.870 --> 00:23:19.871]  It'll be worse soon.
[00:23:20.131 --> 00:23:23.474]  And now they're admitting it because it's going to chew your testicles off.
[00:23:24.215 --> 00:23:25.716]  I mean, that's what Bill Gates wants to do.
[00:23:26.737 --> 00:23:28.479]  And he wants to reduce your fertility.
[00:23:29.860 --> 00:23:32.601]  Everybody's saying viruses don't exist and saying nothing's coming.
[00:23:32.641 --> 00:23:33.241]  You're dead wrong.
[00:23:33.301 --> 00:23:34.381]  It's far worse than you think.
[00:23:34.781 --> 00:23:38.782]  And by next year, it'll be a thousand mutations in and we're gonna find out what they really got inside this thing.
[00:23:39.462 --> 00:23:40.702]  But they're coming for your fertility.
[00:23:40.742 --> 00:23:41.663]  They're coming for your balls.
[00:23:43.843 --> 00:23:46.644]  We are back live broadcasting worldwide, ladies and gentlemen.
[00:23:46.684 --> 00:23:47.924]  I am your host, Alex Jones.
[00:23:48.424 --> 00:23:52.945]  Infowars.com and Newswars.com are the main sites.
[00:23:52.985 --> 00:23:55.125]  Bandot Video has the live feeds and so much more.
[00:23:55.145 --> 00:23:57.766]  And we're on a lot of different AM and FM stations.
[00:24:00.775 --> 00:24:06.097]  Now, I really want to go to a very, very special report here that I just filed.
[00:24:06.198 --> 00:24:07.418]  It's on Bandot Video.
[00:24:07.958 --> 00:24:09.619]  I hope that you really, really will share it.
[00:24:09.779 --> 00:24:18.463]  And then I'm going to get into Facebook and others coordinating with government to ban anybody on Facebook that dares try to protest.
[00:24:20.031 --> 00:24:28.780]  So total direct violation of what you do in the real world on the ground exercising your right to peaceably assemble for a redress of grievances.
[00:24:29.260 --> 00:24:35.346]  That's the big law of the land all being overrun because America didn't defend people's rights like yours truly.
[00:24:36.235 --> 00:24:40.177]  And it is so incredibly dangerous, the definition of fascism.
[00:24:40.917 --> 00:24:44.378]  Facebook reached out to state governments and said, do you want this banned?
[00:24:44.718 --> 00:24:47.839]  Give us legal authority to do it, which the states didn't have.
[00:24:47.879 --> 00:24:49.940]  And the states, it turns out, told them, don't do it.
[00:24:50.300 --> 00:24:51.081]  But they still did.
[00:24:51.121 --> 00:24:53.422]  It claimed they were operating as the states.
[00:24:53.562 --> 00:24:54.042]  So this is
[00:24:54.642 --> 00:25:00.772]  True fascism, the very, very definition of it in spades.
[00:25:00.892 --> 00:25:02.956]  So, I will be out there this Saturday.
[00:25:03.396 --> 00:25:05.760]  Owen Schroer will be out there this Saturday in Austin, Texas.
[00:25:06.201 --> 00:25:07.183]  And that's all important.
[00:25:08.097 --> 00:25:12.381]  But we launched a nationwide movement that everybody can get involved in.
[00:25:12.401 --> 00:25:13.361]  You can sign the petition.
[00:25:13.381 --> 00:25:14.422]  You can sign up to get updates.
[00:25:14.683 --> 00:25:17.865]  We're going to coordinate other groups nationally, try to create a focal point.
[00:25:17.885 --> 00:25:19.126]  We're going to be updating the site a lot.
[00:25:19.347 --> 00:25:20.608]  We're very, very excited about it.
[00:25:21.088 --> 00:25:27.173]  Can'tcloseamerica.com, can'tcloseamerica.com, and timetoopen.com.
[00:25:27.213 --> 00:25:27.794]  Here's the report.
[00:25:29.343 --> 00:25:32.466]  Half the planet is under house arrest.
[00:25:33.227 --> 00:25:35.590]  One of the most extreme forms of martial law.
[00:25:36.291 --> 00:25:45.781]  And we're told it's all being done because of COVID-19 and the United Nations, the WHO, the UN, the very groups that overestimated the death toll 10, 20, 30 times in all their graphs.
[00:25:48.908 --> 00:26:01.034]  Now tell us we've got to stay permanently locked down and take forced inoculations and have embedded digital chips to buy and sell and have forced inoculations to ever be able to go out and leave our homes again.
[00:26:02.535 --> 00:26:05.716]  This isn't some far-off Mark of the Beast tyranny that's coming.
[00:26:06.536 --> 00:26:10.959]  It's here, hitting us like a Mack truck running over a family.
[00:26:11.819 --> 00:26:14.060]  What can we do to fight this?
[00:26:14.720 --> 00:26:15.801]  How can we resist it?
[00:26:16.381 --> 00:26:17.962]  And how can we turn the tide?
[00:26:19.525 --> 00:26:21.887]  against this worldwide medical tyranny takeover.
[00:26:22.347 --> 00:26:30.774]  TimeToOpen.com is not just a place for Americans to demand our basic freedoms and common sense and a right to live and a right to travel.
[00:26:31.234 --> 00:26:39.241]  It's also a place for people around the world to begin to organize with petitions and plans of legal, lawful, peaceful, direct action.
[00:26:39.421 --> 00:26:48.969]  This site, TimeToOpen.com, is the web portal where the people of not just the United States but the world are already beginning to organize to take action.
[00:26:49.449 --> 00:26:58.480]  I'm personally launching cantcloseamerica.com that is a subsection on the site for Americans across the country to organize now while there's still time.
[00:26:58.660 --> 00:27:06.529]  Because there's not much more time until the depression that's already begun here and worldwide becomes irrevocable and extremely deep.
[00:27:07.190 --> 00:27:19.295]  The UN's own numbers admit that a half a billion people are now on the edge of starvation and that several million more are already starving to death right now and will die because of the global shutdown.
[00:27:19.695 --> 00:27:28.039]  And that's a central point not being raised by President Trump, not being raised by the Democrats, and not being raised by other governments and populations around the world.
[00:27:28.599 --> 00:27:33.501]  That in the first world, you might lose your house, you might go bankrupt, you might not have
[00:27:34.281 --> 00:27:42.787]  Money all the time to buy as much food as you'd like, but it's still not a death sentence like it is in many areas of Latin America, Africa, the Middle East, and Asia.
[00:27:43.107 --> 00:27:43.608]  That's right.
[00:27:44.128 --> 00:27:52.234]  Hundreds and hundreds and hundreds of times more people die every year of starvation in the world than have died of COVID-19 in the last four months.
[00:27:52.714 --> 00:28:02.661]  And that number is set to expand wildly because when the first world shuts down, the third world collapses and tens of millions more die.
[00:28:03.141 --> 00:28:21.046]  And the very UN, the very WHO, that worked with Communist China in the Wuhan lab to cover up its leak, and to cover up that it was spreading, are now our bosses directing how long the shutdown must be, and that we all have to take forced inoculations to prove we're good people.
[00:28:21.886 --> 00:28:28.872]  They're the same ones that are now starting to try to raise money to ship food in to the millions their policies are starving to death.
[00:28:29.272 --> 00:28:42.203]  The corporate media that gets its marching orders from the United Nations and the Bill and Melinda Gates Foundation makes you think it's about millions of people out of work and thousands of businesses closing their doors, in many cases permanently, and that's bad.
[00:28:42.924 --> 00:28:52.772]  But it's really about fundamental basic rights to travel and to have businesses and to communicate that have been hard fought in the last thousand years being erased overnight.
[00:28:52.992 --> 00:28:58.896]  There are a lot of other great grassroots organizations that are starting up around the United States and the world saying, hey, we have a right to work.
[00:28:59.016 --> 00:28:59.857]  We're essential.
[00:29:00.157 --> 00:29:02.319]  Why are big corporations allowed to stay open?
[00:29:02.679 --> 00:29:04.641]  This is vertically integrating the economy.
[00:29:04.901 --> 00:29:06.062]  This is a corporate takeover.
[00:29:06.302 --> 00:29:07.263]  And all of that is true.
[00:29:07.683 --> 00:29:08.604]  That's only one layer.
[00:29:09.244 --> 00:29:22.506]  Beneath it is the medical tyranny to forcibly inoculate you and Bill Gates admits that hundreds and hundreds of thousands will get sick and many will die from his vaccine and that it might not even protect you.
[00:29:23.547 --> 00:29:50.381]  Then you find out Bill Gates and his foundations are pushing for this to establish a planetary private corporate government that controls every facet of your life and that within the vaccine that he's proposing and has patents for, a digital ink tattoo, ID2020 with MIT, is put under your skin that shows you can go outdoors and have a job and that will be used as the global government currency with a cryptocurrency.
[00:29:51.081 --> 00:29:52.562]  This isn't coming.
[00:29:53.002 --> 00:29:53.943]  This is here.
[00:29:54.243 --> 00:29:56.304]  This isn't revelations 2,000 years ago.
[00:29:56.704 --> 00:29:58.885]  This is unfolding now.
[00:29:59.346 --> 00:30:02.307]  So it's a lot bigger than just opening small businesses.
[00:30:02.568 --> 00:30:05.769]  It's a lot bigger than just being able to go to the park or go back to school.
[00:30:05.909 --> 00:30:09.972]  This is about a fundamental globalist revolution against humanity.
[00:30:10.492 --> 00:30:14.215]  And the other organizations out there don't understand this.
[00:30:14.716 --> 00:30:19.900]  This is about a criminal, corporate, authoritarian, world government takeover.
[00:30:20.301 --> 00:30:26.626]  So, here on this site, we are going to have videos and articles from around the world showing the resistance.
[00:30:26.867 --> 00:30:28.949]  We're going to spotlight the resistance here in the United States.
[00:30:29.249 --> 00:30:31.131]  We're going to put up our own petitions.
[00:30:31.311 --> 00:30:35.915]  We're going to post other people's petitions and make it a clearinghouse for people to come
[00:30:36.275 --> 00:30:36.495]  I think?
[00:30:58.018 --> 00:31:11.649]  That's why the Globalists fought so hard to get me off the air in the last few years ahead of this, because I had laid out their actual plan in my film, Endgame, 14 years ago, showing their own documents how they premeditatedly had all this prepared.
[00:31:12.089 --> 00:31:19.235]  And I told the world that Bill Gates would lead the world government movement for the implantable microchip, forced inoculation, and the digital currency.
[00:31:19.755 --> 00:31:20.376]  And now it's here.
[00:31:20.936 --> 00:31:27.683]  But because of listeners and viewers supporting our organization, we're still on air, though we have been badly bloodied.
[00:31:28.143 --> 00:31:29.024]  But that's okay.
[00:31:29.565 --> 00:31:35.531]  Being the tip of the spear is about taking responsibility for yourself and humanity and standing up for what's right.
[00:31:35.811 --> 00:31:41.377]  And now I'm begging all of you for my own children's future and your future and your family's future to come together
[00:31:41.937 --> 00:31:48.259]  Get organized, get focused, and get aggressive politically, economically, and culturally against this tyranny.
[00:31:48.659 --> 00:31:53.641]  Humanity must come together now and stand against this police state takeover.
[00:31:54.021 --> 00:31:54.941]  The virus is real.
[00:31:55.362 --> 00:31:57.562]  It kills about the same amount as a bad flu.
[00:31:58.163 --> 00:32:04.525]  But the fear they've been hyping and the hysteria to stampede you into giving up all your freedoms, that is the giant hoax.
[00:32:05.065 --> 00:32:06.766]  Designed to take out the West economy.
[00:32:07.046 --> 00:32:09.867]  Designed to punish the West for rejecting globalism.
[00:32:09.887 --> 00:32:10.947]  There's about a minute.
[00:32:11.227 --> 00:32:13.448]  Left on this report, it's at man.video.
[00:32:13.669 --> 00:32:14.989]  Our video streams are down.
[00:32:15.129 --> 00:32:18.972]  They told us that at the data center, the cable was cut, the fiber optics.
[00:32:19.012 --> 00:32:20.913]  So, who knows what's happening there.
[00:32:20.933 --> 00:32:22.414]  A lot of stuff going on.
[00:32:22.434 --> 00:32:26.436]  We've still got the audio streams going and the satellite feeds to TV and radio stations.
[00:32:26.476 --> 00:32:27.957]  So stay with us and spread those links.
[00:32:29.158 --> 00:32:31.619]  I gotta tell you folks, this is one hell of an adventure.
[00:32:32.500 --> 00:32:35.782]  Toe to toe with the fallen one and his one world government mark of the beast.
[00:32:35.922 --> 00:32:36.663]  It's not coming.
[00:32:37.463 --> 00:32:38.083]  It's all here.
[00:32:38.364 --> 00:32:40.385]  Force inoculations are incoming.
[00:32:41.738 --> 00:32:45.481]  But we're still here on air because you keep coming back for more.
