[00:00:00.029 --> 00:00:00.929]  We're in an emergency.
[00:23:09.850 --> 00:23:10.990]  Get it through your head.
[00:23:11.190 --> 00:23:12.471]  They want to murder you.
[00:23:12.671 --> 00:23:13.871]  They want to take you over.
[00:23:14.091 --> 00:23:15.231]  They want to conquer you.
[00:23:15.451 --> 00:23:16.732]  They want to annihilate you.
[00:23:16.912 --> 00:23:17.952]  They want to destroy you.
[00:23:18.152 --> 00:23:23.774]  So stop putting up with them and start resisting now or just blow your damn brains out.
[00:23:25.875 --> 00:23:27.655]  Sometimes being defeated is winning.
[00:23:28.876 --> 00:23:30.156]  Sometimes being destroyed.
[00:23:33.246 --> 00:23:39.988]  It's God's choice to bring a solution.
[00:23:46.290 --> 00:23:47.511]  Others wouldn't stand for that.
[00:23:49.271 --> 00:23:50.492]  The cross was a solution.
[00:23:53.373 --> 00:23:54.373]  Thanks to the renegades.
[00:23:57.561 --> 00:24:05.206]  All right, my friends, we are back live here, and we have Joe Hoffs, businessman, contributor to his brother's Great Way Pundit.
[00:24:05.306 --> 00:24:09.128]  He's crunched the best numbers, so was trying to get his brother on.
[00:24:09.208 --> 00:24:14.151]  He said, no, my brother is better when it comes to this, so he's been really breaking it down at greatwaypundit.com.
[00:24:14.572 --> 00:24:19.315]  Patrick Howley with Epoch Times and also, of course, nationalfile.com.
[00:24:19.895 --> 00:24:20.936]  He's with us as well.
[00:24:22.128 --> 00:24:30.170]  We got Roger Stone coming up, we got everybody here on the broadcast, Chad Prather, Leanne McAdoo, and so many others, Bishop Larry Gators.
[00:24:30.510 --> 00:24:37.431]  And we're going to be live right through late tonight as well, right through, we told you it'd be the 79 days of hell starting on election day.
[00:24:38.331 --> 00:24:40.972]  Now they're even calling it hell and all the rest of it.
[00:24:40.992 --> 00:24:44.813]  So we'll go over the latest numbers, but here's what you have to understand.
[00:24:44.833 --> 00:24:46.253]  We had to fight for this country to have it.
[00:24:48.493 --> 00:24:49.934]  And now we're having to fight for it again.
[00:24:50.334 --> 00:24:55.318]  And we have multinational forces coming in and engaging in classical fraud with all these mail-in fake ballots.
[00:24:55.378 --> 00:24:56.538]  And this was always their game plan.
[00:24:56.558 --> 00:24:57.539]  They always said they were going to do it.
[00:24:58.620 --> 00:25:05.684]  And so instead of even letting Trump have his red mirage, they went ahead as soon as he was about to surpass Biden, and they shut it all down.
[00:25:06.505 --> 00:25:07.406]  Now, that's what they've done.
[00:25:08.622 --> 00:25:13.569]  And the Supreme Court betrayed Trump and the Constitution and allowed this crap with all this COVID BS.
[00:25:13.609 --> 00:25:18.235]  So let's go first to Gateway Pundit analyst, Joe Hoff.
[00:25:18.275 --> 00:25:19.197]  Joe, thanks for joining us.
[00:25:19.217 --> 00:25:22.081]  I know you've got a raft of info, so lay it out for us.
[00:25:25.233 --> 00:25:26.174]  It's great to be here again.
[00:25:26.254 --> 00:25:26.934]  Great seeing you.
[00:25:27.495 --> 00:25:29.597]  Yeah, I've been a late night for a lot of people.
[00:25:29.637 --> 00:25:33.940]  I think we stayed up and watched President Trump at 3.15 a.m.
[00:25:34.000 --> 00:25:44.609]  Eastern Time, you know, come out and he did a great job of, you know, presenting himself and sharing that, hey, we won this thing and basically we're going to try to, we're not try, we're going to stop this fraud.
[00:25:45.129 --> 00:25:46.390]  And that was very encouraging.
[00:25:46.771 --> 00:25:47.691]  And he was absolutely right.
[00:25:47.711 --> 00:25:48.612]  All sorts of fraud.
[00:25:48.712 --> 00:25:51.134]  I'd probably put it into a couple of buckets.
[00:25:52.215 --> 00:25:52.976]  One bucket is
[00:25:53.516 --> 00:25:59.081]  There's three states that, well actually four, that just decided to stop counting last night.
[00:25:59.721 --> 00:26:07.408]  And so as Trump's getting ready to win, we saw North Carolina, Georgia, and Arizona, and Pennsylvania just stop.
[00:26:08.186 --> 00:26:12.029]  They decided we're going to stop counting, which is just unreal.
[00:26:12.069 --> 00:26:12.810]  What's going on here?
[00:26:12.850 --> 00:26:14.091]  This is America.
[00:26:14.712 --> 00:26:17.074]  Count until you're done.
[00:26:17.094 --> 00:26:20.997]  That's the big tell, Joe, as you said.
[00:26:21.478 --> 00:26:23.139]  They didn't just say, oh, we'll keep counting.
[00:26:23.179 --> 00:26:32.267]  They've now got to decide what to do, get together, and then get their voter rolls of who hasn't voted to then falsely fill out those extra ballots and have the big steal.
[00:26:32.327 --> 00:26:32.628]  It's on.
[00:26:33.544 --> 00:26:34.345]  Well, absolutely.
[00:26:34.565 --> 00:26:37.628]  And then the other thing that they did, and Trump said this at his 3 a.m.
[00:26:37.668 --> 00:26:41.111]  talk, is said, hey, you know, we don't want 4 a.m.
[00:26:41.191 --> 00:26:42.773]  voter dumps, ballot dumps.
[00:26:43.113 --> 00:26:48.978]  And sure enough, in Michigan and Wisconsin, in each state, there was over 100,000 votes that got dumped.
[00:26:49.399 --> 00:26:50.300]  In Wisconsin, more than 100,000.
[00:26:50.340 --> 00:26:50.500]  Michigan,
[00:26:52.014 --> 00:26:52.374]  I don't know.
[00:27:15.727 --> 00:27:21.110]  But there was like 200,000 ballots just all of a sudden, 200,000 for Biden, none for Trump.
[00:27:21.150 --> 00:27:24.112]  And so now both of these states are real close.
[00:27:24.552 --> 00:27:34.558]  By the way, there are a lot of photos in Philadelphia and Pennsylvania and in other areas and in Nevada of people pulling up and taking in and out boxes unauthorized.
[00:27:34.618 --> 00:27:36.579]  I mean, you've got that at Gateway Pond too.
[00:27:37.199 --> 00:27:38.200]  Yeah, that's right.
[00:27:38.280 --> 00:27:43.643]  And with Wisconsin, we also see that they now have like an 88% voter turnout with still some votes to count.
[00:27:44.161 --> 00:27:45.902]  So that's almost statistically impossible.
[00:27:45.942 --> 00:27:48.063]  When have we ever seen that in the U.S.?
[00:27:48.103 --> 00:27:50.024]  It's usually around, what, 50% or so.
[00:27:50.344 --> 00:27:56.868]  So Wisconsin, clearly there's something going on there, along with their $100,000 balance that got dumped in the middle of the night.
[00:27:57.548 --> 00:28:03.972]  So the question is today, right now, why isn't North Carolina and Georgia finishing their job and reporting Trump as president?
[00:28:04.232 --> 00:28:06.793]  And why isn't, or is winning these states?
[00:28:06.833 --> 00:28:07.193]  And here's why.
[00:28:08.654 --> 00:28:13.216]  And by the way, Nevada is saying, we're just magically going to stop counting until tomorrow, too.
[00:28:13.236 --> 00:28:13.736]  What the hell?
[00:28:14.196 --> 00:28:15.177]  What does that signify?
[00:28:15.417 --> 00:28:16.497]  What does that signify?
[00:28:16.978 --> 00:28:19.559]  Well, it's fraud, right?
[00:28:19.579 --> 00:28:27.282]  And also, there's been a pattern here and an effort to continue to show Joe Biden is the winner.
[00:28:27.722 --> 00:28:32.584]  All last night, they could have called Florida and Texas for hours and they refused to.
[00:28:33.024 --> 00:28:35.046]  So that they could say Biden was in the lead.
[00:28:35.767 --> 00:28:44.096]  And finally, once Biden picked up California, then they said, oh, Florida, yeah, that's for Trump and Texas later.
[00:28:44.116 --> 00:28:47.320]  And that's when they froze it to have him ahead to make it look legitimate.
[00:28:48.157 --> 00:28:50.118]  Yeah, and so Texas, Trump won by 6%.
[00:28:51.179 --> 00:28:51.799]  Florida by 3.5%.
[00:28:52.499 --> 00:28:53.620]  These weren't even close.
[00:28:54.200 --> 00:28:59.023]  And so, that's the mess, that's their tactics, they're trying to make it look like Biden's ahead.
[00:28:59.423 --> 00:28:59.724]  That's BS.
[00:29:00.044 --> 00:29:03.546]  And they're saying in Pennsylvania they've got to get 75% to override Trump.
[00:29:03.766 --> 00:29:06.387]  That is ridiculously obvious of steal if they do that.
[00:29:06.928 --> 00:29:07.828]  So here's where we're at.
[00:29:07.888 --> 00:29:10.069]  We've got three states, and I'll just kind of summarize this.
[00:29:10.109 --> 00:29:16.293]  Three states, Georgia, North Carolina, and Pennsylvania, that it looks like there's really no way that the Democrats can win.
[00:29:17.006 --> 00:29:22.629]  And so the remaining states then would be Arizona, Nevada, Wisconsin, and Michigan.
[00:29:23.029 --> 00:29:30.773]  If Trump wins Georgia, North Carolina, and Pennsylvania, he only needs one of those four states to win.
[00:29:31.849 --> 00:29:39.556]  So whether it be Arizona, and we just heard something from the Republicans in Arizona saying, we believe that we've won by 30,000 votes.
[00:29:39.576 --> 00:29:44.300]  The votes that aren't counted are all these Republican votes that came in yesterday.
[00:29:44.621 --> 00:29:46.782]  They weren't mail, all the mail-in votes are counted.
[00:29:47.363 --> 00:29:49.185]  So Arizona's looking good.
[00:29:49.425 --> 00:29:54.990]  If Trump can pull that out and then, you know, make sure Pennsylvania doesn't get stole, he wins.
[00:29:56.013 --> 00:29:57.893]  So there's some real possibilities.
[00:29:57.953 --> 00:30:00.714]  Trump's in the lead, but the media won't report it.
[00:30:00.734 --> 00:30:02.455]  Let's be clear, we're not the mainstream media.
[00:30:02.495 --> 00:30:04.835]  If he wasn't in the lead, we'd tell you clearly there's been fraud.
[00:30:04.875 --> 00:30:06.295]  It would mean their fraud had been successful.
[00:30:06.856 --> 00:30:09.936]  You can see all the real metrics show he wanted a landslide.
[00:30:10.476 --> 00:30:14.357]  Despite all the fraud, he still made it over the top.
[00:30:14.877 --> 00:30:18.498]  I mean, other areas of fraud here, Joe Hoffman, this is insane.
[00:30:21.900 --> 00:30:29.344]  I could pause there and let our colleagues share some, but I think that's kind of it, really, if I were to summarize it at a high level.
[00:30:29.745 --> 00:30:32.726]  There's a couple states, they need to call them.
[00:30:32.766 --> 00:30:36.048]  Georgia and North Carolina, here it is, it's almost 1 o'clock Eastern Time.
[00:30:36.449 --> 00:30:38.550]  They haven't changed for like 12 hours.
[00:30:39.190 --> 00:30:39.911]  Stay there, stay there.
[00:30:39.931 --> 00:30:41.331]  We're going to come back and ask you.
[00:30:42.432 --> 00:31:05.315]  I highly respect it as an analyst what you think Trump and what we need to do right now but I call the fraud out and say damn it you know you need you got time to count your manufacturing stuff this is so insanely obvious you want to have time to manufacture so they don't get caught this is a moment of truth talk about a nail-biter Patrick Howley of nationalfile.com what do you think needs to happen and what is your eye focused on right now?
[00:31:06.653 --> 00:31:11.137]  Well, it's great to be with you, Alex, and also Joe, who I have great respect for for a number of years.
[00:31:12.098 --> 00:31:19.325]  I have heard from Bill Stepien that Bill Stepien is very confident that he's going to win Pennsylvania by 40,000 votes for the Trump campaign.
[00:31:19.846 --> 00:31:22.809]  Now, look, we can't be defensive on all this stuff.
[00:31:23.209 --> 00:31:24.910]  Now, you go through state by state.
[00:31:25.790 --> 00:31:32.413]  The states that are on the bubble here are the states that I've been focusing on, which is why I'm getting so many calls.
[00:31:32.893 --> 00:31:34.213]  North Carolina looks good.
[00:31:34.513 --> 00:31:41.116]  It looks like Tillis has already claimed victory over Cunningham, cheating Cal, so Mitch McConnell owes me for that one.
[00:31:42.136 --> 00:31:50.920]  You have, as of this morning, a sizable margin in North Carolina, so I think Trump's going to hold North Carolina.
[00:31:51.340 --> 00:31:56.722]  In Michigan, you are seeing exactly what I knew was coming in Michigan, in Gretchen Whitmer's state.
[00:31:57.182 --> 00:32:04.032]  You started with Trump being up about 26,000 votes and then all of a sudden you see these votes coming in from Detroit.
[00:32:04.052 --> 00:32:07.436]  They're now claiming that Joe is up by 31,000 or so.
[00:32:07.777 --> 00:32:12.664]  They say there's 400,000 mail-in ballots that are still being counted that of course are coming from Detroit.
[00:32:13.444 --> 00:32:14.645]  I believe that Joe is right.
[00:32:14.725 --> 00:32:16.926]  In Arizona, we are looking very good.
[00:32:17.546 --> 00:32:20.647]  Fox News did a terrible job by calling that too early.
[00:32:21.407 --> 00:32:32.552]  I think that there is a situation where a lot of the votes there were actually disqualified by virtue of the fact that they had people filling them out with Sherpie markers instead of ballpoint pens.
[00:32:32.832 --> 00:32:35.873]  They're only counting the ballpoint pen ballots I have heard.
[00:32:36.093 --> 00:32:37.934]  There's a video on my Twitter where I show this.
[00:32:38.654 --> 00:32:44.657]  And they had people, they had even the sheriff enforcing, oh, you have to do it with a Sherpie in Republican areas.
[00:32:44.977 --> 00:32:46.058]  So this is massive.
[00:32:46.498 --> 00:32:49.380]  And you want to talk about Pennsylvania, because this is where it's all going to come down to.
[00:32:49.400 --> 00:32:50.040]  All right, stay there.
[00:32:50.060 --> 00:32:50.740]  Let's talk about that.
[00:32:50.780 --> 00:32:52.501]  And getting back to the pens, we'll show that video when we come back.
[00:32:52.822 --> 00:32:54.662]  They're using it to overwrite the other vote.
[00:32:55.143 --> 00:32:57.384]  These people are out of control.
