[00:00:00.535 --> 00:00:00.895]  Warning.
[00:24:51.220 --> 00:25:00.109]  Yeah, you know and in terms of Hezbollah and other locations from which attacks might follow I mean obviously we don't know whether or not
[00:25:00.609 --> 00:25:05.456]  What we have seen tonight is the extent of it or whether it's the beginning of what we might watch unfold.
[00:25:05.496 --> 00:25:09.841]  But what, you know, what areas, what concerns do you have as you look at that potential?
[00:25:11.133 --> 00:25:23.241]  My concern, Martha, frankly, is that Iran may well take this one action tonight and then lay low for months and then surprise us in another theater around the world or here at home.
[00:25:24.082 --> 00:25:32.087]  We're going to have to have a clear strategy for how to engage our allies, how to put pressure on Iran, and how to deter future attacks.
[00:25:32.147 --> 00:25:40.573]  And that's what I think is most important is for the administration and Congress working together to come up with a stronger and clearer strategy for the region.
[00:25:41.353 --> 00:25:44.555]  It might have made news to strike Soleimani.
[00:25:44.595 --> 00:25:47.096]  Certainly I don't mourn his passing.
[00:25:47.136 --> 00:25:51.639]  He was a person responsible for the deaths of hundreds of American servicemen over the years.
[00:25:52.199 --> 00:25:59.783]  But this was a dramatically escalatory step and now I think we need to make sure there is a coherent strategy for how we're going to move forward.
[00:26:00.503 --> 00:26:06.386]  How much of your thinking on that hinges on what you learn about the intelligence?
[00:26:06.466 --> 00:26:27.617]  Because it strikes me, today we got sort of a little bit of information from Robert O'Brien, DHS, and also from William Esper, the Secretary of Defense, who say that the intelligence that they received about attacks on Americans and American interests was that those attacks were going to take place within days or weeks
[00:26:28.217 --> 00:26:40.849]  So, what would you have recommended the action be if you feel that this was too escalatory, given the fact that those attacks appear, at least based on what we know so far, to have been something that was quite pressing?
[00:26:41.801 --> 00:26:48.164]  Well, Martha, that's what I look forward to hearing in the classified briefing tomorrow, is exactly what qualified as an imminent threat.
[00:26:48.484 --> 00:27:01.050]  But more broadly, over many, many months, there have been steady, increasing escalatory steps by Iran against our regional partners and allies, and some responses by the United States.
[00:27:01.930 --> 00:27:04.331]  Frankly, I think there should have been a strategy in place.
[00:27:05.052 --> 00:27:20.398]  I know the President was given, according to press reports, a range of options for what to do in response to Iran's most recent attack, excuse me, the Shiite militia attack on an American facility that killed an American contractor and several others.
[00:27:20.418 --> 00:27:25.761]  What do you think would have been the appropriate response, Senator, to that killing of the American contractor?
[00:27:26.571 --> 00:27:29.573]  The president had a range of options at his disposal.
[00:27:30.334 --> 00:27:39.039]  I know some of them would have included either a cyber attack or a lower level military attack on Iranian capacities or assets.
[00:27:39.280 --> 00:27:56.371]  I'm just struck by the fact that the killing of Soleimani was a very significant escalation and I hope that there has been a thorough plan put together about what the next steps will be because a strong forceful Iranian response throughout the region was I think entirely predictable.
[00:27:56.971 --> 00:28:15.401]  Do you think that, you know, given the escalation that Iran had been producing over the last 18 months, that, and the president had showed restraint actually after the attack on the Saudi Arabian oil fields, and made it quite clear that if an American life was taken, that was going to put this into a whole other ballpark, so to speak.
[00:28:17.202 --> 00:28:26.064]  That something dramatic had to take place and that perhaps taking out this person that had been designated a terrorist by the Obama administration, by the United Nations.
[00:28:26.665 --> 00:28:32.186]  Alright, we are live and there's been a bunch of people and news organizations on Twitter reporting for Ibsted.
[00:28:32.746 --> 00:28:34.867]  We're glad to tell you that we've not found anything.
[00:28:36.167 --> 00:28:37.328]  That is documenting that.
[00:28:37.468 --> 00:28:40.729]  So we're just glad that that is false reports.
[00:28:40.809 --> 00:28:46.411]  What has been confirmed is Iran's taking credit for launching attacks from inside their country into Iraq.
[00:28:46.691 --> 00:28:48.392]  That's a big deal under international law.
[00:28:48.772 --> 00:28:52.174]  And Zachary Lee Clayone has been a frequent guest on the show.
[00:28:52.234 --> 00:28:52.874]  He's a U.S.
[00:28:53.314 --> 00:28:59.456]  Army stationed at Fort Hood, witnessed a lot of incredible things, was involved in a lot of different clandestine areas.
[00:28:59.757 --> 00:29:03.438]  But he called me up on Thursday and said they're about to hit Iran, it's about to be
[00:29:03.918 --> 00:29:04.318]  Be big.
[00:29:04.358 --> 00:29:06.659]  I went on air and said one of my good sources has said that.
[00:29:07.020 --> 00:29:12.022]  Well, he started calling me a few hours ago before the missile attacks were in the news, before any of this was happening.
[00:29:12.322 --> 00:29:15.723]  And he said stuff is really going big from his sources and his timeline.
[00:29:16.224 --> 00:29:17.224]  So Owen and I are here.
[00:29:17.264 --> 00:29:19.665]  I appreciate everybody being with us tonight and the crew here.
[00:29:20.145 --> 00:29:21.966]  Let's go to Zach Lee Claywan.
[00:29:22.006 --> 00:29:22.887]  Zach, thanks for holding.
[00:29:23.247 --> 00:29:24.848]  I appreciate you contacting me today.
[00:29:24.868 --> 00:29:32.231]  And as much as you can tell folks about how serious this is and what you see set to happen here in the next few days.
[00:29:33.846 --> 00:29:38.948]  Well, it's just a pleasure to be on with both you gentlemen, and I would say it's very dire.
[00:29:39.569 --> 00:29:46.892]  One thing's for certain, with the quick culture that we have in today's society, we don't understand the timeline.
[00:29:47.372 --> 00:29:49.473]  And the timeline is this.
[00:29:49.713 --> 00:29:56.556]  In 2016, the Obama administration allowed $1.7 billion in cash to flood into Iran.
[00:29:57.557 --> 00:29:57.957]  On record.
[00:29:59.164 --> 00:29:59.744]  No big deal.
[00:29:59.784 --> 00:30:00.525]  That's New York Times.
[00:30:00.565 --> 00:30:02.005]  That's Los Angeles Times.
[00:30:02.345 --> 00:30:03.926]  That's verified by the Treasury.
[00:30:04.406 --> 00:30:10.928]  They allowed $1.7 billion to flood into Iran, and now we see the situation we have.
[00:30:11.809 --> 00:30:12.909]  This is incredible.
[00:30:13.209 --> 00:30:14.850]  This is very dramatic.
[00:30:15.430 --> 00:30:16.350]  A lot's going on.
[00:30:17.011 --> 00:30:26.054]  Of course you have, you know, the IRGC, which stands for the Islamic Revolutionary Guard Corps, taking full
[00:30:28.621 --> 00:30:37.349]  Responsibility for these attacks that have occurred in Western Iraq, which, you know, are very provoking and very problematic.
[00:30:37.569 --> 00:30:39.010]  It's very problematic.
[00:30:39.070 --> 00:30:43.374]  There's a lot of pieces to this puzzle, but people need to go back a couple years.
[00:30:43.754 --> 00:30:52.502]  Because could you imagine a commander in chief, a president, one of the most popular people in pop culture on Netflix with a contract?
[00:30:53.368 --> 00:30:57.874]  Not coming out and saying anything about the situation when you sent them 1.7 billion dollars?
[00:30:58.374 --> 00:31:01.158]  To me that sounds like aiding and abetting.
[00:31:02.199 --> 00:31:02.860]  But I might be crazy.
[00:31:04.008 --> 00:31:09.929]  Well, you called me on Thursday, Zachary, and you said it's going down with Iran.
[00:31:09.989 --> 00:31:11.570]  It's on major provocations.
[00:31:11.590 --> 00:31:13.710]  You said it'll cause a big chain reaction.
[00:31:13.730 --> 00:31:18.291]  And today, before the missile attacks, right before it, you said it's all about to blow up.
[00:31:18.751 --> 00:31:21.852]  Iran's going to basically launch a lot of covert operations.
[00:31:21.892 --> 00:31:22.832]  There was the intel coming in.
[00:31:23.752 --> 00:31:24.692]  You've been a great source.
[00:31:25.012 --> 00:31:28.013]  Tell us what you're hearing about what you think is going to happen in the next three days.
[00:31:29.286 --> 00:31:51.553]  Well, the big intel that was coming in, and for full disclosure, an individual who I am, a United States Army veteran, a guy who works for contracting groups, very well known, the intel that came in was individuals who have allegiance to Iran would be attacking individuals who are from the ground up.
[00:31:51.653 --> 00:31:58.395]  Meaning, if you're a social media influencer, if you're a media personality, if you're a business owner,
[00:31:59.099 --> 00:32:11.828]  If you're an infrastructure owner, if you happen to be in the police force, if you happen to be in the military, and so on up the ladder, which should be concerning to every American here.
[00:32:14.130 --> 00:32:15.651]  This is a credible threat.
[00:32:15.731 --> 00:32:17.212]  This is not hearsay.
[00:32:17.252 --> 00:32:18.593]  This is actual chatter.
[00:32:19.614 --> 00:32:20.634]  And it's very problematic.
[00:32:20.694 --> 00:32:22.676]  And I understand your company.
[00:32:26.147 --> 00:32:29.089]  Your likeness has been attacked today, which does not surprise me.
[00:32:30.590 --> 00:32:31.911]  What do you mean by that specifically?
[00:32:33.252 --> 00:32:35.754]  Didn't you say your server was attacked or something?
[00:32:35.774 --> 00:32:35.894]  Oh, yes.
[00:32:35.914 --> 00:32:37.195]  They've been trying to shut us down right now.
[00:32:38.196 --> 00:32:39.216]  Yeah.
[00:32:39.557 --> 00:32:41.498]  I mean, they're very sophisticated.
[00:32:41.978 --> 00:32:42.739]  And here's the thing.
[00:32:44.600 --> 00:32:53.907]  When it comes to getting $1.7 billion from Obama, make no mistake, when it comes to geopolitical chess, you do not want to play chess with the Persians.
[00:32:54.587 --> 00:32:55.488]  And they know what they're doing.
[00:32:56.564 --> 00:32:58.866]  They're very sophisticated and their butt hurt.
[00:32:59.207 --> 00:33:00.327]  There's a lot going on right now.
[00:33:00.708 --> 00:33:16.821]  Well what does it mean that they would take credit and launch a missile strike from inside Iran into Iraq which opens them up to a lot of response and then they threaten here and their official press agency Miami Herald reports it saying don't don't counter strike to this.
[00:33:17.862 --> 00:33:23.886]  We are warning all American allies who gave their bases to its terrorist army that any territory that is
[00:33:25.347 --> 00:33:34.410]  Well, when it comes to a military level, what we've seen from Iran in the last probably 70 years is that they telegraph their movements.
[00:33:34.430 --> 00:33:35.950]  Whatever they're going to do, they say, they do it.
[00:33:48.287 --> 00:33:52.130]  And they said, and quote, this is an act of aggression against Iran.
[00:33:52.150 --> 00:33:54.552]  This amounts to an armed attack against Iran.
[00:33:54.873 --> 00:34:00.217]  And we will respond, but we will not respond proportionally, not disfortunately.
[00:34:01.038 --> 00:34:09.624]  And this is like, it's fairly important because what they're hoping to do is to get in the UN Council in New York City.
[00:34:10.185 --> 00:34:12.527]  But I don't think that's going to happen.
[00:34:13.348 --> 00:34:26.919]  This is very problematic, but they happen to be playing the international law line, but they're pretty politically savvy, pretty law savvy, but when it comes to war, I would not be on the wrong side of the United States of America.
[00:34:32.099 --> 00:34:35.020]  This is an extremely bold move, and we don't know about casualties.
[00:34:35.040 --> 00:34:35.961]  There's been some reports.
[00:34:36.001 --> 00:34:36.461]  We're not sure.
[00:34:36.501 --> 00:34:37.181]  We hope they're wrong.
[00:34:37.201 --> 00:34:39.983]  We were just covering what Twitter and some news agencies were saying.
[00:34:40.243 --> 00:34:45.885]  It would be in the best interest of the Iranians if not a hair has been harmed on an American.
[00:34:46.185 --> 00:34:56.310]  Because if a hair has been harmed on an American, you have B-52 bombers flying out of Diego Garcia at a pretty high elevation that could reach out and touch you.
