[00:00:00.070 --> 00:00:00.332]  The show.
[00:25:33.235 --> 00:25:39.780]  French court convicts three over homophobic tweets in case hailed a significant victory by LGBT rights campaigners.
[00:25:40.260 --> 00:25:41.121]  Yeah, that's right!
[00:25:42.113 --> 00:25:45.696]  Let's arrest people that criticize homosexuals.
[00:25:47.457 --> 00:25:50.940]  A French court has handed out convictions for anti-gay hate crimes on Twitter.
[00:25:51.260 --> 00:25:54.983]  For the first time, three people used the hashtag, let's burn the gays.
[00:25:57.145 --> 00:26:00.348]  Well, if you set a specific time and place and who to burn, it would be illegal.
[00:26:00.708 --> 00:26:03.750]  But the way they're ruling is they're saying, no, it was hateful, so it's illegal.
[00:26:04.391 --> 00:26:11.056]  And what a major French LGBT rights group called a significant victory, three people were convicted in Paris court this weekend.
[00:26:12.453 --> 00:26:16.434]  A company tweets with the hashtag, let's burn the gays.
[00:26:16.454 --> 00:26:19.676]  They're probably latent homosexuals that put that out.
[00:26:20.456 --> 00:26:31.900]  During the same period in August 2013, and I'm being sarcastic, but statistically folks that are obsessed with it are probably, you know, I mean everybody knows that, who's got a brain.
[00:26:33.178 --> 00:26:40.923]  Uh, French LGBT charity committee, Idaho, which organizes the Nation's International Day against homophobia.
[00:26:41.324 --> 00:26:42.504]  See, that's a bunch of bull.
[00:26:42.985 --> 00:26:44.125]  Calling it a mental illness.
[00:26:44.145 --> 00:26:45.206]  That's Soviet tyranny.
[00:26:45.646 --> 00:26:55.753]  If you don't like the whole liberal socialist gay agenda being pushed on you, and don't accept them brainwashing your kids, you're a homophobe.
[00:26:57.634 --> 00:27:02.798]  No, that's called having a preference in your life.
[00:27:05.742 --> 00:27:06.362]  But there you go.
[00:27:08.104 --> 00:27:10.505]  Very dangerous trend, ladies and gentlemen.
[00:27:11.226 --> 00:27:17.350]  You know, they tried to ban in France, well, have banned in France, Nazi memorabilia being sold on eBay.
[00:27:18.691 --> 00:27:21.853]  Most people that buy Nazi memorabilia are not Nazis.
[00:27:21.893 --> 00:27:29.118]  In fact, I've been at gun shows before and bought, you know, a German knife one time from World War II.
[00:27:30.647 --> 00:27:40.854]  I've got a Colt 911 from World War II, and I've got a German Luger from World War II.
[00:27:41.215 --> 00:27:43.977]  And it's not because I'm a Nazi, it's really an interesting gun.
[00:27:45.177 --> 00:27:59.908]  And everyone understands this, and when you go to the museum at the Smithsonian, and they got a whole area of Nazi stuff, or you go to the Pacific War Museum, it's excellent by the way, in Fredericksburg, Texas, as good as the Smithsonian in many ways, just the middle of nowhere.
[00:28:01.314 --> 00:28:03.795]  It's full of Nazi stuff and Japanese stuff.
[00:28:03.815 --> 00:28:07.177]  Doesn't mean they support... I mean, everyone knows this.
[00:28:08.198 --> 00:28:09.438]  But this is political correctness.
[00:28:09.498 --> 00:28:18.143]  It's just like the black woman that ran the restaurant at the casino read a book about Martin Luther King and his favorite foods, so she cooked Southern food.
[00:28:19.183 --> 00:28:21.685]  They call soul food because black folks eat Southern food.
[00:28:21.705 --> 00:28:23.886]  They're a big influence on Southern food.
[00:28:26.383 --> 00:28:28.344]  A lot of it is dishes that poor people would eat.
[00:28:28.624 --> 00:28:34.766]  Blacks would eat black-eyed peas and collard greens and stuff because it was seen as what poor people ate.
[00:28:35.106 --> 00:28:36.287]  They made a delicacy out of it.
[00:28:36.467 --> 00:28:38.128]  See, I don't know the whole history of it, ladies and gentlemen.
[00:28:38.148 --> 00:28:38.988]  I love black-eyed peas.
[00:28:39.348 --> 00:28:40.268]  I love collard greens.
[00:28:40.368 --> 00:28:41.249]  I love fried chicken.
[00:28:42.509 --> 00:28:43.390]  Because it tastes good.
[00:28:44.730 --> 00:28:45.831]  But I'm already digressing.
[00:28:46.211 --> 00:28:47.451]  This is the mindlessness.
[00:28:47.971 --> 00:28:50.833]  A black lady can't cook collard greens because black folks like it.
[00:28:51.593 --> 00:28:51.773]  What?
[00:28:52.990 --> 00:28:55.694]  I can't cook Mexican food because it's Mexican?
[00:28:55.714 --> 00:29:08.810]  See, this is the mental illness, while the real discrimination by the globalists is happening against all of us, having our money devalued, our environment poisoned, our kids turned against us, this huge positronic internet takeover grid.
[00:29:09.811 --> 00:29:11.092]  Rolling out against everybody.
[00:29:11.332 --> 00:29:13.153]  We're only in the bait phase of the internet.
[00:29:13.813 --> 00:29:15.454]  The new controlled web is coming in.
[00:29:15.875 --> 00:29:22.078]  Facebook is adopting publicly the communist Chinese model of censorship and has now launched it three weeks after meeting with them.
[00:29:22.458 --> 00:29:24.520]  We're all being overwritten.
[00:29:25.860 --> 00:29:26.321]  Erased.
[00:29:27.742 --> 00:29:29.162]  We're being destroyed.
[00:29:29.723 --> 00:29:31.384]  A tiny technocracy is running it.
[00:29:33.085 --> 00:29:33.965]  And we gotta come together.
[00:29:34.886 --> 00:29:36.687]  That's why I don't want to fight with the police.
[00:29:37.918 --> 00:29:41.420]  That's why I don't want to fight with the military, because they're being brainwashed as well.
[00:29:41.460 --> 00:29:44.701]  We got to come together against the technocracy, and we come back.
[00:29:45.361 --> 00:29:51.144]  I've got some horrible, horrible activities by the police we're going to expose, but not because we hate them.
[00:29:51.904 --> 00:29:57.527]  Because we want to correct this behavior from a position of moral strength, not mindless hatred.
[00:29:59.368 --> 00:30:00.308]  We're on the march.
[00:30:00.748 --> 00:30:02.349]  The Empire's on the run.
[00:30:03.290 --> 00:30:05.971]  Alex Jones and the GCN Radio Network.
[00:30:10.382 --> 00:30:11.283]  Alex Jones here.
[00:30:11.383 --> 00:30:20.353]  For the last two years, I've been working with top doctors, nutritionists, and chemists to design a nutraceutical formulation that has truly life-changing health benefits.
[00:30:20.553 --> 00:30:25.779]  So many other formulations out there contain toxic ingredients, synthetic additives, and even GMOs.
[00:30:26.099 --> 00:30:29.620]  Introducing the all-new Ancient Defense Herbal Immunity Blend.
[00:30:29.840 --> 00:30:39.202]  Crafted with over 14 key ancient herbs and extracts to supercharge and prepare your body for what experts admit is the most dangerous season of the year.
[00:30:39.382 --> 00:30:50.544]  We have rejected hundreds of other formulations in our quest to bring you what is simply the most powerful and comprehensive proprietary formula that we have ever created in the realm of herbal immunity.
[00:30:50.804 --> 00:30:55.565]  Experience the benefits of combining over 14 ancient herbs and extracts
[00:30:55.785 --> 00:30:58.767]  With exciting new advances in nutraceutical science.
[00:30:59.047 --> 00:31:02.490]  For a limited time, get 25% off on this introductory offer.
[00:31:02.690 --> 00:31:05.272]  Visit Infowarslife.com or call 1-888-253-3139.
[00:31:05.292 --> 00:31:06.052]  That's Infowarslife.com.
[00:31:10.376 --> 00:31:13.578]  When cells become toxic, they die early and aging sets in.
[00:31:13.878 --> 00:31:21.904]  No one has put together a formula that focuses directly on brain health, nerve growth factors, and optimizing your cellular energy at the same time.
[00:31:22.124 --> 00:31:27.148]  Just one of the key compounds, BioPQQ, is backed by major clinical studies.
[00:31:27.528 --> 00:31:29.830]  You want the best that's out there at the lowest price anywhere?
[00:31:30.070 --> 00:31:31.871]  We now have the synergistic solution.
[00:31:32.171 --> 00:31:36.354]  Secure your DNA force today at InfoWarsLife.com or call toll-free 888-253-3139.
[00:31:40.379 --> 00:31:44.221]  The average person's life is filled with unexpected challenges.
[00:31:44.982 --> 00:31:51.225]  Unlock the energy it takes to defeat these daily beasts with super male or super female vitality.
[00:31:51.386 --> 00:32:00.391]  Specifically designed to assist the body in regulating proper hormone balance to create superior vitality in males and females.
[00:32:00.751 --> 00:32:05.594]  Supercharge and conquer your world at InfoWarsLife.com or call 1-888-253-3139.
[00:32:10.137 --> 00:32:17.080]  For all of recorded history, civilizations around the world praised the health benefits of silver.
[00:32:17.340 --> 00:32:26.764]  At InfoWars Life, our mission is to bring you the highest quality, purest, cleanest, effective colloidal silver on the market today for the lowest price available.
[00:32:26.964 --> 00:32:34.988]  You don't have to be a doctor to know the fall and winter months are the most dangerous time of year in North America when it comes to you and your family's health.
[00:32:35.228 --> 00:32:44.697]  Infowarslife.com is very excited to announce our biggest run yet of silver bullet colloidal silver exclusively available at Infowarslife.com.
[00:32:44.877 --> 00:32:51.783]  Now Infowarslife.com has taken colloidal silver to the next level using a cutting-edge technique that is free of toxic artificial additives.
[00:32:52.003 --> 00:32:56.965]  Now more than ever it's important to stock up on high quality Silver Bullet from Infowarslife.com.
[00:32:57.245 --> 00:33:00.026]  No survival chest is complete without Silver Bullet.
[00:33:00.286 --> 00:33:04.748]  Secure your Silver Bullet today at Infowarslife.com or by calling toll free 888-253-3139.
[00:33:04.768 --> 00:33:05.108]  Silver Bullet.
[00:33:31.936 --> 00:33:40.424]  Leading a frontal assault on the lives of the New World Order, it's Alex Jones on the GCN Radio Network.
[00:33:40.444 --> 00:33:47.650]  Johnny, be good!
[00:33:47.930 --> 00:33:48.851]  Crank it up for a moment.
[00:33:57.640 --> 00:34:15.131]  There's a lot of human talent out there, music, science, you name it, that is being squashed by this global digital overwrite, where the elite are deciding the future of humanity.
[00:34:15.151 --> 00:34:23.277]  I know I harp on that a lot, but the new digital royalty, the Googles and Microsofts of the world, are eugenicists.
[00:34:24.972 --> 00:34:27.936]  And do not have very good intentions for the public.
[00:34:28.316 --> 00:34:31.680]  I want to go to John, Matt, Frank, Stefan, Kevin, and many others.
[00:34:32.141 --> 00:34:33.422]  It's wide open phones today.
[00:34:33.482 --> 00:34:37.867]  The toll-free number to join us is 800-259-9231.
[00:34:38.628 --> 00:34:42.333]  Obviously, I'm going to talk about what's being called a worst-case scenario.
[00:34:42.793 --> 00:34:43.714]  Yemen chaos.
[00:34:44.375 --> 00:34:48.977]  As the President flees, Saudi King's death poses new challenges for the U.S.
[00:34:49.657 --> 00:34:55.519]  Major controversy, especially in the U.K., over half-masked for the Saudi King.
[00:34:55.539 --> 00:35:05.803]  I mean, the Saudi King, his father was put into power by the British in 1903.
[00:35:06.323 --> 00:35:08.864]  By 1931, they'd taken over most of the Middle East.
[00:35:08.904 --> 00:35:13.566]  It was one Bedouin group that they gave rockets and hand grenades and stuff to, and machine guns.
[00:35:14.505 --> 00:35:15.426]  And they just took over.
[00:35:16.686 --> 00:35:18.507]  Ended up taking over Syria as well.
[00:35:19.668 --> 00:35:22.029]  They are just absolute thumb-at-the-mouth demons.
[00:35:24.211 --> 00:35:27.432]  And a lot of the women and people that get kidnapped in this country get flown over there.
[00:35:28.113 --> 00:35:30.954]  I mean, it is Baron Harkonnen-level craziness.
[00:35:31.555 --> 00:35:35.317]  Makes North Korean seven-story pleasure palaces pale.
[00:35:37.190 --> 00:35:42.992]  And of course the degenerate pedophile-filled monarchy is endorsing these degenerates.
[00:35:43.112 --> 00:35:45.312]  They are puppets of the British monarchy.
[00:35:48.073 --> 00:35:50.633]  And the British monarchy is not British royalty.
[00:35:52.694 --> 00:36:03.537]  You haven't had a house there that was actually from those aisles since William the Conqueror took over in 1100 and change.
[00:36:06.974 --> 00:36:25.280]  They overtook the Saxons, and of course we're talking about the Norman, a Germanic group, a Viking German-French, and then you expand out from that, it's not even German royalty today, it's a Transylvanian-Germanic bloodline that runs it, and they are the scum of the earth.
[00:36:25.920 --> 00:36:32.502]  And they lobby for carbon taxes, global government, it is their plan we're living under with the robot takeover.
[00:36:34.522 --> 00:36:50.509]  And I guess, in their words, they deserve to be in control, and I guess they kind of do, from a survival of the fittest, social Darwinistic view, because they are the ones that financed the scientists 170 years ago, I don't know, 1850 or so.
[00:36:50.529 --> 00:36:52.550]  The plan was public in 1855.
[00:36:52.770 --> 00:36:58.153]  You know, I harp on this a lot because if people don't know that this is all planned out,
[00:36:59.946 --> 00:37:11.332]  And when you know there's a world government scientific takeover, planned out, it took them a hundred and something years to get it pretty much in place, we're now in the last few minutes of the ballgame.
[00:37:13.514 --> 00:37:14.674]  Here in the next few decades.
[00:37:17.476 --> 00:37:18.957]  And God help us.
[00:37:19.997 --> 00:37:21.318]  If I was a self-centered person,
[00:37:24.622 --> 00:37:32.727]  I would just get out of here and move to the safest third world country I could, keep my head down, and then just constantly move and try to get away from the technology.
