[00:00:00.069 --> 00:00:00.935]  Spend Liberty Worldwide!
[00:23:13.694 --> 00:23:15.535]  Will you have drinkable water in an emergency?
[00:23:15.655 --> 00:23:21.536]  The Berkey Guy is here to help you remove these and other potential contaminants from your water, thus helping you drink clean, purified water.
[00:23:21.656 --> 00:23:25.197]  We offer Berkey water purification systems at the lowest available prices online.
[00:23:25.297 --> 00:23:27.217]  Don't go another moment without a Berkey system.
[00:23:27.257 --> 00:23:30.258]  Over the last 10 years, we've helped thousands drink clean, purified water.
[00:23:30.378 --> 00:23:33.619]  Join them by visiting GoBerkey.com or call me, the Berkey Guy, at 877-886-3653.
[00:23:33.639 --> 00:23:33.819]  That's 877-886-3653.
[00:23:40.287 --> 00:23:45.288]  KatiArmor.com is your one-stop shop for the most affordable body armor period.
[00:23:45.308 --> 00:23:49.989]  With packages starting at $169.99 and free shipping on every order.
[00:23:50.049 --> 00:23:53.710]  Kati offers soft armor and rifle threat rated armor up to level 4.
[00:23:53.810 --> 00:23:58.791]  Go to KatiArmor.com and get your body armor today while you still can.
[00:23:58.871 --> 00:24:04.092]  Mention this ad and receive a free tactical scarf for a limited time with any body armor package.
[00:24:04.272 --> 00:24:06.853]  That's KatiArmor.com.
[00:24:07.033 --> 00:24:07.913]  Come and take it!
[00:24:16.801 --> 00:24:23.066]  I got a star on my car and one on my chest, a gun on my hip and the right to arrest.
[00:24:23.186 --> 00:24:29.552]  I'm a guy who's a boss on this highway, so watch out what you're doing when you're driving my way.
[00:24:29.832 --> 00:24:31.934]  If you break the law, you'll hear from me.
[00:24:32.154 --> 00:24:35.777]  I know I'm working for the state on my highway patrol.
[00:24:37.818 --> 00:24:38.900]  You drive too fast!
[00:24:39.400 --> 00:24:41.282]  Is Junior Brown bringing us in?
[00:25:02.586 --> 00:25:08.649]  If you drive too fast like you shouldn't do, you can bet your boots I'm coming after you.
[00:25:10.209 --> 00:25:10.489]  Really!
[00:25:10.970 --> 00:25:19.653]  But you're not allowed to go off the private Federal Reserve that's been caught since the 70s laundering hundreds of billions of dollars per year of drug money on record.
[00:25:19.773 --> 00:25:21.234]  I mean, it's been in the Associated Press.
[00:25:21.954 --> 00:25:23.875]  It's been in Bloomberg.
[00:25:24.976 --> 00:25:27.837]  That Wachovia, Wells Fargo, $378 billion in drug money over two years.
[00:25:32.864 --> 00:25:33.465]  They all do it.
[00:25:34.465 --> 00:25:38.289]  But little banks have to fill out suspicious customer reports on people.
[00:25:38.869 --> 00:25:42.873]  If an old lady gets out $1,000 cash, it's not $10,000 or more, folks.
[00:25:43.173 --> 00:25:44.474]  I was talking to a banker just the other day.
[00:25:44.835 --> 00:25:51.620]  And then if you're a small-town branch, they come in with investigators and call you a criminal because you didn't put anybody in a database.
[00:25:52.449 --> 00:26:06.589]  Remember the head of the federal marshals over a whole sector, the air marshals, a few years ago was in the Denver Post, ended up getting in trouble for blowing the whistle and said, we are ordered to put innocent people in terrorist databases to create the perception of a terror threat on the airplanes.
[00:26:08.180 --> 00:26:11.861]  If a old woman orders a vegetarian meal, they're put in a database.
[00:26:12.321 --> 00:26:16.382]  If a family takes a picture of themselves getting on the airplane, we put them in a database.
[00:26:16.782 --> 00:26:19.663]  I will not be part of this fraud, and my agents do not want to do this.
[00:26:20.523 --> 00:26:21.864]  We signed up to protect people.
[00:26:22.184 --> 00:26:23.284]  I actually had him on as a guest.
[00:26:24.945 --> 00:26:36.928]  So the average person in the government is more aware of this than even I. The problem is they're purging all the people that want to actually be good stewards and follow their oaths, and they're putting in people that know there's a criminal takeover.
[00:26:38.240 --> 00:26:40.161]  I've had the ATF twice in person.
[00:26:40.621 --> 00:26:42.162]  Once at a gun show and once on the street.
[00:26:43.663 --> 00:26:51.527]  Basically come right up to me with the most criminal, hateful look of predatory evil and tell me they're gonna get me.
[00:26:52.187 --> 00:26:53.368]  And I better watch my butt.
[00:26:56.990 --> 00:27:00.832]  And then they just can't believe it when I just throw my hands up and go, well then do something!
[00:27:01.052 --> 00:27:01.972]  What's your problem?
[00:27:02.833 --> 00:27:03.733]  What is your problem?
[00:27:03.873 --> 00:27:05.094]  Why do you hate good people?
[00:27:07.116 --> 00:27:10.619]  You hate us because we remind you what piles of steaming crap you are!
[00:27:12.360 --> 00:27:13.421]  You stupid scum!
[00:27:14.042 --> 00:27:19.206]  Once the revolution kicks off, you idiots, you're gonna be one of the worst positions out there!
[00:27:19.546 --> 00:27:21.127]  And I don't take any pleasure in that!
[00:27:22.328 --> 00:27:26.212]  You think you can bomb yourselves in Oklahoma City and make yourselves victims?
[00:27:26.952 --> 00:27:28.814]  Everybody sees through that, stupid!
[00:27:30.395 --> 00:27:33.037]  Man, I'm in such an aggressive mood.
[00:27:33.077 --> 00:27:34.618]  I'm glad I took a few days off because
[00:27:35.649 --> 00:27:36.990]  I'm ready to fight the New World Order.
[00:27:37.010 --> 00:27:37.630]  I'm here to tell you.
[00:27:39.531 --> 00:27:40.652]  I watch these videos.
[00:27:41.432 --> 00:27:42.713]  I mean, it's a fact, okay?
[00:27:42.753 --> 00:27:44.134]  Let's get past the political correctness.
[00:27:45.434 --> 00:27:46.595]  I'm not an Islamophobic.
[00:27:46.655 --> 00:27:52.198]  I was against all these wars to destabilize the Middle East, to cause a clash of civilizations, and put in really bad regimes.
[00:27:52.458 --> 00:27:57.941]  But Western exported hip-hop mixed with woman-hating elements of radical Islam.
[00:27:59.061 --> 00:28:00.382]  The anthropologist admits this.
[00:28:00.402 --> 00:28:03.804]  The sociologist has created a radical gangbanger
[00:28:05.464 --> 00:28:15.888]  Beyond straight-out-of-Compton mutation, just like hillbilly kids in the Ozarks are imitating inner-city gangsterism, because all they were imitating was Al Capone, people like that.
[00:28:16.169 --> 00:28:17.649]  Everything's a copy of the last group.
[00:28:20.070 --> 00:28:26.293]  And in Europe, rape is up more than tenfold.
[00:28:27.884 --> 00:28:36.267]  And it's because the police will not enforce or go after Western women, and I mean young girls, people's 14-year-old daughters, getting raped by radical Muslims.
[00:28:37.967 --> 00:28:40.048]  And if fathers fight back, they're arrested.
[00:28:41.389 --> 00:28:51.132]  There have been famous cases where gypsies broke into a guy's house five times, he got an old shotgun, double barrel, that had been his father's, he was an old farmer himself, shot one of them.
[00:28:52.012 --> 00:28:56.634]  Last time I heard, he's still in jail, they won a lawsuit against him and didn't get in trouble.
[00:28:57.719 --> 00:29:04.623]  In England, the gypsies are allowed, saying it's their culture, to steal your RVs.
[00:29:05.163 --> 00:29:06.344]  They call them wagons there.
[00:29:06.864 --> 00:29:07.345]  Don't believe me?
[00:29:07.365 --> 00:29:11.147]  Just type in, police will not return wagons stolen.
[00:29:12.007 --> 00:29:15.389]  And it's not just bashing Romanian gypsies who go back to India.
[00:29:17.370 --> 00:29:20.872]  Europeans regularly thought they were from Egypt, so that's where the word gypsy comes from.
[00:29:21.213 --> 00:29:21.813]  Egypt, gypsy.
[00:29:23.814 --> 00:29:27.435]  But we're talking about pikeys that everybody acts like are so cute and funny and cool.
[00:29:28.116 --> 00:29:29.396]  And they're out of Ireland.
[00:29:29.496 --> 00:29:30.436]  And I'm not bashing Irish.
[00:29:30.497 --> 00:29:31.017]  I'm part Irish.
[00:29:31.257 --> 00:29:39.760]  But it's just Irish scum who thinks it's their responsibility and their right to rob and kill and steal whatever they want.
[00:29:39.780 --> 00:29:42.061]  And they make movies with Brad Pitt how cute it is.
[00:29:43.200 --> 00:29:47.382]  I don't know, some pikey comes around here wanting to rob me and my family, I'll beat your brains out with a baseball bat!
[00:29:47.722 --> 00:29:49.362]  I am sick of these criminal cultures!
[00:29:50.163 --> 00:29:55.705]  And they're just telling Europe, everybody, it's free reign, come rape us, come kill us, come piss on us, whatever you want.
[00:29:56.025 --> 00:29:56.285]  No!
[00:29:56.585 --> 00:29:57.446]  It stops now!
[00:29:59.086 --> 00:30:00.007]  We're on the march.
[00:30:00.507 --> 00:30:02.107]  The Empire's on the run.
[00:30:03.028 --> 00:30:05.729]  Alex Jones and the GCN Radio Network.
[00:30:10.114 --> 00:30:15.137]  Over the Labor Day weekend, we had reports of 8 being killed and 46 being wounded.
[00:30:15.558 --> 00:30:19.560]  July 4th of this year, we had reports of 9 dead and 53 wounded.
[00:30:20.040 --> 00:30:25.924]  And let us not forget, July 4th of last year, we had reports of 14 killed and 82 shot.
[00:30:26.444 --> 00:30:28.326]  And these are not nationwide stats.
[00:30:28.846 --> 00:30:34.830]  All of these numbers come from the city of Chicago, the city with some of the strictest gun laws in the nation.
[00:30:35.330 --> 00:30:40.074]  Which is to say, if criminals expect you to be unarmed, they're more likely to attack you.
[00:30:40.475 --> 00:30:44.758]  Not to mention the fact that much of this violence is linked to gangs or drug activity.
[00:30:45.239 --> 00:30:52.104]  Meaning that for all the gun buybacks and anti-gun commercials, criminals just haven't decided to turn in their firearms.
[00:30:52.885 --> 00:30:57.688]  And I understand that police have many responsibilities and they can't be every place at once.
[00:30:58.029 --> 00:31:01.931]  But that's why you have a Second Amendment so you'll be able to protect yourself.
[00:31:02.451 --> 00:31:05.994]  You can find more reports on InfoWars.com
[00:31:07.961 --> 00:31:10.923]  A clean, toxic-free body is the foundation of true health.
[00:31:11.203 --> 00:31:20.868]  Introducing Deep Cleanze by Infowarslife.com, a scientifically formulated blend of nanocolloidal zeolites and organic ingredients that aid the body in cleansing chemicals and toxic metals.
[00:31:21.148 --> 00:31:26.370]  Using our proprietary multi-step extraction technology, Deep Cleanze is our most affordable all-in-one cleanser.
[00:31:26.470 --> 00:31:35.375]  With concentrated organic compounds like cilantro, milk thistle, fulvic acid, orange peel, zeolites, and others, Deep Cleanze doesn't hold back.
[00:31:35.635 --> 00:31:44.262]  Instead of buying five, six, or even seven different cleansing products, we use decades-old scientific research to put together the Rolls-Royce of all-in-one cleansing.
[00:31:44.523 --> 00:31:51.469]  Look, there's a reason Deep Cleanse is the only product on the market that uses our proprietary Spigyrex herbal processing technique.
[00:31:51.609 --> 00:31:57.554]  We use only the highest quality organic herbs backed by serious research, and we still bring it to you at the best price out there.
[00:31:57.994 --> 00:32:02.756]  If you wish to find deep cleanse and experience the all-in-one cleansing, visit InfoWarsLife.com.
[00:32:02.916 --> 00:32:06.377]  That's InfoWarsLife.com or call 888-253-3139.
[00:32:06.697 --> 00:32:10.938]  When cells become toxic, they die early and aging sets in.
[00:32:11.258 --> 00:32:16.200]  No one has put together a formula that focuses directly on brain health nerve growth factors.
[00:32:16.220 --> 00:32:16.520]  I don't know.
[00:32:37.757 --> 00:32:41.958]  Used since before the days of the Roman Empire to support the body's natural systems.
[00:32:42.138 --> 00:32:46.100]  Introducing the new Infowarslife.com oil of oregano formulation.
[00:32:46.300 --> 00:32:51.061]  We have now procured the most high quality and potent forms of oregano oil on the market.
[00:32:51.241 --> 00:32:55.762]  Extracted directly from the wild herb and sealed in easy to use capsules.
[00:32:55.903 --> 00:32:59.224]  You will no longer need to endure the burning of liquid oregano on the tongue.
[00:32:59.384 --> 00:33:02.705]  Now available in our limited first run at Infowarslife.com.
[00:33:02.825 --> 00:33:04.645]  That's Infowarslife.com or call 888-253-3139.
[00:33:10.178 --> 00:33:11.498]  Waging war on corruption.
[00:33:12.299 --> 00:33:13.659]  It's Alex Jones.
[00:33:54.958 --> 00:34:11.840]  We are live broadcasting worldwide and I am so fired up that I was basically running around screaming in the control room during the break until I settled down and did a little Facebook mentions live broadcast and I'm gonna start doing that a few times a day during the three-minute breaks.
[00:34:12.955 --> 00:34:14.796]  I'm going, we're doing video pieces we're airing.
[00:34:14.876 --> 00:34:18.158]  I'm going to start doing extra news and analysis at Facebook.
[00:34:18.579 --> 00:34:21.821]  I'm also going to do some of the live YouTube feeds as well.
[00:34:22.361 --> 00:34:28.906]  But some of these Facebook mentions we're doing, we've done like seven or eight of them so far, are getting 200 plus thousand viewers.
[00:34:29.566 --> 00:34:34.609]  We're talking tens of thousands at one time, and then over the next day, 200,000.
[00:34:34.869 --> 00:34:39.793]  And what's exciting is so many of those people are folks that don't even know who we are.
[00:34:40.976 --> 00:34:44.060]  And that's what I really crave.
[00:34:45.022 --> 00:34:46.224]  What I really lust after.
[00:34:48.166 --> 00:34:48.687]  In a good way.
[00:34:48.707 --> 00:34:50.790]  I know lust is a sin, but you know what I mean.
[00:34:51.431 --> 00:34:54.555]  Is reaching new people and warning them so they can't be preyed upon.
[00:34:55.216 --> 00:34:56.378]  There's a Facebook video.
[00:34:57.435 --> 00:34:57.795]  I don't
[00:35:16.385 --> 00:35:18.407]  Until the feed cut out because we were down in a canyon.
[00:35:18.847 --> 00:35:22.370]  I talked to about 30 or more people telling them, read the vaccine insert.
