[00:00:00.550 --> 00:00:01.190]  Ha ha ha ha!
[00:25:35.235 --> 00:25:39.038]  She is the matron.
[00:25:39.038 --> 00:25:42.360]  She is the pusher.
[00:25:42.360 --> 00:25:43.741]  What's the term they use for that?
[00:25:43.741 --> 00:25:51.226]  The madam of sexual mutilation of women under Sharia law.
[00:25:51.226 --> 00:26:00.832]  I mean, again, imagine if Donald Trump was staying in a hotel room with a guy and holding the guy's hand on TV routinely.
[00:26:02.170 --> 00:26:11.816]  And then the guy's mother was the best, you know, top researcher publishing how great it is to cut women's genitals off.
[00:26:11.816 --> 00:26:17.059]  Donald Trump wouldn't get elected for 10 seconds and he shouldn't.
[00:26:17.059 --> 00:26:20.621]  Uma Abedin's mom linked to shocking anti-woman book.
[00:26:20.621 --> 00:26:21.221]  Linked to it?
[00:26:21.221 --> 00:26:22.702]  She's the main pusher of it.
[00:26:22.702 --> 00:26:24.583]  The woman's a freak!
[00:26:24.583 --> 00:26:27.185]  There's Hillary with the women all in their hijabs.
[00:26:29.315 --> 00:26:36.502]  All the begging liberal women wanting to worship and learn how to wear hijabs, actually air UN ads in Germany going, I will wear the hijab, I will submit.
[00:26:36.502 --> 00:26:38.264]  Allah, Allah, Allah.
[00:26:38.264 --> 00:26:41.807]  And the thing is, this is a culture that wants to make me submit.
[00:26:41.807 --> 00:26:45.511]  And I'm not going to do it!
[00:26:45.511 --> 00:26:50.936]  Not to the liberal socialists, not to the jihadi Islamists, nobody!
[00:26:50.936 --> 00:26:53.759]  But God Almighty, and believe me, you don't represent it.
[00:26:56.144 --> 00:26:58.705]  New article, InfoWars.com.
[00:26:58.705 --> 00:27:02.105]  Hackers likely stole Hillary's classified docs in 2014.
[00:27:02.105 --> 00:27:03.365]  Yahoo breach.
[00:27:03.365 --> 00:27:09.307]  Over 50 million Yahoo accounts were hacked, and Uma used Yahoo.
[00:27:09.307 --> 00:27:13.307]  Folks, it's foreign governments, it's everybody, but they blame the Russians.
[00:27:13.307 --> 00:27:20.669]  And we've got William Binning coming on later this week, former head of the NSA technical division, actually ran the physical war, helped bring down the Soviet Union.
[00:27:22.642 --> 00:27:28.768]  He's been saying, I think it was probably the FBI, I think it's a mole inside, and now we know he knows.
[00:27:28.768 --> 00:27:38.498]  It's people inside that are pissed, and that's coming out, and it was the Inspector General of the Intelligence Community that called for the investigation to her server years ago.
[00:27:38.498 --> 00:27:44.925]  So, again, that's where it's coming from, not from the Russians, not DC Leaks, not any of it.
[00:27:46.977 --> 00:27:50.420]  I mean, do you really think the Russians are just going to get all the hacks?
[00:27:50.420 --> 00:27:51.542]  The Russians are good at it, folks.
[00:27:51.542 --> 00:27:55.445]  You think the United States doesn't have the people that dwarf that?
[00:27:55.445 --> 00:27:59.610]  The United States built the Internet.
[00:27:59.610 --> 00:28:01.371]  Get that through your head.
[00:28:01.371 --> 00:28:08.779]  The United States and the UK built it as the ultimate spy grid and COG system.
[00:28:10.131 --> 00:28:10.911]  So we're going to get into that.
[00:28:10.911 --> 00:28:12.232]  We're going to get into their dirty tricks.
[00:28:12.232 --> 00:28:13.253]  What do we expect?
[00:28:13.253 --> 00:28:15.074]  What's the latest intel?
[00:28:15.074 --> 00:28:16.115]  All these incredible clips.
[00:28:16.115 --> 00:28:18.716]  All these Democrats leaving the sinking ship.
[00:28:18.716 --> 00:28:19.697]  Then there's DrudgeReport.com.
[00:28:19.697 --> 00:28:21.758]  We're going to go through all those articles.
[00:28:21.758 --> 00:28:22.398]  Trick or Treat.
[00:28:22.398 --> 00:28:25.100]  FBI found the 650,000 emails on laptop.
[00:28:25.100 --> 00:28:26.401]  DOJ blocked.
[00:28:26.401 --> 00:28:27.461]  Foundation probed.
[00:28:27.461 --> 00:28:28.422]  Yeah.
[00:28:28.422 --> 00:28:30.083]  I love how we've got Harry Reid.
[00:28:31.624 --> 00:28:40.586]  And the usual suspects running around, and Hillary, saying, oh, Comey needs to step down, they were worshipping him just a month ago.
[00:28:40.586 --> 00:28:44.647]  And, oh my gosh, what he's done is criminal, on and on and on, it's so political.
[00:28:44.647 --> 00:28:53.209]  When we have the DOJ on record blocking the investigation into the foundation, blocking the investigation into the servers, clearly blocking Comey.
[00:28:54.480 --> 00:29:01.005]  Meeting on the airplane with Clinton, being part of the same law firms as the Clintons, all making money with each other.
[00:29:01.005 --> 00:29:15.496]  And then we have the FBI internal memos, where on multiple occasions, the State Department staff under Hillary tried to bribe them with cush jobs, paying double and triple as the heads of embassies overseas.
[00:29:15.496 --> 00:29:19.739]  Not the ambassadors, but the technical heads of embassy operations.
[00:29:19.739 --> 00:29:21.941]  Hey, how would you like 300 grand instead of 100 grand a year?
[00:29:23.257 --> 00:29:26.059]  And how'd you like to not do any work and be in, say, Berlin?
[00:29:26.059 --> 00:29:29.342]  And they're like, is that a bribe?
[00:29:29.342 --> 00:29:37.809]  In fact, in the memos, it's just like out of the movie that's based on a true story, Wolf of Wall Street, where the other FBI agent goes, say that again.
[00:29:37.809 --> 00:29:40.691]  Please come over here and say that to both of us.
[00:29:40.691 --> 00:29:41.171]  And they did.
[00:29:41.171 --> 00:29:45.275]  They said, yeah, we'll give you jobs in front of multiple agents.
[00:29:45.275 --> 00:29:47.056]  It's the arrogance of these people!
[00:29:47.056 --> 00:29:47.837]  The arrogance!
[00:29:49.485 --> 00:29:52.494]  We're on the march, the empire's on the run.
[00:29:52.494 --> 00:29:56.104]  Alex Jones and the GCN Radio Network.
[00:30:00.379 --> 00:30:03.541]  Well, it's good that families are brought together by something, right?
[00:30:03.541 --> 00:30:08.384]  Well, a former assistant FBI director says that the Clintons are brought together by crime.
[00:30:08.384 --> 00:30:09.745]  They're a crime family.
[00:30:09.745 --> 00:30:11.186]  It's like organized crime.
[00:30:11.186 --> 00:30:13.287]  I mean, the Clinton Foundation is a cesspool.
[00:30:13.287 --> 00:30:14.688]  This article is up on our website.
[00:30:14.688 --> 00:30:25.934]  It's written by Steve Watson, and it highlights how the former assistant FBI director slams Hillary Clinton and her foundation, calling it a cesspool and that the family is like an organized crime syndicate.
[00:30:25.934 --> 00:30:28.036]  Now, appearing on a radio show this week, the FBI
[00:30:28.516 --> 00:30:37.998]  It's known as reopening the case of Hillary Clinton and her homebrew server, James Kallstrom, made these remarks while praising Donald Trump as a good human being and a patriot.
[00:30:37.998 --> 00:30:45.839]  He goes on to say, the Clintons, that's a crime family basically, and he's a 27-year-old FBI veteran, he says it's like organized crime.
[00:30:45.839 --> 00:30:48.080]  I mean, the Clinton Foundation is a cesspool.
[00:30:48.080 --> 00:30:50.560]  God forbid we put someone like that in the White House.
[00:30:50.560 --> 00:30:52.461]  Of course he's referring to Hillary Clinton.
[00:30:52.461 --> 00:30:53.721]  Yes, God forbid.
[00:30:53.721 --> 00:30:57.122]  May I remind you, November 8th is Take Out the Trash Day.
[00:30:57.122 --> 00:30:58.182]  I'm Margaret Halve reporting
[00:30:59.022 --> 00:31:05.286]  Over the years there have been a lot of powerful advancements in the field of science and nutraceuticals.
[00:31:05.286 --> 00:31:14.130]  Longevity integrates years of scientific research into creating fantastic products like Beyond Tangy Tangerine, plant-derived minerals and much more.
[00:31:14.130 --> 00:31:17.812]  Longevity also offers you an ingenious way to augment your income.
[00:31:18.052 --> 00:31:18.852]  And the best part?
[00:31:18.852 --> 00:31:21.714]  You'll be helping your friends and family along the way.
[00:31:21.714 --> 00:31:24.335]  Visit InfoWarsTeam.com today.
[00:31:24.335 --> 00:31:25.116]  Become a member.
[00:31:25.116 --> 00:31:29.418]  Get discounts on the amazing products and free shipping when you sign up for AutoShip.
[00:31:29.418 --> 00:31:35.861]  And you're able to promote the products to friends and family and neighbors in your community and make money while helping people at the same time.
[00:31:36.141 --> 00:31:37.101]  Another win-win.
[00:31:37.101 --> 00:31:40.822]  That's why I'm a member of the Longevity team at Infowarsteam.com.
[00:31:40.822 --> 00:31:42.063]  And you can be too.
[00:31:42.063 --> 00:31:42.623]  It's simple.
[00:31:42.623 --> 00:31:45.564]  Just go to Infowarsteam.com today.
[00:31:45.564 --> 00:31:47.665]  Complete a short sign-up and you're part of the team.
[00:31:47.665 --> 00:31:50.906]  That's Infowarsteam.com or Infowarshealth.com.
[00:31:50.906 --> 00:31:57.207]  So many people call into my radio show and tell me how Longevity and the products at Infowarsteam.com have changed their lives.
[00:31:57.207 --> 00:31:58.528]  Check it out for yourself today.
[00:32:00.057 --> 00:32:09.422]  You know, in the coming election, no matter who gets in, one of the biggest issues nobody's talking about in the debates or anywhere is the vulnerability of the power grid.
[00:32:09.422 --> 00:32:12.323]  The potential for power grid chaos.
[00:32:12.323 --> 00:32:20.487]  EMP, cyber warfare, not to mention dangerous weather, hurricanes, ice storms, all a very real threat to our grid.
[00:32:20.487 --> 00:32:23.409]  My friends, chaos is already here, and it's gonna get a lot worse.
[00:32:23.669 --> 00:32:29.733]  That's why I believe that all my listeners need to have a way to produce their own supply of backup electricity.
[00:32:29.733 --> 00:32:33.655]  Now I've got the perfect power solar generator system in my house.
[00:32:33.655 --> 00:32:35.536]  The Solutions from Science system.
[00:32:35.536 --> 00:32:38.037]  Simply put, this thing is amazing.
[00:32:38.037 --> 00:32:40.539]  Solutions from Science only makes the best equipment.
[00:32:40.539 --> 00:32:43.300]  Go to powergridchaos.com.
[00:32:43.300 --> 00:32:46.342]  That's powergridchaos.com to check it out.
[00:32:46.342 --> 00:32:47.423]  Now this is key.
[00:32:47.423 --> 00:32:48.663]  Right now, get 70% off
[00:32:49.724 --> 00:32:53.026]  They're top-of-the-line perfect power solar generator.
[00:32:53.026 --> 00:32:55.027]  This is the one I use in my home.
[00:32:55.027 --> 00:33:06.853]  Go to powergridchaos.com and get 70% off.
[00:33:06.853 --> 00:33:08.975]  Big Brother.
[00:33:08.975 --> 00:33:11.756]  Mainstream Media.
[00:33:11.756 --> 00:33:12.817]  Government Cover-Ups.
[00:33:14.172 --> 00:33:16.253]  Do you want answers?
[00:33:16.253 --> 00:33:18.194]  Well, so does he.
[00:33:18.194 --> 00:33:25.499]  Live from Austin, Texas, broadcasting worldwide, it's Alex Jones.
[00:33:25.499 --> 00:33:29.041]  Look, the WikiLeaks are the bombshell.
[00:33:29.041 --> 00:33:36.466]  Trump is out in a speech, we'll play a clip in a few minutes, saying there could be bombshells inside
[00:33:40.664 --> 00:33:44.349]  Of these 650,000 emails, well absolutely there's going to be bombshells in there.
[00:33:44.349 --> 00:33:46.872]  And we know Yahoo was hacked.
[00:33:46.872 --> 00:33:48.374]  That's probably where all this came from.
[00:33:48.374 --> 00:33:49.836]  That's what Aberdeen was using.
[00:33:51.636 --> 00:33:54.699]  Is Aberdeen using this to potentially blackmail the Clintons?
[00:33:54.699 --> 00:33:57.361]  That's why you have a treasure trove of that many emails.
[00:33:57.361 --> 00:33:59.202]  We know she's connected to Saudi Arabia.
[00:33:59.202 --> 00:34:04.666]  It's Roger Stone that has called out her profile as that of an intelligence asset.
[00:34:04.666 --> 00:34:08.029]  Yeah, a female operative attached to a bisexual woman.
[00:34:08.029 --> 00:34:10.651]  They stay in the same hotel room together.
[00:34:10.651 --> 00:34:12.533]  Her whole family are basically Islamic operatives.
[00:34:12.533 --> 00:34:15.215]  I mean, we are penetrated big time.
[00:34:16.837 --> 00:34:18.358]  This is incredible.
[00:34:18.358 --> 00:34:21.941]  We have, again, Obama and Hillary communicating illegally on a server.
[00:34:21.941 --> 00:34:22.722]  They've been caught.
