[00:00.000 --> 00:29.000]  Don't bother, they're here.
[29:42.000 --> 29:48.000]  and I want you to buy friends and family, these systems to educate them about what these, quote, smartphones really are.
[29:48.000 --> 29:51.000]  This is a great way to limit your phone time use.
[29:51.000 --> 29:56.000]  It's a great way to spend more time with your family and it's a great way to know you're not being tracked by the criminal global system.
[29:56.000 --> 30:25.000]  They're 50% off right now at infowarstore.com.
[30:25.000 --> 30:30.000]  You know, if I seem angry here on my own show, the old show show, it's because I am angry.
[30:30.000 --> 30:34.000]  I mean, all I do is study these liars and I watch them change their story every day.
[30:34.000 --> 30:41.000]  I watch them lie to everybody. I watch them say, oh, 99% of people dying didn't have the vaccine.
[30:41.000 --> 30:47.000]  And then it turns out the majority dying had the vaccine and the vaccine's killing them and they're calling it COVID.
[30:47.000 --> 30:52.000]  And then they're saying, those of us that don't take it, it's our fault when none of that even makes sense.
[30:52.000 --> 30:55.000]  If you're supposedly protected, you're protected.
[30:55.000 --> 30:57.000]  This is a giant scam.
[30:57.000 --> 31:05.000]  And then the main guy over the main bio research lab in the UK who's studying for John Hopkins and the whole world,
[31:05.000 --> 31:12.000]  whether or not these vaccines work, these so-called vaccines that are genetic engineering.
[31:12.000 --> 31:22.000]  And he goes, oh, yeah, once you take the Pfizer shot, it reduces your immune system by six times and you got to keep taking shots forever.
[31:22.000 --> 31:28.000]  He just says it out in the open like everything they do.
[31:28.000 --> 31:33.000]  Joe Biden said last night, he said, if you take the vaccine, you cannot get COVID.
[31:33.000 --> 31:38.000]  What he means by that is pneumonia, the flu, a cold, it's a lie.
[31:38.000 --> 31:42.000]  It actually lowers your immune system so you'll get stuff.
[31:42.000 --> 31:48.000]  And when you die, they'll say it's COVID and a new variant while saying you're invincible.
[31:48.000 --> 31:50.000]  I mean, it's just in your face.
[31:50.000 --> 31:59.000]  If you walk on a car lot and it's a burned out Pinto from 1971 or a burned out Gremlin from 1975,
[31:59.000 --> 32:05.000]  and you go, this is a brand new Ferrari with leather seats from Italy.
[32:05.000 --> 32:09.000]  You go, it's a burned out Pinto. They go, no, it's not.
[32:09.000 --> 32:16.000]  So you go on the internet and you type, well, I want to do this weird car lot and they got a burned out car.
[32:16.000 --> 32:18.000]  It was a Ferrari. This guy's crazy.
[32:18.000 --> 32:27.000]  But imagine if he controls big tech, he won't let you talk and he'll say this is a Ferrari and sit there and gas light you.
[32:27.000 --> 32:29.000]  This is ridiculous.
[32:29.000 --> 32:40.000]  They're in the news saying, oh, stop testing the vaccinated. Then when they say they're positive, there won't be a problem because they won't be tested.
[32:40.000 --> 32:46.000]  But test the people that haven't been vaccinated with the fake PCR test and say they're asymptomatic and lock them up.
[32:46.000 --> 32:50.000]  I mean, it's all happening in live time. The murder of logic.
[32:50.000 --> 32:54.000]  And we're all supposed to go along with it. Here it is.
[32:54.000 --> 33:00.000]  This video went out a few weeks ago. Darren McBreen put it out on June 2nd.
[33:00.000 --> 33:02.000]  It took us over a month ago.
[33:02.000 --> 33:07.000]  Watch Alex Jones predict the lockdown for manufactured virus in 2018.
[33:07.000 --> 33:10.000]  Nobody really cares at Band-Aid video about this video.
[33:10.000 --> 33:13.000]  And Darren put articles over it, made it look like he did a great job.
[33:13.000 --> 33:17.000]  This thing, last time I even tried to count, had like 8 million views online.
[33:17.000 --> 33:19.000]  They took down all the versions.
[33:19.000 --> 33:24.000]  So now people repost it and it gets like a million views a day on Instagram or Twitter.
[33:24.000 --> 33:26.000]  Everybody's sending it to me.
[33:26.000 --> 33:28.000]  Members of Congress are sending it to me.
[33:28.000 --> 33:30.000]  Top Talk Show hosts are sending it to me.
[33:30.000 --> 33:34.000]  And this is just one little clip of my predictions from 2018.
[33:34.000 --> 33:37.000]  I just came back from Hawaii on a vacation, growing my beard for the first time.
[33:37.000 --> 33:41.000]  But the reason they took it down is they said it's disinformation.
[33:41.000 --> 33:49.000]  So how is it from three years ago, before the COVID thing came out, but it's still disinfo COVID-19?
[33:49.000 --> 33:52.000]  Because it's powerful, because it's truthful and it's off documents.
[33:52.000 --> 33:57.000]  But McBreen's gone and actually found the full clip since folks said, oh, this must be fake.
[33:57.000 --> 33:58.000]  This isn't real.
[33:58.000 --> 34:02.000]  So it found the full clip of me in the podcast studio talking about it.
[34:02.000 --> 34:04.000]  And that's on Band-Aid video right now.
[34:04.000 --> 34:08.000]  The whole bunch of predictions, even more powerful, but they weren't predictions.
[34:08.000 --> 34:12.000]  It's from the criminals and their own documents preparing it.
[34:12.000 --> 34:14.000]  Operation lockstep.
[34:14.000 --> 34:17.000]  Crimson contagion.
[34:17.000 --> 34:23.000]  We will establish our new world order through the virus fear and then through global power outage.
[34:23.000 --> 34:27.000]  This will save the earth from the overblown of our species.
[34:27.000 --> 34:29.000]  These are quotes from Klaus Schwab.
[34:29.000 --> 34:33.000]  So now I'm bracing for massive control power outages.
[34:33.000 --> 34:35.000]  And then now they're telling you they're imminent.
[34:35.000 --> 34:42.000]  I mean, this is all going down.
[34:42.000 --> 34:46.000]  Now there's food shortages all over the country.
[34:46.000 --> 34:54.000]  Major grocery stores are empty of food, especially in blue cities and Democrat areas because they're so criminally run.
[34:54.000 --> 34:59.000]  And now it's starting to come to Texas grocery stores in England, empty store shelves, supply chain breakdown.
[34:59.000 --> 35:05.000]  An artificial collapse of society has been initiated.
[35:05.000 --> 35:09.000]  And when it all happens folks go, Jones is like Nostradamus or I love the other thing.
[35:09.000 --> 35:15.000]  I saw like a tweet with 20,000 retweets yesterday saying, I used to like Jones, but he's one of them.
[35:15.000 --> 35:18.000]  They're giving him all the secret info, the secret info.
[35:18.000 --> 35:24.000]  They write books telling you how they're going to do this to you.
[35:24.000 --> 35:26.000]  Can't you wake up and take responsibility?
[35:26.000 --> 35:28.000]  I'm talking to that guy on Twitter.
[35:28.000 --> 35:30.000]  And know this for yourself.
[35:30.000 --> 35:37.000]  Can't you watch the video where I tell you it's from Operation Lockstep, dumbass?
[35:37.000 --> 35:39.000]  But see, they won't go research.
[35:39.000 --> 35:46.000]  So they attribute to me magical powers or I'm a federal operative who's been given the secret briefing.
[35:46.000 --> 35:57.000]  I'm going to explain this again because I do hard work and I research sometimes up to 10 hours a day, open source, actual government documents and corporate research papers and corporate finance papers.
[35:57.000 --> 36:01.000]  I know more than almost everybody because I work the most.
[36:01.000 --> 36:04.000]  I don't call the CIA and the FBI get information.
[36:04.000 --> 36:05.000]  They listen to me.
[36:05.000 --> 36:10.000]  I don't sit there and tune into other shows to find all my information.
[36:10.000 --> 36:17.000]  I get it from raw research and it's not about bragging, but I cannot believe like the superstition, how does Jones know this?
[36:17.000 --> 36:22.000]  Because our damn enemies are doing it to us in front of everybody.
[36:22.000 --> 36:25.000]  That's why.
[36:25.000 --> 36:27.000]  Bill Gates says he wants to kill you.
[36:27.000 --> 36:28.000]  He's starting to do it.
[36:28.000 --> 36:35.000]  And I explained this virus and the deadly vaccine isn't going to kill as many as global starvation and the wars that come out of it.
[36:35.000 --> 36:44.000]  They know when they push, the average poor person pass half their money, half their paycheck on food.
[36:44.000 --> 36:46.000]  The breakdown starts.
[36:46.000 --> 36:48.000]  Then people riot and burn everything down.
[36:48.000 --> 36:49.000]  Then they starve to death.
[36:49.000 --> 36:53.000]  Then the UN organizes them as armies to invade us.
[36:53.000 --> 36:55.000]  Do you think about this?
[36:55.000 --> 37:09.000]  Life Sites News comes out and says it's U.S. state and federal law that you can't forcibly inoculate or trick someone under the age of 17 to have an inoculation and anybody doing it is criminal.
[37:09.000 --> 37:12.000]  They show the law and report YouTube bans it.
[37:12.000 --> 37:14.000]  Bolsonaro does similar things.
[37:14.000 --> 37:17.000]  The president of Brazil, he's banned.
[37:17.000 --> 37:19.000]  His videos are removed.
[37:19.000 --> 37:21.000]  Members of Congress have hearings.
[37:21.000 --> 37:24.000]  They're removed.
[37:24.000 --> 37:26.000]  Governor DeSantis has hearings.
[37:26.000 --> 37:27.000]  It's removed.
[37:27.000 --> 37:31.000]  This is organized crime covering up the crimes they've committed.
[37:31.000 --> 37:33.000]  Google's invested it, Wuhan.
[37:33.000 --> 37:35.000]  Facebook's invested it, Wuhan.
[37:35.000 --> 37:38.000]  Facebook is heavily involved running it.
[37:38.000 --> 37:40.000]  Facebook employees work in Wuhan.
[37:40.000 --> 37:42.000]  Look it up.
[37:42.000 --> 37:44.000]  They're running these attacks on us.
[37:44.000 --> 37:46.000]  Of course they are.
[37:46.000 --> 37:48.000]  And then I get up here.
[37:48.000 --> 37:56.000]  And I simply try to warn you off their own documents how they say they're going to bring in world government using A, B, C, and D.
[37:56.000 --> 38:01.000]  How they're going to collapse the third world by cutting off resources during global lockdown.
[38:01.000 --> 38:06.000]  Then they're going to organize the third world to flood the western world and collapse society.
[38:06.000 --> 38:09.000]  That's in the damn document lockstep.
[38:09.000 --> 38:11.000]  And now we're living it.
[38:11.000 --> 38:17.000]  It's like we broke Hitler's code in 1941 that didn't use it with the enigma machines, but we did.
[38:17.000 --> 38:19.000]  We have their communications.
[38:19.000 --> 38:21.000]  We have their damn plan.
[38:21.000 --> 38:24.000]  And we're living their damn plan.
[38:24.000 --> 38:27.000]  But the general public cannot believe they're under assault.
[38:27.000 --> 38:28.000]  It's too scary.
[38:28.000 --> 38:30.000]  Let me tell you what's going to be scary.
[38:30.000 --> 38:33.000]  The next phase is of it if we don't stop them.
[38:33.000 --> 38:39.000]  So imagine this little one minute clip that's gotten tens of millions.
[38:39.000 --> 38:41.000]  I say I count up like six million views.
[38:41.000 --> 38:42.000]  I don't even try.
[38:42.000 --> 38:44.000]  Oh my gosh, three million here, two million there, a million there.
[38:44.000 --> 38:45.000]  All gone.
[38:45.000 --> 38:46.000]  All taken off the internet.
