[00:00.000 --> 00:26.000]  Now I know parents out there anxiously waiting for a vaccine for children ages 5 to 11.
[36:20.000 --> 36:29.000]  So obviously they're not going to find anything. So the World Health Organization had to come out and say, OK, we'll do it again. You caught us. We were investigating ourselves.
[36:29.000 --> 36:40.000]  And so, yep, that's not good. We'll just, we'll just do it over. We'll just do it again. And so they did it again and they launched their new investigative team, but they did the exact same thing.
[36:40.000 --> 36:50.000]  And they hoped we wouldn't notice. New World Health Organization COVID origin investigation team includes another Peter Dasik minion.
[36:50.000 --> 37:05.000]  The World Health Organization recently put together a new team of researchers to investigate the origins of COVID-19 pertaining specifically to the lab leak theory and declared that this time conflicts of interest would be avoided.
[37:05.000 --> 37:25.000]  However, one of the leading members is a scientist who signed EcoHealth Alliance had Peter Dasik's infamous Lancet letter, which attempted to shut down the theory before it had even been looked into. And there's more on that from Steve Watson at infowars.com.
[37:25.000 --> 37:38.000]  So they get caught with an inside investigation to investigate themselves so nothing gets found and they say, OK, we're going to do it again. And then they do the exact same gambit.
[37:38.000 --> 37:43.000]  And they thought we wouldn't notice. They really thought we'd bury our heads in the sand. They really thought we'd trust them this time around.
[37:43.000 --> 37:53.000]  So what are they going to do now? Are they going to have a third one? Or are they just going to let this one run its course and say, all right, we've just determined that no blame in the Wuhan lab, no blame to Fauci, no blame to Dasik.
[37:53.000 --> 38:11.000]  Just shut up, live in fear of COVID, get your vaccine and let us dominate your life. But perhaps this is even more revealing, not in the same way, but in a curious way.
[38:11.000 --> 38:26.000]  Because as we know, Joe Biden is not really managing things. He is ceremoniously the president of the United States, but not really in practice.
[38:26.000 --> 38:33.000]  He can't even read off a teleprompter. He's reading off a teleprompter and he doesn't even remember people's names that he just had meetings with.
[38:33.000 --> 38:41.000]  He falls asleep in the middle of meetings in the Oval Office and then he can't remember the president of Kenya's name and he just says, President Kenya.
[38:41.000 --> 38:51.000]  So that's how big of a joke this guy is. So who's really running this show? Well, we've heard Ron Klain is one of the main men behind the scenes running things.
[38:51.000 --> 39:05.000]  Now, this is a tweet from Ron Klain in February of 2019 and it's in response to this tweet from Tom Inglesby.
[39:05.000 --> 39:12.000]  And in fact, I see if you can find the full tweet from Tom Inglesby because I just have the, I'm not sure if there's a thread here, but he says,
[39:12.000 --> 39:24.000]  If the U.S. government deciding to fund experiments aimed at making bird flu or other lethal viruses transmissible between humans, it should publicly lay out its analysis of risk slash benefits.
[39:24.000 --> 39:33.000]  Who made the decisions and how at all for public discourse. And so, again, this was not a secret at the time.
[39:33.000 --> 39:43.000]  We have the documents. Fauci's name is on them. They were doing gain of function research. They were doing spillover research, gain of function, making viruses more transmissible, more contagious,
[39:43.000 --> 39:51.000]  spillover research, taking viruses out of animals or infect animals and making them infect humans. This is what Anthony Fauci was doing.
[39:51.000 --> 40:02.000]  It's on all the documents. There is no debate. He had multiple panels where they discussed this and Dossick discussed this and they bragged about it and they just don't want you to know that that went on.
[40:02.000 --> 40:12.000]  They just want to bury that and act like it never happened now that it's their research and their virus, COVID-19, that has done all this devastation to the world.
[40:12.000 --> 40:22.000]  So whether you think it was intentional or not is irrelevant. It was Fauci. It was Dossick and everybody knows it, even Ron Klain.
[40:22.000 --> 40:33.000]  So there's Inglesby at the time and this is when Fauci was doing some of these board meetings, by the way. This is when Fauci was doing some of these public meetings,
[40:33.000 --> 40:39.000]  like the one that we covered the other night that we played replays of on the American Journal today with Michael Specter saying,
[40:39.000 --> 40:54.000]  Don't you think it would have been good if more people died? Wouldn't more deaths have been a good thing? Don't you think? And Fauci's, you know, sitting there nodding his head and so this is the freak show we're dealing with.
[40:54.000 --> 41:02.000]  But it wasn't a secret at the time. Now you can try to put all this together and make sense of it, but there's things that we know.
[41:02.000 --> 41:13.000]  So you could say, Hey, why is Fauci in January of 2017 saying that there's going to be a surprise pandemic, a surprise outbreak that catches Trump off guard?
[41:13.000 --> 41:20.000]  Why was he saying that? Well, perhaps there's room for debate and discussion there. But there is no room for debate or discussion.
[41:20.000 --> 41:33.000]  Fauci and Dasek and all the people they were involved with with the Wuhan lab were doing gain of function and spillover research with bat viruses, with SARS viruses, with COVID viruses, with flu viruses.
[41:33.000 --> 41:46.000]  That is not up for debate. It's on record. It's done. And so here's Ron Klain commenting on this, who's supposedly running the White House behind the scenes.
[41:46.000 --> 42:00.000]  It's hard to overstate the risk of this if it goes wrong. Oh, wow. Just a reminder that the largest single mass death event in US history was not World War One or two or the Civil War, but the 1918 Spanish flu epidemic.
[42:00.000 --> 42:05.000]  Experts like Tom Inglesby and his colleagues should be consulted.
[42:05.000 --> 42:22.000]  So here's Tom Inglesby commenting on the research that is on record being done by Fauci and Dasek and others at the Wuhan lab because they had to move out of North Carolina because it was deemed to be too dangerous.
