[00:00:00.149 --> 00:00:01.049]  And so on.
[00:26:23.689 --> 00:26:24.409]  We have limited staff.
[00:26:24.409 --> 00:26:27.171]  I got two guys, one in Minnesota working on this and Jaron out there.
[00:26:27.171 --> 00:26:32.654]  I literally came in and handed Jaron a stack of about a hundred articles and said put all these in the computer.
[00:26:32.654 --> 00:26:35.056]  That is pull them up so we can put them on screen.
[00:26:35.056 --> 00:26:39.939]  He's in there writing a cue list up so I can try to go through all these on air as he puts them on screen.
[00:26:39.939 --> 00:26:46.063]  Because the public's been conditioned not to believe any of this because they were told for decades it didn't exist while the infrastructure was being built.
[00:26:48.686 --> 00:26:51.907]  And you know what, I'm going to do a full hour on this tomorrow.
[00:26:51.907 --> 00:26:54.848]  I know we've booked so many guests, but I may have to cancel some guests.
[00:26:54.848 --> 00:26:59.309]  In fact, I'm on the verge of canceling guests right now.
[00:26:59.309 --> 00:27:05.710]  Because I don't know if I can do justice to this in 30 minutes, and this needs to be done properly.
[00:27:05.710 --> 00:27:06.791]  Responsibility, folks.
[00:27:09.309 --> 00:27:11.170]  I mean, here's the type of news I got in front of me.
[00:27:11.170 --> 00:27:12.772]  Fox News, Russian scholar says U.S.
[00:27:12.772 --> 00:27:14.653]  will collapse next year.
[00:27:14.653 --> 00:27:16.434]  Here's another one, Russian general says U.S.
[00:27:16.434 --> 00:27:18.316]  may have planned satellite collision.
[00:27:18.316 --> 00:27:20.738]  It was like one out of a hundred million that would happen.
[00:27:20.738 --> 00:27:23.200]  The New World Order on CNN, Lou Dobbs tonight.
[00:27:23.200 --> 00:27:25.421]  Lou Dobbs, totally different from Glenn Beck.
[00:27:25.421 --> 00:27:28.063]  Very credibly covers all of this.
[00:27:28.063 --> 00:27:29.484]  And whereas he doesn't go far enough,
[00:27:30.447 --> 00:27:34.689]  I've talked to him off air and had him on air, and he is a good guy.
[00:27:34.689 --> 00:27:39.411]  And he signed a contract years ago to where he had editorial control over the show.
[00:27:39.411 --> 00:27:41.672]  You can then ask why does CNN allow this?
[00:27:41.672 --> 00:27:44.033]  It's to keep some credibility.
[00:27:44.033 --> 00:27:54.877]  But he said they're calling for a new rule of order last night, and he broke down, it's up on Infowars.com and PrisonPlanet.com, the video's posted, that they're setting up a world banking dictatorship.
[00:27:57.992 --> 00:28:06.036]  So, continuing here, John Dean says Bush almost became an unconstitutional dictator going over these memos.
[00:28:06.036 --> 00:28:17.882]  No, Bush's job was to vest unconstitutional dictatorial powers and to continue the construction of the technological control grid, and he did that.
[00:28:17.882 --> 00:28:23.705]  See, the left is always making it look like Naomi Wolf, not saying she's a bad lady, she just made it all about
[00:28:25.680 --> 00:28:26.301]  George Bush.
[00:28:26.301 --> 00:28:27.942]  And I said, you watch, lady.
[00:28:27.942 --> 00:28:30.184]  Let's get her back on.
[00:28:30.184 --> 00:28:31.505]  It's all going to continue under Obama.
[00:28:32.583 --> 00:28:37.444]  Meanwhile, you know, we've been covering the clergy response teams a lot here on air.
[00:28:37.444 --> 00:28:42.765]  Two years before it was declassified and made public, we had the secret documents.
[00:28:42.765 --> 00:28:44.986]  26,000 preachers now, integrated in with now over 50,000.
[00:28:44.986 --> 00:28:57.229]  I keep saying 25,000, it's now officially 50,000 executives in InfraGard with shoot-to-kill orders, licensed-to-kill orders under FBI secret deputization.
[00:28:57.229 --> 00:28:59.610]  That's been in mainstream news.
[00:28:59.610 --> 00:29:01.170]  So they've got secret spies there.
[00:29:02.662 --> 00:29:06.443]  But a church document encourages congregation to obey government.
[00:29:06.443 --> 00:29:13.045]  Shocking provision of Romans 13 claims that pro-abortion Obama is God's minister and we must obey everything he says.
[00:29:13.045 --> 00:29:20.006]  We got these memos that were passed out to not just the higher ups in the church but to the church goers.
[00:29:20.006 --> 00:29:24.728]  And this is just more examples of people on the government FEMA payroll.
[00:29:24.728 --> 00:29:26.388]  That's up on PrisonPlanet.com.
[00:29:26.388 --> 00:29:29.629]  Church document encourages congregation to obey Obama.
[00:29:31.263 --> 00:29:33.325]  So that's up on the site right now.
[00:29:33.325 --> 00:29:42.912]  And then I first covered this a few weeks ago, and I see these reports all the time, and I got emails and comments on InfoWars and Prison Planet on the story we linked to saying I was making it up.
[00:29:42.912 --> 00:29:52.159]  I mean, it was a link to the Miami Herald and other newspapers where the babies, women, will show up when the abortionist is late playing golf in this case.
[00:29:53.681 --> 00:30:04.635]  And so she had the baby, it was alive, so they went and threw it up against the wall, and then went and threw it in a trash can for a week, and it was fed on by rats and roaches.
[00:30:04.635 --> 00:30:05.476]  People didn't like that.
[00:30:07.048 --> 00:30:11.170]  In fact, I had a radio station call him and say, that's it, you're off the air.
[00:30:11.170 --> 00:30:19.913]  I'm bad because I read the Miami Herald on air and because some people out there are pro-abortion and don't want to face up to the fact that they kill babies even after they're born.
[00:30:19.913 --> 00:30:21.894]  I mean, okay, fine.
[00:30:21.894 --> 00:30:24.215]  Have you not figured out, folks, that I lost
[00:30:24.955 --> 00:30:31.478]  More than two-thirds of my stations, when I came out and said 9-11 was an inside job, and we built the show back to bigger than ever.
[00:30:31.478 --> 00:30:33.999]  I'm not compromising when it comes to killing babies, okay?
[00:30:33.999 --> 00:30:36.740]  You can go straight to hell, as far as I'm concerned.
[00:30:36.740 --> 00:30:37.800]  You understand that?
[00:30:37.800 --> 00:30:40.101]  You get that straight through your head.
[00:30:40.101 --> 00:30:40.581]  Alright, good.
[00:30:40.581 --> 00:30:42.882]  I'm glad you understand that.
[00:30:42.882 --> 00:30:50.906]  If you want the blood of these dead kids on your soul, that's fine, but just get out of my way, you understand?
[00:30:50.906 --> 00:30:52.286]  We're on the march.
[00:30:52.286 --> 00:30:53.807]  The Empire's on the run.
[00:30:54.793 --> 00:31:00.655]  Alex Jones and the GCN Radio Network.
[00:31:00.655 --> 00:31:06.076]  Have you ever read the ingredients in your skin creams, personal hygiene products, vitamins, or herbal supplements?
[00:31:06.076 --> 00:31:15.279]  Did you know that most skin creams, body lotions, shampoos, and toothpastes are full of chemical additives such as sodium lauryl sulfate, the same type of detergent used in dish soap?
[00:31:15.279 --> 00:31:18.720]  Did you know that most multivitamin supplements are made from synthetic vitamins?
[00:31:18.880 --> 00:31:22.901]  Did you know that many herbal remedies contain unwanted additives and fillers?
[00:31:22.901 --> 00:31:25.181]  Have you ever tested your body's pH level?
[00:31:25.181 --> 00:31:28.622]  Make the change to only organic health and beauty products.
[00:31:28.622 --> 00:31:32.063]  Visit 2bnatural.com and order today!
[00:31:32.063 --> 00:31:40.265]  2bnatural.com carries 100% natural and chemical-free skincare, whole food vitamins, herbal remedies, and alkaline body balance supplements.
[00:31:40.649 --> 00:31:41.430]  We're good to go.
[00:32:00.712 --> 00:32:13.866]  Now from the makers of Loose Change, the most downloaded film in internet history, comes the long-awaited release of Loose Change Final Cut, an entirely new two-hour film that completely destroys the official fable forever.
[00:32:13.866 --> 00:32:20.634]  Loose Change Final Cut hopes to be a catalyst for a new independent investigation in which family members receive answers to their questions.
[00:32:20.974 --> 00:32:24.917]  And the true perpetrators of this horrendous crime are brought to justice.
[00:32:24.917 --> 00:32:28.339]  Loose Change Final Cut is the ultimate 9-11 expose.
[00:32:28.339 --> 00:32:36.224]  From hijackers being trained at US military bases to bombs in the buildings, Loose Change Final Cut is the one 9-11 film everyone must see.
[00:32:36.224 --> 00:32:41.627]  Secure your copy of Loose Change Final Cut today at InfoWars.com or PrisonPlanet.com.
[00:32:41.627 --> 00:32:49.913]  While you're visiting the online video store, be sure to check out the huge discounts on films like Endgame, Blueprint for Global Enslavement, America, Freedom to Fascism,
[00:32:50.213 --> 00:32:50.814]  We're good to go.
[00:33:00.350 --> 00:33:05.273]  Phase One of the Insiders' plan for a One World Government has been initiated with the recent bailout.
[00:33:05.273 --> 00:33:12.698]  International bankers and power brokers have engineered the current crisis to create a new currency and a new World Bank to act as savior.
[00:33:12.698 --> 00:33:14.319]  But we've only seen the beginning.
[00:33:14.319 --> 00:33:18.482]  Their next engineered crisis will be on a scale never before seen in modern times.
[00:33:18.482 --> 00:33:22.325]  Shortages and empty shelves will spread fear and panic across the land.
[00:33:22.325 --> 00:33:26.788]  The Insiders have discovered that they must control two things to seize total power.
[00:33:26.788 --> 00:33:30.230]  Phase One is a One World Currency, which we are currently being prepared
[00:33:30.230 --> 00:33:30.430]  We're good.
[00:34:03.217 --> 00:34:12.601]  My goal is to rally the people to be aware of the fact we're being conquered by offshore banks.
[00:34:12.601 --> 00:34:16.223]  My goal is to expose false flag terror
[00:34:34.844 --> 00:34:39.768]  And to lay myself on the line 110% for my family and humanity.
[00:34:39.768 --> 00:34:42.450]  Not because I'm a hero or because I have courage.
[00:34:42.450 --> 00:34:46.613]  Because I know history and I know that's what liberty and freedom takes.
[00:34:46.613 --> 00:34:51.337]  That's the price.
[00:34:51.337 --> 00:34:53.399]  And so it is an honor to be persecuted.
[00:34:53.399 --> 00:34:55.260]  It is an honor to be lied about.
[00:34:55.260 --> 00:34:59.384]  It is a great honor to be attacked because I know I'm doing my job.
[00:35:01.084 --> 00:35:17.026]  You know a lot of you have been involved in abortions and you know if you repent of it and admit to yourself you were part of a eugenics operation and admit that you killed a precious treasure that was going to be so amazing in your life, you can get that weight, that anvil off your chest.
[00:35:18.513 --> 00:35:23.296]  But even if you're going to be for abortion, you should at least be against partial birth abortion in the last trimester.
[00:35:23.296 --> 00:35:24.517]  These babies can be adopted.
[00:35:24.517 --> 00:35:35.043]  These women aren't educated by Planned Parenthood, set up by Margaret Sanger, with Rockefeller funding, the eugenicist who got awards from Hitler and gave awards to Hitler, admired Hitler.
[00:35:35.043 --> 00:35:39.966]  Most women don't know that there are charities that will pay more than $50,000, in many cases, for babies.
[00:35:43.018 --> 00:35:47.400]  And then every time I talk to a eugenicist liberal, they go, Oh, what about the black babies?
[00:35:47.400 --> 00:35:48.180]  Nobody wants them.
[00:35:48.180 --> 00:35:49.300]  What about the brown babies?
[00:35:49.300 --> 00:35:49.940]  No, no, no.
[00:35:49.940 --> 00:35:52.701]  They want those babies too.
[00:35:52.701 --> 00:35:58.323]  People stand in line and wait years to get babies of any color.
[00:35:58.323 --> 00:35:59.824]  I know my family.
[00:35:59.824 --> 00:36:05.646]  I'm natural born to my parents, but my sister was adopted from South Korea.
[00:36:05.646 --> 00:36:05.926]  I know.
[00:36:07.338 --> 00:36:12.642]  And they don't tell the women that, that there's actually more people wanting to adopt every year than there are even abortions.
[00:36:12.642 --> 00:36:16.846]  They don't know that they can go have the baby and give it up for adoption.
[00:36:16.846 --> 00:36:18.948]  There's such a huge desire for them.
[00:36:18.948 --> 00:36:27.054]  The CPS is out kidnapping a lot of kids and then fencing them through the adoption agencies and the parents don't even know they're getting kidnapped kids that adopt.
