[00:00.000 --> 00:01.200]  We'll protect voting rights.
[25:24.080 --> 25:29.760]  Go ahead and a historian 50 years from now if historians are allowed to write in this
[25:29.760 --> 25:35.080]  country and if there are still free publishing houses and a free press which I'm not certain
[25:35.080 --> 25:42.320]  of but if that is true a historian will say what was at stake tonight and this week was
[25:42.320 --> 25:47.160]  the fact whether we will be a democracy in the future whether our children will be arrested
[25:47.160 --> 25:49.560]  and conceivably killed.
[25:49.560 --> 25:56.320]  We're on the edge of a brutal authoritarian system and it could be a week away.
[25:56.320 --> 26:01.600]  We are in a brutal authoritarian system that is trying to fully flex its muscles and institute
[26:01.600 --> 26:03.680]  and execute its control.
[26:03.680 --> 26:09.560]  Everybody knows that who's got two brain cells they can rub together.
[26:09.560 --> 26:13.680]  So let's start again and I'm going to start and stop and analyze each piece roll it again.
[26:13.680 --> 26:19.280]  And a historian 50 years from now if historians are allowed to write in this country and if
[26:19.280 --> 26:23.680]  there is still a historian 50 years from now if they're still allowed to exist and write
[26:23.680 --> 26:31.400]  in this country we'll be looking back on this mass murder takeover.
[26:31.400 --> 26:35.520]  Think about that how outrageous that is when they're the ones surveillings they're the
[26:35.520 --> 26:40.720]  ones watching they're the ones saying mostly peaceful protest they're the ones firing historians
[26:40.720 --> 26:44.560]  that don't agree with their official stories they're the ones finding Kyrie Irving five
[26:44.560 --> 26:50.680]  hundred thousand dollars to the ADL because he put out a link about some Jews involved
[26:50.680 --> 26:55.600]  with the slave trade which of course was going on five hundred years ago everybody was involved
[26:55.600 --> 27:01.920]  Africans Muslims Christians Jews which gets a fact it's in the history books attacking
[27:01.920 --> 27:04.400]  Jews to do that.
[27:04.400 --> 27:09.400]  But again only white Christians can be bad in the leftist cosmology and so that's your
[27:09.400 --> 27:16.080]  manipulation of history right there they're the ones at the universities that are banning
[27:16.080 --> 27:19.760]  all sorts of free speech and saying this weekend no white people allowed on the campus and
[27:19.760 --> 27:24.800]  all of this incredible racism and garbage we're hearing so back up to start again and
[27:24.800 --> 27:27.160]  roll it again.
[27:27.160 --> 27:32.760]  And a historian 50 years from now if historians are allowed to write in this country and if
[27:32.760 --> 27:37.600]  there are still free publishing houses and a free press what which I'm not certain of
[27:37.600 --> 27:44.400]  but if that is true a historian will say what was at stake tonight and this week was the
[27:44.400 --> 27:49.120]  fact whether we will be a democracy in the future whether our children will be arrested
[27:49.120 --> 27:55.080]  and conceivably killed we're on the edge of a brutal authoritarian system and it could
[27:55.080 --> 27:57.360]  be a week away.
[27:57.360 --> 28:03.680]  So what he said is true if you're talking about them they've already done lockdowns
[28:03.680 --> 28:07.240]  they've already pushed a deadly shot I've got all these scientists mainline doctors government
[28:07.240 --> 28:12.360]  reports admitting massive increases in death doesn't protect you makes you get sick makes
[28:12.360 --> 28:19.160]  you spread it more but they're not losing their minds this is a talking point here's
[28:19.160 --> 28:29.640]  Chris Hayes basically saying the same thing you talk about mental gymnastics listen to
[28:29.640 --> 28:38.960]  the double think and the total oxymoronic garbage happening here here it is.
[28:38.960 --> 28:47.640]  A state in which republicans never lose is a one party state by definition that's a problem
[28:47.640 --> 28:53.040]  and we see this everywhere right we see this in Kerry Lake in Arizona and start over again
[28:53.040 --> 28:56.200]  I mean just this is a two minute clip so I can't stop and start as much will take hours
[28:56.200 --> 29:05.240]  but they just stole an election all the numbers show republican red wave red tsunami and so
[29:05.240 --> 29:10.360]  he's saying it's a party one state if one party that stole power now loses it fair and
[29:10.360 --> 29:15.160]  square because the landslide is so big so just on its face it's not even logical what
[29:15.160 --> 29:17.520]  he's saying continue.
[29:17.520 --> 29:24.240]  A state in which republicans never lose is a one party state by definition that's a
[29:24.240 --> 29:30.840]  problem it pause and we what are blue cities what are blue states where we know there's
[29:30.840 --> 29:35.280]  permanent election fraud and no matter what you do or what the polls show democrats always
[29:35.280 --> 29:41.920]  win because they're dug in and their machines going back to Chicago and daily in his machine
[29:41.920 --> 29:47.040]  they're the ones that you never see a swing back or forth the red areas you do see it
[29:47.040 --> 29:55.040]  back and forth because republicans don't steal elections like you do hardly ever I mean these
[29:55.040 --> 30:05.480]  people are elitist predators that know exactly what they're doing soulless parasites continue.
[30:05.480 --> 30:09.640]  We see this in Kerry Lake in Arizona you see Doug Mastriano in Pennsylvania up and down
[30:09.640 --> 30:13.600]  the ballot secretary of state candidates people running for congress and so the pitch from
[30:13.600 --> 30:18.200]  democrats is basically if you care about democracy if you care about having this feedback mechanism
[30:18.200 --> 30:23.640]  in which the people you elect are accountable to them to you you've got no choice but to
[30:23.640 --> 30:35.480]  vote for us and that on its face sounds almost anti-democratic itself he just said you can't
[30:35.480 --> 30:42.520]  have two parties or one party will take over so our party's got to be the uniparty to protect
[30:42.520 --> 30:46.680]  you from them setting up a uniparty and so here's the big takeaway today 40 minutes into
[30:46.680 --> 30:52.120]  this broadcast as I've said many times but now it's official the democrat sold out to
[30:52.120 --> 30:57.160]  communist china new world order transhumanist party is 100% committed to the enslavement
[30:57.160 --> 31:00.520]  and destruction of all our basic freedoms in our life they're constructing a classic
[31:00.520 --> 31:09.720]  surveillance censorship cashless society social credit score market the beast system
[31:09.720 --> 31:15.560]  and they're trying to outlaw the other political party while claiming the other political party
[31:15.560 --> 31:23.000]  is trying to outlaw them total inversion total inversion while you see the one party state
[31:23.000 --> 31:28.920]  with kerry lake oh my gosh or the I mean they're running for governor running for senate I mean
[31:28.920 --> 31:34.920]  these people we see all over the country these republicans are running and if you let them
[31:34.920 --> 31:42.800]  win and then they'll kill your children and all the democrats want to do is kill our children's
[31:42.800 --> 31:46.960]  future and they can't physically kill them in the womb I mean and again you're like well
[31:46.960 --> 31:54.400]  he's just a babbling idiot no this is the talking point everywhere continue had no choice
[31:54.400 --> 32:01.840]  but to vote for us and that on its face sounds almost anti-democratic itself to say you don't
[32:01.840 --> 32:06.000]  have a choice hit pause again back it up 10 seconds again you know what I'm not gonna interrupt
[32:06.000 --> 32:10.320]  it anymore let's just play it into end because it's just it's there's so many lies you see
[32:10.320 --> 32:14.640]  it all for yourself folks you don't need me to stop it started we come back we'll back it up the
[32:14.640 --> 32:20.560]  start and just play it without me pausing it I mean I know it sounds undemocratic to outlaw
[32:20.560 --> 32:27.680]  the other party but we've got to or they'll outlaw us this is open tyranny being sold to the public
[32:28.240 --> 32:35.040]  the republicans are gonna censor us if we don't censor them you're the bad guys you're a pedophile
[32:35.040 --> 32:40.560]  party we'll have live coverage saturday sunday monday tuesday wednesday what's going to be a
[32:40.560 --> 32:49.840]  contested election here at info wars here I am up on the stage
[32:49.840 --> 33:02.080]  playing the star again turn the page
[33:03.920 --> 33:08.400]  all right we have open phones in the second and third hour dead hours in the fourth hour
[33:08.400 --> 33:12.960]  head of the great Owen shroyer 3 p.m. central the coordinates of liberty are in full wars.com
[33:12.960 --> 33:20.720]  and vanda video all right uh let's let's just play the chris haste clip and I have dozens of
[33:20.720 --> 33:23.840]  these literally you don't need me to play this you see on every channel but I'm just analyzing
[33:23.840 --> 33:28.320]  these it's the same talking point the republicans are going to steal the election and by the way
[33:28.320 --> 33:31.520]  no one ever stole an election and they say we stole it doesn't exist and they're terrorist and
[33:31.520 --> 33:34.400]  they're criminal they need to be arrested and they need to be censored they need to be watched
[33:34.400 --> 33:39.200]  they need to be controlled they need to be all put in jail but they're authoritarians that want to
[33:39.200 --> 33:44.080]  put you in jail it's the same all over the world the same globalist corporate strategy is being
[33:44.080 --> 33:48.960]  rolled out europe's a few years ahead of us but man we're going over the slippery slope
[33:50.000 --> 33:52.880]  into tyrannical oblivion at warp speed
[33:56.800 --> 34:04.720]  so there it's a total inversion except for one perspective it's true that there are times for
[34:04.720 --> 34:08.960]  revolutions some can be cultural revolutions they can be peaceful some can be violent some
[34:08.960 --> 34:13.840]  can be a mix i like the pin my there in the sword mode that's where the first limit is first
[34:13.840 --> 34:18.000]  the founders believe it was even more important than the physical arms you had to have the mouth
[34:18.000 --> 34:22.240]  try to stop it from getting to that point or the mouth or the pin to direct the war
[34:23.200 --> 34:30.960]  so first amendments numero uno it's paramount penultimate number two is the arms but if you
[34:30.960 --> 34:39.120]  don't have the brain the weapons don't matter and so they're saying we're losing there's a political
[34:39.120 --> 34:42.960]  realignment everyone's turning against us and the republicans are going to put you in death camps
[34:42.960 --> 34:49.360]  to kill your kids if you elect them but it's the left that wants a permanent high tech forced
[34:49.360 --> 34:56.480]  injection medical tyranny carbon tyranny globalist socialist communist pedophilic satanic system on
[34:56.480 --> 34:59.440]  record i mean they're out in the open now the mask is off don't need me to tell you about this
[34:59.440 --> 35:04.640]  anymore go watch one of my shows 25 years ago or 10 years ago and people go watch them and they go
[35:04.640 --> 35:13.680]  what in the hell is this go to president planet dot tv there's like 20 years of videos for free
[35:13.680 --> 35:19.280]  almost every show archive there and folks go in there they call them info wars minors on twitter
[35:19.920 --> 35:24.560]  and they go in and just find these spectacular clips they're not spectacular i had the enemy
[35:24.560 --> 35:28.480]  battle plan i told you it was coming we're now living it you want to see the rest of the battle
