[00:00:05.875 --> 00:00:10.418]  July 4th!
[00:22:53.183 --> 00:22:59.845]  Unlike the political elite and Wall Street bankers, you know that debts don't disappear and bailouts have big consequences.
[00:23:13.928 --> 00:23:14.228]  I think?
[00:23:32.881 --> 00:23:38.563]  This may be the best thing that could happen to you if you move decidedly and develop a backup plan immediately.
[00:23:38.563 --> 00:23:44.406]  Proportionately more millionaires were created during the Great Depression than at any time in history.
[00:23:44.406 --> 00:23:46.466]  And history is about to repeat itself.
[00:23:46.466 --> 00:23:50.708]  Get my free report at babyboomerbackupplan.com or call 888-507-8789.
[00:23:50.708 --> 00:23:50.888]  That's 888-507-8789.
[00:24:09.266 --> 00:24:11.909]  Waging war on corruption.
[00:24:11.909 --> 00:24:13.771]  It's Alex Jones.
[00:24:13.771 --> 00:24:17.074]  It's karaoke with Alex Jones!
[00:24:38.452 --> 00:24:48.195]  That's the zombies, folks.
[00:24:48.195 --> 00:24:54.898]  I'd say they're not zombies.
[00:24:54.898 --> 00:24:56.418]  What's your name?
[00:24:56.418 --> 00:24:57.238]  What's your name?
[00:24:57.238 --> 00:24:58.319]  Who's your daddy?
[00:24:58.319 --> 00:24:59.459]  Who's your daddy?
[00:24:59.459 --> 00:25:00.460]  Is he rich?
[00:25:00.460 --> 00:25:02.440]  Is he rich like me?
[00:25:02.440 --> 00:25:04.501]  Does he take her?
[00:25:04.501 --> 00:25:05.561]  Does he take her?
[00:25:05.561 --> 00:25:06.622]  Any time?
[00:25:06.622 --> 00:25:07.402]  Any time?
[00:25:08.243 --> 00:25:12.604]  Alright, broadcasting worldwide folks, thank you for joining us.
[00:25:12.604 --> 00:25:14.145]  Look, I want to be clear about something.
[00:25:14.145 --> 00:25:20.467]  Kent Daniels had a story yesterday, let me go up to InfoWars.com.
[00:25:20.467 --> 00:25:29.309]  He had a story on Thursday, confirmed Texas spending millions to send Texas Ranger State Troopers a secure open border.
[00:25:29.309 --> 00:25:33.771]  And they're actually doing their job, not just writing tickets and getting revenue.
[00:25:34.631 --> 00:25:36.672]  States just a lot enough money they need to operate.
[00:25:36.672 --> 00:25:39.773]  Not having to write tickets to old ladies all day.
[00:25:39.773 --> 00:25:45.675]  Down there, actually trying to stop all the criminals and people that are pouring across, and we saw that a few weeks ago and documented it.
[00:25:45.675 --> 00:25:48.576]  Now it's in the Austin American Statesman.
[00:25:48.576 --> 00:25:52.217]  Headline, immigration strain is felt statewide, Texas officials say.
[00:25:53.612 --> 00:26:06.300]  DPS Director Steve McCraw told members of the Texas House Homeland Security and Public Safety Committee that his agency is coordinating saturation patrols in high-threat areas along the state's southern border.
[00:26:06.300 --> 00:26:13.605]  Shifting DPS troopers, Texas Rangers, and DPS equipment to South Texas has drained the agency's ability to respond in other parts of the state he acknowledged.
[00:26:14.935 --> 00:26:17.897]  I mean, you talk about Al-Qaeda folks, that's a real group.
[00:26:17.897 --> 00:26:20.079]  They're taking over much of the Middle East right now.
[00:26:20.079 --> 00:26:21.580]  Our government's arming them.
[00:26:21.580 --> 00:26:27.224]  Again, you're being groped at the airport or on the highway, they got checkpoints, but the border is wide open.
[00:26:27.224 --> 00:26:30.327]  And so the state, it shows government's not one monolithic group.
[00:26:30.327 --> 00:26:34.990]  The state of Texas, to its credit, is actually doing what the state police are supposed to do.
[00:26:36.027 --> 00:26:38.708]  And that's protect those counties on the border.
[00:26:38.708 --> 00:26:41.348]  Sure, they don't have a jurisdiction right on the border.
[00:26:41.348 --> 00:26:42.508]  That's federal.
[00:26:42.508 --> 00:26:44.509]  That's one of the few things the feds are supposed to do.
[00:26:44.509 --> 00:26:46.049]  They're not doing it.
[00:26:46.049 --> 00:26:52.030]  So even citizens, if the police don't do their job, or others don't, it's failure to render aid.
[00:26:52.030 --> 00:26:53.991]  The state police are rendering aid.
[00:26:53.991 --> 00:26:55.831]  And they're getting shot at, by the way.
[00:26:55.831 --> 00:26:57.312]  That's coming out every couple days.
[00:26:57.312 --> 00:26:59.952]  So, it's a real deal down there.
[00:26:59.952 --> 00:27:03.573]  They're out there in gunboats, heavily armored, but getting shot up.
[00:27:04.836 --> 00:27:09.141]  And the Mexican drug cartels have .50 caliber rifles, tanks, you name it.
[00:27:09.141 --> 00:27:15.967]  I don't hear Obama saying a word about the armored vehicles that the Mexican drug lords have and the Mexican military has who's involved in all this.
[00:27:15.967 --> 00:27:21.833]  It's all about how I'm bad because I own a gun and I'm a libertarian and Homeland Security's for me.
[00:27:21.833 --> 00:27:25.096]  Well, statistically, the Tea Party type folks have the lowest crime rate out there.
[00:27:25.862 --> 00:27:27.583]  So again, it's a bunch of bunk.
[00:27:27.583 --> 00:27:30.685]  It's an attempted total political takeover.
[00:27:30.685 --> 00:27:35.769]  But I think Obama and the globalists have miscalculated big time with this abuse of power.
[00:27:35.769 --> 00:27:38.030]  And they're finally starting to wake people up.
[00:27:38.030 --> 00:27:53.721]  But you think about the abuse of power, shutting down our power plants, putting our military under NATO command, arming Al-Qaeda, overthrowing Libya for Al-Qaeda, which they admit to many times worse, the Obamacare tax, raising seven taxes on blue-collar people, 21 taxes total.
[00:27:53.721 --> 00:27:54.901]  I mean, it's just monstrous.
[00:27:55.925 --> 00:27:58.046]  It's absolutely monstrous.
[00:27:58.046 --> 00:28:03.549]  And now members of Congress, like Randy Weber, are calling Obama a dictator.
[00:28:03.549 --> 00:28:05.050]  And he is becoming one.
[00:28:05.050 --> 00:28:07.071]  That doesn't mean he won't leave office.
[00:28:07.071 --> 00:28:11.633]  It just means he's turning the bureaucracy into a permanent dictatorship.
[00:28:11.633 --> 00:28:15.855]  And that means they do what they want, not what the law says, not what the Congress says.
[00:28:15.855 --> 00:28:17.316]  They want to open the border up?
[00:28:17.316 --> 00:28:19.197]  Ship the illegals in on government buses?
[00:28:19.197 --> 00:28:19.677]  They do it!
[00:28:21.331 --> 00:28:25.112]  I don't declare a Declaration of Independence on July 4th, 2014.
[00:28:25.112 --> 00:28:29.214]  I declare a Declaration of Survival.
[00:28:29.214 --> 00:28:31.234]  A Declaration of Sanity.
[00:28:31.234 --> 00:28:38.456]  A Declaration that I want out of Crazy Town, because the Socialists hate this country so much, and the foreign banks want to wreck it and loot it.
[00:28:38.456 --> 00:28:49.000]  They've turned loose the Socialists, who really think they're going to create some type of magical Puff the Magic Dragon Land here in the United States by shipping in the Dregs.
[00:28:51.044 --> 00:28:55.646]  of the world, and I'm not against the dregs, even if they wear 6X underwear.
[00:28:55.646 --> 00:29:02.310]  It's just that it's not my job to pay more and more taxes to take care of you when your country won't accept me.
[00:29:02.310 --> 00:29:17.457]  It's a load of crap, and it just shows how tolerant Americans are, and how they manipulated our Christian ethic with political correctness in the 50s and 60s to get rid of some of the major evils that were going on, to only boomerang it and replace it with stuff just as bad.
[00:29:17.457 --> 00:29:18.658]  In fact, I'd say even worse.
[00:29:19.358 --> 00:29:22.941]  Because the other stuff you could see out in the open was obviously a fraud.
[00:29:22.941 --> 00:29:29.246]  This stuff is creeping and sneaky and just slathering with fake niceties.
[00:29:29.246 --> 00:29:31.829]  Makes me want to vomit!
[00:29:31.829 --> 00:29:34.471]  Alright, coming up, your phone calls.
[00:29:34.471 --> 00:29:36.613]  How do you do this with a tape show?
[00:29:36.613 --> 00:29:37.914]  I'll explain coming up.
[00:29:39.071 --> 00:29:41.033]  We had callers left over at the end of the show.
[00:29:41.033 --> 00:29:44.498]  We just kept recording right into the fourth hour.
[00:29:44.498 --> 00:29:47.501]  So instead of overdrive, it's overdrive delayed for one day.
[00:29:47.501 --> 00:29:50.224]  Stay with us, we're going to the... We're on the march.
[00:29:50.224 --> 00:29:52.747]  The Empire's on the run.
[00:29:52.747 --> 00:29:55.431]  Alex Jones and the GCN Radio Network.
[00:30:00.737 --> 00:30:02.097]  In the near future.
[00:30:02.097 --> 00:30:05.738]  When you realize how fake it all is, the football, the basketball.
[00:30:05.738 --> 00:30:06.579]  Security alert.
[00:30:06.579 --> 00:30:07.799]  Security alert.
[00:30:07.799 --> 00:30:09.799]  This is Homeland Security.
[00:30:09.799 --> 00:30:10.680]  Analysis.
[00:30:10.680 --> 00:30:11.420]  InfoWars.
[00:30:11.420 --> 00:30:13.500]  Building independent media operations.
[00:30:13.500 --> 00:30:18.402]  You let the worst people get controlled and tell us that we are the ones responsible.
[00:30:18.402 --> 00:30:19.422]  Crime directive.
[00:30:19.422 --> 00:30:20.962]  Discredit Alex Jones.
[00:30:20.962 --> 00:30:23.823]  Jones is the wildly popular conspiracy theorist.
[00:30:23.823 --> 00:30:27.064]  A popular conspiracy theory talk show called InfoWars.
[00:30:27.064 --> 00:30:29.365]  Alex Jones is now in an Austin jail.
[00:30:29.365 --> 00:30:30.125]  These people are a threat.
[00:30:30.325 --> 00:30:36.707]  You've got to set your eye on the enemy, not worry about what propaganda they put out!
[00:30:36.707 --> 00:30:39.908]  Intellectually, it's begun and you can feel it!
[00:30:59.366 --> 00:31:04.348]  Man, when I get home from work, all Betty does is watch her reality TV and then she goes to sleep.
[00:31:04.348 --> 00:31:07.689]  I can take her on romantic dates, I get her flowers, you name it.
[00:31:07.689 --> 00:31:09.790]  She's just not the woman I married.
[00:31:09.790 --> 00:31:11.951]  Oh, Ralph, that's just awful.
[00:31:11.951 --> 00:31:13.592]  Does this seem familiar?
[00:31:13.592 --> 00:31:16.933]  Are the honeymoon days of your relationship long gone?
[00:31:16.933 --> 00:31:18.513]  If so, consider this.
[00:31:18.513 --> 00:31:27.437]  The abundance of chemical additives, pesticides, BPA containers, contaminated tap water, and other toxic substances found in our environment.
[00:31:27.797 --> 00:31:34.182]  Experts know our bodies are suffering and being thrown off balance, especially when it comes to your natural systems.
[00:31:34.182 --> 00:31:36.243]  Forget synthetic chemicals.
[00:31:36.243 --> 00:31:43.869]  Super Female Vitality brings forward key herbs specifically chosen for women's biology without the use of phony additives.
[00:31:44.289 --> 00:31:51.877]  Get your bottle of Super Female Vitality today at InfoWarsLife.com, InfoWarsStore.com or call 1-888-253-3139.
[00:31:51.877 --> 00:31:52.958]  InfoWarsLife.com.
[00:31:52.958 --> 00:31:53.999]  Live Life Healthy!
[00:31:59.326 --> 00:32:05.496]  I began to get into iodine a few years ago because it was helping me and my family so much get healthy and detoxify.
[00:32:05.496 --> 00:32:10.063]  Most people know that iodine deficiency has been a crisis around the world.
[00:32:10.063 --> 00:32:14.630]  Iodine is key to so many of the body's functions, especially the thyroid.
[00:32:15.030 --> 00:32:17.953]  I discovered a product being developed by Dr. Group.
[00:32:17.953 --> 00:32:23.398]  You now know it as Survival Shield True Nascent Iodine that your body can really absorb.
[00:32:23.398 --> 00:32:30.785]  Then, about a year ago, he said, listen, if you think this is powerful, I'm going to come out with rare earth, deep earth crystals.
[00:32:30.785 --> 00:32:34.929]  And the results that I personally have had have been life changing.
[00:32:34.929 --> 00:32:35.610]  Nobody else.
[00:32:36.050 --> 00:32:40.014]  Has got iodine based on these pure crystals, ladies and gentlemen.
[00:32:40.014 --> 00:32:48.642]  This is innovating, and the best part is it helps fund InfoWars.com, the radio show, the TV show, the whole media operation promoting true libertarian ideas.
[00:32:48.642 --> 00:32:52.906]  For a limited time, experience the ancient power of Survival Shield X2.
[00:32:52.906 --> 00:32:58.112]  Take advantage of this unprecedented 30% off super detox special at InfoWarsLife.com.
[00:33:04.224 --> 00:33:07.166]  There are, of course, those who do not want us to speak.
[00:33:07.166 --> 00:33:08.006]  Let me think, just let me think.
[00:33:08.006 --> 00:33:13.770]  As a matter of fact, even now, orders are being shoutsed into telephones and men with guns will soon be on their way.
[00:33:13.770 --> 00:33:15.111]  It's Chancellor Sutler.
[00:33:15.111 --> 00:33:15.811]  Damn it!
[00:33:15.811 --> 00:33:16.872]  Why?
[00:33:16.872 --> 00:33:23.476]  Because while the truncheon may be used in lieu of conversation, words will always retain their power.
[00:33:23.476 --> 00:33:28.139]  Words are for the means to meaning and for those who will listen, the enunciation.
[00:33:29.379 --> 00:33:34.261]  The truth is, there is something terribly wrong with this country, isn't there?
[00:33:34.261 --> 00:33:35.282]  You designed it, sir.
[00:33:35.282 --> 00:33:36.222]  You wanted it foolproof.
[00:33:36.222 --> 00:33:37.883]  You taught me every television in London!
[00:33:37.883 --> 00:33:39.984]  Cruelty and injustice.
[00:33:39.984 --> 00:33:41.784]  Intolerance and oppression.
