[00:00.000 --> 00:26.000]  Infowars, the most banned network in the world.
[31:48.000 --> 31:59.000]  Protect your privacy from government, the UN, globalist contact tracers, hackers, criminals, you name it, with Redux exclusively available at infowarstore.com.
[31:59.000 --> 32:07.000]  I designed over 200 t-shirts the last 25 years, and we have some of those original designs still for sale at infowarstore.com.
[32:07.000 --> 32:08.000]  These are real classics.
[32:08.000 --> 32:14.000]  But ladies and gentlemen, they're all about to be limited edition because we're selling out of them.
[32:14.000 --> 32:22.000]  They're about to be history, and we're selling out of the hoodies, the ball caps, the t-shirts, all these amazing designs at cost at infowarstore.com.
[32:22.000 --> 32:25.000]  Except for this fundraiser shirt that is a real hit and people love it.
[32:25.000 --> 32:26.000]  It's $24.95.
[32:26.000 --> 32:32.000]  Alex Jones is right on the front, the Red Thunderbolt, and then again on the back, a bigbolt, infowarstore.com.
[32:32.000 --> 32:34.000]  Exercise your First Amendment.
[32:34.000 --> 32:40.000]  Don't let the leftist and the globalist bully silence you and fund the info war at the same time.
[32:40.000 --> 32:47.000]  There is not a more politically incorrect shirt that sends a stronger message of freedom, resistance to the new world order than the Alex Jones was right shirt,
[32:47.000 --> 32:50.000]  exclusively available at infowarstore.com.
[32:50.000 --> 32:53.000]  And again, this shirt is limited edition as well.
[32:53.000 --> 32:55.000]  We're doing one more run, and then no more.
[32:55.000 --> 32:57.000]  infowarstore.com.
[32:57.000 --> 33:11.000]  Get yours today.
[33:28.000 --> 33:39.000]  Waging war on corruption.
[33:39.000 --> 34:02.000]  It's Alex Jones coming to you live from the front lines of the info war.
[34:02.000 --> 34:09.000]  You are living in the beginning of world war.
[34:09.000 --> 34:19.000]  The United Nations directed planetary takeover, economic warfare, cultural warfare, biological warfare, and the threat of nuclear warfare.
[34:19.000 --> 34:25.000]  So Bill Gates tells you last year that monkeypox, smallpox, it's all going to be coming soon.
[34:25.000 --> 34:30.000]  And now suddenly it starts popping up in western nations from Europe and the United States.
[34:30.000 --> 34:37.000]  And right on time, us buys millions of vaccine doses for new virus.
[34:37.000 --> 34:48.000]  119 million in vaccine doses over 10 million doses, just to begin with for monkeypox.
[34:48.000 --> 34:53.000]  Why did the Biden administration just purchase 13 million doses of monkeypox?
[34:53.000 --> 35:02.000]  Bill Gates back in November of last year, Bill Gates warns of smallpox terror attacks in bid for pandemic prevention funds.
[35:02.000 --> 35:12.000]  Bill Gates warns of smallpox terror attacks and urges leaders to use germ games run by the UN to prepare.
[35:12.000 --> 35:16.000]  Bill Gates warns of smallpox terror attacks as he seeks research funds, but more importantly,
[35:16.000 --> 35:27.000]  UN control with the treaty now happening now. Oh, and then right on time, two months after that, monkeypox escapes after truck crashes on Pennsylvania Highway.
[35:27.000 --> 35:31.000]  Oh, with the connected grips to Gates research labs.
[35:31.000 --> 35:36.000]  Oh, isn't that interesting? A plausible story of where it came from.
[35:36.000 --> 35:43.000]  Pennsylvania woman being treated for rabies, countering monkeys and aftermath of crash.
[35:43.000 --> 35:50.000]  She falls ill. Right after Bill Gates says it's all coming.
[35:50.000 --> 36:04.000]  Oh, and look at this monkeypox vax to monkeypox. Here's the AstraZeneca contains the replication chimpanzee adenovirus.
[36:04.000 --> 36:12.000]  And we've had Dr. Fleming on. We'll ask Dr. McCullough about this, but I went and found the studies that the AstraZeneca and J&J that use similar systems from a chimpanzee.
[36:12.000 --> 36:20.000]  Directly linked to the acute hepatitis and children that have been injected and in what they call monkeypox.
[36:20.000 --> 36:27.000]  Isn't that interesting? Severe hepatitis cases and kids continue to rise as WHO calls for investigation.
[36:27.000 --> 36:34.000]  Yes, of themselves. What parents need to know.
[36:34.000 --> 36:45.000]  I've got a whole stack of news on that subject right here. Madrid's deputy minister for public health claims cases of hepatitis of young kids are related to COVID-19 vaccine funny.
[36:45.000 --> 36:52.000]  We've got the study multi country acute severe hepatitis of unknown origin in children.
[36:52.000 --> 37:01.000]  And we've got the studies here linking it to the so called injections.
[37:01.000 --> 37:10.000]  And we'll get more into those coming up. But this is just absolutely insane.
[37:10.000 --> 37:15.000]  What is monkeypox? Where is it spreading and warning signs?
[37:15.000 --> 37:32.000]  As it just magically starts popping up around the world and the UN health agency says they need more power to stop it as G7 ministers are already practicing for the next pandemic.
[37:32.000 --> 37:34.000]  There are heroes.
[37:34.000 --> 37:50.000]  Major leaders in Canada say that the public wants forced vaccines and vaccine passports. All as the treaty is being rammed through right now.
[37:50.000 --> 38:04.000]  And as all the heart attacks and bizarre deaths expand and the UN calls for a climate Marshall plan and UN control over all energy supplies as well.
[38:04.000 --> 38:09.000]  There's a monkeypox outbreak. What is it and should Bay Area residents be worried?
[38:09.000 --> 38:14.000]  They're all getting us ready now for the next big thing.
[38:14.000 --> 38:22.000]  We've got to shut down and follow the UN's directives over.
[38:22.000 --> 38:33.000]  We have the very UN connections, the very corporations that are doing this hyping up all of this fear.
[38:33.000 --> 38:37.000]  But don't worry. The UN can save you. Bill Gates can save you.
[38:37.000 --> 38:53.000]  Look at all this other COVID-19 news. mRNA vaccine significantly associated with deadly blood clots. Major study finds in the leading medical journal vaccines has found.
[38:53.000 --> 39:02.000]  And now we've got this little clip. This is Obama. It's not really Biden's Obama's third term right now.
[39:02.000 --> 39:15.000]  Obama's COVID czar says we now can dispense with the misinformation that if you get infected once you have immunity for life or you've had the so-called vaccine, you have immunity.
[39:15.000 --> 39:20.000]  Well, most vaccines that we said was for life for a decade or longer.
[39:20.000 --> 39:31.000]  But now it isn't a vaccine. I take it over and over and over again in the German Supreme Court rules, compulsory facts for health workers,
[39:31.000 --> 39:54.000]  constitutional. What a time to be alive right now in this country, in this world, knowing that they have launched the next phase of the massive power grab.
[39:54.000 --> 40:02.000]  Bill Gates says the monkeypox is coming. Bill Gates says the terrorists are going to release it. He says that the UN needs more power.
[40:02.000 --> 40:15.000]  And a year later, right when the treaty is coming out, that signs over to authority of nation states to the UN where they can be sanctioned even militarily right on time.
[40:15.000 --> 40:20.000]  What they need, the fear, unfolds and happens.
[40:20.000 --> 40:32.000]  Biden seeks new unilateral powers for World Health Organization chief to declare public health emergencies putting us under a UN medical dictatorship worldwide.
[40:32.000 --> 40:39.000]  It's an excellent zero-hedge article. We've had it posted to infowars.com and under the live show feed, but it's all over the news now.
[40:39.000 --> 40:51.000]  And the memes are everywhere. Dr. Ebel says meeting to sign the World Health Organization Pandemic Treaty, release the monkeypox. Release the monkeypox.
[40:51.000 --> 41:01.000]  What a time to be alive. And right as the monkeypox breaks out, we learn a year ago they put in orders for it all over the world and they've got the new vaccine.
[41:01.000 --> 41:13.000]  God knows what that is going to do. God only knows. God doesn't just know. People that designed this garbage know.
[41:13.000 --> 41:20.000]  Dr. McCullough will be joining us coming up in about 40 minutes in studio with his co-author. They're going to break a lot of big news.
[41:20.000 --> 41:22.000]  I'll ask him about all this as well.
[41:22.000 --> 41:38.000]  And guys, going through my stack of what I see, you only saw one of the studies on links to smallpox and the shots, so print me some of those as well.
[41:38.000 --> 41:50.000]  And a few more of the studies on scientists saying that it's a direct link with these two different types of shots, virus vector shots, and people having this acute meningitis as well.
[41:50.000 --> 41:56.000]  And we'll go into that in more detail, but I showed you that information. It's unbelievable.
[41:56.000 --> 42:03.000]  Either Bill Gates is completely clairvoyant or obviously they've engineered this entire thing.
[42:03.000 --> 42:16.000]  Now, constitutional lawyer, one of the smartest people I know, Robert Barnes, will be joining us for the next 45 minutes ahead of Dr. McCullough in studio with us here today in his new book.
